Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) RAL95_trypsin_MED_1,Area RAL95_trypsin_MED_1,#Peptides,#Unique,#Spec RAL95_trypsin_MED_1,PTM,Avg. Mass,Description
34,142868,WP_042849915,149.59,25,25,1.09E9,17,8,53,Oxidation (M); Deamidation (NQ); Cation:Fe[II],61330,molecular chaperone GroEL Prochlorococcus sp MIT 0604
140,142894,WP_042850341,149.21,24,24,8.98E7,10,10,17,Methylation(KR),65199,pyruvate kinase Prochlorococcus sp MIT 0604
145,142858,ETNP_70,149.14,57,57,1.95E7,11,2,20,Carbamidomethylation; Deamidation (NQ),22848,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
66,142893,WP_011819135,148.77,16,16,7.59E8,13,6,33,Carbamidomethylation,82671,photosystem I P700 chlorophyll a apoprotein A2 Prochlorococcus
45,142875,WP_011818757,148.34,30,30,1.55E9,12,12,46,Oxidation (M),50499,photosystem II reaction center protein Prochlorococcus
23,143035,ETNP_70,148.33,87,87,7.72E8,14,3,69,Oxidation (M); Deamidation (NQ),10572,Major carboxysome shell protein 1A
23,143036,ETNP_60,148.33,87,87,7.72E8,14,3,69,Oxidation (M); Deamidation (NQ),10572,Major carboxysome shell protein 1A
71,142838,WP_042850235,148.10,38,38,2.16E8,18,12,31,Carbamidomethylation; Oxidation (M),48035,glucose-1-phosphate adenylyltransferase Prochlorococcus sp MIT 0604
64,142796,WP_042851029,147.55,25,25,2.06E7,14,2,28,Carbamidomethylation; Oxidation (M); Methylation(KR),72537,DNA-directed RNA polymerase subunit gamma Prochlorococcus sp MIT 0604
115,142886,WP_042849939,145.46,29,29,5.86E7,10,1,21,Carbamidomethylation; Oxidation (M),46210,glutamate-1-semialdehyde aminotransferase Prochlorococcus sp MIT 0604
160,142830,WP_042851256,145.37,20,20,4.43E7,15,8,17,Carbamidomethylation; Deamidation (NQ),106478,excinuclease ABC subunit A Prochlorococcus sp MIT 0604
106,143124,WP_025890675,145.24,32,32,5.77E7,11,5,24,Carbamidomethylation; Oxidation (M),35032,fructose 1 6-bisphosphatase Prochlorococcus
47,143693,WP_011818131,143.49,16,16,6.93E8,9,9,44,Oxidation (M); Deamidation (NQ),38681,dihydroorotate oxidase Prochlorococcus
47,143694,NP_30,143.49,16,16,6.93E8,9,9,44,Oxidation (M); Deamidation (NQ),38681,Divinyl chlorophyll a/b light-harvesting protein PcbA
130,142888,ETNP_90,142.96,26,26,1.25E7,12,2,21,Oxidation (M),52116,ATP synthase subunit beta
96,142919,WP_038653845,142.75,21,21,8.29E7,17,3,25,Carbamidomethylation,68071,cell division protein FtsH Prochlorococcus sp MIT 0801
109,142873,WP_042851036,142.17,33,33,3.2E7,11,4,23,Carbamidomethylation; Oxidation (M); Deamidation (NQ),52558,transcription termination factor NusA Prochlorococcus sp MIT 0604
57,142870,WP_042850553,142.16,30,30,6.75E8,13,9,33,Carbamidomethylation; Oxidation (M),42406,ferredoxin-NADP reductase Prochlorococcus sp MIT 0604
108,142880,NP_30,141.52,38,38,2.75E8,10,10,22,Carbamidomethylation; Methylation(KR),39792,NAD(P) transhydrogenase subunit alpha part 1
33,142885,ETNP14_68,141.26,36,36,1.29E7,15,1,45,Carbamidomethylation; Oxidation (M),43232,Elongation factor Tu
123,142950,WP_042849874,141.07,23,23,1.46E8,10,10,21,Carbamidomethylation; Oxidation (M),48867,branched-chain alpha-keto acid dehydrogenase subunit E2 Prochlorococcus sp MIT 0604
79,142871,WP_042849966,140.64,31,31,1.51E7,11,3,25,Carbamidomethylation; Oxidation (M),47724,adenylosuccinate synthetase Prochlorococcus sp MIT 0604
147,142833,WP_011819174,139.88,44,44,6.11E6,12,1,19,Carbamidomethylation; Oxidation (M),39457,protein RecA Prochlorococcus
99,143289,WP_038654216,139.86,21,21,2.89E8,9,3,23,Deamidation (NQ),46306,ABC transporter substrate-binding protein Prochlorococcus sp MIT 0801
31,143229,ETNP14_68,139.69,87,87,1.84E6,12,1,58,Oxidation (M); Deamidation (NQ),10571,Major carboxysome shell protein 1A
31,143230,ETNP_90,139.69,87,87,1.84E6,12,1,58,Oxidation (M); Deamidation (NQ),10571,Major carboxysome shell protein 1A
102,142821,WP_025972038,139.51,39,39,1.72E7,14,3,22,Carbamidomethylation; Oxidation (M); Methylation(KR),49782,geranylgeranyl diphosphate reductase Prochlorococcus
114,143077,WP_038653324,138.72,26,26,3.48E8,10,2,23,,33893,phosphate ABC transporter substrate-binding protein Prochlorococcus sp MIT 0801
65,142913,WP_042850529,138.52,48,48,3.86E8,16,16,29,Carbamidomethylation; Oxidation (M); Methylation(KR),40075,magnesium chelatase Prochlorococcus sp MIT 0604
91,142841,ETNP_90,138.45,48,48,9.1E7,13,1,29,Oxidation (M); Deamidation (NQ); Methylation(KR); Cation:Fe[II],33742,ATP synthase subunit beta
81,142883,ETNP_70,138.36,29,29,4.52E7,12,5,25,Carbamidomethylation; Oxidation (M),47751,Adenylosuccinate synthetase
101,9711,54036848,138.01,13,13,3.98E8,8,4,25,Deamidation (NQ),95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
89,142935,ETNP_60,137.29,35,35,8.08E7,11,2,29,Carbamidomethylation; Oxidation (M); Methylation(KR),34971,UDP-glucose 4-epimerase
134,142902,ETNP14_68,135.82,28,28,9.46E6,11,1,20,Carbamidomethylation; Oxidation (M); Methylation(KR),51618,ATP-dependent zinc metalloprotease FtsH 3
148,142887,WP_042851129,134.87,31,31,1.59E8,10,7,18,Carbamidomethylation; Deamidation (NQ); Methylation(KR),52733,isocitrate dehydrogenase Prochlorococcus sp MIT 0604
49,143283,WP_011376622,133.67,66,66,5.72E8,9,4,34,Oxidation (M),11611,thioredoxin Prochlorococcus
44,143265,ETNP_100,133.24,72,72,0E0,11,1,49,Oxidation (M); Deamidation (NQ),10641,Major carboxysome shell protein 1A
44,143266,ETNP_120,133.24,72,72,0E0,11,1,49,Oxidation (M); Deamidation (NQ),10641,Major carboxysome shell protein 1A
44,143267,ETNP_140,133.24,72,72,0E0,11,1,49,Oxidation (M); Deamidation (NQ),10641,Major carboxysome shell protein 1A
44,143268,ETNP_90,133.24,72,72,0E0,11,1,49,Oxidation (M); Deamidation (NQ),10641,Major carboxysome shell protein 1A
44,143269,ETNP_100,133.24,72,72,0E0,11,1,49,Oxidation (M); Deamidation (NQ),10641,Major carboxysome shell protein 1A
44,143270,ETNP_120,133.24,72,72,0E0,11,1,49,Oxidation (M); Deamidation (NQ),10641,Major carboxysome shell protein 1A
110,143012,ETNP_60,133.08,26,26,1.81E8,9,6,24,Oxidation (M); Deamidation (NQ),39992,Photosystem II D2 protein
67,143030,NP_30,132.90,44,44,3.09E7,10,2,32,Oxidation (M); Deamidation (NQ),22516,O-succinylhomoserine sulfhydrylase
77,142939,NP_30,132.72,32,32,1.02E9,11,10,32,Carbamidomethylation; Oxidation (M),39638,Photosystem Q(B) protein precursor
77,142940,WP_002805533,132.72,32,32,1.02E9,11,10,32,Carbamidomethylation; Oxidation (M),39638,photosystem II protein D1 Prochlorococcus
105,142916,WP_042851153,132.65,30,30,1.57E8,9,5,22,Oxidation (M); Deamidation (NQ),37280,rod shape-determining protein MreB Prochlorococcus sp MIT 0604
161,142889,WP_042849756,132.42,30,30,5.57E7,10,5,15,Carbamidomethylation; Deamidation (NQ),46227,serine hydroxymethyltransferase Prochlorococcus sp MIT 0604
9,145080,ETNP14_68,132.41,40,40,2.44E6,13,1,128,Methylation(KR),10829,10 kDa chaperonin
9,145081,ETNP14_68,132.41,40,40,2.44E6,13,1,128,Methylation(KR),10831,10 kDa chaperonin
9,145082,ETNP_120,132.41,40,40,2.44E6,13,1,128,Methylation(KR),10831,10 kDa chaperonin
159,142929,WP_042850506,132.02,25,25,2.56E8,10,10,18,,50813,cobalamin biosynthesis protein CobW Prochlorococcus sp MIT 0604
159,142930,NP_30,132.02,25,25,2.56E8,10,10,18,,50757,Putative metal chaperone YciC
158,142872,WP_042851396,131.96,17,17,3.56E7,12,12,17,Carbamidomethylation; Deamidation (NQ); Methylation(KR),93567,hypothetical protein Prochlorococcus sp MIT 0604
163,142920,WP_042849710,131.88,36,36,2.85E8,10,10,17,Carbamidomethylation; Deamidation (NQ),34445,thioredoxin reductase Prochlorococcus sp MIT 0604
48,143083,ETNP14_68,131.76,21,21,8E8,8,1,43,Oxidation (M); Deamidation (NQ),41179,O-succinylhomoserine sulfhydrylase
141,142910,WP_042851251,131.08,26,26,7.73E7,12,3,17,Carbamidomethylation; Methylation(KR),44614,argininosuccinate synthase Prochlorococcus sp MIT 0604
164,142925,WP_042849643,130.90,24,24,3.53E7,8,3,16,Carbamidomethylation; Oxidation (M),52375,phytoene desaturase Prochlorococcus sp MIT 0604
43,143247,WP_042851104,130.33,54,54,2.02E9,8,8,42,Carbamidomethylation; Oxidation (M),15685,photosystem I reaction center subunit II Prochlorococcus sp MIT 0604
103,142926,WP_042851163,129.36,22,22,2.05E8,11,9,24,Oxidation (M),51402,magnesium transporter Prochlorococcus sp MIT 0604
152,143150,WP_052044759,129.14,43,43,1.18E8,9,2,19,Oxidation (M),22149,30S ribosomal protein S5 Prochlorococcus sp MIT 0604
162,142914,WP_042849662,129.00,33,33,1.01E8,11,7,17,Carbamidomethylation; Oxidation (M); Methylation(KR),42794,citrate synthase Prochlorococcus sp MIT 0604
224,142878,WP_042850541,128.71,24,24,3.58E7,9,8,12,Carbamidomethylation,59240,2-isopropylmalate synthase Prochlorococcus sp MIT 0604
189,143082,WP_011819231,128.41,33,33,2.61E7,7,4,14,Carbamidomethylation,27396,two-component system response regulator Prochlorococcus
133,142884,WP_025893889,127.65,32,32,7.93E7,9,9,20,Oxidation (M),49028,acetyl-CoA carboxylase Prochlorococcus
121,142964,WP_042851142,127.52,18,18,5.23E7,11,4,22,Carbamidomethylation; Deamidation (NQ); Methylation(KR),73068,transketolase Prochlorococcus sp MIT 0604
165,142911,WP_042850236,127.29,25,25,9.32E7,8,8,15,Carbamidomethylation; Oxidation (M),51730,6-phosphogluconate dehydrogenase Prochlorococcus sp MIT 0604
209,142944,NP_30,127.19,36,36,2.67E7,8,1,12,Oxidation (M),29928,Branched-chain-amino-acid aminotransferase
86,142936,WP_042850728,127.07,13,13,1.4E8,7,4,25,Carbamidomethylation; Oxidation (M),78849,polynucleotide phosphorylase Prochlorococcus sp MIT 0604
166,142915,WP_042850238,126.97,24,24,1.03E8,12,7,18,Carbamidomethylation; Oxidation (M),59141,dihydroxy-acid dehydratase Prochlorococcus sp MIT 0604
124,143001,NP_30,126.70,21,21,3.42E8,8,8,20,Oxidation (M); Deamidation (NQ),46036,Enolase
205,144961,WP_042850622,126.28,11,11,1.76E8,8,1,13,,34339,phosphate ABC transporter substrate-binding protein Prochlorococcus sp MIT 0604
168,143041,ETNP_70,126.22,23,23,4.68E7,8,5,14,Oxidation (M),50244,NAD(P) transhydrogenase subunit beta
92,142938,WP_011863760,126.19,29,29,5.53E7,10,1,29,Carbamidomethylation; Oxidation (M); Methylation(KR),44344,NAD-dependent dehydratase Prochlorococcus
233,142968,WP_042850380,124.24,29,29,1.88E6,8,1,11,Oxidation (M),34138,branched-chain amino acid aminotransferase Prochlorococcus sp MIT 0604
225,142949,WP_042850056,123.70,22,22,3.64E7,7,6,10,Carbamidomethylation; Deamidation (NQ),55219,glycogen synthase Prochlorococcus sp MIT 0604
95,142897,WP_041484570,123.56,38,38,5.58E8,9,9,25,Carbamidomethylation; Oxidation (M),34180,DNA-directed RNA polymerase subunit alpha Prochlorococcus
131,143422,NP_30,123.43,24,24,4.93E7,4,1,18,Oxidation (M),31834,Polyribonucleotide nucleotidyltransferase
206,142921,ETNP_60,123.27,32,32,7.63E7,10,8,13,Carbamidomethylation; Methylation(KR),40704,NAD(P)H-quinone oxidoreductase subunit H
206,142922,NP_30,123.27,29,29,7.63E7,10,8,13,Carbamidomethylation; Methylation(KR),45197,NAD(P)H-quinone oxidoreductase subunit H
206,142923,ETNP_70,123.27,29,29,7.63E7,10,8,13,Carbamidomethylation; Methylation(KR),45170,NAD(P)H-quinone oxidoreductase subunit H
206,142924,WP_042849674,123.27,29,29,7.63E7,10,8,13,Carbamidomethylation; Methylation(KR),45166,NADPH-quinone oxidoreductase Prochlorococcus sp MIT 0604
198,143439,WP_011129980,122.65,11,11,7.21E7,7,1,15,,52689,glutamine synthetase Prochlorococcus marinus
198,143440,WP_036915357,122.65,11,11,7.21E7,7,1,15,,52679,glutamine synthetase Prochlorococcus sp MIT 0701
193,143081,WP_011127464,122.50,15,15,1.67E6,9,1,15,Deamidation (NQ),70466,translation initiation factor IF-2 Synechococcus sp WH 8102
136,142982,WP_038654757,122.26,27,27,2.3E7,8,2,21,Oxidation (M); Methylation(KR),44233,NAD-dependent dehydratase Prochlorococcus sp MIT 0801
277,143659,ETNP_60,122.16,48,48,1.86E8,6,6,11,Carbamidomethylation,12016,30S ribosomal protein S10
229,143134,WP_042850838,121.85,18,18,3.69E7,8,6,11,Oxidation (M),52034,signal recognition particle protein Prochlorococcus sp MIT 0604
173,142903,ETNP14_68,121.80,27,27,2.26E5,10,1,15,Carbamidomethylation; Oxidation (M),49428,putative oxidoreductase
203,143218,AGH07599.1,121.27,19,19,1.1E8,9,4,12,Oxidation (M),34387,phosphate ABC transporter phosphate-binding protein PstS [Cyanophage S-SSM6a]
60,142966,WP_038544140,120.97,27,27,4.78E8,11,3,33,Oxidation (M); Deamidation (NQ),47702,O-acetylhomoserine aminocarboxypropyltransferase Synechococcus sp KORDI-100
144,142951,WP_042849807,120.78,33,33,2.2E8,11,7,20,Oxidation (M); Methylation(KR),40679,30S ribosomal protein S1 Prochlorococcus sp MIT 0604
112,142999,ETNP_70,120.69,25,25,2.62E8,10,7,19,Carbamidomethylation; Methylation(KR),31861,50S ribosomal protein L2
112,143000,WP_002807290,120.69,25,25,2.62E8,10,7,19,Carbamidomethylation; Methylation(KR),31754,50S ribosomal protein L2 Prochlorococcus
156,143497,ETNP_70,120.31,24,24,1.96E7,6,1,19,Carbamidomethylation; Deamidation (NQ),36489,Transketolase
175,143114,ETNP_70,119.87,31,31,5.17E7,9,2,17,Carbamidomethylation,29554,Septum site-determining protein MinD
135,142955,ETNP_100,119.16,25,25,3.12E7,10,3,18,Carbamidomethylation; Oxidation (M),54724,hypothetical protein
135,142956,ETNP_100,119.16,25,25,3.12E7,10,3,18,Carbamidomethylation; Oxidation (M),54724,hypothetical protein
135,142957,ETNP_90,119.16,25,25,3.12E7,10,3,18,Carbamidomethylation; Oxidation (M),54846,hypothetical protein
135,142958,ETNP_100,119.16,25,25,3.12E7,10,3,18,Carbamidomethylation; Oxidation (M),54846,hypothetical protein
338,145056,NP_30,119.14,19,19,6.69E7,4,4,9,,16446,50S ribosomal protein L9
338,145057,WP_042851216,119.14,19,19,6.69E7,4,4,9,,16446,50S ribosomal protein L9 Prochlorococcus sp MIT 0604
171,142901,WP_042849952,118.20,33,33,3.93E7,10,10,17,Deamidation (NQ),45469,RNA polymerase sigma factor RpoD Prochlorococcus sp MIT 0604
274,143002,WP_042850140,117.48,17,17,3.55E7,8,8,10,Carbamidomethylation; Oxidation (M),61804,peptide chain release factor 3 Prochlorococcus sp MIT 0604
274,143003,NP_30,117.48,17,17,3.55E7,8,8,10,Carbamidomethylation; Oxidation (M),61743,Peptide chain release factor 3
188,143180,WP_042850866,117.25,36,36,1.58E8,7,7,15,Oxidation (M),24354,Clp protease Prochlorococcus sp MIT 0604
223,142909,WP_042851053,116.95,7,7,1.19E7,8,3,12,Carbamidomethylation; Oxidation (M),168270,glutamate synthase Prochlorococcus sp MIT 0604
191,142932,WP_042850067,116.76,17,17,5.54E7,11,5,15,Carbamidomethylation; Oxidation (M),74206,acetyl-CoA synthetase Prochlorococcus sp MIT 0604
232,144614,NP_30,116.67,15,15,5.72E7,5,1,12,Deamidation (NQ); Methylation(KR),23065,50S ribosomal protein L4
232,144615,WP_042851084,116.67,15,15,5.72E7,5,1,12,Deamidation (NQ); Methylation(KR),23066,50S ribosomal protein L4 Prochlorococcus sp MIT 0604
241,144616,ETNP_70,116.36,30,30,1.08E8,5,1,11,Deamidation (NQ); Methylation(KR),10507,50S ribosomal protein L4
199,144046,ETNP_120,116.23,53,53,3.82E7,6,1,14,Oxidation (M); Deamidation (NQ),13668,D-fructose 1 6-bisphosphatase class 2/sedoheptulose 1 7-bisphosphatase
167,142954,WP_042850537,115.87,14,14,5.03E7,11,7,17,Carbamidomethylation; Deamidation (NQ); Methylation(KR),96486,DNA gyrase subunit A Prochlorococcus sp MIT 0604
116,143044,WP_042849696,115.68,24,24,2.32E8,9,6,20,Carbamidomethylation; Oxidation (M); Methylation(KR),42632,phosphoglycerate kinase Prochlorococcus sp MIT 0604
207,142945,WP_042851174,115.61,17,17,2.07E7,14,6,14,Carbamidomethylation; Methylation(KR),108285,preprotein translocase subunit SecA Prochlorococcus sp MIT 0604
185,143628,NP_30,115.47,29,29,3.65E8,5,5,16,,18847,Flavodoxin
185,143630,WP_042850707,115.47,29,29,3.65E8,5,5,16,,18877,flavodoxin Prochlorococcus sp MIT 0604
328,143181,WP_042850535,115.43,24,24,8.86E7,7,6,9,Carbamidomethylation; Oxidation (M); Deamidation (NQ),40984,inosine-5-monophosphate dehydrogenase Prochlorococcus sp MIT 0604
151,142934,WP_042851168,115.01,18,18,1.61E7,11,7,14,Carbamidomethylation; Oxidation (M),73262,DNA gyrase subunit B Prochlorococcus sp MIT 0604
208,144088,WP_036914875,114.83,11,11,8.57E7,4,1,13,,47070,ABC transporter substrate-binding protein Prochlorococcus
208,144089,ETNP_90,114.83,11,11,8.57E7,4,1,13,,47028,Aliphatic amidase expression-regulating protein
208,144090,WP_011131593,114.83,11,11,8.57E7,4,1,13,,47029,ABC transporter substrate-binding protein Prochlorococcus marinus
219,145055,ETNP14_68,114.43,9,9,3.71E7,3,1,13,,47007,Aliphatic amidase expression-regulating protein
353,143420,WP_042851141,114.20,22,22,7.8E7,5,5,8,Carbamidomethylation,43239,3-oxoacyl-ACP synthase Prochlorococcus sp MIT 0604
157,142970,ETNP_70,113.73,53,53,1.94E6,7,1,15,Oxidation (M); Methylation(KR),19085,Acetolactate synthase small subunit
281,143282,ETNP_60,113.47,26,26,1.94E7,6,1,11,Carbamidomethylation,27985,ATP synthase subunit alpha
76,143049,WP_006172701,112.95,19,19,0E0,12,1,32,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR),68377,molecular chaperone DnaK Synechococcus sp WH 5701
183,143156,NP_30,112.65,45,45,7.62E7,10,3,16,Deamidation (NQ),22747,hypothetical protein
301,143595,WP_006171535,112.48,10,10,2.01E7,5,1,10,Carbamidomethylation; Cation:Fe[II],69457,cell division protein FtsH Synechococcus sp WH 5701
179,143198,WP_042849806,112.46,19,19,2.76E8,10,10,17,Deamidation (NQ),44993,S-adenosylmethionine synthase Prochlorococcus sp MIT 0604
361,143545,WP_042850890,112.32,23,23,1.73E7,6,6,8,Carbamidomethylation,30609,UDP-3-O-3-hydroxymyristoyl N-acetylglucosamine deacetylase Prochlorococcus sp MIT 0604
210,143018,ETNP_70,112.26,25,25,3.58E5,10,1,12,Carbamidomethylation,39534,Argininosuccinate synthase
