Peptides,GO term,Name
1,GO:0006233,dTDP biosynthetic process
1,GO:0009052,"pentose-phosphate shunt, non-oxidative branch"
1,GO:0000725,recombinational repair
1,GO:0006433,prolyl-tRNA aminoacylation
1,GO:0006012,galactose metabolic process
1,GO:0008615,pyridoxine biosynthetic process
1,GO:0006231,dTMP biosynthetic process
1,GO:0006799,polyphosphate biosynthetic process
1,GO:0006420,arginyl-tRNA aminoacylation
1,GO:0006106,fumarate metabolic process
1,GO:0044238,primary metabolic process
1,GO:0001522,pseudouridine synthesis
1,GO:0048034,heme O biosynthetic process
1,GO:0006807,nitrogen compound metabolic process
1,GO:0008643,carbohydrate transport
1,GO:0019509,L-methionine salvage from methylthioadenosine
1,GO:0006166,purine ribonucleoside salvage
