Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 278_265m_trap_SKQ17_P2,Area 278_265m_trap_SKQ17_P2,#Peptides,#Unique,#Spec 278_265m_trap_SKQ17_P2,PTM,Avg. Mass,Description
33,392419,ETNP_120m_particle_PROKKA_44959,66.80,24,24,1.5E7,3,3,4,Oxidation (M),11365,Core histone H2A/H2B/H3/H4
33,466,XP_003061756,66.80,24,24,1.5E7,3,3,4,Oxidation (M),11395,predicted protein  Micromonas pusilla CCMP1545
33,467,XP_003059520,66.80,24,24,1.5E7,3,3,4,Oxidation (M),11395,predicted protein  Micromonas pusilla CCMP1545
33,392693,ETNP_100m_particle_PROKKA_140022,66.80,24,24,1.5E7,3,3,4,Oxidation (M),11381,Core histone H2A/H2B/H3/H4
33,480,EJK63755,66.80,7,7,1.5E7,3,3,4,Oxidation (M),39773,hypothetical protein THAOC_15573 partial  Thalassiosira oceanica
33,392463,ETNP_90m_PROKKA_109358,66.80,24,24,1.5E7,3,3,4,Oxidation (M),11367,Core histone H2A/H2B/H3/H4
33,392464,ETNP_70m_PROKKA_132488,66.80,24,24,1.5E7,3,3,4,Oxidation (M),11367,Core histone H2A/H2B/H3/H4
33,490,XP_002179286,66.80,24,24,1.5E7,3,3,4,Oxidation (M),11383,histone H4 isoform 1b  Phaeodactylum tricornutum CCAP 1055
33,491,EJK69577,66.80,24,24,1.5E7,3,3,4,Oxidation (M),11383,hypothetical protein THAOC_09145  Thalassiosira oceanica
33,392465,ETNP14_68mB_PROKKA_59955,66.80,24,24,1.5E7,3,3,4,Oxidation (M),11367,Core histone H2A/H2B/H3/H4
33,492,XP_002179505,66.80,24,24,1.5E7,3,3,4,Oxidation (M),11383,histone H4 isoform 1a  Phaeodactylum tricornutum CCAP 1055
33,493,EJK72475,66.80,21,21,1.5E7,3,3,4,Oxidation (M),13036,hypothetical protein THAOC_05990  Thalassiosira oceanica
33,483,XP_003074685,66.80,9,9,1.5E7,3,3,4,Oxidation (M),31136,Histone H4 ISS  Ostreococcus tauri
24,416767,ETNP_90m_PROKKA_134487,66.50,22,22,8.19E6,5,5,5,,8803,Acyl carrier protein
24,416768,ETNP14_120maa_PROKKA_183777,66.50,22,22,8.19E6,5,5,5,,8803,Acyl carrier protein
24,59548,WP_012518211,66.50,22,22,8.19E6,5,5,5,,8803,acyl carrier protein Alteromonadaceae
24,373034,CAI86879.1,66.50,22,22,8.19E6,5,5,5,,8758,acyl carrier protein [Pseudoalteromonas haloplanktis TAC125]
24,416913,ETNP_120m_free_PROKKA_162701,66.50,21,21,8.19E6,5,5,5,,8807,Acyl carrier protein
109,373006,CAG23421.1,65.27,11,11,2.48E6,2,2,2,,30633,Putative ribose ABC transporter  periplasmic D-ribose-binding protein [Photobacterium profundum SS9]
36,416529,ETNP14_120mac_PROKKA_59481,64.98,10,10,5.33E7,3,3,4,,11741,50S ribosomal protein L7/L12
36,416530,ETNP14_68maa_PROKKA_184662,64.98,9,9,5.33E7,3,3,4,,13448,50S ribosomal protein L7/L12
36,416531,ETNP14_120mab_PROKKA_115310,64.98,9,9,5.33E7,3,3,4,,13532,50S ribosomal protein L7/L12
36,373058,WP_011467406.1,64.98,9,9,5.33E7,3,3,4,,12664,50S ribosomal protein L7/L12 [Saccharophagus degradans]
36,416564,ETNP14_68maa_PROKKA_24672,64.98,9,9,5.33E7,3,3,4,,13190,50S ribosomal protein L7/L12
36,416565,ETNP14_68maa_PROKKA_118970,64.98,17,17,5.33E7,3,3,4,,6711,50S ribosomal protein L7/L12
36,416566,ETNP14_120maa_PROKKA_149250,64.98,17,17,5.33E7,3,3,4,,6697,50S ribosomal protein L7/L12
36,416567,ETNP14_120mab_PROKKA_44347,64.98,17,17,5.33E7,3,3,4,,6711,50S ribosomal protein L7/L12
36,373041,ACL73412.1,64.98,9,9,5.33E7,3,3,4,,12865,50S ribosomal protein L7/L12 [Thioalkalivibrio sulfidiphilus HL-EbGr7]
36,416568,ETNP14_68mB_PROKKA_54644,64.98,13,13,5.33E7,3,3,4,,8815,50S ribosomal protein L7/L12
36,416569,ETNP14_68mB_PROKKA_28040,64.98,9,9,5.33E7,3,3,4,,13237,50S ribosomal protein L7/L12
36,416598,ETNP14_68mB_PROKKA_147791,64.98,31,31,5.33E7,3,3,4,,3570,50S ribosomal protein L7/L12
36,416599,ETNP14_120mac_PROKKA_92200,64.98,22,22,5.33E7,3,3,4,,5106,50S ribosomal protein L7/L12
36,416600,ETNP14_68mB_PROKKA_180981,64.98,22,22,5.33E7,3,3,4,,5172,50S ribosomal protein L7/L12
36,416601,ETNP14_120mac_PROKKA_93697,64.98,17,17,5.33E7,3,3,4,,6656,50S ribosomal protein L7/L12
36,416602,ETNP14_120mac_PROKKA_29700,64.98,11,11,5.33E7,3,3,4,,10205,50S ribosomal protein L7/L12
36,416603,ETNP14_68maa_PROKKA_22044,64.98,9,9,5.33E7,3,3,4,,13022,50S ribosomal protein L7/L12
36,416604,NP_300m_PROKKA_09619,64.98,9,9,5.33E7,3,3,4,,13036,50S ribosomal protein L7/L12
36,416605,NP_85m_PROKKA_02778,64.98,9,9,5.33E7,3,3,4,,13036,50S ribosomal protein L7/L12
36,416606,ETNP14_120mab_PROKKA_135270,64.98,9,9,5.33E7,3,3,4,,12835,50S ribosomal protein L7/L12
36,416607,NP_100m_PROKKA_03218,64.98,9,9,5.33E7,3,3,4,,13036,50S ribosomal protein L7/L12
36,416608,ETNP14_68mB_PROKKA_108271,64.98,9,9,5.33E7,3,3,4,,12894,50S ribosomal protein L7/L12
36,416609,ETNP14_120mac_PROKKA_22701,64.98,9,9,5.33E7,3,3,4,,12886,50S ribosomal protein L7/L12
36,416610,ETNP14_68mB_PROKKA_138407,64.98,9,9,5.33E7,3,3,4,,12923,50S ribosomal protein L7/L12
36,416611,ETNP14_120maa_PROKKA_176953,64.98,9,9,5.33E7,3,3,4,,13252,50S ribosomal protein L7/L12
36,416612,NP_85m_PROKKA_27594,64.98,9,9,5.33E7,3,3,4,,12945,50S ribosomal protein L7/L12
36,416613,ETNP14_68maa_PROKKA_57025,64.98,9,9,5.33E7,3,3,4,,13252,50S ribosomal protein L7/L12
36,416614,ETNP14_68maa_PROKKA_117253,64.98,8,8,5.33E7,3,3,4,,13482,50S ribosomal protein L7/L12
36,416615,ETNP14_68mB_PROKKA_120086,64.98,8,8,5.33E7,3,3,4,,13511,50S ribosomal protein L7/L12
36,416616,NP_85m_PROKKA_00085,64.98,8,8,5.33E7,3,3,4,,13511,50S ribosomal protein L7/L12
57,373014,CAI86717.1,62.88,5,5,4.76E5,1,1,1,Carbamidomethylation,30051,succinyl-CoA synthetase  alpha subunit  NAD(P)-binding [Pseudoalteromonas haloplanktis TAC125]
37,373038,WP_011219116.1,62.20,4,4,7.37E6,3,2,3,,60785,30S ribosomal protein S1 [Photobacterium profundum]
50,373008,WP_011220056.1,61.86,5,5,9.62E5,2,2,2,,48461,glutathione-disulfide reductase [Photobacterium profundum]
111,370701,WP_011217182.1,61.36,4,4,2.58E6,2,2,2,,32293,malate dehydrogenase [Photobacterium profundum]
111,59559,WP_015068149,61.36,4,4,2.58E6,2,2,2,,32269,malate dehydrogenase Alteromonas mediterranea
111,416534,ETNP14_120maa_PROKKA_160642,61.36,4,4,2.58E6,2,2,2,,32612,Malate dehydrogenase
111,416535,ETNP14_120mab_PROKKA_09335,61.36,4,4,2.58E6,2,2,2,,32041,Malate dehydrogenase
111,59533,XP_003055830,61.36,3,3,2.58E6,2,2,2,,37439,malate dehydrogenase  Micromonas pusilla CCMP1545
111,416538,ETNP14_120mab_PROKKA_10092,61.36,11,11,2.58E6,2,2,2,,11698,Malate dehydrogenase
111,416539,NP_300m_PROKKA_50724,61.36,11,11,2.58E6,2,2,2,,11573,Malate dehydrogenase
111,416540,ETNP_180m_PROKKA_220526,61.36,9,9,2.58E6,2,2,2,,14750,Malate dehydrogenase
111,416541,ETNP_120m_PROKKA_203658,61.36,9,9,2.58E6,2,2,2,,14754,Malate dehydrogenase
111,416542,ETNP14_120mab_PROKKA_47227,61.36,8,8,2.58E6,2,2,2,,15133,Malate dehydrogenase
111,416543,ETNP14_68mB_PROKKA_146510,61.36,8,8,2.58E6,2,2,2,,15179,Malate dehydrogenase
111,416544,ETNP_70m_PROKKA_87949,61.36,8,8,2.58E6,2,2,2,,15834,Malate dehydrogenase
111,416545,ETNP14_68mB_PROKKA_15384,61.36,6,6,2.58E6,2,2,2,,21129,Malate dehydrogenase
111,416546,ETNP_100m_PROKKA_92522,61.36,6,6,2.58E6,2,2,2,,21500,Malate dehydrogenase
111,416547,ETNP14_120maa_PROKKA_122468,61.36,5,5,2.58E6,2,2,2,,24002,Malate dehydrogenase
111,416548,ETNP14_120maa_PROKKA_147681,61.36,5,5,2.58E6,2,2,2,,23536,Malate dehydrogenase
111,416549,NP_30m_PROKKA_06601,61.36,5,5,2.58E6,2,2,2,,24555,Malate dehydrogenase
111,416550,ETNP14_120maa_PROKKA_171672,61.36,5,5,2.58E6,2,2,2,,24617,Malate dehydrogenase
111,416551,NP_300m_PROKKA_30083,61.36,4,4,2.58E6,2,2,2,,31989,Malate dehydrogenase
111,416552,NP_100m_PROKKA_05791,61.36,4,4,2.58E6,2,2,2,,32060,Malate dehydrogenase
111,416553,ETNP14_120maa_PROKKA_154497,61.36,4,4,2.58E6,2,2,2,,32385,Malate dehydrogenase
111,416554,ETNP14_120maa_PROKKA_54934,61.36,4,4,2.58E6,2,2,2,,32064,Malate dehydrogenase
111,416555,ETNP14_120maa_PROKKA_138345,61.36,4,4,2.58E6,2,2,2,,32162,Malate dehydrogenase
111,416556,ETNP14_120maa_PROKKA_143542,61.36,4,4,2.58E6,2,2,2,,32168,Malate dehydrogenase
111,416557,ETNP_100m_PROKKA_43030,61.36,4,4,2.58E6,2,2,2,,32399,Malate dehydrogenase
111,59563,Fosmid_PROKKA_00393,61.36,4,4,2.58E6,2,2,2,,32061,Malate dehydrogenase
111,416558,gi|1377603216,61.36,4,4,2.58E6,2,2,2,,34680,Malate dehydrogenase  glyoxysomal [Hondaea fermentalgiana]
111,59540,XP_003077929,61.36,2,2,2.58E6,2,2,2,,52316,MDHG_ORYSA Malate dehydrogenase glyoxysomal precursor dbj|BAA12870 | glyo ISS  Ostreococcus tauri
99,373015,CAI85270.1,57.54,3,3,5.77E5,2,2,2,,51987,glutamine synthetase [Pseudoalteromonas haloplanktis TAC125]
45,416685,ETNP14_68maa_PROKKA_189322,55.39,5,5,4.83E5,3,2,3,,45009,Elongation factor G 1
35,373017,WP_011467368.1,55.22,9,9,2.53E7,2,2,4,,21351,superoxide dismutase [Fe] [Saccharophagus degradans]
85,706,XP_002185730,55.11,5,5,4.94E5,2,1,2,Carbamidomethylation,49582,predicted protein  Phaeodactylum tricornutum CCAP 1055
44,4921,WP_014705255,52.63,5,5,2.13E6,2,1,2,,57199,molecular chaperone GroEL Methylophaga nitratireducenticrescens
59,416627,NP_100m_PROKKA_14622,52.47,3,3,2.48E7,2,2,3,,32063,8-oxoguanine deaminase
59,416628,ETNP_120m_particle_PROKKA_188894,52.47,3,3,2.48E7,2,2,3,,33891,8-oxoguanine deaminase
59,416629,NP_300m_PROKKA_18285,52.47,3,3,2.48E7,2,2,3,,33965,8-oxoguanine deaminase
59,416630,ETNP_140m_PROKKA_94261,52.47,2,2,2.48E7,2,2,3,,48885,8-oxoguanine deaminase
59,416631,NP_85m_PROKKA_07304,52.47,2,2,2.48E7,2,2,3,,48867,8-oxoguanine deaminase
133,413765,ETNP14_120maa_PROKKA_104180,49.92,3,3,1.98E6,2,2,2,,46954,Enolase
133,413757,ETNP14_120mab_PROKKA_146803,49.92,9,9,1.98E6,2,2,2,,17544,Enolase
112,358697,WP_011218872.1,49.49,6,6,1.8E5,2,1,2,,36725,amino acid ABC transporter substrate-binding protein [Photobacterium profundum]
38,416770,gi|1407510590,49.37,15,15,3.04E6,3,2,3,,14409,calmodulin  partial [Aspergillus subolivaceus]
38,416771,gi|1407510598,49.37,15,15,3.04E6,3,2,3,,14595,calmodulin  partial [Aspergillus nidulans]
38,416772,gi|1407510594,49.37,15,15,3.04E6,3,2,3,,14595,calmodulin  partial [Aspergillus niger]
38,416773,gi|1407510592,49.37,15,15,3.04E6,3,2,3,,14595,calmodulin  partial [Aspergillus fumigatus]
38,416774,gi|1407510600,49.37,15,15,3.04E6,3,2,3,,14595,calmodulin  partial [Aspergillus tubingensis]
38,416775,gi|1407510588,49.37,15,15,3.04E6,3,2,3,,14595,calmodulin  partial [Aspergillus welwitschiae]
38,416776,gi|1407510596,49.37,15,15,3.04E6,3,2,3,,14595,calmodulin  partial [Aspergillus ruber]
38,416777,gi|1407510584,49.37,15,15,3.04E6,3,2,3,,14595,calmodulin  partial [Aspergillus jensenii]
38,416778,gi|1407510602,49.37,15,15,3.04E6,3,2,3,,14595,calmodulin  partial [Aspergillus niveoglaucus]
38,416779,gi|1407510586,49.37,15,15,3.04E6,3,2,3,,14595,calmodulin  partial [Aspergillus candidus]
38,416780,gi|1576968176,49.37,13,13,3.04E6,3,2,3,,16997,EF-hand [Pochonia chlamydosporia 123]
38,416781,gi|1518420294,49.37,20,20,3.04E6,3,2,3,,10524,calmodulin  partial [Aspergillus fumigatus]
38,416782,gi|1518419404,49.37,20,20,3.04E6,3,2,3,,10752,calmodulin  partial [Talaromyces sp.]
38,416783,gi|1526299451,49.37,19,19,3.04E6,3,2,3,,11303,calmodulin  partial [Talaromyces variabilis]
38,416784,gi|1760825888,49.37,16,16,3.04E6,3,2,3,,13700,calmodulin  partial [Aspergillus parasiticus]
38,416789,gi|1549117919,49.37,22,22,3.04E6,3,2,3,,9958,calmodulin  partial [Penicillium sp.]
38,416790,gi|1527229289,49.37,22,22,3.04E6,3,2,3,,9958,calmodulin  partial [Aspergillus flavus]
38,416791,gi|1527229287,49.37,21,21,3.04E6,3,2,3,,10188,calmodulin  partial [Aspergillus quadrilineatus]
38,416792,gi|1760825886,49.37,21,21,3.04E6,3,2,3,,10289,calmodulin  partial [Aspergillus nomiae]
38,416793,gi|597710452,49.37,21,21,3.04E6,3,2,3,,10305,calmodulin  partial [Aspergillus terreus]
38,416794,gi|1041676142,49.37,20,20,3.04E6,3,2,3,,10547,calmodulin  partial [Penicillium sp. KMM 4672]
38,416795,gi|1344429308,49.37,19,19,3.04E6,3,2,3,,10938,calmodulin  partial [Aspergillus salinarus]
64,373091,WP_011217143.1,48.65,8,8,1.19E6,2,2,2,,15009,50S ribosomal protein L15 [Photobacterium profundum]
64,373092,WP_011467460.1,48.65,8,8,1.19E6,2,2,2,,15148,50S ribosomal protein L15 [Saccharophagus degradans]
65,373104,WP_011217129.1,47.05,10,10,1.48E6,2,2,2,Carbamidomethylation; Methylation(R),22398,50S ribosomal protein L3 [Photobacterium profundum]
331,59538,WP_012519895,47.01,3,3,1.45E5,1,1,1,Carbamidomethylation,48637,glutathione-disulfide reductase Alteromonas mediterranea
331,373019,ADI90412.1,47.01,3,3,1.45E5,1,1,1,Carbamidomethylation,49440,glutathione reductase [Acinetobacter oleivorans DR1]
331,416536,ETNP_140m_PROKKA_129489,47.01,3,3,1.45E5,1,1,1,Carbamidomethylation,47936,Glutathione amide reductase
331,416537,ETNP_120m_PROKKA_201130,47.01,3,3,1.45E5,1,1,1,Carbamidomethylation,48347,Glutathione amide reductase
60,358502,WP_011219211.1,46.10,7,7,1.38E7,1,1,1,,18750,peptidoglycan-associated lipoprotein [Photobacterium profundum]
452,59544,WP_020744472,45.17,3,3,1.28E5,1,1,1,,43237,OmpAMotB protein Alteromonas mediterranea
58,373115,CAI85921.1,44.47,2,2,2.31E7,2,1,3,,93961,conserved protein of unknown function; putative TonB-dependent receptor [Pseudoalteromonas haloplanktis TAC125]
46,50862,XP_003074861,44.07,5,5,7.96E5,3,3,3,,73277,Bip Luminal binding protein precursor probable IC  Ostreococcus tauri
46,413929,ETNP_70m_PROKKA_118962,44.07,6,6,7.96E5,3,3,3,,53909,Chaperone protein DnaK
52,373063,WP_011217137.1,43.89,6,6,1.13E6,1,1,1,,20388,50S ribosomal protein L5 [Photobacterium profundum]
52,373077,CAI87855.1,43.89,6,6,1.13E6,1,1,1,,20095,50S ribosomal subunit protein L5 [Pseudoalteromonas haloplanktis TAC125]
52,416712,ETNP14_120maa_PROKKA_113770,43.89,5,5,1.13E6,1,1,1,,20943,50S ribosomal protein L5
52,416713,ETNP14_120maa_PROKKA_145349,43.89,5,5,1.13E6,1,1,1,,21077,50S ribosomal protein L5
155,416669,ETNP_70m_PROKKA_101227,43.69,25,25,2.58E7,2,2,2,,6590,50S ribosomal protein L7/L12
155,416670,ETNP_100m_particle_PROKKA_73923,43.69,13,13,2.58E7,2,2,2,,12827,50S ribosomal protein L7/L12
155,416671,ETNP14_68maa_PROKKA_02933,43.69,13,13,2.58E7,2,2,2,,12827,50S ribosomal protein L7/L12
155,416672,ETNP14_120mab_PROKKA_98106,43.69,13,13,2.58E7,2,2,2,,12827,50S ribosomal protein L7/L12
155,416673,ETNP_90m_PROKKA_79624,43.69,13,13,2.58E7,2,2,2,,12827,50S ribosomal protein L7/L12
155,416674,ETNP_90m_PROKKA_64313,43.69,13,13,2.58E7,2,2,2,,12899,50S ribosomal protein L7/L12
79,50641,XP_003056674,43.66,2,2,6.59E5,2,2,2,,60236,ATP synthase  Micromonas pusilla CCMP1545
453,373024,WP_011217494.1,42.94,3,3,5.57E5,1,1,1,,47883,isocitrate lyase [Photobacterium profundum]
82,416649,ETNP_90m_PROKKA_113110,41.67,4,4,5E5,2,2,2,,59442,Isocitrate lyase
134,373065,WP_011467465.1,41.34,4,4,4.35E5,1,1,1,,23276,30S ribosomal protein S4 [Saccharophagus degradans]
134,416648,ETNP14_120maa_PROKKA_75969,41.34,4,4,4.35E5,1,1,1,,23484,30S ribosomal protein S4
134,416676,ETNP14_120maa_PROKKA_47185,41.34,4,4,4.35E5,1,1,1,,23542,30S ribosomal protein S4
134,373086,WP_006232362.1,41.34,4,4,4.35E5,1,1,1,,23312,30S ribosomal protein S4 [Photobacterium profundum]
134,59697,WP_007233030,41.34,4,4,4.35E5,1,1,1,,23498,30S ribosomal protein S4 gamma proteobacterium HTCC2207
134,416677,ETNP14_68maa_PROKKA_80155,41.34,4,4,4.35E5,1,1,1,,23543,30S ribosomal protein S4
134,373087,WP_011587707.1,41.34,4,4,4.35E5,1,1,1,,23659,MULTISPECIES: 30S ribosomal protein S4 [Alcanivorax]
279,373021,WP_011217614.1,41.06,4,4,3.74E5,1,1,1,,34311,cysteine synthase A [Photobacterium profundum]
279,59636,WP_012518655,41.06,4,4,3.74E5,1,1,1,,34106,cysteine synthase A Alteromonas mediterranea
279,416583,ETNP14_120maa_PROKKA_81818,41.06,4,4,3.74E5,1,1,1,,34120,Cysteine synthase A
156,59602,XP_003054774,41.03,2,2,2.03E6,1,1,1,,54844,predicted protein  Micromonas pusilla CCMP1545
78,59591,XP_003055763,40.83,0,0,3.02E6,1,1,1,,278777,nucleobaseCation symporter-1 family  Micromonas pusilla CCMP1545
158,416705,ETNP_90m_PROKKA_95735,40.32,25,25,9.93E5,2,2,2,,8563,30S ribosomal protein S21
158,373085,CAI85450.1,40.32,25,25,9.93E5,2,2,2,,8563,30S ribosomal subunit protein S21 [Pseudoalteromonas haloplanktis TAC125]
103,393105,NP_85m_PROKKA_27487,39.21,7,7,3.06E6,2,1,2,,25940,General L-amino acid-binding periplasmic protein AapJ precursor
103,404207,ETNP14_120mab_PROKKA_61575,39.21,7,7,3.06E6,2,1,2,,25922,General L-amino acid-binding periplasmic protein AapJ precursor
103,404323,NP_30m_PROKKA_06165,39.21,7,7,3.06E6,2,1,2,,25930,General L-amino acid-binding periplasmic protein AapJ precursor
103,393106,NP_125m_PROKKA_08999,39.21,7,7,3.06E6,2,1,2,,25968,General L-amino acid-binding periplasmic protein AapJ precursor
103,393107,NP_100m_PROKKA_20714,39.21,7,7,3.06E6,2,1,2,,25926,General L-amino acid-binding periplasmic protein AapJ precursor
103,392733,NP_300m_PROKKA_29559,39.21,5,5,3.06E6,2,1,2,,35723,General L-amino acid-binding periplasmic protein AapJ precursor
103,392734,NP_300m_PROKKA_31612,39.21,5,5,3.06E6,2,1,2,,35624,General L-amino acid-binding periplasmic protein AapJ precursor
103,404178,ETNP14_120maa_PROKKA_145599,39.21,5,5,3.06E6,2,1,2,,35657,General L-amino acid-binding periplasmic protein AapJ precursor
103,404317,ETNP14_68maa_PROKKA_126798,39.21,5,5,3.06E6,2,1,2,,35573,General L-amino acid-binding periplasmic protein AapJ precursor
103,404400,ETNP14_120maa_PROKKA_140179,39.21,12,12,3.06E6,2,1,2,,14857,General L-amino acid-binding periplasmic protein AapJ precursor
103,393104,NP_85m_PROKKA_40480,39.21,10,10,3.06E6,2,1,2,,17136,General L-amino acid-binding periplasmic protein AapJ precursor
620,416592,ETNP_90m_PROKKA_91041,39.17,22,22,1.12E6,1,1,1,,6119,preprotein translocase subunit YajC
620,416593,ETNP14_120mab_PROKKA_134204,39.17,12,12,1.12E6,1,1,1,,12018,preprotein translocase subunit YajC
620,373028,CAI85419.1,39.17,12,12,1.12E6,1,1,1,,11835,putative preprotein translocase IISP family  membrane subunit [Pseudoalteromonas haloplanktis TAC125]
620,416594,ETNP14_68mB_PROKKA_76770,39.17,12,12,1.12E6,1,1,1,,12053,preprotein translocase subunit YajC
620,59658,WP_012519018,39.17,12,12,1.12E6,1,1,1,,12053,preprotein translocase subunit YajC Alteromonas mediterranea
115,416691,ETNP_120m_PROKKA_113897,38.59,5,5,1.1E6,1,1,1,Methylation(R),33148,ATP synthase subunit beta
115,416692,ETNP_120m_particle_PROKKA_232704,38.59,3,3,1.1E6,1,1,1,Methylation(R),49682,ATP synthase subunit beta
157,61847,WP_014473583,37.94,1,1,7.4E5,1,1,1,,83066,TonB-dependent receptor Arcobacter sp L
135,416656,ETNP_90m_PROKKA_94637,37.86,7,7,2.9E5,1,1,1,,17586,30S ribosomal protein S5
114,373067,WP_041393828.1,37.84,2,2,5.45E5,1,1,1,,55311,2 3-bisphosphoglycerate-independent phosphoglycerate mutase [Photobacterium profundum]
42,416618,ETNP_90m_PROKKA_08793,37.58,4,4,0E0,1,1,3,Carbamidomethylation; Deamidation (NQ),33482,hypothetical protein
49,59891,XP_003058631,37.40,0,0,1.47E6,1,1,1,,271162,predicted protein  Micromonas pusilla CCMP1545
55,416904,gi|1377604951,37.23,1,1,8.16E4,1,1,1,,80304,Abnormal spindle-like microcephaly-associated protein-like [Hondaea fermentalgiana]
210,416619,ETNP14_120maa_PROKKA_89468,36.24,1,1,9.14E5,1,1,1,,69409,Chaperone protein DnaK
210,416620,ETNP14_120maa_PROKKA_07350,36.24,1,1,9.14E5,1,1,1,,69616,Chaperone protein DnaK
210,416621,ETNP_300m_PROKKA_137095,36.24,2,2,9.14E5,1,1,1,,34503,Glutamyl-tRNA(Gln) amidotransferase subunit A
210,416622,ETNP_160m_PROKKA_188974,36.24,2,2,9.14E5,1,1,1,,52363,Glutamyl-tRNA(Gln) amidotransferase subunit A
210,416623,ETNP_120m_PROKKA_174371,36.24,2,2,9.14E5,1,1,1,,52372,Glutamyl-tRNA(Gln) amidotransferase subunit A
210,416632,ETNP14_68maa_PROKKA_101317,36.24,5,5,9.14E5,1,1,1,,18301,Chaperone protein DnaK
210,416633,ETNP14_68mB_PROKKA_169780,36.24,5,5,9.14E5,1,1,1,,18357,Chaperone protein DnaK
210,416634,ETNP_90m_PROKKA_137753,36.24,5,5,9.14E5,1,1,1,,19386,Chaperone protein DnaK
72,59776,WP_005008876,36.17,0,0,3.31E5,1,1,1,,214905,hypothetical protein Nitrospina gracilis
621,416636,ETNP_120m_free_PROKKA_132934,35.13,4,4,2.03E6,1,1,1,,23150,L-seryl-tRNA(Sec) selenium transferase
159,417704,ETNP_100m_particle_PROKKA_151071,34.94,5,5,5.84E6,2,1,2,,35803,Glyceraldehyde-3-phosphate dehydrogenase
53,416766,ETNP_120m_particle_PROKKA_72493,34.88,6,6,3.22E6,1,1,2,,13671,50S ribosomal protein L7/L12
