Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 231_JA2_100m_0.3um_SKQ17_P2,Coverage (%) 233_JA4_265m_0.3_SKQ17_P2,Coverage (%) 243_JA14_965m_0.3um_SKQ17_P2,Coverage (%) 378_100m_trap_SKQ17_P2,Coverage (%) 278_265m_trap_SKQ17_P2,Coverage (%) 273_965m_trap_SKQ17_P2,Area 231_JA2_100m_0.3um_SKQ17_P2,Area 233_JA4_265m_0.3_SKQ17_P2,Area 243_JA14_965m_0.3um_SKQ17_P2,Area 378_100m_trap_SKQ17_P2,Area 278_265m_trap_SKQ17_P2,Area 273_965m_trap_SKQ17_P2,#Peptides,#Unique,#Spec 231_JA2_100m_0.3um_SKQ17_P2,#Spec 233_JA4_265m_0.3_SKQ17_P2,#Spec 243_JA14_965m_0.3um_SKQ17_P2,#Spec 378_100m_trap_SKQ17_P2,#Spec 278_265m_trap_SKQ17_P2,#Spec 273_965m_trap_SKQ17_P2,PTM,Avg. Mass,Description
16,19362,NP_300,180.72,37,5,37,0,0,0,0,,,,,,,33,0,4,50,0,0,0,0,Carbamidomethylation; Oxidation (M); Sodium adduct,39379,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
12,19369,ETNP_120,180.29,47,7,47,0,0,0,0,,,,,,,32,0,4,49,0,0,0,0,Carbamidomethylation; Oxidation (M); Sodium adduct,28984,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
22,19389,ETNP_100,179.43,35,8,35,0,0,0,0,,,,,,,28,0,4,43,0,0,0,0,Sodium adduct,24182,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
15,19367,ETNP_120,179.27,40,7,40,0,0,0,0,,,,,,,32,0,4,51,0,0,0,0,Oxidation (M); Sodium adduct,31075,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
15,19366,ETNP_140,179.27,36,6,36,0,0,0,0,,,,,,,32,0,4,51,0,0,0,0,Oxidation (M); Sodium adduct,35015,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
21,19368,NP_300,178.58,26,5,26,0,0,0,0,,5.05E5,,,,,29,1,4,48,0,0,0,0,Oxidation (M); Sodium adduct,39744,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
14,19379,ETNP_180,177.57,36,5,36,0,0,0,0,,1.68E5,,,,,31,1,4,48,0,0,0,0,Oxidation (M); Sodium adduct,39779,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
19,19378,ETNP_120,175.43,31,5,31,0,0,0,0,,,,,,,30,0,4,47,0,0,0,0,Oxidation (M); Sodium adduct,39559,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
25,19403,ETNP14_68,172.54,24,7,24,0,0,0,0,,,,,,,25,0,4,41,0,0,0,0,Oxidation (M); Sodium adduct,29180,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
30,55,ETNP_100,167.06,59,59,0,0,0,0,0,3.79E7,,,,,,23,23,39,0,0,0,0,0,Carbamidomethylation; Oxidation (M),17736,C-phycoerythrin class 2 subunit alpha
30,53,ETNP_120,167.06,59,59,0,0,0,0,0,3.79E7,,,,,,23,23,39,0,0,0,0,0,Carbamidomethylation; Oxidation (M),17736,C-phycoerythrin class 2 subunit alpha
30,54,ETNP_90,167.06,59,59,0,0,0,0,0,3.79E7,,,,,,23,23,39,0,0,0,0,0,Carbamidomethylation; Oxidation (M),17736,C-phycoerythrin class 2 subunit alpha
66,25,ETNP_90,165.85,59,59,0,0,0,0,0,1.42E7,,,,,,15,12,28,0,0,0,0,0,Oxidation (M); Deamidation (NQ); Dehydration; Sodium adduct,18407,C-phycoerythrin class 2 subunit beta
66,23,ETNP_120,165.85,59,59,0,0,0,0,0,1.42E7,,,,,,15,12,28,0,0,0,0,0,Oxidation (M); Deamidation (NQ); Dehydration; Sodium adduct,18407,C-phycoerythrin class 2 subunit beta
66,23,ETNP_120,165.85,59,59,0,0,0,0,0,1.42E7,,,,,,15,12,28,0,0,0,0,0,Oxidation (M); Deamidation (NQ); Dehydration; Sodium adduct,18407,C-phycoerythrin class 2 subunit beta
40,6,ETNP_100,164.92,43,43,0,0,0,0,0,,,,,,,19,0,31,0,0,0,0,0,Oxidation (M); Sodium adduct,29257,Photosystem II manganese-stabilizing polypeptide precursor
47,7,ETNP_90,164.91,43,43,0,0,0,0,0,,,,,,,20,0,32,0,0,0,0,0,Oxidation (M); Sodium adduct,29344,Photosystem II manganese-stabilizing polypeptide precursor
29,19387,ETNP_160,164.41,31,8,31,0,0,0,0,,,,,,,21,0,4,39,0,0,0,0,Oxidation (M); Sodium adduct,28182,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
43,5,ETNP_90,164.39,48,48,0,0,0,0,0,3.28E6,,,,,,21,6,34,0,0,0,0,0,Sodium adduct,29123,Photosystem II manganese-stabilizing polypeptide precursor
37,617,ETNP_110,163.79,68,68,0,0,0,0,0,1.94E7,,,,,,20,20,37,0,0,0,0,0,Deamidation (NQ); Sodium adduct,7685,Photosystem I reaction center subunit IV
37,618,ETNP_100,163.79,68,68,0,0,0,0,0,1.94E7,,,,,,20,20,37,0,0,0,0,0,Deamidation (NQ); Sodium adduct,7671,Photosystem I reaction center subunit IV
37,615,NP_100,163.79,68,68,0,0,0,0,0,1.94E7,,,,,,20,20,37,0,0,0,0,0,Deamidation (NQ); Sodium adduct,7685,Photosystem I reaction center subunit IV
37,616,ETNP_140,163.79,68,68,0,0,0,0,0,1.94E7,,,,,,20,20,37,0,0,0,0,0,Deamidation (NQ); Sodium adduct,7685,Photosystem I reaction center subunit IV
37,618,ETNP_100,163.79,68,68,0,0,0,0,0,1.94E7,,,,,,20,20,37,0,0,0,0,0,Deamidation (NQ); Sodium adduct,7671,Photosystem I reaction center subunit IV
37,619,ETNP_120,163.79,68,68,0,0,0,0,0,1.94E7,,,,,,20,20,37,0,0,0,0,0,Deamidation (NQ); Sodium adduct,7685,Photosystem I reaction center subunit IV
28,11,ETNP_140,162.97,82,82,0,0,0,0,0,4.04E6,,,,,,32,1,45,0,0,0,0,0,Oxidation (M),12752,hypothetical protein
28,12,ETNP_110,162.97,82,82,0,0,0,0,0,4.04E6,,,,,,32,1,45,0,0,0,0,0,Oxidation (M),12752,hypothetical protein
28,14,ETNP_100,162.97,82,82,0,0,0,0,0,4.04E6,,,,,,32,1,45,0,0,0,0,0,Oxidation (M),12752,hypothetical protein
28,15,NP_85,162.97,82,82,0,0,0,0,0,4.04E6,,,,,,32,1,45,0,0,0,0,0,Oxidation (M),12752,hypothetical protein
28,13,ETNP14_68,162.97,82,82,0,0,0,0,0,4.04E6,,,,,,32,1,45,0,0,0,0,0,Oxidation (M),12752,hypothetical protein
28,16,ETNP_90,162.97,82,82,0,0,0,0,0,4.04E6,,,,,,32,1,45,0,0,0,0,0,Oxidation (M),12752,hypothetical protein
26,18,ETNP_90,162.20,80,80,0,0,0,0,0,2.18E7,,,,,,32,1,45,0,0,0,0,0,Oxidation (M),12780,hypothetical protein
26,20,ETNP_110,162.20,80,80,0,0,0,0,0,2.18E7,,,,,,32,1,45,0,0,0,0,0,Oxidation (M),12780,hypothetical protein
26,17,ETNP_140,162.20,80,80,0,0,0,0,0,2.18E7,,,,,,32,1,45,0,0,0,0,0,Oxidation (M),12780,hypothetical protein
26,19,ETNP_100,162.20,80,80,0,0,0,0,0,2.18E7,,,,,,32,1,45,0,0,0,0,0,Oxidation (M),12780,hypothetical protein
33,1312,ETNP14_68,161.33,29,15,29,0,0,0,0,,,,,,,18,0,5,32,0,0,0,0,Carbamidomethylation; Oxidation (M); Sodium adduct,21083,Alpha-keto acid-binding periplasmic protein TakP precursor
79,4,WP_036915357,153.77,33,33,0,0,0,0,0,,,,,,,12,0,25,0,0,0,0,0,Carbamidomethylation; Sodium adduct,52679,glutamine synthetase Prochlorococcus sp MIT 0701
79,3,WP_011129980,153.77,33,33,0,0,0,0,0,,,,,,,12,0,25,0,0,0,0,0,Carbamidomethylation; Sodium adduct,52689,glutamine synthetase Prochlorococcus marinus
80,1,ETNP_100,153.42,36,36,0,0,0,0,0,5.4E6,,,,,,12,3,26,0,0,0,0,0,,51643,Glutamine synthetase
65,150,ETNP_100,151.42,43,43,0,0,0,0,0,2.4E7,,,,,,16,16,24,0,0,0,0,0,Oxidation (M); Deamidation (NQ); Dehydration; Sodium adduct,18007,Cytochrome c-550 precursor
65,148,NP_85,151.42,43,43,0,0,0,0,0,2.4E7,,,,,,16,16,24,0,0,0,0,0,Oxidation (M); Deamidation (NQ); Dehydration; Sodium adduct,18036,Cytochrome c-550 precursor
65,149,ETNP14_68,151.42,43,43,0,0,0,0,0,2.4E7,,,,,,16,16,24,0,0,0,0,0,Oxidation (M); Deamidation (NQ); Dehydration; Sodium adduct,18007,Cytochrome c-550 precursor
103,818,ETNP_120,150.19,21,7,21,0,0,0,0,5.06E5,2.3E7,,,,,6,5,2,14,0,0,0,0,Carbamidomethylation,39385,Bacterial extracellular solute-binding protein
103,816,NP_300,150.19,21,7,21,0,0,0,0,5.06E5,2.3E7,,,,,6,5,2,14,0,0,0,0,Carbamidomethylation,39385,Bacterial extracellular solute-binding protein
103,817,ETNP_120,150.19,21,7,21,0,0,0,0,5.06E5,2.3E7,,,,,6,5,2,14,0,0,0,0,Carbamidomethylation,39375,Bacterial extracellular solute-binding protein
103,819,ETNP_140,150.19,21,7,21,0,0,0,0,5.06E5,2.3E7,,,,,6,5,2,14,0,0,0,0,Carbamidomethylation,39385,Bacterial extracellular solute-binding protein
85,2,ETNP_110,149.19,37,37,0,0,0,0,0,,,,,,,10,0,24,0,0,0,0,0,Carbamidomethylation; Sodium adduct,45186,Glutamine synthetase
32,9,WP_011282064,148.58,38,28,18,20,0,2,0,,,,,,,19,0,14,11,9,0,1,0,Carbamidomethylation,37685,amino acid ABC transporter substrate-binding protein Candidatus Pelagibacter ubique
34,10,ETNP14_68,146.98,35,28,19,17,0,2,0,,,,,,,18,0,14,11,8,0,1,0,Carbamidomethylation,37467,General L-amino acid-binding periplasmic protein AapJ precursor
36,8,ETNP14_68,145.50,32,28,16,17,0,2,0,,,,,,,17,0,15,10,8,0,1,0,Carbamidomethylation,37294,General L-amino acid-binding periplasmic protein AapJ precursor
39,138,ETNP_90,145.14,65,65,0,0,0,0,0,6.83E6,,,,,,19,7,33,0,0,0,0,0,Oxidation (M),9826,DNA-binding protein HU
39,142,ETNP_160,145.14,65,65,0,0,0,0,0,6.83E6,,,,,,19,7,33,0,0,0,0,0,Oxidation (M),9826,DNA-binding protein HU
39,138,ETNP_90,145.14,65,65,0,0,0,0,0,6.83E6,,,,,,19,7,33,0,0,0,0,0,Oxidation (M),9826,DNA-binding protein HU
39,139,ETNP_140,145.14,65,65,0,0,0,0,0,6.83E6,,,,,,19,7,33,0,0,0,0,0,Oxidation (M),9826,DNA-binding protein HU
39,140,WP_011295240,145.14,65,65,0,0,0,0,0,6.83E6,,,,,,19,7,33,0,0,0,0,0,Oxidation (M),9752,DNA-binding protein Prochlorococcus
39,143,WP_011130763,145.14,65,65,0,0,0,0,0,6.83E6,,,,,,19,7,33,0,0,0,0,0,Oxidation (M),9826,DNA-binding protein Prochlorococcus
39,144,ETNP_100,145.14,65,65,0,0,0,0,0,6.83E6,,,,,,19,7,33,0,0,0,0,0,Oxidation (M),9826,DNA-binding protein HU
39,145,ETNP_110,145.14,65,65,0,0,0,0,0,6.83E6,,,,,,19,7,33,0,0,0,0,0,Oxidation (M),9826,DNA-binding protein HU
39,146,ETNP14_68,145.14,65,65,0,0,0,0,0,6.83E6,,,,,,19,7,33,0,0,0,0,0,Oxidation (M),9841,DNA-binding protein HU
24,31,XP_003062500,144.72,38,35,10,16,4,3,2,3.15E4,,,,,,33,2,28,5,9,2,2,1,Carbamidomethylation; Oxidation (M); Dehydration,49730,alpha tubulin  Micromonas pusilla CCMP1545
24,32,XP_003058621,144.72,38,35,10,16,4,3,2,3.15E4,,,,,,33,2,28,5,9,2,2,1,Carbamidomethylation; Oxidation (M); Dehydration,49730,alpha tubulin  Micromonas pusilla CCMP1545
73,134,WP_036913864,144.38,23,23,0,0,0,0,0,1.12E6,,,,,,13,1,19,0,0,0,0,0,,29231,photosystem II manganese-stabilizing polypeptide Prochlorococcus
51,172,WP_011128382,142.57,46,46,0,0,0,0,0,,,,,,,24,0,33,0,0,0,0,0,,13024,hypothetical protein Synechococcus
27,33,XP_003080933,142.06,35,30,9,15,3,5,2,,,,,1.32E6,,31,1,25,5,9,2,3,1,Carbamidomethylation; Oxidation (M); Dehydration,52460,TBA_CHLVU Tubulin alpha chain ISS  Ostreococcus tauri
35,26,NP_85,142.00,34,27,16,21,0,2,0,,,,,,,16,0,11,10,9,0,1,0,Carbamidomethylation,36415,General L-amino acid-binding periplasmic protein AapJ precursor
87,92,ETNP_90,141.65,45,45,0,0,0,0,0,1.02E7,,,,,,13,10,17,0,0,0,0,0,Oxidation (M),18490,C-phycoerythrin class 2 subunit beta
44,82,ETNP14_68,139.83,40,24,27,19,0,3,0,,,,,,,17,0,9,13,8,0,1,0,Carbamidomethylation,32890,General L-amino acid-binding periplasmic protein AapJ precursor
38,75,NP_100,139.66,36,23,23,18,0,2,0,,,,,,,18,0,11,12,8,0,1,0,Carbamidomethylation,35769,General L-amino acid-binding periplasmic protein AapJ precursor
42,102,ETNP_120,137.43,26,21,18,17,0,2,0,,,,,,,14,0,10,11,8,0,1,0,Carbamidomethylation,36943,General L-amino acid-binding periplasmic protein AapJ precursor
49,106,ETNP_150,136.24,46,34,33,28,0,4,0,,,,,,,15,0,10,12,8,0,1,0,Carbamidomethylation,22939,General L-amino acid-binding periplasmic protein AapJ precursor
46,79,ETNP_120,135.89,25,21,18,14,0,2,0,,,,,,,12,0,10,10,6,0,1,0,Carbamidomethylation,37469,General L-amino acid-binding periplasmic protein AapJ precursor
89,1109,ETNP14_120,135.45,42,4,42,0,0,0,0,,3.88E6,,,,,12,5,1,20,0,0,0,0,Carbamidomethylation; Deamidation (NQ); Dehydration,36427,General L-amino acid-binding periplasmic protein AapJ precursor
89,1108,NP_300,135.45,42,4,42,0,0,0,0,,3.88E6,,,,,12,5,1,20,0,0,0,0,Carbamidomethylation; Deamidation (NQ); Dehydration,36427,General L-amino acid-binding periplasmic protein AapJ precursor
89,19373,ETNP_120,135.45,42,4,42,0,0,0,0,,3.88E6,,,,,12,5,1,20,0,0,0,0,Carbamidomethylation; Deamidation (NQ); Dehydration,36427,General L-amino acid-binding periplasmic protein AapJ precursor
89,19374,ETNP_160,135.45,42,4,42,0,0,0,0,,3.88E6,,,,,12,5,1,20,0,0,0,0,Carbamidomethylation; Deamidation (NQ); Dehydration,36427,General L-amino acid-binding periplasmic protein AapJ precursor
89,19375,ETNP_140,135.45,42,4,42,0,0,0,0,,3.88E6,,,,,12,5,1,20,0,0,0,0,Carbamidomethylation; Deamidation (NQ); Dehydration,36427,General L-amino acid-binding periplasmic protein AapJ precursor
52,29,ETNP14_120,135.17,28,21,17,17,0,2,0,,,,,,,14,0,11,10,8,0,1,0,Carbamidomethylation,37337,General L-amino acid-binding periplasmic protein AapJ precursor
67,56,WP_018047900,134.99,8,6,4,4,0,0,0,4.84E6,1.96E6,1.43E5,,,,12,3,11,8,4,0,0,0,Oxidation (M); Deamidation (NQ),133487,hypothetical protein Nitrospina sp AB-629-B18
50,86,ETNP14_120,134.70,25,18,18,13,0,2,0,,,,,,,13,0,8,10,7,0,1,0,Carbamidomethylation,37502,General L-amino acid-binding periplasmic protein AapJ precursor
62,27,ETNP14_68,134.37,73,73,0,0,0,0,0,2.24E6,,,,,,23,6,30,0,0,0,0,0,Oxidation (M),13363,hypothetical protein
69,2000,ETNP_70,134.18,10,4,7,0,0,7,10,1.3E4,6.81E5,,,1.51E7,1.58E7,9,6,1,3,0,0,5,10,,41848,Bacterial actin-related protein
54,165,ETNP_120,134.09,63,63,0,0,0,0,0,6.06E5,,,,,,13,1,26,0,0,0,0,0,Oxidation (M),9884,DNA-binding protein HU 1
54,166,ETNP_100,134.09,63,63,0,0,0,0,0,6.06E5,,,,,,13,1,26,0,0,0,0,0,Oxidation (M),9884,DNA-binding protein HU 1
54,167,ETNP_90,134.09,63,63,0,0,0,0,0,6.06E5,,,,,,13,1,26,0,0,0,0,0,Oxidation (M),9884,DNA-binding protein HU 1
54,164,WP_028952679,134.09,63,63,0,0,0,0,0,6.06E5,,,,,,13,1,26,0,0,0,0,0,Oxidation (M),9798,DNA-binding protein Synechococcus
54,161,ETNP_100,134.09,63,63,0,0,0,0,0,6.06E5,,,,,,13,1,26,0,0,0,0,0,Oxidation (M),9840,DNA-binding protein HU
54,162,ETNP_140,134.09,63,63,0,0,0,0,0,6.06E5,,,,,,13,1,26,0,0,0,0,0,Oxidation (M),9840,DNA-binding protein HU
54,163,ETNP_90,134.09,63,63,0,0,0,0,0,6.06E5,,,,,,13,1,26,0,0,0,0,0,Oxidation (M),9840,DNA-binding protein HU
82,80,ETNP14_68,133.76,71,71,0,0,0,0,0,,,,,,,12,0,27,0,0,0,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),15623,Photosystem I reaction center subunit II
81,38,ETNP_90,133.51,77,77,0,0,0,0,0,8.5E6,,,,,,12,2,27,0,0,0,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),15726,Photosystem I reaction center subunit II
48,76,ETNP14_120,133.20,25,18,17,17,0,2,0,,,,,,,13,0,9,10,8,0,1,0,Carbamidomethylation,37413,General L-amino acid-binding periplasmic protein AapJ precursor
45,30,ETNP14_68,133.00,22,21,16,13,0,2,0,,,,,,,13,0,12,10,6,0,1,0,Carbamidomethylation,37979,General L-amino acid-binding periplasmic protein AapJ precursor
68,238,ETNP_100,131.15,34,34,0,0,0,0,0,,,,,,,16,0,24,0,0,0,0,0,Oxidation (M),15617,hypothetical protein
68,235,ETNP_120,131.15,34,34,0,0,0,0,0,,,,,,,16,0,24,0,0,0,0,0,Oxidation (M),15617,hypothetical protein
68,235,ETNP_120,131.15,34,34,0,0,0,0,0,,,,,,,16,0,24,0,0,0,0,0,Oxidation (M),15617,hypothetical protein
68,237,ETNP_90,131.15,34,34,0,0,0,0,0,,,,,,,16,0,24,0,0,0,0,0,Oxidation (M),15617,hypothetical protein
55,77,ETNP14_68,130.46,38,28,23,19,0,3,0,,,,,,,14,0,9,10,7,0,1,0,Carbamidomethylation,27000,General L-amino acid-binding periplasmic protein AapJ precursor
64,57,ETNP14_120,129.18,40,34,22,22,0,4,0,,,,,,,13,0,10,9,7,0,1,0,Carbamidomethylation,22870,General L-amino acid-binding periplasmic protein AapJ precursor
64,67,ETNP14_68,129.18,47,40,26,26,0,4,0,,,,,,,13,0,10,9,7,0,1,0,Carbamidomethylation,19715,General L-amino acid-binding periplasmic protein AapJ precursor
75,152,ETNP_100,129.17,27,27,12,13,0,3,0,,,,,,,13,0,10,5,4,0,1,0,Carbamidomethylation,30921,General L-amino acid-binding periplasmic protein AapJ precursor
96,528,ETNP14_120,128.67,56,15,54,7,0,0,0,,,,,,,9,0,4,9,5,0,0,0,Oxidation (M); Deamidation (NQ),21707,Selenate reductase subunit gamma precursor
41,35,ETNP14_68,128.32,32,22,12,13,0,0,0,7.71E6,8.59E6,,,,,16,2,9,6,8,0,0,0,Carbamidomethylation,49437,Selenate reductase subunit beta
41,36,WP_018047899,128.32,32,22,12,13,0,0,0,7.71E6,8.59E6,,,,,16,2,9,6,8,0,0,0,Carbamidomethylation,49419,hypothetical protein Nitrospina sp AB-629-B18
41,34,NP_85,128.32,32,22,12,13,0,0,0,7.71E6,8.59E6,,,,,16,2,9,6,8,0,0,0,Carbamidomethylation,49419,Selenate reductase subunit beta
86,108,WP_036911259,128.26,63,63,0,0,0,0,0,,,,,,,10,0,24,0,0,0,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),15782,photosystem I reaction center subunit II Prochlorococcus
86,109,WP_011131077,128.26,63,63,0,0,0,0,0,,,,,,,10,0,24,0,0,0,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),15752,photosystem I protein PsaD Prochlorococcus marinus
86,107,ETNP_120,128.26,63,63,0,0,0,0,0,,,,,,,10,0,24,0,0,0,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),15782,Photosystem I reaction center subunit II
63,69,ETNP14_68,127.53,46,34,22,22,0,4,0,,,,,,,14,0,9,9,7,0,1,0,Carbamidomethylation,22930,General L-amino acid-binding periplasmic protein AapJ precursor
101,928,ETNP_160,126.80,62,13,59,8,0,0,0,,,,,,,8,0,3,8,5,0,0,0,Oxidation (M); Deamidation (NQ),18459,Selenate reductase subunit gamma precursor
31,1250,XP_003061104,126.56,17,6,10,0,6,11,17,,,,7.49E6,6.72E5,8.66E6,11,4,2,4,0,3,4,10,,41766,actin flagellar inner arm intermediate chain  Micromonas pusilla CCMP1545
53,188,ETNP14_120,126.47,18,13,16,9,0,2,0,,,,,,,10,0,7,10,5,0,1,0,Carbamidomethylation,40275,General L-amino acid-binding periplasmic protein AapJ precursor
53,189,ETNP_100,126.47,18,13,16,9,0,2,0,,,,,,,10,0,7,10,5,0,1,0,Carbamidomethylation,40322,General L-amino acid-binding periplasmic protein AapJ precursor
105,62,ETNP_90,126.23,84,84,12,0,0,0,0,,,,,,,8,0,11,1,0,0,0,0,,10831,10 kDa chaperonin
105,63,ETNP_100,126.23,84,84,12,0,0,0,0,,,,,,,8,0,11,1,0,0,0,0,,10831,10 kDa chaperonin
