Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 231_JA2_100m_0.3um_SKQ17_P2,Area 231_JA2_100m_0.3um_SKQ17_P2,#Peptides,#Unique,#Spec 231_JA2_100m_0.3um_SKQ17_P2,PTM,Avg. Mass,Description
32,392001,ETNP_100m_particle_PROKKA_120141,185.45,40,40,5.4E6,14,3,30,,51643,Glutamine synthetase
28,3,WP_011129980,182.80,35,35,1.24E6,14,1,29,Carbamidomethylation; Deamidation (NQ),52689,glutamine synthetase Prochlorococcus marinus
28,4,WP_036915357,182.80,35,35,1.24E6,14,1,29,Carbamidomethylation; Deamidation (NQ),52679,glutamine synthetase Prochlorococcus sp MIT 0701
6,392072,gi|54036848,182.36,11,11,8.91E8,8,5,74,,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
26,392131,NP_85m_PROKKA_23185,179.03,56,56,2.89E7,27,27,34,Oxidation (M),18036,Cytochrome c-550 precursor
26,392132,ETNP14_68mB_PROKKA_05712,179.03,56,56,2.89E7,27,27,34,Oxidation (M),18007,Cytochrome c-550 precursor
26,392133,ETNP_100m_PROKKA_20700,179.03,56,56,2.89E7,27,27,34,Oxidation (M),18007,Cytochrome c-550 precursor
27,134,WP_036913864,178.61,28,28,2.83E6,20,2,30,,29231,photosystem II manganese-stabilizing polypeptide Prochlorococcus
29,392101,ETNP_90m_PROKKA_138320,167.28,45,45,1.11E7,20,14,28,Oxidation (M),18490,C-phycoerythrin class 2 subunit beta
11,392118,ETNP_90m_PROKKA_53889,164.12,65,65,7.32E6,25,8,47,Oxidation (M); Deamidation (NQ); Hydroxylation,9826,DNA-binding protein HU
11,392119,ETNP_140m_PROKKA_151089,164.12,65,65,7.32E6,25,8,47,Oxidation (M); Deamidation (NQ); Hydroxylation,9826,DNA-binding protein HU
11,392120,ETNP_90m_PROKKA_61191,164.12,65,65,7.32E6,25,8,47,Oxidation (M); Deamidation (NQ); Hydroxylation,9826,DNA-binding protein HU
11,392121,ETNP_160m_PROKKA_172610,164.12,65,65,7.32E6,25,8,47,Oxidation (M); Deamidation (NQ); Hydroxylation,9826,DNA-binding protein HU
11,143,WP_011130763,164.12,65,65,7.32E6,25,8,47,Oxidation (M); Deamidation (NQ); Hydroxylation,9826,DNA-binding protein Prochlorococcus
11,392122,ETNP_100m_PROKKA_47820,164.12,65,65,7.32E6,25,8,47,Oxidation (M); Deamidation (NQ); Hydroxylation,9826,DNA-binding protein HU
11,392123,ETNP_110m_PROKKA_13715,164.12,65,65,7.32E6,25,8,47,Oxidation (M); Deamidation (NQ); Hydroxylation,9826,DNA-binding protein HU
11,140,WP_011295240,164.12,65,65,7.32E6,25,8,47,Oxidation (M); Deamidation (NQ); Hydroxylation,9752,DNA-binding protein Prochlorococcus
11,358178,WP_011295240.1,164.12,65,65,7.32E6,25,8,47,Oxidation (M); Deamidation (NQ); Hydroxylation,9752,MULTISPECIES: HU family DNA-binding protein [Prochlorococcus]
11,392124,ETNP14_68mB_PROKKA_59190,164.12,65,65,7.32E6,25,8,47,Oxidation (M); Deamidation (NQ); Hydroxylation,9841,DNA-binding protein HU
12,392048,ETNP14_68mB_PROKKA_50287,161.60,77,77,2.24E6,30,6,43,Oxidation (M),13363,hypothetical protein
30,392035,ETNP_90m_PROKKA_24349,157.98,78,78,8.54E6,13,2,31,Carbamidomethylation; Oxidation (M); Deamidation (NQ),15726,Photosystem I reaction center subunit II
19,392146,ETNP_100m_particle_PROKKA_68767,153.59,63,63,1.04E6,19,2,38,Oxidation (M); Deamidation (NQ); Hydroxylation,9840,DNA-binding protein HU
19,392147,ETNP_140m_PROKKA_20457,153.59,63,63,1.04E6,19,2,38,Oxidation (M); Deamidation (NQ); Hydroxylation,9840,DNA-binding protein HU
19,392148,ETNP_90m_PROKKA_93078,153.59,63,63,1.04E6,19,2,38,Oxidation (M); Deamidation (NQ); Hydroxylation,9840,DNA-binding protein HU
19,358184,CAK24354.1,153.59,63,63,1.04E6,19,2,38,Oxidation (M); Deamidation (NQ); Hydroxylation,9855,DNA-binding protein HU [Synechococcus sp. WH 7803]
19,164,WP_028952679,153.59,63,63,1.04E6,19,2,38,Oxidation (M); Deamidation (NQ); Hydroxylation,9798,DNA-binding protein Synechococcus
19,392149,ETNP_120m_PROKKA_328578,153.59,63,63,1.04E6,19,2,38,Oxidation (M); Deamidation (NQ); Hydroxylation,9884,DNA-binding protein HU 1
19,392150,ETNP_100m_particle_PROKKA_148077,153.59,63,63,1.04E6,19,2,38,Oxidation (M); Deamidation (NQ); Hydroxylation,9884,DNA-binding protein HU 1
19,392151,ETNP_90m_PROKKA_82892,153.59,63,63,1.04E6,19,2,38,Oxidation (M); Deamidation (NQ); Hydroxylation,9884,DNA-binding protein HU 1
37,392006,ETNP14_68maa_PROKKA_162902,145.37,34,34,1.33E5,15,1,22,Carbamidomethylation,37294,General L-amino acid-binding periplasmic protein AapJ precursor
47,392045,ETNP_140m_PROKKA_16312,143.08,85,85,1.7E6,9,1,16,,10815,10 kDa chaperonin
47,392046,ETNP_120m_PROKKA_272803,143.08,75,75,1.7E6,9,1,16,,12446,10 kDa chaperonin
47,392047,ETNP_100m_particle_PROKKA_95343,143.08,75,75,1.7E6,9,1,16,,12446,10 kDa chaperonin
56,56,WP_018047900,142.26,7,7,5.58E6,9,3,14,Oxidation (M),133487,hypothetical protein Nitrospina sp AB-629-B18
54,392134,ETNP14_68mB_PROKKA_64035,140.77,47,47,1.58E7,13,13,18,Methylation(R),19236,Secreted effector protein pipB2
65,392109,ETNP_100m_PROKKA_21902,134.46,19,19,3.55E4,12,1,13,,57358,60 kDa chaperonin 1
65,392110,ETNP_90m_PROKKA_165095,134.46,19,19,3.55E4,12,1,13,,57358,60 kDa chaperonin 1
65,392111,ETNP_90m_PROKKA_150918,134.46,19,19,3.55E4,12,1,13,,57387,60 kDa chaperonin 1
65,392112,ETNP_120m_PROKKA_272804,134.46,19,19,3.55E4,12,1,13,,57387,60 kDa chaperonin 1
48,358203,CAK22918.1,132.44,30,30,2.4E6,16,7,20,,17825,C-phycoerythrin class II alpha chain [Synechococcus sp. WH 7803]
77,120,WP_011127385,131.69,17,17,2.29E6,11,1,12,Methylation(R),57175,molecular chaperone GroEL Synechococcus
77,121,WP_038546435,131.69,17,17,2.29E6,11,1,12,Methylation(R),57099,molecular chaperone GroEL Synechococcus sp KORDI-100
61,392100,ETNP14_68maa_PROKKA_139945,127.88,37,37,8.17E6,11,8,14,Carbamidomethylation; Deamidation (NQ),27433,Photosystem II manganese-stabilizing polypeptide precursor
55,820,WP_038543228,127.35,28,28,8.22E5,12,1,20,Carbamidomethylation; Deamidation (NQ); Methylation(R),17823,bleomycin hydrolase Synechococcus sp KORDI-100
84,392130,ETNP14_120mab_PROKKA_93722,124.07,37,37,5.82E5,9,1,11,Carbamidomethylation,19778,General L-amino acid-binding periplasmic protein AapJ precursor
43,392091,gi|1377599527,123.35,27,27,2.21E5,17,1,20,Carbamidomethylation; Oxidation (M),50355,Tubulin alpha chain [Hondaea fermentalgiana]
69,429,WP_036913959,120.97,42,42,1.83E6,8,1,15,,13062,photosystem II complex extrinsic protein precursor U Prochlorococcus
60,392098,NP_85m_PROKKA_04529,120.68,35,35,1.05E7,17,8,18,Carbamidomethylation; Oxidation (M),49419,Selenate reductase subunit beta
60,392099,ETNP14_68maa_PROKKA_75202,120.68,35,35,1.05E7,17,8,18,Carbamidomethylation; Oxidation (M),49437,Selenate reductase subunit beta
60,36,WP_018047899,120.68,35,35,1.05E7,17,8,18,Carbamidomethylation; Oxidation (M),49419,hypothetical protein Nitrospina sp AB-629-B18
92,392093,ETNP14_68maa_PROKKA_171658,120.59,48,48,9.46E6,8,7,11,Carbamidomethylation; Oxidation (M),16351,hypothetical protein
85,392145,ETNP_120m_PROKKA_17226,117.73,17,17,2.6E6,9,1,15,,39122,Chlorate reductase subunit gamma precursor
78,392140,NP_85m_PROKKA_04528,117.56,8,8,2.78E4,6,1,9,Oxidation (M),95451,Perchlorate reductase subunit alpha precursor
78,392141,ETNP14_120maa_PROKKA_56104,117.56,8,8,2.78E4,6,1,9,Oxidation (M),96721,Perchlorate reductase subunit alpha precursor
64,392229,ETNP_100m_particle_PROKKA_26451,117.17,75,75,4.89E5,10,2,13,Oxidation (M),10550,Major carboxysome shell protein 1A
64,392230,ETNP_90m_PROKKA_04314,117.17,75,75,4.89E5,10,2,13,Oxidation (M),10550,Major carboxysome shell protein 1A
100,392665,ETNP_100m_PROKKA_74688,117.02,49,49,6.92E4,8,1,9,,8598,Acyl carrier protein
100,392666,ETNP14_68maa_PROKKA_164198,117.02,49,49,6.92E4,8,1,9,,8598,Acyl carrier protein
100,392667,ETNP_160m_PROKKA_92744,117.02,44,44,6.92E4,8,1,9,,9468,Acyl carrier protein
100,392668,ETNP_140m_PROKKA_132622,117.02,44,44,6.92E4,8,1,9,,9498,Acyl carrier protein
100,392669,ETNP_90m_PROKKA_181880,117.02,44,44,6.92E4,8,1,9,,9498,Acyl carrier protein
39,392196,ETNP_100m_particle_PROKKA_82300,116.97,42,42,1.06E7,12,5,16,,14624,Tubulin/FtsZ family  GTPase domain
68,392231,ETNP_90m_PROKKA_30580,116.28,75,75,1.08E6,10,2,14,Oxidation (M),10552,Major carboxysome shell protein 1A
68,392232,ETNP_120m_PROKKA_20159,116.28,75,75,1.08E6,10,2,14,Oxidation (M),10552,Major carboxysome shell protein 1A
68,392233,ETNP14_68maa_PROKKA_134414,116.28,75,75,1.08E6,10,2,14,Oxidation (M),10552,Major carboxysome shell protein 1A
68,392234,ETNP_100m_PROKKA_47359,116.28,75,75,1.08E6,10,2,14,Oxidation (M),10552,Major carboxysome shell protein 1A
68,392235,ETNP_160m_PROKKA_02087,116.28,75,75,1.08E6,10,2,14,Oxidation (M),10552,Major carboxysome shell protein 1A
68,392236,ETNP_110m_PROKKA_33158,116.28,75,75,1.08E6,10,2,14,Oxidation (M),10552,Major carboxysome shell protein 1A
105,392282,NP_85m_PROKKA_17755,112.39,17,17,6.24E6,5,5,8,Oxidation (M); Methylation(R),38586,Divinyl chlorophyll a/b light-harvesting protein PcbB
113,358274,CAK22623.1,111.76,40,40,5.54E6,8,1,9,,8641,Acyl carrier protein [Synechococcus sp. WH 7803]
113,1532,WP_007099572,111.76,40,40,5.54E6,8,1,9,,8641,acyl carrier protein Synechococcus
113,393122,ETNP_120m_free_PROKKA_89878,111.76,40,40,5.54E6,8,1,9,,8658,Acyl carrier protein
113,1534,WP_011131320,111.76,40,40,5.54E6,8,1,9,,8658,acyl carrier protein Prochlorococcus
113,393123,ETNP_100m_particle_PROKKA_90903,111.76,36,36,5.54E6,8,1,9,,9548,Acyl carrier protein
113,393124,NP_30m_PROKKA_14706,111.76,36,36,5.54E6,8,1,9,,9512,Acyl carrier protein
113,393125,ETNP_90m_PROKKA_58147,111.76,36,36,5.54E6,8,1,9,,9518,Acyl carrier protein
113,393126,NP_85m_PROKKA_10162,111.76,36,36,5.54E6,8,1,9,,9548,Acyl carrier protein
113,393127,ETNP_110m_PROKKA_06308,111.76,36,36,5.54E6,8,1,9,,9548,Acyl carrier protein
113,393128,ETNP14_68maa_PROKKA_121802,111.76,36,36,5.54E6,8,1,9,,9503,Acyl carrier protein
113,393129,ETNP_120m_PROKKA_02296,111.76,36,36,5.54E6,8,1,9,,9503,Acyl carrier protein
113,393130,ETNP_90m_PROKKA_156293,111.76,36,36,5.54E6,8,1,9,,9548,Acyl carrier protein
113,393131,ETNP_120m_PROKKA_287328,111.76,36,36,5.54E6,8,1,9,,9548,Acyl carrier protein
94,392126,ETNP14_120mab_PROKKA_25453,110.66,26,26,1.07E5,9,1,13,Oxidation (M),32866,Ethylbenzene dehydrogenase
123,392160,NP_85m_PROKKA_21447,107.68,20,20,1.95E6,6,3,8,,28964,Ethylbenzene dehydrogenase
80,358214,CAK23103.1,107.10,71,71,2.65E5,9,1,12,Oxidation (M),10584,Carboxysome shell peptide [Synechococcus sp. WH 7803]
80,274,WP_006169870,107.10,71,71,2.65E5,9,1,12,Oxidation (M),10584,carbon dioxide-concentrating mechanism protein CcmK Cyanobacteria
93,392341,ETNP_100m_PROKKA_74107,106.08,22,22,3.01E6,9,5,11,,16306,hypothetical protein
88,392285,ETNP14_68maa_PROKKA_93702,105.43,45,45,1.02E5,9,1,12,Carbamidomethylation,15614,Photosystem I reaction center subunit II
89,329,WP_042851104,104.57,46,46,4.13E5,9,1,12,Carbamidomethylation; Hydroxylation,15685,photosystem I reaction center subunit II Prochlorococcus sp MIT 0604
99,392161,ETNP14_68maa_PROKKA_65160,104.57,34,34,3.22E6,9,5,12,Deamidation (NQ),28050,Photosystem II manganese-stabilizing polypeptide precursor
141,392117,ETNP_100m_PROKKA_92665,104.22,36,36,4.82E6,6,1,8,Carbamidomethylation,23940,Photosystem I reaction center subunit III precursor
87,392238,ETNP_120m_PROKKA_44614,99.45,79,79,3.2E7,8,8,14,,5091,hypothetical protein
124,392162,ETNP_120m_free_PROKKA_60142,98.58,24,24,6.28E6,5,5,8,,28624,hypothetical protein
167,393480,NP_85m_PROKKA_22881,97.14,16,16,4.12E6,3,2,6,Oxidation (M),12331,Plastocyanin precursor
167,393481,ETNP_90m_PROKKA_03190,97.14,16,16,4.12E6,3,2,6,Oxidation (M),12331,Plastocyanin precursor
167,393482,ETNP_120m_PROKKA_52531,97.14,15,15,4.12E6,3,2,6,Oxidation (M),12648,Plastocyanin precursor
167,393483,ETNP_140m_PROKKA_39322,97.14,15,15,4.12E6,3,2,6,Oxidation (M),12648,Plastocyanin precursor
183,393180,ETNP_120m_PROKKA_15747,96.74,10,10,7.97E6,3,3,5,,24509,hypothetical protein
216,393477,ETNP_90m_PROKKA_202194,96.55,16,16,2.92E6,3,2,4,Oxidation (M),12305,Plastocyanin precursor
125,392173,ETNP_100m_PROKKA_06068,95.66,24,24,5.19E5,6,1,9,Oxidation (M),21395,Ethylbenzene dehydrogenase
114,392302,ETNP_100m_particle_PROKKA_137338,95.20,58,58,2.91E5,7,1,9,Oxidation (M),8411,hypothetical protein
91,392287,ETNP_110m_PROKKA_20909,95.13,37,37,8.12E4,10,1,11,Carbamidomethylation; Oxidation (M),25167,Dimethylsulfide dehydrogenase subunit beta
81,392358,ETNP_110m_PROKKA_06307,95.01,59,59,4.68E6,5,1,10,Carbamidomethylation; Oxidation (M); Deamidation (NQ),8846,Photosystem I iron-sulfur center
81,392359,ETNP_100m_PROKKA_74687,95.01,59,59,4.68E6,5,1,10,Carbamidomethylation; Oxidation (M); Deamidation (NQ),8846,Photosystem I iron-sulfur center
81,392360,ETNP_90m_PROKKA_156294,95.01,59,59,4.68E6,5,1,10,Carbamidomethylation; Oxidation (M); Deamidation (NQ),8846,Photosystem I iron-sulfur center
81,392361,ETNP_90m_PROKKA_181879,95.01,59,59,4.68E6,5,1,10,Carbamidomethylation; Oxidation (M); Deamidation (NQ),8846,Photosystem I iron-sulfur center
81,392362,ETNP14_68maa_PROKKA_164197,95.01,59,59,4.68E6,5,1,10,Carbamidomethylation; Oxidation (M); Deamidation (NQ),8846,Photosystem I iron-sulfur center
81,392363,ETNP_100m_particle_PROKKA_90902,95.01,59,59,4.68E6,5,1,10,Carbamidomethylation; Oxidation (M); Deamidation (NQ),8846,Photosystem I iron-sulfur center
101,392163,ETNP_120m_PROKKA_239033,94.79,40,40,5.59E6,7,5,11,Oxidation (M),19139,C-phycoerythrin class 1 subunit beta
101,392164,ETNP_120m_free_PROKKA_147966,94.79,40,40,5.59E6,7,5,11,Oxidation (M),19139,C-phycoerythrin class 1 subunit beta
101,392165,ETNP_100m_particle_PROKKA_112481,94.79,40,40,5.59E6,7,5,11,Oxidation (M),19139,C-phycoerythrin class 1 subunit beta
139,392240,NP_85m_PROKKA_13246,94.71,27,27,1.41E6,4,1,7,,17602,30S ribosomal protein S7
139,392243,ETNP_160m_PROKKA_206881,94.71,32,32,1.41E6,4,1,7,,14820,30S ribosomal protein S7
139,392244,ETNP_100m_PROKKA_95633,94.71,27,27,1.41E6,4,1,7,,17558,30S ribosomal protein S7
156,392206,ETNP_90m_PROKKA_51357,94.62,32,32,9.45E5,5,4,6,Deamidation (NQ),20410,hypothetical protein
156,392207,ETNP_120m_PROKKA_302154,94.62,29,29,9.45E5,5,4,6,Deamidation (NQ),22196,hypothetical protein
137,392226,gi|1694830452,94.59,15,15,5.22E5,6,3,7,,41658,gamma actin  partial [Aspergillus loretoensis]
137,392227,gi|1576969351,94.59,15,15,5.22E5,6,3,7,,42798,hypothetical protein I1G_00004902 [Pochonia chlamydosporia 123]
163,392275,ETNP_100m_particle_PROKKA_06251,93.83,7,7,5.53E6,4,4,7,Carbamidomethylation,81826,Photosystem I P700 chlorophyll a apoprotein A2
163,394,WP_036912722,93.83,7,7,5.53E6,4,4,7,Carbamidomethylation,83193,photosystem I P700 chlorophyll a apoprotein A2 Prochlorococcus
163,392276,NP_85m_PROKKA_09264,93.83,7,7,5.53E6,4,4,7,Carbamidomethylation,83226,Photosystem I P700 chlorophyll a apoprotein A2
157,392259,ETNP_160m_PROKKA_201077,93.45,73,73,6.58E6,7,7,7,Oxidation (M),7684,Thioredoxin
157,392260,ETNP_90m_PROKKA_41164,93.45,58,58,6.58E6,7,7,7,Oxidation (M),9926,Thioredoxin-1
157,392261,ETNP_120m_particle_PROKKA_115227,93.45,57,57,6.58E6,7,7,7,Oxidation (M),10054,Thioredoxin-1
157,392262,ETNP_110m_PROKKA_28542,93.45,49,49,6.58E6,7,7,7,Oxidation (M),11595,Thioredoxin-1
157,392263,ETNP_100m_PROKKA_06117,93.45,49,49,6.58E6,7,7,7,Oxidation (M),11595,Thioredoxin-1
157,392264,NP_100m_PROKKA_30403,93.45,49,49,6.58E6,7,7,7,Oxidation (M),11595,Thioredoxin-1
157,392265,ETNP_140m_PROKKA_156431,93.45,49,49,6.58E6,7,7,7,Oxidation (M),11565,Thioredoxin-1
157,392266,ETNP_90m_PROKKA_201449,93.45,49,49,6.58E6,7,7,7,Oxidation (M),11595,Thioredoxin-1
157,392267,ETNP14_68mB_PROKKA_48654,93.45,49,49,6.58E6,7,7,7,Oxidation (M),11565,Thioredoxin-1
157,392268,ETNP_100m_PROKKA_21464,93.45,49,49,6.58E6,7,7,7,Oxidation (M),11565,Thioredoxin-1
157,392269,ETNP_90m_PROKKA_102584,93.45,49,49,6.58E6,7,7,7,Oxidation (M),11592,Thioredoxin-1
157,386,WP_011130499,93.45,49,49,6.58E6,7,7,7,Oxidation (M),11592,thioredoxin Prochlorococcus
157,392270,ETNP_110m_PROKKA_29592,93.45,49,49,6.58E6,7,7,7,Oxidation (M),11565,Thioredoxin-1
157,392271,ETNP_160m_PROKKA_179873,93.45,49,49,6.58E6,7,7,7,Oxidation (M),11565,Thioredoxin-1
157,392272,ETNP_140m_PROKKA_136007,93.45,49,49,6.58E6,7,7,7,Oxidation (M),11595,Thioredoxin-1
157,392273,NP_85m_PROKKA_19416,93.45,49,49,6.58E6,7,7,7,Oxidation (M),11565,Thioredoxin-1
157,392274,ETNP_100m_particle_PROKKA_94903,93.45,49,49,6.58E6,7,7,7,Oxidation (M),11609,Thioredoxin-1
102,392289,ETNP14_68mB_PROKKA_68372,93.03,41,41,2.82E6,10,7,10,Carbamidomethylation,15535,hypothetical protein
102,392290,NP_85m_PROKKA_40167,93.03,37,37,2.82E6,10,7,10,Carbamidomethylation,17070,hypothetical protein
102,392291,ETNP14_120maa_PROKKA_137065,93.03,36,36,2.82E6,10,7,10,Carbamidomethylation,17527,hypothetical protein
102,392292,ETNP_120m_PROKKA_272956,93.03,36,36,2.82E6,10,7,10,Carbamidomethylation,17527,hypothetical protein
147,392835,ETNP_100m_PROKKA_24476,92.68,27,27,3.27E6,4,2,6,,12390,Nitrogen regulatory protein P-II
147,392836,ETNP_90m_PROKKA_202569,92.68,27,27,3.27E6,4,2,6,,12390,Nitrogen regulatory protein P-II
147,392837,ETNP_120m_PROKKA_54126,92.68,27,27,3.27E6,4,2,6,,12390,Nitrogen regulatory protein P-II
147,392838,NP_85m_PROKKA_31666,92.68,27,27,3.27E6,4,2,6,,12376,Nitrogen regulatory protein P-II
147,392839,ETNP_100m_particle_PROKKA_137353,92.68,27,27,3.27E6,4,2,6,,12390,Nitrogen regulatory protein P-II
147,392840,ETNP_120m_PROKKA_235908,92.68,27,27,3.27E6,4,2,6,,12376,Nitrogen regulatory protein P-II
147,392841,ETNP_100m_PROKKA_53395,92.68,27,27,3.27E6,4,2,6,,12376,Nitrogen regulatory protein P-II
147,392842,ETNP_90m_PROKKA_165756,92.68,27,27,3.27E6,4,2,6,,12376,Nitrogen regulatory protein P-II
147,392843,ETNP14_68maa_PROKKA_72299,92.68,27,27,3.27E6,4,2,6,,12376,Nitrogen regulatory protein P-II
147,1271,WP_011130849,92.68,27,27,3.27E6,4,2,6,,12362,nitrogen regulatory protein P-II Prochlorococcus marinus
147,1272,WP_036911385,92.68,27,27,3.27E6,4,2,6,,12390,nitrogen regulatory protein P-II Prochlorococcus
121,392197,ETNP_90m_PROKKA_01802,92.66,18,18,2.47E6,5,4,7,,36689,Glyceraldehyde-3-phosphate dehydrogenase 2
121,392198,ETNP14_68maa_PROKKA_157355,92.66,18,18,2.47E6,5,4,7,,36689,Glyceraldehyde-3-phosphate dehydrogenase 2
121,392203,ETNP_100m_particle_PROKKA_29654,92.66,18,18,2.47E6,5,4,7,,36256,Glyceraldehyde-3-phosphate dehydrogenase 2
121,251,WP_036913110,92.66,18,18,2.47E6,5,4,7,,36764,glyceraldehyde-3-phosphate dehydrogenase Prochlorococcus
121,252,WP_041384819,92.66,18,18,2.47E6,5,4,7,,36707,glyceraldehyde-3-phosphate dehydrogenase Prochlorococcus marinus
121,392204,ETNP_120m_PROKKA_342620,92.66,18,18,2.47E6,5,4,7,,36589,Glyceraldehyde-3-phosphate dehydrogenase 2
177,392184,ETNP_100m_particle_PROKKA_128035,92.02,21,21,5.83E4,5,2,5,,33083,Fructose-bisphosphate aldolase class 2
177,392185,ETNP_120m_particle_PROKKA_27564,92.02,21,21,5.83E4,5,2,5,,34130,Fructose-bisphosphate aldolase class 2
177,392186,ETNP_100m_PROKKA_70731,92.02,19,19,5.83E4,5,2,5,,37818,Fructose-bisphosphate aldolase class 2
177,392187,ETNP_90m_PROKKA_03450,92.02,19,19,5.83E4,5,2,5,,37818,Fructose-bisphosphate aldolase class 2
108,392624,ETNP_120m_PROKKA_74132,91.09,32,32,1.52E7,6,6,7,,7159,hypothetical protein
111,392247,ETNP_90m_PROKKA_154007,89.42,32,32,7.06E6,5,5,7,Oxidation (M),13144,50S ribosomal protein L7/L12
111,392248,ETNP_120m_PROKKA_306576,89.42,32,32,7.06E6,5,5,7,Oxidation (M),13144,50S ribosomal protein L7/L12
111,392249,ETNP_100m_PROKKA_36244,89.42,32,32,7.06E6,5,5,7,Oxidation (M),13144,50S ribosomal protein L7/L12
111,392250,ETNP_110m_PROKKA_13764,89.42,32,32,7.06E6,5,5,7,Oxidation (M),13144,50S ribosomal protein L7/L12
111,392251,ETNP_100m_particle_PROKKA_109179,89.42,32,32,7.06E6,5,5,7,Oxidation (M),13144,50S ribosomal protein L7/L12
104,392210,ETNP_120m_free_PROKKA_147965,89.37,38,38,1.3E6,7,4,7,Oxidation (M),17863,C-phycoerythrin class 1 subunit alpha
