Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) etnp-ja09-20170531,Coverage (%) etnp-ja10-20170531,Coverage (%) etnp-ja11-20170531,Coverage (%) etnp-ja12-20170531,Coverage (%) etnp-ja13-20170531,Coverage (%) etnp-ja14-20170531,Coverage (%) etnp-ja15-20170531,Coverage (%) etnp-ja16-20170531,Area etnp-ja09-20170531,Area etnp-ja10-20170531,Area etnp-ja11-20170531,Area etnp-ja12-20170531,Area etnp-ja13-20170531,Area etnp-ja14-20170531,Area etnp-ja15-20170531,Area etnp-ja16-20170531,#Peptides,#Unique,#Spec etnp-ja09-20170531,#Spec etnp-ja10-20170531,#Spec etnp-ja11-20170531,#Spec etnp-ja12-20170531,#Spec etnp-ja13-20170531,#Spec etnp-ja14-20170531,#Spec etnp-ja15-20170531,#Spec etnp-ja16-20170531,PTM,Avg. Mass,Description
68,66117,NP_300m_PROKKA_06204,237.39,44,0,30,42,38,39,0,0,0,,3.08E6,2.98E7,2.64E7,2.43E7,,,,17,13,0,10,29,22,25,0,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),39385,Bacterial extracellular solute-binding protein
68,66118,ETNP_140m_PROKKA_80561,237.39,44,0,30,42,38,39,0,0,0,,3.08E6,2.98E7,2.64E7,2.43E7,,,,17,13,0,10,29,22,25,0,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),39385,Bacterial extracellular solute-binding protein
68,8,ETNP_120m_particle_PROKKA_168206,237.39,44,0,30,42,38,39,0,0,0,,3.08E6,2.98E7,2.64E7,2.43E7,,,,17,13,0,10,29,22,25,0,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),39375,Bacterial extracellular solute-binding protein
50,12,ETNP_90m_PROKKA_178606,236.90,67,29,67,0,0,0,0,0,0,2.26E4,1.59E7,,,,,,,80,39,10,103,0,0,0,0,0,0,Carbamidomethylation; Deamidation (NQ),29123,Photosystem II manganese-stabilizing polypeptide precursor
1,336,gi|54036848,234.11,13,11,11,11,11,11,11,13,11,3.86E8,4.64E8,3.33E8,3.68E8,3.39E8,4.02E8,4.43E8,4.5E8,15,8,54,58,47,47,43,51,45,47,Deamidation (NQ),95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
24,66206,ETNP_180m_PROKKA_32538,230.86,68,0,13,67,41,16,0,0,0,,,4.9E4,,,,,,86,1,0,10,91,39,7,0,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),39779,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
48,343,ETNP_300m_PROKKA_116083,230.81,53,0,17,53,35,18,2,0,0,,,1.6E5,,,,,,70,1,0,9,76,30,7,1,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),32718,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
70,66135,ETNP14_120maa_PROKKA_113527,227.28,61,5,21,55,50,36,4,0,0,1.71E3,2.56E5,2.63E6,1.25E6,5.36E5,,,,32,9,2,6,30,28,17,1,0,0,Carbamidomethylation; Deamidation (NQ),36427,General L-amino acid-binding periplasmic protein AapJ precursor
70,66136,NP_300m_PROKKA_05383,227.28,61,5,21,55,50,36,4,0,0,1.71E3,2.56E5,2.63E6,1.25E6,5.36E5,,,,32,9,2,6,30,28,17,1,0,0,Carbamidomethylation; Deamidation (NQ),36427,General L-amino acid-binding periplasmic protein AapJ precursor
70,66137,ETNP_120m_PROKKA_05595,227.28,61,5,21,55,50,36,4,0,0,1.71E3,2.56E5,2.63E6,1.25E6,5.36E5,,,,32,9,2,6,30,28,17,1,0,0,Carbamidomethylation; Deamidation (NQ),36427,General L-amino acid-binding periplasmic protein AapJ precursor
70,66138,ETNP_160m_PROKKA_33848,227.28,61,5,21,55,50,36,4,0,0,1.71E3,2.56E5,2.63E6,1.25E6,5.36E5,,,,32,9,2,6,30,28,17,1,0,0,Carbamidomethylation; Deamidation (NQ),36427,General L-amino acid-binding periplasmic protein AapJ precursor
70,66139,ETNP_140m_PROKKA_123038,227.28,61,5,21,55,50,36,4,0,0,1.71E3,2.56E5,2.63E6,1.25E6,5.36E5,,,,32,9,2,6,30,28,17,1,0,0,Carbamidomethylation; Deamidation (NQ),36427,General L-amino acid-binding periplasmic protein AapJ precursor
4,128,ETNP14_68maa_PROKKA_144097,226.95,70,0,27,70,45,18,2,0,0,,,2.3E5,,,,,,120,1,0,14,127,44,7,1,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),39674,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
55,66156,NP_85m_PROKKA_23185,225.92,81,16,81,0,0,0,0,0,0,3.62E5,6.04E7,,,,,,,75,75,3,95,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),18036,Cytochrome c-550 precursor
55,66157,ETNP14_68mB_PROKKA_05712,225.92,81,16,81,0,0,0,0,0,0,3.62E5,6.04E7,,,,,,,75,75,3,95,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),18007,Cytochrome c-550 precursor
55,66158,ETNP_100m_PROKKA_20700,225.92,81,16,81,0,0,0,0,0,0,3.62E5,6.04E7,,,,,,,75,75,3,95,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),18007,Cytochrome c-550 precursor
58,66120,ETNP_160m_PROKKA_119323,225.77,51,3,22,47,51,48,10,0,0,,1.78E5,2.64E6,2.7E6,3.55E6,,,,32,2,1,7,29,28,26,4,0,0,Carbamidomethylation; Deamidation (NQ),36148,General L-amino acid-binding periplasmic protein AapJ precursor
58,66121,ETNP_300m_PROKKA_105808,225.77,51,3,22,47,51,48,10,0,0,,1.78E5,2.64E6,2.7E6,3.55E6,,,,32,2,1,7,29,28,26,4,0,0,Carbamidomethylation; Deamidation (NQ),36148,General L-amino acid-binding periplasmic protein AapJ precursor
58,66122,ETNP_120m_PROKKA_168017,225.77,51,3,22,47,51,48,10,0,0,,1.78E5,2.64E6,2.7E6,3.55E6,,,,32,2,1,7,29,28,26,4,0,0,Carbamidomethylation; Deamidation (NQ),36148,General L-amino acid-binding periplasmic protein AapJ precursor
58,66123,ETNP_140m_PROKKA_10452,225.77,51,3,22,47,51,48,10,0,0,,1.78E5,2.64E6,2.7E6,3.55E6,,,,32,2,1,7,29,28,26,4,0,0,Carbamidomethylation; Deamidation (NQ),36148,General L-amino acid-binding periplasmic protein AapJ precursor
58,66124,NP_300m_PROKKA_13658,225.77,51,3,22,47,51,48,10,0,0,,1.78E5,2.64E6,2.7E6,3.55E6,,,,32,2,1,7,29,28,26,4,0,0,Carbamidomethylation; Deamidation (NQ),36148,General L-amino acid-binding periplasmic protein AapJ precursor
58,66125,ETNP_180m_PROKKA_126275,225.77,51,3,22,47,51,48,10,0,0,,1.78E5,2.64E6,2.7E6,3.55E6,,,,32,2,1,7,29,28,26,4,0,0,Carbamidomethylation; Deamidation (NQ),36148,General L-amino acid-binding periplasmic protein AapJ precursor
7,66182,NP_85m_PROKKA_14278,223.00,66,0,21,66,45,18,2,0,0,,,1.28E5,,,,,,111,1,0,12,119,40,7,1,0,0,Carbamidomethylation; Oxidation (M),39694,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
7,66183,NP_300m_PROKKA_22657,223.00,66,0,21,66,45,18,2,0,0,,,1.28E5,,,,,,111,1,0,12,119,40,7,1,0,0,Carbamidomethylation; Oxidation (M),39694,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
64,66163,ETNP_300m_PROKKA_73574,219.38,58,3,13,48,45,55,10,0,0,,,1.09E6,1.07E6,2.34E6,,,,38,5,1,4,27,28,27,4,0,0,Carbamidomethylation; Deamidation (NQ),36178,General L-amino acid-binding periplasmic protein AapJ precursor
64,66164,ETNP_160m_PROKKA_166020,219.38,58,3,13,48,45,55,10,0,0,,,1.09E6,1.07E6,2.34E6,,,,38,5,1,4,27,28,27,4,0,0,Carbamidomethylation; Deamidation (NQ),36178,General L-amino acid-binding periplasmic protein AapJ precursor
64,66165,ETNP_120m_PROKKA_139021,219.38,58,3,13,48,45,55,10,0,0,,,1.09E6,1.07E6,2.34E6,,,,38,5,1,4,27,28,27,4,0,0,Carbamidomethylation; Deamidation (NQ),36178,General L-amino acid-binding periplasmic protein AapJ precursor
64,66166,ETNP_140m_PROKKA_149386,219.38,58,3,13,48,45,55,10,0,0,,,1.09E6,1.07E6,2.34E6,,,,38,5,1,4,27,28,27,4,0,0,Carbamidomethylation; Deamidation (NQ),36178,General L-amino acid-binding periplasmic protein AapJ precursor
64,66167,ETNP_180m_PROKKA_37417,219.38,58,3,13,48,45,55,10,0,0,,,1.09E6,1.07E6,2.34E6,,,,38,5,1,4,27,28,27,4,0,0,Carbamidomethylation; Deamidation (NQ),36178,General L-amino acid-binding periplasmic protein AapJ precursor
67,66477,ETNP_110m_PROKKA_04004,214.40,82,31,82,28,0,0,0,0,0,5.1E5,9.81E7,1.92E5,,,,,,52,52,7,76,4,0,0,0,0,0,Oxidation (M); Deamidation (NQ),7685,Photosystem I reaction center subunit IV
67,66478,ETNP_100m_particle_PROKKA_97369,214.40,82,31,82,28,0,0,0,0,0,5.1E5,9.81E7,1.92E5,,,,,,52,52,7,76,4,0,0,0,0,0,Oxidation (M); Deamidation (NQ),7671,Photosystem I reaction center subunit IV
67,66479,NP_100m_PROKKA_25090,214.40,82,31,82,28,0,0,0,0,0,5.1E5,9.81E7,1.92E5,,,,,,52,52,7,76,4,0,0,0,0,0,Oxidation (M); Deamidation (NQ),7685,Photosystem I reaction center subunit IV
67,66480,ETNP_140m_PROKKA_82407,214.40,82,31,82,28,0,0,0,0,0,5.1E5,9.81E7,1.92E5,,,,,,52,52,7,76,4,0,0,0,0,0,Oxidation (M); Deamidation (NQ),7685,Photosystem I reaction center subunit IV
67,66481,ETNP_100m_PROKKA_85480,214.40,82,31,82,28,0,0,0,0,0,5.1E5,9.81E7,1.92E5,,,,,,52,52,7,76,4,0,0,0,0,0,Oxidation (M); Deamidation (NQ),7671,Photosystem I reaction center subunit IV
67,66482,ETNP_120m_particle_PROKKA_46067,214.40,82,31,82,28,0,0,0,0,0,5.1E5,9.81E7,1.92E5,,,,,,52,52,7,76,4,0,0,0,0,0,Oxidation (M); Deamidation (NQ),7685,Photosystem I reaction center subunit IV
65,66184,ETNP_100m_particle_PROKKA_144421,209.52,74,17,74,0,0,0,0,0,0,3.69E5,4.67E7,,,,,,,67,67,3,87,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M),17736,C-phycoerythrin class 2 subunit alpha
65,66185,ETNP_120m_PROKKA_239026,209.52,74,17,74,0,0,0,0,0,0,3.69E5,4.67E7,,,,,,,67,67,3,87,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M),17736,C-phycoerythrin class 2 subunit alpha
65,66186,ETNP_90m_PROKKA_15075,209.52,74,17,74,0,0,0,0,0,0,3.69E5,4.67E7,,,,,,,67,67,3,87,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M),17736,C-phycoerythrin class 2 subunit alpha
85,66199,ETNP_100m_particle_PROKKA_39634,205.51,41,3,17,31,35,37,6,0,0,,,,,0E0,,,,24,1,1,5,18,22,19,2,0,0,Carbamidomethylation; Deamidation (NQ),36030,General L-amino acid-binding periplasmic protein AapJ precursor
85,66200,ETNP_120m_PROKKA_103370,205.51,41,3,17,31,35,37,6,0,0,,,,,0E0,,,,24,1,1,5,18,22,19,2,0,0,Carbamidomethylation; Deamidation (NQ),36030,General L-amino acid-binding periplasmic protein AapJ precursor
85,66201,ETNP_120m_free_PROKKA_267033,205.51,41,3,17,31,35,37,6,0,0,,,,,0E0,,,,24,1,1,5,18,22,19,2,0,0,Carbamidomethylation; Deamidation (NQ),36030,General L-amino acid-binding periplasmic protein AapJ precursor
99,66155,NP_300m_PROKKA_19608,204.82,36,0,16,29,29,27,0,0,0,,1.14E6,1.04E7,1.07E7,1.37E7,,,,12,8,0,4,18,20,21,0,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),39249,Bacterial extracellular solute-binding protein
124,66220,WP_036913864,203.34,36,15,33,3,0,0,0,0,0,2.34E5,1.57E6,3.69E5,,,,,,34,2,5,42,1,0,0,0,0,0,Oxidation (M); Deamidation (NQ),29231,photosystem II manganese-stabilizing polypeptide Prochlorococcus
8,66151,WP_011282064,201.65,60,33,40,40,42,37,31,0,0,,,1.06E5,,,,,,62,1,17,22,42,35,36,26,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),37685,amino acid ABC transporter substrate-binding protein Candidatus Pelagibacter ubique
74,66289,ETNP_100m_particle_PROKKA_44805,201.50,84,11,11,84,83,63,0,0,0,,,1.26E6,3.22E5,1.66E5,,,,40,9,1,3,37,20,17,0,0,0,,8047,hypothetical protein
74,66290,NP_300m_PROKKA_10490,201.50,84,11,11,84,83,63,0,0,0,,,1.26E6,3.22E5,1.66E5,,,,40,9,1,3,37,20,17,0,0,0,,8047,hypothetical protein
74,66291,ETNP_110m_PROKKA_49452,201.50,84,11,11,84,83,63,0,0,0,,,1.26E6,3.22E5,1.66E5,,,,40,9,1,3,37,20,17,0,0,0,,8047,hypothetical protein
74,66292,ETNP14_120maa_PROKKA_47014,201.50,84,11,11,84,83,63,0,0,0,,,1.26E6,3.22E5,1.66E5,,,,40,9,1,3,37,20,17,0,0,0,,8047,hypothetical protein
116,66213,ETNP_90m_PROKKA_24349,192.95,70,42,70,0,0,0,0,0,0,,1.47E6,,,,,,,31,2,7,44,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M),15726,Photosystem I reaction center subunit II
131,66114,NP_300m_PROKKA_04737,192.74,28,0,8,17,21,26,1,0,0,,2.01E5,8.83E5,1.25E6,9.46E5,,,,18,8,0,5,11,12,17,2,0,0,Deamidation (NQ),77292,putative ABC transporter-binding protein precursor
131,66115,ETNP_120m_particle_PROKKA_76508,192.74,28,0,8,17,21,26,1,0,0,,2.01E5,8.83E5,1.25E6,9.46E5,,,,18,8,0,5,11,12,17,2,0,0,Deamidation (NQ),77292,putative ABC transporter-binding protein precursor
66,66189,ETNP_90m_PROKKA_62874,191.50,94,63,94,0,0,0,0,0,0,5.72E5,2.24E7,,,,,,,66,4,15,73,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M),12780,hypothetical protein
66,66190,ETNP_110m_PROKKA_10944,191.50,94,63,94,0,0,0,0,0,0,5.72E5,2.24E7,,,,,,,66,4,15,73,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M),12780,hypothetical protein
66,66191,ETNP_140m_PROKKA_61974,191.50,94,63,94,0,0,0,0,0,0,5.72E5,2.24E7,,,,,,,66,4,15,73,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M),12780,hypothetical protein
66,66192,ETNP_100m_particle_PROKKA_129096,191.50,94,63,94,0,0,0,0,0,0,5.72E5,2.24E7,,,,,,,66,4,15,73,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M),12780,hypothetical protein
34,238,ETNP14_120maa_PROKKA_173526,190.95,56,30,30,52,44,49,40,0,0,,,,,3.23E4,1.16E5,,,48,3,11,10,37,26,33,24,0,0,Carbamidomethylation; Deamidation (NQ),22868,General L-amino acid-binding periplasmic protein AapJ precursor
62,66193,ETNP_140m_PROKKA_125786,190.69,94,64,94,0,0,0,0,0,0,1.98E6,3.43E7,,,,,,,66,4,16,75,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M),12752,hypothetical protein
62,66194,ETNP_110m_PROKKA_26060,190.69,94,64,94,0,0,0,0,0,0,1.98E6,3.43E7,,,,,,,66,4,16,75,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M),12752,hypothetical protein
62,66195,ETNP_100m_particle_PROKKA_13293,190.69,94,64,94,0,0,0,0,0,0,1.98E6,3.43E7,,,,,,,66,4,16,75,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M),12752,hypothetical protein
62,66196,NP_85m_PROKKA_07695,190.69,94,64,94,0,0,0,0,0,0,1.98E6,3.43E7,,,,,,,66,4,16,75,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M),12752,hypothetical protein
62,66197,ETNP14_68maa_PROKKA_115320,190.69,94,64,94,0,0,0,0,0,0,1.98E6,3.43E7,,,,,,,66,4,16,75,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M),12752,hypothetical protein
62,66198,ETNP_90m_PROKKA_180048,190.69,94,64,94,0,0,0,0,0,0,1.98E6,3.43E7,,,,,,,66,4,16,75,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M),12752,hypothetical protein
107,66159,ETNP_120m_PROKKA_310245,189.88,34,0,14,34,32,25,0,0,0,,4.35E6,2.23E7,2.19E7,2.04E7,,,,17,14,0,5,18,18,15,0,0,0,Carbamidomethylation; Deamidation (NQ),39772,Alpha-keto acid-binding periplasmic protein TakP precursor
107,66160,ETNP_120m_particle_PROKKA_108393,189.88,34,0,14,34,32,25,0,0,0,,4.35E6,2.23E7,2.19E7,2.04E7,,,,17,14,0,5,18,18,15,0,0,0,Carbamidomethylation; Deamidation (NQ),39772,Alpha-keto acid-binding periplasmic protein TakP precursor
107,66161,NP_300m_PROKKA_08503,189.88,34,0,14,34,32,25,0,0,0,,4.35E6,2.23E7,2.19E7,2.04E7,,,,17,14,0,5,18,18,15,0,0,0,Carbamidomethylation; Deamidation (NQ),39772,Alpha-keto acid-binding periplasmic protein TakP precursor
107,66162,ETNP_110m_PROKKA_29371,189.88,34,0,14,34,32,25,0,0,0,,4.35E6,2.23E7,2.19E7,2.04E7,,,,17,14,0,5,18,18,15,0,0,0,Carbamidomethylation; Deamidation (NQ),39772,Alpha-keto acid-binding periplasmic protein TakP precursor
125,261,NP_85m_PROKKA_25020,189.85,72,34,72,0,0,0,0,0,0,,3.66E5,,,,,,,30,1,6,42,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M),15669,Photosystem I reaction center subunit II
254,66307,NP_100m_PROKKA_03094,187.09,28,0,19,26,12,15,0,0,0,,1.48E6,1.63E6,,8.04E5,,,,13,4,0,7,10,3,6,0,0,0,Carbamidomethylation; Deamidation (NQ),39587,Leu/Ile/Val/Thr-binding protein precursor
175,66134,ETNP_100m_particle_PROKKA_120141,185.93,41,16,38,0,0,0,0,0,0,,5.63E4,,,,,,,23,1,9,30,0,0,0,0,0,0,Deamidation (NQ),51643,Glutamine synthetase
76,66462,ETNP_110m_PROKKA_50884,185.76,84,13,27,69,80,81,0,0,0,,,1.78E4,,,,,,36,2,2,5,30,17,22,0,0,0,,7989,hypothetical protein
76,66463,ETNP14_120maa_PROKKA_134411,185.76,84,13,27,69,80,81,0,0,0,,,1.78E4,,,,,,36,2,2,5,30,17,22,0,0,0,,7989,hypothetical protein
76,66464,NP_85m_PROKKA_06153,185.76,84,13,27,69,80,81,0,0,0,,,1.78E4,,,,,,36,2,2,5,30,17,22,0,0,0,,7989,hypothetical protein
76,66465,ETNP_100m_particle_PROKKA_77473,185.76,84,13,27,69,80,81,0,0,0,,,1.78E4,,,,,,36,2,2,5,30,17,22,0,0,0,,7989,hypothetical protein
76,66466,ETNP_100m_PROKKA_62640,185.76,84,13,27,69,80,81,0,0,0,,,1.78E4,,,,,,36,2,2,5,30,17,22,0,0,0,,7989,hypothetical protein
76,66467,NP_300m_PROKKA_11192,185.76,84,13,27,69,80,81,0,0,0,,,1.78E4,,,,,,36,2,2,5,30,17,22,0,0,0,,7989,hypothetical protein
76,66468,ETNP_150m_particle_PROKKA_11507,185.76,84,13,27,69,80,81,0,0,0,,,1.78E4,,,,,,36,2,2,5,30,17,22,0,0,0,,7989,hypothetical protein
76,66469,ETNP_300m_PROKKA_00700,185.76,84,13,27,69,80,81,0,0,0,,,1.78E4,,,,,,36,2,2,5,30,17,22,0,0,0,,7989,hypothetical protein
76,66470,NP_100m_PROKKA_00297,185.76,84,13,27,69,80,81,0,0,0,,,1.78E4,,,,,,36,2,2,5,30,17,22,0,0,0,,7989,hypothetical protein
73,66324,NP_300m_PROKKA_01039,185.73,81,13,27,81,81,81,0,0,0,,,1.37E6,5.35E5,1.46E6,,,,37,6,2,5,30,18,24,0,0,0,,8031,hypothetical protein
73,66325,ETNP_300m_PROKKA_46898,185.73,81,13,27,81,81,81,0,0,0,,,1.37E6,5.35E5,1.46E6,,,,37,6,2,5,30,18,24,0,0,0,,8031,hypothetical protein
73,66326,ETNP_120m_PROKKA_227310,185.73,81,13,27,81,81,81,0,0,0,,,1.37E6,5.35E5,1.46E6,,,,37,6,2,5,30,18,24,0,0,0,,8031,hypothetical protein
73,66327,ETNP_140m_PROKKA_82664,185.73,81,13,27,81,81,81,0,0,0,,,1.37E6,5.35E5,1.46E6,,,,37,6,2,5,30,18,24,0,0,0,,8031,hypothetical protein
73,66328,ETNP14_120maa_PROKKA_59212,185.73,81,13,27,81,81,81,0,0,0,,,1.37E6,5.35E5,1.46E6,,,,37,6,2,5,30,18,24,0,0,0,,8031,hypothetical protein
73,66329,ETNP_120m_particle_PROKKA_36613,185.73,81,13,27,81,81,81,0,0,0,,,1.37E6,5.35E5,1.46E6,,,,37,6,2,5,30,18,24,0,0,0,,8031,hypothetical protein
73,66330,ETNP_180m_PROKKA_27630,185.73,81,13,27,81,81,81,0,0,0,,,1.37E6,5.35E5,1.46E6,,,,37,6,2,5,30,18,24,0,0,0,,8031,hypothetical protein
79,102,ETNP_140m_PROKKA_16312,185.47,99,59,99,12,12,24,0,0,0,,1.29E6,,,,,,,41,3,12,52,3,1,4,0,0,0,Deamidation (NQ),10815,10 kDa chaperonin
79,66187,ETNP_120m_PROKKA_272803,185.47,87,52,87,10,10,21,0,0,0,,1.29E6,,,,,,,41,3,12,52,3,1,4,0,0,0,Deamidation (NQ),12446,10 kDa chaperonin
79,66188,ETNP_100m_particle_PROKKA_95343,185.47,87,52,87,10,10,21,0,0,0,,1.29E6,,,,,,,41,3,12,52,3,1,4,0,0,0,Deamidation (NQ),12446,10 kDa chaperonin
179,66129,WP_036915357,184.76,35,14,35,0,0,0,0,0,0,2.5E4,2.54E5,,,,,,,21,2,9,29,0,0,0,0,0,0,Carbamidomethylation; Deamidation (NQ),52679,glutamine synthetase Prochlorococcus sp MIT 0701
179,66130,WP_011129980,184.76,35,14,35,0,0,0,0,0,0,2.5E4,2.54E5,,,,,,,21,2,9,29,0,0,0,0,0,0,Carbamidomethylation; Deamidation (NQ),52689,glutamine synthetase Prochlorococcus marinus
61,138,ETNP_110m_PROKKA_49243,184.55,56,0,0,38,50,43,0,0,0,,,5.25E6,8.45E6,4.92E6,,,,54,54,0,0,23,40,28,0,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),47623,Aliphatic amidase expression-regulating protein
61,66154,NP_125m_PROKKA_07093,184.55,53,0,0,36,47,41,0,0,0,,,5.25E6,8.45E6,4.92E6,,,,54,54,0,0,23,40,28,0,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),50268,Aliphatic amidase expression-regulating protein
200,16,ETNP_110m_PROKKA_40292,183.80,45,11,42,0,0,0,0,0,0,,4.64E5,,,,,,,21,1,6,27,0,0,0,0,0,0,Carbamidomethylation; Deamidation (NQ),45186,Glutamine synthetase
52,256,ETNP14_120mab_PROKKA_51545,180.37,53,22,36,39,47,42,32,0,0,,,,,,8.89E4,,,39,1,6,10,25,23,25,14,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),25279,General L-amino acid-binding periplasmic protein AapJ precursor
71,66168,ETNP_160m_PROKKA_72896,179.28,48,4,12,30,36,31,25,0,0,,5.24E4,1.39E5,2.46E5,,3.89E4,,,33,2,3,6,20,20,17,18,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),37084,General L-amino acid-binding periplasmic protein AapJ precursor
71,66169,ETNP_180m_PROKKA_176133,179.28,48,4,12,30,36,31,25,0,0,,5.24E4,1.39E5,2.46E5,,3.89E4,,,33,2,3,6,20,20,17,18,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),37084,General L-amino acid-binding periplasmic protein AapJ precursor
71,66170,ETNP14_120maa_PROKKA_184116,179.28,48,4,12,30,36,31,25,0,0,,5.24E4,1.39E5,2.46E5,,3.89E4,,,33,2,3,6,20,20,17,18,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),37084,General L-amino acid-binding periplasmic protein AapJ precursor
