Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 243_JA14_965m_0.3um_SKQ17_P2,Area 243_JA14_965m_0.3um_SKQ17_P2,#Peptides,#Unique,#Spec 243_JA14_965m_0.3um_SKQ17_P2,PTM,Avg. Mass,Description
48,410368,ETNP14_120mac_PROKKA_16115,37.19,14,14,3.7E4,1,1,1,,7185,hypothetical protein
48,410369,SAR11cell_DLNKFFIG_08044,37.19,14,14,3.7E4,1,1,1,,7127,hypothetical protein
48,405983,NP_300m_PROKKA_27107,37.19,14,14,3.7E4,1,1,1,,6978,hypothetical protein
48,405984,NP_100m_PROKKA_20676,37.19,14,14,3.7E4,1,1,1,,7011,hypothetical protein
48,405985,NP_85m_PROKKA_27608,37.19,14,14,3.7E4,1,1,1,,7122,hypothetical protein
48,410370,ETNP14_68maa_PROKKA_74652,37.19,14,14,3.7E4,1,1,1,,7138,hypothetical protein
48,405986,ETNP14_68mB_PROKKA_74072,37.19,14,14,3.7E4,1,1,1,,6981,hypothetical protein
48,405987,NP_100m_PROKKA_27400,37.19,14,14,3.7E4,1,1,1,,7108,hypothetical protein
48,405988,NP_300m_PROKKA_48857,37.19,14,14,3.7E4,1,1,1,,6951,hypothetical protein
48,405989,SAR11cell_DLNKFFIG_05413,37.19,14,14,3.7E4,1,1,1,,7122,hypothetical protein
48,405990,NP_125m_PROKKA_13763,37.19,14,14,3.7E4,1,1,1,,7143,hypothetical protein
48,405991,ETNP14_68maa_PROKKA_84538,37.19,14,14,3.7E4,1,1,1,,7071,hypothetical protein
48,410371,SAR11cell_DLNKFFIG_08250,37.19,14,14,3.7E4,1,1,1,,7143,hypothetical protein
48,410372,ETNP14_120mab_PROKKA_161376,37.19,14,14,3.7E4,1,1,1,,7340,hypothetical protein
48,410373,ETNP14_120mac_PROKKA_72770,37.19,11,11,3.7E4,1,1,1,,9313,hypothetical protein
64,409935,ETNP14_120maa_PROKKA_153923,36.01,3,3,8.05E4,1,1,1,,45965,hypothetical protein
64,405040,ETNP_160m_PROKKA_30886,36.01,3,3,8.05E4,1,1,1,,48130,hypothetical protein
64,405041,ETNP_180m_PROKKA_17691,36.01,3,3,8.05E4,1,1,1,,48131,hypothetical protein
124,409912,ETNP14_120maa_PROKKA_191924,33.39,5,5,3.34E4,1,1,1,,19452,Periplasmic dipeptide transport protein precursor
124,409913,ETNP14_120mac_PROKKA_00378,33.39,9,9,3.34E4,1,1,1,,10277,Periplasmic dipeptide transport protein precursor
124,409914,ETNP_70m_PROKKA_79248,33.39,3,3,3.34E4,1,1,1,,32335,hypothetical protein
124,409915,ETNP14_120maa_PROKKA_41232,33.39,2,2,3.34E4,1,1,1,,51028,Periplasmic dipeptide transport protein precursor
124,37754,WP_053820725,33.39,2,2,3.34E4,1,1,1,,58333,peptide ABC transporter substrate-binding protein Candidatus Thioglobus singularis
125,409937,ETNP_120m_PROKKA_296351,29.61,19,19,1.72E4,1,1,1,,5801,hypothetical protein
125,409938,ETNP14_120maa_PROKKA_111893,29.61,11,11,1.72E4,1,1,1,,9971,hypothetical protein
125,409939,ETNP_180m_PROKKA_52058,29.61,9,9,1.72E4,1,1,1,,12775,hypothetical protein
125,37758,WP_029388937,29.61,2,2,1.72E4,1,1,1,,48780,ABC transporter substrate-binding protein SAR324 cluster bacterium SCGC AAA001-C10
125,409940,ETNP_160m_PROKKA_220356,29.61,2,2,1.72E4,1,1,1,,50210,Bacterial extracellular solute-binding protein
125,409941,ETNP_120m_PROKKA_296350,29.61,2,2,1.72E4,1,1,1,,50215,Bacterial extracellular solute-binding protein
125,409942,NP_300m_PROKKA_16547,29.61,2,2,1.72E4,1,1,1,,50237,Bacterial extracellular solute-binding protein
177,409943,ETNP_120m_PROKKA_174946,29.17,30,30,5.15E5,1,1,1,,3505,hypothetical protein
62,358576,CAN91477.1,27.81,2,2,1.55E8,1,1,2,,56854,hypothetical protein sce1319 [Sorangium cellulosum So ce56]
180,2796,CBE69591,27.65,2,2,1.51E5,1,1,1,,58424,Indole-3-pyruvate decarboxylase Indolepyruvate decarboxylase Candidatus Methylomirabilis oxyfera
180,2800,WP_015349883,27.65,0,0,1.51E5,1,1,1,,202176,polyketide synthase Myxococcus stipitatus
126,409947,ETNP_120m_PROKKA_257574,27.18,7,7,3.98E4,1,1,1,,16259,Protein archease
126,409948,ETNP_100m_PROKKA_47098,27.18,6,6,3.98E4,1,1,1,,17519,Protein RecA
103,366654,BAI73358.1,27.13,1,1,1.15E5,1,1,1,,106809,double-strand break repair protein [Azospirillum sp. B510]
47,409945,ETNP_100m_PROKKA_95303,26.80,3,3,1.59E4,1,1,1,,26081,Macrolide export ATP-binding/permease protein MacB
79,358985,virus_CCADEAMM_09014,25.47,0,0,8.29E3,1,1,1,,557170,hypothetical protein
181,409970,ETNP_300m_PROKKA_196563,24.86,15,15,4.65E5,1,1,1,Carbamidomethylation; Oxidation (M),5058,hypothetical protein
183,366818,WP_013751512.1,24.42,2,2,1.94E5,1,1,1,,43152,sigma-54-dependent Fis family transcriptional regulator [Dokdonia sp. 4H-3-7-5]
49,366810,virus_ANPENILN_00460,24.23,1,1,3.83E4,1,1,1,,234570,hypothetical protein
184,21198,WP_018970663,23.83,3,3,1.09E6,1,1,1,,31898,hypothetical protein Rubritalea marina
185,405785,ETNP_90m_PROKKA_144907,23.59,14,14,8.39E5,1,1,1,,8947,hypothetical protein
185,405781,ETNP_70m_PROKKA_17840,23.59,2,2,8.39E5,1,1,1,,63511,Metallo-beta-lactamase superfamily protein
185,405782,ETNP14_68maa_PROKKA_103758,23.59,2,2,8.39E5,1,1,1,,65127,Metallo-beta-lactamase superfamily protein
185,405780,ETNP_70m_PROKKA_14144,23.59,2,2,8.39E5,1,1,1,,64954,Metallo-beta-lactamase superfamily protein
128,410113,ETNP14_120maa_PROKKA_01396,22.90,4,4,2.91E4,1,1,1,,23308,Superoxide dismutase [Mn]
128,367584,XP_002178364,22.90,3,3,2.91E4,1,1,1,,29727,predicted protein  Phaeodactylum tricornutum CCAP 1055
128,410321,ETNP14_68mB_PROKKA_172693,22.90,19,19,2.91E4,1,1,1,,4986,hypothetical protein
128,410323,ETNP_120m_free_PROKKA_199814,22.90,7,7,2.91E4,1,1,1,,11574,hypothetical protein
128,410324,ETNP_180m_PROKKA_117101,22.90,7,7,2.91E4,1,1,1,,11574,hypothetical protein
128,410326,ETNP_120m_PROKKA_215431,22.90,6,6,2.91E4,1,1,1,,15598,hypothetical protein
128,410327,ETNP_160m_PROKKA_14418,22.90,6,6,2.91E4,1,1,1,,15598,hypothetical protein
128,410329,ETNP14_120mab_PROKKA_21904,22.90,4,4,2.91E4,1,1,1,,23216,Superoxide dismutase [Mn]
128,410330,ETNP_120m_PROKKA_224747,22.90,4,4,2.91E4,1,1,1,,23185,Superoxide dismutase [Mn]
128,410331,ETNP14_120maa_PROKKA_66231,22.90,4,4,2.91E4,1,1,1,,23061,Superoxide dismutase [Mn]
128,410332,ETNP14_120maa_PROKKA_62125,22.90,4,4,2.91E4,1,1,1,,23204,Superoxide dismutase [Mn]
128,367599,XP_003058523,22.90,1,1,2.91E4,1,1,1,,80149,DNA mismatch repair enzyme  Micromonas pusilla CCMP1545
37,410119,ACL72029.1,22.66,1,1,0E0,1,1,2,Oxidation (M),90226,ATP-dependent protease La [Thioalkalivibrio sulfidiphilus HL-EbGr7]
186,410346,ETNP14_120maa_PROKKA_146327,22.54,2,2,1.46E5,1,1,1,Methylation(R),42100,Cysteine desulfurase
186,410347,ETNP14_68maa_PROKKA_88496,22.54,2,2,1.46E5,1,1,1,Methylation(R),45027,Cysteine desulfurase
56,410121,ETNP_70m_PROKKA_26008,22.07,2,2,6.09E4,1,1,2,,41758,Bifunctional protein FolC
187,392715,NP_100m_PROKKA_27465,21.75,6,6,9.65E5,1,1,1,,15011,hypothetical protein
42,300240,NP_869605,21.69,2,2,0E0,1,1,1,Methylation(R),60591,type I restriction enzyme EcoEI specificity protein Rhodopirellula baltica SH 1
188,410391,ETNP14_68mB_PROKKA_148704,21.69,21,21,6.69E5,1,1,1,,4874,hypothetical protein
161,300164,YP_004421596.1,21.53,1,1,6.18E4,1,1,1,,79690,gp6 baseplate wedge subunit [Campylobacter virus NCTC12673]
161,300165,AEA86388.1,21.53,1,1,6.18E4,1,1,1,,79690,gp6 baseplate wedge subunit [Campylobacter virus NCTC12673]
190,410408,ETNP14_120maa_PROKKA_185125,21.50,15,15,1.31E5,1,1,1,Carbamidomethylation,5282,hypothetical protein
190,300222,WP_048104717,21.50,15,15,1.31E5,1,1,1,Carbamidomethylation,5200,isoleucyl-tRNA synthetase Candidatus Nitrosopelagicus brevis
190,410409,ETNP14_120mab_PROKKA_155755,21.50,15,15,1.31E5,1,1,1,Carbamidomethylation,5256,hypothetical protein
190,410410,ETNP14_68maa_PROKKA_102956,21.50,15,15,1.31E5,1,1,1,Carbamidomethylation,5226,hypothetical protein
130,366840,ABA56847.1,21.42,1,1,1.05E5,1,1,1,Deamidation (NQ),73518,response regulator receiver modulated diguanylate cyclase [Nitrosococcus oceani ATCC 19707]
191,361194,ACJ00222.1,21.33,3,3,8.21E4,1,1,1,,28695,Abc2a [Rhodospirillum centenum SW]
192,410422,ETNP_90m_PROKKA_211458,21.15,12,12,2.78E5,1,1,1,,8874,hypothetical protein
193,394305,ETNP14_120mab_PROKKA_38548,20.86,23,23,1.32E5,1,1,1,,4617,hypothetical protein
193,410446,ETNP14_120mab_PROKKA_24641,20.86,23,23,1.32E5,1,1,1,,4712,hypothetical protein
193,410447,ETNP14_120mac_PROKKA_66262,20.86,22,22,1.32E5,1,1,1,,4881,hypothetical protein
193,410448,ETNP14_120mac_PROKKA_101410,20.86,22,22,1.32E5,1,1,1,,4732,hypothetical protein
193,410449,ETNP14_120mac_PROKKA_90904,20.86,22,22,1.32E5,1,1,1,,4743,hypothetical protein
193,410450,ETNP14_68mB_PROKKA_97976,20.86,22,22,1.32E5,1,1,1,,4774,hypothetical protein
193,394185,ETNP_160m_PROKKA_225731,20.86,14,14,1.32E5,1,1,1,,8046,hypothetical protein
193,394282,NP_300m_PROKKA_19592,20.86,14,14,1.32E5,1,1,1,,7976,hypothetical protein
193,394284,ETNP_180m_PROKKA_48129,20.86,14,14,1.32E5,1,1,1,,7976,hypothetical protein
193,394186,ETNP14_120mab_PROKKA_46598,20.86,14,14,1.32E5,1,1,1,,8046,hypothetical protein
193,394187,ETNP_120m_free_PROKKA_33125,20.86,14,14,1.32E5,1,1,1,,8046,hypothetical protein
193,394285,ETNP_140m_PROKKA_144617,20.86,14,14,1.32E5,1,1,1,,7976,hypothetical protein
193,394286,ETNP_160m_PROKKA_193838,20.86,14,14,1.32E5,1,1,1,,7976,hypothetical protein
193,394287,ETNP_120m_particle_PROKKA_183149,20.86,14,14,1.32E5,1,1,1,,7976,hypothetical protein
193,394288,ETNP_300m_PROKKA_102581,20.86,14,14,1.32E5,1,1,1,,7976,hypothetical protein
193,394289,NP_100m_PROKKA_08411,20.86,14,14,1.32E5,1,1,1,,7976,hypothetical protein
193,394191,ETNP_180m_PROKKA_177962,20.86,14,14,1.32E5,1,1,1,,8046,hypothetical protein
193,392696,ETNP14_120maa_PROKKA_191553,20.86,13,13,1.32E5,1,1,1,,7898,hypothetical protein
193,410451,ETNP14_120mac_PROKKA_73753,20.86,13,13,1.32E5,1,1,1,,8170,hypothetical protein
193,410452,ETNP14_120mab_PROKKA_104712,20.86,13,13,1.32E5,1,1,1,,8389,hypothetical protein
193,393170,ETNP14_120maa_PROKKA_153758,20.86,13,13,1.32E5,1,1,1,,7967,hypothetical protein
193,410453,ETNP14_120mab_PROKKA_36867,20.86,13,13,1.32E5,1,1,1,,8173,hypothetical protein
193,393171,ETNP14_68maa_PROKKA_88339,20.86,13,13,1.32E5,1,1,1,,7967,hypothetical protein
193,410454,ETNP14_120mac_PROKKA_48242,20.86,13,13,1.32E5,1,1,1,,8185,hypothetical protein
193,405821,ETNP14_68maa_PROKKA_122264,20.86,13,13,1.32E5,1,1,1,,8108,hypothetical protein
193,410455,ETNP14_68mB_PROKKA_132823,20.86,13,13,1.32E5,1,1,1,,8185,hypothetical protein
193,392697,ETNP14_120maa_PROKKA_161598,20.86,13,13,1.32E5,1,1,1,,7940,hypothetical protein
193,410456,ETNP14_120mab_PROKKA_153379,20.86,13,13,1.32E5,1,1,1,,8217,hypothetical protein
193,394192,ETNP14_68maa_PROKKA_187339,20.86,13,13,1.32E5,1,1,1,,8210,hypothetical protein
193,410457,ETNP_120m_particle_PROKKA_96964,20.86,8,8,1.32E5,1,1,1,,13888,hypothetical protein
132,410127,ETNP_300m_PROKKA_124142,20.81,2,2,4.02E5,1,1,1,,40593,putative acetyl-CoA acyltransferase
195,410477,ETNP_90m_PROKKA_03854,20.76,2,2,8.49E4,1,1,1,,40097,hypothetical protein
196,410479,gi|1377603616,20.67,4,4,1.8E4,1,1,1,Deamidation (NQ),25128,Hypothetical Protein FCC1311_051502 [Hondaea fermentalgiana]
164,410482,ETNP14_120maa_PROKKA_49438,20.64,2,2,5.8E3,1,1,1,,42659,2-hydroxymuconic semialdehyde dehydrogenase
197,410481,ETNP14_120maa_PROKKA_42534,20.53,3,3,8.31E3,1,1,1,Carbamidomethylation; Methylation(R),62939,Gamma-glutamyltranspeptidase precursor
198,410485,NP_30m_PROKKA_03299,20.49,10,10,1.94E5,1,1,1,Methylation(R),12195,Phosphoribosyl-ATP pyrophosphatase
198,410486,ETNP_160m_PROKKA_194800,20.49,9,9,1.94E5,1,1,1,Methylation(R),12659,Phosphoribosyl-ATP pyrophosphatase
110,410124,NP_85m_PROKKA_04766,20.46,2,2,6.35E5,1,1,1,,42483,putative dual-specificity RNA methyltransferase RlmN
110,410488,NP_125m_PROKKA_08789,20.46,10,10,6.35E5,1,1,1,,9946,Dual-specificity RNA methyltransferase RlmN
110,410489,ETNP_100m_particle_PROKKA_146371,20.46,6,6,6.35E5,1,1,1,,18578,putative dual-specificity RNA methyltransferase RlmN
110,410490,ETNP_140m_PROKKA_84633,20.46,5,5,6.35E5,1,1,1,,21139,putative dual-specificity RNA methyltransferase RlmN
110,410491,ETNP_120m_particle_PROKKA_186746,20.46,4,4,6.35E5,1,1,1,,24074,putative dual-specificity RNA methyltransferase RlmN
110,410492,ETNP_180m_PROKKA_11040,20.46,4,4,6.35E5,1,1,1,,26940,putative dual-specificity RNA methyltransferase RlmN
110,410494,ETNP_160m_PROKKA_45454,20.46,4,4,6.35E5,1,1,1,,28256,putative dual-specificity RNA methyltransferase RlmN
110,410495,ETNP_90m_PROKKA_181655,20.46,2,2,6.35E5,1,1,1,,42387,putative dual-specificity RNA methyltransferase RlmN
209,410590,gi|1377603386,20.44,1,1,2.22E4,1,1,1,,147488,Phosphoribosylformylglycinamidine synthase [Hondaea fermentalgiana]
199,410503,virus_CCADEAMM_28400,20.24,3,3,2.62E5,1,1,1,Methylation(R),34231,hypothetical protein
200,410507,ETNP14_68maa_PROKKA_84833,20.07,2,2,2.18E5,1,1,1,Methylation(R),72875,hypothetical protein
