Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) RAL95_trypsin_MED_2,Area RAL95_trypsin_MED_2,#Peptides,#Unique,#Spec RAL95_trypsin_MED_2,PTM,Avg. Mass,Description
22,142795,WP_042850092,164.59,35,35,8.9E8,15,2,65,Oxidation (M); Deamidation (NQ),47897,O-acetylhomoserine aminocarboxypropyltransferase Prochlorococcus sp MIT 0604
47,142770,WP_011819053,163.79,41,41,6.43E7,18,5,43,Oxidation (M); Cation:Fe[II],52183,ATP synthase subunit beta Prochlorococcus
35,142807,ETNP_70,162.53,49,49,4.28E8,14,6,50,Carbamidomethylation; Oxidation (M); Deamidation (NQ),39203,Cell division protein FtsZ
24,142806,WP_042851397,159.84,29,29,5.08E8,15,4,56,Carbamidomethylation; Oxidation (M); Deamidation (NQ),68108,molecular chaperone DnaK Prochlorococcus sp MIT 0604
95,142784,WP_042849778,158.49,58,58,3.51E7,12,3,27,Carbamidomethylation; Oxidation (M),27730,enoyl-ACP reductase Prochlorococcus sp MIT 0604
116,142789,WP_042850426,158.02,21,21,6.75E7,18,13,20,Carbamidomethylation,150024,magnesium chelatase Prochlorococcus sp MIT 0604
51,142796,WP_042851029,158.00,35,35,4.32E7,19,3,36,Carbamidomethylation; Oxidation (M); Methylation(KR),72537,DNA-directed RNA polymerase subunit gamma Prochlorococcus sp MIT 0604
88,142788,WP_042851037,156.46,22,22,8.28E7,21,13,27,Carbamidomethylation,121851,translation initiation factor IF-2 Prochlorococcus sp MIT 0604
79,142919,WP_038653845,156.14,19,19,4.36E7,16,2,31,Carbamidomethylation,68071,cell division protein FtsH Prochlorococcus sp MIT 0801
11,143500,WP_002806330,155.99,63,63,3.12E9,28,28,85,Oxidation (M); Deamidation (NQ),9768,DNA-binding protein Prochlorococcus
65,142774,WP_042850138,155.92,28,28,2.09E8,16,12,30,Carbamidomethylation; Deamidation (NQ); Methylation(KR),87768,ribonucleotide reductase Prochlorococcus sp MIT 0604
28,142865,ETNP_100,155.76,27,27,2.04E5,13,1,54,Carbamidomethylation; Oxidation (M); Deamidation (NQ),68026,Chaperone protein dnaK2
28,142866,ETNP_120,155.76,27,27,2.04E5,13,1,54,Carbamidomethylation; Oxidation (M); Deamidation (NQ),68026,Chaperone protein dnaK2
28,142866,ETNP_120,155.76,27,27,2.04E5,13,1,54,Carbamidomethylation; Oxidation (M); Deamidation (NQ),68026,Chaperone protein dnaK2
71,142838,WP_042850235,154.49,33,33,2.1E8,17,11,30,Carbamidomethylation,48035,glucose-1-phosphate adenylyltransferase Prochlorococcus sp MIT 0604
126,142914,WP_042849662,154.23,38,38,1.47E8,12,8,21,Carbamidomethylation; Oxidation (M); Methylation(KR),42794,citrate synthase Prochlorococcus sp MIT 0604
137,142858,ETNP_70,154.03,57,57,1.6E7,10,1,20,Carbamidomethylation; Oxidation (M); Deamidation (NQ),22848,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
109,142894,WP_042850341,153.52,31,31,1.1E8,14,12,21,Carbamidomethylation; Oxidation (M); Methylation(KR),65199,pyruvate kinase Prochlorococcus sp MIT 0604
18,143035,ETNP_70,153.22,87,87,3.07E9,17,17,73,Oxidation (M); Deamidation (NQ),10572,Major carboxysome shell protein 1A
18,143036,ETNP_60,153.22,87,87,3.07E9,17,17,73,Oxidation (M); Deamidation (NQ),10572,Major carboxysome shell protein 1A
52,142792,WP_038653496,153.00,25,25,3.93E6,19,1,35,Carbamidomethylation; Oxidation (M); Deamidation (NQ),95008,Clp protease ClpX Prochlorococcus sp MIT 0801
82,142802,ETNP_90,152.57,21,21,5.32E7,18,2,27,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR),122495,DNA-directed RNA polymerase subunit beta
82,142803,ETNP_120,152.57,21,21,5.32E7,18,2,27,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR),122495,DNA-directed RNA polymerase subunit beta
30,142990,WP_025881525,152.35,62,62,3.19E9,12,12,42,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR),21706,peroxiredoxin Prochlorococcus
30,142991,NP_30,152.35,62,62,3.19E9,12,12,42,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR),21706,putative peroxiredoxin
112,142854,WP_042849500,152.31,40,40,3.56E8,11,7,22,Methylation(KR),37002,glyceraldehyde-3-phosphate dehydrogenase Prochlorococcus sp MIT 0604
100,142836,WP_042850248,151.16,38,38,2.33E8,11,11,22,Carbamidomethylation; Deamidation (NQ),33579,phosphoribulokinase Prochlorococcus sp MIT 0604
53,142893,WP_011819135,149.53,16,16,1.04E9,12,11,37,Carbamidomethylation,82671,photosystem I P700 chlorophyll a apoprotein A2 Prochlorococcus
59,142831,WP_042850868,149.18,46,46,1.37E8,14,5,32,Carbamidomethylation; Oxidation (M),36375,ketol-acid reductoisomerase Prochlorococcus sp MIT 0604
32,142868,WP_042849915,147.62,25,25,1.13E9,18,9,50,Deamidation (NQ),61330,molecular chaperone GroEL Prochlorococcus sp MIT 0604
76,142913,WP_042850529,146.79,48,48,4.24E8,17,17,29,Carbamidomethylation; Oxidation (M); Methylation(KR),40075,magnesium chelatase Prochlorococcus sp MIT 0604
48,142859,WP_042851062,145.91,21,21,1.32E9,16,15,38,Carbamidomethylation; Deamidation (NQ); Methylation(KR),84278,photosystem I P700 chlorophyll a apoprotein A1 Prochlorococcus sp MIT 0604
98,142886,WP_042849939,145.57,31,31,6.29E7,12,1,25,Carbamidomethylation; Oxidation (M),46210,glutamate-1-semialdehyde aminotransferase Prochlorococcus sp MIT 0604
107,142873,WP_042851036,144.75,28,28,3.41E7,11,3,23,Carbamidomethylation; Oxidation (M),52558,transcription termination factor NusA Prochlorococcus sp MIT 0604
86,143289,WP_038654216,144.40,21,21,3.71E8,9,3,29,Deamidation (NQ); Cation:Fe[II],46306,ABC transporter substrate-binding protein Prochlorococcus sp MIT 0801
92,142883,ETNP_70,143.99,33,33,4.59E7,15,5,25,Carbamidomethylation; Oxidation (M),47751,Adenylosuccinate synthetase
33,142875,WP_011818757,143.55,27,27,1.12E9,12,8,55,Oxidation (M); Deamidation (NQ),50499,photosystem II reaction center protein Prochlorococcus
90,142871,WP_042849966,143.24,31,31,1.41E7,13,3,23,Carbamidomethylation; Oxidation (M),47724,adenylosuccinate synthetase Prochlorococcus sp MIT 0604
102,9711,54036848,142.20,13,13,6.29E8,8,4,24,Deamidation (NQ),95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
64,142870,WP_042850553,142.18,33,33,4.96E8,14,8,32,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR),42406,ferredoxin-NADP reductase Prochlorococcus sp MIT 0604
136,142842,WP_042850211,141.84,23,23,5.66E7,12,7,19,Carbamidomethylation; Deamidation (NQ),68969,cell division protein FtsH Prochlorococcus sp MIT 0604
39,143693,WP_011818131,140.74,16,16,7.07E8,8,8,40,Oxidation (M); Deamidation (NQ),38681,dihydroorotate oxidase Prochlorococcus
39,143694,NP_30,140.74,16,16,7.07E8,8,8,40,Oxidation (M); Deamidation (NQ),38681,Divinyl chlorophyll a/b light-harvesting protein PcbA
121,143045,WP_042850333,140.20,24,24,1.27E8,11,5,22,Carbamidomethylation; Oxidation (M),52814,glutamine synthetase Prochlorococcus sp MIT 0604
178,142830,WP_042851256,139.41,21,21,2.86E7,14,6,16,Carbamidomethylation,106478,excinuclease ABC subunit A Prochlorococcus sp MIT 0604
111,142889,WP_042849756,138.30,30,30,5.72E7,9,5,21,Carbamidomethylation; Oxidation (M); Deamidation (NQ),46227,serine hydroxymethyltransferase Prochlorococcus sp MIT 0604
91,142926,WP_042851163,138.23,26,26,2.67E8,13,11,29,Oxidation (M),51402,magnesium transporter Prochlorococcus sp MIT 0604
211,142909,WP_042851053,138.17,9,9,2.32E7,10,5,13,Carbamidomethylation; Oxidation (M); Deamidation (NQ),168270,glutamate synthase Prochlorococcus sp MIT 0604
81,142935,ETNP_60,137.40,35,35,8.15E7,11,2,31,Carbamidomethylation; Oxidation (M); Methylation(KR),34971,UDP-glucose 4-epimerase
110,143077,WP_038653324,136.54,26,26,3.56E8,10,2,22,,33893,phosphate ABC transporter substrate-binding protein Prochlorococcus sp MIT 0801
106,142880,NP_30,136.31,38,38,3E8,10,10,24,Carbamidomethylation; Methylation(KR),39792,NAD(P) transhydrogenase subunit alpha part 1
129,142902,ETNP14_68,136.05,25,25,1.02E7,10,1,19,Carbamidomethylation; Methylation(KR),51618,ATP-dependent zinc metalloprotease FtsH 3
123,143164,ETNP_70,134.85,34,34,2.6E6,9,1,21,Oxidation (M),32058,Glutamate-1-semialdehyde 2 1-aminomutase
131,142950,WP_042849874,134.77,23,23,1.56E8,12,12,22,Carbamidomethylation; Oxidation (M),48867,branched-chain alpha-keto acid dehydrogenase subunit E2 Prochlorococcus sp MIT 0604
74,142841,ETNP_90,134.65,48,48,7.98E7,13,1,34,Oxidation (M); Methylation(KR); Cation:Fe[II],33742,ATP synthase subunit beta
101,142888,ETNP_90,134.51,26,26,6.7E6,11,1,25,Oxidation (M),52116,ATP synthase subunit beta
152,142910,WP_042851251,134.41,26,26,8.13E7,12,3,18,Carbamidomethylation; Methylation(KR),44614,argininosuccinate synthase Prochlorococcus sp MIT 0604
140,142929,WP_042850506,134.27,25,25,2.78E8,10,10,19,Deamidation (NQ),50813,cobalamin biosynthesis protein CobW Prochlorococcus sp MIT 0604
140,142930,NP_30,134.27,25,25,2.78E8,10,10,19,Deamidation (NQ),50757,Putative metal chaperone YciC
302,143102,WP_042850229,134.00,21,21,3.69E7,8,7,10,Oxidation (M),66620,GTP-binding protein Prochlorococcus sp MIT 0604
56,143030,NP_30,133.81,44,44,3.27E7,10,2,37,Oxidation (M); Deamidation (NQ),22516,O-succinylhomoserine sulfhydrylase
161,142925,WP_042849643,133.66,29,29,5.07E7,10,4,17,Carbamidomethylation; Oxidation (M),52375,phytoene desaturase Prochlorococcus sp MIT 0604
202,142920,WP_042849710,133.57,50,50,2.47E8,12,12,15,Carbamidomethylation,34445,thioredoxin reductase Prochlorococcus sp MIT 0604
77,142936,WP_042850728,133.19,21,21,1.5E8,11,6,32,Carbamidomethylation; Oxidation (M); Deamidation (NQ),78849,polynucleotide phosphorylase Prochlorococcus sp MIT 0604
113,142833,WP_011819174,133.09,44,44,4.41E6,12,1,23,Carbamidomethylation,39457,protein RecA Prochlorococcus
166,142915,WP_042850238,132.04,28,28,7.9E7,12,7,17,Carbamidomethylation; Deamidation (NQ),59141,dihydroxy-acid dehydratase Prochlorococcus sp MIT 0604
120,142916,WP_042851153,131.83,30,30,1.63E8,9,5,22,Oxidation (M),37280,rod shape-determining protein MreB Prochlorococcus sp MIT 0604
44,143083,ETNP14_68,131.66,21,21,8.52E8,8,1,44,Oxidation (M); Deamidation (NQ),41179,O-succinylhomoserine sulfhydrylase
94,142821,WP_025972038,131.56,36,36,1.61E7,13,3,25,Carbamidomethylation; Oxidation (M); Methylation(KR),49782,geranylgeranyl diphosphate reductase Prochlorococcus
158,142884,WP_025893889,131.25,34,34,1E8,10,10,17,Carbamidomethylation; Oxidation (M),49028,acetyl-CoA carboxylase Prochlorococcus
85,142938,WP_011863760,130.42,29,29,5.79E7,10,1,30,Carbamidomethylation; Oxidation (M); Methylation(KR),44344,NAD-dependent dehydratase Prochlorococcus
155,142901,WP_042849952,130.31,35,35,4.44E7,11,11,18,,45469,RNA polymerase sigma factor RpoD Prochlorococcus sp MIT 0604
67,142939,NP_30,129.94,32,32,1.47E9,11,11,35,Carbamidomethylation; Oxidation (M); Deamidation (NQ),39638,Photosystem Q(B) protein precursor
67,142940,WP_002805533,129.94,32,32,1.47E9,11,11,35,Carbamidomethylation; Oxidation (M); Deamidation (NQ),39638,photosystem II protein D1 Prochlorococcus
168,142945,WP_042851174,129.48,16,16,2.66E7,13,6,16,Carbamidomethylation,108285,preprotein translocase subunit SecA Prochlorococcus sp MIT 0604
187,142878,WP_042850541,129.30,24,24,4.17E7,9,9,13,Carbamidomethylation,59240,2-isopropylmalate synthase Prochlorococcus sp MIT 0604
43,143283,WP_011376622,128.74,54,54,3.99E8,10,4,43,Oxidation (M),11611,thioredoxin Prochlorococcus
114,143001,NP_30,128.37,24,24,5.04E8,9,9,23,Oxidation (M); Deamidation (NQ),46036,Enolase
99,143012,ETNP_60,128.03,25,25,7E8,9,9,24,Oxidation (M); Deamidation (NQ),39992,Photosystem II D2 protein
99,143051,WP_002807316,128.03,25,25,7E8,9,9,24,Oxidation (M); Deamidation (NQ),39975,photosystem II D2 protein Prochlorococcus
99,143052,NP_30,128.03,25,25,7E8,9,9,24,Oxidation (M); Deamidation (NQ),39975,Photosystem II D2 protein
130,143124,WP_025890675,127.71,27,27,3.12E7,8,3,19,Oxidation (M); Deamidation (NQ),35032,fructose 1 6-bisphosphatase Prochlorococcus
87,142897,WP_041484570,127.17,38,38,6.53E8,11,11,28,Carbamidomethylation; Oxidation (M),34180,DNA-directed RNA polymerase subunit alpha Prochlorococcus
157,144961,WP_042850622,126.79,15,15,1.94E8,9,2,15,Deamidation (NQ),34339,phosphate ABC transporter substrate-binding protein Prochlorococcus sp MIT 0604
184,143041,ETNP_70,126.44,23,23,4.82E7,8,5,14,Oxidation (M); Deamidation (NQ),50244,NAD(P) transhydrogenase subunit beta
41,143247,WP_042851104,126.43,54,54,2.08E9,7,7,42,Carbamidomethylation; Oxidation (M),15685,photosystem I reaction center subunit II Prochlorococcus sp MIT 0604
132,142964,WP_042851142,126.31,18,18,4.93E7,10,4,21,Carbamidomethylation; Deamidation (NQ); Methylation(KR),73068,transketolase Prochlorococcus sp MIT 0604
212,142944,NP_30,126.29,39,39,2.89E7,9,1,14,Oxidation (M); Deamidation (NQ); Methylation(KR),29928,Branched-chain-amino-acid aminotransferase
381,145056,NP_30,124.58,19,19,7.03E7,4,4,8,,16446,50S ribosomal protein L9
381,145057,WP_042851216,124.58,19,19,7.03E7,4,4,8,,16446,50S ribosomal protein L9 Prochlorococcus sp MIT 0604
151,142872,WP_042851396,124.32,18,18,3.43E7,13,13,17,Carbamidomethylation; Deamidation (NQ); Methylation(KR),93567,hypothetical protein Prochlorococcus sp MIT 0604
231,142921,ETNP_60,123.35,32,32,7.29E7,10,8,11,Carbamidomethylation; Oxidation (M); Methylation(KR),40704,NAD(P)H-quinone oxidoreductase subunit H
231,142922,NP_30,123.35,29,29,7.29E7,10,8,11,Carbamidomethylation; Oxidation (M); Methylation(KR),45197,NAD(P)H-quinone oxidoreductase subunit H
231,142923,ETNP_70,123.35,29,29,7.29E7,10,8,11,Carbamidomethylation; Oxidation (M); Methylation(KR),45170,NAD(P)H-quinone oxidoreductase subunit H
231,142924,WP_042849674,123.35,29,29,7.29E7,10,8,11,Carbamidomethylation; Oxidation (M); Methylation(KR),45166,NADPH-quinone oxidoreductase Prochlorococcus sp MIT 0604
162,143150,WP_052044759,122.78,43,43,1.19E8,9,2,16,Oxidation (M),22149,30S ribosomal protein S5 Prochlorococcus sp MIT 0604
235,142968,WP_042850380,122.43,33,33,2.14E6,9,1,13,Oxidation (M); Deamidation (NQ); Methylation(KR),34138,branched-chain amino acid aminotransferase Prochlorococcus sp MIT 0604
196,143134,WP_042850838,122.03,18,18,3.54E7,8,5,14,Oxidation (M); Deamidation (NQ),52034,signal recognition particle protein Prochlorococcus sp MIT 0604
115,142982,WP_038654757,121.89,26,26,2.11E6,8,1,23,Oxidation (M); Methylation(KR),44233,NAD-dependent dehydratase Prochlorococcus sp MIT 0801
203,142954,WP_042850537,121.78,13,13,6.23E7,11,7,14,Carbamidomethylation; Deamidation (NQ),96486,DNA gyrase subunit A Prochlorococcus sp MIT 0604
218,143181,WP_042850535,121.55,24,24,9.26E7,7,6,12,Carbamidomethylation; Oxidation (M),40984,inosine-5-monophosphate dehydrogenase Prochlorococcus sp MIT 0604
279,143659,ETNP_60,121.08,48,48,2.03E8,6,6,11,Carbamidomethylation,12016,30S ribosomal protein S10
345,144927,WP_052041143,120.89,14,14,1.64E6,5,1,7,Carbamidomethylation,42128,citrate synthase Prochlorococcus sp MIT 0801
281,143157,WP_042849481,120.48,23,23,2.17E7,7,6,10,,54646,amidophosphoribosyltransferase Prochlorococcus sp MIT 0604
127,143061,WP_011126930,120.47,27,27,0E0,8,1,23,Oxidation (M),44291,NAD-dependent dehydratase Synechococcus
60,142966,WP_038544140,120.24,23,23,3.93E6,10,1,34,Oxidation (M); Deamidation (NQ),47702,O-acetylhomoserine aminocarboxypropyltransferase Synechococcus sp KORDI-100
141,142955,ETNP_100,120.04,26,26,3.52E7,11,3,19,Carbamidomethylation; Oxidation (M),54724,hypothetical protein
141,142956,ETNP_100,120.04,26,26,3.52E7,11,3,19,Carbamidomethylation; Oxidation (M),54724,hypothetical protein
141,142957,ETNP_90,120.04,26,26,3.52E7,11,3,19,Carbamidomethylation; Oxidation (M),54846,hypothetical protein
141,142958,ETNP_100,120.04,26,26,3.52E7,11,3,19,Carbamidomethylation; Oxidation (M),54846,hypothetical protein
144,143009,WP_042850592,119.44,40,40,7.31E7,8,4,19,Carbamidomethylation; Methylation(KR),26668,two-component system response regulator Prochlorococcus sp MIT 0604
321,143282,ETNP_60,119.38,29,29,1.88E7,7,1,9,Carbamidomethylation,27985,ATP synthase subunit alpha
180,142970,ETNP_70,119.11,60,60,3.09E6,9,2,16,Deamidation (NQ); Methylation(KR),19085,Acetolactate synthase small subunit
159,142951,WP_042849807,119.03,29,29,3.42E8,11,11,17,Oxidation (M); Methylation(KR),40679,30S ribosomal protein S1 Prochlorococcus sp MIT 0604
228,145055,ETNP14_68,118.16,9,9,3.53E7,4,1,14,Cation:Fe[II],47007,Aliphatic amidase expression-regulating protein
209,143439,WP_011129980,117.90,12,12,7.75E7,8,2,14,,52689,glutamine synthetase Prochlorococcus marinus
209,143440,WP_036915357,117.90,12,12,7.75E7,8,2,14,,52679,glutamine synthetase Prochlorococcus sp MIT 0701
174,143218,AGH07599.1,117.25,22,22,1.29E8,10,5,15,Oxidation (M),34387,phosphate ABC transporter phosphate-binding protein PstS [Cyanophage S-SSM6a]
308,143420,WP_042851141,117.08,19,19,1.23E8,5,5,10,Carbamidomethylation; Deamidation (NQ),43239,3-oxoacyl-ACP synthase Prochlorococcus sp MIT 0604
154,142887,WP_042851129,117.04,30,30,1.27E8,11,7,17,Carbamidomethylation; Deamidation (NQ),52733,isocitrate dehydrogenase Prochlorococcus sp MIT 0604
204,143018,ETNP_70,116.92,25,25,1.12E5,10,1,14,Carbamidomethylation,39534,Argininosuccinate synthase
125,143236,WP_042851051,116.82,46,46,4.27E8,6,4,19,Oxidation (M),17413,30S ribosomal protein S7 Prochlorococcus sp MIT 0604
170,143422,NP_30,116.40,24,24,4.47E7,5,1,16,Oxidation (M),31834,Polyribonucleotide nucleotidyltransferase
182,142932,WP_042850067,116.30,19,19,4.56E7,12,6,16,Carbamidomethylation; Oxidation (M); Methylation(KR),74206,acetyl-CoA synthetase Prochlorococcus sp MIT 0604
331,143172,WP_042849983,116.19,14,14,8.43E7,7,7,9,Deamidation (NQ),64315,acetolactate synthase catalytic subunit Prochlorococcus sp MIT 0604
185,143114,ETNP_70,116.18,28,28,4.55E7,8,2,14,Carbamidomethylation; Deamidation (NQ),29554,Septum site-determining protein MinD
213,142911,WP_042850236,115.98,18,18,9.87E7,6,6,12,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR),51730,6-phosphogluconate dehydrogenase Prochlorococcus sp MIT 0604
221,143081,WP_011127464,115.59,15,15,2.03E6,9,1,14,Deamidation (NQ),70466,translation initiation factor IF-2 Synechococcus sp WH 8102
242,143190,WP_042850363,115.25,19,19,1.69E7,11,10,13,Carbamidomethylation,63972,3 4-dihydroxy-2-butanone 4-phosphate synthase Prochlorococcus sp MIT 0604
163,143497,ETNP_70,115.02,24,24,1.68E7,5,1,17,Carbamidomethylation; Deamidation (NQ),36489,Transketolase
215,144614,NP_30,114.80,19,19,4.57E7,6,1,13,Deamidation (NQ); Methylation(KR); Cation:Fe[II],23065,50S ribosomal protein L4
215,144615,WP_042851084,114.80,19,19,4.57E7,6,1,13,Deamidation (NQ); Methylation(KR); Cation:Fe[II],23066,50S ribosomal protein L4 Prochlorococcus sp MIT 0604
416,143281,WP_042850895,114.65,20,20,1.91E7,6,6,7,Carbamidomethylation,56955,circadian clock protein KaiC Prochlorococcus sp MIT 0604
200,144088,WP_036914875,114.34,11,11,9.58E7,5,1,15,Cation:Fe[II],47070,ABC transporter substrate-binding protein Prochlorococcus
200,144089,ETNP_90,114.34,11,11,9.58E7,5,1,15,Cation:Fe[II],47028,Aliphatic amidase expression-regulating protein
200,144090,WP_011131593,114.34,11,11,9.58E7,5,1,15,Cation:Fe[II],47029,ABC transporter substrate-binding protein Prochlorococcus marinus
227,143604,ETNP_60,113.99,58,58,2.64E8,6,6,13,,10251,30S ribosomal protein S19
227,143605,ETNP_70,113.99,58,58,2.64E8,6,6,13,,10251,30S ribosomal protein S19
153,143156,NP_30,113.97,46,46,5.99E7,11,4,19,,22747,hypothetical protein
254,143003,NP_30,113.57,20,20,3.34E7,9,9,12,Carbamidomethylation; Oxidation (M),61743,Peptide chain release factor 3
254,143002,WP_042850140,113.57,20,20,3.34E7,9,9,12,Carbamidomethylation; Oxidation (M),61804,peptide chain release factor 3 Prochlorococcus sp MIT 0604
403,143431,NP_30,113.02,32,32,3.31E6,5,1,7,,30839,DNA-directed RNA polymerase subunit beta'
148,143628,NP_30,113.00,29,29,3.64E8,5,5,17,,18847,Flavodoxin
171,143727,WP_042851218,112.63,24,24,5.9E7,9,9,17,Carbamidomethylation; Deamidation (NQ); Methylation(KR),51209,helicase DnaB Prochlorococcus sp MIT 0604
248,142949,WP_042850056,112.30,19,19,3.92E7,6,6,9,Carbamidomethylation,55219,glycogen synthase Prochlorococcus sp MIT 0604
255,143276,WP_042851143,111.80,16,16,2.94E7,6,6,10,Carbamidomethylation; Deamidation (NQ),51039,thiamine biosynthesis protein ThiC Prochlorococcus sp MIT 0604
303,143110,NP_30,111.31,21,21,2.08E7,7,4,8,Carbamidomethylation,39791,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase
303,143111,WP_042850152,111.31,19,19,2.08E7,7,4,8,Carbamidomethylation,44914,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase Prochlorococcus sp MIT 0604
122,143044,WP_042849696,110.87,22,22,1.84E8,8,5,18,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR),42632,phosphoglycerate kinase Prochlorococcus sp MIT 0604
147,142934,WP_042851168,110.84,19,19,1.88E7,11,7,17,Carbamidomethylation; Oxidation (M),73262,DNA gyrase subunit B Prochlorococcus sp MIT 0604
318,143123,NP_30,110.79,17,17,9.61E6,7,1,9,Carbamidomethylation,54324,CTP synthase
