Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) RAL95_trypsin_MED_1,Area RAL95_trypsin_MED_1,#Peptides,#Unique,#Spec RAL95_trypsin_MED_1,PTM,Avg. Mass,Description
222,16162,PMM0032,247.75,65,65,1.57E8,18,18,23,Carbamidomethylation; Oxidation (M),16273,| PMM0032 | type II secretion system pr
216,13331,PMM0952,246.55,47,47,1.34E8,12,12,23,Carbamidomethylation,37041,| trpD | anthranilate phosphoribosyltransferase
91,10224,PMM1225,246.48,47,47,2.13E8,28,26,40,Carbamidomethylation; Oxidation (M),68288,| PMM1225 | hypothetical protein
32,16305,PMM0549,246.13,87,87,2.8E9,17,17,66,Oxidation (M),10039,| csoS1 | carboxysome shell protein CsoS1
166,16109,PMM1673,246.10,70,70,5.58E8,13,13,28,,16385,| rplI | 50S ribosomal protein L9
150,16034,PMM0515,245.32,47,47,8.99E7,22,22,30,Carbamidomethylation,50312,| cobC | putative alpha-ribazole-5'-P phosphatase
107,16161,PMM1294,244.99,65,65,6.73E8,14,14,37,Carbamidomethylation; Oxidation (M),17493,| PMM1294 | putative nickel-containing superoxide dismutase precursor (NISOD)
155,10134,PMM1066,244.88,46,46,9.65E7,18,18,29,Carbamidomethylation; Oxidation (M),59247,| leuA | 2-isopropylmalate synthase
207,16067,PMM1150,244.71,50,50,8.51E7,15,15,24,Carbamidomethylation,50069,| PMM1150 | putative thioredoxin reductase
223,16053,PMM0640,243.99,36,36,7.35E7,15,15,22,Carbamidomethylation; Oxidation (M),57872,| PMM0640 | hypothetical protein
208,10121,PMM1326,243.98,48,48,1.03E8,17,17,24,,38035,| PMM1326 | hypothetical protein
20,10712,PMM1578,243.74,70,70,3.25E9,14,14,91,Carbamidomethylation; Oxidation (M),15675,| psaD | photosystem I protein PsaD
156,16036,PMM0060,243.32,54,54,1.04E8,16,16,29,Carbamidomethylation; Oxidation (M),49248,| accC | acetyl-CoA carboxylase biotin carboxylase subunit
145,10421,PMM1298,243.30,32,32,3.06E8,13,13,30,Carbamidomethylation,51449,| lpdA | dihydrolipoamide dehydrogenase
95,10262,PMM1700,243.09,40,40,7.91E7,29,29,39,Carbamidomethylation,94884,| acnB | bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase
154,9711,54036848,241.74,17,17,7.31E8,12,9,29,,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
173,16042,PMM0962,241.25,51,51,2.02E8,17,17,27,Carbamidomethylation; Oxidation (M),46018,| PMM0962 | hypothetical protein
254,13159,PMM0123,240.35,48,48,9.17E7,12,12,20,Carbamidomethylation; Oxidation (M),34719,| cysK2 | O-acetylserine (thiol)-lyase A
121,10333,PMM1232,240.15,58,58,1.63E8,24,24,35,Carbamidomethylation,48342,| PMM1232 | methyltransferase
140,10378,PMM1261,240.05,45,45,1.28E8,21,21,31,Carbamidomethylation,53432,| ugd | UDP-glucose 6-dehydrogenase
99,12965,PMM0871,239.10,39,39,8.96E7,29,29,38,Carbamidomethylation,92758,| pheT | phenylalanyl-tRNA synthetase subunit beta
193,12802,PMM0384,238.76,29,29,3.2E7,21,21,25,Carbamidomethylation,95601,| spnII-interrupted-C | hypothetical protein
90,10281,PMM0760,238.58,58,58,2.91E8,24,24,41,Carbamidomethylation; Oxidation (M),49470,| chlP | aromatic-ring hydroxylase (flavoprotein monooxygenase)
195,16058,PMM1666,238.26,59,59,1.23E8,14,14,25,Carbamidomethylation; Oxidation (M),41762,| sqdX | SqdX
108,13320,PMM1557,238.21,46,46,8.32E8,13,13,37,,23168,| rplD | 50S ribosomal protein L4
149,10552,PMM0609,238.19,45,45,1.21E8,16,16,30,Carbamidomethylation,54924,| glgA | glycogen synthase
280,16078,PMM0085,237.93,62,62,1.12E8,12,12,19,Carbamidomethylation,25963,| PMM0085 | VIC family potassium channel protein
228,16169,PMM0462,237.12,69,69,2.3E8,8,8,22,Carbamidomethylation,18912,| petC | cytochrome b6-f complex iron-sulfur subunit
169,16031,PMM0144,236.17,44,44,1.29E8,17,17,27,Carbamidomethylation; Oxidation (M),53353,| pds crtD | phytoene desaturase
113,16028,PMM1707,235.14,50,50,3.65E8,22,22,36,Carbamidomethylation; Oxidation (M),44675,| argG | argininosuccinate synthase
98,16066,PMM1555,234.84,54,54,7.58E8,19,19,39,Carbamidomethylation; Oxidation (M),31756,| rplB | 50S ribosomal protein L2
146,16043,PMM0477,234.52,69,69,1.7E8,19,19,30,Carbamidomethylation; Oxidation (M),30818,| map | methionine aminopeptidase
199,13093,PMM0894,234.27,82,82,3.66E8,11,11,25,Carbamidomethylation; Oxidation (M),15395,| PMM0894 | cyclophilin-type peptidyl-prolyl cis-trans isomerase
89,16057,PMM0495,233.39,61,61,2.49E8,20,20,41,Carbamidomethylation; Oxidation (M),34950,| hemC | porphobilinogen deaminase
268,12846,PMM0420,233.24,31,31,2.42E7,15,15,19,Carbamidomethylation,67458,| lepA | GTP-binding protein LepA
285,12939,PMM0892,232.91,42,42,6.73E7,12,12,18,Carbamidomethylation,38781,| argC | N-acetyl-gamma-glutamyl-phosphate reductase
183,9843,PMM0877,232.64,25,25,4.41E7,24,24,26,Carbamidomethylation,132094,| metH | putative methionine synthase
159,16039,PMM1618,231.94,36,36,1.41E8,17,17,28,,58824,| lysS | lysyl-tRNA synthetase
184,10655,PMM1186,231.71,34,34,2.32E8,14,14,26,,41262,| PMM1186 | putative inner membrane protein translocase component YidC
103,12986,PMM0169,230.87,69,69,6.11E8,17,17,38,Oxidation (M),27426,| PMM0169 | two-component response regulator
317,13192,PMM0480,230.85,82,82,1.45E8,9,9,16,Carbamidomethylation,18669,| PMM0480 | hypothetical protein
201,10469,PMM0288,230.33,28,28,5.98E7,19,19,24,,78430,| chlD | protoporphyrin IX magnesium chelatase subunit ChlD
172,9742,PMM1682,229.97,29,29,7.17E7,22,22,27,Carbamidomethylation,106312,| valS | valyl-tRNA synthetase
214,13315,PMM1157,229.93,26,26,7.33E8,10,10,23,Oxidation (M),39943,| psbD | photosystem II PsbD protein (D2)
105,9729,PMM0207,229.91,39,39,7.99E7,32,31,37,Carbamidomethylation; Oxidation (M),104644,| clpB2 | putative ATP-dependent Clp protease  Hsp 100  ATP-binding subunit ClpB
212,16049,PMM0770,229.79,43,43,1.47E8,14,14,23,Carbamidomethylation; Oxidation (M),51710,| gnd | 6-phosphogluconate dehydrogenase
342,16081,PMM1239,229.30,29,29,4.96E7,12,12,15,Carbamidomethylation,67448,| hetA | ABC transporter
232,16173,PMM1539,228.69,56,56,8.59E7,10,10,22,,20843,| adk | adenylate kinase
152,12792,PMM0161,228.37,59,59,3.81E8,22,22,30,Carbamidomethylation; Oxidation (M),42876,| gltA | citrate synthase
171,13212,PMM1229,227.91,58,58,1.63E8,15,15,27,Carbamidomethylation; Oxidation (M),35822,| PMM1229 | dehydrogenase  E1 component
49,16166,PMM1061,227.84,95,95,1.8E9,14,14,55,Carbamidomethylation; Oxidation (M),11610,| trxA | thioredoxin
401,16288,PMM1042,227.50,52,52,1.7E8,6,6,13,,18565,| PMM1042 | hpothetical protein
247,16123,PMM1542,227.38,50,50,3.12E8,11,11,21,Oxidation (M),22204,| rpsE | 30S ribosomal protein S5
226,16095,PMM0243,226.59,58,58,1.97E8,13,13,22,,24801,| thyX | FAD-dependent thymidylate synthase
217,16070,PMM0224,226.55,46,46,1.42E8,15,15,23,Carbamidomethylation,39342,| aroC | chorismate synthase
271,10619,PMM0178,225.12,41,41,4.98E7,13,13,19,Carbamidomethylation,34254,| gshB | glutathione synthetase
368,16141,PMM0525,224.91,35,35,2.55E7,11,11,14,Carbamidomethylation,44195,| hemH | ferrochelatase
351,12868,PMM1081,224.75,31,31,2.8E7,12,11,15,Carbamidomethylation,59328,| malQ | putative 4-alpha-glucanotransferase
236,10341,PMM1488,224.54,42,42,1.35E8,15,15,21,Carbamidomethylation; Oxidation (M),47022,| hisD | histidinol dehydrogenase
185,16032,PMM1354,224.40,41,41,1.92E8,18,18,26,,56744,| serA | D-3-phosphoglycerate dehydrogenase
102,9795,PMM1639,224.06,35,35,1.09E8,30,30,38,Carbamidomethylation,107766,| secA | preprotein translocase subunit SecA
282,10741,PMM1303,223.41,43,43,3.76E7,16,16,18,Carbamidomethylation,50585,| PMM1303 | FAD/FMN-containing dehydrogenase
123,16076,PMM1113,223.04,66,66,2.85E8,14,14,34,Carbamidomethylation; Oxidation (M),26550,| PMM1113 | two-component response regulator
248,9809,PMM0897,222.48,36,36,8.18E7,18,18,20,Carbamidomethylation,73430,| dnaK | molecular chaperone DnaK
244,10410,PMM0266,222.24,30,30,9.51E7,13,13,21,Carbamidomethylation,57419,| purH | bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
112,16114,PMM0223,222.15,32,32,1.38E9,12,12,36,Carbamidomethylation; Oxidation (M),39636,| psbA | photosystem II PsbA protein (D1)
289,12996,PMM0430,222.09,44,44,6.22E7,13,13,18,Carbamidomethylation,27306,| hisF | imidazole glycerol phosphate synthase subunit HisF
252,16038,PMM0076,221.92,43,43,1.18E8,15,15,20,Carbamidomethylation; Oxidation (M),59719,| pgm | phosphoglucomutase
231,13032,PMM1552,220.68,51,51,3.44E8,13,13,22,,27466,| rpsC | 30S ribosomal protein S3
160,9972,PMM0065,219.29,27,27,8.9E7,17,16,28,Carbamidomethylation; Oxidation (M),75218,| PMM0065 | ABC transporter  ATP binding protein
