Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 14: 282 4-19_965m_netwash1of5-A,Area Sample 14: 282 4-19_965m_netwash1of5-A,#Peptides,#Unique,#Spec Sample 14: 282 4-19_965m_netwash1of5-A,PTM,Avg. Mass,Description
33,170671,ETNP_160,77.43,11,11,1.47E4,6,1,6,,46119,Elongation factor Tu
26,17590,ETNP_100,75.35,34,34,2.72E5,7,1,8,,13678,Core histone H2A/H2B/H3/H4
38,170673,WP_012516960,75.20,19,19,4.8E6,6,6,6,,29746,50S ribosomal protein L2 Alteromonas mediterranea
24,17459,ETNP14_68,74.36,11,11,,8,0,8,Carbamidomethylation,43386,Elongation factor Tu
24,17460,ETNP14_120,74.36,11,11,,8,0,8,Carbamidomethylation,43386,Elongation factor Tu
25,17463,WP_011217126.1,74.14,13,13,,8,0,8,Carbamidomethylation,42975,elongation factor Tu [Photobacterium profundum]
25,17455,WP_011219964.1,74.14,13,13,,8,0,8,Carbamidomethylation,43220,elongation factor Tu [Photobacterium profundum]
56,8303,XP_002185049,73.95,20,20,2.77E6,4,4,4,,16829,calmoduline  Phaeodactylum tricornutum CCAP 1055
56,8304,EJK77863,73.95,20,20,2.77E6,4,4,4,,16858,hypothetical protein THAOC_00268  Thalassiosira oceanica
56,8305,EJK58168,73.95,20,20,2.77E6,4,4,4,,16858,hypothetical protein THAOC_21730  Thalassiosira oceanica
56,8306,ETNP_90,73.95,18,18,2.77E6,4,4,4,,18514,EF hand
17,469,ETNP_70,72.33,37,37,1.92E4,8,1,9,,13534,Core histone H2A/H2B/H3/H4
29,170688,WP_015068303,71.96,34,34,6.36E6,7,4,7,,12827,50S ribosomal protein L7L12 Alteromonas
29,170689,ETNP14_120,71.96,34,34,6.36E6,7,4,7,,12857,50S ribosomal protein L7/L12
50,25167,ETNP_90,71.85,42,42,3.14E6,5,5,5,,8803,Acyl carrier protein
50,25168,ETNP14_120,71.85,42,42,3.14E6,5,5,5,,8803,Acyl carrier protein
50,25169,WP_012518211,71.85,42,42,3.14E6,5,5,5,,8803,acyl carrier protein Alteromonadaceae
84,17543,XP_002180656,70.81,6,6,7.78E5,3,2,3,,49747,predicted protein  Phaeodactylum tricornutum CCAP 1055
44,133629,WP_012519212,69.72,17,17,1.14E7,5,5,5,,15037,50S ribosomal protein L17 Alteromonas
44,133630,ETNP14_68,69.72,17,17,1.14E7,5,5,5,,15037,50S ribosomal protein L17
44,133631,ETNP14_120,69.72,17,17,1.14E7,5,5,5,,15037,50S ribosomal protein L17
37,170668,WP_024015986,69.65,31,31,1.67E6,5,3,6,,13338,50S ribosomal protein L19 Alteromonas
37,170669,ETNP14_120,69.65,31,31,1.67E6,5,3,6,,13338,50S ribosomal protein L19
32,478,ETNP_70,69.63,19,19,6.41E5,6,1,7,,19618,Core histone H2A/H2B/H3/H4
65,170657,ETNP14_120,69.55,30,30,1.93E6,4,3,4,,13341,50S ribosomal protein L14
65,170658,WP_012519228,69.55,30,30,1.93E6,4,3,4,,13341,50S ribosomal protein L14 Alteromonas
27,466,ETNP_60,69.16,35,35,,6,0,7,,13283,Core histone H2A/H2B/H3/H4
55,143885,WP_020744472,69.14,15,15,9.26E5,4,2,4,Carbamidomethylation,43237,OmpAMotB protein Alteromonas mediterranea
41,170659,XP_003061754,68.69,32,32,1.24E7,5,5,5,Carbamidomethylation,15356,histone H3  Micromonas pusilla CCMP1545
41,170660,XP_003059221,68.69,32,32,1.24E7,5,5,5,Carbamidomethylation,15356,predicted protein  Micromonas pusilla CCMP1545
41,170661,XP_003061708,68.69,32,32,1.24E7,5,5,5,Carbamidomethylation,15356,predicted protein  Micromonas pusilla CCMP1545
41,170662,ETNP_100,68.69,24,24,1.24E7,5,5,5,Carbamidomethylation,21085,Core histone H2A/H2B/H3/H4
34,17527,ETNP_100,68.03,39,39,1.55E7,5,2,6,,7412,Core histone H2A/H2B/H3/H4
28,24357,WP_012519037,68.00,13,13,1.29E6,7,3,7,Carbamidomethylation,58551,isocitrate lyase Alteromonas mediterranea
94,170687,CAI87690.1,67.66,20,20,9.78E5,3,1,3,,11081,50S ribosomal subunit protein L28 [Pseudoalteromonas haloplanktis TAC125]
39,480,EJK60529,66.36,9,9,2.2E5,5,1,6,,34853,hypothetical protein THAOC_19092  Thalassiosira oceanica
39,464,EJK63752,66.36,25,25,2.2E5,5,1,6,,12825,hypothetical protein THAOC_15570  Thalassiosira oceanica
39,463,EJK52562,66.36,25,25,2.2E5,5,1,6,,12825,hypothetical protein THAOC_28150  Thalassiosira oceanica
39,465,EJK66680,66.36,25,25,2.2E5,5,1,6,,12825,hypothetical protein THAOC_12377  Thalassiosira oceanica
39,467,XP_002179427,66.36,24,24,2.2E5,5,1,6,,13178,histone H2A isoform 3b  Phaeodactylum tricornutum CCAP 1055
39,468,XP_002179202,66.36,24,24,2.2E5,5,1,6,,13178,histone H2A isoform 3a  Phaeodactylum tricornutum CCAP 1055
39,479,EJK65157,66.36,11,11,2.2E5,5,1,6,,29086,hypothetical protein THAOC_14024  Thalassiosira oceanica
93,170677,NP_85,65.93,6,6,1.88E6,3,3,3,,57312,ATP synthase subunit alpha
51,170682,ETNP14_120,64.32,8,8,2.5E6,4,4,5,Oxidation (M),50114,Na(+)-translocating NADH-quinone reductase subunit A
46,17552,ETNP_160,63.76,8,8,4.9E5,5,1,5,Carbamidomethylation,43444,Elongation factor Tu
46,17553,ETNP_300,63.76,8,8,4.9E5,5,1,5,Carbamidomethylation,43444,Elongation factor Tu
46,17554,ETNP_180,63.76,8,8,4.9E5,5,1,5,Carbamidomethylation,43444,Elongation factor Tu
71,170672,CAI87857.1,63.23,29,29,4.08E6,4,3,4,,13420,50S ribosomal subunit protein L14 [Pseudoalteromonas haloplanktis TAC125]
63,143935,WP_011217131.1,62.28,28,28,8.12E4,3,1,4,,12193,50S ribosomal protein L22 [Photobacterium profundum]
86,17520,CAI87844.1,60.67,14,14,3.25E5,3,2,3,,23483,30S ribosomal subunit protein S4 [Pseudoalteromonas haloplanktis TAC125]
72,170726,WP_048498999,60.61,20,20,6.62E4,4,1,4,,12615,50S ribosomal protein L7L12 Chryseobacterium koreense
31,133701,ETNP_90,60.09,25,25,7.3E6,7,6,7,,21944,50S ribosomal protein L4
134,17518,WP_006232362.1,59.24,8,8,7.92E5,2,1,2,,23312,30S ribosomal protein S4 [Photobacterium profundum]
134,17522,WP_011467465.1,59.24,8,8,7.92E5,2,1,2,,23276,30S ribosomal protein S4 [Saccharophagus degradans]
134,133689,ETNP14_120,59.24,8,8,7.92E5,2,1,2,,23484,30S ribosomal protein S4
134,133690,ETNP14_68,59.24,8,8,7.92E5,2,1,2,,23499,30S ribosomal protein S4
134,133691,ETNP14_120,59.24,8,8,7.92E5,2,1,2,,23542,30S ribosomal protein S4
134,170676,WP_007233030,59.24,8,8,7.92E5,2,1,2,,23498,30S ribosomal protein S4 gamma proteobacterium HTCC2207
134,133692,ETNP14_68,59.24,8,8,7.92E5,2,1,2,,23543,30S ribosomal protein S4
134,17521,WP_011587707.1,59.24,8,8,7.92E5,2,1,2,,23659,MULTISPECIES: 30S ribosomal protein S4 [Alcanivorax]
40,17720,ETNP_70,59.19,18,18,,4,0,5,,16840,Core histone H2A/H2B/H3/H4
40,17714,XP_003062035,59.19,23,23,,4,0,5,,12701,predicted protein  Micromonas pusilla CCMP1545
40,17715,XP_003058519,59.19,23,23,,4,0,5,,12701,predicted protein  Micromonas pusilla CCMP1545
40,17716,XP_003055512,59.19,23,23,,4,0,5,,12701,histone H2B  Micromonas pusilla CCMP1545
40,17652,XP_003080759,59.19,22,22,,4,0,5,,13731,histone H2B ISS  Ostreococcus tauri
40,17719,XP_003082252,59.19,20,20,,4,0,5,,15314,histone H2B ISS  Ostreococcus tauri
40,17718,ETNP_70,59.19,22,22,,4,0,5,,13742,Core histone H2A/H2B/H3/H4
77,170680,WP_013108752.1,57.86,2,2,6.31E5,3,2,3,,159010,DNA-directed RNA polymerase subunit beta' [Planctopirus limnophila]
91,170679,CAI86474.1,57.62,18,18,5.19E6,3,2,3,,13564,50S ribosomal subunit protein L20  also posttranslational autoregulator [Pseudoalteromonas haloplanktis TAC125]
95,170713,WP_012516576,57.53,24,24,6.72E5,3,1,3,,9049,50S ribosomal protein L28 Alteromonas
95,170714,ETNP14_120,57.53,24,24,6.72E5,3,1,3,,9106,50S ribosomal protein L28
135,170674,ETNP_90,56.36,15,15,3.53E5,2,1,2,,17586,30S ribosomal protein S5
135,170697,ETNP14_68,56.36,46,46,3.53E5,2,1,2,,5872,30S ribosomal protein S5
47,144438,WP_020743101,55.98,10,10,1.1E6,5,5,5,,48517,MotATolQExbB proton channel Alteromonas mediterranea
60,170715,WP_012517169,55.81,34,34,2.99E6,4,4,4,,11397,50S ribosomal protein L21 Alteromonas
60,170716,ETNP14_120,55.81,34,34,2.99E6,4,4,4,,11397,50S ribosomal protein L21
149,133624,WP_012518092,54.41,13,13,2.21E6,2,1,2,,13348,50S ribosomal protein L20 Alteromonas
149,133625,ETNP14_120,54.41,13,13,2.21E6,2,1,2,,13348,50S ribosomal protein L20
149,133626,WP_007231943,54.41,13,13,2.21E6,2,1,2,,13191,50S ribosomal protein L20 gamma proteobacterium HTCC2207
149,133633,WP_007151143.1,54.41,13,13,2.21E6,2,1,2,,13571,MULTISPECIES: 50S ribosomal protein L20 [Alcanivorax]
149,133622,WP_014706667,54.41,13,13,2.21E6,2,1,2,,13338,50S ribosomal protein L20 Methylophaga nitratireducenticrescens
149,133623,ACL72537.1,54.41,13,13,2.21E6,2,1,2,,13484,ribosomal protein L20 [Thioalkalivibrio sulfidiphilus HL-EbGr7]
150,170691,ActinobacteriaREDSEAS09_EJKBNLBD_00190,53.67,2,2,3.54E6,2,1,2,,108732,DNA-directed RNA polymerase subunit beta'
78,8327,XP_002181593,53.48,6,6,2.04E6,3,3,3,,48056,predicted protein  Phaeodactylum tricornutum CCAP 1055
78,8328,XP_002186303,53.48,6,6,2.04E6,3,3,3,,48082,translation elongation factor EF-1 alpha subunit  Phaeodactylum tricornutum CCAP 1055
58,17551,XP_002185730,53.34,7,7,1.86E6,4,4,4,Oxidation (M),49582,predicted protein  Phaeodactylum tricornutum CCAP 1055
42,17638,ETNP_70,53.10,29,29,4.61E5,5,2,5,,13147,Core histone H2A/H2B/H3/H4
111,18147,CAI85326.1,52.92,2,2,4.19E4,2,1,2,,154568,RNA polymerase  beta prime subunit [Pseudoalteromonas haloplanktis TAC125]
111,127793,WP_020744432,52.92,2,2,4.19E4,2,1,2,,153941,DNA-directed RNA polymerase subunit beta Alteromonas mediterranea
111,18559,WP_041394562.1,52.92,2,2,4.19E4,2,1,2,,155154,DNA-directed RNA polymerase subunit beta' [Photobacterium profundum]
111,19175,ADI92483.1,52.92,2,2,4.19E4,2,1,2,,154954,DNA-directed RNA polymerase subunit beta' [Acinetobacter oleivorans DR1]
136,170684,ETNP_160,52.84,3,3,,2,0,2,,66071,DNA-directed RNA polymerase subunit beta'
67,170733,ETNP14_120,52.82,23,23,,4,0,4,,13139,50S ribosomal protein L19
57,144796,ETNP14_120,52.76,10,10,1.15E6,4,2,4,Carbamidomethylation,42400,Outer membrane porin F precursor
61,170732,WP_012517329,51.91,21,21,2.94E6,4,4,4,,15920,50S ribosomal protein L13 Alteromonas
52,147627,WP_012519953,51.37,27,27,2.19E6,5,5,5,,15843,50S ribosomal protein L9 Alteromonas
228,170681,ETNP_90,49.97,3,3,1.1E6,1,1,1,,49017,Biopolymer transport protein ExbB
153,170756,CAI86896.1,49.63,1,1,3.32E5,2,2,2,,108467,putative ferric enterobactin receptor [Pseudoalteromonas haloplanktis TAC125]
92,145317,ETNP14_120,48.33,5,5,1.96E6,3,3,3,,36868,30S ribosomal protein S1
151,134950,CAI87850.1,48.14,15,15,2.6E5,2,1,2,Carbamidomethylation,17712,30S ribosomal subunit protein S5 [Pseudoalteromonas haloplanktis TAC125]
80,170727,NP_100,47.81,7,7,1.17E6,3,3,3,Oxidation (M),49105,ATP synthase subunit beta
159,170801,ETNP14_68,46.72,13,13,7.56E5,2,2,2,,11654,30S ribosomal protein S10
170,170738,ETNP_90,46.38,9,9,5.31E5,2,2,2,,24816,50S ribosomal protein L1
152,133747,ETNP14_120,46.27,7,7,1.75E5,2,1,2,,23795,30S ribosomal protein S4
48,8329,ETNP_100,46.22,56,56,8.72E6,5,5,5,,3855,hypothetical protein
48,8279,ETNP_100,46.22,40,40,8.72E6,5,5,5,,5311,hypothetical protein
106,2746,XP_003062500,45.72,4,4,3E5,2,1,2,,49730,alpha tubulin  Micromonas pusilla CCMP1545
106,2747,XP_003058621,45.72,4,4,3E5,2,1,2,,49730,alpha tubulin  Micromonas pusilla CCMP1545
106,2748,XP_003082284,45.72,4,4,3E5,2,1,2,,50099,TBA_CHLVU Tubulin alpha chain ISS  Ostreococcus tauri
106,2749,XP_003080933,45.72,4,4,3E5,2,1,2,,52460,TBA_CHLVU Tubulin alpha chain ISS  Ostreococcus tauri
137,170711,EJK76991,45.05,6,6,3.53E6,2,2,2,,35556,hypothetical protein THAOC_01208  Thalassiosira oceanica
137,170742,EJK55037,45.05,9,9,3.53E6,2,2,2,,22588,hypothetical protein THAOC_25269  Thalassiosira oceanica
137,170743,EJK54752,45.05,9,9,3.53E6,2,2,2,,22524,hypothetical protein THAOC_25594  Thalassiosira oceanica
137,170744,EJK76990,45.05,7,7,3.53E6,2,2,2,,29753,hypothetical protein THAOC_01207  Thalassiosira oceanica
137,170745,EJK62618,45.05,5,5,3.53E6,2,2,2,,46437,hypothetical protein THAOC_16761  Thalassiosira oceanica
79,17603,CAI87975.1,44.57,4,4,1.23E6,3,3,3,Carbamidomethylation; Oxidation (M),76087,putative second protein chain elongation factor EF-G  GTP-binding  may be involved in incorporation of non-canonic amino acid [Pseudoalteromonas haloplanktis TAC125]
172,170845,NP_300,44.40,11,11,1.5E6,2,2,2,,10245,30S ribosomal protein S19
172,170846,NP_125,44.40,11,11,1.5E6,2,2,2,,10279,30S ribosomal protein S19
172,170848,WP_011295469.1,44.40,11,11,1.5E6,2,2,2,,10220,MULTISPECIES: 30S ribosomal protein S19 [Prochlorococcus]
172,170849,WP_011133182.1,44.40,11,11,1.5E6,2,2,2,,10192,30S ribosomal protein S19 [Prochlorococcus marinus]
172,170850,ADI89323.1,44.40,11,11,1.5E6,2,2,2,,10184,30S ribosomal protein S19 [Acinetobacter oleivorans DR1]
172,170852,NP_300,44.40,11,11,1.5E6,2,2,2,,10599,30S ribosomal protein S19
172,170853,WP_007469141.1,44.40,11,11,1.5E6,2,2,2,,10440,MULTISPECIES: 30S ribosomal protein S19 [Vibrionaceae]
172,170854,WP_011377188.1,44.40,11,11,1.5E6,2,2,2,,10279,30S ribosomal protein S19 [Prochlorococcus marinus]
172,170855,ABI77446.1,44.40,11,11,1.5E6,2,2,2,,10481,ribosomal protein S19 [Hyphomonas neptunium ATCC 15444]
172,170861,NP_300,44.40,11,11,1.5E6,2,2,2,,10521,30S ribosomal protein S19
172,170862,NP_125,44.40,11,11,1.5E6,2,2,2,,10521,30S ribosomal protein S19
172,170865,CAI85252.1,44.40,10,10,1.5E6,2,2,2,,10946,30S ribosomal protein S19 [Pseudoalteromonas haloplanktis TAC125]
81,170734,WP_035334384.1,43.51,5,5,7.64E5,3,1,3,,59873,isocitrate lyase [Dokdonia sp. PRO95]
314,170694,ETNP14_68,42.61,18,18,7.82E4,1,1,1,,6712,50S ribosomal protein L15
315,170698,WP_012517275,41.18,1,1,1.19E5,1,1,1,,96245,hypothetical protein Alteromonas mediterranea
158,133762,ETNP14_68,40.69,9,9,1.27E4,2,1,2,,19759,Elongation factor Tu
518,170753,WP_012517954,40.20,2,2,2.76E5,1,1,1,,89885,TonB-dependent receptor Alteromonas mediterranea
397,170731,ETNP_120,40.18,2,2,1.28E6,1,1,1,,54592,Elongation factor Tu-B
397,170737,ETNP14_120,40.18,2,2,1.28E6,1,1,1,,45381,Elongation factor Tu
73,14083,ETNP14_68,39.85,7,7,1.27E7,2,2,4,,20128,hypothetical protein
82,97761,virus_CCADEAMM_26381,39.84,1,1,8.41E6,3,2,3,,349078,hypothetical protein
398,17773,WP_011217143.1,38.73,8,8,2.41E5,1,1,1,,15009,50S ribosomal protein L15 [Photobacterium profundum]
398,17774,WP_011467460.1,38.73,8,8,2.41E5,1,1,1,,15148,50S ribosomal protein L15 [Saccharophagus degradans]
398,170761,WP_000175340,38.73,8,8,2.41E5,1,1,1,,15481,50S ribosomal protein L15 Bacteria
398,170762,ADI89338.1,38.73,8,8,2.41E5,1,1,1,,15430,50S ribosomal protein L15 [Acinetobacter oleivorans DR1]
138,170791,WP_012518367,38.00,3,3,5.76E5,2,2,2,,102259,TonB-dependent receptor Alteromonas mediterranea
123,170763,ACA20536.1,37.82,3,3,3.93E5,2,2,2,Oxidation (M),68742,chaperone protein DnaK [Methylobacterium sp. 4-46]
123,170764,ACB25893.1,37.82,3,3,3.93E5,2,2,2,Oxidation (M),68698,chaperone protein DnaK [Methylobacterium radiotolerans JCM 2831]
156,170775,BAL59027,37.72,3,3,1.87E6,2,2,2,Oxidation (M),69677,carbon-monoxide dehydrogenase catalytic subunit Candidatus Acetothermus autotrophicum
519,170766,ETNP_90,37.01,22,22,6.1E5,1,1,1,,6119,preprotein translocase subunit YajC
519,170767,ETNP14_120,37.01,12,12,6.1E5,1,1,1,,12018,preprotein translocase subunit YajC
519,170768,CAI85419.1,37.01,12,12,6.1E5,1,1,1,,11835,putative preprotein translocase IISP family  membrane subunit [Pseudoalteromonas haloplanktis TAC125]
519,170769,ETNP14_68,37.01,12,12,6.1E5,1,1,1,,12053,preprotein translocase subunit YajC
519,170770,WP_012519018,37.01,12,12,6.1E5,1,1,1,,12053,preprotein translocase subunit YajC Alteromonas mediterranea
140,170829,NP_85,36.84,3,3,3.01E3,2,1,2,,57494,60 kDa chaperonin
155,8391,ETNP_120,36.69,20,20,2.77E7,1,1,2,,5568,hypothetical protein
155,8392,ETNP_180,36.69,20,20,2.77E7,1,1,2,,5568,hypothetical protein
96,13005,ETNP14_68,36.65,4,4,0E0,2,1,3,,57045,60 kDa chaperonin 2
83,170816,CAI86025.1,36.59,22,22,5.47E5,3,1,3,,13329,50S ribosomal subunit protein L19 [Pseudoalteromonas haloplanktis TAC125]
171,170830,MGII,36.55,3,3,1.08E6,2,1,2,Carbamidomethylation,56214,hypothetical protein
215,170701,Flavovirus_FBAKDGPJ_11267,36.41,1,1,4.96E5,1,1,1,,86970,hypothetical protein
215,170752,WP_011342144,36.41,3,3,4.96E5,1,1,1,,33362,DNA-directed RNA polymerase sigma-70 factor Pelobacter carbinolicus
36,23989,WP_007232156,36.13,4,4,1.92E6,3,1,6,,57912,isocitrate lyase gamma proteobacterium HTCC2207
87,17830,WP_011219958.1,36.11,2,2,1.15E6,3,1,3,,149774,DNA-directed RNA polymerase subunit beta [Photobacterium profundum]
160,134399,ETNP14_68,35.47,4,4,9.44E7,2,2,2,,31333,replication factor C small subunit
160,134415,ETNP14_68,35.47,3,3,9.44E7,2,2,2,,35563,Holliday junction ATP-dependent DNA helicase RuvB
154,3123,ETNP_120,35.46,3,3,1.89E6,1,1,2,,30958,Alpha-ketoglutarate-dependent taurine dioxygenase
157,170787,NP_85,35.28,7,7,3.29E5,2,1,2,,23952,60 kDa chaperonin 1
157,9620,ETNP14_68,35.28,3,3,3.29E5,2,1,2,,56391,60 kDa chaperonin 2
157,148181,NP_100,35.28,3,3,3.29E5,2,1,2,,56177,60 kDa chaperonin 2
157,170875,ETNP14_68,35.28,10,10,3.29E5,2,1,2,,17660,60 kDa chaperonin 1
157,170876,ETNP14_120,35.28,6,6,3.29E5,2,1,2,,27585,60 kDa chaperonin 1
157,170877,ETNP14_120,35.28,5,5,3.29E5,2,1,2,,37197,60 kDa chaperonin 1
157,170878,ETNP14_120,35.28,3,3,3.29E5,2,1,2,,56419,60 kDa chaperonin 2
157,170879,ActinobacteriaREDSEAS14_EEFFFEGA_00303,35.28,3,3,3.29E5,2,1,2,,56329,60 kDa chaperonin 2
157,9571,NP_300,35.28,3,3,3.29E5,2,1,2,,56293,60 kDa chaperonin 2
124,170838,WP_011217611.1,34.62,11,11,3.89E5,2,2,2,,18098,PTS glucose transporter subunit IIA [Photobacterium profundum]
85,170827,ETNP_70,34.02,17,17,1.67E6,3,1,3,,15671,Core histone H2A/H2B/H3/H4
75,170823,WP_002653408,33.95,0,0,1.06E6,3,3,3,,973638,RTX toxin  Blastopirellula marina
316,170772,WP_023559712,32.97,2,2,1.64E6,1,1,1,,75133,hypothetical protein Alteromonas mediterranea
174,171114,ETNP_100,32.84,9,9,2.32E5,2,1,2,,21557,50S ribosomal protein L4
175,171119,ACY16809.1,32.70,3,3,4.44E5,2,2,2,,56744,outer membrane efflux protein [Haliangium ochraceum DSM 14365]
520,170833,ETNP_120,31.74,15,15,7.62E5,1,1,1,,7339,fructose-bisphosphate aldolase
520,170834,ETNP_120,31.74,3,3,7.62E5,1,1,1,,31463,Fructose-bisphosphate aldolase class 1
520,170835,ETNP_160,31.74,3,3,7.62E5,1,1,1,,32644,Fructose-bisphosphate aldolase class 1
520,170836,ETNP_180,31.74,3,3,7.62E5,1,1,1,,32643,Fructose-bisphosphate aldolase class 1
520,170837,ETNP_300,31.74,3,3,7.62E5,1,1,1,,36949,Fructose-bisphosphate aldolase class 1
130,133741,ETNP_180,31.51,7,7,9.64E6,2,2,2,,13538,50S ribosomal protein L7/L12
130,133737,ETNP_300,31.51,7,7,9.64E6,2,2,2,,13261,50S ribosomal protein L7/L12
130,133739,ETNP_180,31.51,7,7,9.64E6,2,2,2,,13261,50S ribosomal protein L7/L12
130,133707,ETNP_300,31.51,7,7,9.64E6,2,2,2,,12905,50S ribosomal protein L7/L12
130,133675,NP_300,31.51,7,7,9.64E6,2,2,2,,13361,50S ribosomal protein L7/L12
130,133677,NP_125,31.51,7,7,9.64E6,2,2,2,,13361,50S ribosomal protein L7/L12
130,133678,NP_100,31.51,7,7,9.64E6,2,2,2,,13361,50S ribosomal protein L7/L12
130,133679,ETNP_180,31.51,7,7,9.64E6,2,2,2,,13361,50S ribosomal protein L7/L12
130,133680,NP_85,31.51,7,7,9.64E6,2,2,2,,13361,50S ribosomal protein L7/L12
130,133681,ETNP_300,31.51,7,7,9.64E6,2,2,2,,13361,50S ribosomal protein L7/L12
130,133709,ETNP14_120,31.51,7,7,9.64E6,2,2,2,,13311,50S ribosomal protein L7/L12
120,170828,ABA58789.1,31.39,1,1,1.39E6,2,1,2,,151135,DNA-directed RNA polymerase subunit beta [Nitrosococcus oceani ATCC 19707]
76,171144,ETNP_120,31.08,3,3,1.94E6,2,2,3,,61011,Penicillin-binding protein 1F
76,171145,ETNP_140,31.08,2,2,1.94E6,2,2,3,,74378,Penicillin-binding protein 1F
76,171146,ETNP_180,31.08,2,2,1.94E6,2,2,3,,74378,Penicillin-binding protein 1F
76,171147,ETNP_300,31.08,2,2,1.94E6,2,2,3,,74378,Penicillin-binding protein 1F
176,171181,ADI89320.1,30.80,9,9,9.65E6,2,1,2,,21502,50S ribosomal protein L4 [Acinetobacter oleivorans DR1]
176,171182,WP_001050255,30.80,9,9,9.65E6,2,1,2,,21552,50S ribosomal protein L4 Bacteria
113,170885,CAI87842.1,30.60,13,13,2.23E6,2,2,2,,14847,50S ribosomal protein L17 [Pseudoalteromonas haloplanktis TAC125]
207,133791,virus_CCADEAMM_08423,30.50,0,0,1.15E6,1,1,1,Oxidation (M),524751,hypothetical protein
399,170818,ETNP14_120,30.47,4,4,5.39E5,1,1,1,,22399,hypothetical protein
399,170819,ETNP_110,30.47,4,4,5.39E5,1,1,1,,22418,hypothetical protein
