Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 264+265-NT1+2-94m-p1trap,Coverage (%) 266+267-NT3+4--265m-p1trap,Coverage (%) 268_269-NT5+6-965m-p2trap,Coverage (%) 111-2012-105m-bb2trap,Coverage (%) 97-2012-750m-bb2trap,Area 264+265-NT1+2-94m-p1trap,Area 266+267-NT3+4--265m-p1trap,Area 268_269-NT5+6-965m-p2trap,Area 111-2012-105m-bb2trap,Area 97-2012-750m-bb2trap,#Peptides,#Unique,#Spec 264+265-NT1+2-94m-p1trap,#Spec 266+267-NT3+4--265m-p1trap,#Spec 268_269-NT5+6-965m-p2trap,#Spec 111-2012-105m-bb2trap,#Spec 97-2012-750m-bb2trap,PTM,Avg. Mass,Description
27,11,XP_003074279,205.23,35,0,0,0,35,2,,,,,,26,0,0,0,0,40,1,Carbamidomethylation; Oxidation (M),52955,TBB1_VOLCA Tubulin beta chain ISS  Ostreococcus tauri
49,23,XP_002180656,204.58,28,0,0,0,28,6,,,,2.29E6,2.37E5,17,4,0,0,0,23,3,Carbamidomethylation; Oxidation (M),49747,predicted protein  Phaeodactylum tricornutum CCAP 1055
12,96,EJK63020,201.00,24,2,1,10,21,0,,,,5.43E5,,38,2,3,2,17,67,0,Carbamidomethylation; Oxidation (M),68429,hypothetical protein THAOC_16346  Thalassiosira oceanica
50,66,ETNP_90,200.28,52,0,0,0,52,13,,,,1.19E7,,17,12,0,0,0,23,2,Carbamidomethylation; Oxidation (M),18407,C-phycoerythrin class 2 subunit beta
50,67,ETNP_120,200.28,52,0,0,0,52,13,,,,1.19E7,,17,12,0,0,0,23,2,Carbamidomethylation; Oxidation (M),18407,C-phycoerythrin class 2 subunit beta
50,68,ETNP_120,200.28,52,0,0,0,52,13,,,,1.19E7,,17,12,0,0,0,23,2,Carbamidomethylation; Oxidation (M),18407,C-phycoerythrin class 2 subunit beta
45,154,XP_003055977,195.62,17,0,0,3,17,2,,,,1.3E7,,23,3,0,0,3,27,1,,57734,H+-or Na+-translocating f-type v-type and A-type ATPase superfamily  Micromonas pusilla CCMP1545
21,89,XP_003083487,194.07,25,3,2,10,22,3,,,,,,29,0,4,2,17,34,1,Carbamidomethylation; Oxidation (M),54907,ACT_COLSC Actin ISS  Ostreococcus tauri
42,32,XP_003074486,192.43,28,0,0,2,27,4,,,,,,24,0,0,0,1,32,2,Carbamidomethylation; Oxidation (M),64641,TBB1_VOLCA Tubulin beta chain ISS partial  Ostreococcus tauri
30,136,ETNP_70,190.98,44,0,0,6,44,0,,,9.22E4,3.01E7,,29,9,0,0,1,37,0,Carbamidomethylation; Oxidation (M),27021,Bacterial actin-related protein
25,135,ETNP_100,188.76,69,13,22,36,69,24,1.5E5,4.92E5,3.23E5,4.69E7,,22,11,2,3,9,23,4,Oxidation (M),7412,Core histone H2A/H2B/H3/H4
52,38,AAV96397.1,184.15,33,0,0,2,31,5,,,,2.05E6,,17,1,0,0,1,20,2,Oxidation (M),50492,ATP synthase F1  beta subunit [Ruegeria pomeroyi DSS-3]
53,69,AAV96399.1,183.64,18,0,0,0,18,4,,,,,,14,0,0,0,0,21,2,Oxidation (M),54959,ATP synthase F1  alpha subunit [Ruegeria pomeroyi DSS-3]
57,87,ETNP_120,176.60,24,0,0,4,20,2,,,,,,17,0,0,0,3,17,1,Oxidation (M),52229,ATP synthase subunit beta
43,60,ETNP_120,175.41,39,0,0,0,39,8,,,,2.13E6,,19,2,0,0,0,31,3,Carbamidomethylation; Oxidation (M),34262,hypothetical protein
60,26,ETNP14_68,172.96,28,1,0,3,24,2,,,,2.52E6,,16,1,1,0,2,16,1,Oxidation (M),51025,ATP synthase subunit beta
74,33,ABG33014.1,172.92,25,0,0,3,25,5,,,,,,14,0,0,0,2,13,2,Oxidation (M),50569,ATP synthase F1  beta subunit [Roseobacter denitrificans OCh 114]
62,52,WP_009605543,172.33,26,1,0,4,25,2,,,,,,17,0,1,0,3,15,1,Oxidation (M),50653,F0F1 ATP synthase subunit beta SAR116 cluster alpha proteobacterium HIMB100
48,103,ETNP_100,172.14,44,0,0,0,44,8,,,,3.78E6,,15,6,0,0,0,24,2,Carbamidomethylation; Oxidation (M),20575,hypothetical protein
56,39,ETNP_110,171.96,21,0,0,0,21,4,,,,1.46E5,,14,1,0,0,0,19,2,Oxidation (M),55817,ATP synthase subunit alpha
56,40,ETNP_100,171.96,21,0,0,0,21,4,,,,1.46E5,,14,1,0,0,0,19,2,Oxidation (M),55817,ATP synthase subunit alpha
56,41,SAR11,171.96,21,0,0,0,21,4,,,,1.46E5,,14,1,0,0,0,19,2,Oxidation (M),55817,ATP synthase subunit alpha
56,42,WP_018049871,171.96,24,0,0,0,24,4,,,,1.46E5,,14,1,0,0,0,19,2,Oxidation (M),49802,F0F1 ATP synthase subunit alpha  partial Nitrospina sp AB-629-B18
81,252,EAQ04304.1,171.01,13,0,0,0,13,1,,,,,,11,0,0,0,0,16,1,Oxidation (M),55095,ATP synthase subunit A [Pseudooceanicola batsensis HTCC2597]
68,70,NP_100,170.82,20,0,0,2,18,1,,,,,,14,0,0,0,1,17,1,Oxidation (M),56093,ATP synthase subunit alpha
73,225,ETNP_100,169.87,13,0,0,0,13,1,,,,,,10,0,0,0,0,17,1,Carbamidomethylation; Oxidation (M),53831,ATP synthase subunit alpha
73,226,ETNP14_68,169.87,17,0,0,0,17,2,,,,,,10,0,0,0,0,17,1,Carbamidomethylation; Oxidation (M),40526,ATP synthase subunit alpha
66,54,WP_013046714,169.60,25,1,0,3,21,2,,,,,,16,0,1,0,2,16,1,Oxidation (M),50578,F0F1 ATP synthase subunit beta Candidatus Puniceispirillum marinum
96,55,ETNP_120,168.56,21,0,0,4,21,2,,,,7.64E5,,13,1,0,0,3,11,1,Oxidation (M),50933,ATP synthase subunit beta
20,94,ETNP_100,167.92,52,15,15,21,52,7,,,,9.02E6,,40,5,3,3,5,45,3,,13678,Core histone H2A/H2B/H3/H4
51,365,WP_011340673,167.76,19,0,0,3,16,2,,,,,,19,0,0,0,2,21,1,,51102,ATP synthase subunit beta 1 Pelobacter carbinolicus
51,366,WP_011342926,167.76,19,0,0,3,16,2,,,,,,19,0,0,0,2,21,1,,51125,ATP synthase subunit beta 3 Pelobacter carbinolicus
47,163,XP_003055512,167.30,49,0,6,16,49,14,,,,1.1E7,,13,4,0,1,3,18,4,Oxidation (M),12701,histone H2B  Micromonas pusilla CCMP1545
47,164,XP_003062035,167.30,49,0,6,16,49,14,,,,1.1E7,,13,4,0,1,3,18,4,Oxidation (M),12701,predicted protein  Micromonas pusilla CCMP1545
47,165,XP_003058519,167.30,49,0,6,16,49,14,,,,1.1E7,,13,4,0,1,3,18,4,Oxidation (M),12701,predicted protein  Micromonas pusilla CCMP1545
47,166,XP_003080759,167.30,46,0,6,15,46,13,,,,1.1E7,,13,4,0,1,3,18,4,Oxidation (M),13731,histone H2B ISS  Ostreococcus tauri
47,167,XP_003082252,167.30,41,0,5,14,41,12,,,,1.1E7,,13,4,0,1,3,18,4,Oxidation (M),15314,histone H2B ISS  Ostreococcus tauri
47,168,ETNP_70,167.30,37,0,5,12,37,10,,,,1.1E7,,13,4,0,1,3,18,4,Oxidation (M),16840,Core histone H2A/H2B/H3/H4
111,72,ADH90757.1,165.19,21,1,0,3,17,0,,,,,,13,0,1,0,2,11,0,,50826,ATP synthase F1  beta subunit [Starkeya novella DSM 506]
63,53,EJK52995,164.15,17,0,0,2,17,5,,,,,,16,0,0,0,2,16,2,,68445,hypothetical protein THAOC_27647  Thalassiosira oceanica
89,265,ETNP14_120,164.08,22,0,0,0,22,0,,,,,,10,0,0,0,0,16,0,Oxidation (M),31612,ATP synthase subunit alpha
114,545,ETNP14_68,161.75,18,0,0,0,18,0,,,,,,9,0,0,0,0,14,0,Oxidation (M),31846,ATP synthase subunit alpha
22,487,ETNP_100,161.38,91,70,60,47,68,66,7.42E6,4.08E6,1.33E7,2.32E7,1.51E7,14,14,8,7,6,19,14,Oxidation (M),5311,hypothetical protein
99,157,ETNP_300,159.94,24,0,0,4,24,0,,,,,,14,0,0,0,3,12,0,,42457,ATP synthase subunit beta
71,105,ETNP_120,158.64,17,0,0,0,14,4,,,,,,12,0,0,0,0,16,2,Oxidation (M),55267,ATP synthase subunit alpha
71,106,ETNP_180,158.64,18,0,0,0,16,4,,,,,,12,0,0,0,0,16,2,Oxidation (M),49995,ATP synthase subunit alpha
71,107,ETNP_300,158.64,17,0,0,0,14,4,,,,,,12,0,0,0,0,16,2,Oxidation (M),55326,ATP synthase subunit alpha
110,175,BAE52943.1,156.24,19,0,0,5,17,3,,,,,,12,0,0,0,3,10,1,Oxidation (M),50655,F0F1-type ATP synthase  beta subunit [Magnetospirillum magneticum AMB-1]
90,1671,ETNP_150,155.94,71,26,0,26,45,0,,,,1.99E6,,9,1,1,0,2,13,0,Carbamidomethylation; Oxidation (M),4626,Tubulin/FtsZ family  GTPase domain
106,234,ETNP_60,154.06,24,0,0,3,21,2,,,,1.08E5,,13,1,0,0,2,12,1,Oxidation (M),47536,ATP synthase subunit beta
106,235,ETNP_70,154.06,23,0,0,3,20,2,,,,1.08E5,,13,1,0,0,2,12,1,Oxidation (M),50988,ATP synthase subunit beta
108,115,ETNP_100,153.57,19,0,0,3,16,5,,,,0E0,,11,1,0,0,2,10,2,Oxidation (M),51284,ATP synthase subunit beta
108,116,ETNP_110,153.57,19,0,0,3,16,5,,,,0E0,,11,1,0,0,2,10,2,Oxidation (M),51284,ATP synthase subunit beta
108,117,ETNP14_120,153.57,19,0,0,3,16,5,,,,0E0,,11,1,0,0,2,10,2,Oxidation (M),51284,ATP synthase subunit beta
108,118,NP_85,153.57,19,0,0,3,16,5,,,,0E0,,11,1,0,0,2,10,2,Oxidation (M),51284,ATP synthase subunit beta
108,119,NP_300,153.57,19,0,0,3,16,5,,,,0E0,,11,1,0,0,2,10,2,Oxidation (M),51284,ATP synthase subunit beta
113,199,WP_012561770,153.45,21,0,0,3,18,2,,,,,,12,0,0,0,2,11,1,,50705,ATP synthase subunit beta Oligotropha carboxidovorans
109,229,ETNP_160,152.89,17,0,0,3,14,5,,,,4.91E5,,11,1,0,0,2,10,2,Oxidation (M),51338,ATP synthase subunit beta
134,155,WP_025047902,152.88,20,0,0,2,19,2,,,,,,9,0,0,0,1,9,1,Oxidation (M),50159,ATP synthase F0F1 subunit beta Sulfitobacter mediterraneus
120,297,|#CONTAM#RS27A_HUMAN|,152.51,42,0,0,20,38,16,,,,4.25E5,1.07E5,10,1,0,0,4,7,2,,17965,sp|#CONTAM#RS27A_HUMAN|
116,286,ETNP14_68,151.20,26,2,0,4,20,5,,,,,,11,0,1,0,2,9,1,Oxidation (M),34153,ATP synthase subunit beta
123,539,ETNP14_68,149.85,22,0,0,2,20,0,,,,,,9,0,0,0,1,12,0,Oxidation (M),27520,ATP synthase subunit alpha
78,143,XP_003056674,149.03,12,2,0,0,12,5,,,,1.55E6,,11,1,1,0,0,13,3,Oxidation (M),60236,ATP synthase  Micromonas pusilla CCMP1545
128,169,EAQ04302.1,147.94,25,0,0,3,25,2,,,,,,10,0,0,0,2,9,1,Oxidation (M),49849,ATP synthase subunit B [Pseudooceanicola batsensis HTCC2597]
64,59,WP_006997680,147.35,28,0,0,6,25,2,,,,,,17,0,0,0,4,15,1,Oxidation (M),50728,ATP synthase subunit beta Candidatus Pelagibacter ubique
61,496,ETNP_100,146.76,23,0,0,0,23,9,,,,2.64E5,,8,1,0,0,0,18,2,Carbamidomethylation; Oxidation (M),20304,hypothetical protein
77,142,ETNP_70,146.55,16,2,0,2,13,6,,,,,,11,0,1,0,1,12,3,Oxidation (M),54925,ATP synthase subunit alpha
72,214,ETNP_100,146.53,65,8,0,8,65,9,,,,3.34E6,1.04E6,14,7,1,0,2,14,1,Carbamidomethylation; Oxidation (M),14624,Tubulin/FtsZ family  GTPase domain
144,966,WP_011128867,146.34,34,0,0,0,34,19,,,,2.95E6,2.84E5,7,7,0,0,0,8,3,Carbamidomethylation; Oxidation (M),17729,C-phycoerythrin class 2 subunit alpha Synechococcus
58,79,ETNP_70,146.26,31,1,0,6,26,2,,,,,,18,0,1,0,4,15,1,Oxidation (M),50888,ATP synthase subunit beta
65,80,ETNP_60,145.35,31,1,0,7,27,3,,,,,,17,0,1,0,4,14,1,Oxidation (M),45083,ATP synthase subunit beta
76,84,ETNP_300,142.85,24,0,0,3,24,2,,,,,,15,0,0,0,3,13,1,,55804,ATP synthase subunit beta
75,86,WP_013962611,141.97,23,0,0,4,22,5,,,,,,14,0,0,0,3,12,2,Oxidation (M),50698,F0F1 ATP synthase subunit beta Roseobacter litoralis
93,455,WP_012842594,141.53,14,0,0,2,12,0,,,,,,14,0,0,0,1,15,0,,55093,F0F1 ATP synthase subunit beta Rhodothermus marinus
121,43,ETNP_300,141.46,27,0,0,1,23,3,,,,4.84E5,,13,5,0,0,1,10,2,,58282,60 kDa chaperonin 1
67,98,ETNP14_68,140.58,26,1,0,6,23,2,,,,4.75E5,,16,1,1,0,4,13,1,Oxidation (M),50931,ATP synthase subunit beta
80,203,ETNP14_68,140.02,17,1,0,3,16,2,,,,,,14,0,1,0,3,12,1,,54496,ATP synthase subunit beta
80,204,ETNP14_68,140.02,20,1,0,4,19,3,,,,,,14,0,1,0,3,12,1,,45700,ATP synthase subunit beta
137,645,ETNP14_120,139.91,35,0,0,17,35,6,,,,,,9,0,0,0,3,7,1,,16575,Ubiquitin family protein
70,99,ETNP14_68,139.05,26,0,0,6,24,2,,,,,,15,0,0,0,4,13,1,Oxidation (M),50963,ATP synthase subunit beta
88,212,WP_035334816.1,138.43,17,0,0,4,16,2,,,,,,13,0,0,0,3,12,1,,53997,MULTISPECIES: F0F1 ATP synthase subunit beta [Dokdonia]
88,213,AMC11127.1,138.43,17,0,0,4,16,2,,,,,,13,0,0,0,3,12,1,,54383,ATP synthase subunit beta [Lutibacter profundi]
88,222,EDP98531.1,138.43,17,0,0,4,16,2,,,,,,13,0,0,0,3,12,1,,54209,H(+)-transporting two-sector ATPase  beta subunit [Kordia algicida OT-1]
91,185,WP_009778532.1,138.36,18,0,0,3,18,2,,,,2.13E5,,13,1,0,0,2,13,1,,53905,MULTISPECIES: ATP synthase subunit beta [Leeuwenhoekiella]
98,88,ETNP14_68,138.03,24,0,0,3,24,3,,,,1.57E5,,13,1,0,0,2,12,1,,44777,ATP synthase subunit beta
92,210,EAP87371.1,137.89,18,0,0,3,18,2,,,,8.96E5,,13,1,0,0,2,13,1,,54150,ATP synthase subunit B [Croceibacter atlanticus HTCC2559]
87,205,ETNP14_68,137.84,17,0,0,3,17,2,,,,2.16E5,,13,1,0,0,2,13,1,,54592,ATP synthase subunit beta
107,409,WP_011128866,137.08,29,0,0,0,29,26,,,,1.75E6,6.99E5,8,2,0,0,0,11,4,Carbamidomethylation; Oxidation (M),18085,C-phycoerythrin class 2 subunit beta Synechococcus
104,531,BAJ30797.1,136.53,13,0,0,3,10,2,,,,,,13,0,0,0,2,12,1,,52553,putative ATP synthase subunit beta [Kitasatospora setae KM-6054]
125,97,ETNP_100,136.10,61,0,0,11,61,11,,,,7.4E5,,11,1,0,0,2,10,1,Carbamidomethylation,15112,Tubulin/FtsZ family  GTPase domain
83,236,ADB27496,135.62,18,0,0,2,16,5,,,,,,12,0,0,0,1,13,2,Oxidation (M),51205,ATP synthase CF1 subunit beta chloroplast  Thalassiosira oceanica CCMP1005
115,233,ETNP_100,135.34,31,3,0,0,28,10,,,,3.39E6,4.23E5,6,1,1,0,0,10,3,Oxidation (M),27951,PEP-CTERM motif protein
79,123,WP_018003167,134.47,22,1,0,5,20,2,,,,,,15,0,1,0,4,11,1,,51139,F0F1 ATP synthase subunit beta BacteriaArchaea
54,239,XP_002185730,132.79,17,0,0,0,17,2,,,,1.68E7,3.03E5,15,4,0,0,0,21,1,Carbamidomethylation; Oxidation (M),49582,predicted protein  Phaeodactylum tricornutum CCAP 1055
158,151,XP_002186303,132.56,14,0,0,0,14,3,,,,3.57E7,4.48E5,7,6,0,0,0,8,1,,48082,translation elongation factor EF-1 alpha subunit  Phaeodactylum tricornutum CCAP 1055
158,152,XP_002181593,132.56,14,0,0,0,14,3,,,,3.57E7,4.48E5,7,6,0,0,0,8,1,,48056,predicted protein  Phaeodactylum tricornutum CCAP 1055
84,352,ETNP_120,132.37,18,0,0,5,17,6,,,,,,13,0,0,0,4,10,2,,50467,ATP synthase subunit beta
84,353,ETNP_160,132.37,18,0,0,5,17,6,,,,,,13,0,0,0,4,10,2,,50467,ATP synthase subunit beta
84,355,ETNP14_120,132.37,18,0,0,5,17,6,,,,,,13,0,0,0,4,10,2,,50467,ATP synthase subunit beta
105,170,NP_300,131.99,12,0,0,1,11,1,,,,5.41E4,,9,1,0,0,1,13,1,Carbamidomethylation; Oxidation (M),55738,ATP synthase subunit alpha
105,171,ETNP_160,131.99,12,0,0,1,11,1,,,,5.41E4,,9,1,0,0,1,13,1,Carbamidomethylation; Oxidation (M),55680,ATP synthase subunit alpha
105,172,ETNP_120,131.99,12,0,0,1,11,1,,,,5.41E4,,9,1,0,0,1,13,1,Carbamidomethylation; Oxidation (M),55680,ATP synthase subunit alpha
105,173,ETNP_140,131.99,12,0,0,1,11,1,,,,5.41E4,,9,1,0,0,1,13,1,Carbamidomethylation; Oxidation (M),55680,ATP synthase subunit alpha
105,179,ETNP_300,131.99,17,0,0,1,15,2,,,,5.41E4,,9,1,0,0,1,13,1,Carbamidomethylation; Oxidation (M),40284,ATP synthase subunit alpha
95,174,ETNP14_120,131.08,25,0,0,6,23,0,,,,0E0,,14,1,0,0,4,11,0,,50851,ATP synthase subunit beta
100,104,ADH90759.1,130.90,15,0,0,0,15,4,,,,4.02E4,,9,1,0,0,0,13,2,Oxidation (M),55042,ATP synthase F1  alpha subunit [Starkeya novella DSM 506]
112,176,ETNP_180,129.83,19,0,0,4,19,0,,,,,,13,0,0,0,3,11,0,,51684,ATP synthase subunit beta
86,240,ETNP14_120,129.57,22,0,0,5,21,2,,,,,,14,0,0,0,4,11,1,,51367,ATP synthase subunit beta
86,241,ETNP14_68,129.57,22,0,0,5,21,2,,,,,,14,0,0,0,4,11,1,,51120,ATP synthase subunit beta
