Mods 231,Mods 233,Mods 243,Mods 378,Mods 278,Mods 273,DNO peptides modified percent,PEAKS DB mod peptides percent,Num modifications,Sample 231,Sample 233,Sample 243,Sample 378,Sample 278,Sample 273,Percent modifications,PSample 231,PSample 233,PSample 243,PSample 378,PSample 278,PSample 273
Carbamidomethylation,Methylation(KR),Oxidation (HW),Oxidation or Hydroxylation,Replacement of 2 protons by calcium,Deamidation (NQ),,,# Replacement of 2 protons by magnesium,1,1,0,0,0,0,Replacement of 2 protons by magnesium,0.001290323,0.001814882,0,0,0,0
Oxidation (M),Oxidation (M),Pyro-glu from Q,Mutation,Dehydration,Methylation(others),,,# Menadione hydroquinone derivative,0,0,2,0,0,0,Menadione hydroquinone derivative,0,0,0.018867925,0,0,0
Oxidation (M),Carbamidomethylation,Deamidation (NQ),Deamidation (NQ),Carbamidomethylation,Oxidation (M),,,# Mods total,775,551,106,130,312,203,Total,1,1,1,1,1,1
Deoxy,Dehydration,Methylation(others); Carbamidomethylation,Mutation,Proline oxidation to pyrrolidinone,Mutation,,,# Peptides w/ mods,582,401,88,102,228,150,,,,,,,
Acetylation (N-term),Carbamidomethylation; Deamidation (NQ); Dimethylation(KR),Pyro-glu from Q,Oxidation (M),Mutation,Oxidation (M),,,# Peptides,2220,1824,491,393,967,726,,,,,,,
Acetylation (Protein N-term),Deamidation (NQ),Carbamidomethylation; Carboxylation (DKW),Amidination of lysines or N-terminal amines with methyl acetimidate,Oxidation or Hydroxylation,Carbamidomethylation,,,% Peptides w mods,0.262162162,0.219846491,0.179226069,0.259541985,0.235780765,0.20661157,,,,,,,
Acetylation (N-term),Sodium adduct,Oxidation (M),Replacement of proton with ammonium ion,Dehydration,Carbamidomethylation,,,,,,,,,,,,,,,,
Oxidation (M),Pyro-glu from Q,Carbamidomethylation,Carbamidomethylation,Dehydration,Carbamidomethylation,,,,,,,,,,,,,,,,
Pyro-glu from Q,Replacement of 2 protons by calcium,Ethyl amino,Oxidation (M),Pyro-glu from Q,Carbamidomethylation,,,,,,,,,,,,,,,,
Oxidation (M),Mutation,Acetylation (N-term),Acetylation (N-term),Mutation,Deamidation (NQ),,,,,,,,,,,,,,,,
Acetylation (Protein N-term),Oxidation (M),ISD (z+2)-series,Oxidation (M),Deamidation (NQ),Carbamidomethylation,,,,,,,,,,,,,,,,
Acetylation (N-term),Carbamidomethylation,ISD (z+2)-series,Replacement of 2 protons by iron,Oxidation (M),Oxidation (M),,,,,,,,,,,,,,,,
Oxidation (M),Deamidation (NQ),Oxidation (M),Replacement of 2 protons by iron,Mutation,Carbamidomethylation,,,,,,,,,,,,,,,,
Carbamidomethylation,Acetylation (N-term); Deamidation (NQ),Deamidation (NQ),Oxidation (M),Dehydration,Oxidation (M),,,,,,,,,,,,,,,,
Sodium adduct,Carbamidomethylation,Deamidation (NQ),Propionamide (K  X@N-term),Mutation,Carbamidomethylation,,,,,,,,,,,,,,,,
Sodium adduct,Sodium adduct,Ethylation,Carbamidomethylation,Dehydration,Oxidation (M),,,,,,,,,,,,,,,,
Replacement of 2 protons by calcium,Sodium adduct,Replacement of proton by potassium,Oxidation (M),Hydroxymethyl,Deoxy,,,,,,,,,,,,,,,,
Oxidation (M),Dimethylation(KR),Oxidation (M),Mutation,Mutation,Dehydration,,,,,,,,,,,,,,,,
Oxidation (M),Carbamidomethylation,Replacement of proton by potassium,Ethylation,Oxidation (M),Dehydration,,,,,,,,,,,,,,,,
Ethylation; Carbamidomethylation,Carbamidomethylation; Sodium adduct,Oxidation (M),Dehydration,Mutation,Carbamidomethylation,,,,,,,,,,,,,,,,
Pyro-glu from Q,Carbamidomethylation,Carbamidomethylation,Carbamidomethylation; Dehydration,Oxidation (M),Carbamidomethylation,,,,,,,,,,,,,,,,
Sodium adduct,Replacement of 2 protons by calcium,Mutation,2-amino-3-oxo-butanoic_acid,Mutation,Carbamidomethylation,,,,,,,,,,,,,,,,
Sodium adduct,Replacement of 2 protons by calcium,Mutation,Carbamidomethylation,Carbamidomethylation,Mutation,,,,,,,,,,,,,,,,
Ethylation,Pyro-glu from Q; Carbamidomethylation,Sodium adduct,Oxidation (M),Replacement of proton by potassium,Propionamide (K  X@N-term),,,,,,,,,,,,,,,,
Carbamidomethylation,Dimethylation(KR),Dimethylation(KR),Carbamidomethylation; Dimethylation(KR),Mutation,Dihydroxy,,,,,,,,,,,,,,,,
Replacement of 2 protons by calcium,Oxidation (M),Pyro-glu from Q,Ammonia-loss (N); Phosphorylation (STY),Mutation,Oxidation (M),,,,,,,,,,,,,,,,
Carbamidomethylation,Sodium adduct,Carbamidomethylation,Dimethylation(KR),Oxidation or Hydroxylation,Carbamidomethylation,,,,,,,,,,,,,,,,
Methylation(others),Carbamidomethylation,Menadione hydroquinone derivative,Dimethylation(KR),Formylation,Sodium adduct,,,,,,,,,,,,,,,,
Pyro-glu from Q,Oxidation (M),Carbamidomethylation,Oxidation (M),Carbamidomethylation,Oxidation (M),,,,,,,,,,,,,,,,
Carbamidomethylation,Oxidation (M),Menadione hydroquinone derivative,Oxidation (M),Carbamidomethylation,Sodium adduct,,,,,,,,,,,,,,,,
Carbamidomethylation,Deamidation (NQ),Oxidation (M),Oxidation (M),Carbamidomethylation,Deamidation (NQ),,,,,,,,,,,,,,,,
Oxidation (M),Carbamidomethylation,Oxidation (M),Carbamidomethylation,Mutation,Mutation,,,,,,,,,,,,,,,,
Carbamidomethylation,Carbamidomethylation; 2-OH-ethyl thio-Ser,Oxidation (M),Carbamidomethylation,Mutation,Carbamidomethylation,,,,,,,,,,,,,,,,
Carbamidomethylation,Methylation(others),Oxidation (M),Dehydration,Oxidation (M),Carbamidomethylation,,,,,,,,,,,,,,,,
Carbamidomethylation,Pyro-glu from Q,Oxidation (M),Formylation,Oxidation (M),Mutation,,,,,,,,,,,,,,,,
Carbamidomethylation,Deamidation (NQ),Oxidation (M),Dehydration,Mutation,Oxidation (M),,,,,,,,,,,,,,,,
Oxidation (M),Replacement of 2 protons by iron,Oxidation (M),Acetylation (TSCYH); Deamidation (NQ),Replacement of proton by potassium,Mutation,,,,,,,,,,,,,,,,
Carbamidomethylation,Deamidation (NQ),Mutation,Carbamidomethylation,Carbamidomethylation,Oxidation (M),,,,,,,,,,,,,,,,
Carbamidomethylation,Carbamidomethylation,,Carbamidomethylation,Formylation,Mutation,,,,,,,,,,,,,,,,
Sodium adduct,Dehydration,,Carbamidomethylation,Propionamide (K  X@N-term),Carbamidomethylation,,,,,,,,,,,,,,,,
Propionamide (K  X@N-term),Carbamidomethylation,,Carboxymethyl (KW  X@N-term),Pyro-glu from E,Oxidation (M),,,,,,,,,,,,,,,,
Carbamidomethylation,Propionamide (K  X@N-term),,Oxidation (M),Carbamidomethylation,Deamidation (NQ); Oxidation (HW),,,,,,,,,,,,,,,,
Oxidation (M),Carbamidomethylation,,Mutation,Carbamidomethylation,Deamidation (NQ); Dehydration,,,,,,,,,,,,,,,,
Tryptophan oxidation to kynurenin,Deamidation (NQ),,Oxidation (M),Carbamidomethylation,Oxidation (M),,,,,,,,,,,,,,,,
Carbamidomethylation,Replacement of 2 protons by calcium,,Phosphorylation (HCDR),Oxidation or Hydroxylation,Mutation,,,,,,,,,,,,,,,,
Oxidation (M),Oxidation (HW),,Deamidation (NQ),Oxidation (M),Methylation(others),,,,,,,,,,,,,,,,
Carbamidomethylation,Dihydroxy,,Carbamidomethylation,Mutation,Mutation,,,,,,,,,,,,,,,,
Oxidation (M),Carbamidomethylation,,Methylation(others),Deoxy,Carbamidomethylation,,,,,,,,,,,,,,,,
Oxidation (M),Dehydration,,Oxidation (M),Mutation,Mutation,,,,,,,,,,,,,,,,
Hydroxymethyl,Oxidation (M); Deamidation (NQ),,Methylation(others),Carbamidomethylation,Oxidation (M),,,,,,,,,,,,,,,,
Oxidation (M),Replacement of 2 protons by calcium,,Dimethylation of proline residue,Methylation(others),Mutation,,,,,,,,,,,,,,,,
Carbamidomethylation,Oxidation (M),,Oxidation (M),Mutation,Oxidation (M),,,,,,,,,,,,,,,,
Dehydration,Deamidation (NQ),,,Oxidation (M),Phosphorylation (STY),,,,,,,,,,,,,,,,
Pyro-glu from Q,Deamidation (NQ),,,Mutation,Sodium adduct,,,,,,,,,,,,,,,,
Carbamidomethylation,Carbamidomethylation,,,Carbamidomethylation,Sodium adduct,,,,,,,,,,,,,,,,
Oxidation (M),Carbamidomethylation,,,Carbamidomethylation,Phosphorylation (STY),,,,,,,,,,,,,,,,
Oxidation (M),Oxidation (M),,,Carbamidomethylation,Oxidation (M),,,,,,,,,,,,,,,,
Sodium adduct,Carbamidomethylation,,,Oxidation (M),Carbamidomethylation,,,,,,,,,,,,,,,,
Carbamidomethylation,Deoxy,,,Oxidation (M),Oxidation (M),,,,,,,,,,,,,,,,
Carbamidomethylation; Methylation(others),Deamidation (NQ),,,Oxidation (M),Deoxy,,,,,,,,,,,,,,,,
Carbamidomethylation; Carboxyethyl,Ethylation,,,Phosphorylation (STY),Oxidation (M),,,,,,,,,,,,,,,,
Carboxymethyl (KW  X@N-term),Formylation (Protein N-term),,,Carbamidomethylation,Oxidation (M),,,,,,,,,,,,,,,,
Oxidation (M),Formylation,,,Methylation(KR),Dimethylation(KR),,,,,,,,,,,,,,,,
Oxidation (M),Carbamidomethylation,,,Methylation(KR),Oxidation (M),,,,,,,,,,,,,,,,
Carbamylation,Mutation,,,Mutation,Oxidation (M),,,,,,,,,,,,,,,,
Oxidation (M),Deamidation (NQ),,,Phosphorylation (STY),Mutation,,,,,,,,,,,,,,,,
Replacement of 2 protons by calcium,Carbamidomethylation,,,Methylation(others),Acetylation (N-term),,,,,,,,,,,,,,,,
Replacement of 2 protons by calcium,Oxidation (M),,,Dimethylation(KR); Carbamidomethylation,Oxidation (M),,,,,,,,,,,,,,,,
Deamidation (NQ),Deamidation (NQ),,,Oxidation (M),Oxidation (M),,,,,,,,,,,,,,,,
Oxidation (M),Deamidation (NQ),,,Oxidation or Hydroxylation,Oxidation (M),,,,,,,,,,,,,,,,
Oxidation (M),Carbamidomethylation,,,Carbamidomethylation,Oxidation (M),,,,,,,,,,,,,,,,
Oxidation (M),Oxidation (M),,,Deoxy,Dehydration,,,,,,,,,,,,,,,,
Replacement of 2 protons by nickel,Oxidation or Hydroxylation,,,Mutation,Replacement of proton by potassium,,,,,,,,,,,,,,,,
Carbamidomethylation,Oxidation (M),,,Phosphorylation (STY),Oxidation (M),,,,,,,,,,,,,,,,
Oxidation (M),Mutation,,,Oxidation (M),Mutation,,,,,,,,,,,,,,,,
Oxidation (M),Deamidation (NQ),,,Carbamidomethylation,Mutation,,,,,,,,,,,,,,,,
Deamidation (NQ),Oxidation (M),,,Amidination of lysines or N-terminal amines with methyl acetimidate,Oxidation (M),,,,,,,,,,,,,,,,
Oxidation (M),Mutation,,,Mutation,Carbamidomethylation,,,,,,,,,,,,,,,,
Acetylation (N-term); Deamidation (NQ),Mutation,,,Oxidation (M),Oxidation (M),,,,,,,,,,,,,,,,
Oxidation (M),Deamidation (NQ),,,Carbamidomethylation; Mutation,Carbamidomethylation,,,,,,,,,,,,,,,,
Dehydration,Formylation (Protein N-term),,,Oxidation (M),Oxidation (M),,,,,,,,,,,,,,,,
Mutation,Formylation,,,Oxidation (M),Carbamidomethylation,,,,,,,,,,,,,,,,
Mutation,Carbamidomethylation,,,Deamidation (NQ),Formylation,,,,,,,,,,,,,,,,
Dehydration,Carbamidomethylation,,,Oxidation (M),Deamidation (NQ); Formylation,,,,,,,,,,,,,,,,
Sodium adduct,Carbamidomethylation,,,Mutation,Mutation,,,,,,,,,,,,,,,,
Oxidation (M),Deamidation (NQ),,,Oxidation (M),Oxidation (M),,,,,,,,,,,,,,,,
Oxidation (M),Mutation,,,Oxidation (M),Oxidation (M),,,,,,,,,,,,,,,,
Carbamylation,Dethiomethyl,,,Dehydration,Carbamidomethylation; Oxidation (M),,,,,,,,,,,,,,,,
Formylation,Deamidation (NQ),,,Carbamidomethylation,Mutation,,,,,,,,,,,,,,,,
Oxidation (M),Carbamidomethylation,,,Oxidation (M),Oxidation (M),,,,,,,,,,,,,,,,
Mutation,Carbamidomethylation,,,Phosphorylation (STY),Carbamidomethylation,,,,,,,,,,,,,,,,
Methylation(others),Carbamidomethylation,,,Carbamidomethylation,Carbamidomethylation,,,,,,,,,,,,,,,,
Replacement of 2 protons by calcium,Sodium adduct,,,Phosphorylation (STY),Oxidation (M),,,,,,,,,,,,,,,,
Replacement of 2 protons by calcium,Carbamidomethylation,,,Mutation,Phosphorylation to amine thiol,,,,,,,,,,,,,,,,
Oxidation or Hydroxylation,Oxidation (M),,,Methylation(KR); Phosphorylation (STY),Acetylation (N-term),,,,,,,,,,,,,,,,
Formylation,Acetylation (TSCYH),,,Oxidation (M),Oxidation (M),,,,,,,,,,,,,,,,
Mutation,Oxidation (M),,,Methylation(KR),Carbamidomethylation,,,,,,,,,,,,,,,,
Formylation; Carbamidomethylation,Carbamidomethylation,,,Carbamidomethylation,Amidation,,,,,,,,,,,,,,,,
Carbamidomethylation; Sodium adduct,Oxidation (M),,,Methylation(KR),Oxidation (M),,,,,,,,,,,,,,,,
Sodium adduct,Acetylation (N-term),,,Oxidation (M),Oxidation (M),,,,,,,,,,,,,,,,
Mutation,Mutation,,,Oxidation (M),Oxidation (M),,,,,,,,,,,,,,,,
Replacement of 2 protons by calcium,Carbamidomethylation,,,Dimethylation(KR),Carbamidomethylation; Oxidation (M),,,,,,,,,,,,,,,,
Mutation,Oxidation (M),,,Methylation(KR),,,,,,,,,,,,,,,,,
Acetylation (N-term),Mutation,,,Oxidation (M),,,,,,,,,,,,,,,,,
Carbamylation,Carbamidomethylation,,,Oxidation (M),,,,,,,,,,,,,,,,,
Mutation,Mutation,,,Oxidation (M),,,,,,,,,,,,,,,,,
Methylation(others),Ammonia-loss (N),,,Oxidation (M),,,,,,,,,,,,,,,,,
Carbamidomethylation,Deoxy,,,Carbamidomethylation,,,,,,,,,,,,,,,,,
Mutation,Carbamidomethylation,,,Oxidation (M),,,,,,,,,,,,,,,,,
Replacement of proton by potassium,Oxidation (M),,,Oxidation (M),,,,,,,,,,,,,,,,,
Propionamide (K  X@N-term),Ethylation,,,Carbamidomethylation,,,,,,,,,,,,,,,,,
Carbamidomethylation,Deamidation (NQ),,,Carbamidomethylation,,,,,,,,,,,,,,,,,
Carbamidomethylation,Formylation,,,Mutation,,,,,,,,,,,,,,,,,
Replacement of proton by potassium,Deamidation (NQ),,,Formylation; Carbamylation,,,,,,,,,,,,,,,,,
Mutation,Oxidation (M),,,Oxidation (M),,,,,,,,,,,,,,,,,
Carbamidomethylation,Amidation,,,Mutation,,,,,,,,,,,,,,,,,
Oxidation (M),Deamidation (NQ),,,Carbamidomethylation,,,,,,,,,,,,,,,,,
Carboxylation (DKW); Deamidation (NQ),Carbamidomethylation,,,Oxidation (M),,,,,,,,,,,,,,,,,
Mutation,Carboxylation (E); Methylation(KR),,,Oxidation (M),,,,,,,,,,,,,,,,,
Sodium adduct,Carbamylation,,,Carbamidomethylation; Deamidation (NQ),,,,,,,,,,,,,,,,,
Formylation,Formylation,,,Oxidation (M),,,,,,,,,,,,,,,,,
Deamidation (NQ),Propionamide (K  X@N-term),,,Carbamidomethylation,,,,,,,,,,,,,,,,,
Dehydration,Carbamylation,,,Methylation(KR),,,,,,,,,,,,,,,,,
Dehydration,Deamidation (NQ),,,Carboxylation (E),,,,,,,,,,,,,,,,,
Oxidation (M),Mutation,,,Carbamidomethylation; Oxidation (M),,,,,,,,,,,,,,,,,
Carboxylation (E); Methylation(KR),Methylation(others); Carbamidomethylation,,,Oxidation (M),,,,,,,,,,,,,,,,,
Mutation,Propionamide (K  X@N-term),,,Oxidation (M),,,,,,,,,,,,,,,,,
Oxidation (M),Carbamidomethylation,,,Carbamidomethylation,,,,,,,,,,,,,,,,,
Deamidation (NQ),Amidation,,,Oxidation (M),,,,,,,,,,,,,,,,,
Glycidamide adduct,Carboxymethyl (KW  X@N-term),,,Oxidation (M),,,,,,,,,,,,,,,,,
Deamidation (NQ),Mutation,,,Oxidation (M),,,,,,,,,,,,,,,,,
Ethylation,Mutation,,,Oxidation (M),,,,,,,,,,,,,,,,,
Acetylation (N-term),Deoxy,,,Carbamidomethylation,,,,,,,,,,,,,,,,,
Deamidation (NQ),Oxidation (M); Mutation,,,Hexose (NSY),,,,,,,,,,,,,,,,,
Sodium adduct,Mutation,,,3-sulfanylpropanoyl,,,,,,,,,,,,,,,,,
Carbamidomethylation; Oxidation (M),Carbamidomethylation,,,Carbamidomethylation,,,,,,,,,,,,,,,,,
Carbamidomethylation,Oxidation (M),,,Oxidation (M),,,,,,,,,,,,,,,,,
Mutation,Carbamidomethylation,,,Mutation,,,,,,,,,,,,,,,,,
Carbamidomethylation,Deamidation (NQ),,,Oxidation (M),,,,,,,,,,,,,,,,,
Carbamidomethylation,Deamidation (NQ),,,Mutation,,,,,,,,,,,,,,,,,
Carbamidomethylation,Ethylation,,,Deamidation (NQ),,,,,,,,,,,,,,,,,
Carbamidomethylation,Propionamide (K  X@N-term),,,Oxidation (M),,,,,,,,,,,,,,,,,
Carbamidomethylation,Dimethylation(KR),,,Carbamidomethylation,,,,,,,,,,,,,,,,,
Replacement of 2 protons by calcium,Sodium adduct,,,Ethylation,,,,,,,,,,,,,,,,,
Replacement of 2 protons by magnesium,Replacement of 2 protons by magnesium,,,Mutation,,,,,,,,,,,,,,,,,
Methylation(others),Carbamidomethylation,,,Mutation,,,,,,,,,,,,,,,,,
Oxidation (M),Mutation,,,Oxidation (M),,,,,,,,,,,,,,,,,
Oxidation (M),Acetylation (K),,,Propionamide (K  X@N-term),,,,,,,,,,,,,,,,,
Carbamidomethylation,Acetylation (N-term),,,Mutation,,,,,,,,,,,,,,,,,
Formylation,S-Ethylcystine from Serine,,,Carbamidomethylation,,,,,,,,,,,,,,,,,
Deamidation (NQ),Mutation,,,Acetylation (K),,,,,,,,,,,,,,,,,
Acetylation (N-term),Acetylation (N-term); Oxidation (M),,,Carbamidomethylation; Oxidation (M),,,,,,,,,,,,,,,,,
Acetylation (TSCYH),Deamidation (NQ),,,Oxidation (M),,,,,,,,,,,,,,,,,
Oxidation (M),Carbamidomethylation,,,Oxidation (M),,,,,,,,,,,,,,,,,
Acetylation (N-term),Deamidation (NQ),,,Oxidation (M),,,,,,,,,,,,,,,,,
Acetylation (N-term),Carbamidomethylation,,,Oxidation (M),,,,,,,,,,,,,,,,,
Oxidation (M),ISD (z+2)-series,,,Oxidation (M),,,,,,,,,,,,,,,,,
