DepthSKQ0012,FluorescenseSKQ0012,OxygenSKQ0012,p2depth2012,p2depth2017,p2orgcflux2012,p2orgcflux2017,p2Nflux2012,p2Nflux2017,p2CN2012,p2CN2017,p2o2,p2no3,p2no2,p2flux,susparticleclass,sinkparticleclass,cyanosusniaf,cyanosinkniaf,cyanosusmod,cyanosinkmod
67.77590648,1.01E+00,187.33,,,,,,,,,,,,,,,,,,
68.77352883,1.01E+00,186.804,,,,,,,,,,,,,,,,,,
69.77016049,1.12E+00,186.213,,,,,,,,,,,,,,,,,,
70.76679215,9.46E-01,179.306,,,,,,,,,,,,,,,,,,
71.76342382,8.93E-01,174.056,,,,,,,,,,,,,,,,,,
72.76104617,8.65E-01,178.941,,,,,,,,,,,,,,,,,,
73.75767783,9.09E-01,176.516,,,,,,,,,,,,,,,,,,
74.75430949,8.45E-01,160.732,,,,,,,,,,,,,,,,,,
75.75193184,8.38E-01,142.194,,,,,,,,,,,,,,,,,,
76.7485635,7.51E-01,130.961,,,,,,,,,,,,,,,,,,
77.74519517,6.10E-01,128.436,,,,,,,,,,,,,,,,,,
78.74182683,6.65E-01,118.191,,,,,,,,,,,,,,,,,,
79.73944918,6.53E-01,114.827,,,,,,,,,,,,,,,,,,
80.73608084,6.15E-01,115.774,,,,,,,,,,,,,,,,,,
81.7327125,6.21E-01,115.474,,,,,,,,,,,,,,,,,,
82.73033485,5.27E-01,114.035,,,,,,,,,,,,,,,,,,
83.72696651,5.21E-01,110.721,,,,,,,,,,,,,,,,,,
84.72359818,5.47E-01,109.403,,,,,,,,,,,,,,,,,,
85.72122053,5.35E-01,107.127,,,,,,,,,,,,,,,,,,
86.71785219,5.39E-01,105.203,,,,,,,,,,,,,,,,,,
87.71448385,5.17E-01,104.077,,,,,,,,,,,,,,,,,,
88.7121062,4.59E-01,100.266,,,,,,,,,,,,,,,,,,
89.70873786,4.65E-01,96.986,,,,,,,,,,,,,,,,,,
90.70536953,4.82E-01,87.662,,,,,,,,,,,,,,,,,,
91.70299188,4.24E-01,66.342,,,,,,,,,,,,,,,,,,
92.69962354,3.87E-01,63.396,,,,,,,,,,,,,,,,,,
93.69724589,3.63E-01,63.585,,,,,,,,,,,,,,,,,,
94.69387755,3.35E-01,63.261,,,,,,,,,,,,,,,,,,
95.69050921,3.20E-01,62.166,,,,,,,,,,,,,,,,,,
96.68813156,3.91E-01,61.473,,,,,,,,,,,,,,,,,,
97.68476323,3.67E-01,57.657,,,,,,,,,,,,,,,,,,
98.68139489,3.04E-01,51.164,,,,,,,,,,,,,,,,,,
99.67901724,3.26E-01,48.973,,,,,,,,,,,,,,,,,,
100.6756489,3.17E-01,47.475,,,,,,,,,,,,,,,,,,
101.6732713,2.92E-01,44.856,,,,,,,,,,,,,,,,,,
102.6699029,2.91E-01,41.722,,,,,,,,,,,,,,,,,,
103.6665346,2.63E-01,37.352,,,,,,,,,,,,,,,,,,
104.6641569,2.63E-01,34.342,,,,,,,,,,,,,,,,,,
105.6607886,2.67E-01,31.356,,,,,,,,,,,,,,,,,,
106.6584109,2.26E-01,27.102,,,,,,,,,,,,,,,,,,
107.6550426,2.20E-01,23.848,,,,,,,,,,,,,,,,,,
108.6526649,2.40E-01,19.629,,,,,,,,,,,,,,,,,,
109.6492966,1.83E-01,16.071,,,,,,,,,,,,,,,,,,
110.646919,1.79E-01,15.815,,,,,,,,,,,,,,,,,,
111.6435506,2.19E-01,16.221,,,,,,,,,,,,,,,,,,
112.6401823,1.72E-01,14.446,,,,,,,,,,,,,,,,,,
113.6378046,1.74E-01,11.968,,,,,,,,,,,,,,,,,,
114.6344363,1.72E-01,10.016,,,,,,,,,,,,,,,,,,
115.6320586,1.60E-01,8.927,,,,,,,,,,,,,,,,,,
116.6286903,1.48E-01,8.998,,,,,,,,,,,,,,,,,,
117.6263127,1.62E-01,8.295,,,,,,,,,,,,,,,,,,
118.6229443,1.41E-01,8.669,,,,,,,,,,,,,,,,,,
119.6205667,1.40E-01,9.297,,,,,,,,,,,,,,,,,,
120.6171983,1.54E-01,9.313,,,,,,,,,,,,,,,,,,
121.6148207,1.51E-01,9.501,,,,,,,,,,,,,,,,,,
122.6114523,1.31E-01,10.479,,,,,,,,,,,,,,,,,,
123.6090747,1.31E-01,11.365,,,,,,,,,,,,,,,,,,
124.6057064,1.31E-01,12.23,,,,,,,,,,,,,,,,,,
125.6033287,1.37E-01,11.82,,,,,,,,,,,,,,,,,,
126.6009511,1.21E-01,9.075,,,,,,,,,,,,,,,,,,
127.5975827,1.08E-01,7.229,,,,,,,,,,,,,,,,,,
128.5952051,1.14E-01,6.627,,,,,,,,,,,,,,,,,,
129.5918367,1.09E-01,5.695,,,,,,,,,,,,,,,,,,
130.5894591,1.02E-01,5.424,,,,,,,,,,,,,,,,,,
131.5860907,1.05E-01,5.248,,,,,,,,,,,,,,,,,,
132.5837131,1.07E-01,4.578,,,,,,,,,,,,,,,,,,
133.5803448,1.06E-01,3.28,,,,,,,,,,,,,,,,,,
134.5779671,1.02E-01,2.73,,,,,,,,,,,,,,,,,,
135.5745988,1.04E-01,2.652,,,,,,,,,,,,,,,,,,
136.5722211,1.08E-01,2.63,,,,,,,,,,,,,,,,,,
137.5698435,9.41E-02,2.356,,,,,,,,,,,,,,,,,,
138.5664751,1.24E-01,2.18,,,,,,,,,,,,,,,,,,
139.5640975,9.97E-02,1.885,,,,,,,,,,,,,,,,,,
140.5607291,9.36E-02,1.12,,,,,,,,,,,,,,,,,,
141.5583515,1.21E-01,0.731,,,,,,,,,,,,,,,,,,
142.5559738,1.80E-01,0.692,,,,,,,,,,,,,,,,,,
143.5526055,2.06E-01,0.733,,,,,,,,,,,,,,,,,,
144.5502279,1.94E-01,0.627,,,,,,,,,,,,,,,,,,
145.5468595,2.06E-01,0.634,,,,,,,,,,,,,,,,,,
146.5444819,2.22E-01,0.646,,,,,,,,,,,,,,,,,,
147.5421042,2.18E-01,0.597,,,,,,,,,,,,,,,,,,
148.5387359,2.16E-01,0.536,,,,,,,,,,,,,,,,,,
149.5363582,2.14E-01,0.508,,,,,,,,,,,,,,,,,,
150.5339806,2.02E-01,0.513,,,,,,,,,,,,,,,,,,
151.5306122,2.31E-01,0.515,,,,,,,,,,,,,,,,,,
152.5282346,2.17E-01,0.515,,,,,,,,,,,,,,,,,,
153.5258569,1.89E-01,0.516,,,,,,,,,,,,,,,,,,
154.5224886,1.86E-01,0.496,,,,,,,,,,,,,,,,,,
155.520111,2.24E-01,0.501,,,,,,,,,,,,,,,,,,
156.5177333,2.06E-01,0.515,,,,,,,,,,,,,,,,,,
157.514365,1.88E-01,0.492,,,,,,,,,,,,,,,,,,
158.5119873,1.79E-01,0.421,,,,,,,,,,,,,,,,,,
159.5096097,1.67E-01,0.405,,,,,,,,,,,,,,,,,,
160.5062413,1.68E-01,0.417,,,,,,,,,,,,,,,,,,
161.5038637,1.75E-01,0.395,,,,,,,,,,,,,,,,,,
162.501486,1.66E-01,0.426,,,,,,,,,,,,,,,,,,
163.4991084,1.57E-01,0.379,,,,,,,,,,,,,,,,,,
164.49574,1.48E-01,0.381,,,,,,,,,,,,,,,,,,
165.4933624,1.49E-01,0.38,,,,,,,,,,,,,,,,,,
166.4899941,1.43E-01,0.382,,,,,,,,,,,,,,,,,,
167.4886071,1.40E-01,0.379,,,,,,,,,,,,,,,,,,
168.4852388,1.34E-01,0.39,,,,,,,,,,,,,,,,,,
169.4828611,1.29E-01,0.377,,,,,,,,,,,,,,,,,,
170.4804835,1.31E-01,0.375,,,,,,,,,,,,,,,,,,
171.4781058,1.24E-01,0.378,,,,,,,,,,,,,,,,,,
172.4747375,1.18E-01,0.381,,,,,,,,,,,,,,,,,,
173.4723598,1.15E-01,0.381,,,,,,,,,,,,,,,,,,
174.4699822,1.02E-01,0.377,,,,,,,,,,,,,,,,,,
175.4676045,9.96E-02,0.351,,,,,,,,,,,,,,,,,,
176.4642362,9.46E-02,0.377,,,,,,,,,,,,,,,,,,
177.4618585,9.21E-02,0.34,,,,,,,,,,,,,,,,,,
178.4594809,9.16E-02,0.332,,,,,,,,,,,,,,,,,,
179.4571032,8.94E-02,0.351,,,,,,,,,,,,,,,,,,
180.4537349,8.28E-02,0.332,,,,,,,,,,,,,,,,,,
181.4513572,8.08E-02,0.343,,,,,,,,,,,,,,,,,,
182.4489796,8.07E-02,0.323,,,,,,,,,,,,,,,,,,
183.4466019,7.95E-02,0.284,,,,,,,,,,,,,,,,,,
184.4442243,8.08E-02,0.269,,,,,,,,,,,,,,,,,,
185.4418466,8.03E-02,0.299,,,,,,,,,,,,,,,,,,
186.4384783,7.89E-02,0.275,,,,,,,,,,,,,,,,,,
187.4361007,7.88E-02,0.234,,,,,,,,,,,,,,,,,,
188.433723,7.75E-02,0.25,,,,,,,,,,,,,,,,,,
189.4313454,7.92E-02,0.24,,,,,,,,,,,,,,,,,,
190.4289677,7.77E-02,0.242,,,,,,,,,,,,,,,,,,
191.4255994,7.66E-02,0.242,,,,,,,,,,,,,,,,,,
192.4232217,7.54E-02,0.242,,,,,,,,,,,,,,,,,,
193.4208441,7.46E-02,0.244,,,,,,,,,,,,,,,,,,
194.4184664,7.41E-02,0.247,,,,,,,,,,,,,,,,,,
195.4160888,7.43E-02,0.24,,,,,,,,,,,,,,,,,,
196.4137111,7.56E-02,0.239,,,,,,,,,,,,,,,,,,
197.4113335,7.45E-02,0.235,,,,,,,,,,,,,,,,,,
198.4089558,7.37E-02,0.231,,,,,,,,,,,,,,,,,,
199.4065782,7.43E-02,0.241,,,,,,,,,,,,,,,,,,
200.4042005,7.52E-02,0.234,,,,,,,,,,,,,,,,,,
201.4018229,7.30E-02,0.218,,,,,,,,,,,,,,,,,,
202.3984545,7.33E-02,0.221,,,,,,,,,,,,,,,,,,
203.3960769,7.50E-02,0.232,,,,,,,,,,,,,,,,,,
204.3936992,7.27E-02,0.197,,,,,,,,,,,,,,,,,,
205.3913216,7.42E-02,0.203,,,,,,,,,,,,,,,,,,
206.3889439,7.33E-02,0.221,,,,,,,,,,,,,,,,,,
207.3865663,7.37E-02,0.194,,,,,,,,,,,,,,,,,,
208.3841886,7.45E-02,0.218,,,,,,,,,,,,,,,,,,
209.381811,7.39E-02,0.223,,,,,,,,,,,,,,,,,,
210.3794333,7.33E-02,0.201,,,,,,,,,,,,,,,,,,
211.3770557,7.49E-02,0.192,,,,,,,,,,,,,,,,,,
212.374678,7.40E-02,0.161,,,,,,,,,,,,,,,,,,
213.3723004,7.34E-02,0.204,,,,,,,,,,,,,,,,,,
214.368932,7.36E-02,0.2,,,,,,,,,,,,,,,,,,
215.3665544,7.40E-02,0.197,,,,,,,,,,,,,,,,,,
216.3641767,7.29E-02,0.184,,,,,,,,,,,,,,,,,,
217.3627898,7.50E-02,0.162,,,,,,,,,,,,,,,,,,
218.3604121,7.16E-02,0.168,,,,,,,,,,,,,,,,,,
219.3570438,7.24E-02,0.173,,,,,,,,,,,,,,,,,,
220.3546661,7.30E-02,0.166,,,,,,,,,,,,,,,,,,
221.3532792,7.25E-02,0.141,,,,,,,,,,,,,,,,,,
222.3499108,7.17E-02,0.167,,,,,,,,,,,,,,,,,,
223.3475332,7.17E-02,0.146,,,,,,,,,,,,,,,,,,
224.3451555,7.17E-02,0.161,,,,,,,,,,,,,,,,,,
225.3437686,7.23E-02,0.159,,,,,,,,,,,,,,,,,,
226.3404002,7.13E-02,0.136,,,,,,,,,,,,,,,,,,
227.3390133,7.42E-02,0.15,,,,,,,,,,,,,,,,,,
228.3366356,7.04E-02,0.172,,,,,,,,,,,,,,,,,,
229.334258,7.14E-02,0.179,,,,,,,,,,,,,,,,,,
230.3318803,7.12E-02,0.103,,,,,,,,,,,,,,,,,,
231.3295027,7.17E-02,0.157,,,,,,,,,,,,,,,,,,
232.327125,7.05E-02,0.139,,,,,,,,,,,,,,,,,,
233.3247474,7.23E-02,0.149,,,,,,,,,,,,,,,,,,
234.3223697,7.18E-02,0.144,,,,,,,,,,,,,,,,,,
235.3199921,7.25E-02,0.13,,,,,,,,,,,,,,,,,,
236.3176144,7.24E-02,0.129,,,,,,,,,,,,,,,,,,
237.3152368,7.21E-02,0.119,,,,,,,,,,,,,,,,,,
238.3128591,7.07E-02,0.123,,,,,,,,,,,,,,,,,,
239.3104815,7.26E-02,0.133,,,,,,,,,,,,,,,,,,
240.3081038,7.11E-02,0.121,,,,,,,,,,,,,,,,,,
241.3067169,7.22E-02,0.154,,,,,,,,,,,,,,,,,,
242.3043392,7.24E-02,0.127,,,,,,,,,,,,,,,,,,
243.3019616,7.32E-02,0.123,,,,,,,,,,,,,,,,,,
244.2995839,7.12E-02,0.138,,,,,,,,,,,,,,,,,,
245.2972063,7.43E-02,0.138,,,,,,,,,,,,,,,,,,
246.2948286,7.31E-02,0.131,,,,,,,,,,,,,,,,,,
247.292451,7.17E-02,0.114,,,,,,,,,,,,,,,,,,
248.2900733,7.33E-02,0.121,,,,,,,,,,,,,,,,,,
249.2876957,7.36E-02,0.129,,,,,,,,,,,,,,,,,,
250.285318,7.03E-02,0.104,,,,,,,,,,,,,,,,,,
251.283931,7.18E-02,0.141,,,,,,,,,,,,,,,,,,
252.2815534,7.13E-02,0.112,,,,,,,,,,,,,,,,,,
253.2791757,7.16E-02,0.126,,,,,,,,,,,,,,,,,,
254.2767981,7.32E-02,0.132,,,,,,,,,,,,,,,,,,
255.2744204,7.22E-02,0.112,,,,,,,,,,,,,,,,,,
256.2730335,7.15E-02,0.114,,,,,,,,,,,,,,,,,,
257.2706558,7.28E-02,0.136,,,,,,,,,,,,,,,,,,
258.2682782,7.37E-02,0.106,,,,,,,,,,,,,,,,,,
259.2659005,7.28E-02,0.112,,,,,,,,,,,,,,,,,,
260.2635229,7.37E-02,0.116,,,,,,,,,,,,,,,,,,
261.2611452,7.25E-02,0.118,,,,,,,,,,,,,,,,,,
262.2597583,7.38E-02,0.122,,,,,,,,,,,,,,,,,,
263.2573806,7.35E-02,0.11,,,,,,,,,,,,,,,,,,
264.255003,7.18E-02,0.113,,,,,,,,,,,,,,,,,,
265.2526253,7.45E-02,0.129,,,,,,,,,,,,,,,,,,
266.2502477,7.33E-02,0.108,,,,,,,,,,,,,,,,,,
267.2488607,7.31E-02,0.112,,,,,,,,,,,,,,,,,,
268.2464831,7.19E-02,0.115,,,,,,,,,,,,,,,,,,
269.2441054,7.25E-02,0.112,,,,,,,,,,,,,,,,,,
270.2417278,7.25E-02,0.113,,,,,,,,,,,,,,,,,,
271.2403408,7.20E-02,0.113,,,,,,,,,,,,,,,,,,
272.2379631,7.33E-02,0.116,,,,,,,,,,,,,,,,,,
273.2355855,7.20E-02,0.113,,,,,,,,,,,,,,,,,,
274.2332078,7.20E-02,0.115,,,,,,,,,,,,,,,,,,
275.2318209,7.26E-02,0.113,,,,,,,,,,,,,,,,,,
276.2294432,7.15E-02,0.112,,,,,,,,,,,,,,,,,,
277.2270656,7.08E-02,0.114,,,,,,,,,,,,,,,,,,
278.2246879,7.21E-02,0.109,,,,,,,,,,,,,,,,,,
279.223301,7.10E-02,0.117,,,,,,,,,,,,,,,,,,
280.2209233,7.11E-02,0.111,,,,,,,,,,,,,,,,,,
281.2185457,7.31E-02,0.113,,,,,,,,,,,,,,,,,,
282.2171587,7.07E-02,0.113,,,,,,,,,,,,,,,,,,
283.2147811,7.12E-02,0.106,,,,,,,,,,,,,,,,,,
284.2124034,7.15E-02,0.122,,,,,,,,,,,,,,,,,,
285.2100258,7.26E-02,0.119,,,,,,,,,,,,,,,,,,
286.2086388,7.27E-02,0.111,,,,,,,,,,,,,,,,,,
287.2062611,7.23E-02,0.107,,,,,,,,,,,,,,,,,,
288.2048742,7.19E-02,0.118,,,,,,,,,,,,,,,,,,
289.2024965,7.18E-02,0.109,,,,,,,,,,,,,,,,,,
290.2001189,7.29E-02,0.114,,,,,,,,,,,,,,,,,,
291.1977412,7.35E-02,0.111,,,,,,,,,,,,,,,,,,
292.1963543,7.27E-02,0.103,,,,,,,,,,,,,,,,,,
293.1939766,7.14E-02,0.107,,,,,,,,,,,,,,,,,,
294.191599,7.33E-02,0.116,,,,,,,,,,,,,,,,,,
295.190212,7.28E-02,0.108,,,,,,,,,,,,,,,,,,
296.1878344,7.32E-02,0.117,,,,,,,,,,,,,,,,,,
297.1864474,7.31E-02,0.114,,,,,,,,,,,,,,,,,,
298.1840697,7.19E-02,0.114,,,,,,,,,,,,,,,,,,
299.1816921,7.21E-02,0.104,,,,,,,,,,,,,,,,,,
300.1803051,7.35E-02,0.11,,,,,,,,,,,,,,,,,,
301.1779275,7.19E-02,0.115,,,,,,,,,,,,,,,,,,
302.1765405,7.35E-02,0.106,,,,,,,,,,,,,,,,,,
303.1741629,7.41E-02,0.083,,,,,,,,,,,,,,,,,,
304.1717852,7.44E-02,0.128,,,,,,,,,,,,,,,,,,
305.1703983,7.46E-02,0.123,,,,,,,,,,,,,,,,,,
306.1680206,7.36E-02,0.094,,,,,,,,,,,,,,,,,,
307.1666336,7.35E-02,0.107,,,,,,,,,,,,,,,,,,
308.164256,7.39E-02,0.119,,,,,,,,,,,,,,,,,,
309.1618783,7.23E-02,0.101,,,,,,,,,,,,,,,,,,
310.1604914,7.38E-02,0.124,,,,,,,,,,,,,,,,,,
311.1581137,7.33E-02,0.109,,,,,,,,,,,,,,,,,,
312.1567268,7.51E-02,0.109,,,,,,,,,,,,,,,,,,
313.1543491,7.36E-02,0.093,,,,,,,,,,,,,,,,,,
314.1529622,7.34E-02,0.1,,,,,,,,,,,,,,,,,,
315.1505845,7.43E-02,0.137,,,,,,,,,,,,,,,,,,
316.1491975,7.41E-02,0.106,,,,,,,,,,,,,,,,,,
317.1468199,7.60E-02,0.108,,,,,,,,,,,,,,,,,,
318.1444422,7.32E-02,0.113,,,,,,,,,,,,,,,,,,
319.1430553,7.39E-02,0.116,,,,,,,,,,,,,,,,,,
320.1416683,7.46E-02,0.117,,,,,,,,,,,,,,,,,,
321.1392907,7.29E-02,0.097,,,,,,,,,,,,,,,,,,
322.1379037,7.34E-02,0.097,,,,,,,,,,,,,,,,,,
323.1355261,7.29E-02,0.122,,,,,,,,,,,,,,,,,,
324.1331484,7.33E-02,0.105,,,,,,,,,,,,,,,,,,
325.1317614,7.36E-02,0.147,,,,,,,,,,,,,,,,,,
326.1293838,7.41E-02,0.119,,,,,,,,,,,,,,,,,,
327.1279968,7.30E-02,0.117,,,,,,,,,,,,,,,,,,
328.1266099,7.47E-02,0.126,,,,,,,,,,,,,,,,,,
329.1242322,7.41E-02,0.129,,,,,,,,,,,,,,,,,,
330.1228453,7.32E-02,0.128,,,,,,,,,,,,,,,,,,
331.1204676,7.41E-02,0.122,,,,,,,,,,,,,,,,,,
332.1190806,7.34E-02,0.121,,,,,,,,,,,,,,,,,,
333.116703,7.49E-02,0.138,,,,,,,,,,,,,,,,,,
334.115316,7.35E-02,0.128,,,,,,,,,,,,,,,,,,
335.1129384,7.19E-02,0.119,,,,,,,,,,,,,,,,,,
336.1115514,7.14E-02,0.088,,,,,,,,,,,,,,,,,,
337.1091738,7.30E-02,0.113,,,,,,,,,,,,,,,,,,
338.1077868,7.31E-02,0.131,,,,,,,,,,,,,,,,,,
339.1063998,7.31E-02,0.119,,,,,,,,,,,,,,,,,,
340.1040222,7.15E-02,0.121,,,,,,,,,,,,,,,,,,
341.1026352,7.27E-02,0.094,,,,,,,,,,,,,,,,,,
342.1002576,7.40E-02,0.114,,,,,,,,,,,,,,,,,,
343.0988706,7.16E-02,0.104,,,,,,,,,,,,,,,,,,
344.096493,7.13E-02,0.101,,,,,,,,,,,,,,,,,,
345.095106,7.12E-02,0.15,,,,,,,,,,,,,,,,,,
346.093719,7.32E-02,0.112,,,,,,,,,,,,,,,,,,
347.0913414,7.19E-02,0.098,,,,,,,,,,,,,,,,,,
348.0899544,7.21E-02,0.137,,,,,,,,,,,,,,,,,,
349.0885675,7.26E-02,0.121,,,,,,,,,,,,,,,,,,
350.0861898,7.06E-02,0.079,,,,,,,,,,,,,,,,,,
351.0848029,7.24E-02,0.089,,,,,,,,,,,,,,,,,,
352.0824252,7.30E-02,0.119,,,,,,,,,,,,,,,,,,
353.0810382,7.09E-02,0.15,,,,,,,,,,,,,,,,,,
354.0796513,7.24E-02,0.119,,,,,,,,,,,,,,,,,,
355.0772736,7.27E-02,0.104,,,,,,,,,,,,,,,,,,
356.0758867,7.05E-02,0.092,,,,,,,,,,,,,,,,,,
357.0744997,7.39E-02,0.099,,,,,,,,,,,,,,,,,,
358.0721221,7.33E-02,0.128,,,,,,,,,,,,,,,,,,
359.0707351,7.17E-02,0.087,,,,,,,,,,,,,,,,,,
360.0693481,7.13E-02,0.15,,,,,,,,,,,,,,,,,,
361.0679612,7.52E-02,0.093,,,,,,,,,,,,,,,,,,
362.0655835,7.17E-02,0.107,,,,,,,,,,,,,,,,,,
363.0641966,7.11E-02,0.114,,,,,,,,,,,,,,,,,,
364.0618189,7.23E-02,0.122,,,,,,,,,,,,,,,,,,
365.0604319,7.08E-02,0.111,,,,,,,,,,,,,,,,,,
366.059045,7.31E-02,0.072,,,,,,,,,,,,,,,,,,
367.057658,7.34E-02,0.147,,,,,,,,,,,,,,,,,,
368.0552804,7.25E-02,0.159,,,,,,,,,,,,,,,,,,
369.0538934,7.03E-02,0.067,,,,,,,,,,,,,,,,,,
370.0525064,7.19E-02,0.079,,,,,,,,,,,,,,,,,,
371.0511195,7.22E-02,0.11,,,,,,,,,,,,,,,,,,
372.0487418,7.23E-02,0.118,,,,,,,,,,,,,,,,,,
373.0473549,7.14E-02,0.092,,,,,,,,,,,,,,,,,,
374.0459679,7.00E-02,0.154,,,,,,,,,,,,,,,,,,
375.0435903,7.11E-02,0.095,,,,,,,,,,,,,,,,,,
376.0422033,7.01E-02,0.05,,,,,,,,,,,,,,,,,,
377.0408163,6.98E-02,0.113,,,,,,,,,,,,,,,,,,
378.0394294,7.18E-02,0.175,,,,,,,,,,,,,,,,,,
379.0380424,7.18E-02,0.088,,,,,,,,,,,,,,,,,,
380.0356648,7.25E-02,0.079,,,,,,,,,,,,,,,,,,
381.0342778,7.26E-02,0.148,,,,,,,,,,,,,,,,,,
382.0328908,7.22E-02,0.053,,,,,,,,,,,,,,,,,,
383.0315039,7.23E-02,0.119,,,,,,,,,,,,,,,,,,
