Protein Group,Protein ID,Accession,-10lgP,Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
89,166937,WP_018048828,30.94,2,1,1,,49349,hypothetical protein Nitrospina sp AB-629-B18
151,166938,ETNP14_68maa_PROKKA_81248,30.49,2,1,1,,33955,Modification methylase DpnIIA
151,166939,ETNP_120m_free_PROKKA_157136,30.49,2,1,1,,36614,hypothetical protein
151,166940,ETNP_120m_PROKKA_319725,30.49,2,1,1,,46685,hypothetical protein
151,166941,ETNP_120m_free_PROKKA_301791,30.49,1,1,1,,50673,hypothetical protein
151,166943,WP_011311705,30.49,1,1,1,,95452,PAS domain-containing two-component system sensor histidine kinase Thiobacillus denitrificans
151,166944,ETNP_160m_PROKKA_204771,30.49,1,1,1,,96421,DNA gyrase subunit A
151,99628,WP_014707780,30.49,1,1,1,,106356,hypothetical protein Methylophaga nitratireducenticrescens
58,27539,ETNP_90m_PROKKA_207390,30.13,6,2,2,,16767,hypothetical protein
46,167040,ETNP14_68maa_PROKKA_132017,29.71,7,2,2,,13902,hypothetical protein
90,1823,ETNP14_68mB_PROKKA_139370,28.26,8,1,1,,12288,Photosystem II D2 protein
90,1825,NP_30m_PROKKA_13747,28.26,4,1,1,,26457,Photosystem II D2 protein
90,1827,ADO99991.1,28.26,3,1,1,,40173,photosystem II D2 protein [Prochlorococcus phage P-HM2]
90,1830,NP_30m_PROKKA_03021,28.26,3,1,1,,39975,Photosystem II D2 protein
90,1828,YP_007673882.1,28.26,3,1,1,,40191,photosystem II reaction center D2 [Prochlorococcus phage MED4-213]
90,1829,AGH26237.1,28.26,3,1,1,,40191,photosystem II reaction center D2 [Prochlorococcus phage MED4-213]
90,1826,YP_004323582.1,28.26,3,1,1,,40173,photosystem II D2 protein [Prochlorococcus phage P-HM2]
90,1832,AIR93570.1,28.26,3,1,1,,40145,photosystem II D2 protein [Prochlorococcus phage P-TIM68]
90,1831,YP_009213745.1,28.26,3,1,1,,40145,photosystem II D2 protein [Prochlorococcus phage P-TIM68]
91,99591,WP_011399595,27.74,2,1,1,,46785,UDP-N-acetylmuramyl pentapeptide synthase Hahella chejuensis
152,99520,ETNP14_68maa_PROKKA_26695,27.74,1,1,1,,150365,PKD domain protein
155,99536,ETNP14_68maa_PROKKA_64575,27.50,3,1,1,,25926,Ubiquinone biosynthesis O-methyltransferase
154,166958,ETNP_120m_free_PROKKA_250553,27.49,4,1,1,,19702,hypothetical protein
154,166966,WP_012564059,27.49,2,1,1,,49730,D-2-hydroxyacid dehydrogenase Oligotropha carboxidovorans
154,166968,ETNP_70m_PROKKA_54088,27.49,1,1,1,,65349,PB1 domain protein
154,166972,EJK77405,27.49,1,1,1,,91444,hypothetical protein THAOC_00767  Thalassiosira oceanica
154,166974,XP_003064165,27.49,1,1,1,,113241,predicted protein  Micromonas pusilla CCMP1545
153,166957,ETNP14_68maa_PROKKA_167038,27.45,12,1,1,,7116,Copper chaperone CopZ
153,166959,ETNP14_120maa_PROKKA_194364,27.45,7,1,1,,10928,3-hydroxy-3-methylglutaryl-coenzyme A reductase
153,166960,ETNP14_68mB_PROKKA_22514,27.45,5,1,1,,16596,3-hydroxy-3-methylglutaryl-coenzyme A reductase
153,166962,ETNP_90m_PROKKA_42652,27.45,3,1,1,,25868,3-hydroxy-3-methylglutaryl-coenzyme A reductase
153,166963,ETNP14_120mab_PROKKA_00954,27.45,3,1,1,,29439,Threonine--tRNA ligase
153,166964,ETNP14_120maa_PROKKA_170745,27.45,2,1,1,,37296,Threonine--tRNA ligase
153,166965,WP_015898229,27.45,2,1,1,,41301,DNA sulfur modification protein DndB Acidobacterium capsulatum
153,166967,ETNP14_120maa_PROKKA_08282,27.45,2,1,1,,45160,3-hydroxy-3-methylglutaryl-coenzyme A reductase
153,166970,WP_013960929,27.45,1,1,1,,73409,threonyl-tRNA synthetase Roseobacter litoralis
37,166973,ETNP14_68mB_PROKKA_46924,27.44,3,1,1,,24210,hypothetical protein
1,107538,ETNP14_68maa_PROKKA_196520,27.17,4,1,1,,22234,Tryptophan synthase alpha chain
1,107540,ETNP14_68maa_PROKKA_42870,27.17,3,1,1,,30458,EamA-like transporter family protein
1,107541,ETNP_100m_PROKKA_21831,27.17,3,1,1,,30458,EamA-like transporter family protein
1,107539,ETNP14_120maa_PROKKA_34391,27.17,3,1,1,,30458,EamA-like transporter family protein
42,166975,ETNP_100m_particle_PROKKA_59060,26.73,12,1,1,,6573,hypothetical protein
92,99518,ETNP14_68maa_PROKKA_174623,25.77,9,1,1,,10654,hypothetical protein
157,166983,ETNP_120m_particle_PROKKA_150654,25.41,3,1,1,,35745,hypothetical protein
158,166985,ETNP_120m_particle_PROKKA_147419,25.38,3,1,1,,26636,hypothetical protein
159,166986,ETNP_300m_PROKKA_59870,25.34,11,1,1,,6664,hypothetical protein
159,166988,WP_006171502,25.34,5,1,1,,15497,hypothetical protein Synechococcus sp WH 5701
159,166989,ETNP_160m_PROKKA_49177,25.34,5,1,1,,16500,hypothetical protein
160,166991,ETNP_300m_PROKKA_87744,25.19,4,1,1,,22859,PGL/p-HBAD biosynthesis glycosyltransferase/MT3031
161,166992,ETNP_100m_PROKKA_54759,25.13,17,1,1,,4687,hypothetical protein
74,166909,ETNP_120m_free_PROKKA_224621,24.09,3,1,1,,28637,Streptothricin hydrolase
163,167000,KUK90712,24.05,4,1,1,,23919,haloacid dehalogenase superfamily protein subfamily IA variant 3 with third motif having DD or ED Marinimicrobia bacterium 46_43
54,99549,WP_011397246,23.78,2,1,1,,45673,hypothetical protein Hahella chejuensis
20,167002,ETNP_140m_PROKKA_140679,23.27,3,1,1,,34012,hypothetical protein
164,167001,ETNP14_68maa_PROKKA_159669,23.25,4,1,1,,21093,hypothetical protein
29,167004,ETNP_120m_free_PROKKA_289373,23.02,7,1,1,,10074,hypothetical protein
24,166995,YP_007677407.1,23.00,1,1,1,,105836,hypothetical protein CYXG_00218 [Synechococcus phage S-SSM4]
24,166996,AGG54360.1,23.00,1,1,1,,105836,hypothetical protein CYWG_00076 [Cyanophage S-SSM6b]
24,166997,AGG54282.1,23.00,1,1,1,,105836,hypothetical protein CYXG_00218 [Synechococcus phage S-SSM4]
55,167006,ETNP_160m_PROKKA_154619,22.60,2,1,1,,46004,selenocysteine synthase
55,167007,ETNP_140m_PROKKA_42487,22.60,2,1,1,,46034,selenocysteine synthase
17,166942,ETNP_160m_PROKKA_144734,22.51,2,1,1,,43418,L-2-hydroxyglutarate oxidase LhgO
165,167008,ETNP_70m_PROKKA_87159,22.50,4,1,1,,21577,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
94,167014,ETNP14_120mab_PROKKA_104334,22.50,3,1,1,,23987,hypothetical protein
44,167010,ETNP_120m_free_PROKKA_226940,22.42,4,1,1,,21370,hypothetical protein
166,167018,WP_036913118,22.20,3,1,1,,36895,4-hydroxythreonine-4-phosphate dehydrogenase Prochlorococcus
167,167043,ETNP_70m_PROKKA_10188,21.88,2,1,1,,32799,hypothetical protein
167,167047,ETNP_70m_PROKKA_17013,21.88,2,1,1,,43645,Polyribonucleotide nucleotidyltransferase
167,167048,ETNP_180m_PROKKA_106879,21.88,2,1,1,,48297,Ribosomal protein S12 methylthiotransferase RimO
167,167064,ETNP14_68maa_PROKKA_03814,21.88,1,1,1,,85633,Polyribonucleotide nucleotidyltransferase
167,167065,ETNP_90m_PROKKA_33318,21.88,1,1,1,,85633,Polyribonucleotide nucleotidyltransferase
57,167052,NP_100m_PROKKA_06378,21.69,2,1,1,,49172,Periplasmic serine endoprotease DegP precursor
109,6883,ETNP_120m_free_PROKKA_61426,21.66,1,1,1,,84573,SPBc2 prophage-derived glycosyltransferase SunS
56,167045,ETNP14_68mB_PROKKA_138428,21.50,8,1,1,,9690,hypothetical protein
56,167046,ETNP14_68mB_PROKKA_158046,21.50,8,1,1,,9744,hypothetical protein
56,167049,ETNP_120m_free_PROKKA_219005,21.50,3,1,1,,22904,Malate dehydrogenase
56,167050,ETNP_140m_PROKKA_121449,21.50,3,1,1,,28367,Malate dehydrogenase
56,167051,ETNP_300m_PROKKA_91576,21.50,2,1,1,,32665,Malate dehydrogenase
56,167053,ETNP_160m_PROKKA_158642,21.50,2,1,1,,35707,Malate dehydrogenase
30,167062,WP_011129412,21.32,2,1,1,,36934,4-hydroxythreonine-4-phosphate dehydrogenase Prochlorococcus marinus
176,167081,ETNP14_68maa_PROKKA_05270,21.20,1,1,1,,85367,Ribonucleoside-diphosphate reductase 1 subunit alpha
170,167063,ETNP_100m_particle_PROKKA_98460,20.94,8,1,1,,10038,hypothetical protein
170,167066,ETNP14_120maa_PROKKA_114182,20.94,4,1,1,,17646,hypothetical protein
171,167067,ETNP14_68mB_PROKKA_29730,20.65,4,1,1,,20128,hypothetical protein
103,167030,XP_003064239,20.53,2,1,1,,71635,heat shock protein 70kDa  Micromonas pusilla CCMP1545
103,167068,XP_003083987,20.53,2,1,1,,72284,putative hsp70 ISS  Ostreococcus tauri
103,167069,XP_002177351,20.53,2,1,1,,70962,protein heat shock protein Hsp70  Phaeodactylum tricornutum CCAP 1055
103,167070,EJK51576,20.53,2,1,1,,71288,hypothetical protein THAOC_29236  Thalassiosira oceanica
103,167071,EJK52355,20.53,2,1,1,,71288,hypothetical protein THAOC_28380  Thalassiosira oceanica
172,167074,XP_003078492,20.42,2,1,1,,52928,Dystonin GAS Growth-arrest-specific protein and related proteins ISS  Ostreococcus tauri
174,167078,ETNP14_68maa_PROKKA_168043,20.42,4,1,1,,20185,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
174,167080,ETNP14_68maa_PROKKA_162301,20.42,4,1,1,,20305,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
174,167082,ETNP_300m_PROKKA_137793,20.42,4,1,1,,21759,Bifunctional folate synthesis protein
174,167083,ETNP_120m_free_PROKKA_88304,20.42,4,1,1,,21789,Bifunctional folate synthesis protein
174,167084,ETNP_160m_PROKKA_76681,20.42,4,1,1,,21789,Bifunctional folate synthesis protein
173,167075,ETNP_120m_particle_PROKKA_203977,20.32,4,1,1,,22660,2-hydroxypropyl-CoM lyase
173,167076,ETNP_180m_PROKKA_186439,20.32,2,1,1,,35929,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
173,167077,NP_300m_PROKKA_18185,20.32,2,1,1,,38774,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
96,167017,ETNP_300m_PROKKA_189353,20.22,2,1,1,,41780,hypothetical protein
96,167087,ETNP14_68mB_PROKKA_87826,20.22,3,1,1,,23299,Adenylate cyclase 2
178,167091,ETNP_150m_particle_PROKKA_40253,20.22,2,1,1,,45507,Putative oxidoreductase/MT0587
43,167009,ETNP_100m_particle_PROKKA_113414,20.19,7,1,1,,16767,Transcriptional activator protein CzcR
