Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 12: 278 4-19_265m_top+P-A_90min,Area Sample 12: 278 4-19_265m_top+P-A_90min,#Peptides,#Unique,#Spec Sample 12: 278 4-19_265m_top+P-A_90min,PTM,Avg. Mass,Description
80,144518,ETNP14_120,51.33,8,8,2.74E5,3,1,3,,20943,50S ribosomal protein L5
80,144519,ETNP14_120,51.33,8,8,2.74E5,3,1,3,,21077,50S ribosomal protein L5
138,193592,ETNP14_68,50.27,3,3,8.65E4,2,1,2,,76782,Elongation factor G 1
68,24375,ETNP14_68,48.59,4,4,2.34E6,3,2,3,,62539,Cysteine desulfurase
76,144517,ETNP14_120,47.93,10,10,,3,0,3,,20760,50S ribosomal protein L5
76,144515,ETNP14_68,47.93,10,10,,3,0,3,,20654,50S ribosomal protein L5
168,144011,XP_003054774,47.41,4,4,1.34E7,2,2,2,,54844,predicted protein  Micromonas pusilla CCMP1545
51,193820,ETNP14_120,47.38,3,3,2.37E6,4,3,4,,62708,Phosphoserine phosphatase RsbU
213,24051,XP_003057202,47.03,4,4,3.48E5,2,1,2,,65406,predicted protein  Micromonas pusilla CCMP1545
31,193633,WP_081440272.1,46.55,4,4,3.95E6,3,3,5,,90302,hypothetical protein [Planctopirus limnophila]
43,144104,XP_003058631,46.49,1,1,1.27E7,4,4,4,,271162,predicted protein  Micromonas pusilla CCMP1545
212,170694,ETNP14_68,46.46,27,27,2.6E5,2,1,2,,6712,50S ribosomal protein L15
320,193588,WP_011217614.1,46.27,4,4,3.74E5,1,1,1,,34311,cysteine synthase A [Photobacterium profundum]
320,193622,WP_012518655,46.27,4,4,3.74E5,1,1,1,,34106,cysteine synthase A Alteromonas mediterranea
320,193623,ETNP14_120,46.27,4,4,3.74E5,1,1,1,,34120,Cysteine synthase A
139,144016,ETNP14_120,45.46,2,2,6.89E5,2,1,2,Oxidation (M),107709,Vitamin B12 transporter BtuB precursor
26,91412,XP_003061451,45.45,1,1,3.02E7,5,5,5,,613898,predicted protein  Micromonas pusilla CCMP1545
214,170674,ETNP_90,45.29,12,12,7.44E6,2,2,2,,17586,30S ribosomal protein S5
215,18785,NP_300,45.27,9,9,3.89E5,2,1,2,,23314,General L-amino acid-binding periplasmic protein AapJ precursor
169,144039,CAI87043.1,45.07,2,2,6.62E5,2,1,2,,106909,putative TonB-dependent receptor protein [Pseudoalteromonas haloplanktis TAC125]
460,143998,WP_011217207.1,44.33,3,3,6.38E5,1,1,1,,39453,3-isopropylmalate dehydrogenase [Photobacterium profundum]
460,144045,WP_013558765,44.33,3,3,6.38E5,1,1,1,,38069,3-isopropylmalate dehydrogenase Anaerolinea thermophila
460,144044,ACL65228.1,44.33,3,3,6.38E5,1,1,1,,37314,3-isopropylmalate dehydrogenase [Anaeromyxobacter dehalogenans 2CP-1]
460,144041,ETNP_120,44.33,6,6,6.38E5,1,1,1,,20920,3-isopropylmalate dehydrogenase
460,144042,ETNP_90,44.33,4,4,6.38E5,1,1,1,,29325,3-isopropylmalate dehydrogenase
460,144043,ETNP_100,44.33,4,4,6.38E5,1,1,1,,30925,3-isopropylmalate dehydrogenase
460,144046,ETNP_110,44.33,3,3,6.38E5,1,1,1,,38047,3-isopropylmalate dehydrogenase
460,144047,ETNP_120,44.33,3,3,6.38E5,1,1,1,,38047,3-isopropylmalate dehydrogenase
460,144048,WP_036915484,44.33,3,3,6.38E5,1,1,1,,37989,3-isopropylmalate dehydrogenase Prochlorococcus
460,144049,WP_011127649,44.33,3,3,6.38E5,1,1,1,,37695,3-isopropylmalate dehydrogenase Synechococcus sp WH 8102
460,144050,ETNP_120,44.33,3,3,6.38E5,1,1,1,,38127,3-isopropylmalate dehydrogenase
460,144051,ETNP_90,44.33,3,3,6.38E5,1,1,1,,38234,3-isopropylmalate dehydrogenase
460,144052,ETNP14_68,44.33,3,3,6.38E5,1,1,1,,38111,3-isopropylmalate dehydrogenase
460,144053,ETNP_120,44.33,3,3,6.38E5,1,1,1,,38234,3-isopropylmalate dehydrogenase
460,144054,ETNP_100,44.33,3,3,6.38E5,1,1,1,,38047,3-isopropylmalate dehydrogenase
460,144055,WP_038543974,44.33,3,3,6.38E5,1,1,1,,37857,3-isopropylmalate dehydrogenase Synechococcus sp KORDI-100
460,144056,CAK23578.1,44.33,3,3,6.38E5,1,1,1,,37973,3-isopropylmalate dehydrogenase [Synechococcus sp. WH 7803]
460,144057,WP_011129910,44.33,3,3,6.38E5,1,1,1,,37956,3-isopropylmalate dehydrogenase Prochlorococcus marinus
460,144058,ETNP_90,44.33,3,3,6.38E5,1,1,1,,38127,3-isopropylmalate dehydrogenase
460,144059,KUK91718,44.33,3,3,6.38E5,1,1,1,,39946,3-isopropylmalate dehydrogenase Marinimicrobia bacterium 46_43
460,144060,KUK55872,44.33,3,3,6.38E5,1,1,1,,39946,3-isopropylmalate dehydrogenase Marinimicrobia bacterium 46_47
460,144019,WP_018968927,44.33,3,3,6.38E5,1,1,1,,39416,3-isopropylmalate dehydrogenase Rubritalea marina
187,18507,ETNP_120,44.33,12,12,1.05E6,2,1,2,,13769,50S ribosomal protein L7/L12
217,193722,ETNP_100,44.15,5,5,5.84E6,2,1,2,,35803,Glyceraldehyde-3-phosphate dehydrogenase
93,143866,ETNP14_120,44.13,8,8,5.6E5,3,2,3,,46458,Phosphoenolpyruvate carboxykinase [ATP]
100,193774,ETNP_120,43.71,7,7,1.42E6,3,3,3,,26122,Triosephosphate isomerase
216,193709,WP_011399974,43.59,25,25,9.93E5,2,2,2,,8663,30S ribosomal protein S21 Hahella chejuensis
216,193710,CAI85450.1,43.59,25,25,9.93E5,2,2,2,,8563,30S ribosomal subunit protein S21 [Pseudoalteromonas haloplanktis TAC125]
611,170768,CAI85419.1,43.21,12,12,1.12E6,1,1,1,,11835,putative preprotein translocase IISP family  membrane subunit [Pseudoalteromonas haloplanktis TAC125]
611,170766,ETNP_90,43.21,22,22,1.12E6,1,1,1,,6119,preprotein translocase subunit YajC
611,170767,ETNP14_120,43.21,12,12,1.12E6,1,1,1,,12018,preprotein translocase subunit YajC
611,170769,ETNP14_68,43.21,12,12,1.12E6,1,1,1,,12053,preprotein translocase subunit YajC
611,170770,WP_012519018,43.21,12,12,1.12E6,1,1,1,,12053,preprotein translocase subunit YajC Alteromonas mediterranea
140,144034,ETNP_90,43.06,4,4,5E5,2,2,2,,59442,Isocitrate lyase
190,17522,WP_011467465.1,42.63,8,8,6.15E5,2,2,2,,23276,30S ribosomal protein S4 [Saccharophagus degradans]
190,133689,ETNP14_120,42.63,8,8,6.15E5,2,2,2,,23484,30S ribosomal protein S4
190,133690,ETNP14_68,42.63,8,8,6.15E5,2,2,2,,23499,30S ribosomal protein S4
190,17518,WP_006232362.1,42.63,8,8,6.15E5,2,2,2,,23312,30S ribosomal protein S4 [Photobacterium profundum]
321,143885,WP_020744472,41.92,3,3,1.28E5,1,1,1,,43237,OmpAMotB protein Alteromonas mediterranea
826,193639,WP_011217494.1,41.83,3,3,5.57E5,1,1,1,,47883,isocitrate lyase [Photobacterium profundum]
126,193640,CAN93884.1,40.67,2,2,6.16E5,2,1,2,Carbamidomethylation; Oxidation (M),96204,DNA gyrase subunit A [Sorangium cellulosum So ce56]
218,193724,WP_038542415,40.65,2,2,9.73E6,2,1,2,,90143,topoisomerase IV Synechococcus sp KORDI-100
150,22408,NP_30,40.08,2,2,4.87E6,2,1,2,,94296,DNA gyrase subunit A
170,144730,virus_CCADEAMM_49594,39.83,7,7,0E0,1,1,2,,12710,hypothetical protein
170,144731,virus_CCADEAMM_49746,39.83,7,7,0E0,1,1,2,,12710,hypothetical protein
111,250,XP_003055763,39.78,1,1,4.96E6,2,2,2,,278777,nucleobaseCation symporter-1 family  Micromonas pusilla CCMP1545
107,193653,ETNP14_68,39.73,5,5,0E0,2,1,2,,52402,Elongation factor G 1
107,193681,ETNP14_120,39.73,7,7,0E0,2,1,2,,34830,Elongation factor G 1
220,194520,XP_002186477,39.09,4,4,3.01E6,2,1,2,,26459,predicted protein  Phaeodactylum tricornutum CCAP 1055
219,193837,ETNP_70,38.83,5,5,1.25E6,2,2,2,,42645,2-amino-3-ketobutyrate coenzyme A ligase
40,193655,ETNP_180,38.74,2,2,5.06E6,2,2,4,,129446,hypothetical protein
171,14083,ETNP14_68,38.46,7,7,6.02E6,2,2,2,,20128,hypothetical protein
191,101922,WP_081440337.1,38.18,5,5,2.3E6,2,1,2,,36106,MULTISPECIES: type I glyceraldehyde-3-phosphate dehydrogenase [Planctopirus]
191,193775,BAJ31315.1,38.18,5,5,2.3E6,2,1,2,,35918,putative glyceraldehyde-3-phosphate dehydrogenase [Kitasatospora setae KM-6054]
94,193700,EAP85926.1,38.13,8,8,9.3E5,2,2,3,,30433,hypothetical protein CA2559_07836 [Croceibacter atlanticus HTCC2559]
827,193699,ETNP_120,37.93,1,1,3.94E6,1,1,1,Carbamidomethylation,76315,Glycine--tRNA ligase beta subunit
37,144345,BAJ30814.1,37.88,3,3,1.12E7,4,4,5,,160324,hypothetical protein KSE_50360 [Kitasatospora setae KM-6054]
119,170693,CAN90568.1,37.63,2,2,1.2E5,2,1,2,,158827,DNA-directed RNA polymerase  beta' subunit [Sorangium cellulosum So ce56]
119,24160,ETNP_90,37.63,2,2,1.2E5,2,1,2,,156824,DNA-directed RNA polymerase subunit beta'
172,24012,ETNP14_68,37.51,3,3,6.66E6,2,2,2,,60152,hypothetical protein
192,193770,WP_041385083,37.38,2,2,3.19E6,2,2,2,,77901,HD family phosphohydrolase Prochlorococcus marinus
72,144733,SAR11,37.17,4,4,1.07E6,2,2,3,Oxidation (M),52206,Glutamine synthetase
45,18049,virus_CCADEAMM_07125,37.15,1,1,8.09E5,3,2,4,,404568,hypothetical protein
95,143886,WP_011218445.1,36.83,6,6,7.6E5,3,3,3,,43599,glycine C-acetyltransferase [Photobacterium profundum]
196,143954,ETNP_300,36.64,6,6,6.86E4,2,1,2,,25319,Enolase
196,143889,ETNP_300,36.64,4,4,6.86E4,2,1,2,,36271,Enolase
196,143890,ETNP_120,36.64,3,3,6.86E4,2,1,2,,46092,Enolase
151,144111,WP_041394571.1,36.53,4,4,9.77E4,2,1,2,,60072,phosphoenolpyruvate carboxykinase (ATP) [Photobacterium profundum]
613,144077,NP_100,36.43,3,3,2.16E7,1,1,1,,32063,8-oxoguanine deaminase
613,144079,NP_300,36.43,3,3,2.16E7,1,1,1,,33965,8-oxoguanine deaminase
613,144031,ETNP_140,36.43,2,2,2.16E7,1,1,1,,48885,8-oxoguanine deaminase
613,144032,NP_85,36.43,2,2,2.16E7,1,1,1,,48867,8-oxoguanine deaminase
612,193665,ETNP_100,35.93,4,4,9.14E5,1,1,1,,22610,Chaperone protein DnaK
612,193668,ETNP14_68,35.93,5,5,9.14E5,1,1,1,,18301,Chaperone protein DnaK
612,193669,ETNP14_68,35.93,5,5,9.14E5,1,1,1,,18357,Chaperone protein DnaK
612,193670,ETNP_300,35.93,2,2,9.14E5,1,1,1,,34503,Glutamyl-tRNA(Gln) amidotransferase subunit A
612,97935,ETNP_160,35.93,2,2,9.14E5,1,1,1,,52363,Glutamyl-tRNA(Gln) amidotransferase subunit A
612,97938,ETNP_120,35.93,2,2,9.14E5,1,1,1,,52372,Glutamyl-tRNA(Gln) amidotransferase subunit A
61,2629,ACY16316.1,35.93,1,1,1.7E5,3,2,3,,442497,TPR repeat-containing protein [Haliangium ochraceum DSM 14365]
155,193751,ETNP14_68,35.80,5,5,4.66E6,2,2,2,,36468,Glyceraldehyde-3-phosphate dehydrogenase A
155,193758,WP_013306620.1,35.80,5,5,4.66E6,2,2,2,,35831,type I glyceraldehyde-3-phosphate dehydrogenase [Maribacter sp. HTCC2170]
193,143955,ETNP_70,35.79,4,4,1.88E6,2,1,2,,47270,Enolase
193,143956,XP_003074214,35.79,1,1,1.88E6,2,1,2,,134454,enolase ISS  Ostreococcus tauri
828,193749,ETNP_180,35.18,2,2,1.1E6,1,1,1,,49582,Acylamidase
828,193750,ETNP14_68,35.18,2,2,1.1E6,1,1,1,,49558,Acylamidase
104,24108,ETNP14_68,35.08,3,3,7.76E5,2,1,2,,70793,Chaperone protein DnaK
141,193726,ETNP_120,34.95,3,3,3.06E5,2,1,2,,61732,30S ribosomal protein S1
141,144030,ABA56713.1,34.95,3,3,3.06E5,2,1,2,,62109,SSU ribosomal protein S1P [Nitrosococcus oceani ATCC 19707]
96,24128,ACL67822.1,34.93,5,5,7.97E5,3,1,3,,55550,ATP synthase F1  alpha subunit [Anaeromyxobacter dehalogenans 2CP-1]
194,193776,ETNP_300,34.91,3,3,1.27E5,2,1,2,,57744,60 kDa chaperonin 5
288,144431,WP_013261112,34.85,1,1,2.74E6,1,1,1,,60679,30S ribosomal protein S1 gamma proteobacterium HdN1
195,145317,ETNP14_120,34.36,5,5,,2,0,2,,36868,30S ribosomal protein S1
128,17445,ETNP_100,34.18,21,21,,2,0,2,,14624,Tubulin/FtsZ family  GTPase domain
364,193678,ETNP_180,34.01,2,2,0E0,1,1,1,,39338,Alanine dehydrogenase
364,193679,ETNP_160,34.01,2,2,0E0,1,1,1,,39338,Alanine dehydrogenase
364,193680,ETNP_140,34.01,2,2,0E0,1,1,1,,39338,Alanine dehydrogenase
364,193682,ETNP14_68,34.01,2,2,0E0,1,1,1,,38921,Alanine dehydrogenase
364,193714,WP_006232307.1,34.01,2,2,0E0,1,1,1,,38919,alanine dehydrogenase [Photobacterium profundum]
364,193715,ETNP_90,34.01,6,6,0E0,1,1,1,,16218,Alanine dehydrogenase
364,193716,ETNP14_68,34.01,2,2,0E0,1,1,1,,38752,Alanine dehydrogenase
364,193717,ETNP_120,34.01,4,4,0E0,1,1,1,,24703,Alanine dehydrogenase
364,193718,ETNP_160,34.01,3,3,0E0,1,1,1,,31353,Alanine dehydrogenase
364,193719,ETNP_90,34.01,2,2,0E0,1,1,1,,38479,Alanine dehydrogenase
364,193759,ActinobacteriaREDSEAS09_EJKBNLBD_01758,34.01,3,3,0E0,1,1,1,,31495,Alanine dehydrogenase
364,193760,ETNP_100,34.01,3,3,0E0,1,1,1,,31486,Alanine dehydrogenase
364,193761,WP_011217903.1,34.01,2,2,0E0,1,1,1,,39776,alanine dehydrogenase [Photobacterium profundum]
364,193762,ActinobacteriaREDSEAS14_EEFFFEGA_01600,34.01,2,2,0E0,1,1,1,,38602,Alanine dehydrogenase
364,193763,ETNP14_120,34.01,2,2,0E0,1,1,1,,38661,Alanine dehydrogenase
364,193764,ETNP14_120,34.01,2,2,0E0,1,1,1,,38682,Alanine dehydrogenase
364,193765,ETNP_180,34.01,2,2,0E0,1,1,1,,38661,Alanine dehydrogenase
364,193766,NP_300,34.01,2,2,0E0,1,1,1,,38635,Alanine dehydrogenase
152,24082,ETNP_70,33.91,3,3,2.8E4,2,1,2,,70706,Chaperone protein DnaK
127,193773,XP_003083127,33.84,2,2,1.2E7,2,2,2,,45607,actin-related protein 2 ISS  Ostreococcus tauri
