Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 12: 278 4-19_265m_top+P-A_90min,Area Sample 12: 278 4-19_265m_top+P-A_90min,#Peptides,#Unique,#Spec Sample 12: 278 4-19_265m_top+P-A_90min,PTM,Avg. Mass,Description
153,425013,ETNP14_120,24.76,5,5,1.24E6,2,2,2,Oxidation (M),40085,Putative K(+)-stimulated pyrophosphate-energized sodium pump
695,426277,ETNP_160,24.71,7,7,6.69E4,1,1,1,,14820,hypothetical protein
695,426278,ETNP_120,24.71,2,2,6.69E4,1,1,1,,42376,Acetophenone carboxylase gamma subunit
695,426281,ETNP_120,24.71,1,1,6.69E4,1,1,1,,74312,Acetophenone carboxylase gamma subunit
89,423906,XP_003060034,24.71,2,2,1.38E6,2,2,2,,99798,hypothetical protein MICPUCDRAFT_27547  Micromonas pusilla CCMP1545
484,144115,ETNP_160,24.68,2,2,2.83E6,1,1,1,,47755,Cytosine permease
429,127017,BAE53172.1,24.68,2,2,3.23E5,1,1,1,,83080,Cation transport ATPase [Magnetospirillum magneticum AMB-1]
112,311060,NP_300,24.67,3,3,1.48E6,2,2,2,,54869,Putative aldehyde dehydrogenase AldA
133,424685,ETNP_140,24.66,5,5,4.2E6,2,2,2,,26845,Modulator of FtsH protease HflK
133,424686,ETNP_180,24.66,3,3,4.2E6,2,2,2,,39494,Modulator of FtsH protease HflK
133,424687,ETNP_120,24.66,3,3,4.2E6,2,2,2,,39494,Modulator of FtsH protease HflK
133,424688,ETNP_160,24.66,3,3,4.2E6,2,2,2,,39494,Modulator of FtsH protease HflK
130,424083,ETNP_150,24.54,8,8,1.86E6,2,2,2,,24236,hypothetical protein
454,425669,ETNP14_68,24.51,10,10,3.23E6,1,1,1,,8224,hypothetical protein
571,425155,ETNP_90,24.43,2,2,1.51E5,1,1,1,,78471,hypothetical protein
697,426295,ETNP_120,24.42,9,9,9.9E5,1,1,1,,10092,hypothetical protein
156,426302,ETNP_120,24.23,4,4,4.32E6,1,1,2,,25173,hypothetical protein
57,193839,XP_003054806,24.23,0,0,2.58E7,2,2,2,,514892,predicted protein  Micromonas pusilla CCMP1545
155,425313,ETNP14_68,24.21,4,4,2.67E5,2,1,2,,43113,30S ribosomal protein S1
22,426308,WP_044901004,24.13,6,6,1.44E7,1,1,5,,14777,hypothetical protein Myxococcus stipitatus
425,395586,ETNP_140,24.03,13,13,1.57E8,1,1,1,,10089,acetoacetyl-CoA synthetase
425,395640,ETNP_180,24.03,12,12,1.57E8,1,1,1,,11206,acetoacetyl-CoA synthetase
425,395974,ETNP_160,24.03,5,5,1.57E8,1,1,1,,26161,Acetyl-coenzyme A synthetase
425,396074,ETNP_120,24.03,4,4,1.57E8,1,1,1,,36584,Acetyl-coenzyme A synthetase
425,396105,ETNP_300,24.03,3,3,1.57E8,1,1,1,,40719,Acetyl-coenzyme A synthetase
425,195564,ETNP_120,24.03,2,2,1.57E8,1,1,1,,74936,Acetyl-coenzyme A synthetase
343,143949,ETNP_120,23.96,4,4,2.99E5,1,1,1,,38574,Phosphoenolpyruvate carboxykinase [ATP]
343,143866,ETNP14_120,23.96,3,3,2.99E5,1,1,1,,46458,Phosphoenolpyruvate carboxykinase [ATP]
343,23721,ETNP14_68,23.96,2,2,2.99E5,1,1,1,,59453,Phosphoenolpyruvate carboxykinase [ATP]
343,143906,ETNP_180,23.96,7,7,2.99E5,1,1,1,,20258,Phosphoenolpyruvate carboxykinase [ATP]
343,143907,ETNP_120,23.96,3,3,2.99E5,1,1,1,,46518,Phosphoenolpyruvate carboxykinase [ATP]
343,143957,ETNP14_68,23.96,2,2,2.99E5,1,1,1,,59231,Phosphoenolpyruvate carboxykinase [ATP]
430,408223,XP_003057629,23.94,3,3,2.03E6,1,1,1,,46970,predicted protein partial  Micromonas pusilla CCMP1545
482,424950,ETNP_120,23.88,4,4,0E0,1,1,1,,30262,Aminomethyltransferase
