Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 373,Area 373,#Peptides,#Unique,#Spec 373,PTM,Avg. Mass,Description
120,113376,ETNP_120,25.73,1,1,3.32E5,1,1,1,,79848,Peptidase M16 inactive domain protein
120,113377,ETNP_300,25.73,1,1,3.32E5,1,1,1,,79848,Peptidase M16 inactive domain protein
120,113378,ETNP_140,25.73,1,1,3.32E5,1,1,1,,79848,Peptidase M16 inactive domain protein
57,113471,ETNP_70,25.66,1,1,9.98E4,2,1,2,,113188,Carboxylic acid reductase
222,97683,ETNP14_120,25.58,7,7,4.55E5,1,1,1,,11729,hypothetical protein
73,44739,ACY13541.1,25.55,1,1,0E0,2,1,2,,198731,hypothetical protein Hoch_0933 [Haliangium ochraceum DSM 14365]
151,113406,WP_022734915,25.50,4,4,0E0,1,1,1,,28088,short-chain dehydrogenase Candidatus Pelagibacter ubique
312,2468,WP_011342755,25.45,1,1,7.61E5,1,1,1,,74683,methyl-accepting chemotaxis sensory transducer Pelobacter carbinolicus
43,1885,virus_CCADEAMM_27559,25.36,3,3,7.99E5,1,1,3,,26716,hypothetical protein
227,113419,ABE39488.1,25.19,1,1,1.75E5,1,1,1,,66218,ABC transporter related [Rhodopseudomonas palustris BisB5]
227,113442,EJK66563,25.19,2,2,1.75E5,1,1,1,,34303,hypothetical protein THAOC_12515  Thalassiosira oceanica
227,113448,BAE51487.1,25.19,1,1,1.75E5,1,1,1,,108143,Glutamine synthetase adenylyltransferase [Magnetospirillum magneticum AMB-1]
91,113716,Fosmid_PROKKA_03264,25.04,1,1,,2,0,2,,153878,DNA-directed RNA polymerase subunit beta
313,113432,ETNP_140,25.03,7,7,5.61E5,1,1,1,,13369,Putative zinc ribbon domain protein
313,113433,ETNP_160,25.03,3,3,5.61E5,1,1,1,,26586,Putative zinc ribbon domain protein
313,113434,ETNP_180,25.03,3,3,5.61E5,1,1,1,,26586,Putative zinc ribbon domain protein
313,113435,ETNP_120,25.03,3,3,5.61E5,1,1,1,,26586,Putative zinc ribbon domain protein
313,113436,ETNP_120,25.03,3,3,5.61E5,1,1,1,,26586,Putative zinc ribbon domain protein
313,113437,ETNP_100,25.03,3,3,5.61E5,1,1,1,,26586,Putative zinc ribbon domain protein
313,113438,ETNP_120,25.03,3,3,5.61E5,1,1,1,,26586,Putative zinc ribbon domain protein
314,113439,ETNP_120,24.92,3,3,5.57E6,1,1,1,,35629,hypothetical protein
58,113474,XP_003062867,24.89,1,1,1.29E6,2,2,2,,165354,predicted protein  Micromonas pusilla CCMP1545
81,113440,ETNP_300,24.82,4,4,1.92E5,1,1,2,,31155,hypothetical protein
59,113498,WP_010205130.1,24.76,6,6,1.17E4,2,1,2,,35971,2-dehydropantoate 2-reductase [Salinibacterium sp. PAMC 21357]
111,2694,ACB26639.1,24.68,0,0,0E0,1,1,1,,217209,conserved hypothetical protein  putative DNA helicase [Methylobacterium radiotolerans JCM 2831]
317,2668,WP_035335839.1,24.65,3,3,1.77E4,1,1,1,,29704,3-deoxy-8-phosphooctulonate synthase [Dokdonia sp. PRO95]
67,113444,ETNP_120,24.58,3,3,1.86E6,1,1,2,,22939,Cysteine--tRNA ligase
316,113443,ETNP_120,24.54,3,3,9.21E5,1,1,1,,26157,hAT family dimerisation domain protein
225,113409,EJK75925,24.49,1,1,1.29E5,1,1,1,,122474,hypothetical protein THAOC_02339  Thalassiosira oceanica
319,113453,EJK51313,24.27,8,8,1.34E3,1,1,1,,10281,hypothetical protein THAOC_29525 partial  Thalassiosira oceanica
319,113454,EJK46736,24.27,1,1,1.34E3,1,1,1,,85494,hypothetical protein THAOC_34583  Thalassiosira oceanica
121,113384,virus_CCADEAMM_18663,24.18,0,0,1.96E5,1,1,1,,306147,hypothetical protein
89,1863,ACY18399.1,24.18,2,2,2.75E6,2,1,2,,97444,ATP-dependent chaperone ClpB [Haliangium ochraceum DSM 14365]
