,ProteinID,Alignments_x,SpecCounts_x,Unique_x,Coverage_x,Protein description_x,Alignments_y,SpecCounts_y,Unique_y,Coverage_y,Protein description_y
13,PMM0015,1.0,1.0,1.0,0.079,| PMM0015 | hypothetical protein1110.079| PMM0015 | hypothetical protein,1.0,1.0,1.0,0.061,| PMM0015 | hypothetical protein
14,PMM0016,8.0,12.0,8.0,0.326,| grpE | heat shock protein GrpE81280.326| grpE | heat shock protein GrpE,8.0,16.0,8.0,0.276,| grpE | heat shock protein GrpE
15,PMM0017,4.0,6.0,4.0,0.07,| dnaJ | DnaJ protein4640.07| dnaJ | DnaJ protein,4.0,7.0,4.0,0.099,| dnaJ | DnaJ protein
16,PMM0020,5.0,6.0,5.0,0.379,| PMM0020 | hypothetical protein5650.379| PMM0020 | hypothetical protein,5.0,7.0,5.0,0.379,| PMM0020 | hypothetical protein
17,PMM0021,4.0,4.0,3.0,0.132,| murB | UDP-N-acetylenolpyruvoylglucosamine reductase4430.132| murB | UDP-N-acetylenolpyruvoylglucosamine reductase,2.0,2.0,2.0,0.064,| murB | UDP-N-acetylenolpyruvoylglucosamine reductase
18,PMM0023,9.0,12.0,9.0,0.27399999999999997,| gap2 | glyceraldehyde 3-phosphate dehydrogenase(NADP+)(phosphorylating)91290.274| gap2 | glyceraldehyde 3-phosphate dehydrogenase(NADP+)(phosphorylating),10.0,12.0,10.0,0.27899999999999997,| gap2 | glyceraldehyde 3-phosphate dehydrogenase(NADP+)(phosphorylating)
19,PMM0024,1.0,1.0,1.0,0.018000000000000002,| thiL | putative thiamine-monophosphate kinase1110.018| thiL | putative thiamine-monophosphate kinase,,,,,
20,PMM0025,1.0,1.0,1.0,0.025,| PMM0025 | cyclophilin-type peptidyl-prolyl cis-trans isomerase1110.025| PMM0025 | cyclophilin-type peptidyl-prolyl cis-trans isomerase,1.0,1.0,1.0,0.025,| PMM0025 | cyclophilin-type peptidyl-prolyl cis-trans isomerase
21,PMM0026,3.0,3.0,3.0,0.129,| efp | elongation factor P3330.129| efp | elongation factor P,1.0,1.0,1.0,0.043,| efp | elongation factor P
22,PMM0027,1.0,1.0,1.0,0.06,| accB1110.06| accB,1.0,1.0,1.0,0.06,| accBfabE | biotin / lipoyl attachment:Acetyl-CoA biotin carboxyl carrier subunit
23,PMM0028,1.0,1.0,1.0,0.026000000000000002,| pdxA | 4-hydroxythreonine-4-phosphate dehydrogenase1110.026| pdxA | 4-hydroxythreonine-4-phosphate dehydrogenase,,,,,
24,PMM0029,2.0,2.0,2.0,0.054000000000000006,| PMM0029 | hypothetical protein2220.054| PMM0029 | hypothetical protein,1.0,1.0,1.0,0.040999999999999995,| PMM0029 | hypothetical protein
25,PMM0032,5.0,6.0,5.0,0.309,| PMM0032 | type II secretion system pr5650.309| PMM0032 | type II secretion system pr,5.0,7.0,5.0,0.309,| PMM0032 | type II secretion system pr
26,PMM0034,1.0,1.0,1.0,0.16899999999999998,| PMM0034 | hypothetical protein1110.169| PMM0034 | hypothetical protein,2.0,2.0,2.0,0.354,| PMM0034 | hypothetical protein
27,PMM0035,1.0,2.0,1.0,0.021,| DHSS | soluble hydrogenase small subunit1210.021| DHSS | soluble hydrogenase small subunit,1.0,2.0,1.0,0.021,| DHSS | soluble hydrogenase small subunit
28,PMM0036,1.0,1.0,1.0,0.019,| cbiD | cobalt-precorrin-6A synthase1110.019| cbiD | cobalt-precorrin-6A synthase,2.0,2.0,2.0,0.051,| cbiD | cobalt-precorrin-6A synthase
29,PMM0037,5.0,7.0,5.0,0.11199999999999999,| guaA | GMP synthase5750.112| guaA | GMP synthase,5.0,6.0,5.0,0.114,| guaA | GMP synthase
30,PMM0038,1.0,1.0,1.0,0.03,| PMM0038 | hypothetical protein1110.03| PMM0038 | hypothetical protein,,,,,
31,PMM0039,2.0,2.0,2.0,0.094,| PMM0039 | hypothetical protein2220.094| PMM0039 | hypothetical protein,1.0,1.0,1.0,0.054000000000000006,| PMM0039 | hypothetical protein
32,PMM0040,1.0,1.0,1.0,0.012,| PMM0040 | putative penicillin-binding protein1110.012| PMM0040 | putative penicillin-binding protein,,,,,
33,PMM0041,2.0,2.0,2.0,0.109,| PMM0041 | putative reductase2220.109| PMM0041 | putative reductase,2.0,2.0,2.0,0.109,| PMM0041 | putative reductase
34,PMM0042,1.0,1.0,1.0,0.02,| PMM0042 | flavoprotein1110.02| PMM0042 | flavoprotein,1.0,1.0,1.0,0.02,| PMM0042 | flavoprotein
35,PMM0043,1.0,1.0,1.0,0.017,| PMM0043 | flavoprotein1110.017| PMM0043 | flavoprotein,2.0,2.0,2.0,0.034,| PMM0043 | flavoprotein
36,PMM0044,8.0,8.0,8.0,0.08,| alaS | alanyl-tRNA synthetase8880.08| alaS | alanyl-tRNA synthetase,8.0,8.0,8.0,0.09300000000000001,| alaS | alanyl-tRNA synthetase
37,PMM0045,3.0,3.0,3.0,0.054000000000000006,| PMM0045 | arginine decarboxylase3330.054| PMM0045 | arginine decarboxylase,6.0,6.0,5.0,0.079,| PMM0045 | arginine decarboxylase
38,PMM0046,2.0,3.0,2.0,0.11800000000000001,| ndk | nucleoside diphosphate kinase2320.118| ndk | nucleoside diphosphate kinase,2.0,4.0,2.0,0.11800000000000001,| ndk | nucleoside diphosphate kinase
39,PMM0047,3.0,4.0,3.0,0.084,| thiO | putative thiamine biosynthesis oxidoreductase3430.084| thiO | putative thiamine biosynthesis oxidoreductase,3.0,4.0,3.0,0.084,| thiO | putative thiamine biosynthesis oxidoreductase
40,PMM0048,6.0,6.0,6.0,0.1,| gatB | aspartyl/glutamyl-tRNA amidotransferase subunit B6660.1| gatB | aspartyl/glutamyl-tRNA amidotransferase subunit B,8.0,8.0,8.0,0.16699999999999998,| gatB | aspartyl/glutamyl-tRNA amidotransferase subunit B
41,PMM0049,1.0,1.0,1.0,0.054000000000000006,| coaE | putative dephospho-CoA kinase1110.054| coaE | putative dephospho-CoA kinase,1.0,1.0,1.0,0.054000000000000006,| coaE | putative dephospho-CoA kinase
42,PMM0050,1.0,1.0,1.0,0.025,| argJ | bifunctional ornithine acetyltransferase/N-acetylglutamate synthase protein1110.025| argJ | bifunctional ornithine acetyltransferase/N-acetylglutamate synthase protein,1.0,1.0,1.0,0.025,| argJ | bifunctional ornithine acetyltransferase/N-acetylglutamate synthase protein
43,PMM0051,2.0,2.0,2.0,0.11699999999999999,| PMM0051 | hypothetical protein2220.117| PMM0051 | hypothetical protein,2.0,2.0,2.0,0.11699999999999999,| PMM0051 | hypothetical protein
44,PMM0054,1.0,1.0,1.0,0.062,| PMM0054 | hypothetical protein1110.062| PMM0054 | hypothetical protein,1.0,1.0,1.0,0.062,| PMM0054 | hypothetical protein
45,PMM0055,1.0,3.0,1.0,0.085,| PMM0055 | hypothetical protein1310.085| PMM0055 | hypothetical protein,2.0,3.0,2.0,0.085,| PMM0055 | hypothetical protein
46,PMM0057,2.0,2.0,2.0,0.021,| PMM0057 | SMC ATPase superfamily chromosome segregation protein2220.021| PMM0057 | SMC ATPase superfamily chromosome segregation protein,2.0,2.0,2.0,0.018000000000000002,| PMM0057 | SMC ATPase superfamily chromosome segregation protein
47,PMM0058,1.0,1.0,1.0,0.033,| PMM0058 | hypothetical protein1110.033| PMM0058 | hypothetical protein,2.0,2.0,2.0,0.062,| PMM0058 | hypothetical protein
48,PMM0060,3.0,3.0,3.0,0.08900000000000001,| accC | acetyl-CoA carboxylase biotin carboxylase subunit3330.089| accC | acetyl-CoA carboxylase biotin carboxylase subunit,2.0,2.0,2.0,0.042,| accC | acetyl-CoA carboxylase biotin carboxylase subunit
49,PMM0063,1.0,1.0,1.0,0.028999999999999998,| PMM0063 | hypothetical protein1110.029| PMM0063 | hypothetical protein,1.0,1.0,1.0,0.028999999999999998,| PMM0063 | hypothetical protein
50,PMM0064,1.0,1.0,1.0,0.14300000000000002,| hli2 | high light inducible protein1110.143| hli2 | high light inducible protein,1.0,1.0,1.0,0.14300000000000002,| hli2 | high light inducible protein
51,PMM0065,11.0,13.0,11.0,0.127,| PMM0065 | ABC transporter1113110.127| PMM0065 | ABC transporter,8.0,9.0,8.0,0.105,| PMM0065 | ABC transporter ATP binding protein
52,PMM0067,3.0,3.0,3.0,0.09699999999999999,| PMM0067 | HIT (histidine triad) family protein3330.097| PMM0067 | HIT (histidine triad) family protein,2.0,3.0,2.0,0.09699999999999999,| PMM0067 | HIT (histidine triad) family protein
53,PMM0068,2.0,2.0,2.0,0.1,| def | peptide deformylase2220.1| def | peptide deformylase,1.0,1.0,1.0,0.045,| def | peptide deformylase
54,PMM0069,1.0,1.0,1.0,0.011000000000000001,| PMM0069 | esterase/lipase/thioesterase family protein1110.011| PMM0069 | esterase/lipase/thioesterase family protein,1.0,1.0,1.0,0.011000000000000001,| PMM0069 | esterase/lipase/thioesterase family protein
55,PMM0070,4.0,4.0,4.0,0.085,| PMM0070 | putative cysteine desulfurase or selenocysteine lyase4440.085| PMM0070 | putative cysteine desulfurase or selenocysteine lyase,4.0,4.0,4.0,0.078,| PMM0070 | putative cysteine desulfurase or selenocysteine lyase
56,PMM0071,3.0,3.0,3.0,0.081,| PMM0071 | ABC transporter3330.081| PMM0071 | ABC transporter,4.0,4.0,4.0,0.099,| PMM0071 | ABC transporter membrane component
57,PMM0072,2.0,2.0,2.0,0.05,| PMM0072 | ABC transporter2220.05| PMM0072 | ABC transporter,5.0,6.0,5.0,0.203,| PMM0072 | ABC transporter ATP binding component
58,PMM0073,4.0,4.0,4.0,0.075,| PMM0073 | cysteine desulfurase activator complex subunit SufB4440.075| PMM0073 | cysteine desulfurase activator complex subunit SufB,3.0,3.0,3.0,0.054000000000000006,| PMM0073 | cysteine desulfurase activator complex subunit SufB
59,PMM0074,1.0,1.0,1.0,0.057999999999999996,| PMM0074 | hypothetical protein1110.058| PMM0074 | hypothetical protein,1.0,1.0,1.0,0.057999999999999996,| PMM0074 | hypothetical protein
60,PMM0075,5.0,5.0,5.0,0.111,| PMM0075 | hypothetical protein5550.111| PMM0075 | hypothetical protein,4.0,4.0,4.0,0.09,| PMM0075 | hypothetical protein
61,PMM0076,2.0,3.0,2.0,0.033,| pgm | phosphoglucomutase2320.033| pgm | phosphoglucomutase,5.0,8.0,4.0,0.07,| pgm | phosphoglucomutase
62,PMM0077,2.0,2.0,2.0,0.044000000000000004,| yrvN | recombination factor protein RarA2220.044| yrvN | recombination factor protein RarA,2.0,2.0,2.0,0.04,| yrvN | recombination factor protein RarA
63,PMM0079,5.0,7.0,5.0,0.316,| bcp | putative bacterioferritin comigratory (BCP) protein5750.316| bcp | putative bacterioferritin comigratory (BCP) protein,9.0,11.0,9.0,0.426,| bcp | putative bacterioferritin comigratory (BCP) protein
64,PMM0082,1.0,1.0,1.0,0.023,| PMM0082 | putative NADH dehydrogenase1110.023| PMM0082 | putative NADH dehydrogenase,2.0,2.0,1.0,0.040999999999999995,| PMM0082 | putative NADH dehydrogenase transport associated
65,PMM0083,1.0,1.0,1.0,0.015,| PMM0083 | DASS family sodium/sulfate transporter1110.015| PMM0083 | DASS family sodium/sulfate transporter,,,,,
66,PMM0085,6.0,6.0,6.0,0.27399999999999997,| PMM0085 | VIC family potassium channel protein6660.274| PMM0085 | VIC family potassium channel protein,4.0,4.0,4.0,0.171,| PMM0085 | VIC family potassium channel protein
67,PMM0088,3.0,3.0,3.0,0.5,| PMM0088 | hypothetical protein3330.5| PMM0088 | hypothetical protein,3.0,3.0,3.0,0.355,| PMM0088 | hypothetical protein
68,PMM0090,6.0,7.0,6.0,0.149,| PMM0090 | serine protease6760.149| PMM0090 | serine protease,4.0,5.0,4.0,0.107,| PMM0090 | serine protease
69,PMM0091,1.0,1.0,1.0,0.138,| PMM0091 | hypothetical protein1110.138| PMM0091 | hypothetical protein,,,,,
70,PMM0092,1.0,1.0,1.0,0.107,| PMM0092 | hypothetical protein1110.107| PMM0092 | hypothetical protein,2.0,2.0,2.0,0.214,| PMM0092 | hypothetical protein
71,PMM0096,2.0,2.0,2.0,0.106,| PMM0096 | inositol monophosphate family protein2220.106| PMM0096 | inositol monophosphate family protein,5.0,5.0,5.0,0.204,| PMM0096 | inositol monophosphate family protein
72,PMM0097,4.0,4.0,4.0,0.08800000000000001,| PMM0097 | RND family outer membrane efflux protein4440.088| PMM0097 | RND family outer membrane efflux protein,3.0,3.0,3.0,0.069,| PMM0097 | RND family outer membrane efflux protein
73,PMM0099,1.0,1.0,1.0,0.035,| PMM0099 | hypothetical protein1110.035| PMM0099 | hypothetical protein,2.0,2.0,2.0,0.071,| PMM0099 | hypothetical protein
74,PMM0100,3.0,3.0,3.0,0.047,| nadB | L-aspartate oxidase3330.047| nadB | L-aspartate oxidase,3.0,3.0,3.0,0.047,| nadB | L-aspartate oxidase
75,PMM0101,1.0,1.0,1.0,0.039,| PMM0101 | hypothetical protein1110.039| PMM0101 | hypothetical protein,1.0,1.0,1.0,0.039,| PMM0101 | hypothetical protein
76,PMM0103,3.0,3.0,3.0,0.22699999999999998,| PMM0103 | hypothetical protein3330.227| PMM0103 | hypothetical protein,2.0,2.0,2.0,0.172,| PMM0103 | hypothetical protein
77,PMM0104,1.0,1.0,1.0,0.031,| PMM0104 | hypothetical protein1110.031| PMM0104 | hypothetical protein,1.0,1.0,1.0,0.028999999999999998,| PMM0104 | hypothetical protein
78,PMM0105,1.0,1.0,1.0,0.055,| ribG | RibD/RibG domain-containing protein1110.055| ribG | RibD/RibG domain-containing protein,,,,,
79,PMM0106,1.0,1.0,1.0,0.036000000000000004,| PMM0106 | 6-pyruvoyl tetrahydropterin synthase1110.036| PMM0106 | 6-pyruvoyl tetrahydropterin synthase,3.0,3.0,3.0,0.11699999999999999,| PMM0106 | 6-pyruvoyl tetrahydropterin synthase
80,PMM0107,3.0,3.0,3.0,0.10300000000000001,| aroK | shikimate kinase3330.103| aroK | shikimate kinase,1.0,2.0,1.0,0.054000000000000006,| aroK | shikimate kinase
81,PMM0109,1.0,1.0,1.0,0.038,| PMM0109 | POLO box duplicated region1110.038| PMM0109 | POLO box duplicated region,,,,,
82,PMM0110,4.0,4.0,4.0,0.133,| PMM0110 | putative glutathione S-transferase4440.133| PMM0110 | putative glutathione S-transferase,6.0,6.0,6.0,0.166,| PMM0110 | putative glutathione S-transferase
83,PMM0115,2.0,2.0,2.0,0.043,| crtQ | zeta-carotene desaturase2220.043| crtQ | zeta-carotene desaturase,1.0,1.0,1.0,0.023,| crtQ | zeta-carotene desaturase
84,PMM0117,2.0,2.0,2.0,0.155,| PMM0117 | hypothetical protein2220.155| PMM0117 | hypothetical protein,1.0,1.0,1.0,0.063,| PMM0117 | hypothetical protein
85,PMM0120,4.0,4.0,3.0,0.094,| PMM0120 | putative cell division inhibitor4430.094| PMM0120 | putative cell division inhibitor,2.0,2.0,2.0,0.048,| PMM0120 | putative cell division inhibitor
86,PMM0123,4.0,5.0,4.0,0.146,| cysK2 | O-acetylserine (thiol)-lyase A4540.146| cysK2 | O-acetylserine (thiol)-lyase A,7.0,8.0,7.0,0.214,| cysK2 | O-acetylserine (thiol)-lyase A
87,PMM0124,3.0,4.0,3.0,0.213,| PMM0124 | hypothetical protein3430.213| PMM0124 | hypothetical protein,3.0,4.0,3.0,0.326,| PMM0124 | hypothetical protein
88,PMM0125,1.0,1.0,1.0,0.048,| PMM0125 | ABC transporter ATP-binding protein1110.048| PMM0125 | ABC transporter ATP-binding protein,,,,,
89,PMM0126,4.0,4.0,4.0,0.128,| PMM0126 | hypothetical protein4440.128| PMM0126 | hypothetical protein,4.0,4.0,4.0,0.115,| PMM0126 | hypothetical protein
90,PMM0127,2.0,2.0,2.0,0.14300000000000002,| PMM0127 | signal peptide binding domain-containing protein2220.143| PMM0127 | signal peptide binding domain-containing protein,1.0,1.0,1.0,0.076,| PMM0127 | signal peptide binding domain-containing protein
91,PMM0128,5.0,7.0,5.0,0.191,| rpaA | two-component response regulator5750.191| rpaA | two-component response regulator,4.0,5.0,4.0,0.08800000000000001,| rpaA | two-component response regulator
92,PMM0130,2.0,2.0,2.0,0.131,| PMM0130 | thymidylate kinase2220.131| PMM0130 | thymidylate kinase,3.0,3.0,3.0,0.17300000000000001,| PMM0130 | thymidylate kinase
93,PMM0131,1.0,1.0,1.0,0.01,| PMM0131 | putative P-type ATPase transporter for copper1110.01| PMM0131 | putative P-type ATPase transporter for copper,2.0,2.0,2.0,0.027000000000000003,| PMM0131 | putative P-type ATPase transporter for copper
94,PMM0133,3.0,3.0,3.0,0.087,| radA | DNA repair protein RadA3330.087| radA | DNA repair protein RadA,2.0,2.0,2.0,0.047,| radA | DNA repair protein RadA
95,PMM0134,7.0,7.0,7.0,0.315,| rpaB | two-component response regulator7770.315| rpaB | two-component response regulator,8.0,8.0,8.0,0.315,| rpaB | two-component response regulator
96,PMM0135,5.0,6.0,5.0,0.105,| plsX | putative glycerol-3-phosphate acyltransferase PlsX5650.105| plsX | putative glycerol-3-phosphate acyltransferase PlsX,4.0,5.0,4.0,0.086,| plsX | putative glycerol-3-phosphate acyltransferase PlsX
97,PMM0137,1.0,1.0,1.0,0.037000000000000005,| fabD | malonyl coenzyme A-acyl carrier protein transacylase1110.037| fabD | malonyl coenzyme A-acyl carrier protein transacylase,3.0,3.0,3.0,0.114,| fabD | malonyl coenzyme A-acyl carrier protein transacylase
98,PMM0138,3.0,3.0,3.0,0.126,| plsC | putative 1-acyl-sn-glycerol-3-phosphate acyltransferase3330.126| plsC | putative 1-acyl-sn-glycerol-3-phosphate acyltransferase,2.0,3.0,2.0,0.083,| plsC | putative 1-acyl-sn-glycerol-3-phosphate acyltransferase
99,PMM0139,2.0,2.0,1.0,0.08800000000000001,| PMM0139 | hypothetical protein2210.088| PMM0139 | hypothetical protein,,,,,
100,PMM0142,5.0,5.0,5.0,0.345,| PMM0142 | RNA recognition motif-containing protein5550.345| PMM0142 | RNA recognition motif-containing protein,4.0,4.0,4.0,0.345,| PMM0142 | RNA recognition motif-containing protein
101,PMM0143,1.0,1.0,1.0,0.023,| crtB1110.023| crtB,,,,,
102,PMM0144,4.0,4.0,4.0,0.09300000000000001,| pds4440.093| pds,6.0,6.0,6.0,0.127,| pdscrtD | phytoene desaturase
103,PMM0145,4.0,4.0,4.0,0.243,| PMM0145 | NADH dehydrogenase I subunit M4440.243| PMM0145 | NADH dehydrogenase I subunit M,3.0,3.0,3.0,0.235,| PMM0145 | NADH dehydrogenase I subunit M
104,PMM0146,2.0,2.0,2.0,0.08800000000000001,| PMM0146 | hypothetical protein2220.088| PMM0146 | hypothetical protein,,,,,
105,PMM0147,4.0,5.0,4.0,0.129,| rbcR | putative Rubisco transcriptional regulator4540.129| rbcR | putative Rubisco transcriptional regulator,4.0,4.0,3.0,0.12,| rbcR | putative Rubisco transcriptional regulator
106,PMM0149,2.0,2.0,2.0,0.027000000000000003,| ndhF | NAD(P)H-quinone oxidoreductase subunit F2220.027| ndhF | NAD(P)H-quinone oxidoreductase subunit F,3.0,3.0,3.0,0.046,| ndhF | NAD(P)H-quinone oxidoreductase subunit F
107,PMM0150,3.0,3.0,2.0,0.044000000000000004,| ndhD | NAD(P)H-quinone oxidoreductase subunit 43320.044| ndhD | NAD(P)H-quinone oxidoreductase subunit 4,2.0,2.0,2.0,0.028999999999999998,| ndhD | NAD(P)H-quinone oxidoreductase subunit 4
108,PMM0153,3.0,3.0,3.0,0.132,| PMM0153 | methylenetetrahydrofolate reductase3330.132| PMM0153 | methylenetetrahydrofolate reductase,2.0,2.0,2.0,0.08800000000000001,| PMM0153 | methylenetetrahydrofolate reductase
109,PMM0155,2.0,2.0,2.0,0.133,| PMM0155 | hypothetical protein2220.133| PMM0155 | hypothetical protein,1.0,1.0,1.0,0.051,| PMM0155 | hypothetical protein
110,PMM0156,2.0,2.0,2.0,0.057,| ppnK | inorganic polyphosphate/ATP-NAD kinase2220.057| ppnK | inorganic polyphosphate/ATP-NAD kinase,1.0,1.0,1.0,0.03,| ppnK | inorganic polyphosphate/ATP-NAD kinase
111,PMM0159,2.0,2.0,2.0,0.091,| ndhI | NADH dehydrogenase subunit I2220.091| ndhI | NADH dehydrogenase subunit I,1.0,1.0,1.0,0.057999999999999996,| ndhI | NADH dehydrogenase subunit I
112,PMM0161,8.0,8.0,8.0,0.21,| gltA | citrate synthase8880.21| gltA | citrate synthase,7.0,8.0,7.0,0.18600000000000003,| gltA | citrate synthase
113,PMM0162,1.0,1.0,1.0,0.021,| PMM0162 | hypothetical protein1110.021| PMM0162 | hypothetical protein,2.0,2.0,2.0,0.037000000000000005,| PMM0162 | hypothetical protein
114,PMM0163,2.0,2.0,2.0,0.155,| PMM0163 | hypothetical protein2220.155| PMM0163 | hypothetical protein,1.0,1.0,1.0,0.078,| PMM0163 | hypothetical protein
115,PMM0164,3.0,3.0,3.0,0.075,| trpB | tryptophan synthase subunit beta3330.075| trpB | tryptophan synthase subunit beta,3.0,3.0,3.0,0.075,| trpB | tryptophan synthase subunit beta
116,PMM0167,1.0,2.0,1.0,0.067,| purE | phosphoribosylaminoimidazole carboxylase1210.067| purE | phosphoribosylaminoimidazole carboxylase,2.0,2.0,2.0,0.067,| purE | phosphoribosylaminoimidazole carboxylase
117,PMM0168,3.0,3.0,3.0,0.11199999999999999,| chlM | Mg-protoporphyrin IX methyl transferase3330.112| chlM | Mg-protoporphyrin IX methyl transferase,4.0,4.0,4.0,0.155,| chlM | Mg-protoporphyrin IX methyl transferase
118,PMM0169,5.0,8.0,5.0,0.21899999999999997,| PMM0169 | two-component response regulator5850.219| PMM0169 | two-component response regulator,9.0,11.0,8.0,0.22699999999999998,| PMM0169 | two-component response regulator
119,PMM0170,1.0,1.0,1.0,0.024,| PMM0170 | NifS-like aminotransferase class-V1110.024| PMM0170 | NifS-like aminotransferase class-V,1.0,1.0,1.0,0.026000000000000002,| PMM0170 | NifS-like aminotransferase class-V
120,PMM0172,6.0,7.0,6.0,0.152,| ndhH | NAD(P)H-quinone oxidoreductase subunit H6760.152| ndhH | NAD(P)H-quinone oxidoreductase subunit H,7.0,7.0,7.0,0.175,| ndhH | NAD(P)H-quinone oxidoreductase subunit H
121,PMM0173,1.0,1.0,1.0,0.06,| PMM0173 | hypothetical protein1110.06| PMM0173 | hypothetical protein,2.0,2.0,2.0,0.14,| PMM0173 | hypothetical protein
122,PMM0174,1.0,1.0,1.0,0.022000000000000002,| menE | putative O-succinylbenzoic acid--CoA ligase (OSB-CoA synthetase)1110.022| menE | putative O-succinylbenzoic acid--CoA ligase (OSB-CoA synthetase),2.0,2.0,2.0,0.035,| menE | putative O-succinylbenzoic acid--CoA ligase (OSB-CoA synthetase)
123,PMM0176,1.0,1.0,1.0,0.03,| menA | 11110.03| menA | 1,,,,,
124,PMM0178,2.0,2.0,2.0,0.062,| gshB | glutathione synthetase2220.062| gshB | glutathione synthetase,2.0,3.0,2.0,0.049,| gshB | glutathione synthetase
125,PMM0179,3.0,3.0,3.0,0.27399999999999997,| PMM0179 | glutaredoxin3330.274| PMM0179 | glutaredoxin,5.0,5.0,5.0,0.35700000000000004,| PMM0179 | glutaredoxin
126,PMM0181,1.0,1.0,1.0,0.11699999999999999,| PMM0181 | hypothetical protein1110.117| PMM0181 | hypothetical protein,,,,,
127,PMM0184,1.0,1.0,1.0,0.061,| pabA | para-aminobenzoate synthase component II1110.061| pabA | para-aminobenzoate synthase component II,1.0,1.0,1.0,0.061,| pabA | para-aminobenzoate synthase component II
128,PMM0187,2.0,2.0,2.0,0.036000000000000004,| argS | arginyl-tRNA synthetase2220.036| argS | arginyl-tRNA synthetase,1.0,1.0,1.0,0.017,| argS | arginyl-tRNA synthetase
129,PMM0188,2.0,2.0,2.0,0.08,| nadC | nicotinate-nucleotide pyrophosphorylase:quinolinate phosphoriobsyl transferase2220.08| nadC | nicotinate-nucleotide pyrophosphorylase:quinolinate phosphoriobsyl transferase,2.0,2.0,2.0,0.069,| nadC | nicotinate-nucleotide pyrophosphorylase:quinolinate phosphoriobsyl transferase
130,PMM0189,1.0,1.0,1.0,0.02,| trmE | tRNA modification GTPase TrmE1110.02| trmE | tRNA modification GTPase TrmE,2.0,2.0,2.0,0.043,| trmE | tRNA modification GTPase TrmE
131,PMM0190,1.0,1.0,1.0,0.047,| PMM0190 | hypothetical protein1110.047| PMM0190 | hypothetical protein,1.0,1.0,1.0,0.047,| PMM0190 | hypothetical protein
132,PMM0191,3.0,3.0,3.0,0.043,| spoT | guanosine-3'3330.043| spoT | guanosine-3' (ppGpp)ase,4.0,4.0,4.0,0.039,| spoT | guanosine-3'5'-bis(diphosphate) 3'-diphosphatase (ppGpp)ase
133,PMM0194,3.0,3.0,3.0,0.073,| rbgA | ribosomal biogenesis GTPase3330.073| rbgA | ribosomal biogenesis GTPase,4.0,4.0,4.0,0.10099999999999999,| rbgA | ribosomal biogenesis GTPase
