ProteinID,Alignments,SpecCounts,Unique,Coverage,Protein description
PMM0077,2,2,2,0.044,| yrvN | recombination factor protein RarA2220.044| yrvN | recombination factor protein RarA
PMM0079,5,7,5,0.316,| bcp | putative bacterioferritin comigratory (BCP) protein5750.316| bcp | putative bacterioferritin comigratory (BCP) protein
PMM0082,1,1,1,0.023,| PMM0082 | putative NADH dehydrogenase1110.023| PMM0082 | putative NADH dehydrogenase
PMM0083,1,1,1,0.015,| PMM0083 | DASS family sodium/sulfate transporter1110.015| PMM0083 | DASS family sodium/sulfate transporter
PMM0085,6,6,6,0.274,| PMM0085 | VIC family potassium channel protein6660.274| PMM0085 | VIC family potassium channel protein
PMM0088,3,3,3,0.5,| PMM0088 | hypothetical protein3330.5| PMM0088 | hypothetical protein
PMM0090,6,7,6,0.149,| PMM0090 | serine protease6760.149| PMM0090 | serine protease
PMM0091,1,1,1,0.138,| PMM0091 | hypothetical protein1110.138| PMM0091 | hypothetical protein
PMM0092,1,1,1,0.107,| PMM0092 | hypothetical protein1110.107| PMM0092 | hypothetical protein
PMM0096,2,2,2,0.106,| PMM0096 | inositol monophosphate family protein2220.106| PMM0096 | inositol monophosphate family protein
PMM0097,4,4,4,0.088,| PMM0097 | RND family outer membrane efflux protein4440.088| PMM0097 | RND family outer membrane efflux protein
PMM0099,1,1,1,0.035,| PMM0099 | hypothetical protein1110.035| PMM0099 | hypothetical protein
PMM0100,3,3,3,0.047,| nadB | L-aspartate oxidase3330.047| nadB | L-aspartate oxidase
PMM0101,1,1,1,0.039,| PMM0101 | hypothetical protein1110.039| PMM0101 | hypothetical protein
PMM0103,3,3,3,0.227,| PMM0103 | hypothetical protein3330.227| PMM0103 | hypothetical protein
PMM0104,1,1,1,0.031,| PMM0104 | hypothetical protein1110.031| PMM0104 | hypothetical protein
PMM0105,1,1,1,0.055,| ribG | RibD/RibG domain-containing protein1110.055| ribG | RibD/RibG domain-containing protein
PMM0106,1,1,1,0.036,| PMM0106 | 6-pyruvoyl tetrahydropterin synthase1110.036| PMM0106 | 6-pyruvoyl tetrahydropterin synthase
PMM0107,3,3,3,0.103,| aroK | shikimate kinase3330.103| aroK | shikimate kinase
PMM0109,1,1,1,0.038,| PMM0109 | POLO box duplicated region1110.038| PMM0109 | POLO box duplicated region
PMM0110,4,4,4,0.133,| PMM0110 | putative glutathione S-transferase4440.133| PMM0110 | putative glutathione S-transferase
PMM0115,2,2,2,0.043,| crtQ | zeta-carotene desaturase2220.043| crtQ | zeta-carotene desaturase
PMM0117,2,2,2,0.155,| PMM0117 | hypothetical protein2220.155| PMM0117 | hypothetical protein
PMM0120,4,4,3,0.094,| PMM0120 | putative cell division inhibitor4430.094| PMM0120 | putative cell division inhibitor
PMM0123,4,5,4,0.146,| cysK2 | O-acetylserine (thiol)-lyase A4540.146| cysK2 | O-acetylserine (thiol)-lyase A
PMM0124,3,4,3,0.213,| PMM0124 | hypothetical protein3430.213| PMM0124 | hypothetical protein
PMM0125,1,1,1,0.048,| PMM0125 | ABC transporter ATP-binding protein1110.048| PMM0125 | ABC transporter ATP-binding protein
PMM0126,4,4,4,0.128,| PMM0126 | hypothetical protein4440.128| PMM0126 | hypothetical protein
PMM0127,2,2,2,0.143,| PMM0127 | signal peptide binding domain-containing protein2220.143| PMM0127 | signal peptide binding domain-containing protein
PMM0128,5,7,5,0.191,| rpaA | two-component response regulator5750.191| rpaA | two-component response regulator
PMM0130,2,2,2,0.131,| PMM0130 | thymidylate kinase2220.131| PMM0130 | thymidylate kinase
PMM0131,1,1,1,0.01,| PMM0131 | putative P-type ATPase transporter for copper1110.01| PMM0131 | putative P-type ATPase transporter for copper
PMM0133,3,3,3,0.087,| radA | DNA repair protein RadA3330.087| radA | DNA repair protein RadA
PMM0134,7,7,7,0.315,| rpaB | two-component response regulator7770.315| rpaB | two-component response regulator
PMM0135,5,6,5,0.105,| plsX | putative glycerol-3-phosphate acyltransferase PlsX5650.105| plsX | putative glycerol-3-phosphate acyltransferase PlsX
PMM0137,1,1,1,0.037,| fabD | malonyl coenzyme A-acyl carrier protein transacylase1110.037| fabD | malonyl coenzyme A-acyl carrier protein transacylase
PMM0138,3,3,3,0.126,| plsC | putative 1-acyl-sn-glycerol-3-phosphate acyltransferase3330.126| plsC | putative 1-acyl-sn-glycerol-3-phosphate acyltransferase
PMM0139,2,2,1,0.088,| PMM0139 | hypothetical protein2210.088| PMM0139 | hypothetical protein
PMM0142,5,5,5,0.345,| PMM0142 | RNA recognition motif-containing protein5550.345| PMM0142 | RNA recognition motif-containing protein
PMM0143,1,1,1,0.023,| crtB1110.023| crtB
PMM0144,4,4,4,0.093,| pds4440.093| pds
PMM0145,4,4,4,0.243,| PMM0145 | NADH dehydrogenase I subunit M4440.243| PMM0145 | NADH dehydrogenase I subunit M
PMM0146,2,2,2,0.088,| PMM0146 | hypothetical protein2220.088| PMM0146 | hypothetical protein
PMM0147,4,5,4,0.129,| rbcR | putative Rubisco transcriptional regulator4540.129| rbcR | putative Rubisco transcriptional regulator
PMM0149,2,2,2,0.027,| ndhF | NAD(P)H-quinone oxidoreductase subunit F2220.027| ndhF | NAD(P)H-quinone oxidoreductase subunit F
PMM0150,3,3,2,0.044,| ndhD | NAD(P)H-quinone oxidoreductase subunit 43320.044| ndhD | NAD(P)H-quinone oxidoreductase subunit 4
PMM0153,3,3,3,0.132,| PMM0153 | methylenetetrahydrofolate reductase3330.132| PMM0153 | methylenetetrahydrofolate reductase
PMM0155,2,2,2,0.133,| PMM0155 | hypothetical protein2220.133| PMM0155 | hypothetical protein
PMM0156,2,2,2,0.057,| ppnK | inorganic polyphosphate/ATP-NAD kinase2220.057| ppnK | inorganic polyphosphate/ATP-NAD kinase
PMM0159,2,2,2,0.091,| ndhI | NADH dehydrogenase subunit I2220.091| ndhI | NADH dehydrogenase subunit I
PMM0161,8,8,8,0.21,| gltA | citrate synthase8880.21| gltA | citrate synthase
PMM0162,1,1,1,0.021,| PMM0162 | hypothetical protein1110.021| PMM0162 | hypothetical protein
PMM0163,2,2,2,0.155,| PMM0163 | hypothetical protein2220.155| PMM0163 | hypothetical protein
PMM0164,3,3,3,0.075,| trpB | tryptophan synthase subunit beta3330.075| trpB | tryptophan synthase subunit beta
PMM0167,1,2,1,0.067,| purE | phosphoribosylaminoimidazole carboxylase1210.067| purE | phosphoribosylaminoimidazole carboxylase
PMM0168,3,3,3,0.112,| chlM | Mg-protoporphyrin IX methyl transferase3330.112| chlM | Mg-protoporphyrin IX methyl transferase
PMM0169,5,8,5,0.219,| PMM0169 | two-component response regulator5850.219| PMM0169 | two-component response regulator
PMM0170,1,1,1,0.024,| PMM0170 | NifS-like aminotransferase class-V1110.024| PMM0170 | NifS-like aminotransferase class-V
PMM0172,6,7,6,0.152,| ndhH | NAD(P)H-quinone oxidoreductase subunit H6760.152| ndhH | NAD(P)H-quinone oxidoreductase subunit H
PMM0173,1,1,1,0.06,| PMM0173 | hypothetical protein1110.06| PMM0173 | hypothetical protein
PMM0174,1,1,1,0.022,| menE | putative O-succinylbenzoic acid--CoA ligase (OSB-CoA synthetase)1110.022| menE | putative O-succinylbenzoic acid--CoA ligase (OSB-CoA synthetase)
PMM0176,1,1,1,0.03,| menA | 11110.03| menA | 1
PMM0178,2,2,2,0.062,| gshB | glutathione synthetase2220.062| gshB | glutathione synthetase
PMM0179,3,3,3,0.274,| PMM0179 | glutaredoxin3330.274| PMM0179 | glutaredoxin
PMM0181,1,1,1,0.117,| PMM0181 | hypothetical protein1110.117| PMM0181 | hypothetical protein
PMM0184,1,1,1,0.061,| pabA | para-aminobenzoate synthase component II1110.061| pabA | para-aminobenzoate synthase component II
PMM0187,2,2,2,0.036,| argS | arginyl-tRNA synthetase2220.036| argS | arginyl-tRNA synthetase
PMM0188,2,2,2,0.08,| nadC | nicotinate-nucleotide pyrophosphorylase:quinolinate phosphoriobsyl transferase2220.08| nadC | nicotinate-nucleotide pyrophosphorylase:quinolinate phosphoriobsyl transferase
PMM0189,1,1,1,0.02,| trmE | tRNA modification GTPase TrmE1110.02| trmE | tRNA modification GTPase TrmE
PMM0190,1,1,1,0.047,| PMM0190 | hypothetical protein1110.047| PMM0190 | hypothetical protein
PMM0191,3,3,3,0.043,| spoT | guanosine-3'3330.043| spoT | guanosine-3' (ppGpp)ase
PMM0194,3,3,3,0.073,| rbgA | ribosomal biogenesis GTPase3330.073| rbgA | ribosomal biogenesis GTPase
PMM0195,15,20,15,0.296,| pgk | phosphoglycerate kinase1520150.296| pgk | phosphoglycerate kinase
PMM0197,1,1,1,0.019,| murG | undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase1110.019| murG | undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase
PMM0198,1,1,1,0.021,| hisC/cobC | aminotransferase class-I1110.021| hisC/cobC | aminotransferase class-I
PMM0199,1,1,1,0.018,| pyrD | dihydroorotate dehydrogenase 21110.018| pyrD | dihydroorotate dehydrogenase 2
PMM0200,7,7,7,0.212,| rnhA | ribonuclease HI7770.212| rnhA | ribonuclease HI
PMM0201,14,25,14,0.443,| rplL | 50S ribosomal protein L7/L121425140.443| rplL | 50S ribosomal protein L7/L12
PMM0202,2,3,2,0.131,| rplJ | 50S ribosomal protein L102320.131| rplJ | 50S ribosomal protein L10
PMM0203,6,6,6,0.234,| rplA | 50S ribosomal protein L16660.234| rplA | 50S ribosomal protein L1
PMM0204,3,5,3,0.22,| rplK | 50S ribosomal protein L113530.22| rplK | 50S ribosomal protein L11
PMM0205,3,4,3,0.143,| nusG | transcription antitermination protein NusG3430.143| nusG | transcription antitermination protein NusG
PMM0206,1,2,1,0.139,| secE | preprotein translocase subunit SecE1210.139| secE | preprotein translocase subunit SecE
PMM0207,9,9,9,0.099,| clpB2 | putative ATP-dependent Clp protease9990.099| clpB2 | putative ATP-dependent Clp protease ATP-binding subunit ClpB
PMM0208,6,7,6,0.167,| eno | enolase6760.167| eno | enolase
PMM0209,4,4,4,0.081,| PMM0209 | putative kinase4440.081| PMM0209 | putative kinase
PMM0211,3,3,3,0.11,| trxB | FAD-dependent pyridine nucleotide-disulphide oxidoreductase3330.11| trxB | FAD-dependent pyridine nucleotide-disulphide oxidoreductase
PMM0212,1,3,1,0.118,| PMM0212 | hypothetical protein1310.118| PMM0212 | hypothetical protein
PMM0213,1,1,1,0.021,| sbtA | putative sodium-dependent bicarbonate transporter1110.021| sbtA | putative sodium-dependent bicarbonate transporter
PMM0214,7,13,7,0.113,| PMM0214 | putative sulfate transporter71370.113| PMM0214 | putative sulfate transporter
PMM0215,5,6,5,0.114,| PMM0215 | delta-aminolevulinic acid dehydratase5650.114| PMM0215 | delta-aminolevulinic acid dehydratase
PMM0217,1,1,1,0.012,| mutS | DNA mismatch repair protein MutS family protein1110.012| mutS | DNA mismatch repair protein MutS family protein
PMM0218,1,1,1,0.028,| obgE | GTPase ObgE1110.028| obgE | GTPase ObgE
PMM0219,1,1,1,0.183,| PMM0219 | hypothetical protein1110.183| PMM0219 | hypothetical protein
PMM0223,5,5,5,0.133,| psbA | photosystem II PsbA protein (D1)5550.133| psbA | photosystem II PsbA protein (D1)
PMM0224,3,4,3,0.099,| aroC | chorismate synthase3430.099| aroC | chorismate synthase
PMM0225,1,1,1,0.033,| PMM0225 | 2-keto-3-deoxy-6-phosphogluconate aldolase1110.033| PMM0225 | 2-keto-3-deoxy-6-phosphogluconate aldolase
PMM0226,5,6,5,0.086,| ftsH2 | cell division protein FtsH25650.086| ftsH2 | cell division protein FtsH2
PMM0227,5,5,4,0.113,| cysD | ATP-sulfurylase5540.113| cysD | ATP-sulfurylase
PMM0228,11,18,11,0.288,| psbO | photosystem II manganese-stabilizing protein1118110.288| psbO | photosystem II manganese-stabilizing protein
PMM0229,1,1,1,0.029,| dfp | putative p-pantothenate cysteine ligase and p-pantothenenoylcysteine decarboxylase1110.029| dfp | putative p-pantothenate cysteine ligase and p-pantothenenoylcysteine decarboxylase
PMM0233,4,4,4,0.109,| pyrB | aspartate carbamoyltransferase catalytic subunit4440.109| pyrB | aspartate carbamoyltransferase catalytic subunit
PMM0235,6,7,6,0.433,| gatC | aspartyl/glutamyl-tRNA amidotransferase subunit C6760.433| gatC | aspartyl/glutamyl-tRNA amidotransferase subunit C
PMM0238,8,9,8,0.059,| ileS | isoleucyl-tRNA synthetase8980.059| ileS | isoleucyl-tRNA synthetase
PMM0241,5,5,5,0.108,| PMM0241 | phosphotransferase superclass5550.108| PMM0241 | phosphotransferase superclass
PMM0242,1,1,1,0.072,| txlA | thioredoxin-like protein TxlA1110.072| txlA | thioredoxin-like protein TxlA
PMM0243,3,3,3,0.137,| thyX | FAD-dependent thymidylate synthase3330.137| thyX | FAD-dependent thymidylate synthase
PMM0244,1,1,1,0.061,| dcd | deoxycytidine triphosphate deaminase1110.061| dcd | deoxycytidine triphosphate deaminase
PMM0248,1,1,1,0.041,| PMM0248 | hypothetical protein1110.041| PMM0248 | hypothetical protein
PMM0250,2,2,2,0.074,| pth | peptidyl-tRNA hydrolase2220.074| pth | peptidyl-tRNA hydrolase
PMM0251,1,5,1,0.121,| psbH | photosystem II reaction center protein H1510.121| psbH | photosystem II reaction center protein H
PMM0254,7,7,7,0.096,| PMM0254 | hypothetical protein7770.096| PMM0254 | hypothetical protein
PMM0256,1,1,1,0.032,| leuC | isopropylmalate isomerase large subunit1110.032| leuC | isopropylmalate isomerase large subunit
PMM0257,4,4,4,0.085,| PMM0257 | molybdenum cofactor biosynthesis protein4440.085| PMM0257 | molybdenum cofactor biosynthesis protein
PMM0258,7,8,7,0.165,| glyA | serine hydroxymethyltransferase7870.165| glyA | serine hydroxymethyltransferase
PMM0260,2,2,2,0.258,| PMM0260 | hypothetical protein2220.258| PMM0260 | hypothetical protein
PMM0263,2,2,2,0.037,| amt1 | ammonium transporter2220.037| amt1 | ammonium transporter
PMM0266,1,1,1,0.017,| purH | bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase1110.017| purH | bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
PMM0269,1,1,1,0.024,| PMM0269 | two-component sensor histidine kinase1110.024| PMM0269 | two-component sensor histidine kinase
PMM0270,1,1,1,0.037,| CobS | cobalamin-5-phosphate synthase CobS1110.037| CobS | cobalamin-5-phosphate synthase CobS
PMM0273,2,2,2,0.063,| PMM0273 | putative oxidoreductase2220.063| PMM0273 | putative oxidoreductase
PMM0274,4,4,4,0.076,| PMM0274 | hypothetical protein4440.076| PMM0274 | hypothetical protein
PMM0275,1,1,1,0.043,| pyrE | orotate phosphoribosyltransferase1110.043| pyrE | orotate phosphoribosyltransferase
PMM0276,3,3,3,0.089,| PMM0276 | hypothetical protein3330.089| PMM0276 | hypothetical protein
PMM0277,2,2,2,0.034,| PMM0277 | putative nuclease (RecB family)2220.034| PMM0277 | putative nuclease (RecB family)
PMM0278,9,9,9,0.181,| PMM0278 | phosphotransferase superclass9990.181| PMM0278 | phosphotransferase superclass
PMM0279,1,1,1,0.047,| PMM0279 | hypothetical protein1110.047| PMM0279 | hypothetical protein
PMM0281,1,2,1,0.04,| hisB | imidazoleglycerol-phosphate dehydratase1210.04| hisB | imidazoleglycerol-phosphate dehydratase
PMM0282,8,10,8,0.288,| fabI | enoyl-(acyl carrier protein) reductase81080.288| fabI | enoyl-(acyl carrier protein) reductase
PMM0284,4,4,4,0.077,| degT | putative pleiotropic regulatory protein4440.077| degT | putative pleiotropic regulatory protein
PMM0285,2,2,2,0.029,| phr | putative DNA photolyase2220.029| phr | putative DNA photolyase
PMM0286,2,2,2,0.075,| PMM0286 | NUDIX hydrolase2220.075| PMM0286 | NUDIX hydrolase
PMM0287,2,2,0,0.086,| folK | 2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase2200.086| folK | 2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase
PMM0288,1,1,1,0.012,| chlD | protoporphyrin IX magnesium chelatase subunit ChlD1110.012| chlD | protoporphyrin IX magnesium chelatase subunit ChlD
PMM0289,1,1,1,0.043,| PMM0289 | putative ABC transporter1110.043| PMM0289 | putative ABC transporter
PMM0290,2,2,2,0.081,| PMM0290 | ABC transporter ATP-binding protein2220.081| PMM0290 | ABC transporter ATP-binding protein
PMM0291,1,1,1,0.018,| PMM0291 | hypothetical protein1110.018| PMM0291 | hypothetical protein
PMM0292,2,3,2,0.091,| ndhJ | NADH dehydrogenase subunit J2320.091| ndhJ | NADH dehydrogenase subunit J
PMM0294,1,1,1,0.058,| ndhC | NADH dehydrogenase subunit A1110.058| ndhC | NADH dehydrogenase subunit A
PMM0295,1,1,1,0.07,| rub | putative rubredoxin1110.07| rub | putative rubredoxin
PMM0298,1,1,1,0.277,| psbF | cytochrome b559 subunit beta1110.277| psbF | cytochrome b559 subunit beta
PMM0301,5,5,5,0.153,| PMM0301 | 5'-methylthioadenosine phosphorylase5550.153| PMM0301 | 5'-methylthioadenosine phosphorylase
PMM0302,5,6,5,0.07,| selD | selenide5650.07| selD | selenide
PMM0306,2,2,2,0.044,| cpeS | phycoerythrin linker protein CpeS-like protein2220.044| cpeS | phycoerythrin linker protein CpeS-like protein
PMM0310,1,1,1,0.02,| PMM0310 | carbohydrate kinase1110.02| PMM0310 | carbohydrate kinase
PMM0311,6,7,6,0.121,| metK | S-adenosylmethionine synthetase6760.121| metK | S-adenosylmethionine synthetase
PMM0312,11,13,11,0.275,| rps1a | 30S ribosomal protein S11113110.275| rps1a | 30S ribosomal protein S1
PMM0313,2,3,2,0.101,| nrdR | transcriptional regulator NrdR2320.101| nrdR | transcriptional regulator NrdR
PMM0315,13,20,13,0.174,| psbB | photosystem II PsbB protein (CP47)1320130.174| psbB | photosystem II PsbB protein (CP47)
PMM0317,1,1,1,0.18,| psbM | photosystem II reaction center protein M1110.18| psbM | photosystem II reaction center protein M
PMM0319,1,1,1,0.062,| PMM0319 | hypothetical protein1110.062| PMM0319 | hypothetical protein
PMM0320,10,10,10,0.491,| minE | cell division topological specificity factor MinE1010100.491| minE | cell division topological specificity factor MinE
PMM0321,4,5,4,0.144,| minD | putative septum site-determining protein MinD4540.144| minD | putative septum site-determining protein MinD
PMM0322,2,2,2,0.086,| minC | septum site-determining protein2220.086| minC | septum site-determining protein
PMM0323,4,6,4,0.091,| PMM0323 | hypothetical protein4640.091| PMM0323 | hypothetical protein
PMM0324,6,8,6,0.142,| ctpA | carboxyl-terminal protease6860.142| ctpA | carboxyl-terminal protease
PMM0327,3,3,3,0.077,| PMM0327 | putative neutral invertase-like protein3330.077| PMM0327 | putative neutral invertase-like protein
PMM0328,1,1,1,0.024,| FPG | formamidopyrimidine-DNA glycosylase1110.024| FPG | formamidopyrimidine-DNA glycosylase
PMM0329,1,1,1,0.13,| psaE | photosystem I reaction center subunit IV1110.13| psaE | photosystem I reaction center subunit IV
PMM0330,3,6,3,0.138,| PMM0330 | LysM domain-containing protein3630.138| PMM0330 | LysM domain-containing protein
PMM0331,2,2,2,0.037,| PMM0331 | putative aldehyde dehydrogenase2220.037| PMM0331 | putative aldehyde dehydrogenase
PMM0333,1,1,1,0.031,| rimI | GCN5-related N-acetyltransferase1110.031| rimI | GCN5-related N-acetyltransferase
PMM0338,2,2,2,0.121,| PMM0338 | hypothetical protein2220.121| PMM0338 | hypothetical protein
PMM0340,1,1,1,0.054,| PMM0340 | hypothetical protein1110.054| PMM0340 | hypothetical protein
PMM0341,2,2,2,0.408,| PMM0341 | hypothetical protein2220.408| PMM0341 | hypothetical protein
PMM0343,1,2,1,0.104,| PMM0343 | mttA/Hcf106 family protein1210.104| PMM0343 | mttA/Hcf106 family protein
PMM0345,1,1,1,0.067,| PMM0345 | putative bacterioferritin comigratory protein1110.067| PMM0345 | putative bacterioferritin comigratory protein
PMM0353,2,2,2,0.058,| PMM0353 | glycosyl transferase family protein2220.058| PMM0353 | glycosyl transferase family protein
PMM0354,1,1,1,0.043,| PMM0354 | glycosyl transferase1110.043| PMM0354 | glycosyl transferase
PMM0355,3,3,3,0.292,| PMM0355 | hypothetical protein3330.292| PMM0355 | hypothetical protein
PMM0356,4,4,4,0.117,| PMM0356 | 2-hydroxy-6-oxohepta-24440.117| PMM0356 | 2-hydroxy-6-oxohepta-2
PMM0359,1,1,1,0.135,| PMM0359 | hypothetical protein1110.135| PMM0359 | hypothetical protein
