Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 100 m suspended,Coverage (%) 965 m suspended,Coverage (%) 94 m sinking,Coverage (%) 965 m sinking,Area 100 m suspended,Area 965 m suspended,Area 94 m sinking,Area 965 m sinking,#Peptides,#Unique,#Spec 100 m suspended,#Spec 965 m suspended,#Spec 94 m sinking,#Spec 965 m sinking,PTM,Avg. Mass,Description
21,574,NP_100m_PROKKA_25090,231.42,72,72,0,0,0,3.61E7,,,,40,39,67,0,0,0,Sodium adduct; Deamidation (NQ); Mutation,7685,Photosystem I reaction center subunit IV
21,575,ETNP_140m_PROKKA_82407,231.42,72,72,0,0,0,3.61E7,,,,40,39,67,0,0,0,Sodium adduct; Deamidation (NQ); Mutation,7685,Photosystem I reaction center subunit IV
21,576,ETNP_100m_PROKKA_85480,231.42,72,72,0,0,0,3.61E7,,,,40,39,67,0,0,0,Sodium adduct; Deamidation (NQ); Mutation,7671,Photosystem I reaction center subunit IV
21,577,ETNP_120m_particle_PROKKA_46067,231.42,72,72,0,0,0,3.61E7,,,,40,39,67,0,0,0,Sodium adduct; Deamidation (NQ); Mutation,7685,Photosystem I reaction center subunit IV
7,11,ETNP_140m_PROKKA_125786,224.58,93,93,0,0,0,4.35E7,,,,71,3,110,0,0,0,Carbamidomethylation; Oxidation (M); Sodium adduct; Carbamylation; Pyro-glu from Q; Ubiquitin,12752,hypothetical protein
7,12,ETNP_110m_PROKKA_26060,224.58,93,93,0,0,0,4.35E7,,,,71,3,110,0,0,0,Carbamidomethylation; Oxidation (M); Sodium adduct; Carbamylation; Pyro-glu from Q; Ubiquitin,12752,hypothetical protein
7,13,ETNP_100m_particle_PROKKA_13293,224.58,93,93,0,0,0,4.35E7,,,,71,3,110,0,0,0,Carbamidomethylation; Oxidation (M); Sodium adduct; Carbamylation; Pyro-glu from Q; Ubiquitin,12752,hypothetical protein
7,16,ETNP_90m_PROKKA_180048,224.58,93,93,0,0,0,4.35E7,,,,71,3,110,0,0,0,Carbamidomethylation; Oxidation (M); Sodium adduct; Carbamylation; Pyro-glu from Q; Ubiquitin,12752,hypothetical protein
22,5,ETNP_90m_PROKKA_178606,224.40,68,68,0,0,0,5.82E6,,,,46,15,68,0,0,0,Sodium adduct; Formylation; Dihydroxy; Deamidation (NQ); Replacement of 2 protons by calcium; Mutation,29123,Photosystem II manganese-stabilizing polypeptide precursor
8,17,ETNP_90m_PROKKA_62874,223.83,94,93,11,0,0,2.97E7,0E0,,,72,4,108,1,0,0,Carbamidomethylation; Oxidation (M); Sodium adduct; Carbamylation; Acetylation (N-term); 2 more,12780,hypothetical protein
8,18,ETNP_110m_PROKKA_10944,223.83,94,93,11,0,0,2.97E7,0E0,,,72,4,108,1,0,0,Carbamidomethylation; Oxidation (M); Sodium adduct; Carbamylation; Acetylation (N-term); 2 more,12780,hypothetical protein
8,19,ETNP_140m_PROKKA_61974,223.83,94,93,11,0,0,2.97E7,0E0,,,72,4,108,1,0,0,Carbamidomethylation; Oxidation (M); Sodium adduct; Carbamylation; Acetylation (N-term); 2 more,12780,hypothetical protein
8,20,ETNP_100m_particle_PROKKA_129096,223.83,94,93,11,0,0,2.97E7,0E0,,,72,4,108,1,0,0,Carbamidomethylation; Oxidation (M); Sodium adduct; Carbamylation; Acetylation (N-term); 2 more,12780,hypothetical protein
20,6,ETNP_100m_PROKKA_57551,223.80,59,59,0,0,0,1.14E6,,,,42,2,67,0,0,0,Oxidation (M); Sodium adduct; Formylation; Deamidation (NQ); Replacement of 2 protons by calcium; Mutation,29257,Photosystem II manganese-stabilizing polypeptide precursor
27,7,ETNP_90m_PROKKA_17321,221.23,57,57,0,0,0,,,,,38,0,61,0,0,0,Oxidation (M); Sodium adduct; Formylation; Deamidation (NQ); Replacement of 2 protons by calcium,29344,Photosystem II manganese-stabilizing polypeptide precursor
37,24,ETNP_90m_PROKKA_15076,218.99,68,68,0,0,9,2.4E7,,,9.78E4,36,23,59,0,0,1,Carbamidomethylation; Oxidation (M); Dehydration; Sodium adduct; Formylation; 6 more,18407,C-phycoerythrin class 2 subunit beta
37,25,ETNP_120m_PROKKA_239025,218.99,68,68,0,0,9,2.4E7,,,9.78E4,36,23,59,0,0,1,Carbamidomethylation; Oxidation (M); Dehydration; Sodium adduct; Formylation; 6 more,18407,C-phycoerythrin class 2 subunit beta
37,26,ETNP_120m_free_PROKKA_182310,218.99,68,68,0,0,9,2.4E7,,,9.78E4,36,23,59,0,0,1,Carbamidomethylation; Oxidation (M); Dehydration; Sodium adduct; Formylation; 6 more,18407,C-phycoerythrin class 2 subunit beta
10,66,ETNP_100m_particle_PROKKA_144421,217.79,78,78,0,0,0,4.91E7,,,,58,43,90,0,0,0,Carbamidomethylation; Oxidation (M); Formylation; Propionamide (K  X@N-term); Deamidation (NQ); Mutation,17736,C-phycoerythrin class 2 subunit alpha
10,67,ETNP_120m_PROKKA_239026,217.79,78,78,0,0,0,4.91E7,,,,58,43,90,0,0,0,Carbamidomethylation; Oxidation (M); Formylation; Propionamide (K  X@N-term); Deamidation (NQ); Mutation,17736,C-phycoerythrin class 2 subunit alpha
10,68,ETNP_90m_PROKKA_15075,217.79,78,78,0,0,0,4.91E7,,,,58,43,90,0,0,0,Carbamidomethylation; Oxidation (M); Formylation; Propionamide (K  X@N-term); Deamidation (NQ); Mutation,17736,C-phycoerythrin class 2 subunit alpha
47,170,NP_85m_PROKKA_23185,211.38,57,57,0,8,0,3.18E7,,0E0,,36,36,48,0,1,0,Oxidation (M); Sodium adduct; Formylation; Deamidation (NQ); Tryptophan oxidation to kynurenin; Mutation,18036,Cytochrome c-550 precursor
47,171,ETNP14_68mB_PROKKA_05712,211.38,57,57,0,8,0,3.18E7,,0E0,,36,36,48,0,1,0,Oxidation (M); Sodium adduct; Formylation; Deamidation (NQ); Tryptophan oxidation to kynurenin; Mutation,18007,Cytochrome c-550 precursor
47,172,ETNP_100m_PROKKA_20700,211.38,57,57,0,8,0,3.18E7,,0E0,,36,36,48,0,1,0,Oxidation (M); Sodium adduct; Formylation; Deamidation (NQ); Tryptophan oxidation to kynurenin; Mutation,18007,Cytochrome c-550 precursor
4,194,XP_003061104,208.96,41,11,4,26,37,5.09E5,,4.41E6,7.25E7,92,41,8,2,36,138,Carbamidomethylation; Oxidation (M); Carbamylation; Oxidation or Hydroxylation; Pyro-glu from E; Mutation,41766,actin flagellar inner arm intermediate chain  Micromonas pusilla CCMP1545
64,1,ETNP_100m_particle_PROKKA_120141,202.68,45,42,3,0,0,5.55E6,,,,19,4,37,1,0,0,Dimethylation(KR); Amidation,51643,Glutamine synthetase
63,2,WP_036915357,200.80,38,36,3,0,0,1.24E6,,,,17,1,36,1,0,0,Carbamidomethylation; Dehydration; Dimethylation(KR); Deamidation (NQ); Pyro-glu from Q,52679,glutamine synthetase Prochlorococcus sp MIT 0701
63,3,WP_011129980,200.80,38,36,3,0,0,1.24E6,,,,17,1,36,1,0,0,Carbamidomethylation; Dehydration; Dimethylation(KR); Deamidation (NQ); Pyro-glu from Q,52689,glutamine synthetase Prochlorococcus marinus
60,152,WP_036913864,199.08,41,41,0,0,0,3.87E6,,,,27,3,40,0,0,0,Oxidation (M); Sodium adduct; Deamidation (NQ),29231,photosystem II manganese-stabilizing polypeptide Prochlorococcus
70,4,ETNP_110m_PROKKA_40292,196.46,50,47,3,0,0,9.62E4,,,,16,1,32,1,0,0,Carbamidomethylation; Dimethylation(KR); Amidation,45186,Glutamine synthetase
23,10,WP_011282064,196.30,57,46,37,0,2,,,,,46,0,36,30,0,1,Carbamidomethylation; Oxidation (M); Dehydration; Acetylation (K),37685,amino acid ABC transporter substrate-binding protein Candidatus Pelagibacter ubique
25,9,ETNP14_68maa_PROKKA_99193,195.46,57,44,41,0,3,,,,5.56E6,47,1,34,32,0,1,Carbamidomethylation; Oxidation (M); Carbamylation; Acetylation (K); Pyro-glu from Q; Levuglandinyl-lysine pyrrole adduct,37467,General L-amino acid-binding periplasmic protein AapJ precursor
29,8,ETNP14_68maa_PROKKA_162902,195.22,47,42,33,0,0,1.33E5,,,,41,1,36,25,0,0,Carbamidomethylation; Oxidation (M); Pyro-glu from Q,37294,General L-amino acid-binding periplasmic protein AapJ precursor
50,99,ETNP_90m_PROKKA_138320,191.21,46,46,0,0,0,1.35E7,,,,32,19,49,0,0,0,Oxidation (M); Formylation; Carbamylation; Dethiomethyl; Sulphone; Tyrosine oxidation to 2-aminotyrosine,18490,C-phycoerythrin class 2 subunit beta
11,33,XP_003062500,190.86,48,46,28,2,3,5.09E4,,,,78,3,77,31,1,3,Carbamidomethylation; Oxidation (M); Dehydration; Propionamide (K  X@N-term); Dethiomethyl,49730,alpha tubulin  Micromonas pusilla CCMP1545
11,34,XP_003058621,190.86,48,46,28,2,3,5.09E4,,,,78,3,77,31,1,3,Carbamidomethylation; Oxidation (M); Dehydration; Propionamide (K  X@N-term); Dethiomethyl,49730,alpha tubulin  Micromonas pusilla CCMP1545
33,27,ETNP14_120maa_PROKKA_25366,188.56,40,33,35,0,0,,,,,39,0,31,27,0,0,Carbamidomethylation; Oxidation (M); Pyro-glu from Q; Levuglandinyl-lysine pyrrole adduct; Mutation,37703,General L-amino acid-binding periplasmic protein AapJ precursor
12,36,XP_003080933,186.86,41,39,26,2,3,,,,,70,0,65,31,1,3,Carbamidomethylation; Oxidation (M); Dehydration; Dethiomethyl,52460,TBA_CHLVU Tubulin alpha chain ISS  Ostreococcus tauri
39,30,WP_018047900,185.89,26,14,20,1,0,5.11E6,1.54E6,2.22E4,,50,14,32,33,1,0,Oxidation (M); Oxidation (HW); Deamidation (NQ); Pyro-glu from Q; Deoxy; Mutation,133487,hypothetical protein Nitrospina sp AB-629-B18
13,44,XP_003082284,184.90,42,39,27,2,3,0E0,,,,68,1,66,31,1,3,Carbamidomethylation; Oxidation (M); Dehydration; Propionamide (K  X@N-term); Dethiomethyl,50099,TBA_CHLVU Tubulin alpha chain ISS  Ostreococcus tauri
31,62,NP_100m_PROKKA_12960,184.89,53,39,39,0,2,,,,,41,0,28,30,0,1,Carbamidomethylation; Oxidation (M); Dehydration; Acetylation (K),35769,General L-amino acid-binding periplasmic protein AapJ precursor
26,29,ETNP14_68mB_PROKKA_50287,184.23,87,87,0,0,10,9.56E5,,,5.69E4,52,4,70,0,0,1,Carbamidomethylation; Oxidation (M); Pyro-glu from Q; O-Isopropylmethylphosphonylation,13363,hypothetical protein
40,28,ETNP14_120maa_PROKKA_111366,184.18,46,40,31,0,0,,,,,36,0,32,24,0,0,Carbamidomethylation; Oxidation (M); Acetylation (K); Pyro-glu from Q,37337,General L-amino acid-binding periplasmic protein AapJ precursor
34,21,NP_85m_PROKKA_09530,183.76,46,37,33,0,0,1.15E4,,,,36,1,27,28,0,0,Carbamidomethylation; Carboxylation (DKW),36415,General L-amino acid-binding periplasmic protein AapJ precursor
41,624,ETNP_70m_PROKKA_142252,183.64,24,4,2,17,20,2.75E4,,6.31E5,2.26E7,39,18,2,1,14,54,Oxidation (M); Dehydration; Mutation,41848,Bacterial actin-related protein
24,140,ETNP_90m_PROKKA_61191,183.57,68,68,0,0,0,7.37E6,,,,38,9,70,0,0,0,Oxidation (M); Formylation; Amidation; Deamidation (NQ); Mutation,9826,DNA-binding protein HU
24,141,ETNP_160m_PROKKA_172610,183.57,68,68,0,0,0,7.37E6,,,,38,9,70,0,0,0,Oxidation (M); Formylation; Amidation; Deamidation (NQ); Mutation,9826,DNA-binding protein HU
24,142,ETNP_90m_PROKKA_53889,183.57,68,68,0,0,0,7.37E6,,,,38,9,70,0,0,0,Oxidation (M); Formylation; Amidation; Deamidation (NQ); Mutation,9826,DNA-binding protein HU
24,143,ETNP_140m_PROKKA_151089,183.57,68,68,0,0,0,7.37E6,,,,38,9,70,0,0,0,Oxidation (M); Formylation; Amidation; Deamidation (NQ); Mutation,9826,DNA-binding protein HU
24,145,WP_011130763,183.57,68,68,0,0,0,7.37E6,,,,38,9,70,0,0,0,Oxidation (M); Formylation; Amidation; Deamidation (NQ); Mutation,9826,DNA-binding protein Prochlorococcus
24,146,ETNP_100m_PROKKA_47820,183.57,68,68,0,0,0,7.37E6,,,,38,9,70,0,0,0,Oxidation (M); Formylation; Amidation; Deamidation (NQ); Mutation,9826,DNA-binding protein HU
24,147,ETNP_110m_PROKKA_13715,183.57,68,68,0,0,0,7.37E6,,,,38,9,70,0,0,0,Oxidation (M); Formylation; Amidation; Deamidation (NQ); Mutation,9826,DNA-binding protein HU
24,144,WP_011295240,183.57,68,68,0,0,0,7.37E6,,,,38,9,70,0,0,0,Oxidation (M); Formylation; Amidation; Deamidation (NQ); Mutation,9752,DNA-binding protein Prochlorococcus
58,91,ETNP14_68maa_PROKKA_166963,181.66,77,77,0,0,0,,,,,19,0,43,0,0,0,Carbamidomethylation; Oxidation (M); Formylation; Deamidation (NQ); Acetylation (Protein N-term); Formylation (Protein N-term),15623,Photosystem I reaction center subunit II
36,56,ETNP14_120maa_PROKKA_35044,180.54,59,52,44,0,0,,,,,34,0,28,25,0,0,Carbamidomethylation; Pyro-glu from Q; Mutation,22985,General L-amino acid-binding periplasmic protein AapJ precursor
54,55,ETNP_90m_PROKKA_24349,179.45,83,83,0,0,0,8.84E6,,,,20,3,47,0,0,0,Carbamidomethylation; Oxidation (M); Formylation; Dihydroxy; Deamidation (NQ); 2 more,15726,Photosystem I reaction center subunit II
74,69,ETNP_160m_PROKKA_115920,178.68,81,81,0,0,0,,,,,21,0,31,0,0,0,Pyro-glu from Q,12462,10 kDa chaperonin
74,70,ETNP_90m_PROKKA_150919,178.68,81,81,0,0,0,,,,,21,0,31,0,0,0,Pyro-glu from Q,12462,10 kDa chaperonin
74,79,ETNP_90m_PROKKA_165094,178.68,92,92,0,0,0,,,,,21,0,31,0,0,0,Pyro-glu from Q,10831,10 kDa chaperonin
74,80,ETNP_100m_PROKKA_21903,178.68,92,92,0,0,0,,,,,21,0,31,0,0,0,Pyro-glu from Q,10831,10 kDa chaperonin
74,81,ETNP_110m_PROKKA_01759,178.68,92,92,0,0,0,,,,,21,0,31,0,0,0,Pyro-glu from Q,10831,10 kDa chaperonin
74,82,ETNP14_68maa_PROKKA_182361,178.68,92,92,0,0,0,,,,,21,0,31,0,0,0,Pyro-glu from Q,10831,10 kDa chaperonin
30,86,ETNP_60m_PROKKA_04448,178.68,81,81,0,0,0,4.26E5,,,,47,1,65,0,0,0,Carbamidomethylation; Oxidation (M); Mutation,12354,hypothetical protein
30,87,WP_011293945,178.68,81,81,0,0,0,4.26E5,,,,47,1,65,0,0,0,Carbamidomethylation; Oxidation (M); Mutation,12354,transcriptional regulator Prochlorococcus
32,60,ETNP14_120maa_PROKKA_66447,178.66,45,37,30,0,0,,,,,34,0,30,25,0,0,Carbamidomethylation; Oxidation (M); Pyro-glu from Q,37413,General L-amino acid-binding periplasmic protein AapJ precursor
38,35,ETNP14_68maa_PROKKA_64086,178.56,40,36,25,0,0,,,,,33,0,32,21,0,0,Carbamidomethylation; Oxidation (M); Pyro-glu from Q,37979,General L-amino acid-binding periplasmic protein AapJ precursor
51,38,ETNP14_68mB_PROKKA_183810,178.38,64,61,36,0,0,,,,,29,0,28,18,0,0,Carbamidomethylation; Pyro-glu from Q,19715,General L-amino acid-binding periplasmic protein AapJ precursor
51,39,ETNP14_120mab_PROKKA_36093,178.24,56,54,33,0,0,,,,,29,0,27,19,0,0,Carbamidomethylation; Pyro-glu from Q,22870,General L-amino acid-binding periplasmic protein AapJ precursor
28,40,ETNP14_68maa_PROKKA_75202,177.82,48,42,34,0,0,1.08E7,5.83E6,,,45,21,27,36,0,0,Carbamidomethylation; Oxidation (M); Oxidation (HW),49437,Selenate reductase subunit beta
28,41,WP_018047899,177.82,48,42,34,0,0,1.08E7,5.83E6,,,45,21,27,36,0,0,Carbamidomethylation; Oxidation (M); Oxidation (HW),49419,hypothetical protein Nitrospina sp AB-629-B18
28,42,NP_85m_PROKKA_04529,177.82,48,42,34,0,0,1.08E7,5.83E6,,,45,21,27,36,0,0,Carbamidomethylation; Oxidation (M); Oxidation (HW),49419,Selenate reductase subunit beta
53,64,ETNP14_68mB_PROKKA_95524,176.68,54,47,34,0,0,,,,,31,0,27,20,0,0,Carbamidomethylation; Oxidation (M),27000,General L-amino acid-binding periplasmic protein AapJ precursor
44,89,ETNP14_120maa_PROKKA_142729,176.37,57,48,46,0,0,,,,,32,0,23,26,0,0,Carbamidomethylation,22916,General L-amino acid-binding periplasmic protein AapJ precursor
55,63,ETNP14_68maa_PROKKA_181927,176.14,61,57,33,0,0,,,,,30,0,26,19,0,0,Carbamidomethylation,22930,General L-amino acid-binding periplasmic protein AapJ precursor
45,73,ETNP14_120maa_PROKKA_147886,175.98,43,36,26,0,3,,,,,34,0,27,24,0,1,Carbamidomethylation; Oxidation (M); Pyro-glu from Q,37502,General L-amino acid-binding periplasmic protein AapJ precursor
43,77,ETNP14_68maa_PROKKA_79872,175.95,43,34,31,0,3,,,,,31,0,22,25,0,1,Carbamidomethylation; Oxidation (M),32890,General L-amino acid-binding periplasmic protein AapJ precursor
66,97,ETNP14_120mab_PROKKA_51545,174.72,50,36,42,0,0,,1.71E5,,,29,2,18,18,0,0,Carbamidomethylation; Oxidation (M); Pyro-glu from Q; Mutation,25279,General L-amino acid-binding periplasmic protein AapJ precursor
42,90,ETNP_120m_PROKKA_313997,173.59,37,30,25,0,3,,,,,32,0,26,24,0,1,Carbamidomethylation; Oxidation (M); Pyro-glu from Q; Mutation,37469,General L-amino acid-binding periplasmic protein AapJ precursor
67,114,WP_036911259,173.18,69,69,0,0,0,,,,,16,0,34,0,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),15782,photosystem I reaction center subunit II Prochlorococcus
67,115,WP_011131077,173.18,69,69,0,0,0,,,,,16,0,34,0,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),15752,photosystem I protein PsaD Prochlorococcus marinus
67,116,ETNP_120m_free_PROKKA_147575,173.18,69,69,0,0,0,,,,,16,0,34,0,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),15782,Photosystem I reaction center subunit II
48,186,ETNP_100m_particle_PROKKA_45033,172.80,50,50,0,0,0,,,,,36,0,52,0,0,0,Carbamidomethylation; Oxidation (M),13968,hypothetical protein
48,187,ETNP_90m_PROKKA_81200,172.80,50,50,0,0,0,,,,,36,0,52,0,0,0,Carbamidomethylation; Oxidation (M),13968,hypothetical protein
48,188,ETNP_120m_PROKKA_207479,172.80,50,50,0,0,0,,,,,36,0,52,0,0,0,Carbamidomethylation; Oxidation (M),13968,hypothetical protein
48,189,ETNP_120m_free_PROKKA_153271,172.80,50,50,0,0,0,,,,,36,0,52,0,0,0,Carbamidomethylation; Oxidation (M),13968,hypothetical protein
35,161,ETNP_120m_PROKKA_328578,171.81,64,64,0,0,0,1.04E6,,,,31,2,57,0,0,0,Oxidation (M); Formylation; Mutation,9884,DNA-binding protein HU 1
35,162,ETNP_100m_particle_PROKKA_148077,171.81,64,64,0,0,0,1.04E6,,,,31,2,57,0,0,0,Oxidation (M); Formylation; Mutation,9884,DNA-binding protein HU 1
35,163,ETNP_90m_PROKKA_82892,171.81,64,64,0,0,0,1.04E6,,,,31,2,57,0,0,0,Oxidation (M); Formylation; Mutation,9884,DNA-binding protein HU 1
35,158,ETNP_100m_particle_PROKKA_68767,172.30,65,65,0,0,0,1.28E6,,,,32,3,58,0,0,0,Oxidation (M); Formylation; Mutation,9840,DNA-binding protein HU
35,159,ETNP_140m_PROKKA_20457,172.30,65,65,0,0,0,1.28E6,,,,32,3,58,0,0,0,Oxidation (M); Formylation; Mutation,9840,DNA-binding protein HU
46,173,ETNP14_120maa_PROKKA_173526,170.94,50,38,44,0,0,,1.16E5,,,29,2,19,27,0,0,Carbamidomethylation,22868,General L-amino acid-binding periplasmic protein AapJ precursor
73,137,ETNP_100m_PROKKA_27346,170.19,34,27,28,0,0,,,,,26,0,16,16,0,0,Carbamidomethylation; Oxidation (M),30921,General L-amino acid-binding periplasmic protein AapJ precursor
52,78,ETNP14_68maa_PROKKA_67735,168.77,69,69,0,0,0,4.4E5,,,,37,1,53,0,0,0,Oxidation (M); Mutation,12780,hypothetical protein
78,75,ETNP_120m_PROKKA_272803,168.07,81,81,0,0,0,1.7E6,,,,20,1,30,0,0,0,Pyro-glu from Q,12446,10 kDa chaperonin
78,76,ETNP_100m_particle_PROKKA_95343,168.07,81,81,0,0,0,1.7E6,,,,20,1,30,0,0,0,Pyro-glu from Q,12446,10 kDa chaperonin
78,88,ETNP_140m_PROKKA_16312,168.07,92,92,0,0,0,1.7E6,,,,20,1,30,0,0,0,Pyro-glu from Q,10815,10 kDa chaperonin
72,85,ETNP14_120mab_PROKKA_93722,168.07,65,60,32,0,0,5.82E5,,,,25,1,19,12,0,0,Carbamidomethylation; Pyro-glu from Q,19778,General L-amino acid-binding periplasmic protein AapJ precursor
101,31,WP_011127938,162.80,27,27,0,0,0,1.06E4,,,,12,1,19,0,0,0,,52468,glutamine synthetase Synechococcus sp WH 8102
56,208,Fosmid_PROKKA_01487,162.55,34,24,27,0,0,,,,,27,0,18,25,0,0,Carbamidomethylation; Oxidation (M),37431,General L-amino acid-binding periplasmic protein AapJ precursor
69,125,ETNP_120m_PROKKA_17226,161.38,30,17,25,0,0,2.6E6,1.78E6,,,23,5,16,19,0,0,Oxidation (M); Deamidation (NQ),39122,Chlorate reductase subunit gamma precursor
115,167,ETNP_90m_PROKKA_203806,159.08,66,66,0,0,0,,,,,16,0,20,0,0,0,,12346,10 kDa chaperonin
115,168,ETNP_120m_PROKKA_56512,159.08,66,66,0,0,0,,,,,16,0,20,0,0,0,,12346,10 kDa chaperonin
115,169,ETNP_120m_free_PROKKA_36507,159.08,66,66,0,0,0,,,,,16,0,20,0,0,0,,12346,10 kDa chaperonin
82,180,ETNP14_68mB_PROKKA_64035,158.87,53,53,0,0,0,1.81E7,,,,19,19,26,0,0,0,Methylation(KR); Deamidation (NQ); Deoxy; Mutation,19236,Secreted effector protein pipB2
98,149,ETNP_70m_PROKKA_13039,158.37,75,75,0,0,0,,,,,16,0,23,0,0,0,,10877,10 kDa chaperonin
98,153,WP_036905521,158.37,75,75,0,0,0,,,,,16,0,23,0,0,0,,10891,chaperonin Prochlorococcus
71,178,WP_042251421,158.33,19,11,13,0,0,0E0,,,,32,1,18,21,0,0,Oxidation (HW); Pyro-glu from Q; 2-amino-3-oxo-butanoic_acid; Mutation,131969,nitrate oxidoreductase subunit alpha  partial Nitrospina gracilis
87,257,ETNP14_68mB_PROKKA_31228,157.96,36,18,32,0,0,,3.23E4,,,23,1,9,18,0,0,Carbamidomethylation; Deamidation (NQ),24962,General L-amino acid-binding periplasmic protein AapJ precursor
83,46,ETNP_90m_PROKKA_37981,157.22,28,27,0,0,1,7.71E3,,,,14,1,25,0,0,1,Carbamidomethylation; Amidation; Deamidation (NQ),52721,Glutamine synthetase
49,214,ETNP_100m_particle_PROKKA_82300,156.87,92,83,62,8,11,1.64E7,1.26E6,4.56E5,1.54E6,38,25,32,15,1,4,Carbamidomethylation; Oxidation (M); Mutation,14624,Tubulin/FtsZ family  GTPase domain
75,795,WP_038543228,156.30,34,34,0,0,0,2.84E6,,,,19,4,28,0,0,0,Carbamidomethylation; Formylation; Oxidation or Hydroxylation; Mutation,17823,bleomycin hydrolase Synechococcus sp KORDI-100
77,123,NP_85m_PROKKA_04528,155.38,25,15,16,0,0,2.78E4,9.18E4,,,29,2,22,15,0,0,Oxidation (M); Mutation,95451,Perchlorate reductase subunit alpha precursor
77,124,ETNP14_120maa_PROKKA_56104,155.38,24,15,16,0,0,2.78E4,9.18E4,,,29,2,22,15,0,0,Oxidation (M); Mutation,96721,Perchlorate reductase subunit alpha precursor
57,567,ETNP_100m_particle_PROKKA_55047,155.04,36,13,0,36,36,6.35E5,,2.26E7,3.76E7,23,23,2,0,28,24,Methylation(others); Pyro-glu from Q,9588,hypothetical protein
62,200,WP_027307190,153.12,27,23,15,0,0,0E0,,,,19,1,21,15,0,0,Carbamidomethylation; Oxidation (M); Pyro-glu from Q; Mutation,37246,amino acid ABC transporter substrate-binding protein Candidatus Pelagibacter ubique
