Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 1: 273 4-19_965m_top+p,Area Sample 1: 273 4-19_965m_top+p,#Peptides,#Unique,#Spec Sample 1: 273 4-19_965m_top+p,PTM,Avg. Mass,Description
15,2747,XP_003058621,71.26,15,15,5.07E6,7,5,7,Carbamidomethylation,49730,alpha tubulin  Micromonas pusilla CCMP1545
16,17535,WP_011219116.1,70.59,11,11,6.46E6,7,7,7,,60785,30S ribosomal protein S1 [Photobacterium profundum]
34,17450,WP_011467412.1,69.21,9,9,1.07E6,4,1,4,,44287,elongation factor Tu [Saccharophagus degradans]
32,17451,ETNP_90,67.77,9,9,3.03E6,4,1,4,,43421,Elongation factor Tu
32,17452,CAI87946.1,67.77,9,9,3.03E6,4,1,4,,43281,protein chain elongation factor EF-Tu; possible GTP-binding factor (duplicate of tufA) [Pseudoalteromonas haloplanktis TAC125]
61,23995,CAI88039.1,66.76,5,5,5.49E5,3,2,3,,55387,membrane-bound ATP synthase  F1 sector  alpha-subunit [Pseudoalteromonas haloplanktis TAC125]
21,469,ETNP_70,66.33,23,23,3.36E7,5,5,6,,13534,Core histone H2A/H2B/H3/H4
42,17700,ETNP_100,63.75,6,6,1.97E6,4,4,4,,25376,Fructose-bisphosphate aldolase class 1
42,17702,ETNP14_120,63.75,4,4,1.97E6,4,4,4,,37421,fructose-1 6-bisphosphate aldolase
42,17694,ETNP_100,63.75,7,7,1.97E6,4,4,4,,24101,Fructose-bisphosphate aldolase class 1
42,17701,ETNP14_68,63.75,4,4,1.97E6,4,4,4,,37324,fructose-1 6-bisphosphate aldolase
42,17755,ETNP_120,63.75,8,8,1.97E6,4,4,4,,19706,Fructose-bisphosphate aldolase class 1
48,17543,XP_002180656,62.99,4,4,2.09E6,3,2,3,,49747,predicted protein  Phaeodactylum tricornutum CCAP 1055
13,2742,ETNP14_120,61.34,6,6,1.36E6,5,1,8,,42383,Bacterial actin-related protein
99,24005,ABQ30305.1,61.02,4,4,1.09E5,2,1,2,,59082,isocitrate lyase [Acidiphilium cryptum JF-5]
36,17485,NP_300,59.52,7,7,1.85E6,4,2,4,,43058,Elongation factor Tu
28,17527,ETNP_100,58.39,37,37,1.61E6,5,1,5,,7412,Core histone H2A/H2B/H3/H4
43,24015,XP_003063038,57.54,34,34,1.18E7,4,4,4,,11395,predicted protein  Micromonas pusilla CCMP1545
43,24016,ETNP_90,57.54,34,34,1.18E7,4,4,4,,11367,Core histone H2A/H2B/H3/H4
43,24017,ETNP_70,57.54,34,34,1.18E7,4,4,4,,11395,Core histone H2A/H2B/H3/H4
43,24018,ETNP_70,57.54,34,34,1.18E7,4,4,4,,11367,Core histone H2A/H2B/H3/H4
43,24019,XP_002179286,57.54,34,34,1.18E7,4,4,4,,11383,histone H4 isoform 1b  Phaeodactylum tricornutum CCAP 1055
43,24020,EJK69577,57.54,34,34,1.18E7,4,4,4,,11383,hypothetical protein THAOC_09145  Thalassiosira oceanica
43,24021,XP_003061514,57.54,34,34,1.18E7,4,4,4,,11395,histone H4  Micromonas pusilla CCMP1545
43,24022,ETNP_120,57.54,34,34,1.18E7,4,4,4,,11365,Core histone H2A/H2B/H3/H4
43,24023,ETNP14_68,57.54,34,34,1.18E7,4,4,4,,11367,Core histone H2A/H2B/H3/H4
43,24024,XP_002179505,57.54,34,34,1.18E7,4,4,4,,11383,histone H4 isoform 1a  Phaeodactylum tricornutum CCAP 1055
43,24025,XP_003061756,57.54,34,34,1.18E7,4,4,4,,11395,predicted protein  Micromonas pusilla CCMP1545
43,24026,XP_003059520,57.54,34,34,1.18E7,4,4,4,,11395,predicted protein  Micromonas pusilla CCMP1545
43,24027,ETNP_100,57.54,34,34,1.18E7,4,4,4,,11381,Core histone H2A/H2B/H3/H4
43,24028,EJK72475,57.54,30,30,1.18E7,4,4,4,,13036,hypothetical protein THAOC_05990  Thalassiosira oceanica
43,24029,XP_003074685,57.54,12,12,1.18E7,4,4,4,,31136,Histone H4 ISS  Ostreococcus tauri
43,24030,EJK63755,57.54,9,9,1.18E7,4,4,4,,39773,hypothetical protein THAOC_15573 partial  Thalassiosira oceanica
35,17478,CAG23776.1,57.26,46,46,2.17E6,4,2,4,,7451,putative Cold shock-like protein [Photobacterium profundum SS9]
35,17480,CAG23638.1,57.26,31,31,2.17E6,4,2,4,,11551,putative cold shock protein [Photobacterium profundum SS9]
70,17502,ETNP_100,56.01,13,13,1.21E6,3,2,3,,21500,Malate dehydrogenase
70,17503,NP_300,56.01,8,8,1.21E6,3,2,3,,31989,Malate dehydrogenase
70,17505,ETNP14_120,56.01,8,8,1.21E6,3,2,3,,32064,Malate dehydrogenase
70,17506,ETNP14_120,56.01,8,8,1.21E6,3,2,3,,32162,Malate dehydrogenase
70,17507,ETNP14_120,56.01,8,8,1.21E6,3,2,3,,32168,Malate dehydrogenase
64,8327,XP_002181593,51.74,5,5,7.32E6,3,3,3,,48056,predicted protein  Phaeodactylum tricornutum CCAP 1055
64,8328,XP_002186303,51.74,5,5,7.32E6,3,3,3,,48082,translation elongation factor EF-1 alpha subunit  Phaeodactylum tricornutum CCAP 1055
51,17464,ABA58784.1,51.51,6,6,,3,0,3,,43674,Translation elongation factor Tu [Nitrosococcus oceani ATCC 19707]
51,17465,ABA58796.1,51.51,6,6,,3,0,3,,43674,translation elongation factor 1A (EF-1A/EF-Tu) [Nitrosococcus oceani ATCC 19707]
51,17467,NP_125,51.51,6,6,,3,0,3,,43465,Elongation factor Tu
51,17468,NP_300,51.51,6,6,,3,0,3,,43409,Elongation factor Tu
493,8329,ETNP_100,50.66,35,35,2.25E6,1,1,1,,3855,hypothetical protein
493,8279,ETNP_100,50.66,26,26,2.25E6,1,1,1,,5311,hypothetical protein
110,17625,WP_015068149,49.75,7,7,2.09E5,2,1,2,,32269,malate dehydrogenase Alteromonas mediterranea
657,24014,ETNP_120,49.32,3,3,1.37E5,1,1,1,,47985,Enolase
38,17588,ETNP_150,48.72,64,64,,4,0,4,Carbamidomethylation,4626,Tubulin/FtsZ family  GTPase domain
65,17661,WP_012516958,48.59,16,16,1.96E6,3,3,3,,22038,50S ribosomal protein L4 Alteromonas
154,24032,WP_012624320,47.75,11,11,6.95E5,2,2,2,,18735,50S ribosomal protein L17 Desulfovibrio desulfuricans
155,17685,XP_003055830,46.69,4,4,3.26E5,2,1,2,,37439,malate dehydrogenase  Micromonas pusilla CCMP1545
109,18096,KHE90725,46.66,2,2,6.07E6,2,2,2,,120220,carbamoyl-phosphate synthase large subunit Candidatus Scalindua brodae
140,24059,ABQ68792.1,45.28,1,1,1.13E7,2,2,2,,77118,AsmA family protein [Sphingomonas wittichii RW1]
495,24035,ETNP_60,44.69,14,14,1.04E6,1,1,1,,10922,Flavodoxin
376,24011,XP_003057685,41.68,6,6,2.73E5,1,1,1,,25825,predicted protein  Micromonas pusilla CCMP1545
376,24036,XP_003078664,41.68,11,11,2.73E5,1,1,1,,13574,Putative 40S ribosomal protein; contains C-terminal domain ISS  Ostreococcus tauri
494,18480,BAI71019.1,41.34,2,2,2.33E5,1,1,1,,69461,molecular chaperone [Azospirillum sp. B510]
100,24053,EJK49298,40.87,3,3,9.02E5,2,1,2,,78026,hypothetical protein THAOC_31850  Thalassiosira oceanica
156,24907,XP_003060231,40.78,4,4,2.85E6,2,2,2,,39933,predicted protein  Micromonas pusilla CCMP1545
116,17662,NP_125,40.68,6,6,0E0,2,1,2,,43578,Elongation factor Tu
116,17658,NP_100,40.68,6,6,0E0,2,1,2,,40264,Elongation factor Tu
66,9586,ETNP_120,40.46,6,6,6.49E5,3,3,3,,38127,4-aminobutyrate aminotransferase PuuE
66,9588,ETNP_160,40.46,5,5,6.49E5,3,3,3,,48455,4-aminobutyrate aminotransferase PuuE
141,24067,WP_011468678.1,40.36,5,5,2.47E4,2,2,2,,59877,flagellar biosynthesis protein FliC [Saccharophagus degradans]
33,24092,EJK73666,40.09,1,1,3.41E6,4,3,4,,295143,hypothetical protein THAOC_04698 partial  Thalassiosira oceanica
71,17521,WP_011587707.1,39.67,11,11,2.18E6,3,3,3,,23659,MULTISPECIES: 30S ribosomal protein S4 [Alcanivorax]
71,17518,WP_006232362.1,39.67,11,11,2.18E6,3,3,3,,23312,30S ribosomal protein S4 [Photobacterium profundum]
71,17522,WP_011467465.1,39.67,11,11,2.18E6,3,3,3,,23276,30S ribosomal protein S4 [Saccharophagus degradans]
71,17520,CAI87844.1,39.67,11,11,2.18E6,3,3,3,,23483,30S ribosomal subunit protein S4 [Pseudoalteromonas haloplanktis TAC125]
142,17622,WP_011219211.1,38.23,13,13,7.38E5,2,2,2,,18750,peptidoglycan-associated lipoprotein [Photobacterium profundum]
496,24054,ETNP_120,37.76,3,3,5.08E5,1,1,1,,33010,hypothetical protein
496,24057,ETNP14_120,37.76,10,10,5.08E5,1,1,1,,7819,hypothetical protein
75,25000,ETNP14_68,37.55,6,6,4.37E6,2,1,3,,34002,Adenosylhomocysteinase
132,25002,ABF65567.1,36.79,5,5,0E0,2,1,2,,50668,adenosylhomocysteinase [Ruegeria sp. TM1040]
658,24058,WP_011220086.1,36.78,5,5,1.24E5,1,1,1,,34332,branched chain amino acid aminotransferase [Photobacterium profundum]
101,8398,NP_868707,36.38,3,3,1.98E5,2,2,2,Oxidation (M),99459,ClpB protein Rhodopirellula baltica SH 1
57,24076,ETNP_90,36.09,4,4,3.4E6,2,1,3,,44937,Aconitate hydratase 1
111,17879,WP_013263018,35.64,3,3,2.17E6,2,2,2,,86843,RND transporter gamma proteobacterium HdN1
54,24080,XP_003055985,35.56,4,4,3.98E5,3,2,3,,72977,luminal binding heat shock protein 70  Micromonas pusilla CCMP1545
143,24250,ETNP_120,35.20,14,14,4.89E5,2,2,2,,14965,Trigger factor
74,25149,EJK75456,34.56,1,1,1.37E7,2,2,3,,161279,hypothetical protein THAOC_02818  Thalassiosira oceanica
150,26675,XP_002176796,33.90,2,2,3.99E5,2,2,2,,48846,acyl-coenzyme A dehydrogenase  Phaeodactylum tricornutum CCAP 1055
117,24120,WP_041324270.1,33.56,9,9,1.52E6,2,2,2,,20288,50S ribosomal protein L5 [Saccharophagus degradans]
117,25154,ETNP14_68,33.56,9,9,1.52E6,2,2,2,,20599,50S ribosomal protein L5
25,17898,ETNP14_120,33.39,11,11,3.38E6,1,1,6,Oxidation (M),8250,hypothetical protein
660,17805,EAQ03668.1,33.27,2,2,1.14E6,1,1,1,,40288,oligopeptide/dipeptide uptake family ABC transporter  permease protein [Pseudooceanicola batsensis HTCC2597]
660,17768,EAQ03737.1,33.27,2,2,1.14E6,1,1,1,,45292,folC bifunctional protein [Pseudooceanicola batsensis HTCC2597]
56,24082,ETNP_70,33.11,4,4,2.79E8,3,2,3,Oxidation (M),70706,Chaperone protein DnaK
661,24063,ETNP_90,33.10,11,11,1.04E6,1,1,1,,8625,hypothetical protein
661,24064,ETNP_90,33.10,8,8,1.04E6,1,1,1,,11710,hypothetical protein
158,25155,CAI86879.1,32.89,31,31,9.36E5,2,2,2,,8758,acyl carrier protein [Pseudoalteromonas haloplanktis TAC125]
497,24062,ACY16045.1,32.82,1,1,1.32E6,1,1,1,,57474,serine/threonine protein kinase [Haliangium ochraceum DSM 14365]
377,22758,WP_009779071.1,32.82,1,1,1.82E6,1,1,1,,64094,MFS transporter [Leeuwenhoekiella blandensis]
296,24055,ETNP_60,32.67,2,2,2.21E5,1,1,1,,55786,Acetolactate synthase large subunit
296,24071,ETNP_300,32.67,7,7,2.21E5,1,1,1,,12519,hypothetical protein
296,24072,ETNP_180,32.67,7,7,2.21E5,1,1,1,,12519,hypothetical protein
296,24073,ETNP_160,32.67,3,3,2.21E5,1,1,1,,28092,Bifunctional IPC transferase and DIPP synthase
498,24235,ETNP_70,32.26,4,4,1.54E5,1,1,1,,48631,60 kDa chaperonin
122,24375,ETNP14_68,32.23,1,1,3.45E5,2,1,2,,62539,Cysteine desulfurase
122,25196,ETNP14_68,32.23,2,2,3.45E5,2,1,2,,45657,Cysteine desulfurase
122,26706,ETNP_90,32.23,5,5,3.45E5,2,1,2,,19831,putative metallo-hydrolase
122,26709,ETNP_70,32.23,4,4,3.45E5,2,1,2,,23229,putative metallo-hydrolase
122,26710,ETNP_100,32.23,4,4,3.45E5,2,1,2,,24664,hypothetical protein
122,26711,ETNP_120,32.23,4,4,3.45E5,2,1,2,,24664,hypothetical protein
122,26712,ETNP_120,32.23,4,4,3.45E5,2,1,2,,24664,hypothetical protein
122,26714,ETNP14_68,32.23,3,3,3.45E5,2,1,2,,28040,3-deoxy-manno-octulosonate cytidylyltransferase
85,24083,virus_CCADEAMM_18053,32.00,1,1,1.35E7,2,2,2,,353691,hypothetical protein
151,26720,NP_30,31.82,2,2,6.08E5,2,1,2,,39807,Glutamate-pyruvate aminotransferase AlaA
72,24317,ACL65946.1,31.78,7,7,1.59E6,3,3,3,Carbamidomethylation,46331,flagellar hook-associated protein FlgK [Anaeromyxobacter dehalogenans 2CP-1]
182,24061,CAN95623.1,31.65,2,2,1.74E5,1,1,1,,84575,Collagen alpha 2(I) chain precursor [Sorangium cellulosum So ce56]
30,24087,XP_003074830,31.33,0,0,3.55E6,2,2,4,,1268732,COG3321 Polyketide synthase modules and related proteins ISS  Ostreococcus tauri
144,25199,ABE39788.1,31.25,4,4,9.51E5,2,2,2,,36458,Lysine-arginine-ornithine-binding periplasmic protein [Rhodopseudomonas palustris BisB5]
144,18043,WP_011218872.1,31.25,4,4,9.51E5,2,2,2,,36725,amino acid ABC transporter substrate-binding protein [Photobacterium profundum]
144,26730,WP_012563200,31.25,4,4,9.51E5,2,2,2,,36856,amino acid ABC transporter substrate-binding protein Oligotropha carboxidovorans
144,26731,ETNP14_68,31.25,4,4,9.51E5,2,2,2,,36302,General L-amino acid-binding periplasmic protein AapJ precursor
662,25103,ACL71539.1,31.17,2,2,2.04E6,1,1,1,,86372,heavy metal translocating P-type ATPase [Thioalkalivibrio sulfidiphilus HL-EbGr7]
500,24776,NP_100,30.90,5,5,3.53E5,1,1,1,,26123,Glyceraldehyde-3-phosphate dehydrogenase A
500,24777,NP_300,30.90,4,4,3.53E5,1,1,1,,36219,Glyceraldehyde-3-phosphate dehydrogenase A
500,24778,NP_85,30.90,4,4,3.53E5,1,1,1,,36205,Glyceraldehyde-3-phosphate dehydrogenase A
500,24779,NP_125,30.90,4,4,3.53E5,1,1,1,,36218,Glyceraldehyde-3-phosphate dehydrogenase A
663,25105,ETNP_100,30.75,4,4,1.4E6,1,1,1,,26952,hypothetical protein
427,24973,ETNP14_120,30.43,3,3,0E0,1,1,1,,35818,MMPL family protein
73,24340,ETNP14_120,29.90,3,3,2.01E6,2,2,3,,55040,Polysulphide reductase  NrfD
341,17665,ETNP14_68,29.72,10,10,2.37E6,1,1,1,,8815,50S ribosomal protein L7/L12
341,17666,ETNP14_68,29.72,7,7,2.37E6,1,1,1,,13237,50S ribosomal protein L7/L12
341,17786,ETNP14_120,29.72,8,8,2.37E6,1,1,1,,11741,50S ribosomal protein L7/L12
341,17787,WP_011467406.1,29.72,7,7,2.37E6,1,1,1,,12664,50S ribosomal protein L7/L12 [Saccharophagus degradans]
341,17788,ETNP14_68,29.72,7,7,2.37E6,1,1,1,,13448,50S ribosomal protein L7/L12
341,17789,ETNP14_120,29.72,7,7,2.37E6,1,1,1,,13532,50S ribosomal protein L7/L12
341,17808,ETNP14_120,29.72,7,7,2.37E6,1,1,1,,12886,50S ribosomal protein L7/L12
341,17855,ETNP14_68,29.72,7,7,2.37E6,1,1,1,,13190,50S ribosomal protein L7/L12
341,17843,ETNP14_68,29.72,18,18,2.37E6,1,1,1,,5172,50S ribosomal protein L7/L12
341,17844,ETNP14_68,29.72,14,14,2.37E6,1,1,1,,6711,50S ribosomal protein L7/L12
341,17845,ETNP14_120,29.72,14,14,2.37E6,1,1,1,,6697,50S ribosomal protein L7/L12
341,17846,ETNP14_120,29.72,14,14,2.37E6,1,1,1,,6711,50S ribosomal protein L7/L12
341,17856,ETNP14_120,29.72,7,7,2.37E6,1,1,1,,13252,50S ribosomal protein L7/L12
341,17857,ETNP14_68,29.72,7,7,2.37E6,1,1,1,,13252,50S ribosomal protein L7/L12
341,17802,ETNP14_68,29.72,26,26,2.37E6,1,1,1,,3570,50S ribosomal protein L7/L12
341,17848,ACL73412.1,29.72,7,7,2.37E6,1,1,1,,12865,50S ribosomal protein L7/L12 [Thioalkalivibrio sulfidiphilus HL-EbGr7]
341,17806,ETNP14_120,29.72,18,18,2.37E6,1,1,1,,5106,50S ribosomal protein L7/L12
341,17663,ETNP14_120,29.72,14,14,2.37E6,1,1,1,,6656,50S ribosomal protein L7/L12
341,17847,ETNP14_120,29.72,9,9,2.37E6,1,1,1,,10205,50S ribosomal protein L7/L12
341,17849,ETNP14_68,29.72,7,7,2.37E6,1,1,1,,13022,50S ribosomal protein L7/L12
341,17850,NP_300,29.72,7,7,2.37E6,1,1,1,,13036,50S ribosomal protein L7/L12
341,17851,NP_85,29.72,7,7,2.37E6,1,1,1,,13036,50S ribosomal protein L7/L12
341,17852,ETNP14_120,29.72,7,7,2.37E6,1,1,1,,12835,50S ribosomal protein L7/L12
341,17853,NP_100,29.72,7,7,2.37E6,1,1,1,,13036,50S ribosomal protein L7/L12
341,17854,ETNP14_68,29.72,7,7,2.37E6,1,1,1,,12894,50S ribosomal protein L7/L12
341,17664,ETNP14_68,29.72,7,7,2.37E6,1,1,1,,12923,50S ribosomal protein L7/L12
341,17807,NP_85,29.72,7,7,2.37E6,1,1,1,,12945,50S ribosomal protein L7/L12
341,17858,ETNP14_68,29.72,7,7,2.37E6,1,1,1,,13482,50S ribosomal protein L7/L12
341,17859,ETNP14_68,29.72,7,7,2.37E6,1,1,1,,13511,50S ribosomal protein L7/L12
341,17860,NP_85,29.72,7,7,2.37E6,1,1,1,,13511,50S ribosomal protein L7/L12
76,140,CAN91477.1,29.69,2,2,1.41E8,1,1,3,,56854,hypothetical protein sce1319 [Sorangium cellulosum So ce56]
119,24157,CAN95405.1,28.81,1,1,2.83E7,2,2,2,,208167,hypothetical protein sce5242 [Sorangium cellulosum So ce56]
506,25140,ETNP14_68,28.79,2,2,2.64E6,1,1,1,,43540,thiamine biosynthesis protein ThiI
436,25141,ETNP14_68,28.71,6,6,0E0,1,1,1,Carbamidomethylation,15912,hypothetical protein
120,24187,WP_053951715,28.62,2,2,2.67E6,2,2,2,Oxidation (M),103764,excinuclease ABC subunit A Candidatus Thioglobus autotrophica
298,18215,ETNP_120,28.40,6,6,3.72E5,1,1,1,,12994,50S ribosomal protein L7/L12
298,25145,ETNP_100,28.40,6,6,3.72E5,1,1,1,,12827,50S ribosomal protein L7/L12
298,18504,ETNP14_68,28.40,6,6,3.72E5,1,1,1,,12827,50S ribosomal protein L7/L12
298,18505,ETNP14_120,28.40,6,6,3.72E5,1,1,1,,12827,50S ribosomal protein L7/L12
298,18506,ETNP_90,28.40,6,6,3.72E5,1,1,1,,12827,50S ribosomal protein L7/L12
298,18264,ETNP_90,28.40,6,6,3.72E5,1,1,1,,12899,50S ribosomal protein L7/L12
298,25146,ADB27487,28.40,6,6,3.72E5,1,1,1,,13340,50S ribosomal protein L7 L12 chloroplast  Thalassiosira oceanica CCMP1005
249,25043,WP_002654932,28.33,3,3,0E0,1,1,1,Carbamidomethylation,52839,signal recognition particle protein  Blastopirellula marina
94,24090,virus_CCADEAMM_14300,27.96,1,1,6.73E5,2,2,2,Oxidation (M),322694,hypothetical protein
62,19898,virus_ANPENILN_01636,27.80,1,1,2.9E6,1,1,3,,75049,hypothetical protein
49,24093,EJK45223,27.65,1,1,1.81E6,2,2,3,Oxidation (M),176371,hypothetical protein THAOC_36171  Thalassiosira oceanica
504,25062,ETNP14_68,27.59,2,2,5.35E5,1,1,1,,53593,Copper-exporting P-type ATPase A
300,24135,Fosmid_PROKKA_01908,27.52,2,2,0E0,1,1,1,,38468,Gram-negative bacterial tonB protein
666,25157,ETNP_120,27.47,5,5,3.34E6,1,1,1,,17820,hypothetical protein
666,25158,ETNP_140,27.47,4,4,3.34E6,1,1,1,,22374,DNA-binding transcriptional regulator BasR
133,25165,WP_041598650,27.34,6,6,2.55E4,1,1,2,,17188,flavin-nucleotide-binding protein Hahella chejuensis
58,25188,ETNP14_68,27.13,2,2,0E0,1,1,3,,45000,VWA domain containing CoxE-like protein
378,24077,ETNP_70,27.00,3,3,2.19E6,1,1,1,,27533,hypothetical protein
378,25197,ETNP_70,27.00,3,3,2.19E6,1,1,1,,28116,hypothetical protein
254,24068,NP_100,26.87,2,2,1.56E6,1,1,1,,58175,60 kDa chaperonin
225,24066,ETNP_70,26.83,1,1,2.93E6,1,1,1,,88655,Elongation factor G
299,24078,WP_015441607,26.81,1,1,6.89E5,1,1,1,,119236,carbamoyl-phosphate synthase large chain Ilumatobacter coccineus
137,25371,WP_014438162,26.76,4,4,6.67E5,2,1,2,,39439,Appr-1-p processing protein Phycisphaera mikurensis
163,17889,ETNP14_120,26.66,10,10,1.36E7,2,2,2,,9492,hypothetical protein
163,17905,ETNP14_68,26.66,10,10,1.36E7,2,2,2,,9743,hypothetical protein
118,24139,XP_003061972,26.53,2,2,1.1E6,2,2,2,,93184,predicted protein partial  Micromonas pusilla CCMP1545
437,25150,ETNP14_120,25.93,10,10,3.23E5,1,1,1,,9361,ribonuclease P
437,25151,ETNP_90,25.93,10,10,3.23E5,1,1,1,,9361,Ribonuclease P protein component
437,25152,ETNP14_68,25.93,10,10,3.23E5,1,1,1,,9361,ribonuclease P
437,26669,ETNP14_120,25.93,10,10,3.23E5,1,1,1,,9273,ribonuclease P
438,17793,WP_013260946,25.59,2,2,0E0,1,1,1,,54786,transcription termination factor NusA gamma proteobacterium HdN1
669,26677,ETNP14_120,25.59,11,11,1.45E6,1,1,1,,8304,hypothetical protein
255,24097,ETNP_180,25.48,1,1,4.91E5,1,1,1,,80956,Bifunctional (p)ppGpp synthase/hydrolase relA
255,24098,ETNP_160,25.48,1,1,4.91E5,1,1,1,,80956,Bifunctional (p)ppGpp synthase/hydrolase relA
59,25238,ETNP_100,25.44,15,15,1.76E6,2,2,3,Carbamidomethylation; Oxidation (M),14308,Hypoxanthine-guanine phosphoribosyltransferase
59,25239,ETNP_100,25.44,11,11,1.76E6,2,2,3,Carbamidomethylation; Oxidation (M),20156,Hypoxanthine-guanine phosphoribosyltransferase
59,25240,ETNP_110,25.44,11,11,1.76E6,2,2,3,Carbamidomethylation; Oxidation (M),20156,Hypoxanthine-guanine phosphoribosyltransferase
59,25241,ETNP_140,25.44,11,11,1.76E6,2,2,3,Carbamidomethylation; Oxidation (M),20155,Hypoxanthine-guanine phosphoribosyltransferase
59,25242,ETNP14_120,25.44,11,11,1.76E6,2,2,3,Carbamidomethylation; Oxidation (M),20187,Hypoxanthine-guanine phosphoribosyltransferase
59,25243,NP_300,25.44,11,11,1.76E6,2,2,3,Carbamidomethylation; Oxidation (M),20217,Hypoxanthine-guanine phosphoribosyltransferase
59,25244,ETNP_300,25.44,11,11,1.76E6,2,2,3,Carbamidomethylation; Oxidation (M),20171,Hypoxanthine-guanine phosphoribosyltransferase
80,24088,XP_002177351,25.43,3,3,1.68E6,2,1,2,,70962,protein heat shock protein Hsp70  Phaeodactylum tricornutum CCAP 1055
80,24094,EJK51576,25.43,3,3,1.68E6,2,1,2,,71288,hypothetical protein THAOC_29236  Thalassiosira oceanica
