Event,Station,Bottle,Sal00,Sal11,Sigma-t00,Sigma-t11,Sbeox0Mg/L,Sbox0Mm/Kg,Sbeox0PS,Longitude,Latitude,DepSM,T090C,T190C,FlSP,CStarAt0,CStarTr0,Par,pH,NO2 Conc.
1,0,18,33.9486,33.9418,25.9149,25.9112,3.3302,101.442,37.65,-114.65568,26.9593,100.344,11.2447,11.2353,0.0873,12.3524,4.5588,0.244,,
1,0,19,33.5437,33.5393,24.8775,24.8694,7.8385,239.011,95.265,-114.65564,26.95926,40.555,14.876,14.8977,3.15,12.6683,4.2127,7.64,,-0.0843495935
1,0,20,33.5451,33.5464,24.8782,24.8854,7.8642,239.796,95.583,-114.65564,26.95926,41.093,14.878,14.8488,3.69,12.6691,4.2118,7.25,,
1,0,21,33.5453,33.5412,24.8781,24.8753,7.8752,240.13,95.718,-114.65566,26.95928,40.781,14.8788,14.8773,3.67,12.6813,4.199,7.62,,
1,0,22,33.6867,33.684,24.4926,24.4904,7.8849,240.516,100.11,-114.65568,26.95932,2.041,17.0591,17.0595,0.306,12.5099,4.3829,102,,
1,0,23,33.6869,33.6842,24.4932,24.4916,7.8802,240.371,100.047,-114.65568,26.95932,2.402,17.0575,17.0551,0.295,12.5103,4.3824,94.1,,
1,0,24,33.6867,33.684,24.4925,24.4902,7.8752,240.22,99.986,-114.65568,26.95931,1.534,17.0592,17.0601,0.299,12.5111,4.3815,112,,0.01727642276
2,1,1,34.5585,34.557,27.4704,27.4691,0.7497,22.804,7.175,-109.99767,22.66672,1192.181,3.742,3.7426,0.0512,12.341,4.5718,0.0642,,
2,1,2,34.5361,34.5341,27.4068,27.4051,0.4936,15.013,4.774,-109.99802,22.66672,1093.167,4.1849,4.1857,0.051,12.342,4.5707,0.0631,,
2,1,3,34.5295,34.5276,27.3473,27.3457,0.2481,7.546,2.428,-109.9983,22.6667,993.41,4.6839,4.6839,0.0511,12.3443,4.5681,0.0607,,
2,1,4,34.519,34.5168,27.3004,27.2986,0.1735,5.277,1.711,-109.9986,22.66668,895.325,5.0187,5.0189,0.0635,12.3446,4.5678,0.0622,7.527,
2,1,5,34.51,34.5078,27.2597,27.2579,0.1353,4.115,1.343,-109.99894,22.66668,796.536,5.2987,5.2991,0.0588,12.3444,4.568,0.0622,,
2,1,6,34.5012,34.499,27.1913,27.1894,0.0926,2.816,0.93,-109.99926,22.66668,697.852,5.8006,5.801,0.0626,12.3442,4.5683,0.0613,7.545,
2,1,7,34.4906,34.4884,27.0927,27.0909,0.0719,2.187,0.734,-109.9995,22.66662,598.866,6.4992,6.499,0.066,12.3444,4.5681,0.0608,7.536,
2,1,8,34.5128,34.5105,26.9772,26.9754,0.0444,1.352,0.464,-109.99974,22.66646,494.757,7.4601,7.4605,0.0656,12.3452,4.567,0.0582,7.562,-0.2302631579
2,1,9,34.5226,34.5203,26.9086,26.9067,0.0526,1.599,0.555,-109.99998,22.66634,449.627,7.9813,7.9818,0.0636,12.346,4.5661,0.0538,,-0.3165444349
2,1,10,34.5613,34.5591,26.818,26.8162,0.0368,1.119,0.395,-110.0001,22.66624,400.209,8.7696,8.7703,0.0637,12.3481,4.5638,0.0513,7.551,-0.2518334771
2,1,11,34.5895,34.5876,26.721,26.7194,0.0457,1.391,0.5,-110.0001,22.66624,349.78,9.5057,9.5061,0.0662,12.3475,4.5644,0.0507,,-0.2734037964
2,1,12,34.5513,34.5492,26.6286,26.6269,0.2279,6.936,2.511,-110.0001,22.66626,300.211,9.8755,9.8758,0.0621,12.3463,4.5658,0.0507,7.573,-0.3165444349
2,1,13,34.6227,34.6205,26.5358,26.5346,0.1481,4.51,1.664,-110.0001,22.66624,250.631,10.7282,10.7257,0.0628,12.3465,4.5655,0.0507,,-0.2518334771
2,1,14,34.6468,34.6447,26.4264,26.4248,0.2156,6.565,2.458,-110.0001,22.66624,200.533,11.4304,11.4305,0.0542,12.3475,4.5644,0.0507,7.598,-0.2302631579
2,1,15,34.6603,34.6595,26.3708,26.3703,0.2334,7.105,2.68,-110.00014,22.66626,175.868,11.7822,11.7817,0.0594,12.3474,4.5646,0.0507,,-0.2949741156
2,1,16,34.7028,34.7008,26.2754,26.2745,0.2206,6.718,2.57,-110.00014,22.66626,150.307,12.4497,12.4463,0.062,12.346,4.5662,0.0507,,-0.3381147541
2,1,17,34.7006,34.6983,26.1796,26.1785,0.3168,9.647,3.727,-110.0001,22.66624,130.587,12.9245,12.9209,0.0603,12.3459,4.5662,0.0507,,-0.2734037964
2,1,18,34.6516,34.6503,26.0977,26.0961,0.4791,14.591,5.661,-110.00012,22.66624,120.604,13.1421,13.1453,0.0606,12.3476,4.5643,0.0507,,-0.3165444349
2,1,19,34.5913,34.5894,26.0245,26.0222,0.6888,20.979,8.157,-110.00012,22.66626,111.226,13.2723,13.2761,0.0607,12.3486,4.5632,0.0507,,-0.3381147541
2,1,20,34.533,34.5311,25.8932,25.8918,0.9461,28.821,11.297,-110.0001,22.66624,100.754,13.6925,13.692,0.0907,12.3512,4.5602,0.0507,7.663,-0.2949741156
2,1,21,34.5343,34.5322,25.8958,25.8939,0.9352,28.488,11.164,-110.0001,22.66624,100.994,13.6847,13.6858,0.0874,12.3524,4.5589,0.0507,,
2,1,22,34.2369,34.2353,25.373,25.3722,2.5028,76.277,30.66,-110.00008,22.66622,81.007,15.0608,15.059,0.514,12.3719,4.5367,0.0507,,
2,1,23,33.9735,33.9707,24.6204,24.6184,5.978,182.326,76.611,-110.0001,22.66624,57.066,17.4551,17.4544,2.63,12.5169,4.3751,0.0507,,
2,1,24,34.3384,34.3362,23.7795,23.7779,7.0681,215.75,98.306,-110.00008,22.66624,1.676,21.7692,21.769,0.125,12.3825,4.5247,0.264,,
3,2,1,34.5592,34.5575,27.465,27.4637,0.6948,21.132,6.659,-109.99994,22.12418,1199.68,3.8027,3.8027,0.0541,12.3431,4.5694,0.0673,7.558,
3,2,2,34.5419,34.5401,27.4237,27.4222,0.5496,16.717,5.301,-109.99992,22.12418,1099.945,4.0667,4.0674,0.0523,12.3431,4.5695,0.0604,,
3,2,3,34.5314,34.5293,27.3759,27.3742,0.3488,10.609,3.394,-109.99992,22.12416,1000.443,4.4343,4.4344,0.0514,12.3434,4.5691,0.0619,,
3,2,4,34.5242,34.5219,27.3188,27.3171,0.1735,5.277,1.707,-109.99994,22.12418,900.313,4.8929,4.8923,0.0515,12.3445,4.5679,0.0605,,
3,2,5,34.5106,34.5083,27.2505,27.2487,0.1115,3.392,1.109,-109.99994,22.1242,799.946,5.3813,5.3815,0.0535,12.3456,4.5667,0.0595,7.546,
3,2,6,34.5088,34.5071,27.2163,27.2144,0.085,2.587,0.852,-109.99992,22.12416,752.823,5.6507,5.6543,0.0532,12.3452,4.5671,0.0571,,
3,2,7,34.5103,34.5081,27.0702,27.0682,0.0443,1.349,0.456,-109.99995,22.12418,599.899,6.785,6.7867,0.0534,12.3464,4.5656,0.0509,7.539,
3,2,8,34.5212,34.5186,26.9499,26.9479,0.0423,1.287,0.444,-109.99996,22.1242,500.006,7.6968,7.6964,0.053,12.3475,4.5644,0.051,7.55,
3,2,9,34.529,34.5266,26.8644,26.8622,0.0578,1.76,0.615,-109.99994,22.12418,449.714,8.3095,8.3118,0.0585,12.3483,4.5636,0.0508,,
3,2,10,34.5452,34.5429,26.7837,26.7819,0.078,2.375,0.842,-109.99992,22.12416,400.278,8.9074,8.9074,0.0585,12.3469,4.5651,0.0509,7.559,
3,2,11,34.5861,34.5832,26.7008,26.699,0.0623,1.896,0.683,-109.99994,22.12418,350.608,9.6116,9.6091,0.0578,12.3476,4.5644,0.0507,,
3,2,12,34.6321,34.6289,26.594,26.5924,0.0517,1.573,0.577,-109.99996,22.1242,300.503,10.4452,10.4402,0.0582,12.3479,4.564,0.0507,7.579,
3,2,13,34.6838,34.6814,26.4933,26.4915,0.0579,1.764,0.658,-109.99994,22.12416,250.447,11.2294,11.2287,0.0572,12.348,4.5638,0.0507,,
3,2,14,34.7283,34.726,26.39,26.3888,0.0922,2.808,1.064,-109.99994,22.12416,201.243,11.9637,11.9607,0.0508,12.3488,4.563,0.0507,7.606,
3,2,15,34.7622,34.7604,26.2832,26.283,0.2304,7.017,2.697,-109.99994,22.12418,176.034,12.6489,12.6428,0.0627,12.3503,4.5612,0.0507,,
3,2,16,34.7124,34.7102,26.1349,26.1331,0.3797,11.564,4.493,-109.99994,22.12418,151.186,13.1956,13.1965,0.0459,12.3522,4.5591,0.0507,,
3,2,17,34.6886,34.6863,25.9568,25.9541,0.7246,22.071,8.708,-109.99992,22.12416,121.492,13.9681,13.9727,0.072,12.3551,4.5558,0.0507,,
3,2,18,34.6991,34.6971,25.8605,25.8587,0.8841,26.931,10.732,-109.99996,22.1242,110.928,14.4603,14.4612,0.0781,12.3572,4.5534,0.0507,,
3,2,19,34.7032,34.6994,25.5761,25.5758,1.9015,57.941,23.689,-109.99994,22.12416,101.058,15.7657,15.7543,0.192,12.3612,4.5489,0.0507,,
3,2,20,34.7067,34.7048,25.5733,25.5722,1.916,58.384,23.882,-109.99992,22.12414,101.043,15.7903,15.7884,0.195,12.3621,4.5478,0.0507,7.744,
3,2,21,34.2983,34.3037,25.2641,25.2695,2.821,85.985,35.056,-109.99996,22.1242,86.531,15.7652,15.7596,0.395,12.3763,4.5317,0.0507,,
3,2,22,34.3249,34.3228,25.0076,25.005,3.9304,119.831,50.004,-109.99994,22.12416,76.229,16.9639,16.968,0.76,12.3992,4.5058,0.0507,,
3,2,23,34.1853,34.1829,24.5326,24.5306,6.0195,183.609,78.755,-109.99994,22.12418,66.272,18.4787,18.4794,1.64,12.4741,4.4223,0.0507,,
3,2,24,34.5397,34.5381,23.5918,23.5906,6.8808,210.073,97.881,-109.99994,22.12416,3.123,22.9754,22.9753,0.116,12.3807,4.5267,0.178,,
4,3,1,34.5623,34.5609,27.4668,27.4656,0.6698,20.373,6.421,-109.99982,21.58273,1199.58,3.8098,3.8102,0.0523,12.3448,4.5675,0.0699,,
4,3,2,34.5469,34.545,27.4155,27.4141,0.4479,13.625,4.333,-109.99982,21.58272,1100.003,4.1841,4.1839,0.0523,12.345,4.5673,0.0702,,0.03760162602
4,3,3,34.5346,34.5326,27.365,27.3632,0.2681,8.154,2.616,-109.99982,21.58274,1000.321,4.5584,4.5602,0.0524,12.3449,4.5675,0.0668,,
4,3,4,34.5216,34.5196,27.3031,27.3014,0.1471,4.476,1.451,-109.99982,21.58274,900.371,5.0132,5.0142,0.0534,12.3455,4.5667,0.0645,,-0.0843495935
4,3,5,34.5163,34.5137,27.2436,27.2415,0.0824,2.506,0.821,-109.99982,21.58274,800.672,5.478,5.4777,0.0612,12.3456,4.5667,0.0606,7.54,-0.06402439024
4,3,6,34.5147,34.5124,27.158,27.1563,0.0457,1.389,0.463,-109.99982,21.58272,699.508,6.1505,6.1504,0.0634,12.3455,4.5668,0.0598,7.527,
4,3,7,34.5059,34.5037,27.0589,27.0571,0.0533,1.62,0.548,-109.99982,21.58274,599.953,6.8433,6.8435,0.0624,12.3461,4.566,0.0552,7.544,
4,3,8,34.5331,34.53,26.9364,26.937,0.0328,0.998,0.346,-109.99982,21.58274,499.909,7.8534,7.833,0.0624,12.3479,4.564,0.0531,7.548,-0.003048780488
4,3,9,34.5554,34.5537,26.859,26.8566,0.0314,0.955,0.335,-109.99982,21.58272,449.675,8.481,8.4882,0.0653,12.3492,4.5625,0.052,,
4,3,10,34.5786,34.5766,26.7616,26.7602,0.0349,1.063,0.379,-109.99984,21.58274,400.053,9.2094,9.2087,0.0647,12.3482,4.5636,0.0511,7.551,
4,3,11,34.6333,34.6313,26.6593,26.6573,0.029,0.882,0.321,-109.99982,21.58274,349.996,10.078,10.0811,0.0697,12.3538,4.5573,0.0507,,
4,3,12,34.6714,34.6695,26.5777,26.5759,0.028,0.853,0.315,-109.99982,21.58274,300.154,10.7125,10.7144,0.0669,12.3561,4.5547,0.0507,7.581,-0.04369918699
4,3,13,34.717,34.715,26.4749,26.4735,0.0274,0.834,0.313,-109.99982,21.58272,250.569,11.47,11.4694,0.0632,12.3522,4.5591,0.0507,,0.05792682927
4,3,14,34.7584,34.7564,26.353,26.3516,0.0248,0.755,0.288,-109.99982,21.58274,201.608,12.2791,12.2783,0.0469,12.3556,4.5553,0.0507,7.6,
4,3,15,34.7594,34.7573,26.277,26.2756,0.0616,1.877,0.722,-109.99984,21.58274,175.781,12.669,12.6681,0.0659,12.3482,4.5637,0.0507,,0.1798780488
4,3,16,34.7608,34.7599,26.1383,26.139,0.3776,11.5,4.485,-109.99984,21.58274,152.003,13.3639,13.3571,0.0664,12.3504,4.5611,0.051,,
4,3,17,34.7444,34.7426,26.0225,26.0211,0.5408,16.472,6.488,-109.99982,21.58274,131.23,13.8613,13.8615,0.0668,12.3519,4.5594,0.0977,,0.01727642276
4,3,18,34.7434,34.74,25.9371,25.9353,0.6612,20.139,7.996,-109.99982,21.58274,121.541,14.2623,14.2587,0.0739,12.353,4.5581,0.181,,
4,3,19,34.6265,34.6245,25.8153,25.8135,0.854,26.017,10.352,-109.99983,21.58274,111.278,14.4094,14.4108,0.115,12.3542,4.5568,0.387,,-0.0843495935
4,3,20,34.535,34.533,25.7214,25.7184,1.1472,34.952,13.927,-109.99982,21.58274,101.208,14.5165,14.5232,0.185,12.3565,4.5542,0.612,7.665,
4,3,21,34.5359,34.5345,25.7225,25.723,1.1478,34.971,13.935,-109.99982,21.58274,101.72,14.5146,14.5073,0.19,12.3567,4.5539,0.592,,
4,3,22,34.3371,34.3351,24.867,24.8658,4.0664,123.993,52.362,-109.99984,21.58272,71.217,17.5906,17.5894,0.858,12.4011,4.5036,5.15,,
4,3,23,34.4072,34.4008,23.9244,23.919,6.9533,212.216,96.186,-109.99983,21.58274,51.207,21.4434,21.4454,0.346,12.3964,4.5089,30.6,,
4,3,24,34.5025,34.5011,23.1962,23.1951,6.7353,205.71,97.904,-109.99984,21.58272,2.632,24.2319,24.2321,0.0988,12.3822,4.525,582,,0.01727642276
5,4,1,34.5656,34.5641,27.4671,27.466,0.6703,20.388,6.43,-110.00074,21.04076,1200.325,3.8325,3.8323,0.0692,12.3449,4.5674,0.0686,,
5,4,2,34.552,34.5502,27.4234,27.4217,0.4577,13.922,4.424,-110.00076,21.0408,1100.693,4.1478,4.1499,0.0696,12.3457,4.5665,0.0663,,
5,4,3,34.5384,34.5365,27.3773,27.3758,0.2953,8.983,2.876,-110.00074,21.04077,1001.211,4.473,4.4731,0.07,12.3456,4.5666,0.0618,,
5,4,4,34.5291,34.5273,27.3246,27.3241,0.1585,4.822,1.559,-110.00072,21.04078,901.109,4.8761,4.8673,0.0702,12.3453,4.567,0.0633,,
5,4,5,34.5204,34.5186,27.2566,27.2552,0.0783,2.382,0.779,-110.00072,21.04078,800.74,5.3954,5.3956,0.0703,12.346,4.5661,0.0621,7.577,
5,4,6,34.517,34.5148,27.1747,27.1731,0.0454,1.382,0.459,-110.00072,21.0408,700.823,6.0338,6.0331,0.0701,12.3459,4.5663,0.0617,7.612,
5,4,7,34.5174,34.5153,27.0681,27.0665,0.0335,1.018,0.344,-110.00072,21.0408,600.45,6.8426,6.8415,0.0706,12.3461,4.566,0.0525,7.575,
5,4,8,34.528,34.5258,26.9443,26.9425,0.0315,0.959,0.331,-110.00073,21.0408,499.87,7.7725,7.7723,0.0719,12.3481,4.5638,0.0563,7.582,-0.4442555476
5,4,9,34.5513,34.5491,26.8568,26.8551,0.0326,0.993,0.349,-110.00072,21.0408,450.353,8.4745,8.4742,0.0726,12.3488,4.563,0.0508,,-0.3010916249
5,4,10,34.5699,34.5676,26.7811,26.7793,0.0413,1.256,0.447,-110.00072,21.0408,400.2,9.0456,9.0456,0.0715,12.3491,4.5627,0.0552,7.584,-0.3010916249
5,4,11,34.6297,34.6275,26.6967,26.6951,0.0287,0.873,0.316,-110.00074,21.0408,350.581,9.8404,9.8398,0.0732,12.3547,4.5563,0.0512,,-0.2831961346
5,4,12,34.677,34.6749,26.6014,26.5998,0.0278,0.846,0.311,-110.00074,21.04078,300.956,10.6033,10.6027,0.0748,12.3586,4.5518,0.0507,7.604,0.5578919112
5,4,13,34.6918,34.6896,26.4975,26.4958,0.0487,1.482,0.553,-110.00074,21.04078,251.074,11.2406,11.2406,0.0707,12.3486,4.5632,0.0507,,0.05681818182
5,4,14,34.7505,34.7485,26.3452,26.344,0.1705,5.192,1.98,-110.00074,21.0408,201.319,12.2875,12.2859,0.0689,12.3514,4.56,0.0565,7.622,0.02102720115
5,4,15,34.7732,34.7709,26.2322,26.2306,0.2984,9.087,3.514,-110.00074,21.0408,176.008,12.9493,12.9484,0.0674,12.3523,4.5589,0.107,,-0.1758231926
5,4,16,34.751,34.7493,26.0926,26.091,0.4534,13.81,5.406,-110.00074,21.04078,151.471,13.5505,13.5517,0.0697,12.3519,4.5594,0.268,,-0.1758231926
5,4,17,34.6135,34.6109,25.9053,25.9029,0.6361,19.377,7.637,-110.00072,21.0408,131.218,13.9381,13.9398,0.104,12.3527,4.5585,0.654,,-0.01476377953
5,4,18,34.4748,34.473,25.7122,25.7104,1.2885,39.258,15.584,-110.00074,21.04078,120.879,14.3451,14.3469,0.215,12.356,4.5547,1.07,,-0.1221367215
5,4,19,34.4333,34.4313,25.5825,25.5817,1.6371,49.882,19.974,-110.0007,21.0408,111.445,14.7985,14.7952,0.256,12.3591,4.5512,2.02,,-0.0505547602
5,4,20,34.2666,34.2678,25.3728,25.3774,2.0782,63.338,25.519,-110.00074,21.04078,101.399,15.1692,15.1524,0.362,12.3634,4.5463,3.52,7.741,0.1999821045
5,4,21,34.2677,34.2659,25.3719,25.3707,2.0818,63.447,25.567,-110.00076,21.04076,100.979,15.1772,15.1766,0.349,12.363,4.5468,3.53,,
5,4,22,33.9689,33.9669,24.9107,24.905,4.3906,133.872,54.923,-110.00073,21.04078,81.163,16.2054,16.2235,0.715,12.382,4.5252,11,,0.1462956335
5,4,23,33.897,33.8951,24.4187,24.4171,6.2109,189.465,80.461,-110.00072,21.04078,73.636,18.0483,18.0487,1.28,12.432,4.469,18.8,,-0.01476377953
5,4,24,34.4047,34.4032,23.0094,23.0081,6.7648,206.65,98.918,-110.00074,21.04078,2.446,24.6096,24.6099,0.066,12.3825,4.5246,1610,,-0.1937186829
6,5,1,34.5603,34.5593,27.4625,27.4618,0.683,20.775,6.552,-110.00264,20.50026,1200.446,3.837,3.8358,0.0702,12.3462,4.5659,0.0656,7.539,
6,5,2,34.5487,34.5471,27.423,27.4218,0.4886,14.86,4.719,-110.00262,20.50026,1101.034,4.1259,4.1259,0.0712,12.3466,4.5654,0.0657,7.539,
6,5,3,34.5386,34.5367,27.3784,27.3773,0.3053,9.286,2.973,-110.00262,20.50026,1000.373,4.4641,4.4607,0.0718,12.3476,4.5643,0.0633,7.557,
6,5,4,34.527,34.5251,27.3314,27.3299,0.1966,5.982,1.93,-110.00264,20.50026,900.915,4.8008,4.8008,0.0715,12.3477,4.5642,0.0543,7.572,
6,5,5,34.5177,34.5157,27.2599,27.2582,0.0902,2.743,0.897,-110.00264,20.50028,800.25,5.3501,5.3507,0.072,12.3477,4.5642,0.0606,7.58,
6,5,6,34.509,34.5072,27.1804,27.1789,0.0582,1.769,0.586,-110.00262,20.50024,700.095,5.9384,5.9382,0.0725,12.3476,4.5643,0.0604,,
6,5,7,34.511,34.5089,27.084,27.0823,0.0404,1.231,0.415,-110.00262,20.50026,599.559,6.6863,6.6868,0.0723,12.3479,4.564,0.0552,7.557,
6,5,8,34.5355,34.5334,26.9578,26.9562,0.0313,0.952,0.329,-110.00262,20.50028,499.896,7.7197,7.7197,0.0732,12.3496,4.5621,0.0538,,-0.03265926986
6,5,9,34.5407,34.5387,26.8817,26.88,0.0331,1.007,0.352,-110.00264,20.50026,450.119,8.2561,8.2565,0.0849,12.3506,4.5609,0.053,7.548,0.03892269148
6,5,10,34.5495,34.5475,26.8026,26.801,0.0505,1.537,0.544,-110.00262,20.50026,400.442,8.8088,8.8087,0.0729,12.35,4.5616,0.0509,7.553,0.003131710809
6,5,11,34.5946,34.5926,26.7024,26.7009,0.0455,1.384,0.499,-110.00262,20.5003,350.538,9.6423,9.6419,0.0732,12.351,4.5604,0.0507,7.548,0.09260916249
6,5,12,34.6458,34.6444,26.5747,26.5735,0.0434,1.322,0.487,-110.00262,20.50026,300.296,10.6164,10.6171,0.0731,12.3523,4.559,0.0508,7.552,0.1462956335
6,5,13,34.7033,34.7015,26.4717,26.4702,0.0287,0.874,0.327,-110.00262,20.50026,250.326,11.4298,11.4302,0.0727,12.3529,4.5582,0.0507,,0.03892269148
6,5,14,34.7299,34.7281,26.3281,26.3265,0.0751,2.286,0.872,-110.00262,20.50026,200.779,12.2933,12.2943,0.0689,12.351,4.5604,0.0507,7.557,0.2178775948
6,5,15,34.7189,34.7171,26.252,26.2504,0.1301,3.963,1.522,-110.00262,20.50026,176.323,12.6368,12.6373,0.0671,12.3515,4.5599,0.0507,,0.2536685755
6,5,16,34.7268,34.725,26.1468,26.1455,0.2665,8.117,3.154,-110.00262,20.50028,151.665,13.1919,13.1917,0.0662,12.3526,4.5586,0.0507,7.58,0.1641911238
6,5,17,34.7445,34.7426,25.9045,25.9028,0.6913,21.057,8.387,-110.00262,20.50026,121.334,14.4195,14.4206,0.0822,12.3562,4.5546,0.0507,,0.3610415175
6,5,18,34.651,34.6485,25.7413,25.7393,0.9942,30.29,12.157,-110.00262,20.50024,110.689,14.8409,14.8409,0.124,12.3581,4.5524,0.0518,7.614,0.3073550465
6,5,19,34.5382,34.5376,25.6377,25.6374,1.3023,39.679,15.937,-110.00266,20.50022,101.363,14.9156,14.9148,0.2,12.3622,4.5477,0.0605,,0.4863099499
6,5,20,34.5383,34.5361,25.6371,25.6351,1.3312,40.559,16.291,-110.00264,20.50024,101.384,14.9184,14.9196,0.177,12.3607,4.5494,0.06,,0.2536685755
6,5,21,34.4622,34.4603,25.417,25.4193,1.8066,55.056,22.42,-110.00266,20.50026,91.655,15.6469,15.6305,0.341,12.3658,4.5436,0.0711,,
6,5,22,34.3092,34.3087,25.0443,25.0444,3.6413,111.013,46.137,-110.00264,20.50024,76.26,16.7567,16.7545,0.522,12.3861,4.5206,0.118,,0.3610415175
6,5,23,34.4126,34.4167,24.5538,24.5757,5.425,165.472,71.882,-110.00262,20.50028,61.784,19.0835,19.0095,1.48,12.4431,4.4567,0.29,7.701,0.3968324982
6,5,24,34.3597,34.3594,22.9398,22.9395,6.7194,205.274,98.426,-110.00264,20.50026,2.586,24.7281,24.7283,0.119,12.3904,4.5157,3.58,,0.2536685755
7,6,1,34.5672,34.566,27.4781,27.4771,0.7703,23.428,7.371,-109.99988,19.95812,1199.564,3.7349,3.7354,0.0711,12.3485,4.5634,0.0671,,
7,6,2,34.5518,34.5501,27.4353,27.4339,0.5585,16.986,5.382,-109.99986,19.95814,1100.489,4.0304,4.031,0.0715,12.3481,4.5638,0.0687,7.872,
7,6,3,34.5357,34.5339,27.3796,27.3782,0.3329,10.126,3.239,-109.99988,19.95814,1001.664,4.4317,4.4316,0.0713,12.3491,4.5627,0.0664,,
7,6,4,34.5314,34.5295,27.3312,27.3297,0.173,5.263,1.699,-109.99988,19.95814,901.891,4.8332,4.8338,0.0724,12.351,4.5605,0.0649,8.215,
7,6,5,34.5197,34.5175,27.2659,27.2642,0.0923,2.807,0.917,-109.99986,19.95812,800.997,5.3124,5.3123,0.072,12.3496,4.5621,0.068,,
7,6,6,34.5113,34.5091,27.1794,27.1777,0.0499,1.52,0.504,-109.99988,19.95812,700.581,5.9601,5.96,0.0725,12.3493,4.5624,0.0593,7.583,
7,6,7,34.5158,34.5139,27.075,27.0735,0.0323,0.984,0.332,-109.99988,19.95812,600.315,6.7818,6.7813,0.0728,12.3501,4.5614,0.0556,7.569,
7,6,8,34.5316,34.5297,26.9557,26.9546,0.032,0.972,0.336,-109.99988,19.95814,500.547,7.713,7.7105,0.0733,12.3517,4.5596,0.0538,7.561,
7,6,9,34.546,34.5438,26.8727,26.8708,0.0323,0.983,0.344,-109.99988,19.95812,450.672,8.3426,8.3444,0.0733,12.3522,4.5591,0.0524,7.556,
7,6,10,34.5763,34.574,26.7774,26.7765,0.0284,0.864,0.308,-109.99988,19.95812,401.185,9.1001,9.0944,0.0731,12.3526,4.5586,0.0513,7.624,
7,6,11,34.5872,34.5853,26.6884,26.6867,0.0631,1.919,0.692,-109.99988,19.95812,351.271,9.6914,9.6927,0.0751,12.3519,4.5594,0.0507,7.564,
