Pressure [dbar],depSMignore,latitude,longitude,t090C,t190C,potemp090C,sal00,sal11,density00,sigma-t00,flSP,sbox0Mm/Kg,oxsolMm/Kg,CStarAt0,CStarTr0,par
43.0,42.74100000000001,16.58962,-106.92288,28.2742,28.2739,28.2641,33.7875,33.7961,1021.578,21.3936,1.169,188.41,197.50715,0.2219,94.604,1e-12
44.0,43.735,16.58962,-106.92288,28.1721,28.1732,28.1618,33.834,33.8425,1021.6506,21.4619,1.2006,189.378,197.77276,0.2235,94.5665,1e-12
45.0,44.729,16.58962,-106.92288,28.1017,28.1021,28.0911,33.8482,33.857,1021.6887,21.4956,1.2497,188.865,197.97869,0.223,94.5776,1e-12
46.0,45.722,16.58962,-106.92288,27.9524,27.9541,27.9416,33.8446,33.8526,1021.7389,21.5415,1.3536,186.209,198.45938999999998,0.2421,94.1284,1e-12
47.0,46.716,16.58962,-106.92288,27.5871,27.5885,27.5762,33.8746,33.8825,1021.8841,21.6823,1.4225,182.17700000000002,199.59465,0.2318,94.3692,1e-12
48.0,47.71,16.58962,-106.92288,26.8859,26.8949,26.875,33.8547,33.8621,1022.0978,21.8915,1.5605,173.417,201.90796,0.2379,94.2252,1e-12
49.0,48.70399999999999,16.58962,-106.92288,26.5674,26.5665,26.5563,33.8674,33.8751,1022.2125,22.0017,1.6135,160.328,202.94564,0.2374,94.2376,1e-12
50.0,49.698,16.58962,-106.92288,26.3479,26.3473,26.3366,33.8715,33.8799,1022.2889,22.0737,1.5385,155.898,203.67248,0.2336,94.3275,1e-12
51.0,50.692,16.58962,-106.92288,26.2486,26.2496,26.2372,33.877,33.8873,1022.3285,22.1089,1.5012,151.98,203.99819,0.2335,94.3302,1e-12
52.0,51.685,16.58962,-106.92288,25.9969,26.0001,25.9854,33.9252,33.9326,1022.4475,22.2236,1.494,151.141,204.78425,0.2314,94.378,1e-12
53.0,52.678999999999995,16.58962,-106.92288,25.701,25.7032,25.6893,34.0143,34.0214,1022.6107,22.3823,1.5736,145.602,205.67216000000002,0.2323,94.3588,1e-12
54.0,53.673,16.58962,-106.9229,25.5742,25.572,25.5623,34.0607,34.0698,1022.6891,22.4564,1.6782,141.554,206.04411000000002,0.2307,94.3954,1e-12
55.0,54.667,16.58962,-106.9229,25.443,25.4434,25.4309,34.0964,34.105,1022.7607,22.5236,1.5347,139.935,206.44671,0.2301,94.4095,1e-12
56.0,55.661,16.58962,-106.92288,25.3952,25.3954,25.3829,34.1106,34.119,1022.7904,22.5489,1.3254,138.309,206.59229,0.2221,94.5977,1e-12
57.0,56.655,16.58962,-106.92288,25.347,25.346,25.3346,34.1278,34.1366,1022.8224,22.5766,1.1794,138.1,206.73531,0.2134,94.8048,1e-12
58.0,57.648999999999994,16.58962,-106.92288,24.8306,24.8179,24.8181,34.2264,34.2384,1023.0581,22.8078,1.1039,137.30200000000002,208.39866,0.2096,94.8935,1e-12
59.0,58.641999999999996,16.58962,-106.92288,24.2679,24.2643,24.2554,34.322,34.3307,1023.3036,23.0487,1.13,126.113,210.25376,0.2024,95.0664,1e-12
60.0,59.636,16.58962,-106.92289,24.0379,24.0372,24.0253,34.34,34.3486,1023.3899,23.1305,1.1618,111.56,211.04914,0.1986,95.155,1e-12
61.0,60.63,16.58962,-106.9229,23.7478,23.7359,23.7351,34.352,34.3616,1023.4889,23.225,1.1732,107.779,212.0781,0.1953,95.2334,1e-12
62.0,61.623999999999995,16.58962,-106.92289,22.8327,22.8269,22.8201,34.3954,34.4003,1023.7917,23.5229,0.8994,98.391,215.3771,0.1937,95.2737,1e-12
63.0,62.617,16.58962,-106.92288,21.6588,21.6567,21.6466,34.4822,34.4865,1024.1925,23.9185,0.65322,77.374,219.71614,0.1752,95.714,1e-12
64.0,63.611000000000004,16.58962,-106.92288,21.0365,21.0358,21.0242,34.5302,34.5374,1024.4052,24.1264,0.58619,60.878,222.06573999999998,0.1648,95.9647,1e-12
65.0,64.605,16.58962,-106.92288,20.9668,20.9648,20.9544,34.5257,34.5337,1024.425,24.1419,0.57795,45.785,222.34872000000001,0.1632,96.0011,1e-12
66.0,65.59899999999999,16.58962,-106.92288,20.5359,20.5346,20.5235,34.5449,34.5541,1024.5602,24.2723,0.57675,47.041000000000004,224.04039,0.1614,96.0457,1e-12
67.0,66.592,16.58962,-106.9229,20.1081,20.1062,20.0958,34.5612,34.5773,1024.6911,24.3985,0.5969899999999999,40.149,225.74353,0.159,96.1032,1e-12
68.0,67.586,16.58962,-106.92289,19.7592,19.7595,19.7467,34.5713,34.5775,1024.7951,24.4979,0.57345,28.818,227.15776,0.1567,96.1585,1e-12
69.0,68.58,16.58962,-106.92288,19.3536,19.3503,19.3412,34.5922,34.5996,1024.9208,24.6189,0.47276999999999997,22.985,228.80901,0.1581,96.1236,1e-12
70.0,69.574,16.58962,-106.92288,19.0869,19.0868,19.0744,34.6095,34.6153,1025.007,24.7005,0.4337,17.498,229.902,0.1552,96.1947,1e-12
71.0,70.567,16.58962,-106.92288,18.7081,18.7061,18.6956,34.6193,34.6249,1025.1153,24.8041,0.39361999999999997,13.105,231.49616,0.1558,96.1806,1e-12
72.0,71.561,16.58962,-106.92288,18.3829,18.3803,18.3704,34.6332,34.6402,1025.2122,24.8963,0.39765,10.465,232.87106,0.1509,96.2978,1e-12
73.0,72.555,16.58962,-106.92288,18.1483,18.1464,18.1357,34.6423,34.6487,1025.282,24.9614,0.3813,8.217,233.87545,0.149,96.343,1e-12
74.0,73.54899999999999,16.58962,-106.9229,17.8627,17.8625,17.8501,34.665,34.6718,1025.3743,25.0491,0.35862,5.626,235.0895,0.1482,96.3616,1e-12
75.0,74.542,16.58962,-106.9229,17.7442,17.7439,17.7315,34.6668,34.6747,1025.4092,25.0795,0.35081999999999997,2.875,235.6092,0.1463,96.4077,1e-12
76.0,75.536,16.58962,-106.92288,17.5704,17.5698,17.5576,34.6784,34.6856,1025.465,25.1306,0.24322,2.6060000000000003,236.36107,0.144,96.4629,1e-12
77.0,76.53,16.58962,-106.92288,17.4349,17.4339,17.422,34.6849,34.6926,1025.5072,25.1683,0.22594,1.784,236.95445,0.1391,96.5829,1e-12
78.0,77.523,16.58962,-106.92288,17.3396,17.3395,17.3266,34.6897,34.697,1025.5383,25.195,0.23978000000000002,1.514,237.373,0.1345,96.6927,1e-12
79.0,78.517,16.58962,-106.92288,17.3281,17.3277,17.315,34.6885,34.6962,1025.5446,25.1969,0.24893,1.382,237.42642999999998,0.1358,96.6631,1e-12
80.0,79.51100000000001,16.58962,-106.92288,17.2138,17.2125,17.2006,34.6969,34.7043,1025.5829,25.2306,0.24877,1.306,237.92681000000002,0.1368,96.6391,1e-12
81.0,80.505,16.58962,-106.9229,17.1373,17.1366,17.1239,34.7036,34.7112,1025.6108,25.2541,0.25016,1.278,238.26097000000001,0.1333,96.7235,1e-12
82.0,81.498,16.58961,-106.9229,17.1192,17.1191,17.1056,34.7012,34.7089,1025.6177,25.2566,0.29874,1.185,238.34669,0.1336,96.7148,1e-12
83.0,82.492,16.58962,-106.92289,17.0985,17.0972,17.0848,34.6957,34.7037,1025.6229,25.2573,0.29659,1.104,238.44912999999997,0.1333,96.7226,1e-12
84.0,83.486,16.58962,-106.92288,16.9341,16.9336,16.9204,34.7078,34.7139,1025.6757,25.3055,0.17325,1.056,239.17577000000003,0.1306,96.7891,1e-12
85.0,84.479,16.58962,-106.92288,16.6997,16.6979,16.6859,34.7276,34.7356,1025.7509,25.376,0.20993,1.266,240.21356,0.1314,96.7675,1e-12
86.0,85.473,16.58962,-106.92288,16.5683,16.5655,16.5544,34.7374,34.7454,1025.7938,25.4143,0.22830999999999999,1.194,240.80118,0.1333,96.7213,1e-12
87.0,86.46700000000001,16.58962,-106.92288,16.4525,16.4534,16.4385,34.745,34.7522,1025.8312,25.4472,0.18817,1.105,241.32385,0.133,96.7291,1e-12
88.0,87.46,16.58962,-106.92289,16.2639,16.2624,16.2499,34.7594,34.7681,1025.8906,25.5019,0.20397,1.046,242.17506,0.1316,96.7649,1e-12
89.0,88.454,16.58962,-106.9229,16.1477,16.1458,16.1336,34.7592,34.7662,1025.9217,25.5285,0.21445,0.98,242.7178,0.1317,96.7622,1e-12
90.0,89.448,16.58962,-106.92289,15.9287,15.9291,15.9145,34.7635,34.7707,1025.9799,25.582,0.27002,0.9179999999999999,243.73971,0.1339,96.7075,1e-12
91.0,90.441,16.58962,-106.92288,15.7783,15.7785,15.7641,34.7732,34.7799,1026.0261,25.6236,0.27744,0.919,244.43454,0.1354,96.6723,1e-12
92.0,91.435,16.58962,-106.92288,15.5701,15.5693,15.5559,34.7682,34.7753,1026.0739,25.6666,0.32165,0.938,245.43397000000002,0.1353,96.6736,1e-12
93.0,92.428,16.58962,-106.92288,15.3893,15.3894,15.375,34.7469,34.754,1026.1027,25.6907,0.44928,0.948,246.33657999999997,0.1427,96.4939,1e-12
94.0,93.42200000000001,16.58962,-106.9229,15.3573,15.3575,15.3429,34.7508,34.7584,1026.1173,25.7009,0.45997,0.9420000000000001,246.48394,0.1481,96.366,1e-12
95.0,94.416,16.58962,-106.9229,15.3414,15.3426,15.3269,34.76,34.7673,1026.1324,25.7115,0.42696000000000006,0.9059999999999999,246.5449,0.1484,96.3578,1e-12
96.0,95.40899999999999,16.58962,-106.92289,15.2437,15.2357,15.229,34.7613,34.7653,1026.1596,25.7341,0.5324399999999999,0.773,247.01483,0.1462,96.412,1e-12
97.0,96.40299999999999,16.58962,-106.92288,15.0501,15.0461,15.0355,34.7511,34.7586,1026.1991,25.769,0.51636,0.81,247.97162999999998,0.15,96.3193,1e-12
98.0,97.396,16.58962,-106.92288,14.9779,14.9777,14.9631,34.7631,34.7707,1026.2288,25.7941,0.47741000000000006,0.809,248.3033,0.1517,96.2786,1e-12
99.0,98.39,16.58962,-106.92288,14.925,14.9241,14.9102,34.7631,34.7708,1026.2449,25.8057,0.47248999999999997,0.82,248.56182,0.1485,96.3551,1e-12
100.0,99.384,16.58962,-106.92288,14.8701,14.8696,14.8551,34.7595,34.7669,1026.2586,25.8149,0.51413,0.8140000000000001,248.8369,0.15,96.3194,1e-12
101.0,100.37700000000001,16.58962,-106.92288,14.8166,14.8161,14.8015,34.7593,34.767,1026.2747,25.8265,0.5345300000000001,0.815,249.09996,0.1525,96.2578,1e-12
102.0,101.37100000000001,16.58962,-106.9229,14.798,14.7979,14.7827,34.7593,34.7669,1026.2832,25.8305,0.53992,0.807,249.1917,0.1538,96.2279,1e-12
103.0,102.365,16.58962,-106.9229,14.7909,14.7902,14.7755,34.7584,34.7661,1026.2885,25.8314,0.5351600000000001,0.8029999999999999,249.22793,0.153,96.2464,1e-12
104.0,103.35799999999999,16.58962,-106.9229,14.7843,14.7842,14.7687,34.7579,34.7655,1026.2939,25.8324,0.53418,0.654,249.26147000000003,0.1541,96.2201,1e-12
105.0,104.352,16.58962,-106.92288,14.77,14.7696,14.7544,34.7564,34.7641,1026.3003,25.8343,0.54094,0.599,249.33418999999998,0.1543,96.2157,1e-12
106.0,105.345,16.58962,-106.92288,14.6082,14.6042,14.5925,34.7565,34.7651,1026.3401,25.8694,0.57438,0.657,250.13387999999998,0.1539,96.2259,1e-12
107.0,106.339,16.58961,-106.92288,14.3683,14.3657,14.3527,34.7692,34.7772,1026.4063,25.9307,0.58501,0.785,251.30463999999998,0.1548,96.2039,1e-12
108.0,107.33200000000001,16.58962,-106.92288,14.2385,14.2375,14.2228,34.7765,34.7841,1026.4442,25.964,0.57296,0.836,251.94158,0.1543,96.2156,1e-12
109.0,108.32600000000001,16.58962,-106.92288,14.1854,14.1843,14.1695,34.7771,34.7849,1026.4605,25.9757,0.5624399999999999,0.8490000000000001,252.20785,0.1535,96.2349,1e-12
110.0,109.32,16.58962,-106.92288,14.0876,14.0861,14.0718,34.7797,34.7871,1026.4877,25.9984,0.58616,0.836,252.69598,0.1532,96.2428,1e-12
111.0,110.31299999999999,16.58962,-106.92289,13.921,13.9198,13.9051,34.7853,34.7919,1026.5319,26.0377,0.6695300000000001,0.782,253.53011,0.1536,96.2316,1e-12
112.0,111.307,16.58962,-106.92289,13.777,13.7762,13.7611,34.792,34.7994,1026.5718,26.073,0.75038,0.813,254.2517,0.1535,96.2339,1e-12
113.0,112.3,16.58962,-106.92288,13.7254,13.7272,13.7094,34.7924,34.7995,1026.5874,26.084,0.74642,0.873,254.51484,0.1548,96.2038,1e-12
114.0,113.294,16.58962,-106.92288,13.6908,13.6905,13.6747,34.7923,34.7994,1026.599,26.0911,0.74051,0.8440000000000001,254.69232999999997,0.155,96.1998,1e-12
115.0,114.287,16.58962,-106.92288,13.6332,13.6317,13.617,34.7913,34.799,1026.6147,26.1022,0.72392,0.812,254.98962000000003,0.1539,96.2259,1e-12
116.0,115.281,16.58962,-106.92288,13.5977,13.598,13.5814,34.7911,34.7984,1026.6264,26.1094,0.68381,0.715,255.1722,0.1537,96.2296,1e-12
117.0,116.274,16.58962,-106.92288,13.5775,13.5773,13.561,34.7906,34.7979,1026.6347,26.1132,0.64873,0.622,255.27727000000002,0.1534,96.2368,1e-12
118.0,117.26799999999999,16.58962,-106.92288,13.5699,13.5699,13.5532,34.7896,34.797,1026.6399,26.114,0.63635,0.6629999999999999,255.31842999999998,0.1532,96.2414,1e-12
119.0,118.26100000000001,16.58962,-106.92288,13.553,13.5527,13.5362,34.7892,34.7967,1026.6476,26.1172,0.6248199999999999,0.6659999999999999,255.40597000000002,0.1534,96.2374,1e-12
120.0,119.255,16.58962,-106.92288,13.5408,13.5406,13.5239,34.7892,34.7966,1026.6545,26.1197,0.6179,0.5870000000000001,255.46907000000002,0.1524,96.2601,1e-12
121.0,120.24799999999999,16.58962,-106.92288,13.5251,13.525,13.5081,34.789,34.7963,1026.6621,26.1228,0.6117,0.531,255.54997999999998,0.1528,96.2509,1e-12
122.0,121.242,16.58962,-106.92288,13.4981,13.4978,13.4809,34.7894,34.797,1026.6725,26.1286,0.58443,0.569,255.68905,0.153,96.2453,1e-12
123.0,122.235,16.58962,-106.92288,13.4015,13.4006,13.3843,34.7904,34.7981,1026.6977,26.1492,0.51134,0.5329999999999999,256.18696,0.1517,96.2783,1e-12
124.0,123.229,16.58962,-106.92288,13.3457,13.3454,13.3284,34.7932,34.8006,1026.7158,26.1627,0.46142,0.5489999999999999,256.47137999999995,0.1503,96.3129,1e-12
125.0,124.22200000000001,16.58962,-106.92288,13.3274,13.3269,13.3099,34.7927,34.8001,1026.7236,26.1661,0.45113000000000003,0.589,256.56737000000004,0.151,96.2955,1e-12
126.0,125.21600000000001,16.58962,-106.92288,13.3169,13.3167,13.2994,34.7922,34.7995,1026.7299,26.1678,0.4489,0.57,256.62262000000004,0.1499,96.3216,1e-12
127.0,126.209,16.58962,-106.92288,13.3042,13.3039,13.2865,34.7923,34.7999,1026.7371,26.1705,0.43751,0.54,256.68838,0.1501,96.3169,1e-12
128.0,127.20299999999999,16.58962,-106.92288,13.2984,13.2989,13.2807,34.7923,34.7996,1026.7426,26.1716,0.43223,0.55,256.7184,0.1508,96.3001,1e-12
129.0,128.196,16.58962,-106.92288,13.2791,13.2794,13.2612,34.7928,34.8001,1026.7515,26.176,0.41635,0.5579999999999999,256.81805,0.1502,96.3158,1e-12
130.0,129.189,16.58962,-106.92288,13.2372,13.237,13.2192,34.793,34.8004,1026.7647,26.1846,0.38415,0.532,257.03614,0.1497,96.3265,1e-12
131.0,130.183,16.58962,-106.92288,13.1951,13.1951,13.177,34.7942,34.8016,1026.7787,26.1941,0.34885,0.52,257.25358,0.1485,96.3552,1e-12
132.0,131.17600000000002,16.58962,-106.92288,13.1723,13.1722,13.154,34.7947,34.8021,1026.7882,26.1991,0.3282,0.573,257.3721,0.1476,96.3762,1e-12
133.0,132.17,16.58962,-106.92288,13.1618,13.1616,13.1434,34.7942,34.8016,1026.7945,26.2009,0.31624,0.551,257.42784,0.1471,96.3876,1e-12
134.0,133.16299999999998,16.58962,-106.92288,13.1146,13.1148,13.0962,34.7955,34.803,1026.8095,26.2114,0.2817,0.52,257.6723,0.1466,96.3999,1e-12
135.0,134.157,16.58962,-106.92288,13.0509,13.0506,13.0324,34.8003,34.8077,1026.8307,26.228,0.23365,0.517,257.99781,0.1465,96.4043,1e-12
136.0,135.15,16.58962,-106.92288,13.033,13.0322,13.0144,34.8003,34.8078,1026.8388,26.2315,0.2274,0.527,258.09168999999997,0.1442,96.4586,1e-12
137.0,136.144,16.58962,-106.92288,13.0207,13.0223,13.0019,34.7997,34.807,1026.8453,26.2336,0.22141,0.584,258.15746,0.1446,96.449,1e-12
138.0,137.137,16.58962,-106.92288,13.0064,13.0052,12.9875,34.7999,34.8074,1026.8528,26.2365,0.21666,0.488,258.2323,0.1429,96.4912,1e-12
139.0,138.13,16.58962,-106.92288,13.0021,13.0011,12.9831,34.7993,34.8068,1026.8577,26.237,0.20903000000000002,0.49200000000000005,258.25607,0.0984,97.571,1e-12
140.0,139.124,16.58962,-106.92288,12.9937,12.9935,12.9746,34.799,34.8065,1026.8635,26.2384,0.205,0.397,258.30064,0.1274,96.8648,1e-12
141.0,140.11700000000002,16.58962,-106.92288,12.985,12.9853,12.9657,34.799,34.8064,1026.8698,26.2402,0.19948,0.426,258.34663,0.1423,96.5058,1e-12
142.0,141.111,16.58962,-106.92288,12.9662,12.9645,12.9468,34.799,34.8067,1026.8781,26.2439,0.18758,0.414,258.44566000000003,0.1426,96.4972,1e-12
143.0,142.10399999999998,16.58962,-106.92288,12.9494,12.9487,12.9298,34.7995,34.8068,1026.8863,26.2477,0.17962999999999998,0.474,258.53361,0.1428,96.4928,1e-12
144.0,143.09799999999998,16.58962,-106.92288,12.8742,12.8753,12.8546,34.8016,34.8087,1026.9076,26.2643,0.14286,0.41700000000000004,258.92687,0.1429,96.492,1e-12
145.0,144.091,16.58962,-106.92288,12.8294,12.8292,12.8097,34.8057,34.8132,1026.9243,26.2764,0.11861,0.442,259.15643,0.1421,96.5111,1e-12
146.0,145.084,16.58962,-106.92288,12.8165,12.8164,12.7967,34.8049,34.8123,1026.9307,26.2784,0.11478,0.426,259.22609,0.1414,96.5266,1e-12
147.0,146.077,16.58962,-106.92288,12.8004,12.8003,12.7805,34.8054,34.8129,1026.9388,26.282,0.11027999999999999,0.428,259.31015,0.1418,96.5184,1e-12
148.0,147.071,16.58962,-106.92288,12.7955,12.7955,12.7755,34.8053,34.8129,1026.9442,26.2828,0.10563,0.405,259.33631,0.1404,96.551,1e-12
149.0,148.064,16.58962,-106.92288,12.7944,12.7944,12.7742,34.805,34.8128,1026.9487,26.2829,0.10819000000000001,0.425,259.3426,0.1404,96.5493,1e-12
150.0,149.058,16.58962,-106.92288,12.7936,12.7936,12.7733,34.8048,34.8124,1026.9531,26.2829,0.10517,0.423,259.34706,0.142,96.5132,1e-12
151.0,150.05100000000002,16.58962,-106.92288,12.7905,12.7905,12.77,34.8049,34.8123,1026.9583,26.2835,0.10402,0.41200000000000003,259.36379,0.1407,96.5443,1e-12
152.0,151.04399999999998,16.58962,-106.92288,12.7838,12.7839,12.7632,34.8051,34.8125,1026.9642,26.285,0.10214,0.42100000000000004,259.39886,0.1406,96.545,1e-12
153.0,152.03799999999998,16.58962,-106.92288,12.7635,12.7636,12.7428,34.8064,34.8139,1026.9738,26.2901,0.09865399999999999,0.42100000000000004,259.50419,0.141,96.5354,1e-12
154.0,153.031,16.58962,-106.92288,12.7355,12.7356,12.7147,34.8086,34.8161,1026.9855,26.2973,0.093077,0.42200000000000004,259.64875,0.1399,96.5625,1e-12
155.0,154.024,16.58962,-106.92288,12.7218,12.7219,12.7009,34.8089,34.8165,1026.9931,26.3003,0.08986,0.42200000000000004,259.72096,0.1405,96.5474,1e-12
156.0,155.018,16.58962,-106.92288,12.7026,12.7031,12.6815,34.8098,34.8173,1027.002,26.3048,0.085312,0.419,259.822,0.1392,96.5791,1e-12
157.0,156.011,16.58962,-106.92288,12.6863,12.6858,12.6651,34.8107,34.8183,1027.0105,26.3087,0.082131,0.40299999999999997,259.90682000000004,0.1322,96.7496,1e-12
158.0,157.004,16.58962,-106.92288,12.6747,12.6751,12.6535,34.8113,34.8188,1027.0177,26.3114,0.07985,0.415,259.96743,0.0842,97.9156,1e-12
159.0,157.998,16.58962,-106.92288,12.6625,12.6625,12.6411,34.8123,34.82,1027.0254,26.3147,0.079183,0.37200000000000005,260.0309,0.0844,97.9112,1e-12
160.0,158.991,16.58962,-106.92288,12.6503,12.6503,12.6287,34.8124,34.8199,1027.0324,26.3171,0.07568,0.43799999999999994,260.09565,0.0835,97.9338,1e-12
