Pressure [dbar],depSMignore,latitude,longitude,t090C,t190C,potemp090C,sal00,sal11,density00,sigma-t00,flSP,sbox0Mm/Kg,oxsolMm/Kg,CStarAt0,CStarTr0,v2,v3,ph,par
22.0,21.864,20.30536,-106.21943999999999,26.0621,26.0616,26.0572,34.6727,34.6829,1022.8618,22.7671,0.28565999999999997,198.55700000000002,203.58729,0.1902,95.3553,1.4193,2.2578,-2.04,1e-12
23.0,22.858,20.30536,-106.21943999999999,26.0595,26.0595,26.0544,34.6731,34.6833,1022.8672,22.7682,0.26589,198.683,203.59527,0.1873,95.4256,1.4196,2.2571,-2.041,1e-12
24.0,23.851999999999997,20.30536,-106.21943999999999,26.0615,26.061,26.0562,34.6729,34.683,1022.8706,22.7673,0.26398,198.39700000000002,203.58883,0.1903,95.3523,1.4195,2.2569,-2.042,1e-12
25.0,24.845,20.30536,-106.21943999999999,26.0598,26.0588,26.0542,34.673,34.6833,1022.8756,22.768,0.29279,198.99400000000003,203.59447,0.1877,95.4156,1.4196,2.2571,-2.04,1e-12
26.0,25.839000000000002,20.30536,-106.21943999999999,26.0535,26.0527,26.0477,34.6737,34.6839,1022.8824,22.7705,0.27904,198.71400000000003,203.6146,0.1866,95.4419,1.4199,2.2571,-2.04,1e-12
27.0,26.833000000000002,20.30536,-106.21943999999999,26.0482,26.0479,26.0422,34.6737,34.6838,1022.8884,22.7722,0.27925,198.998,203.63234,0.1863,95.4488,1.4199,2.2568,-2.04,1e-12
28.0,27.826999999999998,20.30536,-106.21943999999999,26.0398,26.0398,26.0336,34.6738,34.6838,1022.8953,22.7748,0.30206,198.907,203.66048999999998,0.1905,95.3494,1.4204,2.256,-2.041,1e-12
29.0,28.82,20.30536,-106.21943999999999,26.0365,26.0359,26.03,34.6737,34.6837,1022.9006,22.7758,0.30166,197.989,203.67175,0.1896,95.3689,1.4209,2.2557,-2.04,1e-12
30.0,29.814,20.30536,-106.21943999999999,26.0314,26.0276,26.0247,34.6734,34.6833,1022.9063,22.7772,0.3017,199.25799999999998,203.68932,0.1919,95.3163,1.4211,2.2556,-2.04,1e-12
31.0,30.808000000000003,20.30536,-106.21943999999999,25.9402,25.9211,25.9333,34.6712,34.6808,1022.9373,22.8039,0.32576,198.80200000000002,203.999,0.1923,95.3067,1.4229,2.2534,-2.041,1e-12
32.0,31.802,20.30536,-106.21943999999999,25.4401,25.451,25.4331,34.6592,34.6664,1023.087,22.9491,0.47543,198.176,205.71515,0.2068,94.9621,1.4318,2.2414,-2.0580000000000003,1e-12
33.0,32.795,20.30536,-106.21943999999999,24.6733,24.6598,24.6663,34.624,34.6289,1023.2979,23.1555,0.66233,193.175,208.41772,0.232,94.3643,1.4495,2.2149,-2.082,1e-12
34.0,33.789,20.30536,-106.21943999999999,23.0048,23.0192,22.9979,34.5713,34.5718,1023.7532,23.6059,1.4566,190.092,214.50717999999998,0.2706,93.461,1.5186,2.1464,-2.133,1e-12
35.0,34.783,20.30536,-106.21943999999999,21.8337,21.8374,21.8268,34.5744,34.5809,1024.0926,23.9404,3.3004,167.00099999999998,218.90472000000003,0.4057,90.3612,1.6252,2.0591,-2.169,1e-12
36.0,35.775999999999996,20.30536,-106.21945,21.4987,21.5026,21.4918,34.5712,34.58,1024.1878,24.0311,3.714,139.14600000000002,220.19697999999997,0.4327,89.7469,1.7372,1.9997,-2.1790000000000003,1e-12
37.0,36.77,20.30536,-106.21946000000001,21.1607,21.1524,21.1536,34.5675,34.577,1024.2819,24.1208,3.2324,133.648,221.52652999999998,0.4146,90.1542,1.8236,1.9698,-2.189,1e-12
38.0,37.764,20.30536,-106.21946000000001,20.56,20.5611,20.5529,34.5772,34.5837,1024.4564,24.2906,1.7973,120.64399999999999,223.89354,0.2974,92.8398,1.9515,1.9316,-2.209,1e-12
39.0,38.757,20.30536,-106.21946000000001,20.4015,20.4031,20.3942,34.5675,34.5749,1024.4958,24.3256,1.64,96.164,224.545,0.2544,93.8383,2.065,1.9078,-2.213,1e-12
40.0,39.751,20.30536,-106.21946000000001,20.0241,20.0202,20.0167,34.5722,34.5786,1024.6038,24.429,1.7858,95.46,226.07047999999998,0.2431,94.1045,2.1249,1.8921,-2.225,1e-12
41.0,40.745,20.30536,-106.21945,19.73,19.7281,19.7226,34.5712,34.5762,1024.6846,24.5053,1.2789,85.279,227.27907000000002,0.2182,94.6898,2.1997,1.8673,-2.235,1e-12
42.0,41.739,20.30536,-106.21946000000001,19.2592,19.2585,19.2517,34.5615,34.5684,1024.8036,24.6197,1.0714,81.977,229.25211000000002,0.2026,95.0612,2.2908,1.8367,-2.249,1e-12
43.0,42.732,20.30536,-106.21946000000001,19.0558,19.0559,19.0481,34.5526,34.559,1024.8534,24.6651,1.2282,71.263,230.12089,0.1888,95.3885,2.3738,1.8167,-2.255,1e-12
44.0,43.726000000000006,20.30536,-106.21946000000001,19.0,18.9991,18.9922,34.5446,34.5522,1024.8659,24.6731,0.88279,69.137,230.36944,0.185,95.4798,2.4176,1.7978,-2.258,1e-12
45.0,44.718999999999994,20.30536,-106.21946000000001,18.9062,18.9055,18.8983,34.5439,34.5518,1024.8936,24.6964,0.85254,69.064,230.76799,0.1844,95.4949,2.4499,1.7862,-2.261,1e-12
46.0,45.713,20.30536,-106.21946000000001,18.8523,18.8523,18.8442,34.5438,34.5513,1024.9116,24.71,0.8385799999999999,66.883,230.99727000000001,0.1764,95.6857,2.4743,1.7779,-2.261,1e-12
47.0,46.707,20.30536,-106.21946000000001,18.752,18.7539,18.7437,34.5438,34.5504,1024.9414,24.7354,0.7974100000000001,65.0,231.42498999999998,0.1727,95.775,2.4945,1.7712,-2.265,1e-12
48.0,47.7,20.30536,-106.21946000000001,18.6712,18.675,18.6628,34.5437,34.5507,1024.9661,24.7556,0.79322,62.593,231.77045,0.1678,95.8929,2.5217,1.7648,-2.267,1e-12
49.0,48.693999999999996,20.30536,-106.21946000000001,18.4293,18.4253,18.4208,34.5452,34.5529,1025.0325,24.8174,0.71308,60.927,232.80837000000002,0.1643,95.9757,2.5538,1.7533,-2.276,1e-12
50.0,49.688,20.30536,-106.21946000000001,18.2405,18.2398,18.2319,34.5438,34.5515,1025.0828,24.8633,0.61164,56.284,233.6286,0.1557,96.1819,2.622,1.7336,-2.281,1e-12
51.0,50.681000000000004,20.30536,-106.21946000000001,18.0001,18.0015,17.9914,34.5379,34.5451,1025.1422,24.9181,0.58692,52.335,234.68899,0.1507,96.3037,2.6713,1.7182,-2.289,1e-12
52.0,51.675,20.30536,-106.21946000000001,17.5803,17.5736,17.5716,34.5423,34.5504,1025.2527,25.0239,0.5098600000000001,49.115,236.53588,0.1476,96.3777,2.7513,1.6916,-2.3040000000000003,1e-12
53.0,52.668,20.30536,-106.21946000000001,17.3333,17.3296,17.3245,34.5526,34.5601,1025.3247,25.0913,0.49832,42.745,237.62301000000002,0.1431,96.4869,2.8513,1.6686,-2.309,1e-12
54.0,53.662,20.30536,-106.21946000000001,17.2335,17.233,17.2245,34.5537,34.56,1025.354,25.1161,0.48478000000000004,36.573,238.07003999999998,0.1409,96.5393,2.9226,1.6553,-2.314,1e-12
55.0,54.656000000000006,20.30536,-106.21946000000001,17.1627,17.1604,17.1536,34.5528,34.5609,1025.3747,25.1324,0.4629,35.079,238.39087,0.1385,96.5968,2.9586,1.6466,-2.3169999999999997,1e-12
56.0,55.65,20.30536,-106.21946000000001,17.0539,17.0527,17.0447,34.5572,34.5656,1025.4084,25.1616,0.4637,34.262,238.87597000000002,0.1386,96.5944,2.9956,1.6358,-2.32,1e-12
57.0,56.643,20.30536,-106.21946000000001,17.0059,17.0051,16.9966,34.5573,34.5651,1025.4243,25.173,0.46107,31.814,239.09363,0.1373,96.6251,3.0224,1.6308,-2.3209999999999997,1e-12
58.0,57.637,20.30536,-106.21946000000001,16.8934,16.8915,16.8839,34.5575,34.5658,1025.4556,25.1998,0.42452,31.566,239.60607000000002,0.1377,96.6159,3.0406,1.6226,-2.326,1e-12
59.0,58.63,20.30536,-106.21946000000001,16.7478,16.7469,16.7382,34.5651,34.5738,1025.5002,25.24,0.4181,30.589000000000002,240.25911000000002,0.1351,96.6792,3.0683,1.6106,-2.33,1e-12
60.0,59.623999999999995,20.30536,-106.21946000000001,16.7162,16.716,16.7065,34.5642,34.5722,1025.5114,25.2467,0.4054,28.237,240.40528999999998,0.1338,96.7096,3.0942,1.6025,-2.332,1e-12
61.0,60.617,20.30536,-106.21946000000001,16.6729,16.6716,16.663,34.5636,34.5719,1025.5256,25.2564,0.38085,27.980999999999998,240.60551,0.1336,96.7159,3.1064,1.5973,-2.333,1e-12
62.0,61.611000000000004,20.30536,-106.21946000000001,16.5887,16.5868,16.5787,34.5674,34.576,1025.5526,25.2789,0.36718,27.726999999999997,240.98678999999998,0.1325,96.7425,3.1209,1.5909,-2.334,1e-12
63.0,62.605,20.30536,-106.21946000000001,16.514,16.5164,16.5039,34.572,34.5794,1025.578,25.2999,0.38815,26.19,241.3243,0.132,96.754,3.1383,1.5882,-2.3369999999999997,1e-12
64.0,63.598,20.30536,-106.21946000000001,16.3854,16.3849,16.3751,34.582,34.5903,1025.6201,25.3375,0.32,25.073,241.90385,0.13,96.8015,3.1655,1.5812,-2.3409999999999997,1e-12
65.0,64.592,20.30536,-106.21945,16.3436,16.3433,16.3332,34.6032,34.6118,1025.6505,25.3634,0.33425,22.701,242.06305,0.1279,96.8536,3.226,1.5733,-2.344,1e-12
66.0,65.585,20.30536,-106.21945,16.2292,16.2296,16.2187,34.6096,34.616,1025.6864,25.3947,0.31811999999999996,17.815,242.58577999999997,0.1291,96.8232,3.2934,1.5694,-2.346,1e-12
67.0,66.579,20.30536,-106.21943999999999,16.1425,16.1423,16.1319,34.6132,34.6217,1025.7136,25.4175,0.27404,18.301,242.98533999999998,0.1254,96.9144,3.3051,1.5625,-2.351,1e-12
68.0,67.572,20.30536,-106.21943999999999,16.0429,16.0418,16.0322,34.63,34.6385,1025.7538,25.4532,0.24231,16.923,243.42473999999999,0.1227,96.9778,3.3456,1.553,-2.354,1e-12
69.0,68.566,20.30536,-106.21943999999999,15.9854,15.9848,15.9746,34.6391,34.6476,1025.7784,25.4733,0.23165999999999998,14.345999999999998,243.68008999999998,0.1212,97.0162,3.398,1.5441,-2.355,1e-12
70.0,69.559,20.30536,-106.21946000000001,15.96,15.9609,15.949,34.6437,34.6519,1025.7922,25.4827,0.23151,11.44,243.79213,0.1201,97.0412,3.4265,1.5423,-2.356,1e-12
71.0,70.553,20.30536,-106.21946000000001,15.8321,15.8307,15.821,34.6634,34.6721,1025.841,25.5269,0.20108,10.999,244.36383999999998,0.1186,97.0783,3.4527,1.5376,-2.3609999999999998,1e-12
72.0,71.546,20.30536,-106.21946000000001,15.6887,15.6871,15.6775,34.6848,34.6933,1025.8945,25.5758,0.16787,8.174,245.00895,0.1172,97.1114,3.509,1.5269,-2.363,1e-12
73.0,72.54,20.30536,-106.21943999999999,15.6232,15.6218,15.6119,34.6929,34.7016,1025.9199,25.5968,0.15165,5.6160000000000005,245.30716,0.1222,96.9922,3.5597,1.518,-2.366,1e-12
74.0,73.533,20.30536,-106.21943999999999,15.5158,15.5126,15.5044,34.7078,34.7166,1025.96,25.6323,0.14326,4.575,245.79592000000002,0.1163,97.1339,3.5935,1.5121,-2.369,1e-12
75.0,74.527,20.30536,-106.21943999999999,15.4342,15.4332,15.4227,34.7172,34.7259,1025.9901,25.6579,0.14618,3.14,246.17123999999998,0.1165,97.1293,3.6203,1.5045,-2.373,1e-12
76.0,75.52,20.30536,-106.21943999999999,15.3912,15.3901,15.3795,34.7245,34.7331,1026.0097,25.673,0.15792,2.568,246.36574,0.1195,97.0575,3.6411,1.4988,-2.373,1e-12
77.0,76.514,20.30536,-106.21943999999999,15.3468,15.3465,15.335,34.7303,34.739,1026.0286,25.6874,0.16995,2.108,246.5695,0.1198,97.049,3.6552,1.495,-2.374,1e-12
78.0,77.507,20.30536,-106.21943999999999,15.3098,15.3098,15.2979,34.7331,34.7413,1026.0434,25.6978,0.18270999999999998,1.517,246.74326000000002,0.1226,96.9802,3.6645,1.4924,-2.377,1e-12
79.0,78.501,20.30536,-106.21943999999999,15.293,15.2927,15.2809,34.7335,34.742,1026.0519,25.7018,0.18864,1.409,246.82381,0.1223,96.9899,3.6711,1.4878,-2.377,1e-12
80.0,79.494,20.30536,-106.21943999999999,15.2829,15.2827,15.2707,34.7334,34.7419,1026.0585,25.704,0.1924,1.375,246.87277000000003,0.1225,96.9842,3.6738,1.4849,-2.378,1e-12
81.0,80.488,20.30536,-106.21943999999999,15.2708,15.2703,15.2584,34.7336,34.742,1026.0658,25.7068,0.20656,1.3230000000000002,246.93094,0.126,96.8987,3.673,1.4845,-2.378,1e-12
82.0,81.48100000000001,20.30536,-106.21943999999999,15.1662,15.1647,15.1538,34.7423,34.751,1026.1002,25.7366,0.28258,1.3459999999999999,247.42254,0.1313,96.7706,3.6753,1.4799,-2.3819999999999997,1e-12
83.0,82.475,20.30536,-106.21943999999999,15.0411,15.0405,15.0286,34.7546,34.7632,1026.1418,25.7737,0.39245,1.146,248.0097,0.1415,96.5244,3.6806,1.4711,-2.387,1e-12
84.0,83.46799999999999,20.30536,-106.21943999999999,15.0031,15.0032,14.9904,34.7558,34.7647,1026.1556,25.783,0.42938999999999994,0.904,248.19296,0.1458,96.4194,3.6826,1.4673,-2.387,1e-12
85.0,84.462,20.30536,-106.21943999999999,14.9831,14.9831,14.9703,34.7554,34.7638,1026.1641,25.787,0.43743999999999994,0.8809999999999999,248.29113999999998,0.1462,96.4116,3.6842,1.4632,-2.387,1e-12
86.0,85.455,20.30536,-106.21943999999999,14.8656,14.8638,14.8527,34.763,34.7715,1026.2002,25.8186,0.49823,0.853,248.85353999999998,0.1469,96.3945,3.6856,1.4575,-2.391,1e-12
87.0,86.449,20.30536,-106.21943999999999,14.7099,14.7088,14.697,34.7734,34.7821,1026.2467,25.8605,0.52894,0.871,249.60107999999997,0.15,96.3204,3.6862,1.448,-2.396,1e-12
88.0,87.44200000000001,20.30536,-106.21943999999999,14.6466,14.6462,14.6335,34.7759,34.7842,1026.2669,25.8761,0.52853,0.84,249.90977999999998,0.1479,96.3694,3.6868,1.4393,-2.4,1e-12
89.0,88.436,20.30536,-106.21943999999999,14.5735,14.5731,14.5603,34.7794,34.7866,1026.2899,25.8946,0.54472,0.835,250.26561,0.1486,96.3537,3.6866,1.4359,-2.401,1e-12
90.0,89.429,20.30536,-106.21943999999999,14.458,14.4585,14.4448,34.7842,34.7911,1026.323,25.9231,0.55004,0.838,250.83088999999998,0.149,96.343,3.6862,1.4313,-2.404,1e-12
91.0,90.42299999999999,20.30536,-106.21943999999999,14.3884,14.3871,14.3751,34.786,34.7942,1026.3438,25.9394,0.53815,0.843,251.1747,0.1488,96.3493,3.6875,1.4211,-2.405,1e-12
92.0,91.416,20.30536,-106.21943999999999,14.3469,14.3462,14.3335,34.7874,34.7956,1026.3583,25.9493,0.5329,0.8440000000000001,251.37954,0.1481,96.3655,3.6886,1.4145,-2.408,1e-12
93.0,92.40899999999999,20.30536,-106.21943999999999,14.2451,14.2422,14.2316,34.7889,34.7978,1026.3858,25.9722,0.54413,0.802,251.8874,0.1467,96.3991,3.6891,1.4083,-2.412,1e-12
94.0,93.40299999999999,20.30536,-106.21943999999999,14.1721,14.1712,14.1585,34.7917,34.7998,1026.408,25.9898,0.54613,0.8320000000000001,252.2488,0.1455,96.4279,3.6897,1.4006,-2.4130000000000003,1e-12
95.0,94.396,20.30536,-106.21943999999999,14.1402,14.1394,14.1264,34.7929,34.8013,1026.4201,25.9975,0.55693,0.758,252.40766000000002,0.1446,96.449,3.6896,1.3971,-2.415,1e-12
96.0,95.39,20.30536,-106.21943999999999,14.1279,14.1274,14.114,34.7937,34.8019,1026.4278,26.0007,0.53369,0.672,252.46842999999998,0.1446,96.4498,3.6891,1.3944,-2.414,1e-12
97.0,96.383,20.30536,-106.21943999999999,14.0837,14.0822,14.0697,34.7957,34.8039,1026.4431,26.0115,0.5040100000000001,0.7020000000000001,252.68757000000002,0.1443,96.4565,3.69,1.3914,-2.417,1e-12
98.0,97.37700000000001,20.30536,-106.21943999999999,14.0159,14.0152,14.0018,34.8003,34.8083,1026.4655,26.0294,0.4715,0.7070000000000001,253.02247999999997,0.1427,96.4966,3.6892,1.3888,-2.419,1e-12
99.0,98.37,20.30536,-106.21943999999999,13.9707,13.9704,13.9565,34.8008,34.8087,1026.48,26.0393,0.43175,0.682,253.25055,0.1419,96.5158,3.6891,1.3844,-2.42,1e-12
100.0,99.363,20.30536,-106.21943999999999,13.9041,13.9037,13.8898,34.8047,34.8126,1026.5015,26.0562,0.39893,0.6629999999999999,253.58203999999998,0.1407,96.5422,3.6907,1.3787,-2.423,1e-12
101.0,100.35700000000001,20.30536,-106.21943999999999,13.8773,13.8771,13.8628,34.8066,34.8147,1026.5131,26.0634,0.38093,0.6779999999999999,253.71478,0.1412,96.5325,3.6911,1.3744,-2.423,1e-12
102.0,101.35,20.30536,-106.21943999999999,13.8497,13.8491,13.8351,34.8072,34.8154,1026.5237,26.0696,0.3592,0.62,253.85429,0.1414,96.5257,3.6911,1.3713,-2.423,1e-12
103.0,102.34299999999999,20.30536,-106.21943999999999,13.821,13.821,13.8064,34.8077,34.8158,1026.5346,26.076,0.34796,0.5870000000000001,253.99924,0.1402,96.5561,3.6917,1.3681,-2.426,1e-12
104.0,103.337,20.30536,-106.21943999999999,13.7417,13.741,13.7269,34.8109,34.8185,1026.5582,26.0949,0.32500999999999997,0.568,254.39893999999998,0.1391,96.5825,3.6922,1.3644,-2.4290000000000003,1e-12
105.0,104.33,20.30536,-106.21943999999999,13.712,13.7113,13.6971,34.8124,34.8205,1026.57,26.1022,0.30556,0.618,254.54822000000001,0.1383,96.6011,3.6923,1.3598,-2.428,1e-12
106.0,105.324,20.30536,-106.21943999999999,13.6871,13.6867,13.6721,34.8131,34.8212,1026.5802,26.108,0.28426,0.644,254.67435,0.1383,96.6025,3.6923,1.3573,-2.4290000000000003,1e-12
107.0,106.31700000000001,20.30536,-106.21943999999999,13.6263,13.6267,13.6112,34.8142,34.8223,1026.5982,26.1214,0.2629,0.574,254.98443999999998,0.1377,96.6173,3.6924,1.3538,-2.434,1e-12
108.0,107.31,20.30536,-106.21943999999999,13.5919,13.5915,13.5767,34.8146,34.8227,1026.6102,26.1288,0.25139,0.631,255.1605,0.1359,96.6601,3.6924,1.3501,-2.434,1e-12
109.0,108.304,20.30536,-106.21943999999999,13.5835,13.5829,13.5682,34.8137,34.8218,1026.6156,26.1298,0.24891,0.563,255.20526,0.1353,96.6741,3.6924,1.348,-2.4330000000000003,1e-12
110.0,109.29700000000001,20.30536,-106.21943999999999,13.577,13.5767,13.5615,34.813,34.8211,1026.6209,26.1306,0.24794000000000002,0.5710000000000001,255.2403,0.1351,96.6786,3.6924,1.3464,-2.435,1e-12
111.0,110.29,20.30536,-106.21943999999999,13.5762,13.576,13.5605,34.8126,34.8207,1026.6252,26.1305,0.24681,0.57,255.24509,0.135,96.681,3.6927,1.3455,-2.434,1e-12
112.0,111.28399999999999,20.30536,-106.21943999999999,13.5727,13.5726,13.5569,34.8122,34.8204,1026.6301,26.1309,0.24226,0.588,255.26348,0.1359,96.6606,3.6925,1.3448,-2.435,1e-12
113.0,112.277,20.30536,-106.21943999999999,13.5572,13.5572,13.5413,34.8133,34.8213,1026.6386,26.1349,0.23273000000000002,0.588,255.34147000000002,0.1362,96.6524,3.6933,1.3437,-2.436,1e-12
114.0,113.27,20.30536,-106.21943999999999,13.5438,13.5437,13.5278,34.8138,34.8219,1026.6462,26.1381,0.22474,0.563,255.40962000000002,0.1347,96.6883,3.6932,1.3428,-2.436,1e-12
115.0,114.264,20.30536,-106.21943999999999,13.5014,13.5006,13.4853,34.8152,34.8236,1026.6606,26.1479,0.20794,0.59,255.6257,0.1346,96.6898,3.6934,1.3405,-2.435,1e-12
116.0,115.257,20.30536,-106.21943999999999,13.4331,13.4331,13.4169,34.8177,34.8257,1026.6811,26.1638,0.18069000000000002,0.562,255.97437999999997,0.1333,96.7234,3.6934,1.3372,-2.441,1e-12
117.0,116.25,20.30536,-106.21943999999999,13.4127,13.4127,13.3963,34.8174,34.8256,1026.6895,26.1678,0.17419,0.5760000000000001,256.08046,0.1324,96.7441,3.6935,1.3339,-2.44,1e-12
118.0,117.244,20.30536,-106.21943999999999,13.3975,13.3973,13.381,34.8169,34.8252,1026.6968,26.1706,0.16827,0.584,256.15993,0.1329,96.7329,3.6935,1.332,-2.4419999999999997,1e-12
119.0,118.23700000000001,20.30536,-106.21943999999999,13.3885,13.3881,13.3719,34.8167,34.8247,1026.7029,26.1722,0.16567,0.563,256.20713,0.133,96.731,3.6936,1.3305,-2.4419999999999997,1e-12
120.0,119.23,20.30536,-106.21943999999999,13.3826,13.3826,13.3659,34.8164,34.8245,1026.7083,26.1731,0.16235,0.5670000000000001,256.23804,0.1332,96.7258,3.6935,1.3297,-2.4419999999999997,1e-12
121.0,120.22399999999999,20.30536,-106.21943999999999,13.3743,13.3746,13.3574,34.816,34.8242,1026.7142,26.1746,0.16069,0.594,256.28176,0.1326,96.739,3.6935,1.3287,-2.4419999999999997,1e-12
122.0,121.21700000000001,20.30536,-106.21943999999999,13.3559,13.3559,13.3389,34.8162,34.8243,1026.7226,26.1785,0.157,0.545,256.37707,0.1323,96.7465,3.6936,1.3276,-2.4419999999999997,1e-12
123.0,122.21,20.30536,-106.21943999999999,13.348,13.3481,13.3309,34.8164,34.8247,1026.7289,26.1803,0.15450999999999998,0.5720000000000001,256.41754,0.1328,96.7341,3.6936,1.3264,-2.4419999999999997,1e-12
124.0,123.20299999999999,20.30536,-106.21943999999999,13.3249,13.3241,13.3077,34.8174,34.8257,1026.7388,26.1857,0.14752,0.575,256.53566,0.1329,96.7333,3.6936,1.3255,-2.441,1e-12
125.0,124.197,20.30536,-106.21943999999999,13.3095,13.3095,13.2921,34.8198,34.8278,1026.7483,26.1907,0.14138,0.569,256.61144,0.1329,96.7337,3.6936,1.3239,-2.441,1e-12
126.0,125.19,20.30536,-106.21943999999999,13.2997,13.2991,13.2822,34.8195,34.8275,1026.7545,26.1925,0.13847,0.581,256.6629,0.1326,96.7407,3.6935,1.323,-2.444,1e-12
127.0,126.18299999999999,20.30536,-106.21943999999999,13.2596,13.2591,13.242,34.8195,34.8275,1026.7672,26.2006,0.12974000000000002,0.51,256.87164,0.1328,96.735,3.6935,1.3217,-2.4459999999999997,1e-12
128.0,127.176,20.30536,-106.21943999999999,13.2464,13.2464,13.2287,34.8181,34.8262,1026.7733,26.2022,0.12758,0.532,256.9429,0.1321,96.7508,3.6935,1.3199,-2.444,1e-12
129.0,128.17,20.30536,-106.21943999999999,13.2275,13.2271,13.2096,34.8171,34.8252,1026.7809,26.2053,0.12537,0.47600000000000003,257.04334,0.1318,96.7594,3.6941,1.3185,-2.4459999999999997,1e-12
130.0,129.16299999999998,20.30536,-106.21943999999999,13.1967,13.1961,13.1787,34.8173,34.8256,1026.7918,26.2117,0.1183,0.526,257.20377,0.1316,96.7646,3.694,1.3165,-2.4459999999999997,1e-12
131.0,130.156,20.30536,-106.21943999999999,13.1688,13.1678,13.1507,34.8193,34.8272,1026.8035,26.2189,0.11145999999999999,0.524,257.34575,0.1316,96.7641,3.6944,1.3142,-2.4459999999999997,1e-12
