Pressure [dbar],timeS,longitude,latitude,depSMignore,t090C,t190C,c0uS/cm,c1S/m,flECO-AFL,CStarAt0,CStarTr0,par,modError,v0,v1,v2,v3,v4,v5,v6,v7,sbeox0V,sbeox1V,sal00,sal11,sigma-�00,sigma-�11,sbeox0Mm/L,sbeox1Mm/L,sbeox0PS,sbeox1PS
26.0,95.975,-106.85836,16.8554,26,28.6284,28.5938,56271,5.635558,0.1052,0.0848,97.9016,113.78,0,2.3638,2.3498,0.0616,0.1147,4.5544,0,3.0701,0,2.3624,2.3482,34.5601,34.6442,21.8594,21.934,198.129,207.979,99.208,104.13
27.0,98.722,-106.85836,16.8554,27,28.5631,28.5006,56196,5.628223,0.1035,0.0849,97.9004,108.05,0,2.3599,2.3518,0.0614,0.1148,4.5543,0,3.0477,0,2.3821,2.3578,34.5558,34.661,21.8778,21.9775,202.447,210.144,101.26,105.065
28.0,99.685,-106.85836,16.8554,28,28.1991,28.1552,55760,5.586154,0.1099,0.0881,97.8221,105.98,0,2.3602,2.3479,0.062,0.1148,4.5507,0,3.0393,0,2.4041,2.3647,34.5179,34.6208,21.9692,22.0609,206.821,213.16,102.814,105.95
29.0,101.098,-106.85836,16.8554,29,27.9133,27.8672,55450,5.554721,0.1352,0.093,97.7031,103.41,0,2.3715,2.3504,0.0645,0.1148,4.5452,0,3.0286,0,2.4103,2.3872,34.5103,34.612,22.0568,22.1483,205.688,215.741,101.771,106.723
30.0,106.433,-106.85836,16.8554,30,27.9709,27.9367,55517,5.562445,0.1453,0.0943,97.6705,100.02,0,2.4104,2.3876,0.0655,0.1148,4.5436,0,3.0142,0,2.4376,2.4029,34.5143,34.6148,22.041,22.1277,211.66,218.846,104.822,108.378
31.0,107.86,-106.85836,16.8554,31,27.3005,27.2441,54825,5.491972,0.1484,0.0962,97.6248,96.689,0,2.3967,2.3748,0.0658,0.1148,4.5415,0,2.9995,0,2.4682,2.4412,34.5202,34.6293,22.2626,22.3628,216.19,225.297,105.897,110.323
32.0,108.988,-106.85836,16.8554,32,27.0798,27.0343,54592,5.468189,0.1611,0.0972,97.5997,92.35,0,2.4204,2.3842,0.0671,0.1147,4.5403,0,2.9795,0,2.4809,2.4536,34.518,34.6159,22.3317,22.4199,218.173,227.072,106.479,110.8
33.0,109.975,-106.85836,16.85538,33,26.9981,26.9531,54504,5.45921,0.1792,0.0996,97.5409,88.188,0,2.4465,2.4109,0.0689,0.1148,4.5376,0,2.9595,0,2.49,2.4635,34.5156,34.6121,22.356,22.443,218.771,228.168,106.625,111.182
34.0,113.619,-106.85836,16.85538,34,27.0094,26.9848,54521,5.461734,0.191,0.0997,97.5384,85.75,0,2.4847,2.4598,0.0701,0.1147,4.5375,0,2.9474,0,2.4851,2.4645,34.5193,34.6061,22.3552,22.4284,217.234,227.112,105.898,110.721
35.0,117.164,-106.85836,16.85538,35,26.928,26.8963,54449,5.456109,0.1727,0.0988,97.5601,82.969,0,2.4834,2.4696,0.0683,0.1148,4.5385,0,2.9331,0,2.4948,2.4577,34.528,34.6318,22.3877,22.476,219.27,227.884,106.751,110.951
36.0,117.969,-106.85836,16.85538,36,26.1758,26.1129,53710,5.385441,0.1859,0.1023,97.4744,79.695,0,2.4752,2.4654,0.0696,0.1147,4.5345,0,2.9156,0,2.4946,2.4654,34.5595,34.7112,22.6486,22.7827,222.541,231.536,107.01,111.315
37.0,118.915,-106.85836,16.85538,37,25.5636,25.5056,53055,5.318582,0.2188,0.1071,97.3578,76.255,0,2.4751,2.4531,0.0729,0.1148,4.5291,0,2.8965,0,2.5065,2.4701,34.5446,34.6843,22.8273,22.9506,228.478,235.449,108.73,112.027
38.0,121.484,-106.85836,16.85538,38,25.5164,25.4988,52997,5.31072,0.2528,0.1068,97.3653,72.703,0,2.4998,2.4699,0.0763,0.1148,4.5294,0,2.8757,0,2.5107,2.4927,34.5375,34.6314,22.8365,22.9126,226.053,236.908,107.484,112.67
39.0,125.643,-106.85836,16.85538,39,25.3717,25.4792,52847,5.316137,0.2468,0.1065,97.3737,69.091,0,2.5172,2.5053,0.0757,0.1147,4.5298,0,2.8537,0,2.4968,2.4737,34.5368,34.686,22.8802,22.9598,225.34,234.294,106.884,111.427
40.0,126.781,-106.85836,16.85538,40,24.8533,24.8128,52295,5.239279,0.2694,0.1115,97.2513,65.725,0,2.5003,2.4974,0.0779,0.1147,4.5241,0,2.832,0,2.4948,2.4786,34.5241,34.628,23.0286,23.1194,227.052,238.118,106.744,111.936
41.0,127.877,-106.85836,16.85538,41,24.7664,24.724,52200,5.228897,0.3015,0.1135,97.2024,62.669,0,2.4944,2.4808,0.0811,0.1147,4.5219,0,2.8114,0,2.4972,2.479,34.52,34.6187,23.0518,23.1393,228.518,238.391,107.272,111.889
42.0,129.269,-106.85836,16.85538,42,24.6255,24.5835,52045,5.213158,0.3259,0.1114,97.2543,59.564,0,2.4964,2.4759,0.0836,0.1147,4.5243,0,2.7893,0,2.5014,2.4811,34.5127,34.6093,23.0888,23.1744,229.141,239.367,107.301,112.071
43.0,133.176,-106.85836,16.85538,43,24.6136,24.5467,52037,5.209047,0.3447,0.1097,97.2956,55.244,0,2.4997,2.4823,0.0855,0.1148,4.5262,0,2.7568,0,2.4838,2.4748,34.5149,34.6066,23.0941,23.1835,225.805,237.822,105.718,111.276
44.0,135.885,-106.85836,16.85538,44,24.1162,24.072,51491,5.158323,0.3431,0.109,97.3105,53.043,0,2.4864,2.4782,0.0853,0.1147,4.5269,0,2.7391,0,2.4734,2.4597,34.4889,34.5927,23.2228,23.3145,227.158,238.099,105.431,110.491
45.0,137.319,-106.85836,16.85538,45,23.8635,23.8189,51210,5.12991,0.4018,0.1105,97.2749,50.394,0,2.4786,2.4682,0.0912,0.1148,4.5252,0,2.7169,0,2.4663,2.4537,34.4725,34.5743,23.2851,23.3753,227.341,238.504,105.047,110.185
46.0,138.368,-106.85836,16.85538,46,23.6513,23.6,50974,5.106846,0.39,0.1118,97.2434,47.581,0,2.4771,2.4641,0.09,0.1146,4.5238,0,2.692,0,2.463,2.4482,34.4576,34.5695,23.3361,23.4358,228.922,238.671,105.38,109.841
47.0,139.339,-106.85836,16.85538,47,23.4595,23.4135,50761,5.085127,0.4054,0.1118,97.2444,44.686,0,2.4735,2.46,0.0916,0.1148,4.5238,0,2.6647,0,2.4665,2.4458,34.4444,34.5493,23.3822,23.475,230.712,240.151,105.842,110.151
48.0,143.343,-106.85836,16.85538,48,23.4436,23.3504,50745,5.075655,0.4415,0.1088,97.317,41.591,0,2.4669,2.4504,0.0951,0.1147,4.5272,0,2.6338,0,2.4619,2.4512,34.4442,34.5259,23.3866,23.4756,228.767,240.506,104.918,110.176
49.0,146.715,-106.85836,16.85538,49,23.2339,23.2377,50519,5.068412,0.4291,0.1097,97.2946,39.349,0,2.4642,2.4567,0.0939,0.1148,4.5262,0,2.6097,0,2.4413,2.4273,34.435,34.5585,23.4406,23.533,226.547,237.22,103.519,108.479
50.0,147.577,-106.85836,16.85538,50,22.9551,22.9046,50213,5.030931,0.4515,0.1096,97.2968,36.977,0,2.4598,2.4571,0.0962,0.1148,4.5263,0,2.5827,0,2.4325,2.419,34.4179,34.5317,23.508,23.6088,226.378,237.608,102.927,108.009
51.0,148.407,-106.85836,16.85538,51,22.7136,22.6667,49944,5.00368,0.4717,0.1096,97.2969,34.655,0,2.4526,2.4454,0.0982,0.1148,4.5263,0,2.5546,0,2.426,2.4137,34.3993,34.5083,23.563,23.6591,228.648,239.139,103.508,108.236
52.0,149.339,-106.85836,16.85538,52,22.5442,22.4983,49759,4.984776,0.5005,0.1093,97.3035,32.521,0,2.4463,2.4336,0.1011,0.1148,4.5266,0,2.527,0,2.432,2.4179,34.3895,34.4944,23.6037,23.6963,231.451,241.33,104.459,108.895
53.0,153.408,-106.85834,16.85538,53,22.5486,22.4897,49765,4.980957,0.5591,0.1111,97.2612,29.883,0,2.4333,2.4187,0.1069,0.1148,4.5246,0,2.4908,0,2.4274,2.4192,34.39,34.4711,23.6029,23.6811,228.371,240.243,103.072,108.371
54.0,156.332,-106.85834,16.85538,54,22.3352,22.2244,49537,4.957209,0.5532,0.1092,97.307,28.159,0,2.4323,2.4287,0.1063,0.1147,4.5267,0,2.4647,0,2.4033,2.3966,34.3809,34.4959,23.6563,23.7748,226.717,238.325,101.94,107.02
55.0,157.753,-106.85834,16.85538,55,22.0508,22.0062,49221,4.929613,0.5798,0.109,97.3113,26.107,0,2.4142,2.4129,0.109,0.1148,4.5269,0,2.432,0,2.3934,2.3898,34.3585,34.453,23.7193,23.8035,226.268,238.594,101.213,106.701
56.0,159.2,-106.85834,16.85538,56,21.9555,21.9154,49116,4.919465,0.5807,0.1033,97.4494,24.638,0,2.4055,2.3998,0.1091,0.1148,4.5334,0,2.407,0,2.388,2.3837,34.3514,34.4452,23.7406,23.823,227.339,237.982,101.516,106.251
57.0,160.626,-106.85834,16.85538,57,21.8187,21.7791,48966,4.904292,0.5679,0.1005,97.5177,22.911,0,2.398,2.3929,0.1078,0.1147,4.5365,0,2.3754,0,2.3869,2.3771,34.3417,34.4341,23.7713,23.8525,228.227,238.614,101.658,106.267
58.0,163.831,-106.85834,16.85538,58,21.828,21.7816,48978,4.903694,0.5996,0.1003,97.5237,21.134,0,2.3884,2.3803,0.111,0.1147,4.5368,0,2.3406,0,2.3859,2.3744,34.3437,34.4271,23.7703,23.8465,226.884,237.726,101.077,105.872
59.0,166.832,-106.85834,16.85538,59,21.6553,21.6083,48790,4.886623,0.6226,0.1019,97.4855,19.926,0,2.3929,2.3782,0.1133,0.1147,4.535,0,2.3152,0,2.3584,2.3485,34.3328,34.4303,23.8099,23.8969,222.633,233.856,98.872,103.829
60.0,167.922,-106.85834,16.85538,60,21.4536,21.4065,48575,4.8658,0.6272,0.1045,97.4203,18.622,0,2.3861,2.3752,0.1138,0.1148,4.532,0,2.2859,0,2.3449,2.339,34.3233,34.4265,23.8583,23.9497,221.264,234.163,97.905,103.588
61.0,169.081,-106.85834,16.85538,61,21.3192,21.2791,48428,4.85056,0.6967,0.1047,97.4155,17.155,0,2.3728,2.3654,0.1207,0.1147,4.5318,0,2.2505,0,2.3289,2.3275,34.3135,34.4072,23.8877,23.9699,222.011,233.154,97.993,102.894
62.0,170.738,-106.85834,16.85538,62,21.1189,21.0741,48215,4.829315,0.7529,0.1049,97.4117,15.891,0,2.3528,2.3454,0.1263,0.1148,4.5316,0,2.2173,0,2.3335,2.3244,34.3037,34.4022,23.9348,24.0219,225.629,235.468,99.225,103.528
63.0,176.644,-106.85834,16.85538,63,21.2799,21.1489,48390,4.836759,0.8979,0.1065,97.3735,14.834,0,2.3351,2.3255,0.1408,0.1147,4.5298,0,2.1879,0,2.2915,2.2961,34.3139,34.4011,23.8988,24.0009,213.476,227.485,94.164,100.156
64.0,178.051,-106.85834,16.85538,64,20.7049,20.6556,47786,4.786859,0.9355,0.1097,97.2936,13.707,0,2.3286,2.3251,0.1445,0.1147,4.5261,0,2.1536,0,2.2557,2.2594,34.2924,34.3986,24.0381,24.1323,213.436,226.113,93.157,98.664
65.0,179.536,-106.85833,16.85538,65,20.4846,20.4432,47551,4.762907,1.1176,0.1173,97.1099,12.604,0,2.2933,2.2987,0.1627,0.1148,4.5176,0,2.1175,0,2.2373,2.2427,34.2803,34.3771,24.0879,24.1726,213.066,225.516,92.618,98.012
66.0,181.485,-106.85832,16.85538,66,20.324,20.2842,47380,4.745602,1.3402,0.1228,96.9779,11.601,0,2.2576,2.2616,0.185,0.1148,4.5114,0,2.0816,0,2.2198,2.2229,34.2717,34.3656,24.124,24.2061,212.473,223.826,92.085,96.989
67.0,185.399,-106.85832,16.85538,67,20.1778,20.1361,47224,4.728697,1.6199,0.1252,96.9189,10.562,0,2.2168,2.2195,0.213,0.1148,4.5087,0,2.0416,0,2.2058,2.2006,34.2632,34.3484,24.1563,24.2322,211.688,222.307,91.496,96.061
68.0,188.409,-106.85832,16.85538,68,20.064,20.0233,47106,4.717744,1.5566,0.1227,96.9805,9.6699,0,2.2104,2.2026,0.2066,0.1148,4.5115,0,2.0034,0,2.1503,2.1629,34.2591,34.3506,24.1832,24.2636,197.688,213.734,85.266,92.168
69.0,190.241,-106.85832,16.85538,69,19.8938,19.854,46954,4.702679,1.5664,0.1218,97,8.7806,0,2.1947,2.1951,0.2076,0.1148,4.5124,0,1.9619,0,2.0799,2.1015,34.2736,34.3654,24.2389,24.3193,190.241,204.875,81.804,88.08
70.0,191.763,-106.85832,16.85538,70,19.7689,19.7284,46855,4.692772,1.5259,0.119,97.0697,7.9407,0,2.1553,2.1664,0.2035,0.1148,4.5157,0,1.9187,0,2.0443,2.0585,34.294,34.3867,24.2871,24.3683,190.136,202.135,81.581,86.712
71.0,193.51,-106.85832,16.85538,71,19.7062,19.6693,46797,4.686586,1.4074,0.1123,97.232,7.2122,0,2.089,2.1097,0.1917,0.1148,4.5232,0,1.8774,0,2.0252,2.0344,34.2975,34.384,24.3061,24.3817,190.777,201.479,81.763,86.336
72.0,197.729,-106.85832,16.85538,72,19.6992,19.693,46797,4.689083,1.4361,0.1064,97.3756,6.4202,0,2.0161,2.0246,0.1946,0.1147,4.5299,0,1.8282,0,2.008,2.0178,34.3026,34.3847,24.3119,24.3761,188.764,199.778,80.893,85.645
73.0,200.314,-106.85832,16.85538,73,19.6378,19.5982,46737,4.68055,1.357,0.107,97.3624,5.9579,0,2.0145,2.0245,0.1867,0.1147,4.5293,0,1.7959,0,1.9788,1.9853,34.3034,34.3921,24.3285,24.4064,182.635,193.614,78.178,82.861
74.0,201.631,-106.85832,16.85538,74,19.5126,19.4713,46604,4.667799,1.2182,0.1064,97.376,5.4515,0,2.0052,2.0142,0.1728,0.1148,4.5299,0,1.7579,0,1.9541,1.9609,34.2956,34.3909,24.355,24.4384,179.285,190.935,76.564,81.522
75.0,203.058,-106.85832,16.85538,75,19.3442,19.3051,46433,4.650459,1.1431,0.1012,97.501,4.9586,0,1.9891,1.9964,0.1653,0.1147,4.5357,0,1.7175,0,1.9301,1.9388,34.2923,34.3842,24.3958,24.4761,179.172,189.083,76.275,80.48
76.0,207.306,-106.85832,16.85538,76,19.3006,19.289,46394,4.648318,1.1335,0.0965,97.6178,4.5077,0,1.933,1.9365,0.1644,0.1147,4.5412,0,1.6773,0,1.9043,1.9181,34.2956,34.3794,24.4096,24.4765,173.608,186.776,73.847,79.471
77.0,210.314,-106.85832,16.85538,77,18.9563,18.9151,46062,4.614037,1.0751,0.093,97.7018,4.152,0,1.9279,1.9384,0.1585,0.1147,4.5451,0,1.6421,0,1.7929,1.8297,34.3039,34.4034,24.5037,24.5902,151.377,169.387,63.983,71.583
78.0,211.372,-106.85832,16.85538,78,18.8787,18.8396,45992,4.606381,0.9006,0.0895,97.7868,3.8473,0,1.8992,1.9251,0.1411,0.1148,4.5491,0,1.6097,0,1.7367,1.7764,34.3093,34.4017,24.5275,24.6081,146.146,162.087,61.686,68.402
79.0,212.612,-106.85832,16.85538,79,18.6477,18.6054,45784,4.586093,0.8419,0.0895,97.7882,3.5501,0,1.8466,1.8779,0.1352,0.1147,4.5491,0,1.5757,0,1.6931,1.7255,34.3262,34.4263,24.5987,24.6858,146.837,158.636,61.716,66.663
80.0,215.947,-106.85832,16.85539,80,18.6034,18.6048,45745,4.584386,0.8564,0.0866,97.8576,3.2452,0,1.7185,1.7468,0.1366,0.1147,4.5523,0,1.5378,0,1.6718,1.698,34.3305,34.4121,24.6131,24.6752,146.741,159.459,61.624,67
81.0,219.883,-106.85832,16.8554,81,18.3796,18.3382,45548,4.563604,0.9535,0.0866,97.8581,2.9842,0,1.6871,1.708,0.1464,0.1133,4.5524,0,1.5026,0,1.5302,1.5839,34.3502,34.4596,24.684,24.778,117.11,134.229,48.981,56.137
82.0,221.207,-106.85834,16.8554,82,18.1283,18.086,45324,4.539881,0.7538,0.0811,97.9934,2.7699,0,1.6535,1.6969,0.1264,0.1148,4.5586,0,1.4713,0,1.4691,1.5097,34.3709,34.4701,24.7622,24.8485,114.755,128.507,47.776,53.491
83.0,222.517,-106.85834,16.8554,83,17.9993,17.9632,45206,4.527703,0.6746,0.0784,98.058,2.5691,0,1.5771,1.6306,0.1184,0.1147,4.5617,0,1.4398,0,1.4115,1.458,34.3784,34.4695,24.7997,24.8783,105.584,121.359,43.853,50.398
84.0,225.643,-106.85834,16.8554,84,17.9366,17.9118,45159,4.523251,0.689,0.0772,98.0901,2.349,0,1.4393,1.4791,0.1199,0.1147,4.5631,0,1.4022,0,1.3649,1.4016,34.3907,34.4746,24.8245,24.8948,107.092,119.293,44.426,49.491
85.0,229.571,-106.85834,16.8554,85,17.6847,17.6617,44942,4.504463,0.756,0.0766,98.1031,2.1797,0,1.3818,1.4033,0.1266,0.1147,4.5637,0,1.3713,0,1.2399,1.2959,34.4172,34.5252,24.9062,24.9945,82.782,96.972,34.185,40.055
86.0,230.712,-106.85834,16.8554,86,17.4887,17.4484,44765,4.483932,0.5254,0.0698,98.2687,2.0236,0,1.3625,1.41,0.1035,0.1125,4.5715,0,1.3404,0,1.1926,1.2373,34.4313,34.5297,24.9645,25.0496,81.635,92.235,33.589,37.944
87.0,231.929,-106.85834,16.8554,87,17.326,17.2865,44618,4.46901,0.4877,0.0654,98.379,1.8774,0,1.297,1.3582,0.0997,0.1132,4.5766,0,1.3094,0,1.1638,1.1979,34.4423,34.5385,25.012,25.0953,82.887,90.776,34,37.23
88.0,234.877,-106.85834,16.8554,88,17.3185,17.287,44613,4.468153,0.4674,0.0641,98.4095,1.7191,0,1.1977,1.2373,0.0978,0.1135,4.578,0,1.2729,0,1.1523,1.1732,34.4445,34.5303,25.0155,25.0889,84.824,90.975,34.79,37.31
89.0,239.393,-106.85834,16.8554,89,17.2981,17.264,44599,4.467064,0.5345,0.0639,98.4163,1.5986,0,1.1517,1.1648,0.1044,0.1126,4.5783,0,1.2435,0,1.1127,1.1395,34.4489,34.5402,25.0238,25.102,73.187,83.304,30.007,34.152
90.0,240.442,-106.85834,16.8554,90,17.1451,17.1056,44462,4.453215,0.4233,0.0631,98.4352,1.492,0,1.1531,1.1672,0.0933,0.1141,4.5792,0,1.2152,0,1.0816,1.1101,34.4605,34.5552,25.0693,25.1514,70.107,78.976,28.662,32.282
91.0,241.572,-106.85834,16.8554,91,17.0419,17.0043,44369,4.443706,0.3965,0.0617,98.4679,1.3896,0,1.1394,1.1596,0.0907,0.1127,4.5807,0,1.1863,0,1.0575,1.0846,34.4678,34.5591,25.0994,25.1783,69.131,76.285,28.208,31.122
92.0,244.843,-106.85834,16.8554,92,16.9851,16.9701,44320,4.44008,0.4016,0.0609,98.4883,1.2842,0,1.0735,1.097,0.0912,0.1132,4.5817,0,1.1544,0,1.0445,1.0654,34.473,34.5565,25.1169,25.1845,71.323,77.172,29.071,31.462
93.0,248.766,-106.85834,16.8554,93,16.9297,16.9014,44272,4.435415,0.454,0.061,98.4858,1.2047,0,1.0477,1.0649,0.0964,0.1126,4.5815,0,1.1288,0,1.0134,1.0396,34.4786,34.5745,25.1343,25.2146,63.395,70.802,25.813,28.831
94.0,249.562,-106.85834,16.8554,94,16.8028,16.7684,44160,4.422733,0.3669,0.0592,98.5297,1.1183,0,1.0492,1.0701,0.0877,0.1124,4.5836,0,1.0989,0,0.9993,1.0249,34.4889,34.5777,25.1721,25.2484,62.261,69.181,25.291,28.099
95.0,250.501,-106.85834,16.8554,95,16.764,16.7288,44124,4.419026,0.3307,0.0593,98.5286,1.0444,0,1.0411,1.0655,0.084,0.1124,4.5835,0,1.0717,0,0.9864,1.0098,34.4908,34.579,25.1827,25.2587,62.224,67.699,25.258,27.476
96.0,254.791,-106.85834,16.8554,96,16.7727,16.7283,44130,4.418364,0.3592,0.0584,98.5494,0.96562,0,0.9924,1.0097,0.0869,0.1125,4.5845,0,1.0409,0,0.9852,0.9975,34.4883,34.5733,25.1788,25.2545,63.192,68.159,25.653,27.661
97.0,258.149,-106.85834,16.8554,97,16.6522,16.6089,44021,4.409151,0.3569,0.0587,98.542,0.92118,0,1.0023,1.006,0.0867,0.1125,4.5842,0,1.0223,0,0.9184,0.9541,34.4956,34.5952,25.2126,25.2992,44.422,55.159,17.994,22.337
98.0,259.03,-106.85834,16.8554,98,16.4387,16.392,43820,4.38917,0.3282,0.0577,98.5679,0.85532,0,0.9977,1.0085,0.0838,0.1126,4.5854,0,0.9932,0,0.8891,0.9239,34.5029,34.6067,25.2679,25.3586,43.442,51.715,17.524,20.856
99.0,259.996,-106.85834,16.8554,99,16.2082,16.164,43605,4.367829,0.2967,0.0565,98.5976,0.78743,0,0.9794,1.001,0.0807,0.1124,4.5868,0,0.9611,0,0.8689,0.8984,34.5126,34.6157,25.3286,25.4181,45.97,50.889,18.462,20.433
100.0,264.156,-106.85834,16.85538,100,16.2388,16.1823,43635,4.367824,0.3016,0.055,98.6354,0.72451,0,0.881,0.9037,0.0811,0.1125,4.5885,0,0.9295,0,0.8661,0.8736,34.5118,34.5994,25.321,25.4013,49.425,51.22,19.859,20.571
