,Pressure [dbar],timeS,longitude,latitude,depSMignore,t090C,t190C,c0S/m,c1S/m,flSP,CStarAt0,CStarTr0,par,modError,v0,v1,v2,v3,v4,v5,v6,v7,sbeox0V,sal00,sal11,sigma-�00,sigma-�11,sbeox0Mg/L,sbox0Mm/Kg,sbeox0PS
10,21.13,100.09700000000001,-106.07343999999999,20.263579999999997,21.0,23.086,23.0846,5.049815,5.049826,1.6789,12.6075,4.2772,16.493,0.0,4.2772,0.5597,2.4878,0.0,4.5342,0.0,2.5137,0.0,2.4878,34.5441,34.5452,23.5643,23.5656,5.951,181.69,84.81200000000001
11,22.136999999999997,101.529,-106.07343999999999,20.26359,22.0,22.9008,22.8987,5.031209,5.031383,1.6383,12.613,4.2713,13.954,0.0,4.2713,0.5461,2.3803,0.0,4.5335,0.0,2.4409,0.0,2.3803,34.5462,34.5492,23.6192,23.6221,5.5267,168.727,78.514
12,23.143,103.609,-106.07343999999999,20.2636,23.0,22.4989,22.5035,4.991308999999999,4.992153,1.6814,12.594,4.2916,12.036,0.0,4.2916,0.5605,2.1907,0.0,4.5339,0.0,2.3772,0.0,2.1906,34.5543,34.5573,23.74,23.7409,4.934,150.615,69.605
13,24.149,105.397,-106.07343999999999,20.26359,24.0,21.9252,21.9157,4.932382,4.931893,1.4019,12.5783,4.3086,10.328,0.0,4.3086,0.4673,2.0285,0.0,4.5359,0.0,2.3102,0.0,2.0284,34.5498,34.5535,23.8979,23.9034,4.5493,138.85,63.525
14,25.156,107.324,-106.07343999999999,20.263579999999997,25.0,21.504,21.5237,4.889556,4.891986,1.564,12.5642,4.3237,8.7367,0.0,4.3237,0.5213,1.9011,0.0,4.5371,0.0,2.2373,0.0,1.901,34.5487,34.5522,24.0137,24.011,4.1899,127.865,58.075
15,26.162,110.059,-106.07343999999999,20.263579999999997,26.0,20.7619,20.7776,4.813926,4.815669000000001,1.4381,12.5355,4.3549,7.5026,0.0,4.3549,0.4794,1.6959,0.0,4.5367,0.0,2.1719,0.0,1.6958,34.5437,34.545,24.2122,24.209,3.4936,106.595,47.776
16,27.168000000000003,111.882,-106.07343999999999,20.263579999999997,27.0,19.892,19.8726,4.723546,4.722143,1.1913,12.4957,4.3984,6.5349,0.0,4.3984,0.3971,1.506,0.0,4.5389,0.0,2.1116,0.0,1.5059,34.5201,34.5246,24.4252,24.4337,2.9037,88.58,39.08
17,28.174,113.46600000000001,-106.07343999999999,20.263579999999997,28.0,19.3651,19.3546,4.66943,4.6686309999999995,1.0507,12.4739,4.4225,5.7134,0.0,4.4225,0.3502,1.3837,0.0,4.5405,0.0,2.0534,0.0,1.3835,34.5087,34.5108,24.5535,24.5577,2.6574,81.054,35.414
18,29.180999999999997,115.44,-106.07343999999999,20.263579999999997,29.0,18.9139,18.9169,4.622194,4.622965,0.98165,12.4562,4.4421,4.9544,0.0,4.4421,0.3272,1.2728,0.0,4.5421,0.0,1.9913,0.0,1.2726,34.4899,34.4939,24.6544,24.6566,2.3397,71.357,30.92
19,30.186999999999998,117.749,-106.07343999999999,20.263579999999997,30.0,18.4513,18.4475,4.575131,4.574862,0.8320700000000001,12.4412,4.4588,4.4262,0.0,4.4588,0.2774,1.168,0.0,4.5448,0.0,1.9427,0.0,1.1678,34.481,34.4818,24.7641,24.7657,2.0914,63.778,27.395
20,31.193,119.88799999999999,-106.07343999999999,20.263579999999997,31.0,18.1488,18.1468,4.544949,4.544791,0.76183,12.4309,4.4703,4.0024,0.0,4.4703,0.2539,1.0798,0.0,4.5462,0.0,1.899,0.0,1.0796,34.4792,34.4795,24.8378,24.8386,1.7469,53.266999999999996,22.754
21,32.2,121.95299999999999,-106.07343999999999,20.263579999999997,32.0,17.8999,17.8994,4.521505,4.521475,0.62888,12.4188,4.4838,3.6432,0.0,4.4838,0.2096,0.9975,0.0,4.5469,0.0,1.8581,0.0,0.9973,34.4892,34.4893,24.9067,24.907,1.5864,48.37,20.564
22,33.205999999999996,123.473,-106.07343999999999,20.263579999999997,33.0,17.724,17.7186,4.502943,4.502477,0.56243,12.4114,4.4921,3.2809,0.0,4.4921,0.1875,0.9723,0.0,4.5484,0.0,1.8125,0.0,0.972,34.4789,34.4795,24.9417,24.9435,1.5364,46.843999999999994,19.85
23,34.211999999999996,125.15799999999999,-106.07343999999999,20.263579999999997,34.0,17.5707,17.5692,4.487668,4.487464,0.62093,12.4072,4.4968,2.9293,0.0,4.4968,0.207,0.9509,0.0,4.5497,0.0,1.7632,0.0,0.9507,34.4774,34.477,24.9779,24.9779,1.4998,45.726000000000006,19.32
24,35.219,127.385,-106.07343999999999,20.263579999999997,35.0,17.4551,17.4561,4.476051999999999,4.476118,0.63993,12.4025,4.5021,2.6427,0.0,4.5021,0.2133,0.9269,0.0,4.551,0.0,1.7187,0.0,0.9266,34.4753,34.475,25.0042,25.0037,1.3959,42.559,17.942999999999998
25,36.225,129.82399999999998,-106.07343999999999,20.263579999999997,36.0,17.1887,17.189,4.4492959999999995,4.449268,0.5694899999999999,12.3966,4.5088,2.3731,0.0,4.5088,0.1898,0.8909,0.0,4.5524,0.0,1.6718,0.0,0.8906,34.4706,34.4702,25.0645,25.0641,1.2871,39.24,16.46
26,37.231,132.181,-106.07343999999999,20.263579999999997,37.0,17.0365,17.036,4.4355199999999995,4.435425,0.46092,12.3932,4.5126,2.1027,0.0,4.5126,0.1537,0.852,0.0,4.5542,0.0,1.6194,0.0,0.8517,34.4808,34.4805,25.1086,25.1084,1.0847,33.067,13.831
27,38.238,133.91299999999998,-106.07343999999999,20.263579999999997,38.0,16.9807,16.9786,4.434397,4.434203,0.37945,12.3898,4.5164,1.9022,0.0,4.5164,0.1265,0.7867,0.0,4.5554,0.0,1.5759,0.0,0.7863,34.5185,34.5187,25.1507,25.1514,0.8035,24.495,10.238
28,39.244,135.512,-106.07343999999999,20.263579999999997,39.0,16.8154,16.8122,4.420495,4.420241000000001,0.35052,12.3827,4.5244,1.7659,0.0,4.5244,0.1168,0.7304,0.0,4.5569,0.0,1.5437,0.0,0.73,34.5388,34.5394,25.2054,25.2066,0.6483,19.761,8.234
29,40.25,137.218,-106.07343999999999,20.2636,40.0,16.755,16.7542,4.417351,4.417231,0.32824000000000003,12.3794,4.5282,1.6623,0.0,4.5282,0.1094,0.686,0.0,4.5589,0.0,1.5174,0.0,0.6856,34.5629,34.5626,25.2381,25.2381,0.541,16.491,6.865
30,41.257,138.967,-106.07343999999999,20.2636,41.0,16.6726,16.6708,4.4113,4.4110949999999995,0.33164,12.3764,4.5316,1.522,0.0,4.5316,0.1105,0.6533,0.0,4.562,0.0,1.479,0.0,0.6529,34.5806,34.5804,25.2711,25.2713,0.4643,14.152999999999999,5.882999999999999
31,42.263000000000005,141.886,-106.07343999999999,20.26359,42.0,16.6306,16.6318,4.408359,4.408348999999999,0.35931,12.3883,4.5182,1.3435,0.0,4.5182,0.1198,0.6276,0.0,4.5641,0.0,1.4249,0.0,0.6272,34.5908,34.5897,25.2887,25.2876,0.4077,12.425999999999998,5.1610000000000005
32,43.269,144.55700000000002,-106.07343999999999,20.2636,43.0,16.5069,16.5053,4.401031,4.400815000000001,0.30793000000000004,12.3905,4.5157,1.2044,0.0,4.5157,0.1026,0.5877,0.0,4.5667,0.0,1.3777,0.0,0.5873,34.633,34.6325,25.3501,25.35,0.1872,5.705,2.365
33,44.276,146.033,-106.07343999999999,20.2636,44.0,16.3895,16.3864,4.393288,4.392951999999999,0.36946999999999997,12.3837,4.5233,1.1105,0.0,4.5233,0.1232,0.5567,0.0,4.5681,0.0,1.3423,0.0,0.5563,34.6664,34.6661,25.403,25.4035,0.1269,3.866,1.599
34,45.282,147.46,-106.07343999999999,20.2636,45.0,16.3436,16.3427,4.391253,4.391125,0.34199,12.383,4.5241,1.0296,0.0,4.5241,0.114,0.5407,0.0,4.5689,0.0,1.3094,0.0,0.5403,34.6878,34.6875,25.4301,25.4301,0.1016,3.096,1.28
35,46.288999999999994,149.618,-106.07343999999999,20.2636,46.0,16.2432,16.2429,4.3824819999999995,4.382207,0.41313999999999995,12.3744,4.5338,0.96686,0.0,4.5338,0.1377,0.5292,0.0,4.5699,0.0,1.2822,0.0,0.5288,34.6974,34.6951,25.4607,25.459,0.0948,2.889,1.192
36,47.295,151.511,-106.07343999999999,20.2636,47.0,16.1356,16.1347,4.371475,4.371308,0.49622,12.3876,4.5189,0.88902,0.0,4.5189,0.1654,0.5274,0.0,4.5713,0.0,1.2457,0.0,0.527,34.6932,34.6926,25.4823,25.482,0.0983,2.995,1.2329999999999999
37,48.301,153.162,-106.07343999999999,20.2636,48.0,16.0519,16.0506,4.363949,4.363733,0.58315,12.3942,4.5114,0.7983100000000001,0.0,4.5114,0.1944,0.5252,0.0,4.5728,0.0,1.1986,0.0,0.5248,34.6992,34.6983,25.5061,25.5057,0.0842,2.5669999999999997,1.055
38,49.308,156.47799999999998,-106.07343999999999,20.2636,49.0,16.0411,16.0417,4.363377,4.363372,0.68143,12.3939,4.5118,0.6873100000000001,0.0,4.5118,0.2271,0.5213,0.0,4.5765,0.0,1.1345,0.0,0.5209,34.7031,34.7025,25.5116,25.511,0.0763,2.324,0.955
39,50.31399999999999,158.576,-106.07343999999999,20.2636,50.0,16.0376,16.0381,4.363251999999999,4.363232,0.5442,12.3951,4.5105,0.62605,0.0,4.5105,0.1814,0.5201,0.0,4.5772,0.0,1.0935,0.0,0.5197,34.7046,34.7041,25.5136,25.5131,0.0743,2.262,0.93
40,51.321000000000005,159.925,-106.07343999999999,20.2636,51.0,16.0235,16.0236,4.361769000000001,4.361663,0.55557,12.3899,4.5163,0.56935,0.0,4.5163,0.1852,0.5201,0.0,4.5773,0.0,1.0522,0.0,0.5197,34.7034,34.7024,25.5159,25.5151,0.0754,2.298,0.9440000000000001
41,52.327,161.46,-106.07343999999999,20.2636,52.0,16.0159,16.0166,4.361165,4.3611699999999995,0.59856,12.3906,4.5155,0.5190600000000001,0.0,4.5155,0.1995,0.5199,0.0,4.5778,0.0,1.012,0.0,0.5195,34.7043,34.7037,25.5184,25.5178,0.0725,2.208,0.907
42,53.333,163.67,-106.07343999999999,20.2636,53.0,16.0176,16.0182,4.361845,4.361776,0.60487,12.4036,4.5009,0.46895,0.0,4.5009,0.2016,0.5183,0.0,4.5788,0.0,0.968,0.0,0.5179,34.7084,34.7073,25.5212,25.5202,0.0656,1.999,0.821
43,54.34,165.592,-106.07343999999999,20.2636,54.0,15.9964,15.9967,4.36039,4.360359,0.55179,12.4015,4.5033,0.42031,0.0,4.5033,0.1839,0.5171,0.0,4.5797,0.0,0.9205,0.0,0.5167,34.7136,34.7131,25.5301,25.5296,0.0608,1.851,0.76
44,55.346000000000004,167.55200000000002,-106.07343999999999,20.2636,55.0,15.955,15.9557,4.356636,4.356617,0.8468700000000001,12.3954,4.5101,0.37651999999999997,0.0,4.5101,0.2823,0.516,0.0,4.5805,0.0,0.8727,0.0,0.5156,34.7161,34.7153,25.5415,25.5407,0.0592,1.805,0.741
45,56.353,170.513,-106.07343999999999,20.2636,56.0,15.9002,15.9017,4.351563,4.3516129999999995,0.6401899999999999,12.4011,4.5037,0.33005999999999996,0.0,4.5037,0.2134,0.5153,0.0,4.5812,0.0,0.8158,0.0,0.5149,34.7185,34.7176,25.5558,25.5548,0.0586,1.787,0.732
46,57.358999999999995,172.49900000000002,-106.07343999999999,20.2636,57.0,15.7697,15.7701,4.33927,4.339222,0.9944200000000001,12.3955,4.51,0.29552,0.0,4.51,0.3315,0.5158,0.0,4.5813,0.0,0.7678,0.0,0.5154,34.7228,34.722,25.5888,25.5881,0.0649,1.979,0.809
47,58.36600000000001,173.673,-106.07343999999999,20.2636,58.0,15.7243,15.7244,4.334152,4.334094,0.60564,12.3995,4.5055,0.26833,0.0,4.5055,0.2019,0.5172,0.0,4.5816,0.0,0.7258,0.0,0.5168,34.7165,34.7158,25.5942,25.5936,0.0709,2.1590000000000003,0.882
48,59.372,175.25099999999998,-106.07343999999999,20.2636,59.0,15.67,15.6701,4.327896,4.327807,0.77746,12.393,4.5128,0.24356999999999998,0.0,4.5128,0.2592,0.5188,0.0,4.5822,0.0,0.6836,0.0,0.5185,34.7077,34.7068,25.5997,25.599,0.0781,2.379,0.971
49,60.378,178.535,-106.07343999999999,20.2636,60.0,15.6035,15.6079,4.320025,4.320338,0.70957,12.3852,4.5216,0.22521,0.0,4.5216,0.2365,0.5228,0.0,4.5836,0.0,0.6501,0.0,0.5224,34.6952,34.6942,25.605,25.6033,0.0906,2.759,1.124
50,61.385,180.266,-106.07343999999999,20.2636,61.0,15.4503,15.4496,4.305628,4.305502,0.6453399999999999,12.395,4.5106,0.20463,0.0,4.5106,0.2151,0.5217,0.0,4.5845,0.0,0.6082,0.0,0.5213,34.7003,34.6997,25.6433,25.643,0.0709,2.161,0.878
51,62.391000000000005,181.75900000000001,-106.07343999999999,20.2636,62.0,15.4021,15.4015,4.302556,4.302509,0.7387199999999999,12.4117,4.4918,0.18537,0.0,4.4918,0.2462,0.5184,0.0,4.5858,0.0,0.5655,0.0,0.518,34.7148,34.7149,25.6652,25.6655,0.0593,1.806,0.733
52,63.398,183.343,-106.07343999999999,20.2636,63.0,15.3737,15.3738,4.301508,4.301494,0.9166700000000001,12.4322,4.4688,0.1717,0.0,4.4688,0.3056,0.5158,0.0,4.5865,0.0,0.5324,0.0,0.5154,34.7301,34.7298,25.6834,25.6832,0.0546,1.6640000000000001,0.675
53,64.404,185.705,-106.07343999999999,20.2636,64.0,15.3482,15.3358,4.300413,4.299596,1.1148,12.4125,4.4909,0.15244000000000002,0.0,4.4909,0.3716,0.5143,0.0,4.5863,0.0,0.4802,0.0,0.5139,34.7423,34.7459,25.6985,25.704,0.0539,1.643,0.6659999999999999
54,65.411,189.611,-106.07343999999999,20.2636,65.0,15.3052,15.3037,4.296869,4.296946,1.1375,12.4059,4.4982,0.13910999999999998,0.0,4.4982,0.3792,0.5137,0.0,4.5874,0.0,0.4414,0.0,0.5133,34.7479,34.75,25.7124,25.7144,0.0521,1.587,0.643
55,66.417,190.674,-106.07343999999999,20.2636,66.0,15.2781,15.2787,4.294861,4.294907,0.9576,12.4031,4.5014,0.12662,0.0,4.5014,0.3192,0.5132,0.0,4.588,0.0,0.4004,0.0,0.5128,34.7533,34.7532,25.7227,25.7224,0.0506,1.5419999999999998,0.624
56,67.42399999999999,191.675,-106.07343999999999,20.2636,67.0,15.2144,15.2128,4.2891129999999995,4.288945,0.93527,12.3993,4.5057,0.11635999999999999,0.0,4.5057,0.3118,0.5131,0.0,4.5877,0.0,0.3638,0.0,0.5127,34.7574,34.7572,25.7399,25.7401,0.0515,1.57,0.635
57,68.43,193.012,-106.07343999999999,20.2636,68.0,15.1567,15.1553,4.2836050000000006,4.2835220000000005,1.0506,12.3999,4.505,0.10529000000000001,0.0,4.505,0.3502,0.513,0.0,4.5876,0.0,0.3203,0.0,0.5126,34.7583,34.7588,25.7534,25.7541,0.0509,1.55,0.626
58,69.437,195.515,-106.07343999999999,20.26359,69.0,15.0263,15.0316,4.271422,4.271911,1.2218,12.398,4.5072,0.09602000000000001,0.0,4.5072,0.4073,0.5128,0.0,4.5871,0.0,0.2805,0.0,0.5124,34.7631,34.7628,25.7858,25.7844,0.0508,1.548,0.624
59,70.443,198.38400000000001,-106.07343999999999,20.263579999999997,70.0,14.8999,14.903,4.2599800000000005,4.260268,1.1125,12.3949,4.5106,0.08382200000000001,0.0,4.5106,0.3708,0.5128,0.0,4.5881,0.0,0.2214,0.0,0.5124,34.7709,34.7708,25.8195,25.8188,0.0509,1.55,0.623
60,71.45,200.87,-106.07343999999999,20.263579999999997,71.0,14.8598,14.8607,4.256376,4.256474,1.0784,12.3936,4.5121,0.074521,0.0,4.5121,0.3595,0.5128,0.0,4.5889,0.0,0.1711,0.0,0.5124,34.7734,34.7735,25.8303,25.8301,0.051,1.554,0.624
61,72.456,202.53,-106.07343999999999,20.263579999999997,72.0,14.7765,14.775,4.248557,4.248514,1.1129,12.3971,4.5082,0.065958,0.0,4.5082,0.371,0.5128,0.0,4.5893,0.0,0.1184,0.0,0.5124,34.7759,34.7769,25.8503,25.8514,0.051,1.5530000000000002,0.623
62,73.46300000000001,203.753,-106.07343999999999,20.263579999999997,73.0,14.6878,14.6872,4.2404660000000005,4.240444999999999,1.1447,12.4054,4.4989,0.060249000000000004,0.0,4.4989,0.3816,0.5127,0.0,4.5904,0.0,0.0794,0.0,0.5123,34.7807,34.781,25.8732,25.8736,0.05,1.5219999999999998,0.609
63,74.469,205.144,-106.07343999999999,20.263579999999997,74.0,14.6404,14.6398,4.236036,4.23602,1.1957,12.3998,4.5051,0.054558,0.0,4.5051,0.3986,0.5124,0.0,4.5911,0.0,0.0362,0.0,0.512,34.7821,34.7825,25.8846,25.885,0.0485,1.476,0.591
64,75.476,208.32,-106.07343999999999,20.263579999999997,75.0,14.5875,14.6189,4.231273000000001,4.234079,1.2194,12.3995,4.5055,0.051154000000000005,0.0,4.5055,0.4065,0.5122,0.0,4.3957,0.0,0.009,0.0,0.5118,34.7853,34.7829,25.8985,25.8899,0.0488,1.485,0.594
65,76.482,210.18900000000002,-106.07343999999999,20.263579999999997,76.0,14.4938,14.4941,4.222595,4.222669000000001,1.1552,12.3997,4.5053,0.050683,0.0,4.5053,0.3851,0.512,0.0,4.5921,0.0,0.005,0.0,0.5116,34.7891,34.7896,25.9217,25.9219,0.048,1.4609999999999999,0.583
66,77.48899999999999,212.201,-106.07343999999999,20.263579999999997,77.0,14.474,14.4755,4.220923,4.221077999999999,1.1949,12.3971,4.5082,0.050671,0.0,4.5082,0.3983,0.5117,0.0,4.5929,0.0,0.0049,0.0,0.5113,34.7911,34.7912,25.9274,25.9272,0.0473,1.439,0.574
67,78.49600000000001,214.898,-106.07343999999999,20.263579999999997,78.0,14.436,14.4371,4.2176540000000005,4.217798,1.0995,12.3935,4.5122,0.050671,0.0,4.5122,0.3665,0.5117,0.0,4.5935,0.0,0.0049,0.0,0.5113,34.7947,34.795,25.9384,25.9384,0.0472,1.4380000000000002,0.573
68,79.502,216.765,-106.07343999999999,20.263579999999997,79.0,14.3825,14.3823,4.212751,4.212782,1.0234,12.3936,4.5122,0.050802,0.0,4.5122,0.3411,0.5117,0.0,2.5797,0.0,0.006,0.0,0.5113,34.7971,34.7976,25.9517,25.9521,0.0474,1.445,0.575
69,80.509,218.275,-106.07343999999999,20.263579999999997,80.0,14.3034,14.3025,4.205337999999999,4.205341000000001,0.9734,12.3934,4.5124,0.050693,0.0,4.5124,0.3245,0.5116,0.0,4.2414,0.0,0.0051,0.0,0.5112,34.7994,34.8003,25.9704,25.9712,0.0469,1.429,0.568
70,81.515,219.74,-106.07343999999999,20.263579999999997,81.0,14.2702,14.27,4.202309,4.202338,0.94484,12.3916,4.5144,0.050671,0.0,4.5144,0.3149,0.5116,0.0,4.5881,0.0,0.0049,0.0,0.5112,34.8008,34.8013,25.9786,25.979,0.047,1.432,0.569
71,82.522,221.25900000000001,-106.07343999999999,20.263579999999997,82.0,14.2481,14.2477,4.200254,4.200289,0.9368299999999999,12.3919,4.5141,0.050671,0.0,4.5141,0.3123,0.5115,0.0,4.5912,0.0,0.0049,0.0,0.5111,34.8014,34.802,25.9837,25.9843,0.0472,1.4369999999999998,0.5710000000000001
72,83.52799999999999,223.90099999999998,-106.07343999999999,20.263579999999997,83.0,14.2317,14.231,4.198843,4.198894999999999,0.9652799999999999,12.3905,4.5156,0.050671,0.0,4.5156,0.3218,0.5114,0.0,4.5922,0.0,0.0049,0.0,0.511,34.8027,34.8038,25.9882,25.9892,0.0466,1.42,0.564
73,84.535,227.68400000000003,-106.07343999999999,20.263579999999997,84.0,14.1313,14.1492,4.189297,4.191076,0.84851,12.3852,4.5216,0.050671,0.0,4.5216,0.2828,0.5115,0.0,4.5934,0.0,0.0049,0.0,0.5111,34.8043,34.8046,26.0108,26.0072,0.0465,1.415,0.561
74,85.541,229.16,-106.07343999999999,20.263579999999997,85.0,14.0936,14.0944,4.185941000000001,4.1860800000000005,0.76577,12.3843,4.5226,0.050671,0.0,4.5226,0.2553,0.5113,0.0,4.5935,0.0,0.0049,0.0,0.5109,34.8067,34.8073,26.0206,26.0209,0.0456,1.39,0.55
75,86.54799999999999,230.92,-106.07343999999999,20.263579999999997,86.0,14.0811,14.0815,4.184779,4.184875,0.7521899999999999,12.3849,4.522,0.050671,0.0,4.522,0.2507,0.5113,0.0,4.5943,0.0,0.0049,0.0,0.5109,34.8068,34.8073,26.0234,26.0237,0.0461,1.405,0.556
76,87.554,232.25900000000001,-106.07343999999999,20.263579999999997,87.0,14.0684,14.069,4.183631,4.183768,0.6975,12.3818,4.5255,0.050671,0.0,4.5255,0.2325,0.511,0.0,4.5945,0.0,0.0049,0.0,0.5106,34.8072,34.808,26.0264,26.0268,0.0447,1.3630000000000002,0.539
77,88.561,233.33700000000002,-106.07343999999999,20.263579999999997,88.0,14.05,14.0493,4.181935,4.181958,0.67747,12.3819,4.5253,0.050671,0.0,4.5253,0.2258,0.5111,0.0,4.5944,0.0,0.0049,0.0,0.5107,34.8077,34.8085,26.0307,26.0314,0.0454,1.383,0.547
78,89.568,234.778,-106.07343999999999,20.263579999999997,89.0,14.0196,14.0201,4.179252,4.179372,0.67862,12.3795,4.528,0.050671,0.0,4.528,0.2262,0.5108,0.0,4.5945,0.0,0.0049,0.0,0.5104,34.8098,34.8104,26.0387,26.0391,0.0436,1.328,0.525
79,90.574,240.81900000000002,-106.07343999999999,20.263579999999997,90.0,14.0477,14.0494,4.182062,4.182263,0.6922699999999999,12.3815,4.5258,0.050671,0.0,4.5258,0.2308,0.5106,0.0,4.5976,0.0,0.0049,0.0,0.5102,34.8102,34.8105,26.0331,26.033,0.0444,1.351,0.535
80,91.581,242.29,-106.07343999999999,20.2636,91.0,13.9641,13.9642,4.174206,4.174329,0.55116,12.3766,4.5314,0.050671,0.0,4.5314,0.1837,0.5108,0.0,4.5941,0.0,0.0049,0.0,0.5104,34.8122,34.8133,26.0523,26.0531,0.0448,1.3659999999999999,0.539
81,92.588,243.101,-106.07343999999999,20.2636,92.0,13.8866,13.8875,4.166857,4.167028,0.41866000000000003,12.3722,4.5363,0.050671,0.0,4.5363,0.1396,0.5108,0.0,4.5933,0.0,0.0049,0.0,0.5104,34.8134,34.8143,26.0695,26.0699,0.0448,1.364,0.5379999999999999
82,93.594,243.94,-106.07343999999999,20.2636,93.0,13.8505,13.8508,4.163408,4.1635029999999995,0.37951,12.373,4.5354,0.050671,0.0,4.5354,0.1265,0.5109,0.0,4.5945,0.0,0.0049,0.0,0.5105,34.8135,34.8142,26.0771,26.0775,0.0456,1.39,0.5479999999999999
83,94.601,245.007,-106.07343999999999,20.2636,94.0,13.7752,13.7723,4.156209,4.156059,0.3342,12.3698,4.539,0.050671,0.0,4.539,0.1114,0.5108,0.0,4.5947,0.0,0.0049,0.0,0.5104,34.8142,34.8154,26.0933,26.0949,0.0436,1.328,0.522
84,95.60700000000001,248.403,-106.07343999999999,20.26359,95.0,13.8109,13.8002,4.15982,4.158926999999999,0.34502,12.3704,4.5384,0.050671,0.0,4.5384,0.115,0.5105,0.0,4.5961,0.0,0.0049,0.0,0.5101,34.8151,34.8165,26.0866,26.0899,0.0435,1.324,0.521
85,96.61399999999999,252.488,-106.07343999999999,20.263579999999997,96.0,13.7173,13.7033,4.150618,4.149495,0.35049,12.3679,4.5412,0.050671,0.0,4.5412,0.1168,0.5105,0.0,4.5971,0.0,0.0049,0.0,0.5101,34.8136,34.8158,26.1049,26.1095,0.0436,1.328,0.522
86,97.62100000000001,253.925,-106.07343999999999,20.26359,97.0,13.6388,13.6389,4.143241000000001,4.143366,0.23487,12.365,4.5446,0.050671,0.0,4.5446,0.0783,0.5104,0.0,4.597,0.0,0.0049,0.0,0.51,34.8153,34.8165,26.1225,26.1234,0.0434,1.321,0.518
87,98.62700000000001,255.30599999999998,-106.07343999999999,20.2636,98.0,13.6275,13.6281,4.142474,4.142649,0.22676999999999997,12.3651,4.5444,0.050671,0.0,4.5444,0.0756,0.5104,0.0,4.5971,0.0,0.0049,0.0,0.51,34.818,34.8191,26.127,26.1277,0.0432,1.3159999999999998,0.516
