Protein Group,Protein ID,Accession,Query,Hit Accession,Description,Type, Score,Evalue,-10lgP,Coverage (%),Coverage (%) etnp-ja09-20170531,Coverage (%) etnp-ja10-20170531,Coverage (%) etnp-ja11-20170531,Coverage (%) etnp-ja12-20170531,Coverage (%) etnp-ja13-20170531,Coverage (%) etnp-ja14-20170531,Coverage (%) etnp-ja15-20170531,Coverage (%) etnp-ja16-20170531,Area etnp-ja09-20170531,Area etnp-ja10-20170531,Area etnp-ja11-20170531,Area etnp-ja12-20170531,Area etnp-ja13-20170531,Area etnp-ja14-20170531,Area etnp-ja15-20170531,Area etnp-ja16-20170531,#Peptides,#Unique,#Spec etnp-ja09-20170531,#Spec etnp-ja10-20170531,#Spec etnp-ja11-20170531,#Spec etnp-ja12-20170531,#Spec etnp-ja13-20170531,#Spec etnp-ja14-20170531,#Spec etnp-ja15-20170531,#Spec etnp-ja16-20170531,PTM,Avg. Mass,Description
847,68607,AOO11929.1,,,,,,,64.92,6,3,4,0,0,0,0,0,0,8.12E+04,,,,,,,,3,1,1,3,0,0,0,0,0,0,,39267,photosystem II protein D2 [Cyanophage S-RIM44]
847,68603,AOO12163.1,,,,,,,64.92,6,3,4,0,0,0,0,0,0,8.12E+04,,,,,,,,3,1,1,3,0,0,0,0,0,0,,39201,photosystem II protein D2 [Cyanophage S-RIM44]
847,68600,AOO12398.1,,,,,,,64.92,6,3,4,0,0,0,0,0,0,8.12E+04,,,,,,,,3,1,1,3,0,0,0,0,0,0,,39267,photosystem II protein D2 [Cyanophage S-RIM44]
847,68599,AOO12630.1,,,,,,,64.92,6,3,4,0,0,0,0,0,0,8.12E+04,,,,,,,,3,1,1,3,0,0,0,0,0,0,,39267,photosystem II protein D2 [Cyanophage S-RIM44]
847,68605,AOO12863.1,,,,,,,64.92,6,3,4,0,0,0,0,0,0,8.12E+04,,,,,,,,3,1,1,3,0,0,0,0,0,0,,39267,photosystem II protein D2 [Cyanophage S-RIM44]
847,68610,AOO13096.1,,,,,,,64.92,6,3,4,0,0,0,0,0,0,8.12E+04,,,,,,,,3,1,1,3,0,0,0,0,0,0,,39267,photosystem II protein D2 [Cyanophage S-RIM44]
88,68448,BAL59480,,,,,,,79.34,4,2,1,1,1,1,1,3,1,4.84E+05,,,,,,4.37E+06,,5,2,9,9,6,7,7,8,10,10,Deamidation (NQ),100280,ATP-dependent Clp protease ATP-binding subunit ClpC Candidatus Acetothermus autotrophicum
1691,69495,BAL59896,,,,,,,23.92,4,0,4,0,0,0,0,0,0,,7.21E+04,,,,,,,1,1,0,1,0,0,0,0,0,0,,16016,NUDIX hydrolase Candidatus Acetothermus autotrophicum
847,68538,CAR63217.1,,,,,,,64.92,6,3,4,0,0,0,0,0,0,8.12E+04,,,,,,,,3,1,1,3,0,0,0,0,0,0,,39639,D2 [Synechococcus phage S-RSM4]
1692,69589,CBE69477,,,,,,,20.37,2,0,2,0,0,0,0,0,0,,7.27E+04,,,,,,,1,1,0,1,0,0,0,0,0,0,,95997,putative Primosomal protein N' ATP-dependent helicase priA Replication factor Y Candidatus Methylomirabilis oxyfera
1888,69800,CBE69830,,,,,,,21.84,1,1,0,0,0,0,0,0,0,1.34E+05,,,,,,,,1,1,1,0,0,0,0,0,0,0,,87693,putative MutS2 protein Candidatus Methylomirabilis oxyfera
576,70538,EHR76388,,,,,,,35.23,3,0,0,0,3,1,2,0,0,,,,7.23E+04,0.00E+00,6.14E+05,,,3,3,0,0,0,3,2,4,0,0,,121569,carbamoyl-phosphate synthase large subunit UW MGII
577,69558,EJK46449,,,,,,,21.8,0,0,0,0,0,0,0,0,0,,6.77E+04,,6.57E+04,4.95E+04,0.00E+00,,,1,1,0,1,0,2,3,2,1,0,,254386,hypothetical protein THAOC_34878  Thalassiosira oceanica
729,67225,EJK58168,,,,,,,86.23,23,23,11,0,0,0,0,0,0,1.36E+06,8.49E+04,,,,,,,5,5,5,1,0,0,0,0,0,0,Oxidation (M),16858,hypothetical protein THAOC_21730  Thalassiosira oceanica
1092,70784,EJK60489,,,,,,,20.29,1,0,0,0,1,0,0,0,0,,,,2.30E+04,,,,,1,1,0,0,0,2,0,0,0,0,,150601,hypothetical protein THAOC_19149  Thalassiosira oceanica
1362,69755,EJK61299,,,,,,,22.73,1,0,0,0,1,0,0,0,0,,,,2.77E+04,,,,,1,1,0,0,0,1,0,0,0,0,,93378,hypothetical protein THAOC_18243 partial  Thalassiosira oceanica
695,67369,EJK62831,,,,,,,63.43,14,2,9,5,0,0,0,0,0,1.07E+06,4.87E+05,8.36E+04,,,,,,3,3,3,2,2,0,0,0,0,0,Oxidation (M),26844,hypothetical protein THAOC_16543  Thalassiosira oceanica
307,66657,EJK63755,,,,,,,110.57,14,14,10,0,0,0,3,0,0,4.66E+05,3.26E+04,,,,,,,14,1,15,6,0,0,0,1,0,0,Oxidation (M),39773,hypothetical protein THAOC_15573 partial  Thalassiosira oceanica
1284,70160,EJK65803,,,,,,,29.84,1,0,0,1,0,1,0,0,0,,,,,3.22E+04,,,,2,1,0,0,1,0,1,0,0,0,,98967,hypothetical protein THAOC_13304  Thalassiosira oceanica
695,67368,EJK68681,,,,,,,63.43,16,3,11,6,0,0,0,0,0,1.07E+06,4.87E+05,8.36E+04,,,,,,3,3,3,2,2,0,0,0,0,0,Oxidation (M),23088,hypothetical protein THAOC_10112  Thalassiosira oceanica
307,66660,EJK69577,,,,,,,110.57,51,51,36,0,0,0,10,0,0,4.66E+05,3.26E+04,,,,,,,14,1,15,6,0,0,0,1,0,0,Oxidation (M),11383,hypothetical protein THAOC_09145  Thalassiosira oceanica
944,69330,EJK71445,,,,,,,36.61,3,0,0,2,0,3,0,0,0,,,,,2.36E+05,,,,2,1,0,0,1,0,2,0,0,0,Deamidation (NQ),67523,hypothetical protein THAOC_07117  Thalassiosira oceanica
307,66661,EJK72475,,,,,,,110.57,45,45,32,0,0,0,9,0,0,4.66E+05,3.26E+04,,,,,,,14,1,15,6,0,0,0,1,0,0,Oxidation (M),13036,hypothetical protein THAOC_05990  Thalassiosira oceanica
729,67223,EJK77863,,,,,,,86.23,23,23,11,0,0,0,0,0,0,1.36E+06,8.49E+04,,,,,,,5,5,5,1,0,0,0,0,0,0,Oxidation (M),16858,hypothetical protein THAOC_00268  Thalassiosira oceanica
500,66879,ETNP_100m_particle_PROKKA_00522,ETNP_100m_particle_PROKKA_00522 Photosystem I reaction center subunit II,CAK22883.1,CAK22883.1 Photosystem I reaction center subunit II [Synechococcus sp. WH 7803],Cyanobacteria,634,4.29E-84,114.2,42,17,42,0,0,0,0,0,0,,8.93E+05,,,,,,,10,4,2,10,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),15899,Photosystem I reaction center subunit II
1990,5430,ETNP_100m_particle_PROKKA_00886,ETNP_100m_particle_PROKKA_00886 hypothetical protein,WP_036911762.1,WP_036911762.1 MULTISPECIES: hypothetical protein [Prochlorococcus],,347,3.40E-41,25.81,7,0,7,0,0,0,0,0,0,,3.60E+05,,,,,,,1,1,0,1,0,0,0,0,0,0,,16255,hypothetical protein
330,67099,ETNP_100m_particle_PROKKA_00928,ETNP_100m_particle_PROKKA_00928 DNA-binding protein HU 1,Verrucomicrobia_HGEPPPGB_02056,Verrucomicrobia_HGEPPPGB_02056 DNA-binding protein HU 1,,284,3.27E-32,112.58,59,0,44,46,26,24,0,0,0,,2.14E+06,1.01E+06,2.54E+05,1.54E+05,,,,12,6,0,7,8,4,2,0,0,0,,9916,DNA-binding protein HU 1
958,67555,ETNP_100m_particle_PROKKA_01115,ETNP_100m_particle_PROKKA_01115 Cytochrome c6 precursor,WP_036915526.1,WP_036915526.1 MULTISPECIES: cytochrome C [Prochlorococcus],,424,1.32E-52,44.35,30,0,30,0,0,0,0,0,0,,6.23E+05,,,,,,,3,3,0,3,0,0,0,0,0,0,Carbamidomethylation,14214,Cytochrome c6 precursor
1293,68908,ETNP_100m_particle_PROKKA_01677,ETNP_100m_particle_PROKKA_01677 hypothetical protein,WP_042503985.1,WP_042503985.1 MULTISPECIES: hypothetical protein [Synechococcus],,389,1.88E-48,48.57,19,0,19,0,0,0,0,0,0,,2.44E+05,,,,,,,1,1,0,2,0,0,0,0,0,0,,9623,hypothetical protein
350,66865,ETNP_100m_particle_PROKKA_01680,ETNP_100m_particle_PROKKA_01680 hypothetical protein,None,None,,None,None,131.55,55,0,55,0,0,0,0,0,0,,1.03E+06,,,,,,,17,4,0,20,0,0,0,0,0,0,,13089,hypothetical protein
1870,68589,ETNP_100m_particle_PROKKA_04846,ETNP_100m_particle_PROKKA_04846 Response regulator protein VraR,WP_036911492.1,WP_036911492.1 MULTISPECIES: LuxR family transcriptional regulator [Prochlorococcus],,440,4.26E-56,41.74,17,0,17,0,0,0,0,0,0,,1.02E+05,,,,,,,1,1,0,1,0,0,0,0,0,0,,9905,Response regulator protein VraR
792,67298,ETNP_100m_particle_PROKKA_05132,ETNP_100m_particle_PROKKA_05132 Pentapeptide repeats (8 copies),WP_011826245.1,WP_011826245.1 MULTISPECIES: hypothetical protein [Prochlorococcus],,639,4.95E-84,63.42,31,0,31,0,0,0,0,0,0,,1.23E+06,,,,,,,5,5,0,5,0,0,0,0,0,0,,18348,Pentapeptide repeats (8 copies)
252,1485,ETNP_100m_particle_PROKKA_07518,ETNP_100m_particle_PROKKA_07518 Core histone H2A/H2B/H3/H4,Paraphysomonas_bandaiensis_0185021620,Paraphysomonas_bandaiensis_0185021620 No definition line,,302,2.92E-35,95.28,63,42,55,13,0,31,28,0,0,,2.09E+05,,,3.81E+04,,,,9,3,9,12,1,0,2,2,0,0,,7412,Core histone H2A/H2B/H3/H4
355,67242,ETNP_100m_particle_PROKKA_07520,ETNP_100m_particle_PROKKA_07520 Core histone H2A/H2B/H3/H4,labyrinthulid_quahog_parasite_QPX0203761432,labyrinthulid_quahog_parasite_QPX0203761432 No definition line,,542,1.95E-70,88.11,38,22,23,7,7,7,7,0,0,4.09E+06,2.70E+06,1.22E+05,7.11E+04,1.02E+05,2.14E+05,,,12,12,7,8,1,1,1,1,0,0,,13678,Core histone H2A/H2B/H3/H4
801,68216,ETNP_100m_particle_PROKKA_08780,ETNP_100m_particle_PROKKA_08780 hypothetical protein,None,None,,None,None,46.24,13,0,7,6,6,13,0,0,0,,3.97E+04,9.53E+04,2.11E+04,1.02E+05,,,,2,2,0,1,1,1,2,0,0,0,,19895,hypothetical protein
683,66868,ETNP_100m_particle_PROKKA_09323,ETNP_100m_particle_PROKKA_09323 Allophycocyanin alpha chain,WP_011127357.1,WP_011127357.1 MULTISPECIES: allophycocyanin subunit alpha [Synechococcus],,784,2.32E-106,99.64,33,0,33,0,0,0,0,0,0,,2.30E+06,,,,,,,6,6,0,7,0,0,0,0,0,0,,17474,Allophycocyanin alpha chain
1411,10736,ETNP_100m_particle_PROKKA_103758,ETNP_100m_particle_PROKKA_103758 Chaperone protein ClpB,WP_015443461.1,WP_015443461.1 chaperone protein ClpB [Ilumatobacter coccineus],,1552,0,36.34,3,0,0,0,3,0,0,0,0,,,,0.00E+00,,,,,1,1,0,0,0,1,0,0,0,0,Deamidation (NQ),52247,Chaperone protein ClpB
1303,69621,ETNP_100m_particle_PROKKA_106630,ETNP_100m_particle_PROKKA_106630 hypothetical protein,WP_036912919.1,WP_036912919.1 MULTISPECIES: hypothetical protein [Prochlorococcus],,222,2.04E-23,32.26,17,0,17,0,0,0,0,0,0,,2.23E+06,,,,,,,2,2,0,2,0,0,0,0,0,0,,7867,hypothetical protein
608,67016,ETNP_100m_particle_PROKKA_109179,ETNP_100m_particle_PROKKA_109179 50S ribosomal protein L7/L12,CAK24797.1,CAK24797.1 50S ribosomal protein L7/L12 [Synechococcus sp. WH 7803],,484,1.21E-61,94.81,46,25,46,0,0,0,0,0,0,,8.87E+05,,,,,,,7,3,3,6,0,0,0,0,0,0,,13144,50S ribosomal protein L7/L12
282,66406,ETNP_100m_particle_PROKKA_112481,ETNP_100m_particle_PROKKA_112481 C-phycoerythrin class 1 subunit beta,WP_011128875.1,WP_011128875.1 MULTISPECIES: bleomycin hydrolase [Synechococcus],,852,6.87E-116,120.84,55,9,49,0,0,0,0,0,0,,6.32E+06,,,,,,,19,16,2,22,0,0,0,0,0,0,Oxidation (M),19139,C-phycoerythrin class 1 subunit beta
266,66340,ETNP_100m_particle_PROKKA_112482,ETNP_100m_particle_PROKKA_112482 C-phycoerythrin class 1 subunit alpha,CAK22912.1,CAK22912.1 C-phycoerythrin class I alpha chain [Synechococcus sp. WH 7803],,731,3.35E-98,137.75,60,0,53,0,0,7,0,0,0,,3.24E+06,,,2.59E+03,,,,23,23,0,24,0,0,1,0,0,0,Oxidation (M); Deamidation (NQ),17863,C-phycoerythrin class 1 subunit alpha
1016,5682,ETNP_100m_particle_PROKKA_112787,ETNP_100m_particle_PROKKA_112787 hypothetical protein,None,None,,None,None,36.21,25,0,25,0,0,0,0,0,0,,1.97E+05,,,,,,,3,2,0,3,0,0,0,0,0,0,Oxidation (M),4652,hypothetical protein
1008,67855,ETNP_100m_particle_PROKKA_115690,ETNP_100m_particle_PROKKA_115690 50S ribosomal protein L19,WP_036914984.1,WP_036914984.1 MULTISPECIES: 50S ribosomal protein L19 [Prochlorococcus],,703,4.10E-94,43.49,18,6,12,0,0,0,0,0,0,3.35E+04,5.11E+05,,,,,,,3,3,1,2,0,0,0,0,0,0,,17710,50S ribosomal protein L19
571,66627,ETNP_100m_particle_PROKKA_116645,ETNP_100m_particle_PROKKA_116645 putative nucleotide-binding protein,CAK24249.1,CAK24249.1 Conserved hypothetical protein [Synechococcus sp. WH 7803],,703,6.46E-94,96.63,33,8,33,0,0,0,0,0,0,,8.94E+05,,,,,,,9,4,1,9,0,0,0,0,0,0,,18733,putative nucleotide-binding protein
1016,69702,ETNP_100m_particle_PROKKA_118915,ETNP_100m_particle_PROKKA_118915 hypothetical protein,WP_011131171.1,WP_011131171.1 MULTISPECIES: hypothetical protein [Prochlorococcus],,313,1.52E-37,36.21,17,0,17,0,0,0,0,0,0,,1.97E+05,,,,,,,3,2,0,3,0,0,0,0,0,0,Oxidation (M),7396,hypothetical protein
972,3194,ETNP_100m_particle_PROKKA_11940,ETNP_100m_particle_PROKKA_11940 30S ribosomal protein S2,WP_011129963.1,WP_011129963.1 MULTISPECIES: 30S ribosomal protein S2 [Prochlorococcus],,980,1.73E-134,42.39,9,4,9,0,0,0,0,0,0,2.59E+04,1.37E+05,,,,,,,2,2,1,2,0,0,0,0,0,0,,21335,30S ribosomal protein S2
175,66134,ETNP_100m_particle_PROKKA_120141,ETNP_100m_particle_PROKKA_120141 Glutamine synthetase,WP_036915357.1,WP_036915357.1 glutamine synthetase [Prochlorococcus sp. MIT 0701],,1556,0,185.93,41,16,38,0,0,0,0,0,0,,5.63E+04,,,,,,,23,1,9,30,0,0,0,0,0,0,Deamidation (NQ),51643,Glutamine synthetase
967,67471,ETNP_100m_particle_PROKKA_12044,ETNP_100m_particle_PROKKA_12044 Translation initiation factor IF-3,WP_036913285.1,WP_036913285.1 MULTISPECIES: translation initiation factor IF-3 [Prochlorococcus],,986,3.04E-135,60.26,15,0,15,0,0,0,0,0,0,,1.66E+05,,,,,,,3,1,0,3,0,0,0,0,0,0,,24911,Translation initiation factor IF-3
861,1853,ETNP_100m_particle_PROKKA_121788,ETNP_100m_particle_PROKKA_121788 Pentapeptide repeats (8 copies),WP_036910889.1,WP_036910889.1 MULTISPECIES: hypothetical protein [Prochlorococcus],,690,1.37E-89,57.5,17,0,17,0,0,0,0,0,0,,6.01E+05,,,,,,,3,3,0,4,0,0,0,0,0,0,Oxidation (M),29028,Pentapeptide repeats (8 copies)_ETNP_90m_PROKKA_56141 Pentapeptide repeats (8 copies)
751,69194,ETNP_100m_particle_PROKKA_122582,ETNP_100m_particle_PROKKA_122582 Ethanolamine utilization protein EutM precursor,Verrucomicrobia_HGEPPPGB_00404,Verrucomicrobia_HGEPPPGB_00404 Ethanolamine utilization protein EutM,,308,7.37E-36,47.78,11,11,11,11,0,11,0,0,0,3.57E+04,2.20E+05,4.64E+05,,3.09E+05,,,,2,2,1,1,2,0,2,0,0,0,Deamidation (NQ),9516,Ethanolamine utilization protein EutM precursor
1011,68460,ETNP_100m_particle_PROKKA_122669,ETNP_100m_particle_PROKKA_122669 Ribulose-phosphate 3-epimerase,WP_036915413.1,WP_036915413.1 MULTISPECIES: ribulose-phosphate 3-epimerase [Prochlorococcus],,1144,3.65E-159,46.54,14,0,14,0,0,0,0,0,0,,1.55E+06,,,,,,,3,2,0,3,0,0,0,0,0,0,,24259,Ribulose-phosphate 3-epimerase
1160,67847,ETNP_100m_particle_PROKKA_122670,"ETNP_100m_particle_PROKKA_122670 D-fructose 1,6-bisphosphatase class 2/sedoheptulose 1,7-bisphosphatase",WP_036915416.1,"WP_036915416.1 MULTISPECIES: fructose 1,6-bisphosphatase [Prochlorococcus]",,1711,0,61.16,8,0,8,0,0,0,0,0,0,,5.40E+05,,,,,,,2,1,0,2,0,0,0,0,0,0,,35079,D-fructose 1 6-bisphosphatase class 2/sedoheptulose 1 7-bisphosphatase
606,67565,ETNP_100m_particle_PROKKA_122890,ETNP_100m_particle_PROKKA_122890 Glutamine-binding periplasmic protein precursor,ADH91522.1,ADH91522.1 extracellular solute-binding protein family 3 [Starkeya novella DSM 506],,253,2.68E-23,70.16,15,0,4,4,7,15,0,0,0,,5.32E+04,3.96E+05,1.26E+06,2.00E+06,,,,5,5,0,1,1,2,5,0,0,0,,29568,Glutamine-binding periplasmic protein precursor
16,66141,ETNP_100m_particle_PROKKA_12435,ETNP_100m_particle_PROKKA_12435 Photosystem II 12 kDa extrinsic protein precursor,WP_036913959.1,WP_036913959.1 MULTISPECIES: photosystem II complex extrinsic protein precursor U [Prochlorococcus],,553,2.14E-72,281.49,76,55,76,0,0,0,0,0,0,2.46E+06,1.24E+08,,,,,,,100,47,13,143,0,0,0,0,0,0,Oxidation (M); Deamidation (NQ),13019,Photosystem II 12 kDa extrinsic protein precursor
1229,69866,ETNP_100m_particle_PROKKA_125178,ETNP_100m_particle_PROKKA_125178 hypothetical protein,None,None,,None,None,20.74,9,9,0,0,0,0,0,0,0,2.02E+05,,,,,,,,1,1,2,0,0,0,0,0,0,0,,7916,hypothetical protein
531,1656,ETNP_100m_particle_PROKKA_126950,ETNP_100m_particle_PROKKA_126950 hypothetical protein,WP_036914908.1,WP_036914908.1 MULTISPECIES: hypothetical protein [Prochlorococcus],,428,2.90E-54,88.99,64,22,64,0,0,0,0,0,0,2.25E+04,8.73E+04,,,,,,,8,2,2,9,0,0,0,0,0,0,Oxidation (M),10236,hypothetical protein
641,713,ETNP_100m_particle_PROKKA_128035,ETNP_100m_particle_PROKKA_128035 Fructose-bisphosphate aldolase class 2,WP_036915471.1,WP_036915471.1 MULTISPECIES: fructose-bisphosphate aldolase [Prochlorococcus],,1618,0,90.15,22,3,22,0,0,0,0,0,0,1.42E+04,7.37E+05,,,,,,,7,7,1,7,0,0,0,0,0,0,,33083,Fructose-bisphosphate aldolase class 2
972,68054,ETNP_100m_particle_PROKKA_128762,ETNP_100m_particle_PROKKA_128762 30S ribosomal protein S2,WP_011127955.1,WP_011127955.1 MULTISPECIES: 30S ribosomal protein S2 [Synechococcus],,1225,1.20E-170,42.39,7,3,7,0,0,0,0,0,0,2.59E+04,1.37E+05,,,,,,,2,2,1,2,0,0,0,0,0,0,,28732,30S ribosomal protein S2
791,67253,ETNP_100m_particle_PROKKA_128796,ETNP_100m_particle_PROKKA_128796 30S ribosomal protein S16,WP_011826578.1,WP_011826578.1 MULTISPECIES: 30S ribosomal protein S16 [Prochlorococcus],,513,4.36E-66,64.08,39,5,34,0,0,0,0,0,0,,4.72E+05,,,,,,,5,1,1,4,0,0,0,0,0,0,,14334,30S ribosomal protein S16
66,66192,ETNP_100m_particle_PROKKA_129096,ETNP_100m_particle_PROKKA_129096 hypothetical protein,WP_011129843.1,WP_011129843.1 MULTISPECIES: hypothetical protein [Prochlorococcus],,560,1.69E-73,191.5,94,63,94,0,0,0,0,0,0,5.72E+05,2.24E+07,,,,,,,66,4,15,73,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M),12780,hypothetical protein
722,1477,ETNP_100m_particle_PROKKA_131620,ETNP_100m_particle_PROKKA_131620 hypothetical protein,WP_036915046.1,WP_036915046.1 MULTISPECIES: hypothetical protein [Prochlorococcus],,607,6.16E-79,66.07,27,0,27,0,0,0,0,0,0,,3.20E+04,,,,,,,6,3,0,6,0,0,0,0,0,0,,18267,hypothetical protein
62,66195,ETNP_100m_particle_PROKKA_13293,ETNP_100m_particle_PROKKA_13293 hypothetical protein,WP_011129843.1,WP_011129843.1 MULTISPECIES: hypothetical protein [Prochlorococcus],,564,4.34E-74,190.69,94,64,94,0,0,0,0,0,0,1.98E+06,3.43E+07,,,,,,,66,4,16,75,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M),12752,hypothetical protein
1148,67871,ETNP_100m_particle_PROKKA_135112,ETNP_100m_particle_PROKKA_135112 ATP synthase subunit b,WP_011825156.1,WP_011825156.1 MULTISPECIES: ATP synthase subunit b' [Prochlorococcus],,608,8.12E-80,49.03,14,0,14,0,0,0,0,0,0,,5.17E+05,,,,,,,2,2,0,2,0,0,0,0,0,0,,16546,ATP synthase subunit b
643,66951,ETNP_100m_particle_PROKKA_136612,ETNP_100m_particle_PROKKA_136612 hypothetical protein,WP_036914225.1,WP_036914225.1 MULTISPECIES: hypothetical protein [Prochlorococcus],,366,5.13E-45,89.99,52,0,52,0,0,0,0,0,0,,1.78E+06,,,,,,,4,4,0,8,0,0,0,0,0,0,Carbamidomethylation; Deamidation (NQ),9360,hypothetical protein
161,1187,ETNP_100m_particle_PROKKA_137338,ETNP_100m_particle_PROKKA_137338 hypothetical protein,Litonotus_pictus_0170523940,Litonotus_pictus_0170523940 No definition line,,368,1.50E-45,119.34,82,74,45,45,24,39,45,0,0,2.40E+05,,,,,,,,18,1,9,7,8,3,7,7,0,0,Oxidation (M),8411,hypothetical protein
241,66722,ETNP_100m_particle_PROKKA_137511,ETNP_100m_particle_PROKKA_137511 hypothetical protein,ACB23430.1,ACB23430.1 conserved hypothetical protein [Methylobacterium radiotolerans JCM 2831],,1021,3.18E-133,109.05,17,0,2,15,13,11,0,0,0,,,5.42E+05,3.23E+05,5.78E+05,,,,13,1,0,1,8,9,10,0,0,0,Carbamidomethylation; Oxidation (M),49306,hypothetical protein
1215,68055,ETNP_100m_particle_PROKKA_13907,ETNP_100m_particle_PROKKA_13907 FK506-binding protein,WP_036912836.1,WP_036912836.1 MULTISPECIES: peptidylprolyl isomerase [Prochlorococcus],,876,9.39E-119,54.01,10,0,10,0,0,0,0,0,0,,2.42E+05,,,,,,,2,1,0,2,0,0,0,0,0,0,Oxidation (M),21699,FK506-binding protein
263,66932,ETNP_100m_particle_PROKKA_140022,ETNP_100m_particle_PROKKA_140022 Core histone H2A/H2B/H3/H4,Isochrysis_sp_0196671300,Isochrysis_sp_0196671300 No definition line,,508,8.12E-66,108.73,61,50,26,0,0,19,19,0,0,,,,,0.00E+00,,,,17,1,16,5,0,0,2,2,0,0,Oxidation (M),11381,Core histone H2A/H2B/H3/H4
540,66996,ETNP_100m_particle_PROKKA_140193,ETNP_100m_particle_PROKKA_140193 Photosystem I reaction center subunit XI,WP_036912719.1,WP_036912719.1 MULTISPECIES: photosystem I reaction center protein subunit XI [Prochlorococcus],,907,3.22E-124,79.64,35,11,35,0,0,0,0,0,0,,1.93E+05,,,,,,,6,2,3,8,0,0,0,0,0,0,Carbamidomethylation,20071,Photosystem I reaction center subunit XI
979,2698,ETNP_100m_particle_PROKKA_141073,ETNP_100m_particle_PROKKA_141073 Elongation factor Tu,WP_036915923.1,WP_036915923.1 MULTISPECIES: elongation factor Tu [Prochlorococcus],,1898,0,64.28,6,6,4,0,0,0,0,0,0,2.72E+04,4.23E+05,,,,,,,2,1,2,1,0,0,0,0,0,0,,39893,Elongation factor Tu
980,68158,ETNP_100m_particle_PROKKA_143439,ETNP_100m_particle_PROKKA_143439 CP12 domain protein,WP_011825073.1,WP_011825073.1 MULTISPECIES: hypothetical protein [Prochlorococcus],,326,7.86E-39,47.14,32,0,32,0,0,0,0,0,0,,7.45E+04,,,,,,,3,3,0,3,0,0,0,0,0,0,Carbamidomethylation; Deamidation (NQ),10616,CP12 domain protein
