Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 375_etnp2017_265m_gfd,Area 375_etnp2017_265m_gfd,#Peptides,#Unique,#Spec 375_etnp2017_265m_gfd,PTM,Avg. Mass,Description
196,385,ETNP_100,24.03,2,2,1.16E5,1,1,1,,31266,hypothetical protein
196,388,WP_041860763,24.03,2,2,1.16E5,1,1,1,,43297,acyl-CoA dehydrogenase Candidatus Puniceispirillum marinum
196,394,ETNP_120,24.03,1,1,1.16E5,1,1,1,,56981,hypothetical protein
109,340,ETNP_100,23.84,7,7,9.95E4,1,1,1,,10679,10 kDa chaperonin
109,341,ETNP_120,23.84,7,7,9.95E4,1,1,1,,10679,10 kDa chaperonin
109,392,WP_012625173,23.84,7,7,9.95E4,1,1,1,,10274,molecular chaperone GroES Desulfovibrio desulfuricans
109,393,WP_014705256,23.84,7,7,9.95E4,1,1,1,,10326,molecular chaperone GroES Methylophaga nitratireducenticrescens
109,395,ETNP_120,23.84,7,7,9.95E4,1,1,1,,10998,10 kDa chaperonin
197,390,ETNP_90,23.83,5,5,1.11E5,1,1,1,,18346,SAP domain protein
197,391,ETNP14_68,23.83,5,5,1.11E5,1,1,1,,18290,SAP domain protein
24,398,ETNP14_68,23.74,3,3,1.56E6,1,1,3,,26368,Transaldolase
33,347,NP_868707,23.67,2,2,1.31E5,2,2,2,,99459,ClpB protein Rhodopirellula baltica SH 1
25,329,WP_011399360,23.50,0,0,0E0,1,1,2,,418088,type IV secretion protein Rhs Hahella chejuensis
25,408,WP_011395998,23.50,3,3,0E0,1,1,2,,24007,Rhs family protein Hahella chejuensis
25,415,WP_011395977,23.50,1,1,0E0,1,1,2,,56286,type IV secretion protein Rhs Hahella chejuensis
25,416,WP_011395989,23.50,1,1,0E0,1,1,2,,59231,type IV secretion protein Rhs Hahella chejuensis
110,349,BAJ27743.1,23.47,2,2,5.4E4,1,1,1,,44788,putative cytochrome P450 [Kitasatospora setae KM-6054]
110,410,ETNP_120,23.47,2,2,5.4E4,1,1,1,,38102,putative ABC transporter permease YknZ
110,412,ETNP_120,23.47,2,2,5.4E4,1,1,1,,43098,FtsX-like permease family protein
110,413,BAJ27745.1,23.47,2,2,5.4E4,1,1,1,,44025,putative cytochrome P450 [Kitasatospora setae KM-6054]
110,414,XP_003063284,23.47,2,2,5.4E4,1,1,1,,46671,predicted protein  Micromonas pusilla CCMP1545
56,286,XP_003061514,23.27,8,8,9.6E4,1,1,1,,11395,histone H4  Micromonas pusilla CCMP1545
56,287,XP_003063038,23.27,8,8,9.6E4,1,1,1,,11395,predicted protein  Micromonas pusilla CCMP1545
56,288,XP_003061756,23.27,8,8,9.6E4,1,1,1,,11395,predicted protein  Micromonas pusilla CCMP1545
56,289,XP_003059520,23.27,8,8,9.6E4,1,1,1,,11395,predicted protein  Micromonas pusilla CCMP1545
56,294,ETNP_90,23.27,8,8,9.6E4,1,1,1,,11367,Core histone H2A/H2B/H3/H4
56,295,ETNP14_68,23.27,8,8,9.6E4,1,1,1,,11367,Core histone H2A/H2B/H3/H4
56,296,XP_003074685,23.27,3,3,9.6E4,1,1,1,,31136,Histone H4 ISS  Ostreococcus tauri
198,442,ETNP_120,22.59,1,1,4.04E3,1,1,1,,57100,Selenate reductase subunit gamma precursor
199,449,ETNP_180,22.45,5,5,4.3E5,1,1,1,,17234,phosphodiesterase YaeI
199,450,ETNP_160,22.45,5,5,4.3E5,1,1,1,,19125,phosphodiesterase YaeI
199,451,ETNP_120,22.45,4,4,4.3E5,1,1,1,,21367,phosphodiesterase YaeI
199,452,ETNP_300,22.45,3,3,4.3E5,1,1,1,,27069,putative metallophosphoesterase
199,453,ETNP_120,22.45,3,3,4.3E5,1,1,1,,27069,putative metallophosphoesterase
34,386,ETNP_300,22.33,2,2,1.12E5,1,1,2,,52949,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
34,387,ETNP_180,22.33,2,2,1.12E5,1,1,2,,52949,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
34,457,ETNP_90,22.33,5,5,1.12E5,1,1,2,,16965,hypothetical protein
34,458,ETNP14_68,22.33,4,4,1.12E5,1,1,2,,21568,hypothetical protein
200,467,ETNP_300,22.27,2,2,8.04E5,1,1,1,,40593,putative acetyl-CoA acyltransferase
201,470,virus_CCADEAMM_00843,22.17,17,17,1.3E4,1,1,1,,7239,hypothetical protein
202,472,KJS05866,22.16,2,2,8.12E5,1,1,1,,47923,hypothetical protein VR77_07045 Flavobacteriales bacterium BRH_c54
47,480,ETNP_120,21.96,3,3,1.89E5,1,1,2,,34924,hypothetical protein
203,482,ETNP_140,21.93,2,2,2.63E4,1,1,1,,63699,Quinohemoprotein alcohol dehydrogenase ADH-IIG precursor
203,483,ETNP_120,21.93,2,2,2.63E4,1,1,1,,63699,Quinohemoprotein alcohol dehydrogenase ADH-IIG precursor
203,484,ETNP_160,21.93,2,2,2.63E4,1,1,1,,63699,Quinohemoprotein alcohol dehydrogenase ADH-IIG precursor
203,485,ETNP_120,21.93,2,2,2.63E4,1,1,1,,63699,Quinohemoprotein alcohol dehydrogenase ADH-IIG precursor
203,486,ETNP_180,21.93,2,2,2.63E4,1,1,1,,63699,Quinohemoprotein alcohol dehydrogenase ADH-IIG precursor
203,487,ETNP_300,21.93,2,2,2.63E4,1,1,1,,63699,Quinohemoprotein alcohol dehydrogenase ADH-IIG precursor
204,489,ETNP14_120,21.93,4,4,2.19E4,1,1,1,,29698,Shikimate dehydrogenase
205,493,ETNP_120,21.91,10,10,7.22E4,1,1,1,,9566,hypothetical protein
209,511,ETNP_120,21.86,2,2,1.02E6,1,1,1,,37584,hypothetical protein
207,509,NP_100,21.79,1,1,1.07E6,1,1,1,,65974,hypothetical protein
207,512,NP_300,21.79,1,1,1.07E6,1,1,1,,115118,Ycf48-like protein
208,510,WP_012909810,21.73,2,2,1.37E5,1,1,1,,75456,preprotein translocase subunit SecA Pirellula staleyi
210,517,WP_002650391,21.68,3,3,1.09E5,1,1,1,,30337,hypothetical protein  Blastopirellula marina
211,524,ETNP14_68,21.61,2,2,1.54E4,1,1,1,Oxidation (M),38517,DNA-directed RNA polymerase subunit D
61,301,BAI72682.1,21.53,0,0,1.11E5,1,1,1,,301308,lytic transglycosylase [Azospirillum sp. B510]
61,548,BAI72404.1,21.53,1,1,1.11E5,1,1,1,,69410,methyl-accepting chemotaxis protein [Azospirillum sp. B510]
