Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 2: 272 4-19_965m_top+p-plusBSA,Area Sample 2: 272 4-19_965m_top+p-plusBSA,#Peptides,#Unique,#Spec Sample 2: 272 4-19_965m_top+p-plusBSA,PTM,Avg. Mass,Description
50,17519,WP_011371980.1,57.74,8,8,2.48E5,3,1,3,Carbamidomethylation,43607,elongation factor Tu [Sulfurimonas denitrificans]
92,17694,ETNP_100,57.12,6,6,5.32E5,2,2,2,,24101,Fructose-bisphosphate aldolase class 1
92,17700,ETNP_100,57.12,5,5,5.32E5,2,2,2,,25376,Fructose-bisphosphate aldolase class 1
92,17701,ETNP14_68,57.12,4,4,5.32E5,2,2,2,,37324,fructose-1 6-bisphosphate aldolase
92,17702,ETNP14_120,57.12,4,4,5.32E5,2,2,2,,37421,fructose-1 6-bisphosphate aldolase
92,17755,ETNP_120,57.12,7,7,5.32E5,2,2,2,,19706,Fructose-bisphosphate aldolase class 1
92,17756,XP_003077973,57.12,4,4,5.32E5,2,2,2,,35654,fructose-bisphosphate aldolase class I IC  Ostreococcus tauri
92,17757,XP_003064713,57.12,3,3,5.32E5,2,2,2,,36543,predicted protein  Micromonas pusilla CCMP1545
42,17518,WP_006232362.1,55.06,12,12,1.61E5,4,1,4,,23312,30S ribosomal protein S4 [Photobacterium profundum]
47,17520,CAI87844.1,54.99,12,12,,4,0,4,,23483,30S ribosomal subunit protein S4 [Pseudoalteromonas haloplanktis TAC125]
61,17544,WP_006232340.1,54.63,16,16,5.96E5,3,3,3,,21812,50S ribosomal protein L4 [Photobacterium profundum]
58,8303,XP_002185049,54.38,14,14,1.71E6,2,2,3,Oxidation (M),16829,calmoduline  Phaeodactylum tricornutum CCAP 1055
58,8304,EJK77863,54.38,14,14,1.71E6,2,2,3,Oxidation (M),16858,hypothetical protein THAOC_00268  Thalassiosira oceanica
58,8305,EJK58168,54.38,14,14,1.71E6,2,2,3,Oxidation (M),16858,hypothetical protein THAOC_21730  Thalassiosira oceanica
58,8306,ETNP_90,54.38,13,13,1.71E6,2,2,3,Oxidation (M),18514,EF hand
39,17535,WP_011219116.1,54.20,6,6,1.11E6,4,4,4,,60785,30S ribosomal protein S1 [Photobacterium profundum]
38,17527,ETNP_100,51.46,42,42,4.79E6,4,3,5,,7412,Core histone H2A/H2B/H3/H4
31,466,ETNP_60,50.96,15,15,3.34E6,4,4,5,,13283,Core histone H2A/H2B/H3/H4
31,469,ETNP_70,50.96,14,14,3.34E6,4,4,5,,13534,Core histone H2A/H2B/H3/H4
54,17547,WP_011217146.1,47.75,10,10,9.78E5,3,3,3,,36388,DNA-directed RNA polymerase subunit alpha [Photobacterium profundum]
54,17555,WP_039226687,47.75,10,10,9.78E5,3,3,3,,36232,DNA-directed RNA polymerase subunit alpha Alteromonas
54,17556,ETNP14_68,47.75,21,21,9.78E5,3,3,3,,17967,DNA-directed RNA polymerase subunit alpha
54,17557,ETNP_90,47.75,16,16,9.78E5,3,3,3,,24447,DNA-directed RNA polymerase subunit alpha
54,17558,CAI87843.1,47.75,10,10,9.78E5,3,3,3,,36230,DNA-directed RNA polymerase alpha chain (RNAP alpha subunit) (Transcriptase alpha chain) (RNA polymerase alpha subunit) [Pseudoalteromonas haloplanktis TAC125]
123,17773,WP_011217143.1,47.57,8,8,3.46E5,2,2,2,,15009,50S ribosomal protein L15 [Photobacterium profundum]
123,17774,WP_011467460.1,47.57,8,8,3.46E5,2,2,2,,15148,50S ribosomal protein L15 [Saccharophagus degradans]
125,17778,ETNP14_120,46.74,7,7,4.05E5,2,2,2,,14688,tRNA N6-adenosine threonylcarbamoyltransferase
125,17779,ETNP_100,46.74,4,4,4.05E5,2,2,2,,23030,tRNA N6-adenosine threonylcarbamoyltransferase
125,17780,ETNP_120,46.74,3,3,4.05E5,2,2,2,,30109,tRNA N6-adenosine threonylcarbamoyltransferase
125,17781,ETNP_90,46.74,3,3,4.05E5,2,2,2,,32048,tRNA N6-adenosine threonylcarbamoyltransferase
125,17782,ETNP_160,46.74,3,3,4.05E5,2,2,2,,35913,tRNA N6-adenosine threonylcarbamoyltransferase
125,17783,ETNP_300,46.74,3,3,4.05E5,2,2,2,,35883,tRNA N6-adenosine threonylcarbamoyltransferase
125,17784,ETNP_120,46.74,3,3,4.05E5,2,2,2,,35913,tRNA N6-adenosine threonylcarbamoyltransferase
125,17785,ETNP_180,46.74,3,3,4.05E5,2,2,2,,35913,tRNA N6-adenosine threonylcarbamoyltransferase
44,8359,ETNP_90,45.44,12,12,0E0,3,1,4,,17048,hypothetical protein
45,8298,ETNP_100,44.79,6,6,3.31E5,3,1,4,,31842,hypothetical protein
45,8299,ETNP_120,44.79,6,6,3.31E5,3,1,4,,31842,hypothetical protein
63,17647,ETNP_120,43.39,2,2,4.16E7,2,2,3,,99973,Protease 3 precursor
90,17663,ETNP14_120,43.37,16,16,1.72E6,2,2,2,,6656,50S ribosomal protein L7/L12
90,17664,ETNP14_68,43.37,8,8,1.72E6,2,2,2,,12923,50S ribosomal protein L7/L12
90,17665,ETNP14_68,43.37,12,12,1.72E6,2,2,2,,8815,50S ribosomal protein L7/L12
90,17666,ETNP14_68,43.37,8,8,1.72E6,2,2,2,,13237,50S ribosomal protein L7/L12
90,17786,ETNP14_120,43.37,9,9,1.72E6,2,2,2,,11741,50S ribosomal protein L7/L12
90,17787,WP_011467406.1,43.37,8,8,1.72E6,2,2,2,,12664,50S ribosomal protein L7/L12 [Saccharophagus degradans]
90,17788,ETNP14_68,43.37,8,8,1.72E6,2,2,2,,13448,50S ribosomal protein L7/L12
90,17789,ETNP14_120,43.37,8,8,1.72E6,2,2,2,,13532,50S ribosomal protein L7/L12
90,17802,ETNP14_68,43.37,29,29,1.72E6,2,2,2,,3570,50S ribosomal protein L7/L12
90,17806,ETNP14_120,43.37,20,20,1.72E6,2,2,2,,5106,50S ribosomal protein L7/L12
90,17807,NP_85,43.37,8,8,1.72E6,2,2,2,,12945,50S ribosomal protein L7/L12
90,17808,ETNP14_120,43.37,8,8,1.72E6,2,2,2,,12886,50S ribosomal protein L7/L12
90,17843,ETNP14_68,43.37,20,20,1.72E6,2,2,2,,5172,50S ribosomal protein L7/L12
90,17844,ETNP14_68,43.37,16,16,1.72E6,2,2,2,,6711,50S ribosomal protein L7/L12
90,17845,ETNP14_120,43.37,16,16,1.72E6,2,2,2,,6697,50S ribosomal protein L7/L12
90,17846,ETNP14_120,43.37,16,16,1.72E6,2,2,2,,6711,50S ribosomal protein L7/L12
90,17847,ETNP14_120,43.37,10,10,1.72E6,2,2,2,,10205,50S ribosomal protein L7/L12
90,17848,ACL73412.1,43.37,8,8,1.72E6,2,2,2,,12865,50S ribosomal protein L7/L12 [Thioalkalivibrio sulfidiphilus HL-EbGr7]
90,17849,ETNP14_68,43.37,8,8,1.72E6,2,2,2,,13022,50S ribosomal protein L7/L12
90,17850,NP_300,43.37,8,8,1.72E6,2,2,2,,13036,50S ribosomal protein L7/L12
90,17851,NP_85,43.37,8,8,1.72E6,2,2,2,,13036,50S ribosomal protein L7/L12
90,17852,ETNP14_120,43.37,8,8,1.72E6,2,2,2,,12835,50S ribosomal protein L7/L12
90,17853,NP_100,43.37,8,8,1.72E6,2,2,2,,13036,50S ribosomal protein L7/L12
90,17854,ETNP14_68,43.37,8,8,1.72E6,2,2,2,,12894,50S ribosomal protein L7/L12
90,17855,ETNP14_68,43.37,8,8,1.72E6,2,2,2,,13190,50S ribosomal protein L7/L12
90,17856,ETNP14_120,43.37,8,8,1.72E6,2,2,2,,13252,50S ribosomal protein L7/L12
90,17857,ETNP14_68,43.37,8,8,1.72E6,2,2,2,,13252,50S ribosomal protein L7/L12
90,17858,ETNP14_68,43.37,8,8,1.72E6,2,2,2,,13482,50S ribosomal protein L7/L12
90,17859,ETNP14_68,43.37,8,8,1.72E6,2,2,2,,13511,50S ribosomal protein L7/L12
90,17860,NP_85,43.37,8,8,1.72E6,2,2,2,,13511,50S ribosomal protein L7/L12
52,17606,ETNP_90,43.14,23,23,1.33E6,2,2,3,,8704,Ubiquitin family protein
52,17607,ETNP14_120,43.14,23,23,1.33E6,2,2,3,,8704,Ubiquitin family protein
84,17602,CAN92644.1,43.14,2,2,3.01E6,2,1,2,,99017,cation-transporting P-type ATPase [Sorangium cellulosum So ce56]
106,17793,WP_013260946,42.88,2,2,1.38E5,2,2,2,,54786,transcription termination factor NusA gamma proteobacterium HdN1
55,17776,WP_011217301.1,42.55,2,2,1.66E6,2,2,3,,62995,peptide ABC transporter substrate-binding protein [Photobacterium profundum]
122,17695,WP_012910191,42.26,2,2,2.15E5,2,1,2,,100056,ATPase Pirellula staleyi
121,17691,CAG22224.1,41.34,13,13,2.83E5,2,2,2,,13056,conserved hypothetical protein [Photobacterium profundum SS9]
121,17692,CAG23689.1,41.34,13,13,2.83E5,2,2,2,,13288,conserved hypothetical protein [Photobacterium profundum SS9]
371,17696,ABS64545.1,41.31,9,9,1.77E5,1,1,1,,17773,ribosomal protein S9 [Parvibaculum lavamentivorans DS-1]
372,17708,ETNP14_120,41.26,3,3,2.67E5,1,1,1,,34487,Alkanal monooxygenase beta chain
62,17610,NP_30,40.83,13,13,2.64E6,3,1,3,,16277,30S ribosomal protein S4
83,17592,WP_041185785,40.76,5,5,7.89E5,2,2,2,,30370,aminotransferase Candidatus Pelagibacter ubique
513,17766,ETNP_180,40.56,6,6,1.04E6,1,1,1,,16297,Succinyl-CoA ligase [ADP-forming] subunit beta
513,17767,ETNP_120,40.56,5,5,1.04E6,1,1,1,,20872,Succinyl-CoA ligase [ADP-forming] subunit beta
514,17769,NP_30,40.55,7,7,6.64E4,1,1,1,,13297,hypothetical protein
105,12964,Fosmid_PROKKA_06331,38.46,4,4,5.66E5,2,2,2,,49117,hypothetical protein
105,17764,NP_100,38.46,4,4,5.66E5,2,2,2,,49074,hypothetical protein
107,17815,ETNP_120,38.24,5,5,9.33E5,2,2,2,,23919,Rhamnosyl O-methyltransferase precursor
107,17816,ETNP_180,38.24,4,4,9.33E5,2,2,2,,29233,Rhamnosyl O-methyltransferase precursor
107,17817,ETNP_300,38.24,4,4,9.33E5,2,2,2,,29233,Rhamnosyl O-methyltransferase precursor
43,17680,ETNP_160,37.85,13,13,2.47E5,3,3,4,,25120,50S ribosomal protein L1
43,17681,ETNP_120,37.85,13,13,2.47E5,3,3,4,,25120,50S ribosomal protein L1
43,17682,ETNP_120,37.85,13,13,2.47E5,3,3,4,,25120,50S ribosomal protein L1
43,17683,ETNP_180,37.85,13,13,2.47E5,3,3,4,,25120,50S ribosomal protein L1
215,17710,ETNP_120,37.44,5,5,4.93E5,1,1,1,,17036,hypothetical protein
126,17876,virus_CCADEAMM_42611,37.19,2,2,1.66E6,2,1,2,,40959,hypothetical protein
124,17777,WP_018969054,36.83,2,2,6.11E7,2,2,2,,91441,hypothetical protein Rubritalea marina
85,17636,ETNP14_68,35.68,2,2,1.69E6,2,2,2,Oxidation (M),100489,Alanine--tRNA ligase
214,17706,ETNP14_120,35.28,3,3,8.83E5,1,1,1,,29144,Inositol-1-monophosphatase
104,17661,WP_012516958,35.05,10,10,1.76E5,2,2,2,,22038,50S ribosomal protein L4 Alteromonas
104,17825,ETNP_90,35.05,21,21,1.76E5,2,2,2,,11317,50S ribosomal protein L4
515,17791,ETNP_120,35.01,6,6,5.45E5,1,1,1,,23055,50S ribosomal protein L4
185,17639,SAR11,34.35,1,1,1.33E6,1,1,1,,69834,Acetyl-coenzyme A synthetase
185,17640,ETNP_100,34.35,1,1,1.33E6,1,1,1,,72605,Acetyl-coenzyme A synthetase
185,17641,ETNP_110,34.35,1,1,1.33E6,1,1,1,,72605,Acetyl-coenzyme A synthetase
185,17642,ETNP14_120,34.35,1,1,1.33E6,1,1,1,,72605,Acetyl-coenzyme A synthetase
185,17801,ACL72602.1,34.35,6,6,1.33E6,1,1,1,,13365,hypothetical protein Tgr7_1518 [Thioalkalivibrio sulfidiphilus HL-EbGr7]
185,17804,NP_85,34.35,2,2,1.33E6,1,1,1,,56352,Acetyl-coenzyme A synthetase
128,17926,ETNP_300,34.23,13,13,4.82E6,2,2,2,,7664,hypothetical protein
110,17928,ETNP_120,33.78,3,3,4.96E5,2,2,2,Oxidation (M),33844,Phosphate acyltransferase
56,17803,NP_300,33.61,1,1,3.01E6,2,2,3,,152297,Internalin-A precursor
56,17894,ETNP14_120,33.61,2,2,3.01E6,2,2,3,,114882,Internalin-A precursor
373,17768,EAQ03737.1,33.32,2,2,5.08E5,1,1,1,,45292,folC bifunctional protein [Pseudooceanicola batsensis HTCC2597]
373,17805,EAQ03668.1,33.32,2,2,5.08E5,1,1,1,,40288,oligopeptide/dipeptide uptake family ABC transporter  permease protein [Pseudooceanicola batsensis HTCC2597]
268,17667,ETNP_70,32.85,1,1,8.64E5,1,1,1,,66511,hypothetical protein
131,18019,ETNP14_120,32.59,5,5,2.31E6,2,2,2,,18753,Gamma-butyrobetaine dioxygenase
131,18020,ETNP14_68,32.59,5,5,2.31E6,2,2,2,,19224,Gamma-butyrobetaine dioxygenase
131,18021,WP_053820610,32.59,2,2,2.31E6,2,2,2,,39786,gamma-butyrobetaine hydroxylase Candidatus Thioglobus singularis
78,17724,ETNP14_68,32.58,3,3,1.24E5,2,1,2,,53950,30S ribosomal protein S2/unknown domain fusion protein
127,17924,WP_053951284,32.19,2,2,1.26E6,2,2,2,,113936,hypothetical protein Candidatus Thioglobus autotrophica
113,18038,ETNP14_120,32.11,7,7,1.08E7,2,2,2,,14164,Ribosome-binding factor A
113,18039,ETNP14_68,32.11,7,7,1.08E7,2,2,2,,14235,Ribosome-binding factor A
30,17770,ETNP_180,32.03,5,5,2.22E6,1,1,5,,17108,hypothetical protein
30,17771,ETNP_120,32.03,5,5,2.22E6,1,1,5,,19324,hypothetical protein
30,17826,ETNP14_120,32.03,6,6,2.22E6,1,1,5,,16011,hypothetical protein
30,17827,ETNP14_68,32.03,5,5,2.22E6,1,1,5,,19159,hypothetical protein
30,17828,ETNP14_68,32.03,5,5,2.22E6,1,1,5,,19185,hypothetical protein
30,17829,ETNP14_120,32.03,5,5,2.22E6,1,1,5,,19062,hypothetical protein
271,17794,WP_011399914,31.03,4,4,6.42E5,1,1,1,,25483,30S ribosomal protein S3 Hahella chejuensis
374,17799,ETNP_300,30.90,2,2,9.49E5,1,1,1,,40593,putative acetyl-CoA acyltransferase
112,17990,ETNP_90,30.83,6,6,1.16E6,2,2,2,Oxidation (M),35684,Formate--tetrahydrofolate ligase
108,140,CAN91477.1,30.72,2,2,7.72E7,1,1,2,,56854,hypothetical protein sce1319 [Sorangium cellulosum So ce56]
80,17880,EJK58361,30.53,0,0,5.23E5,2,2,2,,372223,hypothetical protein THAOC_21524  Thalassiosira oceanica
376,17810,WP_048115080,30.08,6,6,2.22E5,1,1,1,,16730,exosome protein Candidatus Nitrosopumilus sp NF5
376,17836,ETNP_110,30.08,4,4,2.22E5,1,1,1,,21233,Dual specificity phosphatase  catalytic domain
376,17837,NP_85,30.08,4,4,2.22E5,1,1,1,,21233,Dual specificity phosphatase  catalytic domain
376,17838,ETNP14_120,30.08,4,4,2.22E5,1,1,1,,21233,Dual specificity phosphatase  catalytic domain
376,17839,NP_100,30.08,4,4,2.22E5,1,1,1,,21233,Dual specificity phosphatase  catalytic domain
376,17840,ETNP_100,30.08,4,4,2.22E5,1,1,1,,21233,Dual specificity phosphatase  catalytic domain
376,17841,NP_300,30.08,4,4,2.22E5,1,1,1,,21233,Dual specificity phosphatase  catalytic domain
375,17800,ETNP_100,30.02,2,2,2.51E6,1,1,1,,51641,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
57,17971,virus_CCADEAMM_26881,29.98,2,2,2.56E6,3,3,3,Oxidation (M),135068,hypothetical protein
516,17842,EDP97499.1,29.83,7,7,6.93E5,1,1,1,,16139,putative DNA repair protein [Kordia algicida OT-1]
20,17861,ETNP_120,29.74,7,7,3.04E7,1,1,7,,12651,hypothetical protein
517,17874,ETNP14_68,29.61,3,3,4.15E5,1,1,1,Carbamidomethylation,27694,Glycine--tRNA ligase beta subunit
517,527,ETNP14_68,29.61,1,1,4.15E5,1,1,1,Carbamidomethylation,63819,Glycine--tRNA ligase beta subunit
129,17974,CAI88037.1,29.57,4,4,1.06E6,2,1,2,,49890,membrane-bound ATP synthase  F1 sector  beta-subunit [Pseudoalteromonas haloplanktis TAC125]
129,17975,WP_012520216,29.57,4,4,1.06E6,2,1,2,,49978,ATP synthase subunit beta Alteromonas mediterranea
133,18044,ETNP14_120,29.22,5,5,1.53E5,2,1,2,,32537,Glucose-1-phosphate thymidylyltransferase
173,17898,ETNP14_120,28.42,11,11,2.31E5,1,1,1,Oxidation (M),8250,hypothetical protein
378,17890,ETNP_160,27.92,3,3,1.2E6,1,1,1,,29942,hypothetical protein
134,18200,ETNP_300,27.86,2,2,9.04E5,2,2,2,,48786,hypothetical protein
70,17918,virus_CCADEAMM_16398,27.81,1,1,9.76E5,2,2,2,,334702,hypothetical protein
65,17977,WP_015347683,27.56,0,0,4.1E5,2,2,2,,1720731,non-ribosomal peptide synthetase Myxococcus stipitatus
377,17889,ETNP14_120,27.49,10,10,6.39E5,1,1,1,,9492,hypothetical protein
377,17905,ETNP14_68,27.49,10,10,6.39E5,1,1,1,,9743,hypothetical protein
377,17906,ETNP_90,27.49,4,4,6.39E5,1,1,1,,24022,hypothetical protein
379,17892,ETNP14_68,27.42,2,2,2.75E5,1,1,1,,38039,DNA primase
270,17732,ABF63766.1,27.37,2,2,1.18E5,1,1,1,,48971,trigger factor [Ruegeria sp. TM1040]
270,17775,ETNP_90,27.37,2,2,1.18E5,1,1,1,,49225,Trigger factor
270,17908,ETNP_120,27.37,22,22,1.18E5,1,1,1,,4689,hypothetical protein
275,17879,WP_013263018,27.33,1,1,1.81E6,1,1,1,,86843,RND transporter gamma proteobacterium HdN1
518,17910,ETNP14_120,27.14,11,11,3.21E5,1,1,1,,6902,hypothetical protein
216,17758,ETNP_300,27.08,4,4,2.44E6,1,1,1,,24526,Phosphate-import protein PhnD precursor
216,17891,ETNP_160,27.08,12,12,2.44E6,1,1,1,,7853,hypothetical protein
216,17893,ETNP14_120,27.08,3,3,2.44E6,1,1,1,,34397,PAC2 family protein
519,17915,ETNP_120,26.89,2,2,5.57E5,1,1,1,,51056,hypothetical protein
136,18215,ETNP_120,26.83,13,13,4.11E5,2,2,2,,12994,50S ribosomal protein L7/L12
136,18216,ETNP_120,26.83,13,13,4.11E5,2,2,2,,12994,50S ribosomal protein L7/L12
46,3122,ETNP14_120,26.39,4,4,2.13E8,1,1,4,,19183,hypothetical protein
