Location,Date,Station_No,Time,DO,Temperature,DO_Saturation,Average_DO_saturation,delta_DO,delta_time,rate_of_change_DO,K,rate_of_change_DO_corrected
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129935,15:24,6.1,28.6,95.6,105.0,-1.2,1.0,-1.15,2.04,-1.1
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129935,16:28,6.7,28.9,104.5,100.1,0.6,1.1,0.52,2.04,0.5
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129935,17:23,6.3,28.9,98.3,101.4,-0.4,0.9,-0.43,2.04,-0.4
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129935,18:45,6.2,28.8,96.4,97.4,0.0,1.4,-0.03,2.04,-0.1
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129948,6:33,5.5,27.0,84.8,,,,,,
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129948,7:14,5.0,26.8,77.0,80.9,-0.4,0.7,-0.61,1.26,-0.9
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129948,8:14,5.5,27.0,85.0,81.0,0.5,1.0,0.50,1.26,0.3
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129948,9:14,5.5,27.2,84.0,84.5,-0.1,1.0,-0.08,1.26,-0.3
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129948,10:13,5.8,27.4,89.5,86.8,0.3,1.0,0.29,1.26,0.1
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129948,11:16,6.4,28.1,100.2,94.9,0.7,1.1,0.63,1.26,0.6
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129948,13:15,6.4,28.6,99.7,100.0,0.0,2.0,-0.01,1.26,0.0
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129948,14:13,6.6,28.8,104.5,102.1,0.2,1.0,0.24,1.26,0.3
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129948,15:15,7.0,28.8,110.2,107.4,0.4,1.0,0.36,1.26,0.5
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129948,16:17,6.9,28.8,108.2,109.2,-0.1,1.0,-0.13,1.26,0.0
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129948,17:14,6.9,28.7,109.2,108.7,0.1,1.0,0.07,1.26,0.2
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129948,18:23,6.6,28.5,104.0,106.6,-0.3,1.2,-0.26,1.26,-0.2
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129960,6:20,5.6,27.1,86.2,,,,,,
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129960,7:01,5.5,27.0,86.1,86.2,-0.1,0.7,-0.13,2.19,-0.4
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129960,8:02,5.4,27.0,83.5,84.8,-0.1,1.0,-0.10,2.19,-0.4
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129960,9:02,5.5,27.1,84.1,83.8,0.1,1.0,0.05,2.19,-0.3
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129960,10:03,6.3,27.4,97.0,90.6,0.8,1.0,0.81,2.19,0.6
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129960,11:03,6.0,27.5,93.0,95.0,-0.3,1.0,-0.30,2.19,-0.4
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129960,13:03,6.3,27.9,98.0,95.5,0.3,2.0,0.14,2.19,0.0
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129960,14:02,6.9,28.1,108.1,103.1,0.7,1.0,0.67,2.19,0.7
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129960,15:03,7.1,28.1,110.6,109.4,0.1,1.0,0.12,2.19,0.3
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129960,16:04,6.8,28.3,105.0,107.8,-0.3,1.0,-0.28,2.19,-0.1
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129960,17:07,6.5,28.4,102.5,103.8,-0.2,1.1,-0.22,2.19,-0.1
"Caño Boquerón, Cabo Rojo",2-Mar-16,50129960,18:06,6.8,28.3,106.9,104.7,0.3,1.0,0.28,2.19,0.4
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129950,6:10,4.7,27.9,71.0,,,,,,
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129950,7:00,5.0,27.6,75.2,73.1,0.3,0.8,0.41,2.77,-0.3
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129950,8:10,5.0,28.1,75.4,75.3,-0.1,1.2,-0.05,2.77,-0.7
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129950,9:07,4.6,29.0,72.4,73.9,-0.4,1.0,-0.38,2.77,-1.1
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129950,10:01,5.2,29.4,81.5,77.0,0.6,0.9,0.63,2.77,0.0
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129950,12:09,5.6,30.1,87.6,84.6,0.4,2.1,0.18,2.77,-0.3
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129950,13:09,5.8,30.3,92.1,89.9,0.2,1.0,0.24,2.77,0.0
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129950,14:05,6.0,30.5,95.1,93.6,0.2,0.9,0.18,2.77,0.0
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129950,15:08,6.4,30.6,101.4,98.3,0.4,1.1,0.36,2.77,0.3
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129950,16:10,6.2,30.4,99.9,100.7,-0.1,1.0,-0.14,2.77,-0.1
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129950,17:05,6.2,30.3,98.4,99.2,0.0,0.9,-0.02,2.77,-0.1
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129950,18:25,6.0,29.9,94.3,96.4,-0.2,1.3,-0.16,2.77,-0.3
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129945,6:25,5.4,28.9,83.8,,,,,,
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129945,7:16,5.5,28.7,85.4,84.6,0.1,0.9,0.14,1.87,-0.2
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129945,8:21,5.6,29.1,86.9,86.2,0.0,1.1,0.01,1.87,-0.3
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129945,9:19,5.8,29.0,90.3,88.6,0.3,1.0,0.26,1.87,0.1
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129945,10:12,5.7,29.4,89.9,90.1,-0.1,0.9,-0.12,1.87,-0.3
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129945,12:25,6.0,30.4,95.5,92.7,0.3,2.2,0.12,1.87,0.0
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129945,13:22,6.2,30.9,99.4,97.5,0.2,1.0,0.21,1.87,0.2
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129945,14:16,6.5,31.1,105.5,102.5,0.4,0.9,0.40,1.87,0.5
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129945,15:16,5.6,30.6,88.4,97.0,-0.9,1.0,-0.88,1.87,-0.9
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129945,16:21,6.0,30.8,97.6,93.0,0.4,1.1,0.38,1.87,0.3
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129945,17:16,6.3,30.9,101.1,99.4,0.2,0.9,0.25,1.87,0.2
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129945,18:36,6.3,30.8,100.9,101.0,0.0,1.3,-0.01,1.87,0.0
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129935,6:31,4.2,27.9,64.6,,,,,,
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129935,7:22,3.8,28.8,59.1,61.9,-0.4,0.9,-0.45,0.97,-0.8
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129935,8:26,4.4,29.3,70.3,64.7,0.7,1.1,0.61,0.97,0.3
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129935,9:27,4.6,29.5,71.2,70.8,0.2,1.0,0.15,0.97,-0.1
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129935,10:19,4.5,29.9,70.6,70.9,-0.1,0.9,-0.13,0.97,-0.4
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129935,12:32,4.7,30.9,75.8,73.2,0.2,2.2,0.10,0.97,-0.2
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129935,13:27,4.7,31.2,77.0,76.4,0.1,0.9,0.05,0.97,-0.2
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129935,14:20,4.5,30.8,72.5,74.8,-0.2,0.9,-0.24,0.97,-0.5
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129935,15:21,4.9,30.7,79.0,75.8,0.4,1.0,0.40,0.97,0.2
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129935,16:26,6.3,30.7,102.3,90.7,1.4,1.1,1.28,0.97,1.2
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129935,17:23,6.1,30.7,97.3,99.8,-0.2,1.0,-0.25,0.97,-0.3
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129935,18:41,6.0,30.9,97.7,97.5,-0.1,1.3,-0.06,0.97,-0.1
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129948,6:17,4.0,27.9,59.0,,,,,,
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129948,7:10,4.1,28.7,61.6,60.3,0.1,0.9,0.11,3.04,-1.1
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129948,8:14,4.3,28.7,67.5,64.6,0.3,1.1,0.27,3.04,-0.8
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129948,9:13,4.5,29.4,72.3,69.9,0.2,1.0,0.19,3.04,-0.7
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129948,10:06,5.0,29.4,77.5,74.9,0.5,0.9,0.53,3.04,-0.2
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129948,12:17,6.0,30.4,94.8,86.2,1.0,2.2,0.44,3.04,0.0
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129948,13:16,6.2,30.9,99.0,96.9,0.2,1.0,0.22,3.04,0.1
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129948,14:10,6.2,31.2,99.5,99.3,0.0,0.9,-0.02,3.04,-0.1
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129948,15:12,6.3,31.2,101.1,100.3,0.1,1.0,0.10,3.04,0.1
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129948,16:15,6.0,30.6,95.6,98.4,-0.3,1.1,-0.25,3.04,-0.3
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129948,17:11,5.9,30.2,93.3,94.5,-0.1,0.9,-0.10,3.04,-0.3
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129948,18:31,5.7,30.1,91.3,92.3,-0.2,1.3,-0.13,3.04,-0.4
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129960,6:00,5.3,29.0,81.0,,,,,,
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129960,7:00,4.8,28.9,74.5,77.8,-0.5,1.0,-0.46,1.88,-0.9
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129960,8:00,5.0,29.1,80.2,77.4,0.2,1.0,0.20,1.88,-0.2
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129960,8:56,5.9,29.7,94.6,87.4,0.9,0.9,1.01,1.88,0.8
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129960,9:54,6.0,29.7,96.0,95.3,0.1,1.0,0.07,1.88,0.0
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129960,12:00,5.9,30.3,93.7,94.9,-0.1,2.1,-0.06,1.88,-0.2
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129960,13:01,6.2,30.6,99.5,96.6,0.3,1.0,0.32,1.88,0.3
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129960,13:58,6.2,30.8,99.8,99.7,0.0,1.0,0.00,1.88,0.0
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129960,14:58,6.3,30.9,100.6,100.2,0.1,1.0,0.06,1.88,0.1
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129960,16:01,6.1,30.7,98.6,99.6,-0.1,1.1,-0.13,1.88,-0.1
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129960,16:58,6.2,30.5,99.9,99.3,0.1,1.0,0.11,1.88,0.1
"Caño Boquerón, Cabo Rojo",29-Oct-15,50129960,17:18,5.9,30.2,94.6,97.3,-0.3,0.3,-0.93,1.88,-1.0
"Puerto Mosquito, Vieques",9-Mar-16,50231510,7:08,5.9,26.1,90.1,,,,,,
"Puerto Mosquito, Vieques",9-Mar-16,50231510,8:08,5.9,26.0,89.8,90.0,0.0,1.0,-0.01,1.65,-0.2
"Puerto Mosquito, Vieques",9-Mar-16,50231510,9:09,6.0,26.0,89.7,89.8,0.1,1.0,0.08,1.65,-0.1
"Puerto Mosquito, Vieques",9-Mar-16,50231510,10:12,5.9,26.0,88.9,89.3,-0.1,1.1,-0.13,1.65,-0.3
"Puerto Mosquito, Vieques",9-Mar-16,50231510,11:13,6.1,26.0,91.8,90.4,0.2,1.0,0.19,1.65,0.0
"Puerto Mosquito, Vieques",9-Mar-16,50231510,12:02,6.2,26.0,94.0,92.9,0.2,0.8,0.18,1.65,0.1
"Puerto Mosquito, Vieques",9-Mar-16,50231510,14:14,6.6,26.5,100.9,97.5,0.4,2.2,0.19,1.65,0.2
"Puerto Mosquito, Vieques",9-Mar-16,50231510,15:12,7.1,26.6,108.8,104.9,0.5,1.0,0.53,1.65,0.6
"Puerto Mosquito, Vieques",9-Mar-16,50231510,16:12,7.3,26.8,111.4,110.1,0.2,1.0,0.15,1.65,0.3
"Puerto Mosquito, Vieques",9-Mar-16,50231510,17:11,7.3,26.8,111.2,111.3,0.0,1.0,-0.02,1.65,0.2
"Puerto Mosquito, Vieques",9-Mar-16,50231510,18:31,7.3,26.7,111.6,111.4,0.0,1.3,0.02,1.65,0.2
"Puerto Mosquito, Vieques",9-Mar-16,50231510,19:09,7.4,26.7,113.0,112.3,0.1,0.6,0.14,1.65,0.4
"Puerto Mosquito, Vieques",9-Mar-16,50231510,19:39,7.3,26.6,111.2,112.1,-0.1,0.5,-0.18,1.65,0.0
"Puerto Mosquito, Vieques",9-Mar-16,50231507,7:05,6.0,26.0,91.0,,,,,,
"Puerto Mosquito, Vieques",9-Mar-16,50231507,8:04,5.8,25.9,88.7,89.9,-0.1,1.0,-0.12,1.71,-0.3
"Puerto Mosquito, Vieques",9-Mar-16,50231507,9:05,5.7,26.0,86.1,87.4,-0.2,1.0,-0.18,1.71,-0.4
"Puerto Mosquito, Vieques",9-Mar-16,50231507,10:09,5.6,26.2,86.3,86.2,0.0,1.1,-0.04,1.71,-0.3
"Puerto Mosquito, Vieques",9-Mar-16,50231507,11:09,6.0,26.4,90.8,88.6,0.3,1.0,0.34,1.71,0.1
"Puerto Mosquito, Vieques",9-Mar-16,50231507,11:58,6.6,26.6,100.9,95.9,0.6,0.8,0.72,1.71,0.7
"Puerto Mosquito, Vieques",9-Mar-16,50231507,14:09,7.0,27.1,107.7,104.3,0.4,2.2,0.20,1.71,0.3
"Puerto Mosquito, Vieques",9-Mar-16,50231507,15:08,6.7,27.4,104.3,106.0,-0.3,1.0,-0.25,1.71,-0.2
"Puerto Mosquito, Vieques",9-Mar-16,50231507,16:07,6.9,27.4,107.5,105.9,0.2,1.0,0.16,1.71,0.3
"Puerto Mosquito, Vieques",9-Mar-16,50231507,17:07,6.8,27.3,106.0,106.8,-0.1,1.0,-0.07,1.71,0.1
"Puerto Mosquito, Vieques",9-Mar-16,50231507,18:39,7.0,26.8,108.0,107.0,0.2,1.5,0.14,1.71,0.3
"Puerto Mosquito, Vieques",9-Mar-16,50231507,19:20,7.0,26.9,108.9,108.5,0.0,0.7,-0.04,1.71,0.1
"Puerto Mosquito, Vieques",9-Mar-16,50231513,7:13,5.9,26.0,89.9,,,,,,
"Puerto Mosquito, Vieques",9-Mar-16,50231513,8:13,5.9,25.9,89.2,89.6,-0.1,1.0,-0.07,2.3,-0.3
"Puerto Mosquito, Vieques",9-Mar-16,50231513,9:14,5.8,25.9,88.2,88.7,0.0,1.0,-0.02,2.3,-0.3
"Puerto Mosquito, Vieques",9-Mar-16,50231513,10:17,6.0,25.9,90.5,89.4,0.1,1.1,0.12,2.3,-0.1
"Puerto Mosquito, Vieques",9-Mar-16,50231513,11:18,6.1,26.0,92.0,91.3,0.1,1.0,0.11,2.3,-0.1
"Puerto Mosquito, Vieques",9-Mar-16,50231513,12:07,6.2,26.0,93.0,92.5,0.1,0.8,0.10,2.3,-0.1
"Puerto Mosquito, Vieques",9-Mar-16,50231513,14:19,6.8,26.4,102.8,97.9,0.6,2.2,0.28,2.3,0.2
"Puerto Mosquito, Vieques",9-Mar-16,50231513,15:18,7.1,26.6,108.0,105.4,0.3,1.0,0.35,2.3,0.5
"Puerto Mosquito, Vieques",9-Mar-16,50231513,16:19,7.3,26.8,111.3,109.7,0.2,1.0,0.18,2.3,0.4
"Puerto Mosquito, Vieques",9-Mar-16,50231513,17:17,7.4,26.9,113.7,112.5,0.1,1.0,0.12,2.3,0.4
"Puerto Mosquito, Vieques",9-Mar-16,50231513,18:15,7.2,26.7,109.7,111.7,-0.2,1.0,-0.25,2.3,0.0
"Puerto Mosquito, Vieques",9-Mar-16,50231513,18:52,7.2,26.7,109.9,109.8,0.0,0.6,0.05,2.3,0.3
"Puerto Mosquito, Vieques",9-Mar-16,50231520,7:20,5.6,25.9,85.7,,,,,,
"Puerto Mosquito, Vieques",9-Mar-16,50231520,8:20,5.5,25.9,82.9,84.3,-0.1,1.0,-0.14,1.87,-0.4
"Puerto Mosquito, Vieques",9-Mar-16,50231520,9:21,5.9,26.0,89.5,86.2,0.4,1.0,0.40,1.87,0.2
"Puerto Mosquito, Vieques",9-Mar-16,50231520,10:25,6.0,26.2,90.7,90.1,0.1,1.1,0.08,1.87,-0.1
"Puerto Mosquito, Vieques",9-Mar-16,50231520,11:25,6.0,26.5,91.8,91.3,0.0,1.0,0.03,1.87,-0.1
"Puerto Mosquito, Vieques",9-Mar-16,50231520,12:15,6.3,26.9,97.2,94.5,0.3,0.8,0.40,1.87,0.3
"Puerto Mosquito, Vieques",9-Mar-16,50231520,14:27,6.6,27.2,101.8,99.5,0.2,2.2,0.11,1.87,0.1
"Puerto Mosquito, Vieques",9-Mar-16,50231520,15:26,6.7,27.4,103.3,102.6,0.1,1.0,0.09,1.87,0.1
"Puerto Mosquito, Vieques",9-Mar-16,50231520,16:26,7.1,27.5,109.7,106.5,0.4,1.0,0.42,1.87,0.5
"Puerto Mosquito, Vieques",9-Mar-16,50231520,17:25,6.8,27.2,105.0,107.4,-0.3,1.0,-0.27,1.87,-0.1
"Puerto Mosquito, Vieques",9-Mar-16,50231520,18:23,6.7,27.0,103.8,104.4,-0.1,1.0,-0.12,1.87,0.0
"Puerto Mosquito, Vieques",9-Mar-16,50231520,19:02,6.7,26.9,102.8,103.3,0.0,0.7,-0.05,1.87,0.0
"Puerto Mosquito, Vieques",9-Mar-16,50231502,6:59,5.5,25.4,82.3,,,,,,
"Puerto Mosquito, Vieques",9-Mar-16,50231502,8:00,5.8,25.5,87.6,85.0,0.3,1.0,0.32,4.14,-0.3
"Puerto Mosquito, Vieques",9-Mar-16,50231502,9:00,5.9,25.6,88.4,88.0,0.1,1.0,0.05,4.14,-0.5
"Puerto Mosquito, Vieques",9-Mar-16,50231502,10:03,6.4,26.0,97.3,92.9,0.6,1.1,0.54,4.14,0.3
"Puerto Mosquito, Vieques",9-Mar-16,50231502,11:04,7.0,26.4,105.6,101.5,0.5,1.0,0.51,4.14,0.6
"Puerto Mosquito, Vieques",9-Mar-16,50231502,11:53,7.3,26.7,111.1,108.4,0.3,0.8,0.39,4.14,0.7
"Puerto Mosquito, Vieques",9-Mar-16,50231502,14:05,7.6,27.2,117.3,114.2,0.3,2.2,0.15,4.14,0.7
"Puerto Mosquito, Vieques",9-Mar-16,50231502,15:02,7.8,27.4,119.7,118.5,0.2,1.0,0.16,4.14,0.9
"Puerto Mosquito, Vieques",9-Mar-16,50231502,16:02,7.6,27.2,116.9,118.3,-0.2,1.0,-0.19,4.14,0.6
"Puerto Mosquito, Vieques",9-Mar-16,50231502,17:01,7.2,27.2,111.6,114.3,-0.3,1.0,-0.35,4.14,0.2
"Puerto Mosquito, Vieques",9-Mar-16,50231502,18:46,6.8,26.5,103.5,107.6,-0.4,1.8,-0.25,4.14,0.1
"Puerto Mosquito, Vieques",17-Nov-16,50231510,6:24,5.6,28.0,87.2,,,,,,
"Puerto Mosquito, Vieques",17-Nov-16,50231510,7:25,5.5,28.0,85.3,86.3,-0.1,1.0,-0.12,1.42,-0.3
"Puerto Mosquito, Vieques",17-Nov-16,50231510,8:15,5.5,27.9,84.9,85.1,0.0,0.8,-0.02,1.42,-0.2
"Puerto Mosquito, Vieques",17-Nov-16,50231510,9:18,5.6,27.9,86.2,85.6,0.1,1.1,0.09,1.42,-0.1
"Puerto Mosquito, Vieques",17-Nov-16,50231510,10:16,5.7,28.1,88.7,87.5,0.2,1.0,0.16,1.42,0.0
"Puerto Mosquito, Vieques",17-Nov-16,50231510,11:17,5.2,27.8,80.4,84.6,-0.5,1.0,-0.50,1.42,-0.7
"Puerto Mosquito, Vieques",17-Nov-16,50231510,12:20,5.7,28.2,89.2,84.8,0.5,1.1,0.50,1.42,0.3
"Puerto Mosquito, Vieques",17-Nov-16,50231510,13:26,6.0,28.4,94.0,91.6,0.3,1.1,0.27,1.42,0.2
"Puerto Mosquito, Vieques",17-Nov-16,50231510,14:20,6.1,28.4,95.3,94.7,0.1,0.9,0.09,1.42,0.0
"Puerto Mosquito, Vieques",17-Nov-16,50231510,15:19,6.3,28.5,98.3,96.8,0.2,1.0,0.19,1.42,0.2
"Puerto Mosquito, Vieques",17-Nov-16,50231510,16:19,6.5,28.6,101.9,100.1,0.2,1.0,0.20,1.42,0.2
"Puerto Mosquito, Vieques",17-Nov-16,50231510,17:18,6.7,28.7,105.5,103.7,0.2,1.0,0.23,1.42,0.3
"Puerto Mosquito, Vieques",17-Nov-16,50231510,18:35,6.7,28.5,104.0,104.8,-0.1,1.3,-0.06,1.42,0.0
"Puerto Mosquito, Vieques",17-Nov-16,50231510,19:34,6.5,28.4,101.1,102.6,-0.2,1.0,-0.17,1.42,-0.1
"Puerto Mosquito, Vieques",17-Nov-16,50231507,6:18,4.6,27.8,71.8,,,,,,
"Puerto Mosquito, Vieques",17-Nov-16,50231507,7:16,4.4,27.8,67.4,69.6,-0.3,1.0,-0.28,1.97,-0.9
"Puerto Mosquito, Vieques",17-Nov-16,50231507,8:10,4.8,27.7,74.3,70.9,0.5,0.9,0.50,1.97,-0.1
"Puerto Mosquito, Vieques",17-Nov-16,50231507,9:11,5.4,27.9,83.7,79.0,0.6,1.0,0.58,1.97,0.2
