Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 366,Coverage (%) 367,Coverage (%) 368,Coverage (%) 369,Coverage (%) 370,Coverage (%) 371,Coverage (%) 372,Coverage (%) 373,Coverage (%) 374,Coverage (%) 376,Coverage (%) 377,Coverage (%) 379,Coverage (%) 388,Coverage (%) 380,Coverage (%) 375,Area 366,Area 367,Area 368,Area 369,Area 370,Area 371,Area 372,Area 373,Area 374,Area 376,Area 377,Area 379,Area 388,Area 380,Area 375,#Peptides,#Unique,#Spec 366,#Spec 367,#Spec 368,#Spec 369,#Spec 370,#Spec 371,#Spec 372,#Spec 373,#Spec 374,#Spec 376,#Spec 377,#Spec 379,#Spec 388,#Spec 380,#Spec 375,PTM,Avg. Mass,Description
61,329,EJK52561,180.08,44,23,0,6,0,0,0,31,25,13,22,16,8,6,6,0,,,,,,,4.66E5,,,,,,,,,22,1,6,0,1,0,0,0,17,9,4,3,3,1,1,1,0,,12922,hypothetical protein THAOC_28149  Thalassiosira oceanica
61,332,EJK74337,180.08,32,17,0,4,0,0,0,23,18,9,16,12,6,4,4,0,,,,,,,4.66E5,,,,,,,,,22,1,6,0,1,0,0,0,17,9,4,3,3,1,1,1,0,,17560,hypothetical protein THAOC_03988  Thalassiosira oceanica
61,340,EJK52043,180.08,20,11,0,3,0,0,0,15,12,6,10,7,4,3,3,0,,,,,,,4.66E5,,,,,,,,,22,1,6,0,1,0,0,0,17,9,4,3,3,1,1,1,0,,27028,hypothetical protein THAOC_28729 partial  Thalassiosira oceanica
61,343,EJK62506,180.08,17,9,0,2,0,0,0,12,10,5,8,6,3,2,2,0,,,,,,,4.66E5,,,,,,,,,22,1,6,0,1,0,0,0,17,9,4,3,3,1,1,1,0,,32474,hypothetical protein THAOC_16881  Thalassiosira oceanica
4,19,XP_003061104,178.83,44,10,2,0,0,0,0,34,23,16,25,4,23,21,21,0,,,,,,,7.2E6,1.62E6,4.06E5,7.39E5,,3.38E6,8.61E6,4.41E6,,68,15,6,1,0,0,0,0,53,26,12,20,2,22,27,18,0,Carbamidomethylation; Oxidation (M),41766,actin flagellar inner arm intermediate chain  Micromonas pusilla CCMP1545
39,292,ETNP_70,176.18,24,5,0,0,0,0,0,18,14,5,17,0,12,12,15,0,,,,,,,4.98E6,1.97E6,,1.02E6,,3.45E6,4.3E5,4.8E6,,28,8,3,0,0,0,0,0,19,12,3,11,0,11,10,11,0,Carbamidomethylation; Oxidation (M),41848,Bacterial actin-related protein
58,312,XP_002179551,171.51,50,32,5,6,0,0,0,29,26,13,22,16,9,6,6,0,3.14E5,7.94E4,,,,,,,,,,,,,,24,1,9,1,1,0,0,0,16,9,4,3,3,1,1,1,0,,12629,histone H2B isoform 1a  Phaeodactylum tricornutum CCAP 1055
58,313,XP_002179210,171.51,50,32,5,6,0,0,0,29,26,13,22,16,9,6,6,0,3.14E5,7.94E4,,,,,,,,,,,,,,24,1,9,1,1,0,0,0,16,9,4,3,3,1,1,1,0,,12629,histone H2B isoform 1b  Phaeodactylum tricornutum CCAP 1055
12,49,ETNP_100,162.81,63,56,27,0,0,0,0,63,47,47,47,0,17,28,36,0,,,,,,,5.2E5,,,,,,,,,33,2,19,7,0,0,0,0,29,14,10,12,0,2,4,6,0,Oxidation (M),11381,Core histone H2A/H2B/H3/H4
14,58,ETNP_120,162.34,66,57,27,0,0,0,0,66,47,49,46,0,17,28,26,0,,,,,,,,,,,,,,,,35,0,20,7,0,0,0,0,30,13,11,10,0,2,4,5,0,Oxidation (M),11365,Core histone H2A/H2B/H3/H4
14,59,XP_003061756,162.34,66,57,27,0,0,0,0,66,47,49,46,0,17,28,26,0,,,,,,,,,,,,,,,,35,0,20,7,0,0,0,0,30,13,11,10,0,2,4,5,0,Oxidation (M),11395,predicted protein  Micromonas pusilla CCMP1545
14,60,XP_003063038,162.34,66,57,27,0,0,0,0,66,47,49,46,0,17,28,26,0,,,,,,,,,,,,,,,,35,0,20,7,0,0,0,0,30,13,11,10,0,2,4,5,0,Oxidation (M),11395,predicted protein  Micromonas pusilla CCMP1545
14,61,ETNP_70,162.34,66,57,27,0,0,0,0,66,47,49,46,0,17,28,26,0,,,,,,,,,,,,,,,,35,0,20,7,0,0,0,0,30,13,11,10,0,2,4,5,0,Oxidation (M),11395,Core histone H2A/H2B/H3/H4
14,62,XP_003061514,162.34,66,57,27,0,0,0,0,66,47,49,46,0,17,28,26,0,,,,,,,,,,,,,,,,35,0,20,7,0,0,0,0,30,13,11,10,0,2,4,5,0,Oxidation (M),11395,histone H4  Micromonas pusilla CCMP1545
14,63,XP_003059520,162.34,66,57,27,0,0,0,0,66,47,49,46,0,17,28,26,0,,,,,,,,,,,,,,,,35,0,20,7,0,0,0,0,30,13,11,10,0,2,4,5,0,Oxidation (M),11395,predicted protein  Micromonas pusilla CCMP1545
75,622,ETNP_90,162.04,66,43,0,0,0,0,0,24,22,19,10,10,9,9,0,0,5.15E6,,,,,,1.65E6,1.52E5,3.99E6,,,,0E0,,,21,7,13,0,0,0,0,0,11,7,4,1,2,1,1,0,0,Oxidation (M),12758,Core histone H2A/H2B/H3/H4
18,65,XP_003074685,161.55,23,18,10,0,0,0,0,21,17,15,17,0,6,10,12,0,,,,,,,,,,,,,,0E0,,34,1,18,7,0,0,0,0,29,13,10,10,0,2,4,6,0,Carbamidomethylation; Oxidation (M),31136,Histone H4 ISS  Ostreococcus tauri
49,403,ETNP_110,161.39,62,28,47,53,0,0,0,0,0,41,0,0,0,12,0,0,1.76E5,6.59E6,1.3E7,,,,,,1.24E7,,,,1.66E5,,,30,29,3,13,20,0,0,0,0,0,22,0,0,0,1,0,0,,7685,Photosystem I reaction center subunit IV
49,404,NP_100,161.39,62,28,47,53,0,0,0,0,0,41,0,0,0,12,0,0,1.76E5,6.59E6,1.3E7,,,,,,1.24E7,,,,1.66E5,,,30,29,3,13,20,0,0,0,0,0,22,0,0,0,1,0,0,,7685,Photosystem I reaction center subunit IV
49,405,ETNP_140,161.39,62,28,47,53,0,0,0,0,0,41,0,0,0,12,0,0,1.76E5,6.59E6,1.3E7,,,,,,1.24E7,,,,1.66E5,,,30,29,3,13,20,0,0,0,0,0,22,0,0,0,1,0,0,,7685,Photosystem I reaction center subunit IV
49,406,ETNP_120,161.39,62,28,47,53,0,0,0,0,0,41,0,0,0,12,0,0,1.76E5,6.59E6,1.3E7,,,,,,1.24E7,,,,1.66E5,,,30,29,3,13,20,0,0,0,0,0,22,0,0,0,1,0,0,,7685,Photosystem I reaction center subunit IV
49,408,ETNP_100,161.39,62,28,47,53,0,0,0,0,0,41,0,0,0,12,0,0,1.76E5,6.59E6,1.3E7,,,,,,1.24E7,,,,1.66E5,,,30,29,3,13,20,0,0,0,0,0,22,0,0,0,1,0,0,,7671,Photosystem I reaction center subunit IV
49,409,ETNP_100,161.39,62,28,47,53,0,0,0,0,0,41,0,0,0,12,0,0,1.76E5,6.59E6,1.3E7,,,,,,1.24E7,,,,1.66E5,,,30,29,3,13,20,0,0,0,0,0,22,0,0,0,1,0,0,,7671,Photosystem I reaction center subunit IV
53,108,ETNP14_68,159.36,55,43,48,50,0,0,0,21,6,36,0,0,0,0,0,0,,,,,,,,,,,,,,,,19,0,12,12,16,0,0,0,2,1,12,0,0,0,0,0,0,Carbamidomethylation,15623,Photosystem I reaction center subunit II
37,35,XP_002179286,159.36,56,50,28,0,0,0,0,56,47,31,37,10,17,28,26,0,9.19E5,8.8E4,,,,,5.94E5,7.18E5,,,9.37E4,,,,,31,3,19,7,0,0,0,0,25,13,8,8,1,2,4,5,0,Oxidation (M),11383,histone H4 isoform 1b  Phaeodactylum tricornutum CCAP 1055
37,36,XP_002179505,159.36,56,50,28,0,0,0,0,56,47,31,37,10,17,28,26,0,9.19E5,8.8E4,,,,,5.94E5,7.18E5,,,9.37E4,,,,,31,3,19,7,0,0,0,0,25,13,8,8,1,2,4,5,0,Oxidation (M),11383,histone H4 isoform 1a  Phaeodactylum tricornutum CCAP 1055
37,37,EJK69577,159.36,56,50,28,0,0,0,0,56,47,31,37,10,17,28,26,0,9.19E5,8.8E4,,,,,5.94E5,7.18E5,,,9.37E4,,,,,31,3,19,7,0,0,0,0,25,13,8,8,1,2,4,5,0,Oxidation (M),11383,hypothetical protein THAOC_09145  Thalassiosira oceanica
37,38,EJK72475,159.36,50,44,25,0,0,0,0,50,41,27,32,9,15,25,23,0,9.19E5,8.8E4,,,,,5.94E5,7.18E5,,,9.37E4,,,,,31,3,19,7,0,0,0,0,25,13,8,8,1,2,4,5,0,Oxidation (M),13036,hypothetical protein THAOC_05990  Thalassiosira oceanica
37,39,EJK63755,159.36,16,14,8,0,0,0,0,16,13,9,10,3,5,8,7,0,9.19E5,8.8E4,,,,,5.94E5,7.18E5,,,9.37E4,,,,,31,3,19,7,0,0,0,0,25,13,8,8,1,2,4,5,0,Oxidation (M),39773,hypothetical protein THAOC_15573 partial  Thalassiosira oceanica
84,252,ETNP_100,154.89,55,13,32,45,0,0,0,0,0,49,0,0,0,0,0,0,1.9E5,1.68E6,4.3E6,,,,,,2.64E6,,,,,,,21,12,2,9,14,0,0,0,0,0,11,0,0,0,0,0,0,,13019,Photosystem II 12 kDa extrinsic protein precursor
84,253,ETNP_120,154.89,55,13,32,45,0,0,0,0,0,49,0,0,0,0,0,0,1.9E5,1.68E6,4.3E6,,,,,,2.64E6,,,,,,,21,12,2,9,14,0,0,0,0,0,11,0,0,0,0,0,0,,13019,Photosystem II 12 kDa extrinsic protein precursor
84,254,ETNP_90,154.89,55,13,32,45,0,0,0,0,0,49,0,0,0,0,0,0,1.9E5,1.68E6,4.3E6,,,,,,2.64E6,,,,,,,21,12,2,9,14,0,0,0,0,0,11,0,0,0,0,0,0,,13019,Photosystem II 12 kDa extrinsic protein precursor
84,255,ETNP_100,154.89,55,13,32,45,0,0,0,0,0,49,0,0,0,0,0,0,1.9E5,1.68E6,4.3E6,,,,,,2.64E6,,,,,,,21,12,2,9,14,0,0,0,0,0,11,0,0,0,0,0,0,,13019,Photosystem II 12 kDa extrinsic protein precursor
90,314,ETNP_100,154.83,38,0,0,0,0,0,0,38,17,15,0,15,0,0,0,0,,,,,,,6.71E5,,,,,,,,,20,2,0,0,0,0,0,0,28,5,1,0,1,0,0,0,0,,6373,hypothetical protein
60,145,ETNP_90,153.77,56,34,46,46,0,0,0,12,6,36,0,0,0,0,0,0,,1.38E5,,,,,,,,,,,,,,19,1,9,11,15,0,0,0,1,1,11,0,0,0,0,0,0,Carbamidomethylation,15726,Photosystem I reaction center subunit II
82,160,ETNP_90,151.91,78,37,33,65,0,0,0,0,0,72,0,0,0,0,0,0,1.96E5,5.85E5,7.16E6,,,,,,1.21E6,,,,,,,20,10,3,10,17,0,0,0,0,0,8,0,0,0,0,0,0,Oxidation (M),11111,Photosystem II 12 kDa extrinsic protein
82,163,ETNP_100,151.91,67,32,28,55,0,0,0,0,0,61,0,0,0,0,0,0,1.96E5,5.85E5,7.16E6,,,,,,1.21E6,,,,,,,20,10,3,10,17,0,0,0,0,0,8,0,0,0,0,0,0,Oxidation (M),13052,Photosystem II 12 kDa extrinsic protein precursor
82,164,ETNP_120,151.91,67,32,28,55,0,0,0,0,0,61,0,0,0,0,0,0,1.96E5,5.85E5,7.16E6,,,,,,1.21E6,,,,,,,20,10,3,10,17,0,0,0,0,0,8,0,0,0,0,0,0,Oxidation (M),13052,Photosystem II 12 kDa extrinsic protein precursor
82,165,ETNP_140,151.91,67,32,28,55,0,0,0,0,0,61,0,0,0,0,0,0,1.96E5,5.85E5,7.16E6,,,,,,1.21E6,,,,,,,20,10,3,10,17,0,0,0,0,0,8,0,0,0,0,0,0,Oxidation (M),13052,Photosystem II 12 kDa extrinsic protein precursor
51,20,ETNP_140,150.63,83,62,65,75,0,0,0,0,0,48,0,0,0,0,0,0,2.66E4,3.26E6,5.14E6,,,,,,4.21E5,,,,,,,27,3,18,17,17,0,0,0,0,0,7,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M),12752,hypothetical protein
51,21,ETNP_110,150.63,83,62,65,75,0,0,0,0,0,48,0,0,0,0,0,0,2.66E4,3.26E6,5.14E6,,,,,,4.21E5,,,,,,,27,3,18,17,17,0,0,0,0,0,7,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M),12752,hypothetical protein
51,22,ETNP_100,150.63,83,62,65,75,0,0,0,0,0,48,0,0,0,0,0,0,2.66E4,3.26E6,5.14E6,,,,,,4.21E5,,,,,,,27,3,18,17,17,0,0,0,0,0,7,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M),12752,hypothetical protein
51,23,NP_85,150.63,83,62,65,75,0,0,0,0,0,48,0,0,0,0,0,0,2.66E4,3.26E6,5.14E6,,,,,,4.21E5,,,,,,,27,3,18,17,17,0,0,0,0,0,7,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M),12752,hypothetical protein
51,24,ETNP14_68,150.63,83,62,65,75,0,0,0,0,0,48,0,0,0,0,0,0,2.66E4,3.26E6,5.14E6,,,,,,4.21E5,,,,,,,27,3,18,17,17,0,0,0,0,0,7,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M),12752,hypothetical protein
51,25,ETNP_90,150.63,83,62,65,75,0,0,0,0,0,48,0,0,0,0,0,0,2.66E4,3.26E6,5.14E6,,,,,,4.21E5,,,,,,,27,3,18,17,17,0,0,0,0,0,7,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M),12752,hypothetical protein
52,26,ETNP_90,149.97,83,52,65,75,0,0,0,0,0,48,0,0,0,0,0,0,,4.48E5,2.97E6,,,,,,1.16E6,,,,,,,27,3,17,16,16,0,0,0,0,0,7,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M),12780,hypothetical protein
52,27,ETNP_110,149.97,83,52,65,75,0,0,0,0,0,48,0,0,0,0,0,0,,4.48E5,2.97E6,,,,,,1.16E6,,,,,,,27,3,17,16,16,0,0,0,0,0,7,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M),12780,hypothetical protein
52,28,ETNP_140,149.97,83,52,65,75,0,0,0,0,0,48,0,0,0,0,0,0,,4.48E5,2.97E6,,,,,,1.16E6,,,,,,,27,3,17,16,16,0,0,0,0,0,7,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M),12780,hypothetical protein
52,29,ETNP_100,149.97,83,52,65,75,0,0,0,0,0,48,0,0,0,0,0,0,,4.48E5,2.97E6,,,,,,1.16E6,,,,,,,27,3,17,16,16,0,0,0,0,0,7,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M),12780,hypothetical protein
129,34,NP_300,149.59,36,0,0,7,36,0,0,0,0,0,0,0,0,0,0,0,,,1.65E5,2.71E6,,,,,,,,,,,,21,2,0,0,2,24,0,0,0,0,0,0,0,0,0,0,0,Carbamidomethylation,39379,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
77,192,NP_85,148.53,48,26,32,38,0,0,0,12,6,36,0,0,0,0,0,0,,,,,,,,,,,,,,,,15,0,6,9,12,0,0,0,1,1,11,0,0,0,0,0,0,,15669,Photosystem I reaction center subunit II
57,248,WP_036911259,148.16,48,42,42,42,0,0,0,20,0,28,0,0,0,0,0,0,1.09E5,,2.59E4,,,,,,,,,,,,,17,1,12,11,14,0,0,0,2,0,11,0,0,0,0,0,0,Carbamidomethylation,15782,photosystem I reaction center subunit II Prochlorococcus
57,249,WP_011131077,148.16,48,42,42,42,0,0,0,20,0,28,0,0,0,0,0,0,1.09E5,,2.59E4,,,,,,,,,,,,,17,1,12,11,14,0,0,0,2,0,11,0,0,0,0,0,0,Carbamidomethylation,15752,photosystem I protein PsaD Prochlorococcus marinus
57,250,ETNP_120,148.16,48,42,42,42,0,0,0,20,0,28,0,0,0,0,0,0,1.09E5,,2.59E4,,,,,,,,,,,,,17,1,12,11,14,0,0,0,2,0,11,0,0,0,0,0,0,Carbamidomethylation,15782,Photosystem I reaction center subunit II
133,100,ETNP_100,145.27,36,0,0,3,36,0,0,0,0,0,0,0,0,0,0,0,,,,8.27E5,,,,,,,,,,,,21,1,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,,39293,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
133,101,ETNP_120,145.27,36,0,0,3,36,0,0,0,0,0,0,0,0,0,0,0,,,,8.27E5,,,,,,,,,,,,21,1,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,,39319,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
40,77,XP_002180656,145.18,20,11,10,6,8,0,0,12,10,8,9,8,4,4,4,0,2.97E5,1.28E5,3.2E4,1.9E4,,,2.34E5,1.04E5,,1E6,8.52E4,4.36E5,1.22E5,1.84E5,,27,4,11,5,3,4,0,0,16,7,7,10,10,3,2,2,0,Oxidation (M),49747,predicted protein  Phaeodactylum tricornutum CCAP 1055
142,54,ETNP_120,144.83,39,0,0,6,39,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,19,0,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,,31075,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
142,55,ETNP_140,144.83,34,0,0,5,34,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,19,0,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,,35015,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
41,190,ETNP_120,143.77,42,25,32,20,21,0,0,41,31,31,17,23,8,16,6,0,,,,,,,,,,,,,,,,26,0,8,6,3,3,0,0,18,8,11,7,9,2,2,1,0,Carbamidomethylation; Oxidation (M),14995,hypothetical protein
41,191,ETNP_120,143.77,40,24,31,19,20,0,0,40,29,29,17,22,8,15,6,0,,,,,,,,,,,,,,,,26,0,8,6,3,3,0,0,18,8,11,7,9,2,2,1,0,Carbamidomethylation; Oxidation (M),15516,hypothetical protein
89,132,|#CONTAM#K1C9_HUMAN|,143.67,28,0,0,3,7,13,5,4,0,3,0,4,18,3,15,0,,,1.08E5,1.04E6,4.33E6,4.24E5,7.34E5,,1.45E5,,4.76E5,2.06E6,1.13E4,9.29E5,,18,18,0,0,1,3,5,3,2,0,1,0,2,10,1,7,0,Oxidation (M),62129,sp|#CONTAM#K1C9_HUMAN|
15,187,ETNP_90,143.41,38,6,3,0,0,0,0,24,23,13,21,3,18,14,19,0,4.78E5,2.29E5,,,,,1.28E6,3.1E5,2.08E5,1.77E6,,1.2E6,1.46E6,2E6,,41,5,3,1,0,0,0,0,25,14,7,14,1,10,14,12,0,Carbamidomethylation; Oxidation (M),33070,Bacterial actin-related protein
104,7,ETNP_90,142.29,41,15,15,28,0,0,0,0,0,35,0,0,0,0,0,0,,,8.95E4,,,,,,,,,,,,,16,1,4,5,11,0,0,0,0,0,11,0,0,0,0,0,0,Oxidation (M),29344,Photosystem II manganese-stabilizing polypeptide precursor
104,8,ETNP_100,142.29,41,15,15,28,0,0,0,0,0,35,0,0,0,0,0,0,,,8.95E4,,,,,,,,,,,,,16,1,4,5,11,0,0,0,0,0,11,0,0,0,0,0,0,Oxidation (M),29257,Photosystem II manganese-stabilizing polypeptide precursor
99,30,ETNP_90,141.67,43,15,15,30,0,0,0,0,0,34,0,0,0,0,0,0,,,1.52E5,,,,,,2.15E5,,,,,,,18,5,4,5,12,0,0,0,0,0,12,0,0,0,0,0,0,,29123,Photosystem II manganese-stabilizing polypeptide precursor
35,32,WP_011129843,140.88,61,51,54,54,0,0,0,0,0,26,0,0,0,0,0,0,,,,,,,,,,,,,,,,23,0,17,14,13,0,0,0,0,0,4,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M),12922,hypothetical protein Prochlorococcus
35,33,ETNP_120,140.88,61,51,54,54,0,0,0,0,0,26,0,0,0,0,0,0,,,,,,,,,,,,,,,,23,0,17,14,13,0,0,0,0,0,4,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M),12950,hypothetical protein
66,237,XP_003061708,138.29,58,20,5,0,0,0,0,57,23,5,19,11,7,7,17,0,,,,,,,,,,,,,,,,25,0,5,1,0,0,0,0,21,6,1,3,2,1,1,3,0,Carbamidomethylation,15356,predicted protein  Micromonas pusilla CCMP1545
