Station,Type,Date,Longitude,Latitude,Pr [db],Depth [m],Temp [C],Sal [PSU],Sigma-0,Fluor [ug/L],Attn [1/m],Trans [%],Par,O2 [umol/kg],O2 [%],Bottle
P2 (28),B,10/04/19,-106.89446,16.79592,321.173,319.02,10.794,34.738,26.615,0.0666,0.018,99.551,1.00E-12,0.92,0.34,2
P2 (28),B,10/04/19,-106.89446,16.79592,321.734,319.577,10.789,34.738,26.616,0.0632,0.018,99.554,1.00E-12,0.91,0.34,3
P2 (28),B,10/04/19,-106.89446,16.79592,321.74,319.583,10.793,34.737,26.615,0.0627,0.018,99.555,1.00E-12,0.93,0.34,4
P2 (28),B,10/04/19,-106.89454,16.79572,176.762,175.638,12.483,34.821,26.361,0.0641,0.032,99.193,1.00E-12,0.94,0.36,5
P2 (28),B,10/04/19,-106.89454,16.79572,177.336,176.208,12.477,34.82,26.362,0.0639,0.032,99.196,1.00E-12,0.94,0.36,6
P2 (28),B,10/04/19,-106.89456,16.79572,175.68,174.563,12.498,34.82,26.358,0.0816,0.033,99.187,1.00E-12,0.96,0.37,7
P2 (28),B,10/04/19,-106.89456,16.7957,177.004,175.879,12.483,34.821,26.361,0.0686,0.032,99.198,1.00E-12,0.95,0.36,8
P2 (28),B,10/04/19,-106.8947,16.79552,125.484,124.702,13.714,34.792,26.09,0.4755,0.03,99.242,1.00E-12,0.96,0.38,9
P2 (28),B,10/04/19,-106.8947,16.79551,126.757,125.967,13.665,34.795,26.102,0.4725,0.031,99.238,1.00E-12,1.01,0.4,10
P2 (28),B,10/04/19,-106.89472,16.7955,124.921,124.142,13.734,34.788,26.083,0.479,0.03,99.255,1.00E-12,0.91,0.36,11
P2 (28),B,10/04/19,-106.89472,16.7955,125.703,124.92,13.697,34.793,26.094,0.479,0.03,99.258,1.00E-12,0.97,0.38,12
P2 (28),B,10/04/19,-106.89482,16.79536,100.113,99.495,15.188,34.55,25.587,0.2278,0.018,99.564,1.00E-12,23.88,9.64,13
P2 (28),B,10/04/19,-106.89484,16.79536,100.427,99.807,15.158,34.56,25.601,0.2263,0.018,99.563,1.00E-12,24.58,9.92,14
P2 (28),B,10/04/19,-106.89484,16.79536,101.124,100.499,15.112,34.567,25.617,0.2102,0.017,99.587,1.00E-12,22.72,9.16,15
P2 (28),B,10/04/19,-106.89484,16.79536,101.598,100.97,15.09,34.566,25.621,0.192,0.016,99.591,1.00E-12,21.73,8.76,16
P2 (28),B,10/04/19,-106.89486,16.79532,66.005,65.603,20.818,34.416,24.102,1.0775,0.075,98.145,1.00E-12,205.62,92.18,17
P2 (28),B,10/04/19,-106.89486,16.79532,66.388,65.984,20.785,34.412,24.107,1.0285,0.076,98.118,1.00E-12,206.25,92.42,18
P2 (28),B,10/04/19,-106.89486,16.79532,66.292,65.889,20.798,34.412,24.104,1.0731,0.074,98.161,1.00E-12,206.9,92.71,19
P2 (28),B,10/04/19,-106.89487,16.79532,65.154,64.757,20.919,34.419,24.077,1.1329,0.076,98.13,1.00E-12,205.73,92.4,20
P2 (28),B,10/04/19,-106.89493,16.79528,11.252,11.185,29.35,34.611,21.655,0.0885,0.043,98.935,7.06E-01,193.65,100.28,21
P2 (28),B,10/04/19,-106.89492,16.79528,11.351,11.283,29.35,34.611,21.656,0.0888,0.043,98.922,7.89E-01,193.45,100.17,22
P2 (28),B,10/04/19,-106.89492,16.79528,9.333,9.277,29.348,34.61,21.656,0.0883,0.043,98.923,8.52E-01,193.47,100.18,23
P2 (28),B,10/04/19,-106.89494,16.79529,10.911,10.846,29.353,34.612,21.656,0.0888,0.043,98.938,7.78E-01,193.18,100.04,24
