sample id,Station,Depth (m),Pressure [dbar],Trap type,Flux (mg/m2/day),C:N organic,Org C flux (umol C/m2/day),Protein flux (ug/m2/day),Carbon protein flux (umol C/m2/day),N production rate (nM N/day),d15N vs Air N2 (permil),d13C vs VPDB (permil)
3-18_180m_+p,P2,180,180,net,41.10025186,,,510.117646938796,510.117646938796,,,
3-18_180m_top,P2,180,180,net,,7.1687652993939,86.97380591,224.640400250156,224.640400250156,,17.2123,-23.7632
4-13_265m_top+P,P2,265,265,net,10.19766882,5.64738272452598,39.36946586,,,,11.4427,-17.581
4-13_965m_top+p1,P2,965,965,net,,9.59169388334339,11.90918431,,,,8.776,-19.309
4-13_965m_top+p2,P2,965,965,net,17.82170147,,,,,,8.0633,-24.1604
1-19_119m_+p,P2,119,119,cone,79.71774684,,,,,,,
1-19_119m_top,P2,119,119,cone,,,,,,,,
1-19_159m_+p,P2,159,159,cone,61.53991313,,,,,,,
1-19_159m_top,P2,159,159,cone,,10.480251860332,58.77958173,,,,22.9036,-24.5682
2-20_312m_+p,P2,312,312,net,40.90035685,,,,,,,
2-20_312m_top,P2,312,312,net,,,,,,,,
2-20_412m_+p,P2,412,412,net,16.13711754,,,,,,,
3-21_365m_+p,P2,365,365,net,36.05092706,7.99314285714286,58.74844704,43.3505226579923,43.3505226579923,,9.9813,-20.6079
3-21_365m_top,P2,365,365,net,,,,,,,,
3-21_452m_+p,P2,452,452,net,51.64578176,9.52024803643196,46.10680329,,,,40.73,-20.751
3-21_452m_top,P2,452,452,net,,16.3138277521596,40.05351149,,,,40.5119,-28.2913
4-22_59m_+p,P2,59,59,cone,64.57753223,,,,,,,
4-22_69m_+p,P2,69,69,cone,133.1442223,7.34765137670876,155.1165567,,,,17.4358,-20.6818
4-22_69m_top,P2,69,69,cone,,,,,,,,
