,Station,Depth (m),Pressure [dbar],Trap type,Flux (mg/m2/day),C:N organic,Org C flux (umol C/m2/day),Protein flux (ug/m2/day),Carbon protein flux (umol C/m2/day),N production rate (nM N/day),d15N vs Air N2 (permil),d13C vs VPDB (permil),depSMignore,latitude,longitude,t090C,t190C,potemp090C,sal00,sal11,density00,sigma-t00,flSP,sbox0Mm/Kg,oxsolMm/Kg,CStarAt0,CStarTr0,par
10,P2,150,150,net,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,149.058,16.58962,-106.92288,12.7936,12.7936,12.7733,34.8048,34.8124,1026.9531,26.2829,0.10517,0.423,259.34706,0.142,96.5132,1e-12
11,P2,150,150,net,NULL,NULL,NULL,NULL,NULL,21.0,NULL,NULL,149.058,16.58962,-106.92288,12.7936,12.7936,12.7733,34.8048,34.8124,1026.9531,26.2829,0.10517,0.423,259.34706,0.142,96.5132,1e-12
12,P2,120,120,cone,129.1017662,NULL,NULL,NULL,NULL,NULL,NULL,NULL,119.255,16.58962,-106.92288,13.5408,13.5406,13.5239,34.7892,34.7966,1026.6545,26.1197,0.6179,0.5870000000000001,255.46907000000002,0.1524,96.2601,1e-12
13,P2,120,120,cone,NULL,13.4542583537082,136.9401816,NULL,NULL,NULL,37.3267,-23.3694,119.255,16.58962,-106.92288,13.5408,13.5406,13.5239,34.7892,34.7966,1026.6545,26.1197,0.6179,0.5870000000000001,255.46907000000002,0.1524,96.2601,1e-12
14,P2,120,120,cone,139.1207513,NULL,NULL,NULL,NULL,39.0,NULL,NULL,119.255,16.58962,-106.92288,13.5408,13.5406,13.5239,34.7892,34.7966,1026.6545,26.1197,0.6179,0.5870000000000001,255.46907000000002,0.1524,96.2601,1e-12
15,P2,120,120,cone,NULL,9.60336494452785,165.7955664,NULL,NULL,NULL,32.0272,-22.8841,119.255,16.58962,-106.92288,13.5408,13.5406,13.5239,34.7892,34.7966,1026.6545,26.1197,0.6179,0.5870000000000001,255.46907000000002,0.1524,96.2601,1e-12
16,P2,179,179,net,62.81986415,NULL,NULL,NULL,NULL,31.0,NULL,NULL,177.863,16.58962,-106.92288,12.3427,12.3425,12.319,34.7892,34.7967,1027.1604,26.3594,0.070641,0.305,261.78829,0.0831,97.9448,1e-12
17,P2,179,179,net,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,177.863,16.58962,-106.92288,12.3427,12.3425,12.319,34.7892,34.7967,1027.1604,26.3594,0.070641,0.305,261.78829,0.0831,97.9448,1e-12
18,P2,113,113,cone,92.04438506,NULL,NULL,NULL,NULL,34.0,NULL,NULL,112.3,16.58962,-106.92288,13.7254,13.7272,13.7094,34.7924,34.7995,1026.5874,26.084,0.74642,0.873,254.51484,0.1548,96.2038,1e-12
19,P2,113,113,cone,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,112.3,16.58962,-106.92288,13.7254,13.7272,13.7094,34.7924,34.7995,1026.5874,26.084,0.74642,0.873,254.51484,0.1548,96.2038,1e-12
20,P2,140,140,cone,119.9515607,NULL,NULL,314.713043550195,314.713043550195,10.0,NULL,NULL,139.124,16.58962,-106.92288,12.9937,12.9935,12.9746,34.799,34.8065,1026.8635,26.2384,0.205,0.397,258.30064,0.1274,96.8648,1e-12
21,P2,140,140,cone,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,139.124,16.58962,-106.92288,12.9937,12.9935,12.9746,34.799,34.8065,1026.8635,26.2384,0.205,0.397,258.30064,0.1274,96.8648,1e-12
22,P2,180,180,net,41.10025186,NULL,NULL,510.117646938796,510.117646938796,NULL,NULL,NULL,178.856,16.58962,-106.92288,12.2996,12.2985,12.2758,34.7875,34.7951,1027.1721,26.3664,0.06930399999999999,0.29600000000000004,262.02393,0.083,97.9485,1e-12
23,P2,180,180,net,NULL,7.1687652993939,86.97380591,224.640400250156,224.640400250156,NULL,17.2123,-23.7632,178.856,16.58962,-106.92288,12.2996,12.2985,12.2758,34.7875,34.7951,1027.1721,26.3664,0.06930399999999999,0.29600000000000004,262.02393,0.083,97.9485,1e-12
24,P2,265,265,net,10.19766882,5.64738272452598,39.36946586,NULL,NULL,NULL,11.4427,-17.581,263.262,16.58962,-106.92288,11.2462,11.2462,11.2131,34.728,34.7355,1027.709,26.5189,0.067966,0.21,267.95031,0.0764,98.1095,1e-12
25,P2,965,965,net,NULL,9.59169388334339,11.90918431,NULL,NULL,NULL,8.776,-19.309,957.061,16.58961,-106.92288,4.8332,4.8331,4.7543,34.535,34.542,1031.7572,27.3257,0.087636,3.1630000000000003,309.66955,0.071,98.2409,1e-12
26,P2,965,965,net,17.82170147,NULL,NULL,NULL,NULL,NULL,8.0633,-24.1604,957.061,16.58961,-106.92288,4.8332,4.8331,4.7543,34.535,34.542,1031.7572,27.3257,0.087636,3.1630000000000003,309.66955,0.071,98.2409,1e-12
27,P2,119,119,cone,79.71774684,NULL,NULL,NULL,NULL,NULL,NULL,NULL,118.26100000000001,16.58962,-106.92288,13.553,13.5527,13.5362,34.7892,34.7967,1026.6476,26.1172,0.6248199999999999,0.6659999999999999,255.40597000000002,0.1534,96.2374,1e-12
28,P2,119,119,cone,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,118.26100000000001,16.58962,-106.92288,13.553,13.5527,13.5362,34.7892,34.7967,1026.6476,26.1172,0.6248199999999999,0.6659999999999999,255.40597000000002,0.1534,96.2374,1e-12
29,P2,159,159,cone,61.53991313,NULL,NULL,NULL,NULL,NULL,NULL,NULL,157.998,16.58962,-106.92288,12.6625,12.6625,12.6411,34.8123,34.82,1027.0254,26.3147,0.079183,0.37200000000000005,260.0309,0.0844,97.9112,1e-12
30,P2,159,159,cone,NULL,10.480251860332,58.77958173,NULL,NULL,NULL,22.9036,-24.5682,157.998,16.58962,-106.92288,12.6625,12.6625,12.6411,34.8123,34.82,1027.0254,26.3147,0.079183,0.37200000000000005,260.0309,0.0844,97.9112,1e-12
31,P2,312,312,net,40.90035685,NULL,NULL,NULL,NULL,NULL,NULL,NULL,309.91900000000004,16.58961,-106.92288,10.6778,10.678,10.64,34.6933,34.7004,1027.9982,26.5944,0.06992899999999999,0.153,271.25737000000004,0.0736,98.1767,1e-12
32,P2,312,312,net,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,309.91900000000004,16.58961,-106.92288,10.6778,10.678,10.64,34.6933,34.7004,1027.9982,26.5944,0.06992899999999999,0.153,271.25737000000004,0.0736,98.1767,1e-12
33,P2,412,412,net,16.13711754,NULL,NULL,NULL,NULL,NULL,NULL,NULL,409.153,16.58962,-106.92288,9.6434,9.6432,9.5964,34.6343,34.6415,1028.5867,26.7265,0.06991699999999999,0.153,277.46405,0.0716,98.2264,1e-12
34,P2,365,365,net,36.05092706,7.99314285714286,58.74844704,43.3505226579923,43.3505226579923,NULL,9.9813,-20.6079,362.51800000000003,16.5896,-106.92288,10.0996,10.0996,10.0568,34.6601,34.667,1028.315,26.6695,0.070813,0.155,274.69545,0.0723,98.2077,1e-12
35,P2,365,365,net,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,362.51800000000003,16.5896,-106.92288,10.0996,10.0996,10.0568,34.6601,34.667,1028.315,26.6695,0.070813,0.155,274.69545,0.0723,98.2077,1e-12
36,P2,452,452,net,51.64578176,9.52024803643196,46.10680329,NULL,NULL,NULL,40.73,-20.751,448.833,16.58962,-106.92288,9.0002,9.0004,8.9506,34.6027,34.6097,1028.8527,26.807,0.070732,0.132,281.44649,0.0704,98.2565,1e-12
37,P2,452,452,net,NULL,16.3138277521596,40.05351149,NULL,NULL,NULL,40.5119,-28.2913,448.833,16.58962,-106.92288,9.0002,9.0004,8.9506,34.6027,34.6097,1028.8527,26.807,0.070732,0.132,281.44649,0.0704,98.2565,1e-12
38,P2,59,59,cone,64.57753223,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58.641999999999996,16.58962,-106.92288,24.2679,24.2643,24.2554,34.322,34.3307,1023.3036,23.0487,1.13,126.113,210.25376,0.2024,95.0664,1e-12
39,P2,69,69,cone,133.1442223,7.34765137670876,155.1165567,NULL,NULL,NULL,17.4358,-20.6818,68.58,16.58962,-106.92288,19.3536,19.3503,19.3412,34.5922,34.5996,1024.9208,24.6189,0.47276999999999997,22.985,228.80901,0.1581,96.1236,1e-12
40,P2,69,69,cone,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,68.58,16.58962,-106.92288,19.3536,19.3503,19.3412,34.5922,34.5996,1024.9208,24.6189,0.47276999999999997,22.985,228.80901,0.1581,96.1236,1e-12
