sample id,Station,Year,Depth (m),Pressure [dbar],Trap type,Flux (mg/m2/day),C:N organic,Org C flux (umol C/m2/day),Protein flux (ug/m2/day),Carbon protein flux (umol C/m2/day),N production rate (nM N/day)
2-38_122m_+P,P1,2018,122,122,cone,2.96830864622804,,,,,54
2-38_122m_ctl,P1,2018,122,122,cone,9.47640449438202,,,,,
3-39_120m_top,P1,2018,120,120,cone,144.5962733,47.19008443,,,,
3-39_190m_top,P1,2018,190,190,cone,31.86596927,5.58032128514056,24.84261045,,,
3-39_190m_+P,P1,2018,190,190,cone,4.91321499013807,,,,,64
3-39_190m_ctl,P1,2018,190,190,cone,2.77491749174917,,,,,
4-40_123m_+P,P1,2018,123,123,net,127.6422764,,,,,
4-40_123m_nw1,P1,2018,123,123,net,,,,,,
4-40_123m_nw2,P1,2018,123,123,net,,,,,,
4-40_123m_nw3,P1,2018,123,123,net,8.21664180341455,,,,,
4-40_201m_+P,P1,2018,201,201,net,18.53988134,6.92031090523671,206.4532045,,,
4-40_201m_ctl,P1,2018,201,201,net,13.01269035533,,,,,
4-40_201m_nw1,P1,2018,201,201,net,8.47593418422267,,,,,
4-40_201m_nw2,P1,2018,201,201,net,,,,,,
4-40_201m_nw3,P1,2018,201,201,net,,,,,,
4-40_201m_nw4,P1,2018,201,201,net,,,,,,
4-40_201m_nw5,P1,2018,201,201,net,,,,,,
1-42_221m_+P1,P1,2018,221,221,net,,,,,,
1-42_221m_+P2,P1,2018,221,221,net,7.360697997,6.82834475297512,94.40429427,,,
1-42_221m_nw1,P1,2018,221,221,net,,,,,,
1-42_221m_nw2,P1,2018,221,221,net,,,,,,
1-42_221m_nw3,P1,2018,221,221,net,,,,,,
1-42_221m_nw4,P1,2018,221,221,net,8.58108995403808,,,,,
1-42_586m_+P,P1,2018,586,586,net,5.35131205,6.19074177356386,54.4451539,,,
1-42_586m_nw1,P1,2018,586,586,net,,,,,,
1-42_586m_nw2,P1,2018,586,586,net,,,,,,
1-42_586m_nw3,P1,2018,586,586,net,9.13349633251834,,,,,
1-42_586m_nw4,P1,2018,586,586,net,,,,,,
2-43_145m_top,P1,2018,145,145,cone,16.09712027,6.04868549172347,20.25935053,,,
2-43_145m_+P,P1,2018,145,145,cone,8.32882462686567,,,,,181
2-43_145m_ctl,P1,2018,145,145,cone,12.3678756476684,,,,,
2-43_288m_+P,P1,2018,288,288,cone,9.216589862,7.42969396195203,113.4440422,,,
3-44_93m_top,P1,2018,93,93,cone,13.12777285,9.40529531568228,29.19970064,,,
3-44_93m_+P,P1,2018,93,93,cone,8.89652777777778,,,,,160
3-44_93m_ctl,P1,2018,93,93,cone,10.8880952380952,,,,,
4-45_143m_+P,P1,2018,143,143,net,54.63414634,12.2922794117647,44.60837344,,,
4-45_143m_nw1,P1,2018,143,143,net,,,,,,
4-45_143m_nw2,P1,2018,143,143,net,,,,,,
4-45_143m_nw3,P1,2018,143,143,net,,,,,,
4-45_143m_nw4,P1,2018,143,143,net,8.09428794992175,,,,,
4-45_143m_nw5,P1,2018,143,143,net,,,,,,
4-45_843m_+P,P1,2018,843,843,net,4.51894411621226,28.51596639,,,,
4-45_843m_nw1,P1,2018,843,843,net,,,,,,
4-45_843m_nw2,P1,2018,843,843,net,,,,,,
4-45_843m_nw3,P1,2018,843,843,net,,,,,,
4-45_843m_nw4,P1,2018,843,843,net,8.58502772643253,,,,,
