sample id,Year,Station,Pressure [dbar],Flux (mg/m2/day),C flux organic,Trap type,CN total,CN organic,Protein flux  (ug/m2/day),Protein/org C of flux (ug protein/umol C)
2-6_110m_top,2017,P1,110.0,69.76744055,cone,17.24539442,18.79275931,277.8743961,3.98286642,
2-6_132m_ctl,2017,P1,132.0,net,,,,,,
2-6_132m_+p,2017,P1,132.0,40.74176943,net,44.25037533,46.39548443,183.1336585,,
2-6_132m_top,2017,P1,132.0,45.19916753,net,44.25037533,46.39548443,1682.962963,37.23437963,
2-6_132m_netwash1,2017,P1,132.0,net,,,,,,
2-6_132m_netwash2,2017,P1,132.0,net,,,,,,
2-6_132m_netwash3,2017,P1,132.0,net,9.190906487,8.978286225,,,,
4-4_700m_ctl,2017,P1,700.0,net,50.35927315,50.10611335,,,,
4-4_700m_+p,2017,P1,700.0,32.16404374,net,9.552701247,7.958910432,46.33170732,,
4-4_700m_top,2017,P1,700.0,39.43923292,net,9.552701247,7.958910432,1225.076784,31.06238873,
4-4_700m_netwash1,2017,P1,700.0,net,,,,,,
4-4_700m_netwash2,2017,P1,700.0,net,,,,,,
4-11_265m_ctl,2017,P1,265.0,net,37.39457712,32.38678084,,,,
4-11_265m_topnw1,2017,P1,265.0,net,,,,,,
4-11_265m_topnw2,2017,P1,265.0,net,,,,,,
4-11_265m_topnw3,2017,P1,265.0,net,,,,,,
4-11_265m_topnw4,2017,P1,265.0,net,,,,,,
4-11_265m_topnw5,2017,P1,265.0,net,14.38715004,12.5096125,,,,
4-11_265m_topnw6,2017,P1,265.0,net,,,,,,
4-11_265m_swimmers,2017,P1,265.0,net,,,,,,
1-8_73m_+p,2017,P1,73.0,68.1893743,cone,,,,,
1-8_73m_top,2017,P1,73.0,cone,,,,,,
1-8_120m_ctl,2017,P1,120.0,cone,,,,,,
1-8_120m_+p,2017,P1,120.0,60.64650195,cone,5.269192469,5.079697324,340.0434783,,
1-8_120m_top,2017,P1,120.0,140.8612533,cone,5.269192469,5.079697324,3484.173913,24.73479279,
1-8_120m_swimmers,2017,P1,120.0,cone,,,,,,
2-9_74m_ctl,2017,P1,74.0,cone,47.21263619,57.27125715,,,,
2-9_74m_+p_top,2017,P1,74.0,38.13104837,52.62885675,cone,19.86246653,22.27713081,,
2-9_94m_ctl,2017,P1,94.0,net,,,,,,
2-9_94m_+p,2017,P1,94.0,17.18357041,net,,,,,
2-9_94m_topnw1,2017,P1,94.0,net,,,,,,
2-9_94m_topnw3,2017,P1,94.0,net,,,,,,
2-9_94m_topnw5,2017,P1,94.0,net,,,,,,
2-9_94m_topnw7,2017,P1,94.0,net,,,,,,
3-10_68m_ctl,2017,P1,68.0,cone,,,,,,
3-10_68m_+p,2017,P1,68.0,92.05884388,44.18219015,cone,14.31564382,12.96146939,255.0652174,5.773032448
3-10_68m_top,2017,P1,68.0,447.2271782,cone,16.06433459,15.86702414,1786.956522,3.9956349,
3-10_168m_ctl,2017,P1,168.0,net,27.53602168,27.07573551,,,,
3-10_168m_+p,2017,P1,168.0,48.55500417,185.4257014,net,6.288771765,5.965220112,661.0731707,3.56516473
3-10_168m_+p_fw,2017,P1,168.0,net,,,,,,
3-10_168m_topnw1,2017,P1,168.0,net,,,,,,
3-10_168m_topnw3,2017,P1,168.0,net,,,,,,
3-10_168m_topnw5,2017,P1,168.0,net,,,,,,
1-12_73m_ctl,2017,P2,73.0,cone,38.98878108,34.77459103,,,,
1-12_73m_+p,2017,P2,73.0,81.78751095,103.0642534,cone,24.02141989,18.17869718,,
1-12_148m_ctl,2017,P2,148.0,cone,83.52731651,48.42571819,,,,
1-12_148m_+p,2017,P2,148.0,90.82039063,66.99777467,cone,25.859061,19.77027173,,
2-14_100m_ctl,2017,P2,100.0,cone,,,,,,
2-14_100m_+p,2017,P2,100.0,138.4426437,cone,314.7130435,,,,
2-14_100m_top,2017,P2,100.0,37.5761124,cone,12.35028008,10.61309594,,,
2-14_150m_ctl,2017,P2,150.0,net,,,,,,
2-14_150m_+p,2017,P2,150.0,70.65449111,net,1920.245296,,,,
2-14_150m_top,2017,P2,150.0,net,,,,,,
2-14_150m_netwash1,2017,P2,150.0,net,,,,,,
2-14_150m_netwash2,2017,P2,150.0,net,,,,,,
2-14_150m_netwash3,2017,P2,150.0,net,,,,,,
3-15_120m_ctl,2017,P2,120.0,cone,,,,,,
3-15_120m_+p,2017,P2,120.0,129.1017662,cone,,,,,
3-15_120m_top,2017,P2,120.0,136.9401816,cone,15.47048486,13.45425835,,,
3-15_179m_ctl,2017,P2,179.0,net,,,,,,
3-15_179m_+p,2017,P2,179.0,62.81986415,net,,,,,
3-15_179m_top,2017,P2,179.0,net,,,,,,
3-15_179m_netwash1,2017,P2,179.0,net,,,,,,
3-15_179m_netwash2,2017,P2,179.0,net,,,,,,
1-16_113m_ctl,2017,P2,113.0,cone,,,,,,
1-16_113m_+p,2017,P2,113.0,92.04438506,cone,,,,,
1-16_113m_top,2017,P2,113.0,cone,,,,,,
1-16_140m_ctl,2017,P2,140.0,cone,,,,,,
1-16_140m_+p,2017,P2,140.0,119.9515607,cone,314.7130435,,,,
1-16_140m_top,2017,P2,140.0,cone,,,,,,
2-17_100m_ctl,2017,P2,100.0,cone,,,,,,
2-17_100m_+p,2017,P2,100.0,111.1657614,cone,,,,,
2-17_100m_top,2017,P2,100.0,115.678228,cone,8.813551832,7.592958471,,,
2-17_150m_ctl,2017,P2,150.0,net,,,,,,
2-17_150m_+p,2017,P2,150.0,56.4248001,net,,,,,
2-17_150m_top,2017,P2,150.0,22.80088017,net,14.13410921,13.00642071,,,
2-17_150m_top1of2,2017,P2,150.0,net,,,,,,
2-17_150m_top2of2,2017,P2,150.0,net,,,,,,
2-17_150m_nw1,2017,P2,150.0,net,9.320634846,8.216286255,,,,
2-17_150m_nw2,2017,P2,150.0,net,,,,,,
3-18_120m_ctl,2017,P2,120.0,cone,,,,,,
3-18_120m_+p,2017,P2,120.0,139.1207513,cone,,,,,
3-18_120m_top,2017,P2,120.0,165.7955664,cone,10.2904078,9.603364945,,,
3-18_180m_ctl,2017,P2,180.0,net,,,,,,
3-18_180m_+p,2017,P2,180.0,41.10025186,net,8.451808307,7.168765299,510.1176471,,
3-18_180m_top,2017,P2,180.0,86.97380591,net,8.451808307,7.168765299,224.6404003,2.582851215,
3-18_180m_netwash,2017,P2,180.0,net,,,,,,
4-13_265m_ctl,2017,P2,265.0,net,84.13390631,64.24927241,,,,
4-13_265m_top+P,2017,P2,265.0,10.19766882,39.36946586,net,7.37626721,5.647382725,,
4-13_265m_nw1,2017,P2,265.0,net,10.67791716,9.293412107,,,,
4-13_265m_nw2,2017,P2,265.0,net,,,,,,
4-13_265m_nw3,2017,P2,265.0,net,,,,,,
4-13_265m_pteropod,2017,P2,265.0,net,,,,,,
4-13_265m_krill,2017,P2,265.0,net,,,,,,
4-13_965m_ctl1,2017,P2,965.0,net,35.00300881,35.31567247,,,,
4-13_965m_ctl2,2017,P2,965.0,net,,,,,,
4-13_965m_top+p1,2017,P2,965.0,11.90918431,net,13.14630852,9.591693883,,,
4-13_965m_top+p2,2017,P2,965.0,17.82170147,net,,,,,
4-13_965m_nw1,2017,P2,965.0,net,,,,,,
4-13_965m_nw2,2017,P2,965.0,net,,,,,,
4-13_965m_nw3,2017,P2,965.0,net,,,,,,
4-13_965m_nw4,2017,P2,965.0,net,,,,,,
4-13_965m_nw5,2017,P2,965.0,net,,,,,,
1-19_119m_ctl,2017,P2,119.0,cone,,,,,,
1-19_119m_+p,2017,P2,119.0,79.71774684,cone,,,,,
1-19_119m_top,2017,P2,119.0,cone,,,,,,
1-19_159m_+p,2017,P2,159.0,61.53991313,cone,,,,,
1-19_159m_top,2017,P2,159.0,58.77958173,cone,12.58592251,10.48025186,,,
2-20_312m_ctl,2017,P2,312.0,net,,,,,,
2-20_312m_+p,2017,P2,312.0,40.90035685,net,,,,,
2-20_312m_top,2017,P2,312.0,net,,,,,,
2-20_312m_netwash1,2017,P2,312.0,net,,,,,,
2-20_312m_netwash2,2017,P2,312.0,net,,,,,,
2-20_412m_ctl,2017,P2,412.0,net,,,,,,
2-20_412m_+p,2017,P2,412.0,16.13711754,net,,,,,
2-20_412m_netwash1,2017,P2,412.0,net,,,,,,
2-20_412m_netwash2,2017,P2,412.0,net,,,,,,
2-20_412m_netwash3,2017,P2,412.0,net,,,,,,
3-21_365m_ctl,2017,P2,365.0,net,,,,,,
3-21_365m_+p,2017,P2,365.0,36.05092706,58.74844704,net,9.722210092,7.993142857,43.35052265,0.7379007417
3-21_365m_top,2017,P2,365.0,net,,,,,,
3-21_365m_netwash1,2017,P2,365.0,net,,,,,,
3-21_365m_netwash2,2017,P2,365.0,net,,,,,,
3-21_365m_netwash3,2017,P2,365.0,net,,,,,,
3-21_452m_ctl,2017,P2,452.0,net,,,,,,
3-21_452m_+p,2017,P2,452.0,51.64578176,46.10680329,net,12.17790665,9.520248036,,
3-21_452m_top,2017,P2,452.0,40.05351149,net,24.88197205,16.31382775,,,
3-21_452m_netwash1,2017,P2,452.0,net,,,,,,
3-21_452m_netwash2,2017,P2,452.0,net,,,,,,
4-22_59m_ctl,2017,P2,59.0,cone,,,,,,
4-22_59m_+p,2017,P2,59.0,64.57753223,cone,,,,,
4-22_59m_jelly+p,2017,P2,59.0,cone,,,,,,
4-22_69m_ctl,2017,P2,69.0,cone,,,,,,
4-22_69m_+p,2017,P2,69.0,133.1442223,155.1165567,cone,8.326393193,7.347651377,,
4-22_69m_top,2017,P2,69.0,cone,,,,,,
