sample id,Station,Year,Depth (m),Pressure [dbar],Trap type,Flux (mg/m2/day),C:N organic,Org C flux (umol C/m2/day),Protein flux (ug/m2/day),Carbon protein flux (umol C/m2/day),Protein/org C of flux (ug protein/umol C)
3-54_200m_top,P2,2019,200,200,Hybrid,82.99516908,10.7176470588235,22.29103516,187.1856453,8.397350951,
1-50_100m_NO2_ctl,P2,2019,100,100,Hybrid,25.2390243902439,,,,,
1-50_300m_NO2_top,P2,2019,300,300,Hybrid,107.1438958,18.0477941176471,21.5044534,363.0646116,16.88322902,
1-50_300m_NO2_+P,P2,2019,300,300,Hybrid,23.4532374100719,,,,,
1-50_100m_NO2_top,P2,2019,100,100,Hybrid,113.0123138,17.0764705882353,24.79294243,451.5821744,18.21414201,
1-50_100m_NO2_+P,P2,2019,100,100,Hybrid,11.0821467688938,,,,,
1-50_300m_NO2_ctl,P2,2019,300,300,Hybrid,34.1347517730496,,,,,
4-55_490m_top/+P,P2,2019,490,490,Hybrid,7.636546026,19.4355300859599,20.67419312,245.6279172,11.88089498,
4-55_390m_top_Clint,P2,2019,390,390,Hybrid,20.82,,,,,
4-55_90m_+P,P2,2019,90,90,Hybrid,80.48056313,4.62063615205586,353.5566298,1558.049231,4.406788334,
4-55_490m_ctl,P2,2019,490,490,Hybrid,38.5986842105263,,,,,
4-55_90m_ctl,P2,2019,90,90,Hybrid,21.2470308788599,,,,,
3-51_520m_NO2_+P,P2,2019,520,520,Hybrid,90.16563147,18.902,86.81522804,332.7506362,3.832860245,
3-51_520m_NO2_ctl,P2,2019,520,520,Hybrid,18.495867768595,,,,,
1-53_278m_+P,P2,2019,278,278,Hybrid,53.0177949,13.5171898355755,52.99719101,204.4910401,3.858526013,
1-53_107m_+P,P2,2019,107,107,Hybrid,64.2526999,11.9092872570194,16.55766079,272.0780859,16.43215725,
1-53_107m_top,P2,2019,107,107,Hybrid,13.1277997364954,,,,,
1-53_107m_ctl,P2,2019,107,107,Hybrid,23.8048780487805,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
*freeze dried,,,,,,,,,,,
"*not freeze dried, but filter from same sample dried",,,,,,,,,,,
"*freeze dried, but dry weight negative, consider drying a new filter from same sample?",,,,,,,,,,,
*in prep,,,,,,,,,,,
