,Station,Year,Depth (m),Pressure [dbar],Trap type,Chamber,Incubation,Flux (mg/m2/day),C:N organic,Org C flux (umol C/m2/day),Org C flux sus POC correction (umol C/m2/day),Protein flux (ug/m2/day),Carbon protein flux (umol C/m2/day),N production rate (nM N/day),Adjusted N prod (nM N/day),Ctl bottle N2 production (nM/day),d15N,d13C,Babbin N production rates  (nM N/day),N/C,zoop C (umol C/m2/day),depSMignore,latitude,longitude,t090C,t190C,potemp090C,sal00,sal11,density00,sigma-t00,flSP,sbox0Mm/Kg,oxsolMm/Kg,CStarAt0,CStarTr0,v2,v3,ph,par
10,P1,2017,90,90,cone,top,none,NULL,NULL,55.80971782,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,89.429,20.30536,-106.21943999999999,14.458,14.4585,14.4448,34.7842,34.7911,1026.323,25.9231,0.55004,0.838,250.83088999999998,0.149,96.343,3.6862,1.4313,-2.404,1e-12
11,P1,2017,355,355,net,particles,NO2,52.10180487,8.48014138257403,NULL,NULL,601.724877856229,601.724877856229,26.5,3.39891185055482,9.0,NULL,NULL,NULL,0.11792256224111,NULL,352.523,20.30536,-106.21943999999999,10.0962,10.0964,10.0546,34.6575,34.665,1028.2686,26.668,0.070174,0.17800000000000002,274.72045,0.068,98.3128,3.7033,1.0802,-2.551,1e-12
12,P1,2017,355,355,net,top,none,NULL,8.48014138257403,169.7946237,NULL,NULL,1286.93766937669,NULL,NULL,NULL,NULL,NULL,NULL,0.11792256224111,NULL,352.523,20.30536,-106.21943999999999,10.0962,10.0964,10.0546,34.6575,34.665,1028.2686,26.668,0.070174,0.17800000000000002,274.72045,0.068,98.3128,3.7033,1.0802,-2.551,1e-12
13,P1,2017,110,110,cone,particles,NO2,109.2859583,NULL,NULL,NULL,303.109565120396,303.109565120396,17.0,5.83029096227096,NULL,NULL,NULL,NULL,NULL,NULL,109.29700000000001,20.30536,-106.21943999999999,13.577,13.5767,13.5615,34.813,34.8211,1026.6209,26.1306,0.24794000000000002,0.5710000000000001,255.2403,0.1351,96.6786,3.6924,1.3464,-2.435,1e-12
14,P1,2017,110,110,cone,top,none,NULL,NULL,69.76744055,NULL,277.874396135266,277.874396135266,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,109.29700000000001,20.30536,-106.21943999999999,13.577,13.5767,13.5615,34.813,34.8211,1026.6209,26.1306,0.24794000000000002,0.5710000000000001,255.2403,0.1351,96.6786,3.6924,1.3464,-2.435,1e-12
15,P1,2017,132,132,net,particles,NO2,40.74176943,NULL,NULL,NULL,183.133658477983,183.133658477983,16.5,2.11630360602566,11.5,NULL,NULL,NULL,NULL,NULL,131.149,20.30536,-106.21943999999999,13.1534,13.1539,13.1352,34.8185,34.8267,1026.8105,26.2214,0.11179000000000001,0.48700000000000004,257.42767000000003,0.1318,96.758,3.6946,1.3123,-2.4459999999999997,1e-12
16,P1,2017,132,132,net,top,none,NULL,NULL,45.19916753,NULL,1682.96296296296,1682.96296296296,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,131.149,20.30536,-106.21943999999999,13.1534,13.1539,13.1352,34.8185,34.8267,1026.8105,26.2214,0.11179000000000001,0.48700000000000004,257.42767000000003,0.1318,96.758,3.6946,1.3123,-2.4459999999999997,1e-12
17,P1,2017,700,700,net,particles,none,32.16404374,NULL,NULL,NULL,46.3317073217063,46.3317073217063,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,694.539,20.30536,-106.21943999999999,6.4319,6.432,6.3674,34.5327,34.5403,1030.3255,27.1275,0.08694199999999999,0.10300000000000001,298.31844,0.0573,98.5783,3.7122,0.8104,-2.678,1e-12
18,P1,2017,700,700,net,top,none,NULL,7.9589104323405,39.43923292,NULL,NULL,1225.07678410117,NULL,NULL,NULL,NULL,NULL,NULL,0.125645339082667,NULL,694.539,20.30536,-106.21943999999999,6.4319,6.432,6.3674,34.5327,34.5403,1030.3255,27.1275,0.08694199999999999,0.10300000000000001,298.31844,0.0573,98.5783,3.7122,0.8104,-2.678,1e-12
19,P1,2017,73,73,cone,particles,Fe,68.1893743,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,72.54,20.30536,-106.21943999999999,15.6232,15.6218,15.6119,34.6929,34.7016,1025.9199,25.5968,0.15165,5.6160000000000005,245.30716,0.1222,96.9922,3.5597,1.518,-2.366,1e-12
20,P1,2017,73,73,cone,top,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,72.54,20.30536,-106.21943999999999,15.6232,15.6218,15.6119,34.6929,34.7016,1025.9199,25.5968,0.15165,5.6160000000000005,245.30716,0.1222,96.9922,3.5597,1.518,-2.366,1e-12
21,P1,2017,120,120,cone,particles,Fe,60.64650195,NULL,NULL,NULL,340.043478260869,340.043478260869,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,119.23,20.30536,-106.21943999999999,13.3826,13.3826,13.3659,34.8164,34.8245,1026.7083,26.1731,0.16235,0.5670000000000001,256.23804,0.1332,96.7258,3.6935,1.3297,-2.4419999999999997,1e-12
22,P1,2017,120,120,cone,top,none,NULL,5.0796973239683,140.8612533,NULL,3484.17391304348,3484.17391304348,NULL,NULL,NULL,NULL,NULL,NULL,0.196862123119334,NULL,119.23,20.30536,-106.21943999999999,13.3826,13.3826,13.3659,34.8164,34.8245,1026.7083,26.1731,0.16235,0.5670000000000001,256.23804,0.1332,96.7258,3.6935,1.3297,-2.4419999999999997,1e-12
23,P1,2017,74,74,cone,combined,none,38.13104837,NULL,52.62885675,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,73.533,20.30536,-106.21943999999999,15.5158,15.5126,15.5044,34.7078,34.7166,1025.96,25.6323,0.14326,4.575,245.79592000000002,0.1163,97.1339,3.5935,1.5121,-2.369,1e-12
24,P1,2017,94,94,net,particles,none,17.18357041,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,93.40299999999999,20.30536,-106.21943999999999,14.1721,14.1712,14.1585,34.7917,34.7998,1026.408,25.9898,0.54613,0.8320000000000001,252.2488,0.1455,96.4279,3.6897,1.4006,-2.4130000000000003,1e-12
25,P1,2017,68,68,cone,particles,none,92.05884388,NULL,44.18219015,NULL,255.065217455071,255.065217455071,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,67.572,20.30536,-106.21943999999999,16.0429,16.0418,16.0322,34.63,34.6385,1025.7538,25.4532,0.24231,16.923,243.42473999999999,0.1227,96.9778,3.3456,1.553,-2.354,1e-12
26,P1,2017,68,68,cone,top,none,NULL,NULL,447.2271782,NULL,1786.95652173913,1786.95652173913,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,67.572,20.30536,-106.21943999999999,16.0429,16.0418,16.0322,34.63,34.6385,1025.7538,25.4532,0.24231,16.923,243.42473999999999,0.1227,96.9778,3.3456,1.553,-2.354,1e-12
27,P1,2017,168,168,net,particles,none,48.55500417,5.9652201118816,185.4257014,NULL,661.073170561108,661.073170561108,NULL,NULL,NULL,NULL,NULL,NULL,0.167638407509588,NULL,166.903,20.30536,-106.21943999999999,12.6521,12.6523,12.6295,34.8108,34.8191,1027.0665,26.3156,0.073461,0.423,260.08859,0.1293,96.8201,3.696,1.2714,-2.4659999999999997,1e-12
