,Station,Year,Depth (m),Pressure [dbar],Trap type,Chamber,Incubation,Flux (mg/m2/day),C:N organic,Org C flux (umol C/m2/day),Protein flux (ug/m2/day),Carbon protein flux (umol C/m2/day),N production rate (nM N/day),Adjusted N prod (nM N/day),Ctl bottle N2 production (nM/day),Babbin N production rates  (nM N/day),d15N,d13C,N/C,zoop C (umol C/m2/day),timeS,longitude,latitude,depSMlignore,t090C,t190C,c0S/m,c1S/m,flSP,CStarAt0,CStarTr0,par,modError,v0,v1,v2,v3,v4,v5,v6,v7,sbeox0V,sal00,sal11,sigma-�00,sigma-�11,sbeox0Mg/L,sbox0Mm/Kg,sbeox0PS
12,P2,2018,147,147,net,netwash,na,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,394.254,-106.97898,16.984379999999998,147,13.1489,13.1495,4.096598,4.09671,0.14918,12.3516,4.5597,0.0501,0,4.5597,0.0497,0.5104,0.0,4.6001,0,0.0,0,0.5095,34.8014,34.8019,26.2132,26.2134,0.0424,1.291,0.501
13,P2,2018,147,147,net,netwash,na,NULL,6.97915798249271,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.89,-24.69,0.143283760377471,NULL,394.254,-106.97898,16.984379999999998,147,13.1489,13.1495,4.096598,4.09671,0.14918,12.3516,4.5597,0.0501,0,4.5597,0.0497,0.5104,0.0,4.6001,0,0.0,0,0.5095,34.8014,34.8019,26.2132,26.2134,0.0424,1.291,0.501
14,P2,2018,147,147,net,netwash,na,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,394.254,-106.97898,16.984379999999998,147,13.1489,13.1495,4.096598,4.09671,0.14918,12.3516,4.5597,0.0501,0,4.5597,0.0497,0.5104,0.0,4.6001,0,0.0,0,0.5095,34.8014,34.8019,26.2132,26.2134,0.0424,1.291,0.501
15,P2,2018,368,368,net,top,none,5.577733349,6.00653518496908,36.77803059,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-22.37,0.166485331260929,12.31352119,617.862,-106.97898,16.984379999999998,368,9.7433,9.7438,3.765967,3.7662379999999995,0.073781,12.3368,4.5766,0.0501,0,4.5766,0.0246,0.5077,0.0,4.6418,0,0.0,0,0.507,34.6369,34.6392,26.719,26.7207,0.0357,1.088,0.39299999999999996
16,P2,2018,368,368,net,particles,NO2,NULL,7.78433862433862,NULL,NULL,NULL,375.0,12.09,1.5,NULL,NULL,-24.8,0.128463065169517,NULL,617.862,-106.97898,16.984379999999998,368,9.7433,9.7438,3.765967,3.7662379999999995,0.073781,12.3368,4.5766,0.0501,0,4.5766,0.0246,0.5077,0.0,4.6418,0,0.0,0,0.507,34.6369,34.6392,26.719,26.7207,0.0357,1.088,0.39299999999999996
17,P2,2018,368,368,net,control,NO2,NULL,31.2538461538462,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-30.79,0.0319960620231356,NULL,617.862,-106.97898,16.984379999999998,368,9.7433,9.7438,3.765967,3.7662379999999995,0.073781,12.3368,4.5766,0.0501,0,4.5766,0.0246,0.5077,0.0,4.6418,0,0.0,0,0.507,34.6369,34.6392,26.719,26.7207,0.0357,1.088,0.39299999999999996
18,P2,2018,368,368,net,netwash,na,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,617.862,-106.97898,16.984379999999998,368,9.7433,9.7438,3.765967,3.7662379999999995,0.073781,12.3368,4.5766,0.0501,0,4.5766,0.0246,0.5077,0.0,4.6418,0,0.0,0,0.507,34.6369,34.6392,26.719,26.7207,0.0357,1.088,0.39299999999999996
19,P2,2018,368,368,net,netwash,na,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,617.862,-106.97898,16.984379999999998,368,9.7433,9.7438,3.765967,3.7662379999999995,0.073781,12.3368,4.5766,0.0501,0,4.5766,0.0246,0.5077,0.0,4.6418,0,0.0,0,0.507,34.6369,34.6392,26.719,26.7207,0.0357,1.088,0.39299999999999996
20,P2,2018,368,368,net,netwash,na,NULL,7.1683748169839,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-26.35,0.139501633986928,NULL,617.862,-106.97898,16.984379999999998,368,9.7433,9.7438,3.765967,3.7662379999999995,0.073781,12.3368,4.5766,0.0501,0,4.5766,0.0246,0.5077,0.0,4.6418,0,0.0,0,0.507,34.6369,34.6392,26.719,26.7207,0.0357,1.088,0.39299999999999996
21,P2,2018,586,586,net,top,none,8.164440297,8.00515093435553,49.69913676,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-24.4,0.124919568437907,NULL,837.6289999999999,-106.97898,16.984360000000002,586,6.9325,6.933,3.506849,3.5070989999999997,0.07332999999999999,12.3294,4.5852,0.0501,0,4.5852,0.0244,0.5063,0.0,4.6661,0,0.0,0,0.5056,34.5395,34.5417,27.073,27.0747,0.0327,0.9940000000000001,0.337
22,P2,2018,586,586,net,particles,none,NULL,7.24497117232543,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-23.52,0.138026774187844,NULL,837.6289999999999,-106.97898,16.984360000000002,586,6.9325,6.933,3.506849,3.5070989999999997,0.07332999999999999,12.3294,4.5852,0.0501,0,4.5852,0.0244,0.5063,0.0,4.6661,0,0.0,0,0.5056,34.5395,34.5417,27.073,27.0747,0.0327,0.9940000000000001,0.337
23,P2,2018,586,586,net,control,na,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-30.76,NULL,NULL,837.6289999999999,-106.97898,16.984360000000002,586,6.9325,6.933,3.506849,3.5070989999999997,0.07332999999999999,12.3294,4.5852,0.0501,0,4.5852,0.0244,0.5063,0.0,4.6661,0,0.0,0,0.5056,34.5395,34.5417,27.073,27.0747,0.0327,0.9940000000000001,0.337
24,P2,2018,586,586,net,netwash,na,NULL,10.5844394527262,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17.77,-23.27,0.0944783145547149,NULL,837.6289999999999,-106.97898,16.984360000000002,586,6.9325,6.933,3.506849,3.5070989999999997,0.07332999999999999,12.3294,4.5852,0.0501,0,4.5852,0.0244,0.5063,0.0,4.6661,0,0.0,0,0.5056,34.5395,34.5417,27.073,27.0747,0.0327,0.9940000000000001,0.337
25,P2,2018,87,87,cone,top,none,24.18012422,4.72782874617737,54.81517583,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-22.85,0.211513583441138,NULL,311.743,-106.979,16.984360000000002,87,15.5264,15.5227,4.30552,4.305096,0.29777,12.3499,4.5618,0.0501,0,4.5618,0.0993,0.5999,0.0,4.5938,0,0.0,0,0.599,34.6218,34.6213,25.5668,25.5672,0.2708,8.252,3.3560000000000003
26,P2,2018,87,87,cone,particles,NO2,NULL,4.95272525027809,NULL,NULL,NULL,38.5,7.32,4.0,NULL,NULL,-26.32,0.201909039865244,17.98000878,311.743,-106.979,16.984360000000002,87,15.5264,15.5227,4.30552,4.305096,0.29777,12.3499,4.5618,0.0501,0,4.5618,0.0993,0.5999,0.0,4.5938,0,0.0,0,0.599,34.6218,34.6213,25.5668,25.5672,0.2708,8.252,3.3560000000000003
27,P2,2018,87,87,cone,control,NO2,NULL,10.8071895424837,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-27.81,0.0925309948593888,NULL,311.743,-106.979,16.984360000000002,87,15.5264,15.5227,4.30552,4.305096,0.29777,12.3499,4.5618,0.0501,0,4.5618,0.0993,0.5999,0.0,4.5938,0,0.0,0,0.599,34.6218,34.6213,25.5668,25.5672,0.2708,8.252,3.3560000000000003
28,P2,2018,221,221,cone,top,none,NULL,11.6933911159263,55.89644311,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-26.37,0.085518391550079,NULL,469.69800000000004,-106.979,16.984360000000002,221,11.7278,11.7284,3.957956,3.9582010000000003,0.071767,12.3447,4.5677,0.0501,0,4.5677,0.0239,0.5086,0.0,4.6312,0,0.0,0,0.5077,34.7475,34.7493,26.45,26.4513,0.0367,1.117,0.42100000000000004
29,P2,2018,221,221,cone,particles,NO2,NULL,2.63057324840764,NULL,NULL,NULL,13.0,18.46,2.2,NULL,NULL,-28.21,0.380145278450364,NULL,469.69800000000004,-106.979,16.984360000000002,221,11.7278,11.7284,3.957956,3.9582010000000003,0.071767,12.3447,4.5677,0.0501,0,4.5677,0.0239,0.5086,0.0,4.6312,0,0.0,0,0.5077,34.7475,34.7493,26.45,26.4513,0.0367,1.117,0.42100000000000004
30,P2,2018,221,221,cone,control,NO2,NULL,5.58258642765685,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-28.15,0.179128440366972,NULL,469.69800000000004,-106.979,16.984360000000002,221,11.7278,11.7284,3.957956,3.9582010000000003,0.071767,12.3447,4.5677,0.0501,0,4.5677,0.0239,0.5086,0.0,4.6312,0,0.0,0,0.5077,34.7475,34.7493,26.45,26.4513,0.0367,1.117,0.42100000000000004
31,P2,2018,85,85,net,top,none,26.58868425,6.12341352528888,115.1818194,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-22.45,0.163307605450805,6.441466594,309.46,-106.979,16.984360000000002,85,15.7418,15.7432,4.3234449999999995,4.323407,0.31222,12.3536,4.5574,0.0501,0,4.5574,0.1041,0.6422,0.0,4.5915,0,0.0,0,0.6413,34.5945,34.5929,25.4973,25.4957,0.4031,12.283,5.016
32,P2,2018,85,85,net,particles,NO2,NULL,5.66409124356144,NULL,NULL,NULL,530.0,21.09,4.0,NULL,7.18,-22.0,0.176550828190971,9.807700915,309.46,-106.979,16.984360000000002,85,15.7418,15.7432,4.3234449999999995,4.323407,0.31222,12.3536,4.5574,0.0501,0,4.5574,0.1041,0.6422,0.0,4.5915,0,0.0,0,0.6413,34.5945,34.5929,25.4973,25.4957,0.4031,12.283,5.016
33,P2,2018,85,85,net,control,NO2,NULL,13.2683760683761,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-28.43,0.0753671734089151,NULL,309.46,-106.979,16.984360000000002,85,15.7418,15.7432,4.3234449999999995,4.323407,0.31222,12.3536,4.5574,0.0501,0,4.5574,0.1041,0.6422,0.0,4.5915,0,0.0,0,0.6413,34.5945,34.5929,25.4973,25.4957,0.4031,12.283,5.016
34,P2,2018,85,85,net,netwash,na,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,309.46,-106.979,16.984360000000002,85,15.7418,15.7432,4.3234449999999995,4.323407,0.31222,12.3536,4.5574,0.0501,0,4.5574,0.1041,0.6422,0.0,4.5915,0,0.0,0,0.6413,34.5945,34.5929,25.4973,25.4957,0.4031,12.283,5.016
35,P2,2018,85,85,net,netwash,na,NULL,8.43557336621455,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-24.85,0.118545587429198,NULL,309.46,-106.979,16.984360000000002,85,15.7418,15.7432,4.3234449999999995,4.323407,0.31222,12.3536,4.5574,0.0501,0,4.5574,0.1041,0.6422,0.0,4.5915,0,0.0,0,0.6413,34.5945,34.5929,25.4973,25.4957,0.4031,12.283,5.016
36,P2,2018,85,85,net,netwash,na,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,309.46,-106.979,16.984360000000002,85,15.7418,15.7432,4.3234449999999995,4.323407,0.31222,12.3536,4.5574,0.0501,0,4.5574,0.1041,0.6422,0.0,4.5915,0,0.0,0,0.6413,34.5945,34.5929,25.4973,25.4957,0.4031,12.283,5.016
