Peptides,GO term,Name
7,GO:0015941,pantothenate catabolic process
7,GO:0019856,pyrimidine nucleobase biosynthetic process
7,GO:0007155,cell adhesion
6,GO:0052865,1-deoxy-D-xylulose 5-phosphate biosynthetic process
6,GO:0002949,tRNA threonylcarbamoyladenosine modification
6,GO:0006071,glycerol metabolic process
6,GO:0006779,porphyrin-containing compound biosynthetic process
6,GO:0000725,recombinational repair
6,GO:0006269,"DNA replication, synthesis of RNA primer"
6,GO:0044238,primary metabolic process
6,GO:0008654,phospholipid biosynthetic process
6,GO:0070814,hydrogen sulfide biosynthetic process
6,GO:0006298,mismatch repair
6,GO:0006231,dTMP biosynthetic process
6,GO:0006430,lysyl-tRNA aminoacylation
6,GO:0006437,tyrosyl-tRNA aminoacylation
6,GO:0006401,RNA catabolic process
6,GO:0001522,pseudouridine synthesis
6,GO:1901135,carbohydrate derivative metabolic process
5,GO:0032784,"regulation of DNA-templated transcription, elongation"
5,GO:0006354,"DNA-templated transcription, elongation"
5,GO:0006420,arginyl-tRNA aminoacylation
5,GO:0006229,dUTP biosynthetic process
5,GO:0001123,transcription initiation from bacterial-type RNA polymerase promoter
5,GO:0101030,tRNA-guanine transglycosylation
5,GO:0016075,rRNA catabolic process
5,GO:0006397,mRNA processing
5,GO:0046855,inositol phosphate dephosphorylation
5,GO:0030259,lipid glycosylation
5,GO:0019379,"sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin)"
5,GO:0006436,tryptophanyl-tRNA aminoacylation
5,GO:0000103,sulfate assimilation
5,GO:0006662,glycerol ether metabolic process
5,GO:0006423,cysteinyl-tRNA aminoacylation
5,GO:0042274,ribosomal small subunit biogenesis
5,GO:0006747,FAD biosynthetic process
5,GO:0009398,FMN biosynthetic process
5,GO:0009052,"pentose-phosphate shunt, non-oxidative branch"
5,GO:0006424,glutamyl-tRNA aminoacylation
5,GO:0006164,purine nucleotide biosynthetic process
5,GO:0071266,'de novo' L-methionine biosynthetic process
5,GO:0019632,shikimate metabolic process
5,GO:0070329,tRNA seleno-modification
4,GO:0050992,dimethylallyl diphosphate biosynthetic process
4,GO:0019464,glycine decarboxylation via glycine cleavage system
4,GO:0019478,D-amino acid catabolic process
4,GO:0032955,regulation of division septum assembly
4,GO:0006788,heme oxidation
4,GO:0006422,aspartyl-tRNA aminoacylation
4,GO:0019509,L-methionine salvage from methylthioadenosine
4,GO:0006729,tetrahydrobiopterin biosynthetic process
4,GO:0006450,regulation of translational fidelity
4,GO:0042158,lipoprotein biosynthetic process
4,GO:0006168,adenine salvage
4,GO:0009094,L-phenylalanine biosynthetic process
4,GO:1901891,regulation of cell septum assembly
4,GO:0065003,protein-containing complex assembly
4,GO:0018307,enzyme active site formation
4,GO:0019627,urea metabolic process
3,GO:0033362,"lysine biosynthetic process via diaminopimelate, diaminopimelate-aminotransferase pathway"
3,GO:0009439,cyanate metabolic process
3,GO:0019932,second-messenger-mediated signaling
3,GO:0010206,photosystem II repair
3,GO:0006808,regulation of nitrogen utilization
3,GO:0006015,5-phosphoribose 1-diphosphate biosynthetic process
3,GO:0009156,ribonucleoside monophosphate biosynthetic process
3,GO:0009165,nucleotide biosynthetic process
3,GO:0045892,"negative regulation of transcription, DNA-templated"
3,GO:0051304,chromosome separation
3,GO:0042398,cellular modified amino acid biosynthetic process
3,GO:0006233,dTDP biosynthetic process
3,GO:0006799,polyphosphate biosynthetic process
3,GO:0097428,protein maturation by iron-sulfur cluster transfer
3,GO:0006478,peptidyl-tyrosine sulfation
3,GO:0009264,deoxyribonucleotide catabolic process
3,GO:0046386,deoxyribose phosphate catabolic process
3,GO:0009306,protein secretion
3,GO:0002938,tRNA guanine ribose methylation
3,GO:0019673,GDP-mannose metabolic process
3,GO:0006696,ergosterol biosynthetic process
3,GO:0017009,protein-phycocyanobilin linkage
2,GO:0002098,tRNA wobble uridine modification
2,GO:0035998,"7,8-dihydroneopterin 3'-triphosphate biosynthetic process"
2,GO:0009853,photorespiration
2,GO:0009396,folic acid-containing compound biosynthetic process
2,GO:0006107,oxaloacetate metabolic process
2,GO:0009249,protein lipoylation
2,GO:0006241,CTP biosynthetic process
2,GO:0006228,UTP biosynthetic process
2,GO:0006183,GTP biosynthetic process
2,GO:0033014,tetrapyrrole biosynthetic process
2,GO:0043953,protein transport by the Tat complex
2,GO:0006979,response to oxidative stress
2,GO:0042351,'de novo' GDP-L-fucose biosynthetic process
2,GO:0008615,pyridoxine biosynthetic process
2,GO:0046417,chorismate metabolic process
2,GO:0019243,methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione
2,GO:0042256,mature ribosome assembly
2,GO:0090071,negative regulation of ribosome biogenesis
2,GO:0017148,negative regulation of translation
2,GO:0070475,rRNA base methylation
2,GO:0030488,tRNA methylation
2,GO:0000453,enzyme-directed rRNA 2'-O-methylation
1,GO:0006865,amino acid transport
1,GO:0006268,DNA unwinding involved in DNA replication
1,GO:0006525,arginine metabolic process
1,GO:0030490,maturation of SSU-rRNA
1,GO:0006694,steroid biosynthetic process
1,GO:0022904,respiratory electron transport chain
1,GO:0009635,response to herbicide
1,GO:0043087,regulation of GTPase activity
1,GO:0006886,intracellular protein transport
1,GO:0006011,UDP-glucose metabolic process
1,GO:0019277,UDP-N-acetylgalactosamine biosynthetic process
1,GO:0006235,dTTP biosynthetic process
1,GO:0006284,base-excision repair
1,GO:0006508,proteolysis
1,GO:0008643,carbohydrate transport
1,GO:0002100,tRNA wobble adenosine to inosine editing
1,GO:0048034,heme O biosynthetic process
1,GO:0030435,sporulation resulting in formation of a cellular spore
1,GO:0009307,DNA restriction-modification system
1,GO:0017004,cytochrome complex assembly
1,GO:0006784,heme a biosynthetic process
1,GO:0000716,"transcription-coupled nucleotide-excision repair, DNA damage recognition"
