dbpeps,dnopeps
17,10
13,18
16,9
13,13
16,13
13,14
11,10
15,17
13,10
21,14
14,14
15,10
19,20
14,14
13,10
15,17
19,9
20,12
14,14
18,7
28,15
15,13
14,14
20,10
12,18
19,12
12,10
16,11
14,14
15,13
11,15
15,12
15,13
17,10
19,8
17,10
24,12
15,14
16,13
20,11
17,9
17,6
18,10
13,10
26,8
19,10
11,11
15,16
14,8
13,10
17,8
15,10
20,18
18,11
20,18
14,12
11,16
11,12
20,14
13,15
16,13
12,11
13,11
14,8
18,12
14,7
12,14
27,14
17,11
11,10
18,13
15,20
17,12
15,11
17,14
16,8
15,7
17,14
17,17
14,12
14,9
12,8
12,13
10,15
16,6
14,7
12,11
15,8
14,12
24,17
14,13
11,10
13,14
12,12
11,11
27,16
15,12
19,16
16,14
11,10
12,14
11,11
15,12
12,10
14,12
16,9
16,11
23,7
16,14
12,14
19,12
19,12
16,10
14,13
16,14
12,11
15,10
18,13
20,12
16,15
12,9
16,15
13,13
16,8
14,11
20,14
19,10
15,12
12,11
15,12
18,11
18,13
15,7
11,12
19,13
15,12
14,15
19,13
22,16
15,13
17,12
14,11
22,8
15,10
20,14
21,8
14,14
20,15
16,11
17,14
16,9
22,13
16,14
13,11
14,13
15,10
24,11
21,14
16,17
12,11
12,17
16,10
11,12
14,11
17,10
19,10
18,10
11,7
25,6
19,19
14,14
22,12
18,11
13,10
12,12
15,9
19,13
13,18
18,10
16,10
18,12
14,15
12,11
12,12
13,14
17,11
14,11
18,12
15,20
17,17
14,17
20,17
17,13
16,12
12,19
21,11
14,11
23,17
22,14
16,15
33,17
15,10
13,9
17,13
15,13
12,18
20,11
13,14
9,14
25,10
16,11
11,7
14,15
11,9
25,12
29,9
19,14
11,11
9,10
15,13
21,14
21,12
18,12
16,15
16,9
18,10
17,7
11,11
11,16
22,12
21,10
17,18
19,12
16,14
20,14
13,13
15,10
22,16
15,10
15,16
14,10
19,12
19,10
14,15
14,11
13,12
14,12
13,16
16,10
14,16
16,18
16,14
13,14
13,11
16,6
17,11
12,14
17,10
17,14
17,11
16,11
18,22
15,10
14,11
11,10
16,21
24,19
14,12
18,10
16,11
14,15
13,17
13,9
15,12
10,14
18,12
12,10
13,11
15,15
17,14
12,8
10,9
20,15
16,13
14,22
15,14
16,15
19,10
12,8
13,15
20,21
13,12
16,17
33,13
15,15
17,14
14,11
19,15
18,11
17,15
19,10
14,16
18,11
11,16
17,13
15,10
14,12
20,14
18,12
15,10
14,15
14,15
24,15
19,16
22,14
21,16
13,17
28,10
14,8
12,16
19,11
13,12
13,12
17,7
14,11
14,14
13,14
16,15
16,10
17,17
21,15
16,14
15,15
12,12
13,11
12,11
16,13
16,8
13,7
16,8
17,10
16,17
14,13
13,12
14,10
11,13
17,15
12,11
14,18
21,18
10,19
18,14
14,10
39,7
21,15
14,11
19,12
12,14
15,11
18,10
15,12
13,13
14,15
12,15
21,11
15,9
16,12
13,17
21,9
11,9
12,12
17,10
17,22
14,12
11,13
18,6
13,14
15,9
18,14
13,14
15,10
11,10
22,7
14,12
13,14
12,14
15,11
18,13
21,11
10,14
15,11
16,16
15,12
19,8
10,15
13,15
11,15
15,11
11,10
28,8
17,11
21,15
18,20
17,8
10,16
13,15
11,20
13,11
17,11
16,12
15,10
14,8
11,13
12,10
23,16
14,13
15,15
14,15
14,16
13,10
17,18
20,10
22,6
19,12
15,14
17,12
13,11
13,11
17,10
12,11
14,12
9,14
10,12
12,13
13,12
15,15
14,9
12,19
15,13
16,15
17,10
12,11
18,16
15,11
12,10
14,8
13,8
23,13
19,11
29,14
10,13
24,9
16,9
15,11
17,15
30,8
17,10
12,14
15,12
20,12
14,13
15,12
14,13
14,12
19,16
12,11
18,14
15,11
21,12
13,10
14,20
13,14
14,10
23,12
17,11
15,14
12,15
17,10
26,12
11,12
10,14
14,10
21,13
24,12
22,13
17,12
51,17
26,10
11,13
18,12
26,10
19,14
22,15
19,14
11,12
11,15
19,8
23,16
14,11
14,10
17,13
14,13
11,16
16,11
11,10
21,15
16,17
13,13
18,12
14,14
13,11
15,14
21,11
19,9
18,11
17,16
20,12
16,10
16,11
15,9
26,14
14,11
15,13
14,12
12,15
22,12
16,10
19,11
12,11
16,12
13,19
12,14
10,12
26,17
27,12
13,11
16,14
14,20
14,15
13,11
11,12
38,12
30,13
16,11
12,11
18,10
15,13
17,15
17,10
13,13
16,15
12,9
13,10
16,9
28,9
26,10
13,11
13,8
13,10
11,16
15,10
12,8
15,11
10,14
18,9
12,9
14,10
17,9
18,12
15,10
17,15
15,9
17,11
23,11
13,13
12,13
8,16
14,12
15,13
12,12
12,12
13,19
12,12
15,13
14,18
11,10
16,13
15,17
22,9
12,12
13,10
13,12
22,12
17,21
12,15
23,8
12,11
14,11
16,11
11,10
9,14
18,13
13,9
14,10
15,7
16,13
13,15
23,14
13,20
15,19
15,10
15,12
14,11
15,13
15,14
21,12
19,18
15,13
20,12
20,15
21,14
14,15
21,9
12,14
24,14
15,9
13,9
16,13
20,16
13,12
16,9
13,11
20,14
11,17
13,14
16,17
22,8
18,15
14,16
22,10
13,12
14,11
26,12
16,12
25,9
21,13
15,11
21,11
12,14
11,11
15,7
9,12
18,8
14,13
15,12
14,9
14,11
11,9
12,10
11,15
13,16
13,15
15,13
13,10
12,8
14,15
19,12
16,17
19,9
18,9
13,10
15,21
12,12
13,14
14,14
14,9
16,15
15,9
15,14
34,10
17,10
12,11
13,14
16,10
13,7
14,12
26,16
12,10
19,13
17,12
14,8
13,8
13,12
24,14
16,11
18,11
16,13
10,22
11,13
13,10
20,9
17,13
18,10
21,12
14,10
16,14
9,15
13,11
11,11
15,13
15,12
15,14
11,12
12,12
20,9
17,24
16,14
19,11
13,12
16,11
19,8
12,12
12,13
16,16
11,9
14,14
15,12
11,16
17,12
12,7
10,11
14,14
11,17
18,8
12,17
16,12
13,14
10,9
16,14
15,16
19,12
23,22
15,18
17,15
17,8
14,18
16,12
23,7
12,12
13,12
20,10
17,11
21,10
17,13
12,7
13,12
15,13
13,17
16,13
23,11
17,12
27,8
15,14
13,11
14,20
13,10
13,8
14,13
12,14
11,11
12,15
14,11
16,11
14,11
15,14
24,17
15,10
22,13
18,11
12,16
19,12
15,16
14,12
17,16
24,13
15,9
13,12
12,8
15,7
16,17
16,10
12,13
14,15
11,10
14,13
11,16
16,13
15,10
15,12
20,13
18,16
19,21
15,13
18,10
14,12
24,12
33,12
14,12
14,11
21,11
14,13
11,17
11,10
15,13
13,16
15,18
14,8
12,15
17,10
15,17
20,16
31,13
20,15
24,11
13,12
13,11
16,10
15,13
13,12
18,14
21,11
14,10
17,12
21,11
13,10
13,12
13,9
13,8
8,12
11,12
15,15
13,13
12,10
15,9
30,13
15,11
13,9
14,11
16,11
22,12
16,9
17,11
15,13
13,13
11,7
11,15
19,12
12,15
21,12
16,11
19,15
13,19
14,12
35,8
16,9
16,11
14,8
13,18
14,11
17,12
16,13
24,17
13,12
11,13
13,12
12,13
14,12
11,12
13,10
15,8
35,13
12,13
11,13
14,14
15,12
19,15
25,9
12,12
16,17
21,14
12,10
18,16
29,10
15,7
14,11
11,10
12,14
16,8
15,9
15,16
24,16
20,9
14,13
18,14
18,13
18,12
18,20
14,10
16,11
16,10
13,12
11,14
15,13
13,9
15,14
12,11
14,14
19,12
12,13
12,12
20,8
12,13
16,14
15,10
14,16
15,9
16,14
14,12
17,15
14,9
14,15
11,11
17,12
12,13
13,10
14,10
16,9
12,11
14,15
20,22
14,14
29,15
13,13
18,8
29,9
13,16
42,9
17,9
11,11
16,10
12,16
14,13
14,11
14,11
15,12
13,14
12,10
22,11
15,18
14,13
19,15
14,13
13,16
16,13
18,14
27,15
23,11
12,13
16,13
12,14
15,11
19,14
23,13
12,11
12,11
13,15
15,13
17,12
18,12
14,11
13,19
14,12
18,13
15,8
13,13
14,18
15,13
15,10
14,18
20,14
17,13
26,11
15,14
12,13
15,17
12,12
14,15
12,11
25,10
11,15
24,15
18,15
15,10
14,21
22,15
13,11
13,14
14,15
17,12
13,15
12,18
14,8
13,13
12,16
15,16
24,16
17,10
21,16
14,15
13,9
10,20
16,11
11,14
20,12
17,14
14,10
17,12
16,9
13,14
12,15
17,14
12,8
12,18
15,7
14,12
15,12
10,14
13,10
12,14
19,8
8,11
14,10
11,7
13,14
15,16
12,12
15,13
13,11
13,19
15,8
17,15
13,12
12,6
14,7
11,13
18,14
16,8
12,17
16,13
15,16
23,10
15,13
17,18
22,10
13,10
16,12
25,14
27,10
13,8
11,15
9,15
14,10
16,15
19,10
15,7
14,11
16,8
13,14
10,17
23,10
12,9
14,15
18,10
13,9
18,9
12,14
17,7
13,12
17,10
26,12
10,12
20,14
13,15
24,7
16,9
15,16
16,9
12,11
13,8
12,15
10,15
13,10
19,10
13,15
14,11
14,15
13,13
19,13
16,7
10,11
13,11
13,16
11,9
11,14
10,10
26,9
13,15
32,12
17,21
10,18
13,13
13,14
12,12
13,7
13,10
18,15
13,13
19,14
14,12
10,13
14,10
12,17
15,15
12,11
10,14
16,16
14,14
12,12
16,8
13,10
12,14
18,13
11,12
20,12
16,13
18,15
27,16
14,12
14,11
13,11
13,11
19,12
19,13
11,10
21,9
13,12
9,15
18,8
18,8
16,14
19,12
19,17
19,11
16,12
15,17
17,11
10,16
20,13
13,15
11,10
19,10
10,11
16,12
22,10
18,15
13,12
14,14
16,23
20,10
10,10
13,12
12,11
14,12
19,12
15,13
20,12
11,11
17,12
12,8
13,18
14,12
17,14
12,20
15,11
11,11
14,12
17,12
22,11
11,16
13,10
14,15
18,13
22,12
18,14
18,7
13,7
27,13
15,9
12,11
12,8
17,10
12,13
16,14
11,12
13,11
15,12
17,14
11,16
13,12
13,17
14,9
12,18
23,9
23,10
14,12
13,13
15,11
15,11
17,12
12,15
23,16
15,13
15,14
16,12
15,10
19,14
13,12
16,14
26,13
24,7
11,12
11,7
16,23
14,13
12,14
14,8
15,12
11,10
13,18
14,7
14,12
19,10
15,16
14,13
12,10
13,13
13,20
13,13
14,13
13,13
30,11
11,7
12,9
11,11
15,21
14,11
15,12
27,21
12,15
12,14
11,15
15,13
21,12
13,13
18,7
11,14
11,11
12,7
14,11
18,13
15,10
15,7
23,10
11,11
11,18
22,11
11,14
20,10
15,15
22,10
13,22
22,12
14,14
15,12
14,13
21,12
19,10
12,12
11,13
9,11
13,13
16,11
10,15
14,13
14,15
16,16
21,9
15,7
11,13
15,9
13,13
10,10
16,8
16,11
12,16
19,10
18,13
20,20
19,14
13,12
21,14
25,10
12,13
14,17
12,7
17,12
12,13
17,9
12,11
12,10
14,14
15,16
19,12
14,13
21,15
13,12
17,11
12,10
14,11
13,16
22,11
14,10
12,13
14,9
11,11
22,10
14,12
11,13
15,14
14,11
12,14
20,16
14,11
14,13
10,10
16,14
14,11
12,11
14,9
14,11
12,11
19,22
22,15
13,14
12,18
15,16
9,19
15,16
14,8
15,11
19,11
28,14
11,10
14,12
13,9
17,9
14,11
13,16
11,8
10,11
14,12
12,17
15,12
11,10
13,14
14,16
15,15
17,11
11,12
13,17
10,10
12,13
12,15
13,8
23,13
16,12
21,11
15,14
14,12
14,10
17,17
29,13
23,15
16,10
15,12
12,13
13,14
17,11
11,11
12,10
15,11
25,9
11,12
14,12
16,13
15,17
14,12
13,20
17,13
17,13
35,12
11,10
15,9
21,19
14,14
15,11
21,16
13,14
12,15
10,14
24,9
14,18
10,11
15,16
12,11
12,11
14,15
21,12
18,8
16,13
15,14
15,7
12,14
12,16
15,14
12,24
17,16
20,11
12,13
21,13
11,16
16,15
11,12
11,15
17,13
18,14
13,15
10,8
17,10
12,9
17,19
11,13
10,10
23,13
11,12
9,13
11,14
28,13
22,11
28,10
15,10
13,12
18,9
14,16
12,15
17,11
16,11
17,16
12,20
19,14
12,13
16,13
12,14
20,9
20,15
12,14
17,12
15,11
11,12
10,10
17,10
17,13
12,9
11,15
11,12
22,13
11,13
13,13
13,14
13,12
9,18
17,15
14,9
10,11
14,13
13,11
14,12
19,13
10,8
20,12
10,15
12,14
11,14
12,11
19,16
16,10
21,9
14,11
14,15
14,10
12,11
14,11
11,10
10,17
26,12
19,16
10,11
24,14
12,16
11,14
14,14
16,15
15,13
12,13
19,12
12,11
18,11
14,13
20,11
22,11
11,12
13,18
14,12
14,9
13,16
14,17
26,8
12,22
11,18
19,11
15,14
13,15
19,14
24,9
19,9
11,11
12,13
12,14
17,16
15,10
14,11
15,20
11,11
11,12
20,18
11,17
20,14
13,17
13,12
12,9
16,17
17,14
11,7
11,12
15,16
13,17
15,16
12,11
17,11
11,14
12,12
11,16
15,11
11,19
17,14
13,13
14,13
18,14
17,18
15,7
22,16
22,10
16,13
21,10
9,13
16,12
11,15
14,9
15,15
10,9
10,13
15,16
20,10
13,13
10,18
16,15
14,11
15,11
14,7
16,15
11,16
14,14
12,7
14,15
12,14
13,12
14,10
16,15
19,13
17,15
12,14
18,7
13,8
11,12
9,14
14,11
11,17
8,6
21,16
11,11
19,7
14,13
12,15
13,13
11,13
13,8
15,11
9,12
12,13
13,10
13,13
11,9
13,11
10,15
14,12
24,12
10,9
19,13
12,24
13,14
12,7
11,16
