Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 5: 334 2-9_94m_nw6_wet_BSA,Area Sample 5: 334 2-9_94m_nw6_wet_BSA,#Peptides,#Unique,#Spec Sample 5: 334 2-9_94m_nw6_wet_BSA,PTM,Avg. Mass,Description
413,8325,ETNP_120,43.94,8,8,8.96E5,1,1,1,,12288,hypothetical protein
413,8309,ETNP_180,43.94,5,5,8.96E5,1,1,1,,19719,Metallo-beta-lactamase L1 precursor
413,8310,ETNP_160,43.94,3,3,8.96E5,1,1,1,,32590,Metallo-beta-lactamase L1 precursor
413,8311,ETNP_300,43.94,3,3,8.96E5,1,1,1,,32590,Metallo-beta-lactamase L1 precursor
413,8312,ETNP_120,43.94,3,3,8.96E5,1,1,1,,32590,Metallo-beta-lactamase L1 precursor
77,8385,ETNP14_68,42.07,7,7,1.18E4,2,1,2,,13424,5-hydroxyisourate hydrolase
78,17987,ETNP_160,40.12,3,3,4.59E6,2,2,2,,42804,hypothetical protein
415,57218,ETNP_300,39.42,7,7,9.23E4,1,1,1,,11595,hypothetical protein
415,57219,ETNP_120,39.42,5,5,9.23E4,1,1,1,,15354,hypothetical protein
415,57220,ETNP_150,39.42,5,5,9.23E4,1,1,1,,15354,hypothetical protein
415,57221,ETNP_140,39.42,5,5,9.23E4,1,1,1,,15354,hypothetical protein
415,57222,ETNP_120,39.42,5,5,9.23E4,1,1,1,,15354,hypothetical protein
415,57223,ETNP_160,39.42,5,5,9.23E4,1,1,1,,15354,hypothetical protein
415,57224,ETNP_180,39.42,5,5,9.23E4,1,1,1,,15354,hypothetical protein
11,57252,virus_CCADEAMM_06130,39.39,2,2,1.32E6,4,4,4,,263268,hypothetical protein
23,2629,ACY16316.1,39.25,1,1,1.83E5,3,3,3,Oxidation (M),442497,TPR repeat-containing protein [Haliangium ochraceum DSM 14365]
416,57225,ETNP_120,38.52,3,3,9.68E5,1,1,1,,32231,putative ABC transporter ATP-binding protein
74,57226,ETNP14_120,37.79,11,11,4.89E7,1,1,2,,9445,NIL domain protein
417,17733,ETNP14_68,37.39,12,12,1.49E5,1,1,1,,8665,Ubiquitin family protein
417,17737,ETNP_60,37.39,11,11,1.49E5,1,1,1,,9047,Ubiquitin family protein
417,17750,EJK62831,37.39,4,4,1.49E5,1,1,1,,26844,hypothetical protein THAOC_16543  Thalassiosira oceanica
417,17751,XP_002180198,37.39,2,2,1.49E5,1,1,1,,42876,ubiquitin extension protein 4 partial  Phaeodactylum tricornutum CCAP 1055
417,17752,XP_002180197,37.39,2,2,1.49E5,1,1,1,,42876,predicted protein  Phaeodactylum tricornutum CCAP 1055
418,57229,WP_011589884.1,36.98,2,2,4E4,1,1,1,,40712,MULTISPECIES: phosphoglycerate kinase [Alcanivorax]
419,8499,ETNP_120,35.79,4,4,6.64E5,1,1,1,,23978,LOG family protein ORF6 in fasciation locus
76,57230,WP_013261801,35.64,4,4,3.05E5,1,1,2,,26474,hypothetical protein gamma proteobacterium HdN1
192,57203,ACL64755.1,35.36,2,2,3.99E4,1,1,1,,43523,protein-export membrane protein SecF [Anaeromyxobacter dehalogenans 2CP-1]
81,57298,ETNP_160,34.04,2,2,1.15E7,2,2,2,,39789,hypothetical protein
21,57231,virus_CCADEAMM_29860,33.26,1,1,1.99E6,2,2,3,,487388,hypothetical protein
79,57281,ETNP14_68,33.22,9,9,1.96E6,2,1,2,,17047,hypothetical protein
80,13043,AMC09785.1,32.86,3,3,0E0,2,1,2,,94864,Clp protease ClpC [Lutibacter profundi]
193,57210,ETNP_120,32.01,3,3,2.62E5,1,1,1,,32420,Succinate dehydrogenase flavoprotein subunit
193,57211,ETNP_100,32.01,1,1,2.62E5,1,1,1,,65479,Succinate dehydrogenase flavoprotein subunit
193,57238,ETNP_180,32.01,4,4,2.62E5,1,1,1,,23548,Fumarate reductase flavoprotein subunit
193,57239,ETNP_300,32.01,4,4,2.62E5,1,1,1,,24131,Fumarate reductase flavoprotein subunit
83,57321,WP_052084204.1,31.95,1,1,0E0,2,1,2,,105817,hypothetical protein [Dokdonia sp. MED134]
277,57243,WP_038135404.1,31.58,1,1,1.06E5,1,1,1,,97379,hypothetical protein [Verrucomicrobia bacterium SCGC AAA168-F10]
277,57244,WP_084732435.1,31.58,1,1,1.06E5,1,1,1,,104697,hypothetical protein [Verrucomicrobia bacterium SCGC AAA168-F10]
12,57342,ETNP_90,31.44,4,4,9.87E7,2,2,4,Carbamidomethylation,50636,Asparagine synthetase B [glutamine-hydrolyzing]
420,24015,XP_003063038,31.13,8,8,1.47E5,1,1,1,,11395,predicted protein  Micromonas pusilla CCMP1545
420,24016,ETNP_90,31.13,8,8,1.47E5,1,1,1,,11367,Core histone H2A/H2B/H3/H4
420,24017,ETNP_70,31.13,8,8,1.47E5,1,1,1,,11395,Core histone H2A/H2B/H3/H4
420,24018,ETNP_70,31.13,8,8,1.47E5,1,1,1,,11367,Core histone H2A/H2B/H3/H4
420,24019,XP_002179286,31.13,8,8,1.47E5,1,1,1,,11383,histone H4 isoform 1b  Phaeodactylum tricornutum CCAP 1055
420,24020,EJK69577,31.13,8,8,1.47E5,1,1,1,,11383,hypothetical protein THAOC_09145  Thalassiosira oceanica
420,24021,XP_003061514,31.13,8,8,1.47E5,1,1,1,,11395,histone H4  Micromonas pusilla CCMP1545
420,24022,ETNP_120,31.13,8,8,1.47E5,1,1,1,,11365,Core histone H2A/H2B/H3/H4
420,24023,ETNP14_68,31.13,8,8,1.47E5,1,1,1,,11367,Core histone H2A/H2B/H3/H4
420,24024,XP_002179505,31.13,8,8,1.47E5,1,1,1,,11383,histone H4 isoform 1a  Phaeodactylum tricornutum CCAP 1055
420,24025,XP_003061756,31.13,8,8,1.47E5,1,1,1,,11395,predicted protein  Micromonas pusilla CCMP1545
420,24026,XP_003059520,31.13,8,8,1.47E5,1,1,1,,11395,predicted protein  Micromonas pusilla CCMP1545
420,24027,ETNP_100,31.13,8,8,1.47E5,1,1,1,,11381,Core histone H2A/H2B/H3/H4
420,24028,EJK72475,31.13,7,7,1.47E5,1,1,1,,13036,hypothetical protein THAOC_05990  Thalassiosira oceanica
420,24029,XP_003074685,31.13,3,3,1.47E5,1,1,1,,31136,Histone H4 ISS  Ostreococcus tauri
420,24030,EJK63755,31.13,2,2,1.47E5,1,1,1,,39773,hypothetical protein THAOC_15573 partial  Thalassiosira oceanica
282,8434,ETNP14_120,30.81,5,5,1.42E5,1,1,1,,19919,hypothetical protein
421,57257,ETNP14_68,30.02,2,2,1.65E5,1,1,1,,42404,Cystathionine gamma-lyase
84,57371,ETNP_120,29.95,9,9,2.31E6,2,2,2,,25006,tRNA(Ile)-lysidine synthase
84,57372,ETNP_300,29.95,6,6,2.31E6,2,2,2,,37911,tRNA(Ile)-lysidine synthase
84,57373,ETNP_160,29.95,5,5,2.31E6,2,2,2,,51787,tRNA(Ile)-lysidine synthase
84,57374,ETNP_180,29.95,5,5,2.31E6,2,2,2,,51787,tRNA(Ile)-lysidine synthase
26,57348,ETNP_300,29.76,1,1,0E0,2,1,3,,133330,hypothetical protein
278,57245,ETNP_300,29.72,4,4,2.34E5,1,1,1,,27849,Tyrosine recombinase XerC
10,57242,ETNP14_120,29.41,3,3,2.25E6,1,1,5,,42646,Lysine 6-dehydrogenase
18,8408,WP_019109415.1,29.12,2,2,4.11E8,1,1,4,,35624,ABC transporter ATP-binding protein [Verrucomicrobia bacterium SCGC AAA168-F10]
279,57246,ETNP_180,29.10,5,5,6.15E5,1,1,1,,17234,phosphodiesterase YaeI
279,57247,ETNP_160,29.10,5,5,6.15E5,1,1,1,,19125,phosphodiesterase YaeI
279,57248,ETNP_120,29.10,4,4,6.15E5,1,1,1,,21367,phosphodiesterase YaeI
279,57249,ETNP_120,29.10,3,3,6.15E5,1,1,1,,27069,putative metallophosphoesterase
279,57250,ETNP_300,29.10,3,3,6.15E5,1,1,1,,27069,putative metallophosphoesterase
422,57259,ETNP14_120,28.92,6,6,4.8E4,1,1,1,,15132,DNA-binding protein StpA
423,57260,ETNP_120,28.66,3,3,5.57E5,1,1,1,,33950,Thiamine-monophosphate kinase
25,140,CAN91477.1,28.42,2,2,7.86E7,1,1,3,,56854,hypothetical protein sce1319 [Sorangium cellulosum So ce56]
34,57291,XP_003057049,28.26,0,0,2.06E5,2,2,2,,473330,predicted protein  Micromonas pusilla CCMP1545
424,26641,CAN97491.1,28.12,2,2,1.92E5,1,1,1,,55890,hypothetical protein sce7322 [Sorangium cellulosum So ce56]
281,57255,ETNP_120,28.10,6,6,1.31E5,1,1,1,,14680,Sugar phosphatase YidA
135,8423,ETNP14_120,27.75,5,5,1.43E5,1,1,1,,18938,ATP phosphoribosyltransferase regulatory subunit
135,8427,WP_011281739,27.75,2,2,1.43E5,1,1,1,,40441,ATP phosphoribosyltransferase Candidatus Pelagibacter ubique
135,8463,ETNP_140,27.75,4,4,1.43E5,1,1,1,,25677,ATP phosphoribosyltransferase regulatory subunit
92,57237,virus_CCADEAMM_05655,27.69,0,0,3.99E4,1,1,1,,665746,hypothetical protein
427,57267,ETNP_120,27.42,13,13,0E0,1,1,1,,8202,hypothetical protein
427,57268,ETNP_160,27.42,13,13,0E0,1,1,1,,8202,hypothetical protein
429,57270,ETNP_100,27.41,2,2,1.9E5,1,1,1,,37174,hypothetical protein
429,57271,WP_013263220,27.41,2,2,1.9E5,1,1,1,,35859,Response regulator receiver gamma proteobacterium HdN1
428,57269,NP_300,27.36,7,7,1.04E5,1,1,1,,14377,hypothetical protein
28,57272,ETNP_120,27.34,2,2,1.2E6,1,1,3,Oxidation (M),44956,Cytochrome b6
430,57273,ABS64928.1,27.25,2,2,1.24E5,1,1,1,,47800,ribonuclease D [Parvibaculum lavamentivorans DS-1]
283,142,ACL66369.1,27.02,2,2,7.95E5,1,1,1,,36883,domain of unknown function DUF1730 [Anaeromyxobacter dehalogenans 2CP-1]
283,438,ABQ31933.1,27.02,3,3,7.95E5,1,1,1,,31833,hypothetical protein Acry_2742 [Acidiphilium cryptum JF-5]
431,13971,NP_125,26.95,2,2,0E0,1,1,1,,65552,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
431,13972,ETNP_120,26.95,2,2,0E0,1,1,1,,65547,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
432,57276,WP_008578599,26.84,2,2,3.57E5,1,1,1,,47551,UDP-glucose 6-dehydrogenase candidate division TM7 genomosp GTL1
433,57278,BAJ26645.1,26.70,4,4,1.09E5,1,1,1,Oxidation (M),21539,putative two-component system response regulator [Kitasatospora setae KM-6054]
284,57265,WP_005011320,26.33,3,3,9.3E4,1,1,1,,31736,exported hypothetical protein Nitrospina gracilis
435,57284,BAE51647.1,26.32,3,3,2.44E5,1,1,1,,24570,ATPase involved in DNA replication initiation [Magnetospirillum magneticum AMB-1]
286,57289,ETNP14_68,26.08,2,2,1.91E6,1,1,1,,55713,Chromosome partition protein Smc
436,57301,ETNP14_68,25.87,5,5,2.5E5,1,1,1,,22689,Thiamine import ATP-binding protein ThiQ
61,57460,ETNP_110,25.54,2,2,1.18E5,2,2,2,,76054,UvrABC system protein B
55,57305,ETNP_120,25.48,4,4,9.27E5,1,1,2,,24066,Prolipoprotein diacylglyceryl transferase
199,57297,ETNP_120,25.25,6,6,1.22E5,1,1,1,,18048,hypothetical protein
437,8575,ETNP_120,25.18,2,2,7.4E6,1,1,1,,49261,Glutamate-1-semialdehyde 2 1-aminomutase
438,57311,WP_013306337.1,25.08,4,4,1.84E5,1,1,1,,25685,glycosyl transferase [Maribacter sp. HTCC2170]
82,57312,ETNP_70,24.94,2,2,1.02E6,1,1,2,,40277,hypothetical protein
287,57292,ETNP_300,24.78,2,2,8.12E4,1,1,1,,55878,GMP synthase [glutamine-hydrolyzing]
51,8395,ACY18399.1,24.74,2,2,1.09E5,2,1,2,Oxidation (M),97444,ATP-dependent chaperone ClpB [Haliangium ochraceum DSM 14365]
64,8398,NP_868707,24.69,2,2,0E0,2,1,2,,99459,ClpB protein Rhodopirellula baltica SH 1
449,57345,BAE52601.1,24.66,1,1,0E0,1,1,1,,43444,Molybdopterin biosynthesis enzyme [Magnetospirillum magneticum AMB-1]
439,57313,ETNP_90,24.64,12,12,1.19E5,1,1,1,,7941,hypothetical protein
439,57315,ETNP_120,24.64,6,6,1.19E5,1,1,1,,14585,hypothetical protein
439,57316,ETNP_120,24.64,5,5,1.19E5,1,1,1,,17546,hypothetical protein
440,8658,virus_CCADEAMM_64968,24.62,7,7,1.43E5,1,1,1,,19887,hypothetical protein
442,57326,WP_025049600,24.18,2,2,1.38E5,1,1,1,Oxidation (M),44630,creatininase Sulfitobacter mediterraneus
293,57310,ETNP_160,24.13,3,3,7.86E5,1,1,1,,22594,Choloylglycine hydrolase
293,57378,ETNP_120,24.13,0,0,7.86E5,1,1,1,,139658,hypothetical protein
443,57327,ETNP_70,24.09,4,4,2.13E4,1,1,1,,24653,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2 6-diaminopimelate ligase
443,57328,ETNP14_68,24.09,2,2,2.13E4,1,1,1,,50520,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--LD-lysine ligase
444,9723,ABF62840.1,24.01,3,3,1.02E5,1,1,1,,37446,saccharopine dehydrogenase (NAD+  L-lysine-forming) [Ruegeria sp. TM1040]
459,57377,WP_002653476,23.99,1,1,9.89E4,1,1,1,,77399,hypothetical protein  Blastopirellula marina
290,8300,ETNP14_68,23.96,1,1,1.55E6,1,1,1,,150365,PKD domain protein
88,57689,ETNP_100,23.83,5,5,1.7E6,2,2,2,,45823,DEAD/H associated
88,57691,ETNP_120,23.83,2,2,1.7E6,2,2,2,,104927,ATP-dependent RNA helicase DeaD
291,57307,ETNP_300,23.81,2,2,1.36E5,1,1,1,,52949,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
291,57308,ETNP_180,23.81,2,2,1.36E5,1,1,1,,52949,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
291,57334,ETNP_90,23.81,5,5,1.36E5,1,1,1,,16965,hypothetical protein
291,57335,ETNP14_68,23.81,4,4,1.36E5,1,1,1,,21568,hypothetical protein
289,57302,ABE40377.1,23.71,2,2,1.81E4,1,1,1,,46562,extracellular solute-binding protein  family 1 [Rhodopseudomonas palustris BisB5]
157,57262,WP_041401649.1,23.70,1,1,5.76E5,1,1,1,Oxidation (M),83356,hypothetical protein [Planctopirus limnophila]
43,57283,ETNP_100,23.56,2,2,5.17E7,1,1,2,,33570,BadF/BadG/BcrA/BcrD ATPase family protein
44,57402,Flavovirus_FBAKDGPJ_03592,23.44,1,1,2.21E5,2,2,2,Oxidation (M),246770,hypothetical protein
66,8593,ETNP_70,23.30,2,2,8.62E4,2,2,2,,105174,hypothetical protein
58,57320,ETNP_120,23.18,1,1,5.24E5,1,1,2,,59691,NAD-dependent dihydropyrimidine dehydrogenase subunit PreT
456,57362,ETNP14_120,23.06,4,4,0E0,1,1,1,,19317,UDP-N-acetylmuramate--L-alanine ligase
456,57376,ETNP_120,23.06,1,1,0E0,1,1,1,,47953,UDP-N-acetylmuramate--L-alanine ligase
91,58157,ETNP14_68,23.05,2,2,4.55E5,2,2,2,,53287,Replicative DNA helicase
57,57314,WP_015349647,23.03,1,1,8.03E5,1,1,2,,67879,methyl-accepting chemotaxis protein Myxococcus stipitatus
159,24157,CAN95405.1,22.98,1,1,6.98E4,1,1,1,,208167,hypothetical protein sce5242 [Sorangium cellulosum So ce56]
450,57346,ETNP_70,22.96,1,1,1.67E5,1,1,1,,118073,Reverse transcriptase (RNA-dependent DNA polymerase)
158,57274,ETNP14_68,22.92,1,1,6.78E5,1,1,1,,65824,Peptidase family M3
451,13124,ETNP_120,22.90,2,2,2.93E4,1,1,1,,72487,Peptidase M16C associated
454,57352,WP_040352820,22.87,1,1,3.67E6,1,1,1,,97385,hypothetical protein  Blastopirellula marina
453,57350,ETNP14_68,22.86,1,1,1.75E6,1,1,1,,72775,chaperone protein HchA
453,57351,ETNP14_68,22.86,1,1,1.75E6,1,1,1,,72794,chaperone protein HchA
453,57353,NP_85,22.86,1,1,1.75E6,1,1,1,,96266,Choline-sulfatase
453,57354,ETNP_120,22.86,1,1,1.75E6,1,1,1,,96267,Choline-sulfatase
453,57355,ETNP_100,22.86,1,1,1.75E6,1,1,1,,96267,Choline-sulfatase
453,57356,ETNP_70,22.86,1,1,1.75E6,1,1,1,,96181,Choline-sulfatase
453,57357,ETNP_90,22.86,1,1,1.75E6,1,1,1,,106644,Choline-sulfatase
196,57287,ETNP_120,22.84,1,1,2.56E6,1,1,1,,86192,hypothetical protein
458,57364,ETNP_70,22.77,1,1,2.37E5,1,1,1,,65554,hypothetical protein
455,57358,WP_041394557.1,22.77,1,1,3.43E6,1,1,1,,58416,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/inosine monophosphate cyclohydrolase [Photobacterium profundum]
457,57363,WP_012181568.1,22.61,4,4,4.45E5,1,1,1,,27154,hypothetical protein [Salinispora arenicola]
194,57251,BAL60014,22.57,2,2,8.43E4,1,1,1,,70149,peptidase S8 S53 Candidatus Acetothermus autotrophicum
96,57325,EJK77168,22.54,0,0,8.32E5,1,1,1,,631432,hypothetical protein THAOC_01019  Thalassiosira oceanica
48,57339,ETNP14_68,22.51,1,1,9.9E5,1,1,2,,75413,7TM-HD extracellular
460,57385,ETNP14_68,22.41,2,2,0E0,1,1,1,,41383,DNA recombination protein RmuC
461,57390,ETNP_160,22.35,4,4,1.1E6,1,1,1,,20905,hypothetical protein
463,57404,WP_011313092,22.16,6,6,1.04E5,1,1,1,,15697,Holliday junction DNA helicase Thiobacillus denitrificans
301,57393,ETNP_100,22.07,2,2,1.71E5,1,1,1,,50228,hypothetical protein
202,57340,ETNP14_120,22.06,3,3,8.55E3,1,1,1,,90192,4-methylaminobutanoate oxidase (formaldehyde-forming)
468,19030,WP_011468433.1,21.85,1,1,1.34E6,1,1,1,,113389,CusA/CzcA family heavy metal efflux RND transporter [Saccharophagus degradans]
309,57412,ETNP_160,21.79,1,1,9.13E4,1,1,1,,71611,hypothetical protein
465,57413,ABQ67813.1,21.76,2,2,3.41E4,1,1,1,,46894,phenylacetate-CoA ligase [Sphingomonas wittichii RW1]
102,57299,virus_CCADEAMM_28882,21.72,0,0,6.29E4,1,1,1,,279301,hypothetical protein
466,57414,Flavovirus_FBAKDGPJ_04736,21.71,8,8,3.08E5,1,1,1,,12026,hypothetical protein
467,57418,ETNP_100,21.64,7,7,1.08E5,1,1,1,,12125,tRNA-dihydrouridine synthase A
302,57395,Verrucomicrobia_HGEPPPGB_01480,21.49,1,1,0E0,1,1,1,,103978,hypothetical protein
305,57399,ETNP_120,21.49,3,3,4.43E5,1,1,1,,29252,hypothetical protein
210,57423,WP_014706641,21.48,2,2,0E0,1,1,1,,57896,alpha-L-arabinofuranosidase Methylophaga nitratireducenticrescens
307,18939,ETNP_120,21.34,3,3,1.82E6,1,1,1,Oxidation (M),30041,Trans-aconitate 2-methyltransferase
312,8507,ETNP14_120,21.33,6,6,1.72E6,1,1,1,,13222,Basal-body rod modification protein FlgD
470,57431,ABF64806.1,21.30,5,5,6.72E5,1,1,1,,21940,DSBA oxidoreductase [Ruegeria sp. TM1040]
473,8399,EJK77034,21.12,1,1,1.13E5,1,1,1,,122310,hypothetical protein THAOC_01161  Thalassiosira oceanica
472,57436,CBE67992,21.12,4,4,1.11E4,1,1,1,Carbamidomethylation,28075,Methyltransferase 24 Candidatus Methylomirabilis oxyfera
475,2150,SAR11,21.09,1,1,7.88E4,1,1,1,,118314,Carbamoyl-phosphate synthase large chain
313,57442,virus_CCADEAMM_08943,21.03,1,1,1.2E7,1,1,1,,60957,hypothetical protein
203,57343,ETNP14_68,21.01,4,4,9.63E6,1,1,1,,24119,hypothetical protein
314,57443,ACL65211.1,20.98,1,1,0E0,1,1,1,,78580,4Fe-4S ferredoxin iron-sulfur binding domain protein [Anaeromyxobacter dehalogenans 2CP-1]
308,57406,EJK65998,20.96,2,2,9.05E5,1,1,1,Carbamidomethylation,64239,hypothetical protein THAOC_13106  Thalassiosira oceanica
308,57444,EJK72837,20.96,3,3,9.05E5,1,1,1,Carbamidomethylation,40786,hypothetical protein THAOC_05592 partial  Thalassiosira oceanica
308,57445,EJK60819,20.96,2,2,9.05E5,1,1,1,Carbamidomethylation,56848,hypothetical protein THAOC_18770 partial  Thalassiosira oceanica
480,57451,ETNP14_120,20.86,1,1,8.67E4,1,1,1,Oxidation (M),92509,Outer membrane protein assembly factor BamA precursor
479,57449,WP_011468801.1,20.84,3,3,2.89E7,1,1,1,,26982,hypothetical protein [Saccharophagus degradans]
479,11311,WP_011469546.1,20.84,1,1,2.89E7,1,1,1,,63391,hypothetical protein [Saccharophagus degradans]
310,57419,WP_021778178.1,20.83,1,1,1.57E7,1,1,1,,78883,peptidylprolyl isomerase [Dokdonia sp. MED134]
201,11000,ETNP14_68,20.76,3,3,2.14E5,1,1,1,,25331,Glutamate synthase [NADPH] large chain precursor
163,57411,ETNP_120,20.70,4,4,0E0,1,1,1,,29555,DSBA-like thioredoxin domain protein
484,57475,NP_300,20.51,3,3,2.63E1,1,1,1,,38870,Thiamine biosynthesis lipoprotein ApbE precursor
29,57439,ETNP_140,20.51,2,2,2.68E6,1,1,3,,41791,hypothetical protein
29,57440,ETNP_160,20.51,2,2,2.68E6,1,1,3,,52466,hypothetical protein
29,57477,ETNP_180,20.51,7,7,2.68E6,1,1,3,,12086,hypothetical protein
29,57480,ETNP_120,20.51,3,3,2.68E6,1,1,3,,25850,hypothetical protein
316,57464,WP_012563491,20.50,1,1,2.5E5,1,1,1,,52718,cytosol aminopeptidase Oligotropha carboxidovorans
316,57484,ETNP14_120,20.50,2,2,2.5E5,1,1,1,,35727,Cytosol aminopeptidase
316,28011,ETNP14_120,20.50,2,2,2.5E5,1,1,1,,46508,Cytosol aminopeptidase
316,30214,ETNP_90,20.50,1,1,2.5E5,1,1,1,,51203,Cytosol aminopeptidase
211,57425,ETNP14_68,20.46,1,1,1.41E6,1,1,1,,99545,DNA gyrase subunit A
318,57491,ABE41411.1,20.40,2,2,6.49E4,1,1,1,,36689,Cysteine synthase [Rhodopseudomonas palustris BisB5]
318,57492,WP_012180569.1,20.40,2,2,6.49E4,1,1,1,,36525,2 3-diaminopropionate biosynthesis protein SbnA [Salinispora arenicola]
93,57380,WP_015349700,20.37,0,0,4.33E5,1,1,1,Oxidation (M),1449428,non-ribosomal peptide synthetase Myxococcus stipitatus
491,57575,WP_011399930,20.19,3,3,2.57E6,1,1,1,,24482,50S ribosomal protein L1 Hahella chejuensis
218,12736,CAN94572.1,20.17,0,0,1.7E5,1,1,1,,202864,hypothetical protein sce4409 [Sorangium cellulosum So ce56]
496,57583,WP_015441151,20.05,1,1,2.71E4,1,1,1,,101447,translation initiation factor IF-2 Ilumatobacter coccineus
495,57579,ADH89231.1,20.04,2,2,1.02E7,1,1,1,,47138,integrase family protein [Starkeya novella DSM 506]
