Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 10: 279 4-19_265m_netwash1of3-A,Area Sample 10: 279 4-19_265m_netwash1of3-A,#Peptides,#Unique,#Spec Sample 10: 279 4-19_265m_netwash1of3-A,PTM,Avg. Mass,Description
20,133682,WP_012516957,52.47,12,12,1.2E6,4,4,4,,22573,50S ribosomal protein L3 Alteromonas mediterranea
83,133613,ETNP_160,52.21,24,24,6.82E5,2,2,2,,7139,hypothetical protein
83,133614,ETNP_100,52.21,24,24,6.82E5,2,2,2,,7139,hypothetical protein
83,133615,ETNP_140,52.21,24,24,6.82E5,2,2,2,,7139,hypothetical protein
83,133616,ETNP_120,52.21,24,24,6.82E5,2,2,2,,7139,hypothetical protein
83,133617,ETNP_120,52.21,24,24,6.82E5,2,2,2,,7139,hypothetical protein
83,133618,ETNP_180,52.21,24,24,6.82E5,2,2,2,,7139,hypothetical protein
83,133619,ETNP_120,52.21,24,24,6.82E5,2,2,2,,7139,hypothetical protein
83,133620,ETNP_300,52.21,24,24,6.82E5,2,2,2,,7139,hypothetical protein
83,133621,ETNP_150,52.21,22,22,6.82E5,2,2,2,,7498,hypothetical protein
24,133641,ETNP_300,49.98,1,1,4.37E5,3,3,3,,227342,hypothetical protein
52,128122,ETNP_180,49.71,9,9,3.41E5,2,2,2,,39779,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
52,128120,ETNP_120,49.71,9,9,3.41E5,2,2,2,,39559,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
52,128118,NP_300,49.71,9,9,3.41E5,2,2,2,,39379,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
52,128115,ETNP_120,49.71,10,10,3.41E5,2,2,2,,35686,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
52,128108,ETNP_160,49.71,12,12,3.41E5,2,2,2,,28182,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
52,128109,ETNP_120,49.71,11,11,3.41E5,2,2,2,,31075,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
52,128110,ETNP_140,49.71,10,10,3.41E5,2,2,2,,35015,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
52,128119,NP_85,49.71,9,9,3.41E5,2,2,2,,39724,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
52,128111,ETNP_140,49.71,14,14,3.41E5,2,2,2,,24554,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
52,128117,ETNP_100,49.71,9,9,3.41E5,2,2,2,,39293,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
52,128116,ETNP_120,49.71,9,9,3.41E5,2,2,2,,39319,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
52,128103,ETNP_110,49.71,11,11,3.41E5,2,2,2,,32534,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
52,128104,NP_125,49.71,9,9,3.41E5,2,2,2,,39275,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
52,128105,ETNP14_120,49.71,9,9,3.41E5,2,2,2,,39385,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
52,128106,ETNP_100,49.71,9,9,3.41E5,2,2,2,,39291,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
52,128107,NP_85,49.71,9,9,3.41E5,2,2,2,,39305,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
52,128114,ETNP_90,49.71,11,11,3.41E5,2,2,2,,30745,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
52,128121,NP_300,49.71,9,9,3.41E5,2,2,2,,39744,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
52,128112,ETNP_120,49.71,13,13,3.41E5,2,2,2,,26356,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
52,128113,ETNP_120,49.71,12,12,3.41E5,2,2,2,,28984,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
36,8391,ETNP_120,48.52,20,20,2.74E7,2,2,3,,5568,hypothetical protein
36,8392,ETNP_180,48.52,20,20,2.74E7,2,2,3,,5568,hypothetical protein
29,17520,CAI87844.1,48.19,12,12,4.2E5,3,3,3,,23483,30S ribosomal subunit protein S4 [Pseudoalteromonas haloplanktis TAC125]
61,133629,WP_012519212,45.74,14,14,7.01E5,2,2,2,,15037,50S ribosomal protein L17 Alteromonas
61,133630,ETNP14_68,45.74,14,14,7.01E5,2,2,2,,15037,50S ribosomal protein L17
61,133631,ETNP14_120,45.74,14,14,7.01E5,2,2,2,,15037,50S ribosomal protein L17
164,17543,XP_002180656,45.20,2,2,1.52E5,1,1,1,,49747,predicted protein  Phaeodactylum tricornutum CCAP 1055
19,133632,ETNP_70,44.57,6,6,3.08E5,1,1,4,,19865,TBC domain protein
108,2746,XP_003062500,43.17,2,2,4.15E5,1,1,1,,49730,alpha tubulin  Micromonas pusilla CCMP1545
108,2747,XP_003058621,43.17,2,2,4.15E5,1,1,1,,49730,alpha tubulin  Micromonas pusilla CCMP1545
108,2748,XP_003082284,43.17,2,2,4.15E5,1,1,1,,50099,TBA_CHLVU Tubulin alpha chain ISS  Ostreococcus tauri
108,2749,XP_003080933,43.17,2,2,4.15E5,1,1,1,,52460,TBA_CHLVU Tubulin alpha chain ISS  Ostreococcus tauri
108,2745,ETNP_100,43.17,6,6,4.15E5,1,1,1,,15112,Tubulin/FtsZ family  GTPase domain
215,133622,WP_014706667,42.28,7,7,2.69E5,1,1,1,,13338,50S ribosomal protein L20 Methylophaga nitratireducenticrescens
215,133623,ACL72537.1,42.28,7,7,2.69E5,1,1,1,,13484,ribosomal protein L20 [Thioalkalivibrio sulfidiphilus HL-EbGr7]
215,133624,WP_012518092,42.28,7,7,2.69E5,1,1,1,,13348,50S ribosomal protein L20 Alteromonas
215,133625,ETNP14_120,42.28,7,7,2.69E5,1,1,1,,13348,50S ribosomal protein L20
215,133626,WP_007231943,42.28,7,7,2.69E5,1,1,1,,13191,50S ribosomal protein L20 gamma proteobacterium HTCC2207
215,133633,WP_007151143.1,42.28,7,7,2.69E5,1,1,1,,13571,MULTISPECIES: 50S ribosomal protein L20 [Alcanivorax]
55,18889,WP_012519905,41.22,26,26,3.24E5,2,2,2,,7623,cold-shock protein Alteromonas
55,18890,ETNP14_120,41.22,26,26,3.24E5,2,2,2,,7623,Cold shock-like protein CspG
85,133774,ETNP_120,39.46,4,4,2.89E5,2,2,2,,49554,Multicopper oxidase
70,133671,ETNP_300,39.04,15,15,7.44E5,2,2,2,,12828,50S ribosomal protein L7/L12
70,133672,ETNP_160,39.04,15,15,7.44E5,2,2,2,,12828,50S ribosomal protein L7/L12
70,133673,ETNP_180,39.04,15,15,7.44E5,2,2,2,,12828,50S ribosomal protein L7/L12
7,133688,SAR202_JMBHMLPD,38.44,3,3,1.39E6,2,2,7,,44097,L-2-hydroxyglutarate oxidase LhgO
309,133650,ETNP_160,37.53,2,2,5.44E4,1,1,1,,32696,hypothetical protein
310,19954,WP_011469569.1,36.51,2,2,9.46E5,1,1,1,,43149,efflux RND transporter periplasmic adaptor subunit [Saccharophagus degradans]
37,18147,CAI85326.1,35.01,1,1,7.06E4,3,1,3,,154568,RNA polymerase  beta prime subunit [Pseudoalteromonas haloplanktis TAC125]
37,18559,WP_041394562.1,35.01,1,1,7.06E4,3,1,3,,155154,DNA-directed RNA polymerase subunit beta' [Photobacterium profundum]
17,134953,ETNP_90,34.39,6,6,8.46E7,2,2,4,,16767,hypothetical protein
32,133823,SAR11,34.28,2,2,1.62E5,3,1,3,Oxidation (M),154572,DNA-directed RNA polymerase subunit beta'
32,133824,SAR11,34.28,2,2,1.62E5,3,1,3,Oxidation (M),154688,DNA-directed RNA polymerase subunit beta'
32,133825,SAR11,34.28,2,2,1.62E5,3,1,3,Oxidation (M),154393,DNA-directed RNA polymerase subunit beta'
311,133720,XP_002181447,33.87,2,2,2.01E5,1,1,1,,44835,predicted protein  Phaeodactylum tricornutum CCAP 1055
84,3123,ETNP_120,33.65,3,3,8.18E5,1,1,2,,30958,Alpha-ketoglutarate-dependent taurine dioxygenase
165,133668,WP_013045551,33.38,2,2,1.49E4,1,1,1,,48616,glutamyl-tRNA synthetase Candidatus Puniceispirillum marinum
165,133687,ACB22843.1,33.38,3,3,1.49E4,1,1,1,,35957,Glutathione S-transferase domain protein [Methylobacterium radiotolerans JCM 2831]
218,133721,ETNP_160,32.96,7,7,4.92E5,1,1,1,,16868,hypothetical protein
218,133722,ETNP_120,32.96,7,7,4.92E5,1,1,1,,16970,hypothetical protein
218,133723,ETNP_120,32.96,7,7,4.92E5,1,1,1,,16935,hypothetical protein
218,133724,ETNP_180,32.96,7,7,4.92E5,1,1,1,,16957,hypothetical protein
217,133717,ABE38096.1,32.77,1,1,1.83E5,1,1,1,,77877,peptidyl-dipeptidase Dcp. Metallo peptidase. MEROPS family M03A [Rhodopseudomonas palustris BisB5]
56,133787,ETNP_120,32.31,4,4,2.22E5,2,2,2,,51592,Multicopper oxidase
312,133725,WP_011785745,31.93,11,11,3.96E4,1,1,1,,9116,30S ribosomal protein S16 Marinobacter
66,8329,ETNP_100,31.52,35,35,2.09E6,2,2,2,,3855,hypothetical protein
66,8279,ETNP_100,31.52,26,26,2.09E6,2,2,2,,5311,hypothetical protein
313,133726,ETNP14_68,31.47,8,8,1.11E5,1,1,1,,15776,Bestrophin  RFP-TM  chloride channel
216,133700,ACL73411.1,31.46,1,1,1.2E5,1,1,1,,151563,DNA-directed RNA polymerase  beta subunit [Thioalkalivibrio sulfidiphilus HL-EbGr7]
89,3218,ETNP_120,31.35,10,10,1.04E6,2,2,2,,8672,hypothetical protein
314,133728,ETNP14_68,31.34,18,18,1.61E5,1,1,1,Carbamidomethylation; Oxidation (M),6454,hypothetical protein
135,17661,WP_012516958,31.01,4,4,3.71E5,1,1,1,,22038,50S ribosomal protein L4 Alteromonas
135,133701,ETNP_90,31.01,4,4,3.71E5,1,1,1,,21944,50S ribosomal protein L4
135,133702,CAI85249.1,31.01,4,4,3.71E5,1,1,1,,21829,50S ribosomal subunit protein L4 [Pseudoalteromonas haloplanktis TAC125]
134,133649,virus_CCADEAMM_21757,30.64,3,3,6.54E5,1,1,1,,33057,hypothetical protein
71,133908,WP_041839602,30.44,1,1,4.23E5,2,1,2,,156313,DNA-directed RNA polymerase subunit beta Acidobacterium capsulatum
22,134149,ETNP14_120,30.39,2,2,1.99E5,2,2,4,,84307,Aminopeptidase YwaD precursor
166,133705,ACY16158.1,29.73,2,2,2.53E5,1,1,1,,43924,tail sheath protein [Haliangium ochraceum DSM 14365]
166,133775,ETNP_100,29.73,4,4,2.53E5,1,1,1,,24803,Phage tail sheath protein
48,99358,ETNP_90,29.51,1,1,2.48E7,1,1,2,Oxidation (M),64060,Ankyrin repeats (3 copies)
48,99359,ETNP_70,29.51,1,1,2.48E7,1,1,2,Oxidation (M),67294,Ankyrin repeats (3 copies)
170,23991,ETNP14_68,28.99,2,2,4.69E5,1,1,1,,58840,Isocitrate lyase
219,57858,WP_015440903,28.80,0,0,1.71E5,1,1,1,,193459,omega-3 polyunsaturated fatty acid synthase PfaA Ilumatobacter coccineus
220,61375,ETNP_120,28.38,2,2,0E0,1,1,1,,38999,General stress protein 69
220,133793,ETNP_140,28.38,6,6,0E0,1,1,1,,13892,Aldo/keto reductase family protein
53,133796,virus_CCADEAMM_14241,28.16,1,1,2.06E5,2,2,2,,363989,hypothetical protein
54,133887,AGH26136.1,28.02,1,1,9.01E4,2,2,2,,475661,hypothetical protein CPMG_00035 [Prochlorococcus phage MED4-213]
316,133799,ETNP_100,27.81,3,3,4.42E4,1,1,1,,34990,hypothetical protein
2,133777,ETNP_180,27.78,1,1,1.09E7,1,1,18,,59045,hypothetical protein
317,133803,ETNP14_68,27.52,9,9,2.41E5,1,1,1,,8892,DNA-binding protein HU-beta
317,133804,ETNP_100,27.52,9,9,2.41E5,1,1,1,,8892,DNA-binding protein HU-beta
317,30347,ETNP14_120,27.52,9,9,2.41E5,1,1,1,,8892,DNA-binding protein HU-beta
317,133805,ETNP14_68,27.52,9,9,2.41E5,1,1,1,,9501,DNA-binding protein HU-beta
317,133806,ETNP_120,27.52,9,9,2.41E5,1,1,1,,9445,DNA-binding protein HU-beta
317,133807,ETNP_110,27.52,9,9,2.41E5,1,1,1,,8892,DNA-binding protein HU-beta
317,133808,ETNP14_68,27.52,9,9,2.41E5,1,1,1,,9445,DNA-binding protein HU-beta
317,133809,ETNP14_120,27.52,9,9,2.41E5,1,1,1,,9489,DNA-binding protein HU-beta
317,133810,ETNP14_68,27.52,9,9,2.41E5,1,1,1,,9489,DNA-binding protein HU-beta
317,133811,ETNP_90,27.52,9,9,2.41E5,1,1,1,,8892,DNA-binding protein HU-beta
317,133812,NP_85,27.52,9,9,2.41E5,1,1,1,,8892,DNA-binding protein HU-beta
317,133813,ETNP_120,27.52,9,9,2.41E5,1,1,1,,8892,DNA-binding protein HU-beta
317,133814,ETNP_120,27.52,9,9,2.41E5,1,1,1,,9116,DNA-binding protein HU
317,133815,ETNP_140,27.52,9,9,2.41E5,1,1,1,,8892,DNA-binding protein HU-beta
317,133816,ETNP14_120,27.52,9,9,2.41E5,1,1,1,,9445,DNA-binding protein HU-beta
317,133817,ETNP_100,27.52,9,9,2.41E5,1,1,1,,8892,DNA-binding protein HU-beta
317,133818,WP_009773534.1,27.52,8,8,2.41E5,1,1,1,,9781,DNA-binding protein [marine actinobacterium PHSC20C1]
317,133819,ETNP14_68,27.52,7,7,2.41E5,1,1,1,,12807,DNA-binding protein HU-beta
319,133829,ETNP_120,27.35,7,7,3.18E5,1,1,1,,13675,hypothetical protein
318,133826,ETNP_110,27.34,5,5,1.37E5,1,1,1,Carbamidomethylation,27591,hypothetical protein
318,133827,ETNP_140,27.34,4,4,1.37E5,1,1,1,Carbamidomethylation,30798,hypothetical protein
318,133828,ETNP_110,27.34,4,4,1.37E5,1,1,1,Carbamidomethylation,31247,hypothetical protein
167,133718,WP_012912728,27.27,3,3,5.67E5,1,1,1,,39746,hypothetical protein Pirellula staleyi
323,133850,WP_052294918,27.23,1,1,2.09E5,1,1,1,,78661,hypothetical protein Acidobacterium capsulatum
323,133852,SAR202_JMBHMLPD,27.23,1,1,2.09E5,1,1,1,,81892,primosomal protein N'
136,133780,ETNP_70,27.22,2,2,2.99E3,1,1,1,,33753,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
136,133844,CAI86081.1,27.22,2,2,2.99E3,1,1,1,,44068,putative orphan protein [Pseudoalteromonas haloplanktis TAC125]
38,139,WP_015350861,27.20,0,0,2.97E5,2,2,2,,1523501,nonribosomal peptide synthase Myxococcus stipitatus
320,133836,NP_125,27.00,30,30,3.12E5,1,1,1,Carbamidomethylation,3590,hypothetical protein
320,133837,ETNP_120,27.00,14,14,3.12E5,1,1,1,Carbamidomethylation,7848,hypothetical protein
320,133838,ETNP_300,27.00,12,12,3.12E5,1,1,1,Carbamidomethylation,8800,hypothetical protein
320,133839,ETNP_180,27.00,11,11,3.12E5,1,1,1,Carbamidomethylation,10938,hypothetical protein
321,133846,virus_CCADEAMM_58462,26.93,13,13,3.17E5,1,1,1,Oxidation (M),6132,hypothetical protein
221,133778,ETNP_100,26.89,4,4,1.39E5,1,1,1,,27951,PEP-CTERM motif protein
221,133779,ETNP_120,26.89,4,4,1.39E5,1,1,1,,28094,PEP-CTERM motif protein
168,133719,ETNP_110,26.78,4,4,1.34E5,1,1,1,,24386,hypothetical protein
324,133851,KJS04430,26.70,3,3,4.26E5,1,1,1,,34087,hypothetical protein VR77_11745 Flavobacteriales bacterium BRH_c54
21,133899,CAK24846.1,26.61,1,1,1.37E6,1,1,4,,71979,Glucose inhibited division protein A [Synechococcus sp. WH 7803]
325,133861,ETNP_100,26.45,2,2,0E0,1,1,1,,39660,hypothetical protein
325,133895,ETNP_90,26.45,1,1,0E0,1,1,1,,147811,hypothetical protein
169,133727,ETNP14_68,26.38,7,7,1.23E6,1,1,1,,12874,50S ribosomal protein L7/L12
169,133781,ETNP14_120,26.38,8,8,1.23E6,1,1,1,,11274,50S ribosomal protein L7/L12
169,133782,ETNP14_120,26.38,8,8,1.23E6,1,1,1,,11288,50S ribosomal protein L7/L12
169,133785,ETNP14_120,26.38,7,7,1.23E6,1,1,1,,12987,50S ribosomal protein L7/L12
169,133862,ETNP14_68,26.38,14,14,1.23E6,1,1,1,,6966,50S ribosomal protein L7/L12
169,133863,ETNP14_68,26.38,10,10,1.23E6,1,1,1,,8896,50S ribosomal protein L7/L12
169,133864,NP_85,26.38,10,10,1.23E6,1,1,1,,8896,50S ribosomal protein L7/L12
169,133865,ETNP14_120,26.38,8,8,1.23E6,1,1,1,,11074,50S ribosomal protein L7/L12
169,133866,WP_013749859.1,26.38,7,7,1.23E6,1,1,1,,12702,50S ribosomal protein L7/L12 [Dokdonia sp. 4H-3-7-5]
169,133867,WP_035334247.1,26.38,7,7,1.23E6,1,1,1,,12672,50S ribosomal protein L7/L12 [Dokdonia sp. PRO95]
169,133868,AMC10528.1,26.38,7,7,1.23E6,1,1,1,,12786,50S ribosomal protein L7/L12 [Lutibacter profundi]
169,133869,WP_021778473.1,26.38,7,7,1.23E6,1,1,1,,12586,MULTISPECIES: 50S ribosomal protein L7/L12 [Dokdonia]
169,133870,ETNP14_68,26.38,7,7,1.23E6,1,1,1,,12940,50S ribosomal protein L7/L12
169,133871,EDP95687.1,26.38,7,7,1.23E6,1,1,1,,12699,50S ribosomal protein L7/L12 [Kordia algicida OT-1]
169,133872,WP_009781165.1,26.38,7,7,1.23E6,1,1,1,,12834,50S ribosomal protein L7/L12 [Leeuwenhoekiella blandensis]
169,133873,EAP87095.1,26.38,7,7,1.23E6,1,1,1,,12701,50S ribosomal protein L7/L12 [Croceibacter atlanticus HTCC2559]
169,133874,ETNP14_68,26.38,7,7,1.23E6,1,1,1,,12652,50S ribosomal protein L7/L12
169,133875,ETNP14_68,26.38,7,7,1.23E6,1,1,1,,12972,50S ribosomal protein L7/L12
169,133876,ETNP14_68,26.38,7,7,1.23E6,1,1,1,,12786,50S ribosomal protein L7/L12
169,133877,ETNP14_68,26.38,7,7,1.23E6,1,1,1,,12956,50S ribosomal protein L7/L12
169,133878,ETNP14_68,26.38,7,7,1.23E6,1,1,1,,13080,50S ribosomal protein L7/L12
169,133879,ETNP14_120,26.38,7,7,1.23E6,1,1,1,,13010,50S ribosomal protein L7/L12
169,133880,WP_013304443.1,26.38,7,7,1.23E6,1,1,1,,12881,50S ribosomal protein L7/L12 [Maribacter sp. HTCC2170]
169,133881,ETNP14_120,26.38,7,7,1.23E6,1,1,1,,12923,50S ribosomal protein L7/L12
169,133882,ETNP14_68,26.38,7,7,1.23E6,1,1,1,,13056,50S ribosomal protein L7/L12
169,133883,ETNP14_68,26.38,7,7,1.23E6,1,1,1,,12765,50S ribosomal protein L7/L12
46,133890,ETNP_300,26.30,7,7,0E0,1,1,2,,13135,Peptide chain release factor 2
46,133891,WP_038126573.1,26.30,3,3,0E0,1,1,2,,29406,choline-sulfatase  partial [Verrucomicrobia bacterium SCGC AAA168-F10]
326,17799,ETNP_300,26.22,2,2,2.99E5,1,1,1,,40593,putative acetyl-CoA acyltransferase
86,133906,ACL74200.1,26.06,1,1,2.58E6,1,1,2,,71608,cyclic nucleotide-binding domain (cNMP-BD) protein [Thioalkalivibrio sulfidiphilus HL-EbGr7]
327,133912,ETNP14_68,25.96,2,2,1.52E5,1,1,1,,42460,3-isopropylmalate dehydrogenase
328,133913,ETNP_120,25.89,3,3,1.08E6,1,1,1,,28600,Elongation factor Tu
329,133918,NP_863791,25.82,5,5,1.21E5,1,1,1,,17928,signal peptide Rhodopirellula baltica SH 1
330,133939,WP_014474253,25.78,1,1,1.69E5,1,1,1,,65012,murein transglycosylase Arcobacter sp L
223,12964,Fosmid_PROKKA_06331,25.53,2,2,4.06E5,1,1,1,,49117,hypothetical protein
223,17764,NP_100,25.53,2,2,4.06E5,1,1,1,,49074,hypothetical protein
10,3122,ETNP14_120,25.24,4,4,4.52E8,1,1,6,,19183,hypothetical protein
276,134779,ETNP_70,25.15,14,14,1.66E5,1,1,1,Carbamidomethylation,8434,molybdopterin biosynthesis protein MoeB
62,133885,ETNP_300,25.04,1,1,2.81E6,1,1,2,,96522,Choline-sulfatase
224,134134,ETNP_140,24.95,3,3,6.88E5,1,1,1,,29590,hypothetical protein
224,134135,ETNP_120,24.95,1,1,6.88E5,1,1,1,,89382,Multidrug resistance protein MdtA precursor
224,134136,ETNP_300,24.95,1,1,6.88E5,1,1,1,,89411,Multidrug resistance protein MdtA precursor
224,134137,ETNP_180,24.95,1,1,6.88E5,1,1,1,,89382,Multidrug resistance protein MdtA precursor
331,134935,ETNP14_120,24.85,12,12,7.06E4,1,1,1,,9296,50S ribosomal protein L22
331,134936,ETNP_90,24.85,9,9,7.06E4,1,1,1,,11988,50S ribosomal protein L22
331,134937,CAI85253.1,24.85,9,9,7.06E4,1,1,1,,12034,50S ribosomal subunit protein L22 [Pseudoalteromonas haloplanktis TAC125]
331,134938,ETNP_90,24.85,9,9,7.06E4,1,1,1,,12203,50S ribosomal protein L22
229,134146,ETNP14_68,24.41,3,3,1.93E5,1,1,1,,31020,hypothetical protein
39,133788,AGH57961.1,24.25,0,0,5.23E5,1,1,2,,690992,hypothetical protein CPJG_00209 [Synechococcus phage KBS-M-1A]
63,98173,ACY18265.1,24.13,1,1,1.29E5,2,2,2,,271607,transglutaminase domain protein [Haliangium ochraceum DSM 14365]
333,134944,ETNP_120,23.96,13,13,9.88E4,1,1,1,,7847,hypothetical protein
78,134199,ETNP_120,23.94,2,2,1.64E5,1,1,2,,45337,Oxygen-independent coproporphyrinogen-III oxidase 1
148,134141,ETNP_100,23.87,2,2,8.88E5,1,1,1,Carbamidomethylation,41420,Cytochrome c551 peroxidase precursor
72,57249,ETNP_120,23.84,3,3,8.9E5,1,1,2,,27069,putative metallophosphoesterase
72,57250,ETNP_300,23.84,3,3,8.9E5,1,1,2,,27069,putative metallophosphoesterase
72,57246,ETNP_180,23.84,5,5,8.9E5,1,1,2,,17234,phosphodiesterase YaeI
72,57247,ETNP_160,23.84,5,5,8.9E5,1,1,2,,19125,phosphodiesterase YaeI
72,57248,ETNP_120,23.84,4,4,8.9E5,1,1,2,,21367,phosphodiesterase YaeI
348,134989,ETNP14_120,23.71,1,1,3.21E4,1,1,1,,97826,Leucine--tRNA ligase
348,134992,ETNP_100,23.71,1,1,3.21E4,1,1,1,,100590,Leucine--tRNA ligase
40,2764,BAI71469.1,23.67,1,1,1.14E6,2,2,2,,301308,hypothetical protein AZL_008310 [Azospirillum sp. B510]
225,134139,ETNP_300,23.66,3,3,4.11E4,1,1,1,,32700,Chaperone protein DnaK
87,17835,WP_038131496.1,23.59,2,2,1.66E6,2,2,2,,132958,translocation/assembly module TamB [Verrucomicrobia bacterium SCGC AAA168-F10]
