Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 1: 273 4-19_965m_top+p,Area Sample 1: 273 4-19_965m_top+p,#Peptides,#Unique,#Spec Sample 1: 273 4-19_965m_top+p,PTM,Avg. Mass,Description
11,8267,EJK63020,101.15,14,14,1.91E6,12,3,14,Carbamidomethylation; Oxidation (M); Formylation,68429,hypothetical protein THAOC_16346  Thalassiosira oceanica
12,17542,XP_003056479,99.11,14,14,2.09E5,8,1,9,Carbamidomethylation,49615,beta tubulin  Micromonas pusilla CCMP1545
13,8302,ETNP14_120,97.94,5,5,6.54E4,6,2,10,Deamidation (NQ); Dimethylation(KR); Acetylation (N-term); Mutation,92971,ATP-dependent Clp protease ATP-binding subunit ClpC1
14,23,WP_011824074.1,92.37,3,3,1.54E6,4,1,8,Deamidation (NQ); Mutation,94922,ATP-dependent Clp protease ATP-binding subunit ClpC [Prochlorococcus marinus]
4,41,WP_041394500.1,91.13,4,4,0E0,5,1,26,Dehydration; Sodium adduct; Replacement of proton by potassium; Mutation,96239,chaperone protein ClpB [Photobacterium profundum]
15,23989,WP_007232156,88.95,8,8,1.63E7,5,5,8,Carbamidomethylation,57912,isocitrate lyase gamma proteobacterium HTCC2207
35,17652,XP_003080759,87.37,22,22,3.95E5,5,1,5,,13731,histone H2B ISS  Ostreococcus tauri
35,17719,XP_003082252,87.37,20,20,3.95E5,5,1,5,,15314,histone H2B ISS  Ostreococcus tauri
35,17716,XP_003055512,87.37,23,23,3.95E5,5,1,5,,12701,histone H2B  Micromonas pusilla CCMP1545
35,17715,XP_003058519,87.37,23,23,3.95E5,5,1,5,,12701,predicted protein  Micromonas pusilla CCMP1545
35,17714,XP_003062035,87.37,23,23,3.95E5,5,1,5,,12701,predicted protein  Micromonas pusilla CCMP1545
35,17718,ETNP_70,87.37,22,22,3.95E5,5,1,5,,13742,Core histone H2A/H2B/H3/H4
35,17720,ETNP_70,87.37,18,18,3.95E5,5,1,5,,16840,Core histone H2A/H2B/H3/H4
10,17551,XP_002185730,81.43,11,11,6.33E6,8,4,9,Carbamidomethylation,49582,predicted protein  Phaeodactylum tricornutum CCAP 1055
24,17486,WP_006231982.1,78.58,35,35,1.09E6,4,2,6,Sodium adduct,7426,cold-shock protein [Photobacterium profundum]
16,2747,XP_003058621,77.60,20,20,9.36E6,10,8,10,Carbamidomethylation; Propionamide (K  X@N-term); Deoxy; Mutation,49730,alpha tubulin  Micromonas pusilla CCMP1545
16,2746,XP_003062500,77.60,20,20,9.36E6,10,8,10,Carbamidomethylation; Propionamide (K  X@N-term); Deoxy; Mutation,49730,alpha tubulin  Micromonas pusilla CCMP1545
34,17535,WP_011219116.1,70.59,11,11,6.46E6,7,7,7,,60785,30S ribosomal protein S1 [Photobacterium profundum]
23,17450,WP_011467412.1,69.21,9,9,1.07E6,4,1,4,,44287,elongation factor Tu [Saccharophagus degradans]
23,17455,WP_011219964.1,64.43,6,6,1.07E6,3,1,3,,43220,elongation factor Tu [Photobacterium profundum]
23,17463,WP_011217126.1,64.43,6,6,1.07E6,3,1,3,,42975,elongation factor Tu [Photobacterium profundum]
23,17456,WP_011587666.1,64.43,6,6,1.07E6,3,1,3,,43222,MULTISPECIES: elongation factor Tu [Alcanivorax]
22,17451,ETNP_90,67.77,9,9,3.03E6,4,1,4,,43421,Elongation factor Tu
22,17452,CAI87946.1,67.77,9,9,3.03E6,4,1,4,,43281,protein chain elongation factor EF-Tu; possible GTP-binding factor (duplicate of tufA) [Pseudoalteromonas haloplanktis TAC125]
22,17470,CAI85330.1,63.00,6,6,3.03E6,3,1,3,,43306,protein chain elongation factor EF-Tu; GTP-binding factor [Pseudoalteromonas haloplanktis TAC125]
39,23995,CAI88039.1,66.76,5,5,5.49E5,3,2,3,,55387,membrane-bound ATP synthase  F1 sector  alpha-subunit [Pseudoalteromonas haloplanktis TAC125]
19,469,ETNP_70,66.33,23,23,3.36E7,5,5,6,,13534,Core histone H2A/H2B/H3/H4
19,466,ETNP_60,57.97,15,15,3.13E7,3,3,4,,13283,Core histone H2A/H2B/H3/H4
26,17700,ETNP_100,63.75,6,6,1.97E6,4,4,4,,25376,Fructose-bisphosphate aldolase class 1
26,17702,ETNP14_120,63.75,4,4,1.97E6,4,4,4,,37421,fructose-1 6-bisphosphate aldolase
26,17694,ETNP_100,63.75,7,7,1.97E6,4,4,4,,24101,Fructose-bisphosphate aldolase class 1
26,17701,ETNP14_68,63.75,4,4,1.97E6,4,4,4,,37324,fructose-1 6-bisphosphate aldolase
26,17755,ETNP_120,63.75,8,8,1.97E6,4,4,4,,19706,Fructose-bisphosphate aldolase class 1
25,17543,XP_002180656,62.99,4,4,2.09E6,3,2,3,,49747,predicted protein  Phaeodactylum tricornutum CCAP 1055
44,24027,ETNP_100,60.77,34,34,1.73E7,5,5,5,Mutation,11381,Core histone H2A/H2B/H3/H4
44,24026,XP_003059520,60.77,34,34,1.73E7,5,5,5,Mutation,11395,predicted protein  Micromonas pusilla CCMP1545
44,24025,XP_003061756,60.77,34,34,1.73E7,5,5,5,Mutation,11395,predicted protein  Micromonas pusilla CCMP1545
44,24024,XP_002179505,60.77,34,34,1.73E7,5,5,5,Mutation,11383,histone H4 isoform 1a  Phaeodactylum tricornutum CCAP 1055
44,24023,ETNP14_68,60.77,34,34,1.73E7,5,5,5,Mutation,11367,Core histone H2A/H2B/H3/H4
44,24022,ETNP_120,60.77,34,34,1.73E7,5,5,5,Mutation,11365,Core histone H2A/H2B/H3/H4
44,24021,XP_003061514,60.77,34,34,1.73E7,5,5,5,Mutation,11395,histone H4  Micromonas pusilla CCMP1545
44,24020,EJK69577,60.77,34,34,1.73E7,5,5,5,Mutation,11383,hypothetical protein THAOC_09145  Thalassiosira oceanica
44,24019,XP_002179286,60.77,34,34,1.73E7,5,5,5,Mutation,11383,histone H4 isoform 1b  Phaeodactylum tricornutum CCAP 1055
44,24018,ETNP_70,60.77,34,34,1.73E7,5,5,5,Mutation,11367,Core histone H2A/H2B/H3/H4
44,24017,ETNP_70,60.77,34,34,1.73E7,5,5,5,Mutation,11395,Core histone H2A/H2B/H3/H4
44,24016,ETNP_90,60.77,34,34,1.73E7,5,5,5,Mutation,11367,Core histone H2A/H2B/H3/H4
44,24015,XP_003063038,60.77,34,34,1.73E7,5,5,5,Mutation,11395,predicted protein  Micromonas pusilla CCMP1545
44,24028,EJK72475,60.77,30,30,1.73E7,5,5,5,Mutation,13036,hypothetical protein THAOC_05990  Thalassiosira oceanica
44,24029,XP_003074685,60.77,12,12,1.73E7,5,5,5,Mutation,31136,Histone H4 ISS  Ostreococcus tauri
44,24030,EJK63755,60.77,9,9,1.73E7,5,5,5,Mutation,39773,hypothetical protein THAOC_15573 partial  Thalassiosira oceanica
20,17485,NP_300,59.52,7,7,1.85E6,4,2,4,,43058,Elongation factor Tu
40,17527,ETNP_100,58.39,37,37,1.61E6,5,1,5,,7412,Core histone H2A/H2B/H3/H4
32,24058,WP_011220086.1,57.80,9,9,1.11E6,3,3,3,Mutation,34332,branched chain amino acid aminotransferase [Photobacterium profundum]
37,17478,CAG23776.1,57.26,46,46,2.17E6,4,2,4,,7451,putative Cold shock-like protein [Photobacterium profundum SS9]
37,17480,CAG23638.1,57.26,31,31,2.17E6,4,2,4,,11551,putative cold shock protein [Photobacterium profundum SS9]
37,17477,CAG21909.1,53.42,28,28,1.95E6,3,1,3,,8594,putative Cold shock-like protein [Photobacterium profundum SS9]
49,17502,ETNP_100,56.01,13,13,1.21E6,3,2,3,,21500,Malate dehydrogenase
49,17503,NP_300,56.01,8,8,1.21E6,3,2,3,,31989,Malate dehydrogenase
49,17507,ETNP14_120,56.01,8,8,1.21E6,3,2,3,,32168,Malate dehydrogenase
49,17506,ETNP14_120,56.01,8,8,1.21E6,3,2,3,,32162,Malate dehydrogenase
49,17505,ETNP14_120,56.01,8,8,1.21E6,3,2,3,,32064,Malate dehydrogenase
49,17514,ETNP14_120,50.32,7,7,2.34E5,2,1,2,,24002,Malate dehydrogenase
49,17517,ETNP_100,50.32,5,5,2.34E5,2,1,2,,32399,Malate dehydrogenase
49,17497,NP_30,50.32,7,7,2.34E5,2,1,2,,24555,Malate dehydrogenase
49,17510,ETNP14_120,50.32,5,5,2.34E5,2,1,2,,32612,Malate dehydrogenase
49,17515,ETNP14_120,50.32,7,7,2.34E5,2,1,2,,24617,Malate dehydrogenase
49,17516,ETNP14_120,50.32,5,5,2.34E5,2,1,2,,32385,Malate dehydrogenase
49,17508,Fosmid_PROKKA_00393,50.32,5,5,2.34E5,2,1,2,,32061,Malate dehydrogenase
49,17504,NP_100,50.32,5,5,2.34E5,2,1,2,,32060,Malate dehydrogenase
49,17513,ETNP14_68,50.32,8,8,2.34E5,2,1,2,,21129,Malate dehydrogenase
49,17512,NP_300,50.32,15,15,2.34E5,2,1,2,,11573,Malate dehydrogenase
49,17511,ETNP14_120,50.32,15,15,2.34E5,2,1,2,,11698,Malate dehydrogenase
49,17501,ETNP_120,50.32,11,11,2.34E5,2,1,2,,14754,Malate dehydrogenase
49,17500,ETNP_180,50.32,11,11,2.34E5,2,1,2,,14750,Malate dehydrogenase
49,17509,WP_011217182.1,50.32,5,5,2.34E5,2,1,2,,32293,malate dehydrogenase [Photobacterium profundum]
121,25271,ETNP14_68,53.77,15,15,2.52E6,3,3,3,Mutation,14875,50S ribosomal protein L15
30,17661,WP_012516958,52.63,19,19,2.68E6,4,4,4,Mutation,22038,50S ribosomal protein L4 Alteromonas
109,8328,XP_002186303,51.74,5,5,7.32E6,3,3,3,,48082,translation elongation factor EF-1 alpha subunit  Phaeodactylum tricornutum CCAP 1055
109,8327,XP_002181593,51.74,5,5,7.32E6,3,3,3,,48056,predicted protein  Phaeodactylum tricornutum CCAP 1055
27,17468,NP_300,51.51,6,6,,3,0,3,,43409,Elongation factor Tu
27,17467,NP_125,51.51,6,6,,3,0,3,,43465,Elongation factor Tu
27,17465,ABA58796.1,51.51,6,6,,3,0,3,,43674,translation elongation factor 1A (EF-1A/EF-Tu) [Nitrosococcus oceani ATCC 19707]
27,17464,ABA58784.1,51.51,6,6,,3,0,3,,43674,Translation elongation factor Tu [Nitrosococcus oceani ATCC 19707]
183,8329,ETNP_100,50.66,35,35,2.25E6,1,1,1,,3855,hypothetical protein
183,8279,ETNP_100,50.66,26,26,2.25E6,1,1,1,,5311,hypothetical protein
47,17625,WP_015068149,49.75,7,7,2.09E5,2,1,2,,32269,malate dehydrogenase Alteromonas mediterranea
233,24014,ETNP_120,49.32,3,3,1.37E5,1,1,1,,47985,Enolase
28,17588,ETNP_150,48.72,64,64,,4,0,4,Carbamidomethylation,4626,Tubulin/FtsZ family  GTPase domain
185,24032,WP_012624320,47.75,11,11,6.95E5,2,2,2,,18735,50S ribosomal protein L17 Desulfovibrio desulfuricans
185,24043,ETNP_120,38.86,8,8,6.95E5,1,1,1,,14454,50S ribosomal protein L17
185,24042,ETNP_100,38.86,8,8,6.95E5,1,1,1,,14454,50S ribosomal protein L17
108,18096,KHE90725,46.66,2,2,6.07E6,2,2,2,,120220,carbamoyl-phosphate synthase large subunit Candidatus Scalindua brodae
108,24012,ETNP14_68,38.70,2,2,5.69E6,1,1,1,,60152,hypothetical protein
108,24033,ETNP14_68,38.70,5,5,5.69E6,1,1,1,,20226,membrane-bound lytic murein transglycosylase D
108,24034,ETNP_120,38.70,7,7,5.69E6,1,1,1,,15780,Carbamoyl-phosphate synthase large chain
108,24013,NP_300,38.70,1,1,5.69E6,1,1,1,,73853,Carbamoyl-phosphate synthase large chain
108,24045,ETNP14_120,38.70,16,16,5.69E6,1,1,1,,6661,hypothetical protein
108,24046,ETNP_70,38.70,7,7,5.69E6,1,1,1,,14376,hypothetical protein
108,24049,ETNP_100,38.70,7,7,5.69E6,1,1,1,,15220,Tetratricopeptide repeat protein
108,24048,ETNP14_120,38.70,7,7,5.69E6,1,1,1,,15238,Tetratricopeptide repeat protein
108,24047,ETNP14_120,38.70,7,7,5.69E6,1,1,1,,15188,Tetratricopeptide repeat protein
108,24050,ETNP14_68,38.70,3,3,5.69E6,1,1,1,,36712,hypothetical protein
54,24059,ABQ68792.1,45.28,1,1,1.13E7,2,2,2,,77118,AsmA family protein [Sphingomonas wittichii RW1]
186,24035,ETNP_60,44.69,14,14,1.04E6,1,1,1,,10922,Flavodoxin
53,17855,ETNP14_68,44.19,13,13,2.74E6,2,2,2,Mutation,13190,50S ribosomal protein L7/L12
53,17843,ETNP14_68,44.19,35,35,2.74E6,2,2,2,Mutation,5172,50S ribosomal protein L7/L12
53,17846,ETNP14_120,44.19,27,27,2.74E6,2,2,2,Mutation,6711,50S ribosomal protein L7/L12
53,17844,ETNP14_68,44.19,27,27,2.74E6,2,2,2,Mutation,6711,50S ribosomal protein L7/L12
53,17857,ETNP14_68,44.19,13,13,2.74E6,2,2,2,Mutation,13252,50S ribosomal protein L7/L12
53,17856,ETNP14_120,44.19,13,13,2.74E6,2,2,2,Mutation,13252,50S ribosomal protein L7/L12
53,17853,NP_100,44.19,13,13,2.74E6,2,2,2,Mutation,13036,50S ribosomal protein L7/L12
53,17851,NP_85,44.19,13,13,2.74E6,2,2,2,Mutation,13036,50S ribosomal protein L7/L12
53,17850,NP_300,44.19,13,13,2.74E6,2,2,2,Mutation,13036,50S ribosomal protein L7/L12
82,8398,NP_868707,43.01,4,4,1.98E5,3,2,4,Oxidation (M); Mutation,99459,ClpB protein Rhodopirellula baltica SH 1
146,24011,XP_003057685,41.68,6,6,2.73E5,1,1,1,,25825,predicted protein  Micromonas pusilla CCMP1545
146,24036,XP_003078664,41.68,11,11,2.73E5,1,1,1,,13574,Putative 40S ribosomal protein; contains C-terminal domain ISS  Ostreococcus tauri
135,24543,EAP86040.1,41.36,3,3,3.98E6,2,2,2,,49671,succinate-semialdehyde dehydrogenase [Croceibacter atlanticus HTCC2559]
184,18480,BAI71019.1,41.34,2,2,2.33E5,1,1,1,,69461,molecular chaperone [Azospirillum sp. B510]
93,24053,EJK49298,40.87,3,3,9.02E5,2,1,2,,78026,hypothetical protein THAOC_31850  Thalassiosira oceanica
59,24907,XP_003060231,40.78,4,4,2.85E6,2,2,2,,39933,predicted protein  Micromonas pusilla CCMP1545
117,9586,ETNP_120,40.46,6,6,6.49E5,3,3,3,,38127,4-aminobutyrate aminotransferase PuuE
117,9588,ETNP_160,40.46,5,5,6.49E5,3,3,3,,48455,4-aminobutyrate aminotransferase PuuE
117,25162,ETNP_160,24.85,5,5,2.66E5,1,1,1,,17275,Long-chain-fatty-acid--CoA ligase
117,25304,ETNP_100,24.85,2,2,2.66E5,1,1,1,,53662,Long-chain-fatty-acid--CoA ligase
117,25303,ETNP14_120,24.85,2,2,2.66E5,1,1,1,,53662,Long-chain-fatty-acid--CoA ligase
117,25302,ETNP_120,24.85,2,2,2.66E5,1,1,1,,53662,Long-chain-fatty-acid--CoA ligase
117,25301,ETNP_300,24.85,2,2,2.66E5,1,1,1,,53666,Long-chain-fatty-acid--CoA ligase
117,25300,ETNP_110,24.85,2,2,2.66E5,1,1,1,,53662,Long-chain-fatty-acid--CoA ligase
117,26690,ETNP_300,24.85,3,3,2.66E5,1,1,1,,25946,Long-chain-fatty-acid--CoA ligase
117,26693,ETNP_180,24.85,3,3,2.66E5,1,1,1,,33452,Porphobilinogen deaminase
117,26692,ETNP_120,24.85,3,3,2.66E5,1,1,1,,33476,Porphobilinogen deaminase
55,24067,WP_011468678.1,40.36,5,5,2.47E4,2,2,2,,59877,flagellar biosynthesis protein FliC [Saccharophagus degradans]
74,24092,EJK73666,40.09,1,1,3.41E6,4,3,4,,295143,hypothetical protein THAOC_04698 partial  Thalassiosira oceanica
113,17521,WP_011587707.1,39.67,11,11,2.18E6,3,3,3,,23659,MULTISPECIES: 30S ribosomal protein S4 [Alcanivorax]
113,17518,WP_006232362.1,39.67,11,11,2.18E6,3,3,3,,23312,30S ribosomal protein S4 [Photobacterium profundum]
113,17573,WP_012184305.1,32.82,7,7,9.84E5,2,2,2,,23894,30S ribosomal protein S4 [Salinispora arenicola]
113,17522,WP_011467465.1,39.67,11,11,2.18E6,3,3,3,,23276,30S ribosomal protein S4 [Saccharophagus degradans]
113,17520,CAI87844.1,39.67,11,11,2.18E6,3,3,3,,23483,30S ribosomal subunit protein S4 [Pseudoalteromonas haloplanktis TAC125]
113,17563,ActinobacteriaREDSEAS14_EEFFFEGA_00532,32.82,7,7,9.84E5,2,2,2,,23772,30S ribosomal protein S4
113,17562,ActinobacteriaREDSEAS09_EJKBNLBD_01677,32.82,7,7,9.84E5,2,2,2,,23772,30S ribosomal protein S4
113,17673,ADI89343.1,32.82,7,7,9.84E5,2,2,2,,23239,30S ribosomal protein S4 [Acinetobacter oleivorans DR1]
113,17668,NP_85,23.66,4,4,3.35E5,1,1,1,,23629,30S ribosomal protein S4
113,17566,NP_125,32.82,10,10,9.84E5,2,2,2,,17323,30S ribosomal protein S4
113,17571,AMC10629.1,32.82,7,7,9.84E5,2,2,2,,22751,30S ribosomal protein S4 [Lutibacter profundi]
113,17570,WP_013305168.1,32.82,7,7,9.84E5,2,2,2,,22832,30S ribosomal protein S4 [Maribacter sp. HTCC2170]
113,17671,SAR11,32.82,7,7,9.84E5,2,2,2,,23649,30S ribosomal protein S4
113,17672,WP_011371961.1,32.82,7,7,9.84E5,2,2,2,,23982,30S ribosomal protein S4 [Sulfurimonas denitrificans]
113,17572,NP_30,32.82,7,7,9.84E5,2,2,2,,23372,30S ribosomal protein S4
113,17569,NP_300,32.82,7,7,9.84E5,2,2,2,,23334,30S ribosomal protein S4
113,17568,NP_300,32.82,7,7,9.84E5,2,2,2,,23436,30S ribosomal protein S4
113,17567,NP_100,32.82,7,7,9.84E5,2,2,2,,23347,30S ribosomal protein S4
113,17574,ACY16479.1,32.82,7,7,9.84E5,2,2,2,,24451,ribosomal protein S4 [Haliangium ochraceum DSM 14365]
113,17822,NP_30,23.66,4,4,3.35E5,1,1,1,,23502,30S ribosomal protein S4
113,17821,EDP97949.1,23.66,4,4,3.35E5,1,1,1,,23103,30S ribosomal protein S4 [Kordia algicida OT-1]
113,17818,NP_30,23.66,13,13,3.35E5,1,1,1,,7485,30S ribosomal protein S4
113,17819,NP_30,23.66,12,12,3.35E5,1,1,1,,7271,30S ribosomal protein S4
113,17813,NP_85,23.66,9,9,3.35E5,1,1,1,,10252,30S ribosomal protein S4
113,17912,NP_85,23.66,8,8,3.35E5,1,1,1,,11446,30S ribosomal protein S4
113,17610,NP_30,23.66,6,6,3.35E5,1,1,1,,16277,30S ribosomal protein S4
113,17823,NP_30,23.66,4,4,3.35E5,1,1,1,,23556,30S ribosomal protein S4
113,17824,ACL65385.1,23.66,4,4,3.35E5,1,1,1,,23903,RNA-binding S4 domain protein [Anaeromyxobacter dehalogenans 2CP-1]
56,17622,WP_011219211.1,38.23,13,13,7.38E5,2,2,2,,18750,peptidoglycan-associated lipoprotein [Photobacterium profundum]
187,24054,ETNP_120,37.76,3,3,5.08E5,1,1,1,,33010,hypothetical protein
187,24057,ETNP14_120,37.76,10,10,5.08E5,1,1,1,,7819,hypothetical protein
163,25000,ETNP14_68,37.55,6,6,4.37E6,2,1,3,,34002,Adenosylhomocysteinase
94,24076,ETNP_90,36.09,4,4,3.4E6,2,1,3,,44937,Aconitate hydratase 1
48,17879,WP_013263018,35.64,3,3,2.17E6,2,2,2,,86843,RND transporter gamma proteobacterium HdN1
85,24080,XP_003055985,35.56,4,4,3.98E5,3,2,3,,72977,luminal binding heat shock protein 70  Micromonas pusilla CCMP1545
85,24096,XP_003074861,29.82,3,3,2.2E5,2,1,2,,73277,Bip Luminal binding protein precursor probable IC  Ostreococcus tauri
85,24144,ETNP_70,29.82,3,3,2.2E5,2,1,2,,53909,Chaperone protein DnaK
149,24250,ETNP_120,35.20,14,14,4.89E5,2,2,2,,14965,Trigger factor
120,25153,WP_049784877,35.19,1,1,2.37E5,1,1,1,Mutation,138818,hypothetical protein Anaerolinea thermophila
137,25149,EJK75456,34.56,1,1,1.37E7,2,2,3,,161279,hypothetical protein THAOC_02818  Thalassiosira oceanica
137,26672,ETNP14_120,25.77,10,10,1.25E7,1,1,2,,9720,Undecaprenyl phosphate N N'-diacetylbacillosamine 1-phosphate transferase
177,26675,XP_002176796,33.90,2,2,3.99E5,2,2,2,,48846,acyl-coenzyme A dehydrogenase  Phaeodactylum tricornutum CCAP 1055
50,24120,WP_041324270.1,33.56,9,9,1.52E6,2,2,2,,20288,50S ribosomal protein L5 [Saccharophagus degradans]
50,25154,ETNP14_68,33.56,9,9,1.52E6,2,2,2,,20599,50S ribosomal protein L5
17,17898,ETNP14_120,33.39,11,11,3.38E6,1,1,6,Oxidation (M),8250,hypothetical protein
235,17805,EAQ03668.1,33.27,2,2,1.14E6,1,1,1,,40288,oligopeptide/dipeptide uptake family ABC transporter  permease protein [Pseudooceanicola batsensis HTCC2597]
235,17768,EAQ03737.1,33.27,2,2,1.14E6,1,1,1,,45292,folC bifunctional protein [Pseudooceanicola batsensis HTCC2597]
391,24082,ETNP_70,33.11,4,4,2.79E8,3,2,3,Oxidation (M),70706,Chaperone protein DnaK
236,24063,ETNP_90,33.10,11,11,1.04E6,1,1,1,,8625,hypothetical protein
236,24064,ETNP_90,33.10,8,8,1.04E6,1,1,1,,11710,hypothetical protein
168,25155,CAI86879.1,32.89,31,31,9.36E5,2,2,2,,8758,acyl carrier protein [Pseudoalteromonas haloplanktis TAC125]
168,25169,WP_012518211,24.40,19,19,6.48E4,1,1,1,,8803,acyl carrier protein Alteromonadaceae
168,25168,ETNP14_120,24.40,19,19,6.48E4,1,1,1,,8803,Acyl carrier protein
168,25167,ETNP_90,24.40,19,19,6.48E4,1,1,1,,8803,Acyl carrier protein
168,26696,ETNP_120,24.40,19,19,6.48E4,1,1,1,,8807,Acyl carrier protein
188,24062,ACY16045.1,32.82,1,1,1.32E6,1,1,1,,57474,serine/threonine protein kinase [Haliangium ochraceum DSM 14365]
147,22758,WP_009779071.1,32.82,1,1,1.82E6,1,1,1,,64094,MFS transporter [Leeuwenhoekiella blandensis]
124,24055,ETNP_60,32.67,2,2,2.21E5,1,1,1,,55786,Acetolactate synthase large subunit
124,24072,ETNP_180,32.67,7,7,2.21E5,1,1,1,,12519,hypothetical protein
124,24071,ETNP_300,32.67,7,7,2.21E5,1,1,1,,12519,hypothetical protein
124,24073,ETNP_160,32.67,3,3,2.21E5,1,1,1,,28092,Bifunctional IPC transferase and DIPP synthase
237,24235,ETNP_70,32.26,4,4,1.54E5,1,1,1,,48631,60 kDa chaperonin
139,25196,ETNP14_68,32.23,2,2,6.87E5,2,2,2,,45657,Cysteine desulfurase
139,24375,ETNP14_68,32.23,1,1,6.87E5,2,2,2,,62539,Cysteine desulfurase
139,26706,ETNP_90,32.23,5,5,6.87E5,2,2,2,,19831,putative metallo-hydrolase
139,26709,ETNP_70,32.23,4,4,6.87E5,2,2,2,,23229,putative metallo-hydrolase
139,26711,ETNP_120,32.23,4,4,6.87E5,2,2,2,,24664,hypothetical protein
139,26710,ETNP_100,32.23,4,4,6.87E5,2,2,2,,24664,hypothetical protein
139,26714,ETNP14_68,32.23,3,3,6.87E5,2,2,2,,28040,3-deoxy-manno-octulosonate cytidylyltransferase
139,26720,NP_30,31.82,2,2,9.51E5,2,2,2,,39807,Glutamate-pyruvate aminotransferase AlaA
75,24083,virus_CCADEAMM_18053,32.00,1,1,1.35E7,2,2,2,,353691,hypothetical protein
963,24317,ACL65946.1,31.78,7,7,1.59E6,3,3,3,Carbamidomethylation,46331,flagellar hook-associated protein FlgK [Anaeromyxobacter dehalogenans 2CP-1]
81,24061,CAN95623.1,31.65,2,2,1.74E5,1,1,1,,84575,Collagen alpha 2(I) chain precursor [Sorangium cellulosum So ce56]
33,24087,XP_003074830,31.33,0,0,3.55E6,2,2,4,,1268732,COG3321 Polyketide synthase modules and related proteins ISS  Ostreococcus tauri
169,25199,ABE39788.1,31.25,4,4,9.51E5,2,2,2,,36458,Lysine-arginine-ornithine-binding periplasmic protein [Rhodopseudomonas palustris BisB5]
169,18043,WP_011218872.1,31.25,4,4,9.51E5,2,2,2,,36725,amino acid ABC transporter substrate-binding protein [Photobacterium profundum]
169,26731,ETNP14_68,31.25,4,4,9.51E5,2,2,2,,36302,General L-amino acid-binding periplasmic protein AapJ precursor
169,26730,WP_012563200,31.25,4,4,9.51E5,2,2,2,,36856,amino acid ABC transporter substrate-binding protein Oligotropha carboxidovorans
238,25103,ACL71539.1,31.17,2,2,2.04E6,1,1,1,,86372,heavy metal translocating P-type ATPase [Thioalkalivibrio sulfidiphilus HL-EbGr7]
190,24776,NP_100,30.90,5,5,3.53E5,1,1,1,,26123,Glyceraldehyde-3-phosphate dehydrogenase A
190,24779,NP_125,30.90,4,4,3.53E5,1,1,1,,36218,Glyceraldehyde-3-phosphate dehydrogenase A
190,24778,NP_85,30.90,4,4,3.53E5,1,1,1,,36205,Glyceraldehyde-3-phosphate dehydrogenase A
190,24777,NP_300,30.90,4,4,3.53E5,1,1,1,,36219,Glyceraldehyde-3-phosphate dehydrogenase A
239,25105,ETNP_100,30.75,4,4,1.4E6,1,1,1,,26952,hypothetical protein
162,24973,ETNP14_120,30.43,3,3,0E0,1,1,1,,35818,MMPL family protein
130,24340,ETNP14_120,29.90,3,3,2.01E6,2,2,3,,55040,Polysulphide reductase  NrfD
57,140,CAN91477.1,29.69,2,2,1.41E8,1,1,3,,56854,hypothetical protein sce1319 [Sorangium cellulosum So ce56]
96,24121,NP_125,29.57,4,4,0E0,2,1,2,,52093,ATP synthase subunit alpha
96,24122,NP_300,29.57,3,3,0E0,2,1,2,,55239,ATP synthase subunit alpha
