Cruise,Station,mon/dd/yyyy,hh:mm,Longitude [degrees east],Latitude [degrees north],Bottom Depth [m],Pressure [db],Depth (m),Temperature [degrees C],Temperature 2 [degrees C],Salinity [psu],Salinity 2 [psu],Fluorescense [mg/m^3],Beam Transmission [%],PAR,Oxygen [umol/kg],Oxygen [% saturation]
SKQ201617S,sta013,12/29/16,4:05,-104.55588,16.81568,3141,40.243,39.86823856,26.0489,26.0473,34.3671,34.3757,1.81E-01,96.2033,1.14E-02,220.042,107.846
SKQ201617S,sta013,12/29/16,4:05,-104.55586,16.81568,3141,41.249,40.86487022,25.6424,25.642,34.3854,34.394,1.89E-01,96.2517,1.15E-02,221.918,108.051
SKQ201617S,sta013,12/29/16,4:05,-104.55586,16.81568,3141,42.255,41.86150188,25.5719,25.5719,34.3836,34.3925,1.95E-01,96.2477,1.14E-02,221.65,107.793
SKQ201617S,sta013,12/29/16,4:05,-104.55586,16.81568,3141,43.261,42.85813354,25.4817,25.4817,34.3788,34.3869,2.10E-01,96.2118,1.11E-02,220.431,107.036
SKQ201617S,sta013,12/29/16,4:05,-104.55586,16.81568,3141,44.267,43.85476521,25.101,25.0993,34.385,34.3933,2.08E-01,96.1796,1.06E-02,221.796,107.022
SKQ201617S,sta013,12/29/16,4:05,-104.55586,16.81568,3141,45.274,44.85238756,25.0102,25.0093,34.3866,34.3952,2.12E-01,96.198,1.03E-02,221.977,106.948
SKQ201617S,sta013,12/29/16,4:05,-104.55585,16.81568,3141,46.28,45.84901922,24.9892,24.9883,34.3845,34.393,2.10E-01,96.1878,1.03E-02,221.805,106.826
SKQ201617S,sta013,12/29/16,4:05,-104.55584,16.81568,3141,47.286,46.84565088,24.9634,24.9622,34.3834,34.3921,2.14E-01,96.1922,9.83E-03,220.806,106.299
SKQ201617S,sta013,12/29/16,4:05,-104.55584,16.81568,3141,48.292,47.84228254,24.776,24.7783,34.3779,34.3869,2.28E-01,96.1765,9.95E-03,218.99,105.089
SKQ201617S,sta013,12/29/16,4:05,-104.55584,16.81568,3141,49.298,48.83891421,24.2841,24.2865,34.3859,34.3933,2.41E-01,96.1516,1.00E-02,218.943,104.205
SKQ201617S,sta013,12/29/16,4:05,-104.55584,16.81568,3141,50.305,49.83653656,24.0305,24.0286,34.3894,34.3983,2.40E-01,96.1915,1.00E-02,217.804,103.221
SKQ201617S,sta013,12/29/16,4:05,-104.55583,16.81568,3141,51.311,50.83316822,23.9037,23.9008,34.3907,34.399,2.61E-01,96.1044,9.87E-03,217.591,102.899
SKQ201617S,sta013,12/29/16,4:05,-104.55582,16.81568,3141,52.317,51.82979988,23.8305,23.8256,34.3897,34.3984,2.76E-01,96.0996,9.89E-03,216.995,102.489
SKQ201617S,sta013,12/29/16,4:05,-104.55582,16.81568,3141,53.323,52.82643154,23.7592,23.7623,34.388,34.3965,2.82E-01,96.0673,9.89E-03,216.267,102.02
SKQ201617S,sta013,12/29/16,4:05,-104.55582,16.81568,3141,54.329,53.82306321,23.676,23.6751,34.3869,34.3954,2.87E-01,96.1083,9.87E-03,215.543,101.533
SKQ201617S,sta013,12/29/16,4:05,-104.55582,16.81568,3141,55.336,54.82068556,23.5681,23.5684,34.3864,34.395,3.10E-01,96.0838,9.81E-03,215.374,101.266
SKQ201617S,sta013,12/29/16,4:05,-104.55582,16.81568,3141,56.342,55.81731722,23.4928,23.493,34.3852,34.3938,3.24E-01,96.0341,9.74E-03,214.523,100.735
SKQ201617S,sta013,12/29/16,4:05,-104.55582,16.81568,3141,57.348,56.81394888,23.3002,23.3025,34.3813,34.3894,3.56E-01,95.9931,9.86E-03,210.836,98.677
SKQ201617S,sta013,12/29/16,4:05,-104.55582,16.81568,3141,58.354,57.81058054,22.6691,22.6654,34.3863,34.3963,5.19E-01,95.8706,9.83E-03,201.961,93.508
SKQ201617S,sta013,12/29/16,4:05,-104.5558,16.81568,3141,59.361,58.80820289,21.9014,21.9049,34.4013,34.4108,1.14E+00,95.1675,9.81E-03,190.69,87.121
SKQ201617S,sta013,12/29/16,4:05,-104.5558,16.81568,3141,60.367,59.80483456,21.5533,21.5509,34.4088,34.4185,1.42E+00,94.8534,9.71E-03,185.576,84.269
SKQ201617S,sta013,12/29/16,4:05,-104.5558,16.81568,3141,61.373,60.80146622,21.4824,21.4816,34.4077,34.4159,1.39E+00,94.9209,9.70E-03,180.253,81.749
SKQ201617S,sta013,12/29/16,4:05,-104.5558,16.81568,3141,62.38,61.79908857,21.2699,21.2727,34.4112,34.4208,1.40E+00,94.8762,9.37E-03,172.733,78.046
SKQ201617S,sta013,12/29/16,4:05,-104.5558,16.81568,3141,63.386,62.79572023,21.1608,21.1613,34.416,34.4241,1.47E+00,94.7747,9.34E-03,165.987,74.855
SKQ201617S,sta013,12/29/16,4:05,-104.5558,16.81568,3141,64.392,63.79235189,20.9797,20.9868,34.4239,34.4315,1.45E+00,94.6991,9.26E-03,155.299,69.816
SKQ201617S,sta013,12/29/16,4:05,-104.5558,16.81568,3141,65.398,64.78898355,20.9853,21.1053,34.4322,34.4279,1.66E+00,94.828,9.37E-03,158.034,71.05
SKQ201617S,sta013,12/29/16,4:05,-104.5558,16.81568,3141,66.405,65.7866059,20.2748,20.3467,34.4452,34.4521,1.31E+00,94.9075,9.85E-03,120.198,53.36
SKQ201617S,sta013,12/29/16,4:05,-104.55578,16.81568,3141,67.411,66.78323757,20.0169,20.0171,34.469,34.4778,1.23E+00,95.2155,9.78E-03,117.603,51.979
SKQ201617S,sta013,12/29/16,4:05,-104.55578,16.81568,3141,68.417,67.77986923,19.9229,19.923,34.4709,34.4794,1.27E+00,95.3172,9.70E-03,112.593,49.681
SKQ201617S,sta013,12/29/16,4:05,-104.55578,16.81568,3141,69.423,68.77650089,19.7281,19.7291,34.4738,34.4806,1.22E+00,95.4162,9.73E-03,107.128,47.104
SKQ201617S,sta013,12/29/16,4:05,-104.55578,16.81568,3141,70.43,69.77412324,19.6216,19.6205,34.4746,34.4812,1.23E+00,95.4938,9.73E-03,104.398,45.814
SKQ201617S,sta013,12/29/16,4:05,-104.55578,16.81568,3141,71.436,70.7707549,19.5331,19.5346,34.4728,34.4803,1.09E+00,95.522,9.64E-03,97.939,42.911
SKQ201617S,sta013,12/29/16,4:05,-104.55578,16.81568,3141,72.443,71.76837725,19.2002,19.1992,34.4744,34.482,9.60E-01,95.4777,9.47E-03,89.044,38.779
SKQ201617S,sta013,12/29/16,4:05,-104.55578,16.81568,3141,73.449,72.76500892,18.8778,18.8781,34.4772,34.4846,9.22E-01,95.3815,9.25E-03,86.623,37.5
SKQ201617S,sta013,12/29/16,4:05,-104.55577,16.81568,3141,74.455,73.76164058,18.7232,18.7286,34.4635,34.4697,8.61E-01,95.8718,9.21E-03,87.302,37.683
SKQ201617S,sta013,12/29/16,4:05,-104.55578,16.81568,3141,75.461,74.75827224,18.509,18.5083,34.4541,34.4622,8.58E-01,95.9553,9.43E-03,81.952,35.233
SKQ201617S,sta013,12/29/16,4:05,-104.55576,16.81568,3141,76.468,75.75589459,18.3845,18.3818,34.4722,34.4813,7.90E-01,96.0452,9.43E-03,73.907,31.704
SKQ201617S,sta013,12/29/16,4:05,-104.55576,16.81568,3141,77.474,76.75252625,18.3112,18.3102,34.4849,34.4928,7.18E-01,96.1478,9.62E-03,67.378,28.867
SKQ201617S,sta013,12/29/16,4:05,-104.55576,16.81568,3141,78.481,77.7501486,18.1608,18.1606,34.4891,34.4965,6.22E-01,96.2951,9.63E-03,65.996,28.196
SKQ201617S,sta013,12/29/16,4:05,-104.55576,16.81568,3141,79.487,78.74678027,18.1253,18.1232,34.4841,34.4918,6.13E-01,96.307,9.50E-03,66.63,28.447
SKQ201617S,sta013,12/29/16,4:05,-104.55576,16.81568,3141,80.493,79.74341193,17.9972,17.9967,34.4755,34.4834,6.16E-01,96.3157,9.49E-03,67.29,28.659
SKQ201617S,sta013,12/29/16,4:05,-104.55576,16.81568,3141,81.5,80.74103428,17.888,17.8878,34.4712,34.4796,6.23E-01,96.3723,9.47E-03,66.485,28.257
SKQ201617S,sta013,12/29/16,4:05,-104.55575,16.81568,3141,82.506,81.73766594,17.8166,17.8157,34.4688,34.4769,6.78E-01,96.255,9.29E-03,65.153,27.654
SKQ201617S,sta013,12/29/16,4:05,-104.55574,16.81568,3141,83.512,82.7342976,17.7195,17.7195,34.4691,34.4772,6.23E-01,96.2691,9.50E-03,63.763,27.014
SKQ201617S,sta013,12/29/16,4:05,-104.55574,16.81568,3141,84.519,83.73191995,17.6365,17.6358,34.4707,34.4798,5.87E-01,96.3895,9.27E-03,59.549,25.191
SKQ201617S,sta013,12/29/16,4:05,-104.55574,16.81568,3141,85.525,84.72855161,17.4346,17.4345,34.4905,34.4986,5.20E-01,96.4377,9.13E-03,52.328,22.054
SKQ201617S,sta013,12/29/16,4:05,-104.55574,16.81568,3141,86.532,85.72617396,17.2953,17.2953,34.5073,34.5153,4.65E-01,96.4757,8.96E-03,46.498,19.548
SKQ201617S,sta013,12/29/16,4:05,-104.55574,16.81568,3141,87.538,86.72280563,17.1317,17.1284,34.5211,34.5295,4.32E-01,96.6127,8.76E-03,40.604,17.02
SKQ201617S,sta013,12/29/16,4:05,-104.55574,16.81568,3141,88.544,87.71943729,16.9066,16.9094,34.551,34.5588,3.96E-01,96.7622,8.80E-03,31.163,13.01
SKQ201617S,sta013,12/29/16,4:05,-104.55574,16.81568,3141,89.55,88.71606895,16.4887,16.4887,34.6115,34.6191,3.29E-01,96.8695,8.80E-03,17.738,7.35
SKQ201617S,sta013,12/29/16,4:05,-104.55573,16.81568,3141,90.557,89.7136913,16.3118,16.3123,34.6367,34.6441,2.71E-01,96.9791,8.65E-03,15.774,6.514
SKQ201617S,sta013,12/29/16,4:05,-104.55572,16.81568,3141,91.563,90.71032296,16.2667,16.2651,34.6342,34.643,2.86E-01,97.016,8.65E-03,15.663,6.463
SKQ201617S,sta013,12/29/16,4:05,-104.55572,16.81568,3141,92.57,91.70794531,16.1467,16.1459,34.6338,34.6421,2.78E-01,96.9844,8.48E-03,14.218,5.853
SKQ201617S,sta013,12/29/16,4:05,-104.55572,16.81568,3141,93.576,92.70457698,16.055,16.0549,34.6448,34.6527,2.55E-01,97.0239,8.50E-03,13.097,5.382
SKQ201617S,sta013,12/29/16,4:05,-104.55572,16.81568,3141,94.583,93.70219933,16.0396,16.0396,34.6463,34.6544,2.68E-01,97.0277,8.46E-03,12.477,5.126
SKQ201617S,sta013,12/29/16,4:05,-104.55572,16.81568,3141,95.589,94.69883099,16.0059,16.0074,34.6499,34.6589,3.08E-01,97.0139,8.46E-03,11.525,4.732
SKQ201617S,sta013,12/29/16,4:05,-104.55572,16.81568,3141,96.595,95.69546265,15.9278,15.9292,34.6527,34.6605,2.70E-01,97.083,8.41E-03,10.773,4.416
SKQ201617S,sta013,12/29/16,4:05,-104.55572,16.81568,3141,97.602,96.693085,15.9077,15.9076,34.6548,34.6627,2.48E-01,97.1365,8.38E-03,10.192,4.177
SKQ201617S,sta013,12/29/16,4:05,-104.55572,16.81568,3141,98.608,97.68971666,15.8825,15.8827,34.6579,34.6658,2.30E-01,97.2574,8.46E-03,9.818,4.022
SKQ201617S,sta013,12/29/16,4:05,-104.55572,16.81568,3141,99.615,98.68733901,15.8691,15.8692,34.6585,34.6664,2.37E-01,97.4384,8.42E-03,9.631,3.944
SKQ201617S,sta013,12/29/16,4:05,-104.5557,16.81568,3141,100.621,99.68397068,15.8372,15.8507,34.6611,34.6684,2.96E-01,97.2753,8.45E-03,9.216,3.772
SKQ201617S,sta013,12/29/16,4:05,-104.5557,16.81566,3141,101.628,100.681593,15.8037,15.8057,34.6658,34.6732,2.42E-01,97.0696,8.43E-03,8.307,3.398
SKQ201617S,sta013,12/29/16,4:05,-104.5557,16.81566,3141,102.634,101.6782247,15.7709,15.7706,34.6705,34.6784,2.33E-01,97.094,8.25E-03,7.658,3.13
SKQ201617S,sta013,12/29/16,4:05,-104.5557,16.81566,3141,103.641,102.675847,15.7303,15.7291,34.6751,34.6836,2.46E-01,96.898,8.08E-03,7.067,2.887
SKQ201617S,sta013,12/29/16,4:05,-104.5557,16.81568,3141,104.647,103.6724787,15.6886,15.6883,34.6805,34.6886,2.33E-01,97.088,7.99E-03,6.227,2.541
SKQ201617S,sta013,12/29/16,4:05,-104.5557,16.81568,3141,105.654,104.6701011,15.6424,15.6416,34.6886,34.6966,2.23E-01,97.1028,7.99E-03,5.074,2.069
SKQ201617S,sta013,12/29/16,4:05,-104.5557,16.81567,3141,106.66,105.6667327,15.5561,15.5532,34.7045,34.7125,2.11E-01,97.0599,7.87E-03,3.289,1.339
SKQ201617S,sta013,12/29/16,4:05,-104.5557,16.81566,3141,107.667,106.6643551,15.4349,15.4345,34.7268,34.7343,1.94E-01,97.139,7.58E-03,2.063,0.838
SKQ201617S,sta013,12/29/16,4:05,-104.5557,16.81566,3141,108.673,107.6609867,15.263,15.2624,34.7385,34.7463,1.97E-01,97.1394,7.67E-03,2.106,0.853
SKQ201617S,sta013,12/29/16,4:05,-104.55568,16.81566,3141,109.68,108.6586091,15.0622,15.0605,34.7358,34.7438,1.78E-01,97.1514,7.60E-03,2.129,0.859
SKQ201617S,sta013,12/29/16,4:05,-104.55568,16.81566,3141,110.686,109.6552407,14.9163,14.9152,34.7371,34.7445,1.63E-01,97.1767,7.16E-03,1.921,0.772
SKQ201617S,sta013,12/29/16,4:05,-104.55568,16.81566,3141,111.693,110.6528631,14.7852,14.7844,34.7434,34.7516,1.67E-01,97.1569,7.33E-03,1.626,0.652
SKQ201617S,sta013,12/29/16,4:05,-104.55568,16.81566,3141,112.699,111.6494947,14.6754,14.6754,34.7508,34.7583,1.68E-01,97.0967,7.16E-03,1.524,0.61
SKQ201617S,sta013,12/29/16,4:05,-104.55568,16.81566,3141,113.706,112.6471171,14.6502,14.6499,34.7491,34.7567,1.64E-01,97.154,7.21E-03,1.38,0.552
SKQ201617S,sta013,12/29/16,4:05,-104.55568,16.81566,3141,114.712,113.6437488,14.6302,14.6302,34.7481,34.7556,1.59E-01,97.1622,7.11E-03,1.346,0.539
SKQ201617S,sta013,12/29/16,4:05,-104.55568,16.81566,3141,115.719,114.6413711,14.5751,14.5747,34.7481,34.7556,1.66E-01,97.1603,7.11E-03,1.258,0.503
SKQ201617S,sta013,12/29/16,4:05,-104.55568,16.81566,3141,116.725,115.6380028,14.48,14.4793,34.7538,34.7612,1.97E-01,97.0741,7.05E-03,1.184,0.472
SKQ201617S,sta013,12/29/16,4:05,-104.55568,16.81566,3141,117.732,116.6356251,14.3741,14.3736,34.7591,34.7666,2.49E-01,96.9824,7.00E-03,1.048,0.417
SKQ201617S,sta013,12/29/16,4:05,-104.55568,16.81566,3141,118.738,117.6322568,14.3295,14.3296,34.7615,34.7688,2.68E-01,96.9685,7.05E-03,1.033,0.411
SKQ201617S,sta013,12/29/16,4:05,-104.55568,16.81566,3141,119.745,118.6298791,14.2555,14.2552,34.7795,34.787,3.92E-01,96.9101,6.99E-03,1.05,0.417
SKQ201617S,sta013,12/29/16,4:05,-104.55568,16.81566,3141,120.751,119.6265108,14.2152,14.2152,34.7941,34.8015,4.95E-01,96.7333,7.00E-03,1.048,0.416
SKQ201617S,sta013,12/29/16,4:05,-104.55568,16.81566,3141,121.758,120.6241331,14.1832,14.1833,34.7996,34.8069,5.36E-01,96.5278,6.87E-03,0.991,0.393
SKQ201617S,sta013,12/29/16,4:05,-104.55568,16.81566,3141,122.765,121.6217555,14.1674,14.1673,34.8009,34.8083,5.41E-01,96.5676,6.95E-03,0.886,0.351
SKQ201617S,sta013,12/29/16,4:05,-104.55568,16.81566,3141,123.771,122.6183872,14.153,14.153,34.8011,34.8084,5.11E-01,96.5352,6.75E-03,0.923,0.366
SKQ201617S,sta013,12/29/16,4:05,-104.55568,16.81566,3141,124.778,123.6160095,14.1375,14.1373,34.7985,34.8058,5.01E-01,96.5626,6.61E-03,0.955,0.378
SKQ201617S,sta013,12/29/16,4:05,-104.55568,16.81566,3141,125.784,124.6126412,14.0774,14.0764,34.7986,34.8065,4.61E-01,96.5892,6.36E-03,0.948,0.375
SKQ201617S,sta013,12/29/16,4:05,-104.55568,16.81566,3141,126.791,125.6102635,14.0294,14.0287,34.8023,34.8099,4.49E-01,96.6053,5.94E-03,0.949,0.375
SKQ201617S,sta013,12/29/16,4:05,-104.55568,16.81566,3141,127.797,126.6068952,13.9861,13.9856,34.801,34.8087,4.48E-01,96.5522,5.89E-03,0.95,0.375
SKQ201617S,sta013,12/29/16,4:05,-104.55568,16.81566,3141,128.804,127.6045175,13.8968,13.8978,34.8065,34.814,4.11E-01,96.6033,6.07E-03,0.937,0.369
SKQ201617S,sta013,12/29/16,4:05,-104.55568,16.81566,3141,129.811,128.6021399,13.8415,13.8393,34.8157,34.8223,3.71E-01,96.6474,6.19E-03,0.921,0.363
SKQ201617S,sta013,12/29/16,4:05,-104.55567,16.81566,3141,130.817,129.5987715,13.8076,13.8065,34.8108,34.8183,3.52E-01,96.654,5.91E-03,0.858,0.338
SKQ201617S,sta013,12/29/16,4:05,-104.55566,16.81566,3141,131.824,130.5963939,13.7847,13.7862,34.8083,34.8158,3.38E-01,96.6711,5.88E-03,0.836,0.329
SKQ201617S,sta013,12/29/16,4:05,-104.55566,16.81566,3141,132.83,131.5930256,13.7751,13.7753,34.8072,34.8147,3.27E-01,96.6833,5.78E-03,0.794,0.312
SKQ201617S,sta013,12/29/16,4:05,-104.55566,16.81566,3141,133.837,132.5906479,13.7563,13.7566,34.8057,34.8131,3.22E-01,96.6826,5.71E-03,0.847,0.333
SKQ201617S,sta013,12/29/16,4:05,-104.55566,16.81566,3141,134.844,133.5882703,13.7231,13.722,34.8035,34.8111,3.12E-01,96.6994,5.71E-03,0.804,0.316
SKQ201617S,sta013,12/29/16,4:05,-104.55566,16.81566,3141,135.85,134.5849019,13.6685,13.6684,34.8011,34.8085,2.98E-01,96.7172,5.77E-03,0.837,0.329
SKQ201617S,sta013,12/29/16,4:05,-104.55566,16.81566,3141,136.857,135.5825243,13.607,13.6065,34.8001,34.8076,2.74E-01,96.7472,5.65E-03,0.804,0.315
SKQ201617S,sta013,12/29/16,4:05,-104.55566,16.81566,3141,137.864,136.5801466,13.5751,13.5748,34.8019,34.8093,2.59E-01,96.7487,5.65E-03,0.816,0.32
SKQ201617S,sta013,12/29/16,4:05,-104.55566,16.81566,3141,138.87,137.5767783,13.5529,13.5525,34.8026,34.8101,2.55E-01,96.7548,5.65E-03,0.819,0.321
SKQ201617S,sta013,12/29/16,4:05,-104.55566,16.81566,3141,139.877,138.5744006,13.4728,13.4709,34.8116,34.8193,2.20E-01,96.7529,5.59E-03,0.814,0.319
SKQ201617S,sta013,12/29/16,4:05,-104.55566,16.81566,3141,140.884,139.572023,13.447,13.4471,34.8195,34.8268,2.00E-01,96.759,5.65E-03,0.815,0.319
SKQ201617S,sta013,12/29/16,4:05,-104.55566,16.81566,3141,141.89,140.5686546,13.4484,13.4486,34.8189,34.8264,1.98E-01,96.7807,5.65E-03,0.823,0.322
SKQ201617S,sta013,12/29/16,4:05,-104.55566,16.81566,3141,142.897,141.566277,13.4489,13.4492,34.8193,34.8269,2.01E-01,96.7651,5.65E-03,0.806,0.315
SKQ201617S,sta013,12/29/16,4:05,-104.55566,16.81566,3141,143.904,142.5638993,13.4141,13.4133,34.8253,34.833,1.81E-01,96.7618,5.46E-03,0.793,0.31
SKQ201617S,sta013,12/29/16,4:05,-104.55566,16.81566,3141,144.91,143.560531,13.381,13.3808,34.8272,34.8347,1.62E-01,96.7847,5.49E-03,0.783,0.306
SKQ201617S,sta013,12/29/16,4:05,-104.55566,16.81566,3141,145.917,144.5581534,13.3711,13.3712,34.8285,34.8359,1.53E-01,96.7883,5.38E-03,0.746,0.291
SKQ201617S,sta013,12/29/16,4:05,-104.55566,16.81566,3141,146.924,145.5557757,13.3615,13.3615,34.8287,34.8362,1.51E-01,96.8152,5.07E-03,0.775,0.303
SKQ201617S,sta013,12/29/16,4:05,-104.55566,16.81566,3141,147.93,146.5524074,13.3368,13.3364,34.8282,34.8358,1.45E-01,96.8075,4.99E-03,0.681,0.265
SKQ201617S,sta013,12/29/16,4:05,-104.55566,16.81566,3141,148.937,147.5500297,13.2956,13.295,34.8294,34.8372,1.38E-01,96.8053,5.18E-03,0.713,0.278
SKQ201617S,sta013,12/29/16,4:05,-104.55566,16.81566,3141,149.944,148.5476521,13.2706,13.2703,34.8304,34.838,1.32E-01,96.774,4.63E-03,0.698,0.272
