Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 233_JA4_265m_0.3_SKQ17_P2,Area 233_JA4_265m_0.3_SKQ17_P2,#Peptides,#Unique,#Spec 233_JA4_265m_0.3_SKQ17_P2,PTM,Avg. Mass,Description
68,392766,ETNP_160m_PROKKA_170189,138.75,72,72,2.97E4,12,1,12,Oxidation (M),18459,Selenate reductase subunit gamma precursor
74,404141,NP_100m_PROKKA_08459,138.31,31,31,9.09E6,13,13,14,Carbamidomethylation; Oxidation (M),50268,Aliphatic amidase expression-regulating protein
74,404142,NP_125m_PROKKA_07093,138.31,31,31,9.09E6,13,13,14,Carbamidomethylation; Oxidation (M),50268,Aliphatic amidase expression-regulating protein
74,404143,ETNP_110m_PROKKA_49243,138.31,33,33,9.09E6,13,13,14,Carbamidomethylation; Oxidation (M),47623,Aliphatic amidase expression-regulating protein
61,392571,NP_300m_PROKKA_08503,137.84,27,27,3.76E7,11,9,16,Carbamidomethylation,39772,Alpha-keto acid-binding periplasmic protein TakP precursor
61,392572,ETNP_120m_PROKKA_310245,137.84,27,27,3.76E7,11,9,16,Carbamidomethylation,39772,Alpha-keto acid-binding periplasmic protein TakP precursor
61,392573,ETNP_120m_particle_PROKKA_108393,137.84,27,27,3.76E7,11,9,16,Carbamidomethylation,39772,Alpha-keto acid-binding periplasmic protein TakP precursor
61,392574,ETNP_110m_PROKKA_29371,137.84,27,27,3.76E7,11,9,16,Carbamidomethylation,39772,Alpha-keto acid-binding periplasmic protein TakP precursor
51,225,WP_018047897,134.97,20,20,2.98E6,11,4,14,Oxidation (M),36029,hypothetical protein Nitrospina sp AB-629-B18
65,404163,NP_300m_PROKKA_05831,134.87,26,26,7.86E5,11,3,12,Carbamidomethylation,39400,Leu/Ile/Val/Thr-binding protein precursor
47,392330,ETNP14_120maa_PROKKA_40215,133.04,5,5,1.56E6,12,1,12,Carbamidomethylation,181476,Multicopper oxidase
64,404307,ETNP_110m_PROKKA_49452,128.85,71,71,3.53E6,9,7,11,,8047,hypothetical protein
64,404308,ETNP_100m_particle_PROKKA_44805,128.85,71,71,3.53E6,9,7,11,,8047,hypothetical protein
64,404309,ETNP14_120maa_PROKKA_47014,128.85,71,71,3.53E6,9,7,11,,8047,hypothetical protein
64,393736,NP_300m_PROKKA_10490,128.85,71,71,3.53E6,9,7,11,,8047,hypothetical protein
45,404176,ETNP14_120maa_PROKKA_108374,126.55,32,32,3.51E5,15,3,15,Carbamidomethylation,40014,Alpha-keto acid-binding periplasmic protein TakP precursor
45,404177,NP_300m_PROKKA_20973,126.55,32,32,3.51E5,15,3,15,Carbamidomethylation,40155,Alpha-keto acid-binding periplasmic protein TakP precursor
42,392222,ETNP_180m_PROKKA_81155,124.77,15,15,3.81E6,16,5,17,,81192,Multicopper oxidase
69,404172,ETNP_180m_PROKKA_117948,123.99,8,8,3.21E5,9,3,10,,113871,Respiratory nitrate reductase 1 alpha chain
27,392094,NP_100m_PROKKA_12960,122.53,42,42,2.14E4,19,1,28,,35769,General L-amino acid-binding periplasmic protein AapJ precursor
86,404248,ETNP_300m_PROKKA_180110,122.10,75,75,6.71E6,5,4,8,,7330,Cold shock protein CspA
86,404250,ETNP_160m_PROKKA_40429,122.10,75,75,6.71E6,5,4,8,,7344,Cold shock protein CspA
131,404166,ETNP_120m_free_PROKKA_18752,120.66,14,14,1.95E6,6,6,8,,76274,putative ABC transporter-binding protein precursor
131,404167,ETNP_180m_PROKKA_37902,120.66,14,14,1.95E6,6,6,8,,76290,putative ABC transporter-binding protein precursor
131,404168,ETNP_160m_PROKKA_06630,120.66,28,28,1.95E6,6,6,8,,39616,Periplasmic dipeptide transport protein precursor
136,393576,ETNP_120m_free_PROKKA_182392,117.76,18,18,3.65E5,5,2,5,Carbamidomethylation,34119,glycine betaine transporter periplasmic subunit
136,393577,ETNP_180m_PROKKA_61735,117.76,17,17,3.65E5,5,2,5,Carbamidomethylation,36437,glycine betaine transporter periplasmic subunit
136,393578,ETNP_120m_PROKKA_150239,117.76,17,17,3.65E5,5,2,5,Carbamidomethylation,36437,glycine betaine transporter periplasmic subunit
136,393579,NP_300m_PROKKA_22777,117.76,17,17,3.65E5,5,2,5,Carbamidomethylation,36437,glycine betaine transporter periplasmic subunit
136,393580,ETNP_300m_PROKKA_25221,117.76,17,17,3.65E5,5,2,5,Carbamidomethylation,36437,glycine betaine transporter periplasmic subunit
136,393581,ETNP_160m_PROKKA_158752,117.76,17,17,3.65E5,5,2,5,Carbamidomethylation,36437,glycine betaine transporter periplasmic subunit
96,404173,ETNP14_120maa_PROKKA_184116,116.51,21,21,2.52E6,9,6,9,,37084,General L-amino acid-binding periplasmic protein AapJ precursor
96,404174,ETNP_160m_PROKKA_72896,116.51,21,21,2.52E6,9,6,9,,37084,General L-amino acid-binding periplasmic protein AapJ precursor
96,404175,ETNP_180m_PROKKA_176133,116.51,21,21,2.52E6,9,6,9,,37084,General L-amino acid-binding periplasmic protein AapJ precursor
84,404214,NP_100m_PROKKA_03094,115.85,22,22,3.37E4,9,2,9,Carbamidomethylation,39587,Leu/Ile/Val/Thr-binding protein precursor
55,392098,NP_85m_PROKKA_04529,115.22,19,19,1.29E7,9,4,13,Carbamidomethylation; Oxidation (M),49419,Selenate reductase subunit beta
55,392099,ETNP14_68maa_PROKKA_75202,115.22,19,19,1.29E7,9,4,13,Carbamidomethylation; Oxidation (M),49437,Selenate reductase subunit beta
55,36,WP_018047899,115.22,19,19,1.29E7,9,4,13,Carbamidomethylation; Oxidation (M),49419,hypothetical protein Nitrospina sp AB-629-B18
92,393323,ETNP_140m_PROKKA_10835,113.99,16,16,3.51E6,6,6,9,Deamidation (NQ),66680,putative ABC transporter-binding protein precursor
92,393324,NP_300m_PROKKA_04737,113.99,13,13,3.51E6,6,6,9,Deamidation (NQ),77292,putative ABC transporter-binding protein precursor
92,393325,ETNP_120m_particle_PROKKA_76508,113.99,13,13,3.51E6,6,6,9,Deamidation (NQ),77292,putative ABC transporter-binding protein precursor
135,392226,gi|1694830452,113.44,18,18,2.15E6,6,4,8,,41658,gamma actin  partial [Aspergillus loretoensis]
135,392227,gi|1576969351,113.44,17,17,2.15E6,6,4,8,,42798,hypothetical protein I1G_00004902 [Pochonia chlamydosporia 123]
121,404185,NP_300m_PROKKA_17695,112.92,16,16,4.33E6,5,4,8,,54413,Periplasmic dipeptide transport protein precursor
217,404187,ETNP_160m_PROKKA_33443,110.78,13,13,2.08E6,5,5,5,Carbamidomethylation,46381,Isoquinoline 1-oxidoreductase subunit beta
217,404188,ETNP_120m_PROKKA_44835,110.78,8,8,2.08E6,5,5,5,Carbamidomethylation,79540,Isoquinoline 1-oxidoreductase subunit beta
217,404189,ETNP_120m_free_PROKKA_29240,110.78,8,8,2.08E6,5,5,5,Carbamidomethylation,79540,Isoquinoline 1-oxidoreductase subunit beta
66,392734,NP_300m_PROKKA_31612,110.70,32,32,2.55E6,9,5,10,Carbamidomethylation,35624,General L-amino acid-binding periplasmic protein AapJ precursor
93,404445,NP_85m_PROKKA_29809,108.42,47,47,1.32E6,9,6,9,Oxidation (M),8869,DNA-binding protein HU-beta
93,404446,ETNP_140m_PROKKA_11123,108.42,47,47,1.32E6,9,6,9,Oxidation (M),8905,DNA-binding protein HU-beta
93,404447,ETNP14_120mab_PROKKA_162942,108.42,47,47,1.32E6,9,6,9,Oxidation (M),8869,DNA-binding protein HU-beta
93,404448,ETNP_120m_free_PROKKA_163264,108.42,47,47,1.32E6,9,6,9,Oxidation (M),8905,DNA-binding protein HU-beta
93,404449,NP_300m_PROKKA_19658,108.42,47,47,1.32E6,9,6,9,Oxidation (M),8905,DNA-binding protein HU-beta
134,392786,ETNP_180m_PROKKA_188109,107.91,15,15,8.7E5,7,2,7,,39732,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
134,392787,ETNP_300m_PROKKA_143254,107.91,15,15,8.7E5,7,2,7,,39732,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
134,392788,ETNP_160m_PROKKA_43723,107.91,15,15,8.7E5,7,2,7,,39732,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
49,393772,ETNP_120m_PROKKA_74307,105.33,30,30,1.03E5,13,1,13,Carbamidomethylation,40322,Alpha-keto acid-binding periplasmic protein TakP precursor
60,393329,NP_85m_PROKKA_09331,104.53,22,22,7.53E5,8,6,8,,40252,Bacterial extracellular solute-binding protein
60,393330,ETNP14_68maa_PROKKA_113506,104.53,22,22,7.53E5,8,6,8,,40252,Bacterial extracellular solute-binding protein
60,393331,SAR11cell_DLNKFFIG_09563,104.53,22,22,7.53E5,8,6,8,,40222,hypothetical protein
60,393332,SAR11cell_DLNKFFIG_09927,104.53,22,22,7.53E5,8,6,8,,40252,hypothetical protein
60,393333,NP_300m_PROKKA_27730,104.53,22,22,7.53E5,8,6,8,,40252,Bacterial extracellular solute-binding protein
129,392648,ETNP_140m_PROKKA_09993,103.75,10,10,3.78E4,6,1,8,,58218,60 kDa chaperonin
129,392649,ETNP_120m_PROKKA_273782,103.75,10,10,3.78E4,6,1,8,,58218,60 kDa chaperonin
129,392650,NP_300m_PROKKA_13154,103.75,10,10,3.78E4,6,1,8,,58218,60 kDa chaperonin
78,31,XP_003062500,103.64,14,14,1.03E5,9,2,9,,49730,alpha tubulin  Micromonas pusilla CCMP1545
78,32,XP_003058621,103.64,14,14,1.03E5,9,2,9,,49730,alpha tubulin  Micromonas pusilla CCMP1545
78,37,XP_003082284,103.64,14,14,1.03E5,9,2,9,,50099,TBA_CHLVU Tubulin alpha chain ISS  Ostreococcus tauri
78,33,XP_003080933,103.64,14,14,1.03E5,9,2,9,,52460,TBA_CHLVU Tubulin alpha chain ISS  Ostreococcus tauri
57,404195,NP_85m_PROKKA_02682,102.95,22,22,1.99E6,11,7,12,Oxidation (M),39975,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
57,404196,NP_125m_PROKKA_00202,102.95,22,22,1.99E6,11,7,12,Oxidation (M),39975,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
57,404197,ETNP_120m_particle_PROKKA_184419,102.95,22,22,1.99E6,11,7,12,Oxidation (M),39975,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
57,404198,ETNP14_120maa_PROKKA_07471,102.95,22,22,1.99E6,11,7,12,Oxidation (M),39975,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
57,404199,NP_100m_PROKKA_00367,102.95,22,22,1.99E6,11,7,12,Oxidation (M),39975,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
57,404200,ETNP_110m_PROKKA_38395,102.95,22,22,1.99E6,11,7,12,Oxidation (M),39975,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
57,404201,ETNP_100m_particle_PROKKA_40531,102.95,22,22,1.99E6,11,7,12,Oxidation (M),39975,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
181,404239,ETNP_160m_PROKKA_29894,102.73,45,45,1.73E5,6,1,6,,12987,Phasin protein
44,392171,ETNP14_120maa_PROKKA_173526,100.80,36,36,0E0,11,1,19,,22868,General L-amino acid-binding periplasmic protein AapJ precursor
125,393944,ETNP_120m_PROKKA_189903,100.80,19,19,1.71E6,4,4,4,Carbamidomethylation,17587,hypothetical protein
59,393981,ETNP_120m_free_PROKKA_24898,100.47,24,24,3.21E6,9,2,13,,38564,Alpha-keto acid-binding periplasmic protein TakP precursor
59,393982,ETNP_180m_PROKKA_27535,100.47,24,24,3.21E6,9,2,13,,38986,Alpha-keto acid-binding periplasmic protein TakP precursor
59,404206,NP_300m_PROKKA_26277,100.47,24,24,3.21E6,9,2,13,,38986,Alpha-keto acid-binding periplasmic protein TakP precursor
114,404264,NP_300m_PROKKA_48048,98.83,36,36,1.67E6,7,5,7,,13544,Phasin protein
114,404265,ETNP_120m_particle_PROKKA_235967,98.83,35,35,1.67E6,7,5,7,,14077,Phasin protein
172,404247,ETNP_120m_particle_PROKKA_13623,98.57,13,13,3.59E6,4,2,6,Carbamidomethylation,49423,hypothetical protein
120,393386,ETNP_180m_PROKKA_186130,98.19,43,43,5.18E6,7,7,8,,9916,DNA-binding protein HU 1
120,393387,ETNP_120m_particle_PROKKA_84698,98.19,43,43,5.18E6,7,7,8,,9916,DNA-binding protein HU 1
120,393388,ETNP_120m_PROKKA_107422,98.19,43,43,5.18E6,7,7,8,,9916,DNA-binding protein HU 1
120,393389,ETNP_300m_PROKKA_15120,98.19,43,43,5.18E6,7,7,8,,9916,DNA-binding protein HU 1
120,393390,ETNP_140m_PROKKA_148186,98.19,43,43,5.18E6,7,7,8,,9916,DNA-binding protein HU 1
120,393391,ETNP_160m_PROKKA_164678,98.19,43,43,5.18E6,7,7,8,,9916,DNA-binding protein HU 1
120,393392,ETNP_110m_PROKKA_07182,98.19,43,43,5.18E6,7,7,8,,9916,DNA-binding protein HU 1
120,393393,ETNP_100m_particle_PROKKA_00928,98.19,43,43,5.18E6,7,7,8,,9916,DNA-binding protein HU 1
100,404321,ETNP14_120mab_PROKKA_65152,98.04,24,24,4.13E4,4,1,5,,16558,Phasin protein
85,392157,ETNP_160m_PROKKA_141719,95.31,22,22,3E5,6,1,7,Carbamidomethylation; Oxidation (M),39423,Dimethylsulfide dehydrogenase subunit beta
152,404184,NP_85m_PROKKA_11502,94.52,16,16,1.5E5,5,1,7,,44294,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
146,404190,ETNP14_120maa_PROKKA_68035,93.74,15,15,3.29E6,5,2,7,,45184,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
146,404191,NP_300m_PROKKA_04504,93.74,15,15,3.29E6,5,2,7,,45565,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
89,404263,NP_300m_PROKKA_21749,93.57,26,26,9.97E5,8,4,8,,35973,Leucine-specific-binding protein precursor
89,404267,ETNP_160m_PROKKA_206441,93.57,32,32,9.97E5,8,4,8,,28332,hypothetical protein
89,404268,ETNP_140m_PROKKA_21823,93.57,31,31,9.97E5,8,4,8,,29965,hypothetical protein
113,404224,NP_300m_PROKKA_06057,93.56,28,28,5.4E6,6,6,7,Carbamidomethylation,23421,Rhodanese-like domain protein
113,404225,ETNP_120m_particle_PROKKA_202758,93.56,28,28,5.4E6,6,6,7,Carbamidomethylation,23421,Rhodanese-like domain protein
113,404226,ETNP_300m_PROKKA_95801,93.56,28,28,5.4E6,6,6,7,Carbamidomethylation,23421,Rhodanese-like domain protein
113,404227,ETNP_180m_PROKKA_60051,93.56,28,28,5.4E6,6,6,7,Carbamidomethylation,23421,Rhodanese-like domain protein
113,404228,ETNP_120m_PROKKA_162168,93.56,28,28,5.4E6,6,6,7,Carbamidomethylation,23421,Rhodanese-like domain protein
113,404229,ETNP_160m_PROKKA_75611,93.56,28,28,5.4E6,6,6,7,Carbamidomethylation,23421,Rhodanese-like domain protein
153,404213,NP_125m_PROKKA_11225,93.21,15,15,3.65E6,6,4,6,,39150,Spermidine/putrescine-binding periplasmic protein precursor
157,404194,ETNP_160m_PROKKA_43661,92.75,14,14,1.2E5,7,2,7,Carbamidomethylation,57117,60 kDa chaperonin
178,392160,NP_85m_PROKKA_21447,92.36,15,15,3.46E5,4,2,5,Oxidation (M),28964,Ethylbenzene dehydrogenase
148,393013,ETNP14_120maa_PROKKA_29300,91.75,16,16,0E0,7,1,7,,55907,60 kDa chaperonin 5
109,404593,NP_85m_PROKKA_35046,91.69,40,40,1.98E6,4,3,6,Oxidation (M),8900,DNA-binding protein HU-beta
109,404594,NP_300m_PROKKA_03284,91.69,40,40,1.98E6,4,3,6,Oxidation (M),8900,DNA-binding protein HU-beta
109,404595,NP_100m_PROKKA_04177,91.69,40,40,1.98E6,4,3,6,Oxidation (M),8900,DNA-binding protein HU-beta
73,404290,NP_85m_PROKKA_07022,90.32,18,18,1.8E6,7,4,7,Oxidation (M),38817,Alpha-keto acid-binding periplasmic protein TakP precursor
143,404203,ETNP_120m_particle_PROKKA_72442,90.10,23,23,2.44E6,5,5,5,,34812,NMT1/THI5 like protein
143,404204,ETNP14_120maa_PROKKA_87693,90.10,23,23,2.44E6,5,5,5,,34827,NMT1/THI5 like protein
159,404238,ETNP_120m_particle_PROKKA_241744,89.67,15,15,1.89E6,4,2,5,,30230,hypothetical protein
67,393983,ETNP_120m_PROKKA_24459,89.27,18,18,1.86E6,7,1,9,,39368,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
67,404299,ETNP_160m_PROKKA_188359,89.27,18,18,1.86E6,7,1,9,,39393,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
88,392277,ETNP_110m_PROKKA_14530,89.10,18,18,1.98E6,8,1,10,,34468,Chlorate reductase subunit gamma precursor
88,392279,ETNP14_120maa_PROKKA_62363,89.10,17,17,1.98E6,8,1,10,,36320,Chlorate reductase subunit gamma precursor
88,392280,ETNP_100m_PROKKA_43139,89.10,17,17,1.98E6,8,1,10,,36380,Chlorate reductase subunit gamma precursor
88,392281,NP_85m_PROKKA_04531,89.10,17,17,1.98E6,8,1,10,,36412,Chlorate reductase subunit gamma precursor
218,404282,NP_100m_PROKKA_25186,87.58,49,49,1.1E6,4,1,5,Oxidation (M),10630,10 kDa chaperonin 1
103,404364,ETNP_120m_particle_PROKKA_191004,87.03,43,43,3.59E4,6,1,6,Carbamidomethylation,11651,Alpha-keto acid-binding periplasmic protein TakP precursor
87,404251,ETNP_300m_PROKKA_184521,85.88,11,11,1.88E6,6,6,6,,67558,Methanol dehydrogenase [cytochrome c] subunit 1
87,404252,NP_300m_PROKKA_11083,85.88,10,10,1.88E6,6,6,6,,71720,Methanol dehydrogenase [cytochrome c] subunit 1 precursor
87,404253,ETNP_140m_PROKKA_42989,85.88,10,10,1.88E6,6,6,6,,72677,Methanol dehydrogenase [cytochrome c] subunit 1 precursor
162,404663,NP_300m_PROKKA_09456,85.77,25,25,5.76E4,2,1,2,,11688,hypothetical protein
268,392390,gi|1377597634,85.30,10,10,2.89E5,3,1,4,,41979,Actin [Hondaea fermentalgiana]
127,393381,ETNP14_68maa_PROKKA_176674,84.54,19,19,2.63E4,5,1,5,,33263,Elongation factor Tu
225,404837,NP_300m_PROKKA_14500,84.46,24,24,1.02E6,2,2,5,Carbamidomethylation,17281,LysM domain/BON superfamily protein
225,404838,ETNP_120m_PROKKA_331381,84.46,24,24,1.02E6,2,2,5,Carbamidomethylation,17268,LysM domain/BON superfamily protein
225,404839,NP_125m_PROKKA_03405,84.46,24,24,1.02E6,2,2,5,Carbamidomethylation,17268,LysM domain/BON superfamily protein
273,404895,NP_125m_PROKKA_08168,84.13,16,16,9E3,3,1,4,,17694,Peptidoglycan-associated lipoprotein precursor
273,404896,ETNP_120m_particle_PROKKA_28773,84.13,15,15,9E3,3,1,4,,19220,Peptidoglycan-associated lipoprotein precursor
273,393888,NP_300m_PROKKA_21161,84.13,15,15,9E3,3,1,4,,19250,Peptidoglycan-associated lipoprotein precursor
197,404512,ETNP_120m_PROKKA_59757,83.83,10,10,2.04E6,3,1,4,Carbamidomethylation,47370,hypothetical protein
197,404513,ETNP_100m_particle_PROKKA_137511,83.83,10,10,2.04E6,3,1,4,Carbamidomethylation,49306,hypothetical protein
79,404300,ETNP_120m_free_PROKKA_61385,83.80,20,20,8.96E4,7,1,9,,39404,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
79,404301,ETNP_120m_PROKKA_306054,83.80,20,20,8.96E4,7,1,9,,39404,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
192,404314,NP_100m_PROKKA_02620,83.12,8,8,2.38E6,3,3,3,Methylation(R),59993,Respiratory nitrate reductase 2 beta chain
192,404315,NP_300m_PROKKA_33849,83.12,15,15,2.38E6,3,3,3,Methylation(R),31801,Respiratory nitrate reductase 2 beta chain
192,404316,ETNP_110m_PROKKA_04840,83.12,9,9,2.38E6,3,3,3,Methylation(R),52387,Respiratory nitrate reductase 2 beta chain
147,404261,ETNP_160m_PROKKA_99583,82.92,6,6,6.08E4,4,1,4,,106182,Formate dehydrogenase-O major subunit precursor
147,404262,ETNP_140m_PROKKA_105309,82.92,6,6,6.08E4,4,1,4,,106906,Formate dehydrogenase H
147,404266,ETNP_180m_PROKKA_21990,82.92,6,6,6.08E4,4,1,4,,99155,Formate dehydrogenase H
177,392091,gi|1377599527,82.84,10,10,8.76E4,6,1,6,,50355,Tubulin alpha chain [Hondaea fermentalgiana]
253,404305,ETNP_120m_PROKKA_219505,82.45,43,43,5.56E5,4,4,4,Carbamidomethylation,13553,Acetyl-CoA acetyltransferase
253,404306,ETNP_140m_PROKKA_84287,82.45,14,14,5.56E5,4,4,4,Carbamidomethylation,44038,Acetyl-CoA acetyltransferase
180,404236,ETNP_140m_PROKKA_84286,82.34,44,44,6.07E4,6,1,6,,12911,Phasin protein
180,404237,ETNP_120m_PROKKA_138411,82.34,39,39,6.07E4,6,1,6,,14591,Phasin protein
167,19594,WP_006001660,81.59,10,10,4.75E4,4,1,5,,57890,molecular chaperone GroEL Desulfuromonas acetoxidans
195,19722,KHE93198,81.52,5,5,3.16E5,4,4,4,,75635,hydrazine synthase BC subunit Candidatus Scalindua brodae
195,404497,NP_85m_PROKKA_14912,81.52,9,9,3.16E5,4,4,4,,42438,Cytochrome c551 peroxidase precursor
195,404498,ETNP_120m_PROKKA_176497,81.52,8,8,3.16E5,4,4,4,,46658,Di-haem cytochrome c peroxidase
195,404501,ETNP_140m_PROKKA_74211,81.52,18,18,3.16E5,4,4,4,,20121,hypothetical protein
195,404502,NP_125m_PROKKA_07074,81.52,12,12,3.16E5,4,4,4,,30321,Cytochrome c551 peroxidase precursor
220,393805,ETNP14_120maa_PROKKA_41352,81.48,11,11,0E0,5,1,5,Carbamidomethylation,57474,60 kDa chaperonin
264,393261,ETNP_300m_PROKKA_41812,81.43,12,12,8.14E5,4,2,4,,37108,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
264,393262,ETNP_120m_PROKKA_84682,81.43,11,11,8.14E5,4,2,4,,39818,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
160,404297,ETNP_120m_particle_PROKKA_124412,81.24,7,7,8.67E4,4,1,4,,80098,Formate dehydrogenase H
240,404277,ETNP_180m_PROKKA_29609,81.21,19,19,1.19E6,4,4,4,Carbamidomethylation; Deamidation (NQ),35657,glycine betaine transporter periplasmic subunit
240,404278,ETNP_160m_PROKKA_33893,81.21,19,19,1.19E6,4,4,4,Carbamidomethylation; Deamidation (NQ),35657,glycine betaine transporter periplasmic subunit
240,404279,ETNP_300m_PROKKA_103221,81.21,19,19,1.19E6,4,4,4,Carbamidomethylation; Deamidation (NQ),35657,glycine betaine transporter periplasmic subunit
240,404280,ETNP_120m_PROKKA_21721,81.21,19,19,1.19E6,4,4,4,Carbamidomethylation; Deamidation (NQ),35687,glycine betaine transporter periplasmic subunit
240,404281,ETNP_120m_free_PROKKA_129846,81.21,19,19,1.19E6,4,4,4,Carbamidomethylation; Deamidation (NQ),35687,glycine betaine transporter periplasmic subunit
