Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 11: 278 4-19_265m_top+P-A,Area Sample 11: 278 4-19_265m_top+P-A,#Peptides,#Unique,#Spec Sample 11: 278 4-19_265m_top+P-A,PTM,Avg. Mass,Description
20,17716,XP_003055512,82.88,30,30,9.69E5,5,2,5,,12701,histone H2B  Micromonas pusilla CCMP1545
20,17718,ETNP_70,82.88,29,29,9.69E5,5,2,5,,13742,Core histone H2A/H2B/H3/H4
20,17652,XP_003080759,82.88,28,28,9.69E5,5,2,5,,13731,histone H2B ISS  Ostreococcus tauri
20,17719,XP_003082252,82.88,25,25,9.69E5,5,2,5,,15314,histone H2B ISS  Ostreococcus tauri
20,17720,ETNP_70,82.88,23,23,9.69E5,5,2,5,,16840,Core histone H2A/H2B/H3/H4
16,17527,ETNP_100,80.43,51,51,6.31E6,6,3,6,,7412,Core histone H2A/H2B/H3/H4
26,143939,ETNP_120,75.18,16,16,1.98E6,2,1,4,,9912,Triosephosphate isomerase
26,143940,ETNP14_120,75.18,12,12,1.98E6,2,1,4,,13509,Triosephosphate isomerase
26,143941,WP_044184596,75.18,6,6,1.98E6,2,1,4,,24578,triosephosphate isomerase Pirellula staleyi
26,143942,ETNP14_68,75.18,6,6,1.98E6,2,1,4,,26535,Triosephosphate isomerase
26,143943,ETNP14_120,75.18,6,6,1.98E6,2,1,4,,26535,Triosephosphate isomerase
26,143944,WP_006000741,75.18,6,6,1.98E6,2,1,4,,27763,triose-phosphate isomerase Desulfuromonas acetoxidans
26,143945,WP_014708032,75.18,6,6,1.98E6,2,1,4,,28172,triosephosphate isomerase Methylophaga nitratireducenticrescens
26,143946,ETNP_120,75.18,6,6,1.98E6,2,1,4,,29079,Triosephosphate isomerase
26,143947,XP_003080998,75.18,5,5,1.98E6,2,1,4,,33658,triose-phosphate isomerase ISS partial  Ostreococcus tauri
26,143948,XP_003056637,75.18,5,5,1.98E6,2,1,4,,33441,triosephosphate isomerase  Micromonas pusilla CCMP1545
14,17586,XP_003074486,73.76,10,10,,6,0,6,,64641,TBB1_VOLCA Tubulin beta chain ISS partial  Ostreococcus tauri
22,143848,ABQ66991.1,72.23,7,7,4.05E6,4,2,4,,51479,ATP synthase F1  beta subunit [Sphingomonas wittichii RW1]
13,17542,XP_003056479,71.08,13,13,8.35E4,6,1,6,,49615,beta tubulin  Micromonas pusilla CCMP1545
23,143847,CAI85358.1,70.78,8,8,4.91E6,4,2,4,,57143,60 kDa chaperonin (Protein Cpn60) (groEL protein) [Pseudoalteromonas haloplanktis TAC125]
19,17481,XP_003074279,69.64,10,10,,5,0,5,Carbamidomethylation,52955,TBB1_VOLCA Tubulin beta chain ISS  Ostreococcus tauri
29,143844,NP_300,68.60,7,7,,3,0,3,,50654,60 kDa chaperonin
29,143845,ACL71537.1,68.60,6,6,,3,0,3,,57553,chaperonin GroEL [Thioalkalivibrio sulfidiphilus HL-EbGr7]
29,143846,NP_300,68.60,6,6,,3,0,3,,58218,60 kDa chaperonin
15,2742,ETNP14_120,64.55,6,6,4.65E6,5,2,6,,42383,Bacterial actin-related protein
59,17544,WP_006232340.1,64.49,14,14,6.22E5,2,2,2,,21812,50S ribosomal protein L4 [Photobacterium profundum]
46,143919,ETNP14_120,64.47,13,13,0E0,3,1,3,,21058,Peptidoglycan-associated lipoprotein precursor
18,2735,ETNP_90,63.83,12,12,7.31E6,5,1,5,,33070,Bacterial actin-related protein
35,17543,XP_002180656,63.46,6,6,3.33E6,3,3,3,,49747,predicted protein  Phaeodactylum tricornutum CCAP 1055
40,17622,WP_011219211.1,62.90,14,14,5.86E5,3,1,3,,18750,peptidoglycan-associated lipoprotein [Photobacterium profundum]
49,17551,XP_002185730,61.91,6,6,1.04E6,2,1,2,Carbamidomethylation,49582,predicted protein  Phaeodactylum tricornutum CCAP 1055
17,23992,ABQ69278.1,58.48,11,11,2.84E6,5,4,5,Carbamidomethylation,59061,isocitrate lyase [Sphingomonas wittichii RW1]
31,17510,ETNP14_120,58.41,7,7,5.37E6,3,3,3,Oxidation (M),32612,Malate dehydrogenase
31,17497,NP_30,58.41,9,9,5.37E6,3,3,3,Oxidation (M),24555,Malate dehydrogenase
31,17515,ETNP14_120,58.41,9,9,5.37E6,3,3,3,Oxidation (M),24617,Malate dehydrogenase
21,8267,EJK63020,56.31,7,7,1.61E6,4,2,4,,68429,hypothetical protein THAOC_16346  Thalassiosira oceanica
30,143857,CAN94607.1,56.08,7,7,3.79E5,3,1,3,,50723,H(+)-transporting two-sector ATPase [Sorangium cellulosum So ce56]
36,143858,SAR11,56.00,6,6,6.97E5,3,1,3,,51425,ATP synthase subunit beta
36,143859,SAR11,56.00,6,6,6.97E5,3,1,3,,51398,ATP synthase subunit beta
218,143885,WP_020744472,55.30,3,3,1.51E5,1,1,1,,43237,OmpAMotB protein Alteromonas mediterranea
219,143889,ETNP_300,53.92,4,4,7.25E5,1,1,1,,36271,Enolase
219,143890,ETNP_120,53.92,3,3,7.25E5,1,1,1,,46092,Enolase
219,143953,ETNP14_68,53.92,8,8,7.25E5,1,1,1,,17312,Enolase
219,143954,ETNP_300,53.92,5,5,7.25E5,1,1,1,,25319,Enolase
219,143955,ETNP_70,53.92,3,3,7.25E5,1,1,1,,47270,Enolase
219,143956,XP_003074214,53.92,1,1,7.25E5,1,1,1,,134454,enolase ISS  Ostreococcus tauri
220,143891,CAI86717.1,53.74,5,5,2.52E5,1,1,1,Carbamidomethylation,30051,succinyl-CoA synthetase  alpha subunit  NAD(P)-binding [Pseudoalteromonas haloplanktis TAC125]
69,143866,ETNP14_120,52.91,6,6,1.19E5,2,1,2,,46458,Phosphoenolpyruvate carboxykinase [ATP]
69,143906,ETNP_180,52.91,13,13,1.19E5,2,1,2,,20258,Phosphoenolpyruvate carboxykinase [ATP]
69,143907,ETNP_120,52.91,6,6,1.19E5,2,1,2,,46518,Phosphoenolpyruvate carboxykinase [ATP]
52,143856,WP_012519077,52.08,4,4,1.47E5,2,2,2,Oxidation (M),72285,molecular chaperone HtpG Alteromonas mediterranea
81,143897,WP_011219628.1,51.91,18,18,2.38E6,2,2,2,,13532,50S ribosomal protein L19 [Photobacterium profundum]
83,143998,WP_011217207.1,47.92,6,6,1.49E6,2,2,2,,39453,3-isopropylmalate dehydrogenase [Photobacterium profundum]
41,95703,XP_003062749,47.04,3,3,3.56E6,3,3,3,Carbamidomethylation,114221,p-type ATPase superfamily  Micromonas pusilla CCMP1545
24,144358,WP_011217937.1,46.72,23,23,2.04E7,4,4,4,,8589,acyl carrier protein [Photobacterium profundum]
221,143898,ETNP14_68,44.60,6,6,1.2E5,1,1,1,,17626,Outer membrane lipoprotein Omp16 precursor
221,143899,ETNP_120,44.60,6,6,1.2E5,1,1,1,,17639,Outer membrane lipoprotein Omp16 precursor
221,143900,ABF65096.1,44.60,6,6,1.2E5,1,1,1,,17508,OmpA/MotB [Ruegeria sp. TM1040]
221,143910,ETNP14_120,44.60,7,7,1.2E5,1,1,1,,16144,Outer membrane lipoprotein Omp16 precursor
221,143911,SAR11,44.60,6,6,1.2E5,1,1,1,,17712,Outer membrane lipoprotein Omp16
221,143912,SAR11,44.60,6,6,1.2E5,1,1,1,,17768,Outer membrane lipoprotein Omp16
221,143913,ETNP_100,44.60,6,6,1.2E5,1,1,1,,17793,Outer membrane lipoprotein Omp16 precursor
221,143914,NP_300,44.60,6,6,1.2E5,1,1,1,,17750,Outer membrane lipoprotein Omp16 precursor
221,143915,ETNP14_120,44.60,6,6,1.2E5,1,1,1,,17792,Outer membrane lipoprotein Omp16 precursor
221,143966,ETNP14_68,44.60,10,10,1.2E5,1,1,1,,10810,Outer membrane lipoprotein Omp16 precursor
221,143967,WP_022735204,44.60,6,6,1.2E5,1,1,1,,17483,cell envelope biogenesis protein OmpA Candidatus Pelagibacter ubique
221,143968,ETNP_100,44.60,6,6,1.2E5,1,1,1,,17426,Outer membrane lipoprotein Omp16 precursor
221,143969,SAR11,44.60,6,6,1.2E5,1,1,1,,17917,Outer membrane lipoprotein Omp16
221,143970,ETNP14_68,44.60,6,6,1.2E5,1,1,1,,18371,Outer membrane lipoprotein Omp16 precursor
363,143971,ETNP_120,44.43,23,23,0E0,1,1,1,,7326,Iron-binding protein IscA
363,143972,ETNP_180,44.43,23,23,0E0,1,1,1,,7326,Iron-binding protein IscA
363,143973,NP_100,44.43,23,23,0E0,1,1,1,,7310,Iron-binding protein IscA
363,143974,NP_300,44.43,23,23,0E0,1,1,1,,7326,Iron-binding protein IscA
363,143975,ETNP_120,44.43,23,23,0E0,1,1,1,,7326,Iron-binding protein IscA
363,143976,NP_85,44.43,16,16,0E0,1,1,1,,10283,Iron-binding protein IscA
363,143977,ETNP_110,44.43,14,14,0E0,1,1,1,,11599,Iron-binding protein IscA
363,143978,ETNP14_120,44.43,14,14,0E0,1,1,1,,11615,Iron-binding protein IscA
363,143979,NP_125,44.43,14,14,0E0,1,1,1,,11601,Iron-binding protein IscA
363,143980,WP_053952069,44.43,14,14,0E0,1,1,1,,11429,iron-sulfur cluster assembly protein IscA Candidatus Thioglobus autotrophica
363,143981,ETNP14_120,44.43,14,14,0E0,1,1,1,,11613,Iron-binding protein IscA
363,143982,ETNP14_120,44.43,14,14,0E0,1,1,1,,11599,Iron-binding protein IscA
363,143983,ETNP_140,44.43,14,14,0E0,1,1,1,,11585,Iron-binding protein IscA
363,143984,NP_300,44.43,14,14,0E0,1,1,1,,11584,Iron-binding protein IscA
363,143985,ETNP14_120,44.43,14,14,0E0,1,1,1,,11659,Iron-binding protein IscA
363,143986,NP_85,44.43,14,14,0E0,1,1,1,,11599,Iron-binding protein IscA
85,144006,WP_011216918.1,42.86,3,3,1.98E6,2,2,2,,57720,cytochrome c [Photobacterium profundum]
71,144029,ETNP_120,42.84,3,3,2.08E7,2,2,2,,33891,8-oxoguanine deaminase
71,144031,ETNP_140,42.84,2,2,2.08E7,2,2,2,,48885,8-oxoguanine deaminase
71,144032,NP_85,42.84,2,2,2.08E7,2,2,2,,48867,8-oxoguanine deaminase
71,144076,ETNP_160,42.84,3,3,2.08E7,2,2,2,,25819,8-oxoguanine deaminase
71,144077,NP_100,42.84,3,3,2.08E7,2,2,2,,32063,8-oxoguanine deaminase
71,144078,ETNP_110,42.84,3,3,2.08E7,2,2,2,,33892,8-oxoguanine deaminase
71,144079,NP_300,42.84,3,3,2.08E7,2,2,2,,33965,8-oxoguanine deaminase
70,17535,WP_011219116.1,42.39,3,3,6.21E6,2,2,2,,60785,30S ribosomal protein S1 [Photobacterium profundum]
222,143996,ETNP14_68,40.36,1,1,8.77E5,1,1,1,,67628,hypothetical protein
82,143997,virus_CCADEAMM_51112,39.55,3,3,4.16E6,1,1,2,,34948,hypothetical protein
50,144040,XP_003060620,39.19,1,1,3.27E6,2,2,2,,149554,predicted protein  Micromonas pusilla CCMP1545
86,144179,ETNP_180,38.84,6,6,2.96E5,2,2,2,,28243,Alanine dehydrogenase
86,144180,WP_007232769,38.84,4,4,2.96E5,2,2,2,,39130,alanine dehydrogenase gamma proteobacterium HTCC2207
86,144181,WP_014102921,38.84,4,4,2.96E5,2,2,2,,39672,alanine dehydrogenase Micavibrio aeruginosavorus
84,144003,WP_011217781.1,37.78,7,7,4.41E5,1,1,2,,19600,flavodoxin [Photobacterium profundum]
87,144240,ACL65761.1,37.45,9,9,0E0,2,1,2,,26060,Triose-phosphate isomerase [Anaeromyxobacter dehalogenans 2CP-1]
37,144104,XP_003058631,36.77,1,1,1.58E6,3,3,3,,271162,predicted protein  Micromonas pusilla CCMP1545
53,143888,WP_007231640,36.62,1,1,5.32E6,1,1,2,,112456,TonB-dependent receptor gamma proteobacterium HTCC2207
53,143892,CAI85921.1,36.62,1,1,5.32E6,1,1,2,,93961,conserved protein of unknown function; putative TonB-dependent receptor [Pseudoalteromonas haloplanktis TAC125]
53,143893,ETNP_100,36.62,1,1,5.32E6,1,1,2,,97066,Colicin I receptor precursor
53,143894,ETNP_120,36.62,1,1,5.32E6,1,1,2,,98126,Colicin I receptor precursor
53,143917,WP_012519074,36.62,1,1,5.32E6,1,1,2,,94497,TonB-dependent receptor Alteromonas mediterranea
53,143918,ABQ69492.1,36.62,1,1,5.32E6,1,1,2,,112137,TonB-dependent receptor [Sphingomonas wittichii RW1]
53,143933,CAI86912.1,36.62,1,1,5.32E6,1,1,2,,88121,putative TonB-dependent receptor [Pseudoalteromonas haloplanktis TAC125]
53,144004,WP_007232312,36.62,1,1,5.32E6,1,1,2,,93499,TonB-dependent receptor gamma proteobacterium HTCC2207
53,144007,ETNP_160,36.62,1,1,5.32E6,1,1,2,,106287,Vitamin B12 transporter BtuB precursor
53,144013,WP_000731490,36.62,1,1,5.32E6,1,1,2,,96875,TonB-dependent receptor Acinetobacter baumannii
53,144014,ADI91031.1,36.62,1,1,5.32E6,1,1,2,,96972,Outer membrane receptor protein  mostly Fe transport [Acinetobacter oleivorans DR1]
53,144016,ETNP14_120,36.62,1,1,5.32E6,1,1,2,,107709,Vitamin B12 transporter BtuB precursor
53,144037,ABI78089.1,36.62,1,1,5.32E6,1,1,2,,102348,TonB-dependent receptor [Hyphomonas neptunium ATCC 15444]
53,144038,ABQ70658.1,36.62,1,1,5.32E6,1,1,2,,102576,TonB-dependent receptor [Sphingomonas wittichii RW1]
53,144039,CAI87043.1,36.62,1,1,5.32E6,1,1,2,,106909,putative TonB-dependent receptor protein [Pseudoalteromonas haloplanktis TAC125]
364,144035,ETNP14_120,36.41,13,13,5.83E5,1,1,1,,8909,50S ribosomal protein L28
364,144036,ETNP_160,36.41,13,13,5.83E5,1,1,1,,8970,50S ribosomal protein L28
150,143886,WP_011218445.1,36.22,3,3,4.24E4,1,1,1,,43599,glycine C-acetyltransferase [Photobacterium profundum]
61,144080,WP_011217073.1,35.55,6,6,3.7E5,2,2,2,Carbamidomethylation,45148,malate dehydrogenase [Photobacterium profundum]
27,38,XP_002183424,35.07,10,10,,3,0,3,,41791,actin actin like protein  Phaeodactylum tricornutum CCAP 1055
27,39,XP_002183295,35.07,10,10,,3,0,3,,41791,predicted protein  Phaeodactylum tricornutum CCAP 1055
27,40,XP_002182221,35.07,10,10,,3,0,3,,41839,actin actin like protein  Phaeodactylum tricornutum CCAP 1055
126,143896,WP_011217464.1,34.31,1,1,7.54E5,1,1,1,,69359,molecular chaperone DnaK [Photobacterium profundum]
126,144008,WP_011218217.1,34.31,1,1,7.54E5,1,1,1,,69251,molecular chaperone DnaK [Photobacterium profundum]
126,144020,ETNP_180,34.31,5,5,7.54E5,1,1,1,,18011,Chaperone protein DnaK
126,144021,ETNP_300,34.31,4,4,7.54E5,1,1,1,,22176,Chaperone protein DnaK
126,144022,ETNP_120,34.31,2,2,7.54E5,1,1,1,,54587,Chaperone protein DnaK
126,144023,ETNP_140,34.31,2,2,7.54E5,1,1,1,,55961,Chaperone protein DnaK
126,144024,ETNP_120,34.31,1,1,7.54E5,1,1,1,,59700,Chaperone protein DnaK
72,144111,WP_041394571.1,34.00,5,5,4.01E5,2,1,2,,60072,phosphoenolpyruvate carboxykinase (ATP) [Photobacterium profundum]
367,24062,ACY16045.1,33.65,1,1,1.05E6,1,1,1,,57474,serine/threonine protein kinase [Haliangium ochraceum DSM 14365]
365,144061,ETNP_120,33.63,5,5,3.39E6,1,1,1,,17928,Iron-utilization periplasmic protein precursor
225,144025,ETNP_90,33.44,2,2,3.94E5,1,1,1,,52599,hypothetical protein
225,144062,ETNP_60,33.44,4,4,3.94E5,1,1,1,,23779,hypothetical protein
366,28712,XP_002182587,33.34,3,3,8.28E5,1,1,1,,35418,glyceraldehyde-3-phosphate dehydrogenase  Phaeodactylum tricornutum CCAP 1055
366,28713,XP_002182590,33.34,3,3,8.28E5,1,1,1,,35418,glyceraldehyde-3-phosphate dehydrogenase  Phaeodactylum tricornutum CCAP 1055
62,144105,ETNP_100,33.11,4,4,1.07E6,2,2,2,,60511,hypothetical protein
42,144208,WP_011217129.1,32.74,8,8,2.32E6,3,3,3,,22398,50S ribosomal protein L3 [Photobacterium profundum]
151,19109,NP_300,32.73,4,4,2.06E5,1,1,1,,32990,General L-amino acid-binding periplasmic protein AapJ precursor
151,143920,ETNP_160,32.73,3,3,2.06E5,1,1,1,,35857,General L-amino acid-binding periplasmic protein AapJ precursor
151,143921,ETNP_180,32.73,3,3,2.06E5,1,1,1,,35857,General L-amino acid-binding periplasmic protein AapJ precursor
151,18043,WP_011218872.1,32.73,3,3,2.06E5,1,1,1,,36725,amino acid ABC transporter substrate-binding protein [Photobacterium profundum]
151,144063,ETNP_110,32.73,22,22,2.06E5,1,1,1,,5640,General L-amino acid-binding periplasmic protein AapJ precursor
151,144064,ETNP14_120,32.73,12,12,2.06E5,1,1,1,,10101,General L-amino acid-binding periplasmic protein AapJ precursor
151,144065,ETNP_100,32.73,12,12,2.06E5,1,1,1,,10071,General L-amino acid-binding periplasmic protein AapJ precursor
151,144066,ETNP14_68,32.73,9,9,2.06E5,1,1,1,,13970,General L-amino acid-binding periplasmic protein AapJ precursor
151,144067,ETNP14_68,32.73,6,6,2.06E5,1,1,1,,18849,General L-amino acid-binding periplasmic protein AapJ precursor
151,144068,ETNP_300,32.73,5,5,2.06E5,1,1,1,,22700,General L-amino acid-binding periplasmic protein AapJ precursor
151,144069,ETNP_120,32.73,3,3,2.06E5,1,1,1,,39194,General L-amino acid-binding periplasmic protein AapJ precursor
151,144070,ETNP_120,32.73,3,3,2.06E5,1,1,1,,39336,General L-amino acid-binding periplasmic protein AapJ precursor
89,144397,ETNP_120,32.56,3,3,3.29E5,2,2,2,,74168,Outer membrane protein assembly factor BamB
223,144011,XP_003054774,32.45,2,2,1.81E6,1,1,1,,54844,predicted protein  Micromonas pusilla CCMP1545
57,144431,WP_013261112,32.34,2,2,4.31E6,2,2,2,,60679,30S ribosomal protein S1 gamma proteobacterium HdN1
368,144081,ETNP14_68,31.88,27,27,8.62E5,1,1,1,,3593,hypothetical protein
368,144082,ETNP14_68,31.88,26,26,8.62E5,1,1,1,,3720,hypothetical protein
368,144083,ETNP14_68,31.88,7,7,8.62E5,1,1,1,,13844,homogentisate 1 2-dioxygenase
368,144084,ETNP_90,31.88,4,4,8.62E5,1,1,1,,22431,hypothetical protein
368,144098,ETNP14_120,31.88,2,2,8.62E5,1,1,1,,45018,Homogentisate 1 2-dioxygenase
91,20610,WP_011588774.1,31.72,5,5,1.28E6,2,2,2,,41402,MULTISPECIES: succinyl-CoA ligase subunit beta [Alcanivorax]
125,143895,ABI76939.1,31.39,1,1,1.45E5,1,1,1,,139727,nitrate reductase  alpha subunit [Hyphomonas neptunium ATCC 15444]
369,144099,WP_011218847.1,31.31,9,9,3.27E5,1,1,1,,13367,50S ribosomal protein L20 [Photobacterium profundum]
63,144130,CAI87855.1,31.20,8,8,2.47E6,2,2,2,,20095,50S ribosomal subunit protein L5 [Pseudoalteromonas haloplanktis TAC125]
63,144511,WP_011217137.1,31.20,8,8,2.47E6,2,2,2,,20388,50S ribosomal protein L5 [Photobacterium profundum]
63,144518,ETNP14_120,31.20,8,8,2.47E6,2,2,2,,20943,50S ribosomal protein L5
63,144519,ETNP14_120,31.20,8,8,2.47E6,2,2,2,,21077,50S ribosomal protein L5
370,144140,ETNP_120,30.50,2,2,4.9E6,1,1,1,,66154,Cobalt-zinc-cadmium resistance protein CzcB
66,144574,ETNP14_68,30.44,1,1,1.53E7,2,2,2,,118359,Phosphoserine phosphatase RsbU
227,144108,WP_012518442,29.84,1,1,0E0,1,1,1,,138375,peptidase Alteromonas mediterranea
228,144115,ETNP_160,29.61,2,2,3.12E6,1,1,1,,47755,Cytosine permease
73,144170,ETNP14_120,29.40,15,15,1.37E6,1,1,2,,9764,6 7-dimethyl-8-ribityllumazine synthase
73,144171,ETNP14_120,29.40,14,14,1.37E6,1,1,2,,10570,6 7-dimethyl-8-ribityllumazine synthase
73,144172,WP_020024403,29.40,9,9,1.37E6,1,1,2,,16187,6 7-dimethyl-8-ribityllumazine synthase Candidatus Thioglobus singularis
73,144173,NP_30,29.40,9,9,1.37E6,1,1,2,,16076,6 7-dimethyl-8-ribityllumazine synthase
73,144174,ETNP14_120,29.40,9,9,1.37E6,1,1,2,,16321,6 7-dimethyl-8-ribityllumazine synthase
374,144201,EAP86127.1,29.21,1,1,1.96E6,1,1,1,,91562,hypothetical protein CA2559_08841 [Croceibacter atlanticus HTCC2559]
372,144184,ETNP_140,29.17,4,4,1.46E6,1,1,1,Carbamidomethylation,31544,Tryptophan--tRNA ligase
372,144185,NP_300,29.17,3,3,1.46E6,1,1,1,Carbamidomethylation,36884,Tryptophan--tRNA ligase
372,144186,NP_100,29.17,3,3,1.46E6,1,1,1,Carbamidomethylation,36766,Tryptophan--tRNA ligase
372,144187,NP_300,29.17,3,3,1.46E6,1,1,1,Carbamidomethylation,36903,Tryptophan--tRNA ligase
95,26720,NP_30,28.96,2,2,5.07E6,2,2,2,,39807,Glutamate-pyruvate aminotransferase AlaA
236,144399,ETNP_300,28.77,1,1,1.58E5,1,1,1,,86415,Polyketide synthase PksJ
236,144403,ETNP_180,28.77,1,1,1.58E5,1,1,1,,164001,Phthiocerol/phenolphthiocerol synthesis polyketide synthase type I PpsE
236,144404,ETNP_160,28.77,1,1,1.58E5,1,1,1,,164001,Phthiocerol/phenolphthiocerol synthesis polyketide synthase type I PpsE
236,144405,ETNP_120,28.77,1,1,1.58E5,1,1,1,,164001,Phthiocerol/phenolphthiocerol synthesis polyketide synthase type I PpsE
236,144457,ETNP_120,28.77,4,4,1.58E5,1,1,1,,20351,hypothetical protein
236,144458,ETNP_140,28.77,2,2,1.58E5,1,1,1,,44615,Polyketide synthase PksJ
236,144461,ETNP_120,28.77,1,1,1.58E5,1,1,1,,68040,hypothetical protein
74,144183,SAR202_JMBHMLPD,28.55,5,5,3.92E6,2,2,2,,42967,Lactaldehyde reductase
232,27542,ETNP_120,28.15,9,9,1.73E7,1,1,1,,9754,Amylopullulanase precursor
232,17710,ETNP_120,28.15,5,5,1.73E7,1,1,1,,17036,hypothetical protein
92,144546,WP_011467445.1,27.98,6,6,6.07E5,2,2,2,,30073,50S ribosomal protein L2 [Saccharophagus degradans]
93,144547,NP_85,27.88,8,8,3.38E6,2,2,2,,25255,1 4-Dihydroxy-2-naphthoyl-CoA synthase
230,144308,ABQ67145.1,27.67,3,3,5.69E4,1,1,1,,38973,branched chain amino acid aminotransferase [Sphingomonas wittichii RW1]
235,144385,ETNP_180,27.65,6,6,4.02E5,1,1,1,Carbamidomethylation; Oxidation (M),15834,MOSC domain protein
235,144465,ETNP_160,27.65,25,25,4.02E5,1,1,1,Carbamidomethylation; Oxidation (M),3964,hypothetical protein
376,144467,ETNP_120,27.18,6,6,7.83E5,1,1,1,,14064,hypothetical protein
376,144468,ETNP_160,27.18,6,6,7.83E5,1,1,1,,14064,hypothetical protein
376,144469,ETNP_120,27.18,3,3,7.83E5,1,1,1,,31501,Adenylosuccinate synthetase
97,144034,ETNP_90,27.16,2,2,0E0,1,1,1,,59442,Isocitrate lyase
47,24357,WP_012519037,26.86,4,4,0E0,2,1,2,,58551,isocitrate lyase Alteromonas mediterranea
231,144348,ETNP_120,26.71,2,2,5.36E5,1,1,1,,42384,NADPH-ferredoxin reductase FprA
377,144470,virus_CCADEAMM_11505,26.62,14,14,4.4E6,1,1,1,,6777,hypothetical protein
377,144471,ETNP14_68,26.62,6,6,4.4E6,1,1,1,,15542,putative aminodeoxychorismate lyase
377,144472,WP_007276916,26.62,4,4,4.4E6,1,1,1,,21960,hypothetical protein Lentisphaera araneosa
377,144473,WP_007276947,26.62,4,4,4.4E6,1,1,1,,22189,hypothetical protein Lentisphaera araneosa
377,144474,WP_007278922,26.62,4,4,4.4E6,1,1,1,,22219,hypothetical protein Lentisphaera araneosa
377,144475,WP_014437145,26.62,2,2,4.4E6,1,1,1,,53696,hypothetical protein Phycisphaera mikurensis
377,144476,EJK73098,26.62,1,1,4.4E6,1,1,1,,67821,hypothetical protein THAOC_05298 partial  Thalassiosira oceanica
80,145357,XP_003061134,26.60,3,3,1.22E6,2,2,2,,72192,predicted protein  Micromonas pusilla CCMP1545
80,101689,XP_003054911,26.60,1,1,1.22E6,2,2,2,,81384,predicted protein  Micromonas pusilla CCMP1545
