Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) ETNP_NT06,Area ETNP_NT06,#Peptides,#Unique,#Spec ETNP_NT06,PTM,Avg. Mass,Description
11,38,90m_Megahit_DAALLOGA_112022,103.47,22,22,2.02E7,12,1,14,Carbamidomethylation; Mutation,21057,Bacterial actin-related protein
10,530,100m_megahit_CLKLDGCM_82429,97.55,11,11,2.45E6,13,3,18,Carbamidomethylation; Deamidation (NQ); Dehydration; Pyro-glu from E,42356,Bacterial actin-related protein
10,529,ETNP14_120maa_PROKKA_78369,97.55,11,11,2.45E6,13,3,18,Carbamidomethylation; Deamidation (NQ); Dehydration; Pyro-glu from E,42383,Bacterial actin-related protein
14,2643,120mP_megahit_HKJGLMBE_98919,93.31,6,6,3.87E6,10,8,11,,44250,hypothetical protein
13,130,70m_MEGAHIT_CJDMCFAD_64580,87.43,29,29,3.39E6,13,13,14,Deamidation (NQ); Amidation,13498,hypothetical protein
12,655,90m_Megahit_DAALLOGA_145589,83.95,23,23,1.86E6,10,2,13,Replacement of proton by lithium,22275,hypothetical protein
12,564,90m_Megahit_DAALLOGA_98300,84.16,35,35,5.7E5,10,2,13,,17928,hypothetical protein
12,651,100mP_megahit_BKKBEGJO_75604,82.19,51,51,1.21E5,9,1,12,,9064,hypothetical protein_ETNP_100m_particle_PROKKA_86548 Ubiquitin family protein
12,654,70m_MEGAHIT_CJDMCFAD_16294,82.19,31,31,1.21E5,9,1,12,,14852,hypothetical protein
12,825,100m_megahit_CLKLDGCM_90433,80.15,42,42,1.21E5,8,1,9,,8704,hypothetical protein_90m_Megahit_DAALLOGA_126239 hypothetical protein_ETNP14_120maa_PROKKA_156172 Ubiquitin family protein_ETNP_90m_PROKKA_68089 Ubiquitin family protein
15,18,70m_MEGAHIT_CJDMCFAD_157786,82.60,17,17,6.39E6,11,6,11,Carbamidomethylation; Oxidation (M),39780,Bacterial actin-related protein
112,2184,90m_Megahit_DAALLOGA_24866,76.82,14,14,3.7E5,2,2,2,Phosphorylation (STY); Methylation(KR),22587,50S ribosomal protein L3
112,2181,ETNP_90m_PROKKA_81662,66.83,24,24,3.09E5,1,1,1,,8017,50S ribosomal protein L3
17,3592,ETNP14_120maa_PROKKA_98903,70.87,43,43,5.88E6,8,8,10,Carboxylation (DKW); Propionamide (K  X@N-term); Proline oxidation to pyrrolidinone,12857,50S ribosomal protein L7/L12
18,638,ETNP14_68maa_PROKKA_166295,68.72,57,57,1.08E5,7,1,9,Mutation,8466,Ubiquitin family protein
18,645,120mP_megahit_HKJGLMBE_12908,68.72,37,37,1.08E5,7,1,9,Mutation,12723,hypothetical protein
18,646,150mP_megahit_EIABIGGE_41197,68.72,32,32,1.08E5,7,1,9,Mutation,14872,hypothetical protein
19,3618,70m_MEGAHIT_CJDMCFAD_59311,68.10,9,9,1.12E5,5,1,6,Methylation(KR); Deamidation (NQ),35202,hypothetical protein
22,28,ETNP_60m_PROKKA_16910,59.90,25,25,9.71E6,6,6,6,,13283,Core histone H2A/H2B/H3/H4
22,164,70m_MEGAHIT_CJDMCFAD_64581,59.90,25,25,9.71E6,6,6,6,,13479,hypothetical protein
22,14,70m_MEGAHIT_CJDMCFAD_44047,59.90,24,24,9.71E6,6,6,6,,13534,hypothetical protein_ETNP_70m_PROKKA_64991 Core histone H2A/H2B/H3/H4
48,3045,100mP_megahit_BKKBEGJO_130411,58.52,9,9,1.84E6,2,2,2,,12905,50S ribosomal protein L7/L12_120mP_megahit_HKJGLMBE_187789 50S ribosomal protein L7/L12_120m_megahit_CMKFGOPF_108679 50S ribosomal protein L7/L12_140m_megahit_KKMFCJLI_101416 50S ribosomal protein L7/L12_150mP_megahit_EIABIG...
39,73,70m_MEGAHIT_CJDMCFAD_128028,56.67,7,7,7.22E5,3,3,3,,54925,ATP synthase subunit alpha_ETNP_70m_PROKKA_66000 ATP synthase subunit alpha
32,4579,70m_MEGAHIT_CJDMCFAD_47110,50.27,7,7,6.88E5,3,1,5,,36063,hypothetical protein
196,3065,ETNP14_68mB_PROKKA_169882,49.94,8,8,2.31E5,1,1,1,,15536,50S ribosomal protein L2
25,116,120m_megahit_CMKFGOPF_354487,48.91,4,4,9.78E5,4,3,4,,51043,ATP synthase subunit beta
25,106,NP_300m_PROKKA_22239,48.91,4,4,9.78E5,4,3,4,,51425,ATP synthase subunit beta
25,273964,ETNP14_120maa_PROKKA_48007,48.91,4,4,9.78E5,4,3,4,,49327,ATP synthase subunit beta
25,94,120mP_megahit_HKJGLMBE_141924,48.91,4,4,9.78E5,4,3,4,,51394,ATP synthase subunit beta
25,119,160m_megahit_NHJEOBNC_93329,48.91,4,4,9.78E5,4,3,4,,51188,ATP synthase subunit beta_180m_megahit_DBICIOKE_134929 ATP synthase subunit beta
28,4042,ETNP14_68maa_PROKKA_02795,47.75,2,2,1.54E7,2,2,3,,51370,hypothetical protein
46,2962,120mP_megahit_HKJGLMBE_07229,46.83,2,2,1.06E6,2,2,2,,93693,Calcium-transporting ATPase 1_ETNP_120m_particle_PROKKA_252276 Calcium-transporting ATPase 1
92,1391,90m_Megahit_DAALLOGA_110681,41.28,11,11,2.48E5,1,1,1,,13176,50S ribosomal protein L7/L12_ETNP14_68maa_PROKKA_119462 50S ribosomal protein L7/L12_ETNP_90m_PROKKA_197311 50S ribosomal protein L7/L12
149,2788,90m_Megahit_DAALLOGA_43629,40.78,15,15,6.1E5,1,1,1,,8803,Acyl carrier protein_ETNP14_120maa_PROKKA_183777 Acyl carrier protein_ETNP_90m_PROKKA_134487 Acyl carrier protein
21,240545,100mP_megahit_BKKBEGJO_167039,40.38,7,7,1.22E6,2,2,9,,28448,hypothetical protein
41,6643,ETNP_300m_PROKKA_139689,40.15,3,3,5.05E6,3,3,3,,98143,Chaperone protein ClpB 1
41,6721,120m_megahit_CMKFGOPF_257100,40.15,3,3,5.05E6,3,3,3,,100627,Chaperone protein ClpB 1_140m_megahit_KKMFCJLI_73722 Chaperone protein ClpB 1_160m_megahit_NHJEOBNC_00423 Chaperone protein ClpB 1_180m_megahit_DBICIOKE_15053 Chaperone protein ClpB 1_ETNP_120m_PROKKA_190496 Chaperone protein...
41,6722,300m_megahit_KALMNAMF_87423,40.15,3,3,5.05E6,3,3,3,,100655,Chaperone protein ClpB 1
36,274183,180m_megahit_DBICIOKE_08403,38.34,2,2,1.88E5,2,2,4,,111130,Transcription-repair-coupling factor
36,274184,120m_megahit_CMKFGOPF_269039,38.34,2,2,1.88E5,2,2,4,,115365,Transcription-repair-coupling factor
29,170782,120m_megahit_CMKFGOPF_173908,37.09,6,6,4.62E7,1,1,3,,14059,DNA-binding transcriptional regulator BolA
197,259154,ETNP_120m_free_PROKKA_133039,37.02,3,3,1.81E6,1,1,1,,30958,Alpha-ketoglutarate-dependent taurine dioxygenase
158,274154,ETNP_90m_PROKKA_33158,36.00,4,4,1.79E5,2,2,2,,36337,putative multidrug resistance protein EmrK
97,273969,120m_megahit_CMKFGOPF_161400,35.63,3,3,1.1E6,2,2,2,Oxidation (M),59204,GMP synthase [glutamine-hydrolyzing]
153,9176,ETNP_60m_PROKKA_33711,35.44,3,3,1.43E5,1,1,1,,39793,Dihydroorotase
153,9175,70m_MEGAHIT_CJDMCFAD_185048,35.44,3,3,1.43E5,1,1,1,,39752,Dihydroorotase
150,273929,60m_MEGAHIT_HGOBFIOH_27022,35.35,1,1,1.01E6,1,1,1,,60202,hypothetical protein
150,273930,ETNP_60m_PROKKA_21273,35.35,1,1,1.01E6,1,1,1,,66491,hypothetical protein
359,1258,ETNP_70m_PROKKA_108882,34.75,5,5,3.15E5,3,2,4,,70706,Chaperone protein DnaK
44,136,ETNP_100m_particle_PROKKA_145658,34.26,9,9,4.1E5,2,2,2,,15112,Tubulin/FtsZ family  GTPase domain
44,84,100mP_megahit_BKKBEGJO_166958,34.26,7,7,4.1E5,2,2,2,,18930,hypothetical protein
79,273946,90m_Megahit_DAALLOGA_205580,34.15,2,2,1.02E5,2,2,2,Oxidation (M),156136,Chromosome partition protein Smc
95,273957,140m_megahit_KKMFCJLI_147258,34.02,5,5,1.25E6,2,2,2,,31277,Alanine--tRNA ligase
95,273958,ETNP_140m_PROKKA_68056,34.02,5,5,1.25E6,2,2,2,,31314,Alanine--tRNA ligase
95,273960,ETNP_160m_PROKKA_184694,34.02,4,4,1.25E6,2,2,2,,36491,Alanine--tRNA ligase
95,273967,ETNP_120m_free_PROKKA_96768,34.02,3,3,1.25E6,2,2,2,,56349,Alanine--tRNA ligase
95,273974,160m_megahit_NHJEOBNC_260326,34.02,2,2,1.25E6,2,2,2,,84368,Alanine--tRNA ligase
95,273980,120mF_megahit_EODJEIIO_146417,34.02,2,2,1.25E6,2,2,2,,94703,Alanine--tRNA ligase
95,274664,ETNP_300m_PROKKA_166854,26.33,5,5,1.02E6,1,1,1,,12475,Alanine--tRNA ligase
95,274666,ETNP14_68maa_PROKKA_177820,26.33,5,5,1.02E6,1,1,1,,17548,MarR family protein
95,274668,300m_megahit_KALMNAMF_174915,26.33,3,3,1.02E6,1,1,1,,25470,Alanine--tRNA ligase
151,273931,ETNP_100m_particle_PROKKA_140418,33.91,10,10,4.05E5,1,1,1,,8092,fructoselysine 6-kinase
151,273932,NP_85m_PROKKA_18291,33.91,10,10,4.05E5,1,1,1,,8124,fructoselysine 6-kinase
151,273933,ETNP_110m_PROKKA_43112,33.91,6,6,4.05E5,1,1,1,,13196,Bifunctional protein HldE_ETNP_120m_particle_PROKKA_210984 Bifunctional protein HldE
151,273934,ETNP_100m_PROKKA_51475,33.91,4,4,4.05E5,1,1,1,,19583,Bifunctional protein HldE
151,273935,ETNP14_68mB_PROKKA_33984,33.91,3,3,4.05E5,1,1,1,,30959,2-dehydro-3-deoxygluconokinase
151,273936,100m_megahit_CLKLDGCM_34406,33.91,2,2,4.05E5,1,1,1,,35266,putative sugar kinase YdjH
151,273937,110m_megahit_JNNKCNHH_14820,33.91,2,2,4.05E5,1,1,1,,35252,putative sugar kinase YdjH_90m_Megahit_DAALLOGA_07627 putative sugar kinase YdjH_ETNP_140m_PROKKA_102704 putative sugar kinase YdjH_120mF_megahit_PEDPKPGI_37099 putative sugar kinase YdjH
151,273938,140m_megahit_KKMFCJLI_92109,33.91,2,2,4.05E5,1,1,1,,35265,putative sugar kinase YdjH
151,273939,120m_megahit_CMKFGOPF_160204,33.91,2,2,4.05E5,1,1,1,,35878,putative sugar kinase YdjH
151,273940,160m_megahit_NHJEOBNC_271072,33.91,2,2,4.05E5,1,1,1,,46234,Gamma-glutamylputrescine oxidoreductase
151,273941,ETNP_120m_PROKKA_53243,33.91,2,2,4.05E5,1,1,1,,48274,Gamma-glutamylputrescine oxidoreductase
151,273942,120m_megahit_CMKFGOPF_356297,33.91,2,2,4.05E5,1,1,1,,48306,Gamma-glutamylputrescine oxidoreductase
151,273948,ETNP14_120mab_PROKKA_89590,33.91,7,7,4.05E5,1,1,1,,13768,Gamma-glutamylputrescine oxidoreductase
152,273943,90m_Megahit_DAALLOGA_83617,33.41,4,4,1.32E5,1,1,1,Oxidation (M),24199,hypothetical protein_ETNP_90m_PROKKA_188748 DegT/DnrJ/EryC1/StrS aminotransferase family protein
169,274696,60m_MEGAHIT_HGOBFIOH_16498,32.44,4,4,1.04E6,2,2,2,,25781,3-oxoacyl-[acyl-carrier-protein] reductase
169,274697,70m_MEGAHIT_CJDMCFAD_37230,32.44,3,3,1.04E6,2,2,2,,26671,Diacetyl reductase [(S)-acetoin forming]
26,273949,ETNP14_68mB_PROKKA_140936,32.24,5,5,2.62E6,1,1,4,,17792,hypothetical protein
198,273950,180m_megahit_DBICIOKE_198446,32.14,10,10,2.28E5,1,1,1,Oxidation (M),9193,Aspartate-semialdehyde dehydrogenase
198,273951,160m_megahit_NHJEOBNC_261801,32.14,3,3,2.28E5,1,1,1,Oxidation (M),26511,Aspartate-semialdehyde dehydrogenase 2
127,274710,100mP_megahit_BKKBEGJO_88952,31.96,5,5,3.07E6,2,2,2,,35708,Disulfide bond reductase DsbH_120mP_megahit_HKJGLMBE_69813 Disulfide bond reductase DsbH_ETNP_100m_particle_PROKKA_147271 Disulfide bond reductase DsbH precursor_ETNP_120m_particle_PROKKA_128695 Disulfide bond reductase DsbH ...
140,12395,120mF_megahit_EODJEIIO_159518,31.88,3,3,5.11E5,2,2,2,Oxidation (M),59286,putative protein kinase UbiB
47,276110,160m_megahit_NHJEOBNC_44357,31.44,5,5,2.11E5,2,2,2,Carbamidomethylation; Mutation,40462,tRNA (guanine(26)-N(2)/guanine(27)-N(2))-dimethyltransferase
131,274808,ETNP_300m_PROKKA_182906,30.80,7,7,1.19E5,1,1,1,Mutation,17373,S-(hydroxymethyl)glutathione dehydrogenase
131,274814,ETNP_140m_PROKKA_02084,30.80,5,5,1.19E5,1,1,1,Mutation,24832,S-(hydroxymethyl)glutathione dehydrogenase
131,274827,ETNP_120m_PROKKA_282210,30.80,3,3,1.19E5,1,1,1,Mutation,38880,S-(hydroxymethyl)glutathione dehydrogenase_ETNP_120m_free_PROKKA_71089 S-(hydroxymethyl)glutathione dehydrogenase_ETNP_160m_PROKKA_96729 S-(hydroxymethyl)glutathione dehydrogenase
131,274828,140m_megahit_KKMFCJLI_140748,30.80,3,3,1.19E5,1,1,1,Mutation,38912,S-(hydroxymethyl)glutathione dehydrogenase_160m_megahit_NHJEOBNC_28907 S-(hydroxymethyl)glutathione dehydrogenase_180m_megahit_DBICIOKE_148339 S-(hydroxymethyl)glutathione dehydrogenase_300m_megahit_KALMNAMF_05424 S-(hydroxym...
131,188397,120m_megahit_CMKFGOPF_390774,30.80,3,3,1.19E5,1,1,1,Mutation,38938,S-(hydroxymethyl)glutathione dehydrogenase
131,277586,120mP_megahit_HKJGLMBE_24722,30.80,3,3,1.19E5,1,1,1,Mutation,39162,S-(hydroxymethyl)glutathione dehydrogenase_ETNP_120m_particle_PROKKA_218105 S-(hydroxymethyl)glutathione dehydrogenase
199,273961,120m_megahit_CMKFGOPF_204177,30.71,4,4,2.37E5,1,1,1,,19734,hypothetical protein_120mF_megahit_ILDJFKLB_154738 hypothetical protein
199,273962,160m_megahit_NHJEOBNC_30433,30.71,4,4,2.37E5,1,1,1,,19794,hypothetical protein
199,273963,140m_megahit_KKMFCJLI_155742,30.71,4,4,2.37E5,1,1,1,,19754,hypothetical protein
154,273968,90m_Megahit_DAALLOGA_18539,30.46,3,3,7.25E5,1,1,1,,36276,Modification methylase HhaI
50,273972,120mF_megahit_EODJEIIO_126826,30.43,10,10,0E0,1,1,2,,9501,hypothetical protein
84,562,180m_megahit_DBICIOKE_127709,30.36,2,2,4.7E5,1,1,1,,43058,Elongation factor Tu_300m_megahit_KALMNAMF_222050 Elongation factor Tu_NP_300m_PROKKA_15461 Elongation factor Tu
252,747,ETNP14_68maa_PROKKA_52520,29.88,3,3,0E0,2,1,3,Carbamidomethylation; Oxidation (M),70793,Chaperone protein DnaK
475,400,70m_MEGAHIT_CJDMCFAD_96963,29.86,2,2,9.06E5,2,1,2,,73365,Chaperone protein DnaK
96,5297,ETNP_90m_PROKKA_09102,29.43,2,2,2.54E5,1,1,1,,56679,Pyruvate  phosphate dikinase
96,5296,90m_Megahit_DAALLOGA_122057,29.43,2,2,2.54E5,1,1,1,,56582,Pyruvate  phosphate dikinase
96,5298,ETNP14_68maa_PROKKA_69251,29.43,2,2,2.54E5,1,1,1,,56709,Pyruvate  phosphate dikinase
200,274122,ETNP14_68maa_PROKKA_58312,29.33,3,3,5.53E5,1,1,1,,55984,Phenylalanine--tRNA ligase alpha subunit
93,260219,90m_Megahit_DAALLOGA_222882,29.14,2,2,8.45E4,1,1,2,,63287,hypothetical protein_ETNP_90m_PROKKA_52508 hypothetical protein
51,274152,140m_megahit_KKMFCJLI_28960,28.80,4,4,2.19E6,1,1,2,,19543,hypothetical protein_ETNP_140m_PROKKA_56134 hypothetical protein
51,274153,100mP_megahit_BKKBEGJO_46548,28.80,4,4,2.19E6,1,1,2,,19513,hypothetical protein_120mP_megahit_HKJGLMBE_226942 hypothetical protein_120m_megahit_CMKFGOPF_159322 hypothetical protein_160m_megahit_NHJEOBNC_01698 hypothetical protein_180m_megahit_DBICIOKE_82123 hypothetical protein_ETNP_...
156,273971,300m_megahit_KALMNAMF_216707,28.18,4,4,3.77E5,1,1,1,,33254,hypothetical protein
157,273973,ETNP14_68mB_PROKKA_29730,28.17,4,4,2.58E6,1,1,1,,20128,hypothetical protein
204,274164,ETNP14_120maa_PROKKA_172686,27.78,2,2,1.27E5,1,1,1,,36946,hypothetical protein
203,274159,70m_MEGAHIT_CJDMCFAD_88499,27.70,9,9,8.52E5,1,1,1,,10427,hypothetical protein_ETNP_70m_PROKKA_48889 hypothetical protein
203,274163,ETNP_60m_PROKKA_11291,27.70,3,3,8.52E5,1,1,1,,30471,hypothetical protein
119,10070,ETNP14_68mB_PROKKA_99870,27.67,3,3,6.42E5,1,1,1,,27929,hypothetical protein
98,273976,70m_MEGAHIT_CJDMCFAD_00104,27.45,17,17,5.32E3,1,1,1,,5522,hypothetical protein
98,273977,ETNP14_68maa_PROKKA_131477,27.45,4,4,5.32E3,1,1,1,,22327,fibrillarin
147,278907,ETNP14_68mB_PROKKA_32322,35.89,4,4,5.67E5,2,1,2,,33800,hypothetical protein
75,274305,70m_MEGAHIT_CJDMCFAD_51334,27.24,2,2,4.54E5,1,1,1,,57045,60 kDa chaperonin 2_90m_Megahit_DAALLOGA_112624 60 kDa chaperonin 2_ETNP14_68maa_PROKKA_105275 60 kDa chaperonin 2
139,21638,ETNP_100m_particle_PROKKA_147179,26.97,3,3,3.56E5,1,1,1,Mutation,31138,Penicillin-binding protein PbpB
160,7094,90m_Megahit_DAALLOGA_58127,26.86,2,2,4.07E5,1,1,1,,44780,hypothetical protein
159,274438,180m_megahit_DBICIOKE_199814,26.46,8,8,4.21E5,1,1,1,,12423,hypothetical protein
86,274090,ETNP14_120maa_PROKKA_18012,26.18,1,1,5.95E5,1,1,1,,70368,Acetyl-/propionyl-coenzyme A carboxylase alpha chain
162,274498,ETNP_120m_free_PROKKA_108936,26.13,3,3,3.04E5,1,1,1,,30923,Acetoin:2 6-dichlorophenolindophenol oxidoreductase subunit alpha
162,274499,120mF_megahit_PEDPKPGI_159594,26.13,3,3,3.04E5,1,1,1,,31054,Acetoin:2 6-dichlorophenolindophenol oxidoreductase subunit alpha
161,274456,120mP_megahit_HKJGLMBE_174710,26.07,5,5,3E5,1,1,1,,18067,30S ribosomal protein S1
161,274457,ETNP_120m_particle_PROKKA_72304,26.07,5,5,3E5,1,1,1,,18035,hypothetical protein
161,274458,ETNP_100m_particle_PROKKA_110163,26.07,4,4,3E5,1,1,1,,20843,hypothetical protein
190,277106,120m_megahit_CMKFGOPF_166074,26.01,4,4,0E0,1,1,1,Mutation,30407,hypothetical protein_120mF_megahit_PEDPKPGI_45117 hypothetical protein
195,279454,ETNP14_68maa_PROKKA_60650,25.91,2,2,7.86E4,1,1,1,Mutation,65340,succinyl-CoA synthetase subunit beta
195,279459,ETNP_100m_PROKKA_80957,25.91,1,1,7.86E4,1,1,1,Mutation,74683,succinyl-CoA synthetase subunit beta
195,279460,ETNP14_120maa_PROKKA_44401,25.91,1,1,7.86E4,1,1,1,Mutation,74729,succinyl-CoA synthetase subunit beta
189,261926,120mP_megahit_HKJGLMBE_192708,25.74,19,19,6.33E5,1,1,1,Mutation,8236,hypothetical protein
64,273945,100mP_megahit_BKKBEGJO_163960,25.62,1,1,2.83E4,1,1,1,,205813,hypothetical protein
206,11704,140m_megahit_KKMFCJLI_12923,25.59,6,6,1.85E5,1,1,1,,16501,hypothetical protein
934,274721,140m_megahit_KKMFCJLI_80012,25.59,5,5,1.13E6,2,2,2,,52845,Glutarate-semialdehyde dehydrogenase DavD
1945,276154,120mF_megahit_ILDJFKLB_100150,25.57,5,5,1.91E5,2,2,2,Mutation,47308,Histidinol dehydrogenase
207,274669,ETNP14_68mB_PROKKA_155189,25.55,5,5,7.93E4,1,1,1,,18796,Uroporphyrinogen-III C-methyltransferase
137,274488,70m_MEGAHIT_CJDMCFAD_06922,25.41,2,2,0E0,1,1,1,,87463,Glycogen synthase
208,274672,120m_megahit_CMKFGOPF_06989,25.33,4,4,9E5,1,1,1,,21188,Asparagine--tRNA ligase
208,274673,ETNP14_68maa_PROKKA_128558,25.33,3,3,9E5,1,1,1,,28912,2-O-methyltransferase NoeI
43,259558,100m_megahit_CLKLDGCM_29818,25.33,2,2,1.16E6,1,1,2,,38202,hypothetical protein
43,259456,ETNP_120m_PROKKA_225004,33.80,7,7,1.16E6,2,2,3,,29278,putative permease YjgP/YjgQ family protein
43,259458,120m_megahit_CMKFGOPF_182886,33.80,6,6,1.16E6,2,2,3,,32983,hypothetical protein
43,259559,90m_Megahit_DAALLOGA_243336,25.33,2,2,1.16E6,1,1,2,,41414,hypothetical protein
43,259560,ETNP_90m_PROKKA_171450,25.33,2,2,1.16E6,1,1,2,,41344,putative permease YjgP/YjgQ family protein
209,274677,ETNP14_120mac_PROKKA_21285,25.24,7,7,3.62E5,1,1,1,,14196,L-Ala-D/L-Glu epimerase
82,274561,180m_megahit_DBICIOKE_172617,25.23,2,2,0E0,1,1,2,,73668,hypothetical protein
125,274687,ETNP_90m_PROKKA_76878,24.82,8,8,2.22E6,1,1,2,,11866,hypothetical protein
125,274688,ETNP14_68maa_PROKKA_159052,24.82,7,7,2.22E6,1,1,2,,13975,hypothetical protein_ETNP_90m_PROKKA_184992 hypothetical protein
125,274689,90m_Megahit_DAALLOGA_67869,24.82,7,7,2.22E6,1,1,2,,14045,hypothetical protein
76,274592,70m_MEGAHIT_CJDMCFAD_08371,24.78,1,1,1.18E5,1,1,1,,70652,hypothetical protein
135,5194,150mP_megahit_EIABIGGE_51259,24.59,2,2,1.17E5,1,1,1,,44837,Phenylalanine--tRNA ligase beta subunit
135,5270,120m_megahit_CMKFGOPF_276391,24.59,2,2,1.17E5,1,1,1,,47801,Phenylalanine--tRNA ligase beta subunit_140m_megahit_KKMFCJLI_136695 Phenylalanine--tRNA ligase beta subunit_160m_megahit_NHJEOBNC_167990 Phenylalanine--tRNA ligase beta subunit_180m_megahit_DBICIOKE_155128 Phenylalanine--tRN...
135,7061,120mP_megahit_HKJGLMBE_217250,24.59,2,2,1.17E5,1,1,1,,47787,Phenylalanine--tRNA ligase beta subunit
1937,276107,90m_Megahit_DAALLOGA_09516,24.52,16,16,1.54E6,2,2,2,Mutation,13694,hypothetical protein_ETNP_90m_PROKKA_176446 hypothetical protein
364,274033,ETNP14_120maa_PROKKA_65849,24.48,4,4,4.83E4,2,1,2,,41310,Carboxypeptidase G2 precursor
52,274703,ETNP14_120maa_PROKKA_105841,24.40,3,3,6.44E5,1,1,2,,24389,Protein-L-isoaspartate O-methyltransferase
89,14900,ETNP14_68maa_PROKKA_59584,24.39,7,7,1.09E6,1,1,2,,12697,hypothetical protein
170,274698,ETNP_180m_PROKKA_163469,24.35,11,11,0E0,1,1,1,,11532,hypothetical protein
577,274477,120m_megahit_CMKFGOPF_306990,24.33,9,9,1.17E6,2,2,2,,23700,30S ribosomal protein S16
448,275115,120m_megahit_CMKFGOPF_136255,23.94,2,2,3.81E6,2,2,2,,49497,Multidrug export protein MepA
353,181364,ETNP_160m_PROKKA_71741,23.91,2,2,4.49E5,2,2,2,Oxidation (M),140685,ATP-dependent RNA helicase HrpB
57,259695,ETNP_120m_particle_PROKKA_205565,23.82,2,2,2.78E6,1,1,2,,48792,Biotin carboxylase
57,259696,120mP_megahit_HKJGLMBE_261087,23.82,2,2,2.78E6,1,1,2,,48818,Biotin carboxylase
183,4145,300m_megahit_KALMNAMF_85134,23.68,1,1,2.09E5,1,1,1,,72563,Transketolase 1
211,242738,120mF_megahit_ILDJFKLB_143202,23.68,4,4,6.31E5,1,1,1,,23793,hypothetical protein
212,275852,100m_megahit_CLKLDGCM_99420,23.60,3,3,0E0,1,1,1,,30153,hypothetical protein
212,275853,70m_MEGAHIT_CJDMCFAD_116270,23.60,3,3,0E0,1,1,1,,31157,hypothetical protein_ETNP14_120maa_PROKKA_124278 hypothetical protein
