peptide,lca,superkingdom,kingdom,subkingdom,superphylum,phylum,subphylum,superclass,class,subclass,infraclass,superorder,order,suborder,infraorder,parvorder,superfamily,family,subfamily,tribe,subtribe,genus,subgenus,species group,species subgroup,species,subspecies,varietas,forma
TYESPR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEFAER,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VELPPK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEWPK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WWQLR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDPMVK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLVSNR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEGDLK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEWVLR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEYFYK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFPASHK,Sphingobacteriales,Bacteria,,,,Bacteroidetes,,,Sphingobacteriia,,,,Sphingobacteriales,,,,,,,,,,,,,,,,
AHFVLAR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMWLAQR,Cronobacter condimenti,Bacteria,,,,Proteobacteria,,,Gammaproteobacteria,,,,Enterobacterales,,,,,Enterobacteriaceae,,,,Cronobacter,,,,Cronobacter condimenti,,,
AVCHNK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWMEK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWMTR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAVNR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFMTYK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLLPAANK,Alcanivorax hongdengensis,Bacteria,,,,Proteobacteria,,,Gammaproteobacteria,,,,Oceanospirillales,,,,,Alcanivoracaceae,,,,Alcanivorax,,,,Alcanivorax hongdengensis,,,
DLVVWR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMLDGGK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPLHFK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EEGSPER,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQHYGR,Bacteria,Bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,
EYETQR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EYYQSK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFEFTR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFQYLK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLAAHTR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLNMLK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HHEVR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSGNK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLEPCK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEVTQK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MFVTEK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMRPPR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPPSK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVNSWR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYLYNK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAPVVPR,Bipolaris sorokiniana,Eukaryota,Fungi,Dikarya,,Ascomycota,Pezizomycotina,,Dothideomycetes,Pleosporomycetidae,,,Pleosporales,Pleosporineae,,,,Pleosporaceae,,,,Bipolaris,,,,Bipolaris sorokiniana,,,
NLLGSVR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVWVLK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYAVER,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QQQLPR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QVSPQTK,Bacteroidetes,Bacteria,,,,Bacteroidetes,,,,,,,,,,,,,,,,,,,,,,,
TFCDFK,Eukaryota,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGSQYQK,Eimeria,Eukaryota,,,,Apicomplexa,,,Coccidia,,,,Eucoccidiorida,Eimeriorina,,,,Eimeriidae,,,,Eimeria,,,,,,,
THYEK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THYQVR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLPNESK,Eukaryota,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMFFNK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNGEK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTQMCK,Arion vulgaris,Eukaryota,Metazoa,,,Mollusca,,,Gastropoda,,,,Stylommatophora,,,,Arionoidea,Arionidae,,,,Arion,,,,Arion vulgaris,,,
VLQCFK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VMSNR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADFTAAR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEEPFPK,Flavobacterium columnare,Bacteria,,,,Bacteroidetes,,,Flavobacteriia,,,,Flavobacteriales,,,,,Flavobacteriaceae,,,,Flavobacterium,,,,Flavobacterium columnare,,,
APQVACK,Bipolaris oryzae,Eukaryota,Fungi,Dikarya,,Ascomycota,Pezizomycotina,,Dothideomycetes,Pleosporomycetidae,,,Pleosporales,Pleosporineae,,,,Pleosporaceae,,,,Bipolaris,,,,Bipolaris oryzae,,,
AWESK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CELPLR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEWMK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPGQR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPYTQK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSPPR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFNYAR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFTVNK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPVAWR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GWHHAR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPEYK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPSVK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAVDAVK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTWQSGK,Candidatus Altiarchaeales,Archaea,,,,Euryarchaeota,,,,,,,Candidatus Altiarchaeales,,,,,,,,,,,,,,,,
MHYSK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEHHVK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNDPK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYEFLK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QVFTEK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVLAPPR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDEGR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDWNLR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TFMLTFK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSGYFDK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPDNSK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VWHFEK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VYLDNK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VYLSNR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YCNWTR,Pseudonocardia dioxanivorans,Bacteria,,,,Actinobacteria,,,Actinobacteria,,,,Pseudonocardiales,,,,,Pseudonocardiaceae,,,,Pseudonocardia,,,,Pseudonocardia dioxanivorans,,,
YSSTK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
