Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 12: 278 4-19_265m_top+P-A_90min,Area Sample 12: 278 4-19_265m_top+P-A_90min,#Peptides,#Unique,#Spec Sample 12: 278 4-19_265m_top+P-A_90min,PTM,Avg. Mass,Description
13,193571,CAI85920.1,100.79,18,18,1.1E7,9,2,10,,22115,peroxiredoxin 2 (Thioredoxin peroxidase 1) (Thioredoxin-dependent peroxide reductase 1) (Thiol-specific antioxidant protein) (TSA) (PRP) [Pseudoalteromonas haloplanktis TAC125]
7,17585,NP_300,96.56,7,7,,9,0,11,Carbamidomethylation,43244,Elongation factor Tu
7,17583,NP_100,96.56,7,7,,9,0,11,Carbamidomethylation,43231,Elongation factor Tu
7,17584,NP_125,96.56,7,7,,9,0,11,Carbamidomethylation,43231,Elongation factor Tu
7,17575,NP_300,96.56,7,7,,9,0,11,Carbamidomethylation,43419,Elongation factor Tu
10,17537,NP_100,95.42,10,10,3.23E5,9,1,11,Carbamidomethylation; Methylation(KR); Phosphorylation (STY),43103,Elongation factor Tu
10,17541,NP_100,97.08,12,12,3.23E5,10,1,12,Carbamidomethylation; Methylation(KR); Phosphorylation (STY),43280,Elongation factor Tu
24,17481,XP_003074279,94.46,12,12,1.4E6,6,3,6,Carbamidomethylation,52955,TBB1_VOLCA Tubulin beta chain ISS  Ostreococcus tauri
8,40,XP_002182221,93.49,20,20,1.33E6,10,2,11,Carbamidomethylation; Oxidation (M); Proline oxidation to pyrrolidinone; Pyro-glu from E,41839,actin actin like protein  Phaeodactylum tricornutum CCAP 1055
8,38,XP_002183424,93.49,20,20,1.33E6,10,2,11,Carbamidomethylation; Oxidation (M); Proline oxidation to pyrrolidinone; Pyro-glu from E,41791,actin actin like protein  Phaeodactylum tricornutum CCAP 1055
8,39,XP_002183295,93.49,20,20,1.33E6,10,2,11,Carbamidomethylation; Oxidation (M); Proline oxidation to pyrrolidinone; Pyro-glu from E,41791,predicted protein  Phaeodactylum tricornutum CCAP 1055
48,143836,WP_013262876,92.52,8,8,,4,0,4,,57692,molecular chaperone GroEL gamma proteobacterium HdN1
35,17543,XP_002180656,90.12,14,14,5.53E6,6,4,6,Carbamidomethylation; Methylation(KR); Mutation,49747,predicted protein  Phaeodactylum tricornutum CCAP 1055
15,25155,CAI86879.1,87.98,28,28,1.42E7,9,9,9,,8758,acyl carrier protein [Pseudoalteromonas haloplanktis TAC125]
15,25167,ETNP_90,87.98,28,28,1.42E7,9,9,9,,8803,Acyl carrier protein
15,25168,ETNP14_120,87.98,28,28,1.42E7,9,9,9,,8803,Acyl carrier protein
15,25169,WP_012518211,87.98,28,28,1.42E7,9,9,9,,8803,acyl carrier protein Alteromonadaceae
15,26696,ETNP_120,87.98,28,28,1.42E7,9,9,9,,8807,Acyl carrier protein
46,11271,ETNP_70,85.67,18,18,,3,0,3,Mutation,15728,Bacterial actin-related protein
23,2749,XP_003080933,84.95,14,14,5.17E6,7,5,7,Carbamidomethylation; Methylation(others); Mutation,52460,TBA_CHLVU Tubulin alpha chain ISS  Ostreococcus tauri
62,148189,ETNP_120,84.67,5,5,2.24E5,2,2,2,,42917,Aminopeptidase
62,193615,ETNP_120,84.67,9,9,2.24E5,2,2,2,,22819,putative peptidase
29,24029,XP_003074685,83.82,18,18,2.4E7,7,7,8,Oxidation (M),31136,Histone H4 ISS  Ostreococcus tauri
29,24015,XP_003063038,81.27,39,39,2.32E7,6,6,7,Oxidation (M),11395,predicted protein  Micromonas pusilla CCMP1545
29,24017,ETNP_70,81.27,39,39,2.32E7,6,6,7,Oxidation (M),11395,Core histone H2A/H2B/H3/H4
29,24021,XP_003061514,81.27,39,39,2.32E7,6,6,7,Oxidation (M),11395,histone H4  Micromonas pusilla CCMP1545
29,24022,ETNP_120,81.27,39,39,2.32E7,6,6,7,Oxidation (M),11365,Core histone H2A/H2B/H3/H4
29,24025,XP_003061756,81.27,39,39,2.32E7,6,6,7,Oxidation (M),11395,predicted protein  Micromonas pusilla CCMP1545
29,24026,XP_003059520,81.27,39,39,2.32E7,6,6,7,Oxidation (M),11395,predicted protein  Micromonas pusilla CCMP1545
29,24027,ETNP_100,81.27,39,39,2.32E7,6,6,7,Oxidation (M),11381,Core histone H2A/H2B/H3/H4
29,24030,EJK63755,83.87,13,13,2.45E7,7,7,8,Oxidation (M); Methylation(KR); Phosphorylation (STY),39773,hypothetical protein THAOC_15573 partial  Thalassiosira oceanica
29,24016,ETNP_90,81.27,39,39,2.32E7,6,6,7,Oxidation (M),11367,Core histone H2A/H2B/H3/H4
29,24018,ETNP_70,81.27,39,39,2.32E7,6,6,7,Oxidation (M),11367,Core histone H2A/H2B/H3/H4
29,24019,XP_002179286,81.27,39,39,2.32E7,6,6,7,Oxidation (M),11383,histone H4 isoform 1b  Phaeodactylum tricornutum CCAP 1055
29,24020,EJK69577,81.27,39,39,2.32E7,6,6,7,Oxidation (M),11383,hypothetical protein THAOC_09145  Thalassiosira oceanica
29,24023,ETNP14_68,81.27,39,39,2.32E7,6,6,7,Oxidation (M),11367,Core histone H2A/H2B/H3/H4
29,24024,XP_002179505,81.27,39,39,2.32E7,6,6,7,Oxidation (M),11383,histone H4 isoform 1a  Phaeodactylum tricornutum CCAP 1055
29,24028,EJK72475,81.27,34,34,2.32E7,6,6,7,Oxidation (M),13036,hypothetical protein THAOC_05990  Thalassiosira oceanica
34,13614,CAG23421.1,83.67,14,14,4.34E6,3,3,4,Oxidation or Hydroxylation,30633,Putative ribose ABC transporter  periplasmic D-ribose-binding protein [Photobacterium profundum SS9]
21,469,ETNP_70,83.23,39,39,5.96E7,9,9,12,,13534,Core histone H2A/H2B/H3/H4
17,23992,ABQ69278.1,81.90,11,11,9.99E6,6,6,9,Carbamidomethylation; Oxidation (M); Deoxy; Pyro-glu from E,59061,isocitrate lyase [Sphingomonas wittichii RW1]
25,17789,ETNP14_120,81.06,19,19,3.74E6,7,3,8,Carbamylation; Formylation; Mutation,13532,50S ribosomal protein L7/L12
25,17786,ETNP14_120,81.06,21,21,3.74E6,7,3,8,Carbamylation; Formylation; Mutation,11741,50S ribosomal protein L7/L12
25,17788,ETNP14_68,81.06,19,19,3.74E6,7,3,8,Carbamylation; Formylation; Mutation,13448,50S ribosomal protein L7/L12
27,17844,ETNP14_68,75.70,30,30,2E5,5,1,6,,6711,50S ribosomal protein L7/L12
27,17846,ETNP14_120,75.70,30,30,2E5,5,1,6,,6711,50S ribosomal protein L7/L12
27,17843,ETNP14_68,75.70,39,39,2E5,5,1,6,,5172,50S ribosomal protein L7/L12
27,17850,NP_300,75.70,15,15,2E5,5,1,6,,13036,50S ribosomal protein L7/L12
27,17851,NP_85,75.70,15,15,2E5,5,1,6,,13036,50S ribosomal protein L7/L12
27,17853,NP_100,75.70,15,15,2E5,5,1,6,,13036,50S ribosomal protein L7/L12
27,17855,ETNP14_68,75.70,15,15,2E5,5,1,6,,13190,50S ribosomal protein L7/L12
27,17856,ETNP14_120,75.70,15,15,2E5,5,1,6,,13252,50S ribosomal protein L7/L12
27,17857,ETNP14_68,75.70,15,15,2E5,5,1,6,,13252,50S ribosomal protein L7/L12
28,2742,ETNP14_120,73.66,8,8,2.08E7,7,3,10,Carbamidomethylation,42383,Bacterial actin-related protein
40,143891,CAI86717.1,73.26,13,13,1.36E6,3,3,3,Carbamidomethylation,30051,succinyl-CoA synthetase  alpha subunit  NAD(P)-binding [Pseudoalteromonas haloplanktis TAC125]
42,144102,WP_011220056.1,72.22,8,8,1.69E6,4,4,4,Carbamidomethylation; 3-sulfanylpropanoyl,48461,glutathione-disulfide reductase [Photobacterium profundum]
22,17527,ETNP_100,71.07,49,49,1.84E6,7,2,8,Methylation(others),7412,Core histone H2A/H2B/H3/H4
63,17551,XP_002185730,67.08,7,7,4.94E5,3,1,3,Carbamidomethylation,49582,predicted protein  Phaeodactylum tricornutum CCAP 1055
20,8267,EJK63020,66.00,10,10,1.92E6,7,2,8,Carbamidomethylation; Oxidation (M),68429,hypothetical protein THAOC_16346  Thalassiosira oceanica
26,29,CAN98337.1,65.38,2,2,1.44E6,3,1,7,Propionamide (K  X@N-term); Hexose (NSY),97340,ATPase with chaperone activity  two ATP-bindingdomains [Sorangium cellulosum So ce56]
41,170815,ETNP14_68,64.18,5,5,4.83E5,3,2,3,,45009,Elongation factor G 1
44,57195,XP_003056674,63.92,7,7,3.69E6,5,4,5,,60236,ATP synthase  Micromonas pusilla CCMP1545
81,17625,WP_015068149,63.85,4,4,2.58E6,2,2,2,,32269,malate dehydrogenase Alteromonas mediterranea
81,17509,WP_011217182.1,68.90,11,11,2.92E6,3,3,3,,32293,malate dehydrogenase [Photobacterium profundum]
81,17512,NP_300,63.85,11,11,2.58E6,2,2,2,,11573,Malate dehydrogenase
81,17500,ETNP_180,63.85,9,9,2.58E6,2,2,2,,14750,Malate dehydrogenase
81,17501,ETNP_120,63.85,9,9,2.58E6,2,2,2,,14754,Malate dehydrogenase
81,17623,ETNP14_120,63.85,8,8,2.58E6,2,2,2,,15133,Malate dehydrogenase
81,17624,ETNP14_68,63.85,8,8,2.58E6,2,2,2,,15179,Malate dehydrogenase
81,17502,ETNP_100,63.85,6,6,2.58E6,2,2,2,,21500,Malate dehydrogenase
81,17503,NP_300,63.85,4,4,2.58E6,2,2,2,,31989,Malate dehydrogenase
81,17504,NP_100,63.85,4,4,2.58E6,2,2,2,,32060,Malate dehydrogenase
81,17505,ETNP14_120,63.85,4,4,2.58E6,2,2,2,,32064,Malate dehydrogenase
81,17506,ETNP14_120,63.85,4,4,2.58E6,2,2,2,,32162,Malate dehydrogenase
81,17507,ETNP14_120,63.85,4,4,2.58E6,2,2,2,,32168,Malate dehydrogenase
81,17508,Fosmid_PROKKA_00393,63.85,4,4,2.58E6,2,2,2,,32061,Malate dehydrogenase
81,17621,ETNP14_120,63.85,4,4,2.58E6,2,2,2,,32041,Malate dehydrogenase
81,17510,ETNP14_120,63.85,4,4,2.58E6,2,2,2,,32612,Malate dehydrogenase
81,17685,XP_003055830,63.85,3,3,2.58E6,2,2,2,,37439,malate dehydrogenase  Micromonas pusilla CCMP1545
81,17516,ETNP14_120,63.85,4,4,2.58E6,2,2,2,,32385,Malate dehydrogenase
81,17513,ETNP14_68,63.85,6,6,2.58E6,2,2,2,,21129,Malate dehydrogenase
81,17517,ETNP_100,63.85,4,4,2.58E6,2,2,2,,32399,Malate dehydrogenase
81,17514,ETNP14_120,63.85,5,5,2.58E6,2,2,2,,24002,Malate dehydrogenase
81,17497,NP_30,63.85,5,5,2.58E6,2,2,2,,24555,Malate dehydrogenase
81,17746,XP_003077929,63.85,2,2,2.58E6,2,2,2,,52316,MDHG_ORYSA Malate dehydrogenase glyoxysomal precursor dbj|BAA12870 | glyo ISS  Ostreococcus tauri
81,17511,ETNP14_120,63.85,11,11,2.58E6,2,2,2,,11698,Malate dehydrogenase
81,17745,ETNP_70,63.85,8,8,2.58E6,2,2,2,,15834,Malate dehydrogenase
81,17593,ETNP14_120,63.85,5,5,2.58E6,2,2,2,,23536,Malate dehydrogenase
81,17515,ETNP14_120,63.85,5,5,2.58E6,2,2,2,,24617,Malate dehydrogenase
33,143892,CAI85921.1,63.54,4,4,2.76E7,3,3,4,Hydroxymethyl,93961,conserved protein of unknown function; putative TonB-dependent receptor [Pseudoalteromonas haloplanktis TAC125]
47,14083,ETNP14_68,63.12,7,7,1.5E8,4,4,4,Mutation,20128,hypothetical protein
69,193587,WP_014705255,62.26,8,8,4.28E5,4,2,4,,57199,molecular chaperone GroEL Methylophaga nitratireducenticrescens
69,143853,NP_300,52.05,5,5,1.79E5,2,1,2,,57679,60 kDa chaperonin
69,193593,ETNP_120,52.05,5,5,1.79E5,2,1,2,,57693,60 kDa chaperonin
69,193594,ETNP_180,52.05,5,5,1.79E5,2,1,2,,57711,60 kDa chaperonin
69,193595,ETNP_160,52.05,5,5,1.79E5,2,1,2,,57723,60 kDa chaperonin
209,144440,XP_002178103,61.23,5,5,5.59E5,2,2,2,Mutation,30153,triosephosphate isomerase  Phaeodactylum tricornutum CCAP 1055
90,193622,WP_012518655,60.07,9,9,7.44E5,2,2,2,Mutation,34106,cysteine synthase A Alteromonas mediterranea
79,144582,WP_041394478.1,59.94,5,5,3.93E6,2,2,2,Mutation,61305,bifunctional UDP-sugar hydrolase/5'-nucleotidase [Photobacterium profundum]
76,193578,CAI85270.1,59.80,3,3,5.77E5,2,2,2,,51987,glutamine synthetase [Pseudoalteromonas haloplanktis TAC125]
30,193574,WP_011467368.1,58.67,9,9,2.53E7,2,2,4,,21351,superoxide dismutase [Fe] [Saccharophagus degradans]
71,143848,ABQ66991.1,57.92,7,7,1.51E6,3,1,3,,51479,ATP synthase F1  beta subunit [Sphingomonas wittichii RW1]
43,17535,WP_011219116.1,57.08,4,4,7.37E6,3,2,3,,60785,30S ribosomal protein S1 [Photobacterium profundum]
56,18263,ETNP_70,56.23,38,38,2.6E7,3,3,3,,6590,50S ribosomal protein L7/L12
131,193576,WP_011219654.1,55.57,5,5,1.18E6,2,2,2,,45615,enolase [Photobacterium profundum]
131,193579,WP_007231575,55.79,4,4,9.01E5,2,2,2,Oxidation (M),45555,enolase gamma proteobacterium HTCC2207
131,193581,WP_011784437,45.96,3,3,5.78E5,1,1,1,,45653,enolase Marinobacter
131,193582,WP_011588447.1,45.96,3,3,5.78E5,1,1,1,,46032,MULTISPECIES: enolase [Alcanivorax]
131,193586,ETNP_120,45.96,3,3,5.78E5,1,1,1,,45903,Enolase
131,193610,ETNP_140,45.96,10,10,5.78E5,1,1,1,,12166,Enolase
131,193611,ETNP_300,45.96,7,7,5.78E5,1,1,1,,16127,Enolase
131,193612,ETNP_120,45.96,5,5,5.78E5,1,1,1,,24098,Enolase
131,193624,WP_015403446,45.96,3,3,5.78E5,1,1,1,,45485,enolase Desulfocapsa sulfexigens
85,18043,WP_011218872.1,55.18,6,6,3.05E6,2,2,2,,36725,amino acid ABC transporter substrate-binding protein [Photobacterium profundum]
85,26730,WP_012563200,55.18,7,7,3.05E6,2,2,2,,36856,amino acid ABC transporter substrate-binding protein Oligotropha carboxidovorans
85,26731,ETNP14_68,55.18,6,6,3.05E6,2,2,2,,36302,General L-amino acid-binding periplasmic protein AapJ precursor
221,193590,ADI90412.1,54.77,3,3,1.45E5,1,1,1,Carbamidomethylation,49440,glutathione reductase [Acinetobacter oleivorans DR1]
221,146115,WP_012519895,54.77,3,3,1.45E5,1,1,1,Carbamidomethylation,48637,glutathione-disulfide reductase Alteromonas mediterranea
221,193616,ETNP_140,54.77,3,3,1.45E5,1,1,1,Carbamidomethylation,47936,Glutathione amide reductase
221,193617,ETNP_120,54.77,3,3,1.45E5,1,1,1,Carbamidomethylation,48347,Glutathione amide reductase
51,24158,XP_002178567,54.43,4,4,6.01E5,3,1,3,,72266,ER luminal binding protein precursor  Phaeodactylum tricornutum CCAP 1055
86,193580,CAG23754.1,54.34,3,3,1.81E6,1,1,2,,45916,putative ABC-type sugar transport system  periplasmic component [Photobacterium profundum SS9]
55,17622,WP_011219211.1,54.23,20,20,1.52E7,3,3,3,,18750,peptidoglycan-associated lipoprotein [Photobacterium profundum]
87,193589,ETNP14_68,54.17,12,12,3.85E5,2,1,2,,21063,ATP synthase subunit beta
89,193627,ETNP14_120,53.24,9,9,1.98E6,2,2,2,,17544,Enolase
89,193649,ETNP14_120,53.24,3,3,1.98E6,2,2,2,,46954,Enolase
277,144099,WP_011218847.1,53.00,15,15,3.04E6,2,2,2,,13367,50S ribosomal protein L20 [Photobacterium profundum]
277,170679,CAI86474.1,43.27,7,7,2.73E6,1,1,1,,13564,50S ribosomal subunit protein L20  also posttranslational autoregulator [Pseudoalteromonas haloplanktis TAC125]
91,17773,WP_011217143.1,52.55,8,8,1.19E6,2,2,3,,15009,50S ribosomal protein L15 [Photobacterium profundum]
91,17774,WP_011467460.1,52.55,8,8,1.19E6,2,2,3,,15148,50S ribosomal protein L15 [Saccharophagus degradans]
61,17561,WP_011217975.1,52.48,3,3,,2,0,2,,75816,elongation factor G [Photobacterium profundum]
61,17560,WP_011467413.1,52.48,3,3,,2,0,2,,76678,elongation factor G [Saccharophagus degradans]
61,193585,WP_038130818.1,52.48,3,3,,2,0,2,,66728,translation elongation factor G  partial [Verrucomicrobia bacterium SCGC AAA168-F10]
49,24096,XP_003074861,51.33,5,5,2.46E5,3,1,3,,73277,Bip Luminal binding protein precursor probable IC  Ostreococcus tauri
49,24144,ETNP_70,51.33,6,6,2.46E5,3,1,3,,53909,Chaperone protein DnaK
54,144130,CAI87855.1,51.33,8,8,2.31E6,3,3,3,,20095,50S ribosomal subunit protein L5 [Pseudoalteromonas haloplanktis TAC125]
54,144511,WP_011217137.1,51.33,8,8,2.31E6,3,3,3,,20388,50S ribosomal protein L5 [Photobacterium profundum]
54,144518,ETNP14_120,51.33,8,8,2.31E6,3,3,3,,20943,50S ribosomal protein L5
54,144519,ETNP14_120,51.33,8,8,2.31E6,3,3,3,,21077,50S ribosomal protein L5
77,193592,ETNP14_68,50.27,3,3,8.65E4,2,1,2,,76782,Elongation factor G 1
45,24375,ETNP14_68,48.59,4,4,2.34E6,3,2,3,,62539,Cysteine desulfurase
276,170838,WP_011217611.1,48.16,16,16,1.79E6,2,2,2,Mutation,18098,PTS glucose transporter subunit IIA [Photobacterium profundum]
88,144011,XP_003054774,47.41,4,4,1.34E7,2,2,2,,54844,predicted protein  Micromonas pusilla CCMP1545
52,193820,ETNP14_120,47.38,3,3,2.37E6,4,3,4,,62708,Phosphoserine phosphatase RsbU
31,193633,WP_081440272.1,46.55,4,4,3.95E6,3,3,5,,90302,hypothetical protein [Planctopirus limnophila]
64,144104,XP_003058631,46.49,1,1,1.27E7,4,4,4,,271162,predicted protein  Micromonas pusilla CCMP1545
57,91412,XP_003061451,45.45,1,1,3.02E7,5,5,5,,613898,predicted protein  Micromonas pusilla CCMP1545
279,170674,ETNP_90,45.29,12,12,7.44E6,2,2,2,,17586,30S ribosomal protein S5
279,170697,ETNP14_68,36.97,21,21,2.9E5,1,1,1,,5872,30S ribosomal protein S5
222,143998,WP_011217207.1,44.33,3,3,6.38E5,1,1,1,,39453,3-isopropylmalate dehydrogenase [Photobacterium profundum]
222,144044,ACL65228.1,44.33,3,3,6.38E5,1,1,1,,37314,3-isopropylmalate dehydrogenase [Anaeromyxobacter dehalogenans 2CP-1]
222,144045,WP_013558765,44.33,3,3,6.38E5,1,1,1,,38069,3-isopropylmalate dehydrogenase Anaerolinea thermophila
222,144041,ETNP_120,44.33,6,6,6.38E5,1,1,1,,20920,3-isopropylmalate dehydrogenase
222,144042,ETNP_90,44.33,4,4,6.38E5,1,1,1,,29325,3-isopropylmalate dehydrogenase
222,144043,ETNP_100,44.33,4,4,6.38E5,1,1,1,,30925,3-isopropylmalate dehydrogenase
222,144046,ETNP_110,44.33,3,3,6.38E5,1,1,1,,38047,3-isopropylmalate dehydrogenase
222,144047,ETNP_120,44.33,3,3,6.38E5,1,1,1,,38047,3-isopropylmalate dehydrogenase
222,144048,WP_036915484,44.33,3,3,6.38E5,1,1,1,,37989,3-isopropylmalate dehydrogenase Prochlorococcus
222,144049,WP_011127649,44.33,3,3,6.38E5,1,1,1,,37695,3-isopropylmalate dehydrogenase Synechococcus sp WH 8102
222,144050,ETNP_120,44.33,3,3,6.38E5,1,1,1,,38127,3-isopropylmalate dehydrogenase
222,144051,ETNP_90,44.33,3,3,6.38E5,1,1,1,,38234,3-isopropylmalate dehydrogenase
222,144052,ETNP14_68,44.33,3,3,6.38E5,1,1,1,,38111,3-isopropylmalate dehydrogenase
222,144053,ETNP_120,44.33,3,3,6.38E5,1,1,1,,38234,3-isopropylmalate dehydrogenase
222,144054,ETNP_100,44.33,3,3,6.38E5,1,1,1,,38047,3-isopropylmalate dehydrogenase
222,144055,WP_038543974,44.33,3,3,6.38E5,1,1,1,,37857,3-isopropylmalate dehydrogenase Synechococcus sp KORDI-100
222,144056,CAK23578.1,44.33,3,3,6.38E5,1,1,1,,37973,3-isopropylmalate dehydrogenase [Synechococcus sp. WH 7803]
222,144057,WP_011129910,44.33,3,3,6.38E5,1,1,1,,37956,3-isopropylmalate dehydrogenase Prochlorococcus marinus
222,144058,ETNP_90,44.33,3,3,6.38E5,1,1,1,,38127,3-isopropylmalate dehydrogenase
222,144059,KUK91718,44.33,3,3,6.38E5,1,1,1,,39946,3-isopropylmalate dehydrogenase Marinimicrobia bacterium 46_43
222,144060,KUK55872,44.33,3,3,6.38E5,1,1,1,,39946,3-isopropylmalate dehydrogenase Marinimicrobia bacterium 46_47
222,144019,WP_018968927,44.33,3,3,6.38E5,1,1,1,,39416,3-isopropylmalate dehydrogenase Rubritalea marina
103,193722,ETNP_100,44.15,5,5,6.15E6,2,2,2,,35803,Glyceraldehyde-3-phosphate dehydrogenase
163,143866,ETNP14_120,44.13,8,8,5.6E5,3,2,3,,46458,Phosphoenolpyruvate carboxykinase [ATP]
163,143907,ETNP_120,38.38,6,6,2.99E5,2,1,2,,46518,Phosphoenolpyruvate carboxykinase [ATP]
163,143906,ETNP_180,38.38,13,13,2.99E5,2,1,2,,20258,Phosphoenolpyruvate carboxykinase [ATP]
230,193774,ETNP_120,43.71,7,7,1.42E6,3,3,3,,26122,Triosephosphate isomerase
102,193709,WP_011399974,43.59,25,25,9.93E5,2,2,2,,8663,30S ribosomal protein S21 Hahella chejuensis
102,193710,CAI85450.1,43.59,25,25,9.93E5,2,2,2,,8563,30S ribosomal subunit protein S21 [Pseudoalteromonas haloplanktis TAC125]
278,170768,CAI85419.1,43.21,12,12,1.12E6,1,1,1,,11835,putative preprotein translocase IISP family  membrane subunit [Pseudoalteromonas haloplanktis TAC125]
278,170766,ETNP_90,43.21,22,22,1.12E6,1,1,1,,6119,preprotein translocase subunit YajC
278,170769,ETNP14_68,43.21,12,12,1.12E6,1,1,1,,12053,preprotein translocase subunit YajC
278,170770,WP_012519018,43.21,12,12,1.12E6,1,1,1,,12053,preprotein translocase subunit YajC Alteromonas mediterranea
278,170767,ETNP14_120,43.21,12,12,1.12E6,1,1,1,,12018,preprotein translocase subunit YajC
78,144034,ETNP_90,43.06,4,4,5E5,2,2,2,,59442,Isocitrate lyase
92,11039,WP_011217904.1,42.79,2,2,7.44E5,2,2,2,Oxidation (M); Mutation,117454,DNA translocase FtsK [Photobacterium profundum]
95,17522,WP_011467465.1,42.63,8,8,6.15E5,2,2,2,,23276,30S ribosomal protein S4 [Saccharophagus degradans]
95,133689,ETNP14_120,42.63,8,8,6.15E5,2,2,2,,23484,30S ribosomal protein S4
95,133690,ETNP14_68,42.63,8,8,6.15E5,2,2,2,,23499,30S ribosomal protein S4
95,17518,WP_006232362.1,42.63,8,8,6.15E5,2,2,2,,23312,30S ribosomal protein S4 [Photobacterium profundum]
162,143885,WP_020744472,41.92,3,3,1.28E5,1,1,1,,43237,OmpAMotB protein Alteromonas mediterranea
345,193639,WP_011217494.1,41.83,3,3,5.57E5,1,1,1,,47883,isocitrate lyase [Photobacterium profundum]
93,193753,ETNP_120,41.28,4,4,4.86E5,2,1,2,,46222,2-amino-3-ketobutyrate coenzyme A ligase
132,193640,CAN93884.1,40.67,2,2,1.39E6,2,2,2,Carbamidomethylation; Oxidation (M),96204,DNA gyrase subunit A [Sorangium cellulosum So ce56]
132,22408,NP_30,40.08,2,2,5.64E6,2,2,2,,94296,DNA gyrase subunit A
132,29977,BAE51389.1,32.46,1,1,7.76E5,1,1,1,,82207,Type IIA topoisomerase  A subunit [Magnetospirillum magneticum AMB-1]
132,193666,BAI72466.1,32.46,1,1,7.76E5,1,1,1,,82605,topoisomerase IV subunit A [Azospirillum sp. B510]
